ERR1913290.39__1.39	28118__F9Z5N6__SAMEA44545918_01718
ERR1913290.551075__1.551075	823__A0A173W8N5__ERS852513_00780
ERR1913290.551108__1.551108	28116__A7LXT7__HMPREF1070_00356
ERR1913290.551155__1.551155	39492__A0A174ZL16__EUBSIR_01269
ERR1913290.551173__1.551173	28116__F7L4X5__M089_2857
ERR1913290.551300__1.551300	28116__A7M019__HMPREF1070_01109
ERR1913290.551363__1.551363	28118__F9Z408__NCTC10826_01194
ERR1913290.551479__1.551479	823__D7ILK2__ERS852380_00031
ERR1913290.551576__1.551576	821__R6F3Y1__SAMN04487923_104318
ERR1913290.551618__1.551618	674529__R6V730__DXB21_06405
ERR1913290.551628__1.551628	28116__E5CHV3__DHW41_06155
ERR1913290.551807__1.551807	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913290.551815__1.551815	1262992__R5D6G0__BN795_00277
ERR1913290.551820__1.551820	371601__C3R2J2__ERS852396_04353
ERR1913290.551937__1.551937	28116__C3QZB5__M088_3811
ERR1913290.552016__1.552016	821__D4VC51__M099_1508
ERR1913290.552049__1.552049	28116__E5CH94__NCTC11153_03344
ERR1913290.552065__1.552065	487174__R5FN40__HMPREF9448_01366
ERR1913290.552262__1.552262	28116__D4WLZ3__C5Z02_24105
ERR1913290.552337__1.552337	246787__A0A0P0FSC0__cytR_2
ERR1913290.552370__1.552370	357276__I9QBT7__BSEG_03340
ERR1913290.552381__1.552381	28116__A0A1Y4PH15__DXA80_17985
ERR1913290.552507__1.552507	487174__K0WV13__DIT83_10890
ERR1913290.552539__1.552539	821__A0A396F9T7__M097_3427
ERR1913290.552632__1.552632	28116__E5CEE4__SAMN05444282_12363
ERR1913290.552750__1.552750	28116__E5CHV5__B5F02_08530
ERR1913290.552806__1.552806	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913290.553078__1.553078	556259__I0PYL9__BSGG_5205
ERR1913290.553150__1.553150	360807__C0FVT5__RIL183_27241
ERR1913290.553212__1.553212	1262882__R5MJM8__BN519_01064
ERR1913290.553223__1.553223	28116__A0A1Y4Q112__evgS_13
ERR1913290.553254__1.553254	28118__F9Z8Y7__DHW44_02235
ERR1913290.553296__1.553296	39492__D4JSU6__dacB_3
ERR1913290.553324__1.553324	817__Q64N43__HMPREF1205_01348
ERR1913290.553591__1.553591	360807__C0FTG2__RIL183_32211
ERR1913290.553749__1.553749	626940__E8LFN2__DCQ00_04835
ERR1913290.553876__1.553876	1262882__R5MRT2__BN519_01494
ERR1913290.553965__1.553965	823__A0A355XN73__DXC05_07000
ERR1913290.554095__1.554095	28116__A0A1Y4PWE4__M089_4352
ERR1913290.554100__1.554100	28116__C3R0H4__DXD69_00155
ERR1913290.554266__1.554266	1262911__R6H1J5__BN557_00905
ERR1913290.554242__1.554242	821__U6RDC2__DXD46_15675
ERR1913290.554413__1.554413	214856__R6XP73__ERS852447_00886
ERR1913290.554461__1.554461	28118__R6FA80__DHW44_06470
ERR1913290.554505__1.554505	821__A0A174ALF2__BvMPK_3016
ERR1913290.554733__1.554733	28116__A7LS02__DXF98_24100
ERR1913290.554790__1.554790	28116__E5CCI3__NCTC11153_04275
ERR1913290.554882__1.554882	1393034__GCA_001552785.1_00728
ERR1913290.554890__1.554890	1262746__R5SN04__BN750_02419
ERR1913290.554897__1.554897	214856__R6XTZ7__ERS852447_02314
ERR1913290.554913__1.554913	310298__B3JQJ5__BACCOP_04231
ERR1913290.554999__1.554999	28116__E5CH91__B5F02_11815
ERR1913290.555024__1.555024	28116__I8YA07__C5Z02_15915
ERR1913290.555122__1.555122	1262992__R5CYZ3__BN795_01363
ERR1913290.555143__1.555143	821__A0A0P0LJ37__DXB82_14270
ERR1913290.555256__1.555256	214856__A0A174EJT5__mnmA
ERR1913290.555293__1.555293	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.555315__1.555315	821__D4VC51__M099_1508
ERR1913290.555334__1.555334	820__A7VAS1__HMPREF2141_03259
ERR1913290.555439__1.555439	28116__A0A139LKF7__DXA80_16100
ERR1913290.555443__1.555443	823__A0A073I5R7__cloSI
ERR1913290.555491__1.555491	292800__A0A174WGI6__uxuA
ERR1913290.555515__1.555515	853__E2ZGD9__C7J97_11715
ERR1913290.555540__1.555540	28116__A0A1Y4Q119__DXD69_10975
ERR1913290.555572__1.555572	28116__I9ST00__M088_5588
ERR1913290.555735__1.555735	246787__A0A3D6AV26__BcellWH2_02579
ERR1913290.555788__1.555788	1263044__GCA_000433375.1_02953
ERR1913290.555794__1.555794	817__A0A081UA45__M112_0802
ERR1913290.555808__1.555808	371601__C3R2J2__ERS852396_04353
ERR1913290.556149__1.556149	556259__E5C690__BSGG_1431
ERR1913290.556210__1.556210	1150298__A0A174QRU8__ERS852498_00962
ERR1913290.556226__1.556226	28116__A0A395W017__HMPREF1017_03721
ERR1913290.556428__1.556428	46503__R6X275__DD461_10840
ERR1913290.556721__1.556721	821__A0A395UNT8__DXD64_15275
ERR1913290.556697__1.556697	28116__I9JM49__NCTC11153_01044
ERR1913290.556747__1.556747	1150298__A0A174I056__ERS852535_01387
ERR1913290.556781__1.556781	821__A0A396FEL8__C5Z04_06030
ERR1913290.556878__1.556878	820__A0A374MMF0__HMPREF1073_03811
ERR1913290.557059__1.557059	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913290.557073__1.557073	28116__A0A1Y4PVC6__C5Z02_22085
ERR1913290.557075__1.557075	823__A6LHK0__M090_1297
ERR1913290.557079__1.557079	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913290.557210__1.557210	28116__A0A1Y4P7B7__M088_2098
ERR1913290.557306__1.557306	821__A0A174JYD3__ERS852457_02610
ERR1913290.557337__1.557337	28116__I9ST00__M088_5588
ERR1913290.557340__1.557340	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.557419__1.557419	39492__D4JUD9__EUBSIR_01875
ERR1913290.557427__1.557427	239935__A0A139TPD4__CXT86_06450
ERR1913290.557544__1.557544	1150298__A0A174L6T3__cobD
ERR1913290.557575__1.557575	821__A0A396FEL8__C5Z04_06030
ERR1913290.557672__1.557672	853__A0A173YYY4__DWZ04_09420
ERR1913290.557777__1.557777	357276__B6VYT9__HMPREF1063_05030
ERR1913290.557812__1.557812	1150298__R7JRU1__degA_3
ERR1913290.557904__1.557904	39492__D4JRM9__bglB_2
ERR1913290.557966__1.557966	246787__A0A0P0GG59__BcellWH2_02752
ERR1913290.557942__1.557942	1262882__R5MK03__BN519_01277
ERR1913290.558089__1.558089	487174__K0X7X4__DIT83_09125
ERR1913290.558157__1.558157	33025__A0A395J947__C8D73_11315
ERR1913290.558214__1.558214	214856__A0A174ZLW6__ERS852559_01424
ERR1913290.558350__1.558350	1262882__R5MKU2__BN519_01271
ERR1913290.558372__1.558372	1262743__R5C054__BN727_01980
ERR1913290.558564__1.558564	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.558635__1.558635	33025__A0A395J9Q9__C8D73_11126
ERR1913290.558941__1.558941	1897011__A0A1Q6RIF1__BHW41_00635
ERR1913290.558959__1.558959	556259__E5C6L5__BSGG_0298
ERR1913290.559099__1.559099	820__R7E9Z4__DXC68_06065
ERR1913290.559138__1.559138	328814__GCA_004558275.1_00072
ERR1913290.559164__1.559164	1150298__A0A174GJF6__bglX_2
ERR1913290.559241__1.559241	823__A0A355XLQ9__DXC05_02185
ERR1913290.559346__1.559346	821__A0A0P0L8F8__ERS852509_03705
ERR1913290.559516__1.559516	33025__A0A395JA92__C8D73_108100
ERR1913290.559544__1.559544	1796613__A0A1V0QDA8__A4V03_02465
ERR1913290.560024__1.560024	28116__A0A1G6G5G9__SAMN05192581_101892
ERR1913290.560064__1.560064	28116__A0A139L6N6__HMPREF2532_02529
ERR1913290.560075__1.560075	1897011__A0A1Q6RET2__BHW41_04000
ERR1913290.560138__1.560138	33025__A0A395JIJ9__C8D73_101350
ERR1913290.560181__1.560181	1628085__A0A2U1B477__C7386_12136
ERR1913290.560198__1.560198	28116__A0A3D2LPA1__CUY_3388
ERR1913290.560304__1.560304	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.560347__1.560347	28116__E5CHV5__B5F02_08530
ERR1913290.560400__1.560400	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913290.560357__1.560357	671267__R9IB12__C802_00696
ERR1913290.560472__1.560472	28116__E5C458__BACOV975_02730
ERR1913290.560627__1.560627	28116__C3R0H4__DXD69_00155
ERR1913290.561174__1.561174	28116__R6DIL2__DXD69_10970
ERR1913290.561265__1.561265	28116__A0A139KS89__HMPREF2532_04387
ERR1913290.561291__1.561291	823__D7IT19__DHP27_03495
ERR1913290.561327__1.561327	487174__K0X068__DDY40_07105
ERR1913290.561369__1.561369	817__K1FQG1__DWS34_07240
ERR1913290.561463__1.561463	821__A0A173XDD3__DXB82_17180
ERR1913290.561471__1.561471	821__A0A396F9T7__M097_3427
ERR1913290.561491__1.561491	28116__A7LYG5__M089_5828
ERR1913290.561532__1.561532	357276__B6VYT9__HMPREF1063_05030
ERR1913290.561667__1.561667	818__A0A1H7TGM1__BJP75_010615
ERR1913290.561740__1.561740	821__A0A396F9T7__M097_3427
ERR1913290.561810__1.561810	823__A6LH14__B5F32_11640
ERR1913290.561897__1.561897	674529__A0A174I6X2__DXB21_05420
ERR1913290.561898__1.561898	674529__A0A174I6X2__DXB21_05420
ERR1913290.561976__1.561976	820__A0A1Q6IDS8__chtA
ERR1913290.562038__1.562038	1796613__A0A1C7H6N8__ADH74_01350
ERR1913290.562048__1.562048	28116__A0A3E5HUC8__DHW41_21025
ERR1913290.562049__1.562049	371601__A0A139LNL6__ERS852396_04350
ERR1913290.562103__1.562103	821__A0A173WG51__BVU_2549
ERR1913290.562473__1.562473	821__E5UY21__C800_02204
ERR1913290.562555__1.562555	821__A0A173WG51__BVU_2549
ERR1913290.562703__1.562703	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.562677__1.562677	28116__A7LXT7__HMPREF1070_00356
ERR1913290.562735__1.562735	214856__R6Z288__ERS852447_00734
ERR1913290.563202__1.563202	28116__C3QZB5__M088_3811
ERR1913290.563447__1.563447	1262743__R5C054__BN727_01980
ERR1913290.563721__1.563721	674529__A0A174P761__SAMN05444400_106145
ERR1913290.563779__1.563779	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.563788__1.563788	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913290.563794__1.563794	674529__R6W482__DXB21_24930
ERR1913290.564027__1.564027	823__A0A395YXR9__M091_4086
ERR1913290.564158__1.564158	28116__A0A1Y4PH15__DXA80_17985
ERR1913290.564432__1.564432	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913290.564541__1.564541	821__A0A174V2F3__NCTC10583_01474
ERR1913290.564675__1.564675	39492__D4JT68__spoIIIE
ERR1913290.564874__1.564874	61171__B9Y6J7__HOLDEFILI_01438
ERR1913290.565024__1.565024	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913290.565046__1.565046	820__R9HP61__DXC91_01090
ERR1913290.565117__1.565117	820__E5VEH7__ERS852459_01300
ERR1913290.565246__1.565246	671267__R9IB12__C802_00696
ERR1913290.565386__1.565386	820__A0A174QLF0__SAMN05444418_109151
ERR1913290.565391__1.565391	821__A0A173WG51__BVU_2549
ERR1913290.565466__1.565466	487174__K0WT65__HMPREF9448_02407
ERR1913290.565588__1.565588	246787__A0A3D6AQP8__AA416_04153
ERR1913290.565630__1.565630	821__A0A396F1N0__M099_1553
ERR1913290.565657__1.565657	371601__F7LA63__HMPREF1074_04288
ERR1913290.565783__1.565783	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913290.565814__1.565814	818__R6VB25__BSIG_5053
ERR1913290.565863__1.565863	28116__A0A1Y4PHM7__DXA80_25130
ERR1913290.565969__1.565969	28116__F7LC60__AA414_00422
ERR1913290.566234__1.566234	821__A0A174V2F3__NCTC10583_01474
ERR1913290.566408__1.566408	28116__A0A1Y4Q112__evgS_13
ERR1913290.566505__1.566505	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.566470__1.566470	818__A0A3E5HDU6__C799_04515
ERR1913290.566473__1.566473	1262743__R5C054__BN727_01980
ERR1913290.566477__1.566477	310298__B3JQJ5__BACCOP_04231
ERR1913290.566538__1.566538	2108523__A0A2P2F666__LAWASA_1491
ERR1913290.566519__1.566519	556259__I0PXW0__BSGG_5187
ERR1913290.566675__1.566675	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913290.566877__1.566877	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913290.566848__1.566848	820__A0A1T4IYF4__mprA_1
ERR1913290.566857__1.566857	28116__E5C3L0__B5F02_21065
ERR1913290.566989__1.566989	823__A0A078SYK6__DXB14_02485
ERR1913290.567030__1.567030	394340__rnjA
ERR1913290.567068__1.567068	674529__A0A174PUY5__SAMN05444400_103201
ERR1913290.567022__1.567022	28116__A0A1Y4PVG3__imd
ERR1913290.567158__1.567158	214856__R6Y6H8__ERS852447_01719
ERR1913290.567222__1.567222	817__A0A396EEF1__HMPREF2533_00532
ERR1913290.567272__1.567272	556259__E5C614__BSGG_0177
ERR1913290.567331__1.567331	28116__R6JIR4__DXA80_14190
ERR1913290.567341__1.567341	28116__A0A078QGJ1__AA414_00533
ERR1913290.567351__1.567351	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913290.567357__1.567357	28116__I9TDA4__BACOV975_03134
ERR1913290.567393__1.567393	39492__D4JVC7__yfgF
ERR1913290.567378__1.567378	821__A0A395US34__C5Z04_18975
ERR1913290.567562__1.567562	246787__A0A3D6B182__HMPREF1062_00600
ERR1913290.567581__1.567581	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.567535__1.567535	239935__B2URG6__CXU02_00030
ERR1913290.567647__1.567647	28116__A7M019__HMPREF1070_01109
ERR1913290.567658__1.567658	28118__R6FJE6__NCTC10826_00111
ERR1913290.567601__1.567601	384638__B7APN3__BACPEC_00639
ERR1913290.567608__1.567608	28116__A0A078QGJ1__AA414_00533
ERR1913290.567687__1.567687	371601__F7LYR1__DXD03_13150
ERR1913290.567807__1.567807	28116__A7M019__HMPREF1070_01109
ERR1913290.567821__1.567821	821__A0A0P0M2J4__DXD46_10295
ERR1913290.567920__1.567920	820__A0A3E4PYB0__yejM
ERR1913290.568098__1.568098	28116__A0A078Q626__HMPREF1070_02735
ERR1913290.568101__1.568101	28116__A0A1G6G396__DXD69_22115
ERR1913290.568240__1.568240	821__A0A174ALF2__BvMPK_3016
ERR1913290.568471__1.568471	397865__W0EUU4__BARVI_11800
ERR1913290.568553__1.568553	39492__D4MIK7__EUBSIR_00676
ERR1913290.569199__1.569199	1099853__G9S6N8__NSB1T_13280
ERR1913290.569207__1.569207	39492__D4JVZ6__truB
ERR1913290.569220__1.569220	28116__A7LYG5__M089_5828
ERR1913290.569638__1.569638	458033__GCA_001482755.1_02203
ERR1913290.569758__1.569758	821__C6ZAA5__ERS852556_00403
ERR1913290.570012__1.570012	1099853__U5CEJ4__NSB1T_04000
ERR1913290.570038__1.570038	39492__D4JTW6__ERS852540_00220
ERR1913290.570107__1.570107	820__A0A174TRB5__DXD40_11305
ERR1913290.570128__1.570128	1150298__R7JRK4__ERS852406_01648
ERR1913290.570156__1.570156	28116__F7L4X5__M089_2857
ERR1913290.570364__1.570364	394340__metG_1
ERR1913290.570530__1.570530	1897011__A0A1Q6RE52__BHW41_04690
ERR1913290.570593__1.570593	214856__I3YMN6__Alfi_1938
ERR1913290.570594__1.570594	214856__I3YMN6__Alfi_1938
ERR1913290.570682__1.570682	301301__A0A395V8E1__RHOM_11160
ERR1913290.570721__1.570721	28117__B0MTY2__BHV66_06485
ERR1913290.570831__1.570831	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913290.570833__1.570833	28117__B0MVL5__BHV66_01660
ERR1913290.570903__1.570903	246787__R6LGB3__BcellWH2_02361
ERR1913290.571014__1.571014	28116__A0A139LL51__B5F02_01570
ERR1913290.571005__1.571005	39491__A0A396FFW0__ERE_10580
ERR1913290.571084__1.571084	820__A0A3E4WA06__ERS852554_03404
ERR1913290.571176__1.571176	820__A0A139KIL9__DXC68_05945
ERR1913290.571187__1.571187	39492__D4JUJ6__ssuB_2
ERR1913290.571302__1.571302	671267__R9IB12__C802_00696
ERR1913290.571333__1.571333	28116__A0A3E5HUC8__DHW41_21025
ERR1913290.571377__1.571377	214856__A0A174AYS4__ERS852447_01192
ERR1913290.571435__1.571435	214856__I3YPI7__pepD_1
ERR1913290.571474__1.571474	821__U6RDC2__DXD46_15675
ERR1913290.571629__1.571629	28118__F9Z759__B5F93_05180
ERR1913290.571761__1.571761	821__A0A396F9T7__M097_3427
ERR1913290.571920__1.571920	28116__A0A1Y4PVC6__C5Z02_22085
ERR1913290.572135__1.572135	821__A0A3E4KIM1__M097_3660
ERR1913290.572205__1.572205	28116__A0A3D2LWY1__ERS852555_01619
ERR1913290.572282__1.572282	418240__A0A173XT66__ERS852478_00742
ERR1913290.572317__1.572317	39491__A0A396FNY7__LD38_16155
ERR1913290.572390__1.572390	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913290.572416__1.572416	817__Q64PG5__M084_3388
ERR1913290.572655__1.572655	674529__R6W482__DXB21_24930
ERR1913290.572794__1.572794	214856__R6XTZ7__ERS852447_02314
ERR1913290.572855__1.572855	46503__K5YT67__HMPREF1060_04023
ERR1913290.573094__1.573094	820__R9HP61__DXC91_01090
ERR1913290.573269__1.573269	28116__A0A3A9HTT7__BACOVA_05446
ERR1913290.573315__1.573315	28116__A0A078QF71__HMPREF1070_01231
ERR1913290.573331__1.573331	821__A0A174NM17__lacZ_6
ERR1913290.573372__1.573372	1262882__R5MZZ3__BN519_00482
ERR1913290.573438__1.573438	818__A0A139KY34__ERS852461_03898
ERR1913290.573789__1.573789	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913290.573832__1.573832	39492__D4JTG7__EUBSIR_00572
ERR1913290.573906__1.573906	649756__B0P2G4__HMPREF0369_01300
ERR1913290.573888__1.573888	821__A0A0P0M5Z6__BVU_0429
ERR1913290.574013__1.574013	823__A0A355XKR1__DHP27_04035
ERR1913290.574036__1.574036	853__A0A174BA00__DW905_01145
ERR1913290.574079__1.574079	338188__A0A174ETX3__ERS852397_01955
ERR1913290.574119__1.574119	28116__A7LXT4__DXF98_03755
ERR1913290.574243__1.574243	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913290.574188__1.574188	28116__A0A1Y4PWN5__M088_3731
ERR1913290.574200__1.574200	394340__yedY
ERR1913290.574347__1.574347	28116__A0A396DFW5__C5Z02_07010
ERR1913290.574404__1.574404	28116__F7L8H9__BACOVA_00587
ERR1913290.574481__1.574481	674529__R6V187__DXB21_21665
ERR1913290.574482__1.574482	28117__B0MUL5__ALIPUT_00722
ERR1913290.574497__1.574497	46503__R6XDP9__ERS852463_01752
ERR1913290.574537__1.574537	1262743__R5C054__BN727_01980
ERR1913290.574657__1.574657	821__A6L0C7__ERS852556_03520
ERR1913290.574731__1.574731	39491__A0A396FGM9__fliU_1
ERR1913290.574794__1.574794	487174__K0X0F6__HMPREF9448_01444
ERR1913290.574833__1.574833	39492__D4JS87__EUBSIR_02328
ERR1913290.574839__1.574839	301301__A0A395VB45__ERS852391_02575
ERR1913290.574851__1.574851	33025__A0A395J8P0__C8D73_1144
ERR1913290.574974__1.574974	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913290.574998__1.574998	28116__I8YA52__M088_0798
ERR1913290.575001__1.575001	1262536__GeneID:16385454
ERR1913290.575037__1.575037	674529__R6V0V1__DXB21_06395
ERR1913290.575137__1.575137	820__A0A139K8N1__ERS852554_00951
ERR1913290.575242__1.575242	821__A0A174AYT0__DXC02_03530
ERR1913290.575263__1.575263	410072__A0A174DEZ0__COPCOM_01936
ERR1913290.575281__1.575281	39491__A0A395ZDC6__addB
ERR1913290.575404__1.575404	39488__A0A174BSK2__ERS852450_01031
ERR1913290.575520__1.575520	821__A0A0P0L8F8__ERS852509_03705
ERR1913290.576130__1.576130	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913290.576140__1.576140	1262882__R5N678__BN519_01604
ERR1913290.576165__1.576165	853__A0A2A7B9I6__DW855_13690
ERR1913290.576347__1.576347	853__A0A174BZY1__xerD_1
ERR1913290.576377__1.576377	28117__B0MU76__ALIPUT_00202
ERR1913290.576725__1.576725	1262992__R5D3W6__BN795_00533
ERR1913290.576941__1.576941	487174__K0WZP2__DDY40_04000
ERR1913290.577013__1.577013	357276__I9QBT7__BSEG_03340
ERR1913290.577064__1.577064	28116__I8YA07__C5Z02_15915
ERR1913290.577094__1.577094	1150298__R7JUS2__ERS852498_02193
ERR1913290.577165__1.577165	28116__E5CH91__B5F02_11815
ERR1913290.577241__1.577241	674529__A0A174S5F6__SAMN05444400_11892
ERR1913290.577254__1.577254	28116__A0A3E5HUC8__DHW41_21025
ERR1913290.577335__1.577335	745368__A0A1T4X705__SAMN02745178_01472
ERR1913290.577381__1.577381	28116__A7M019__HMPREF1070_01109
ERR1913290.577620__1.577620	28116__A7M0H0__DXA80_15290
ERR1913290.577653__1.577653	28116__I9AKR7__DXA80_22960
ERR1913290.577659__1.577659	821__A0A0P0M2J4__DXD46_10295
ERR1913290.577880__1.577880	387090__S0F8B2__BACCOPRO_02129
ERR1913290.577984__1.577984	817__Q64N43__HMPREF1205_01348
ERR1913290.577992__1.577992	821__A0A174NSU0__BVU_3144
ERR1913290.578083__1.578083	28116__A0A3D2LPA1__CUY_3388
ERR1913290.578104__1.578104	28116__A7M019__HMPREF1070_01109
ERR1913290.578298__1.578298	821__A6L0C7__ERS852556_03520
ERR1913290.578683__1.578683	39492__D4JWI6__EUBSIR_01073
ERR1913290.578720__1.578720	823__E1YT73__NCTC11152_02675
ERR1913290.578731__1.578731	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913290.578753__1.578753	821__A0A0P0M3U7__DXB90_14325
ERR1913290.578754__1.578754	671266__GCA_004801615.1_00637
ERR1913290.578789__1.578789	328814__GCA_004558275.1_00035
ERR1913290.578888__1.578888	28116__A0A1Y4PWE4__M089_4352
ERR1913290.578892__1.578892	820__A0A139KH21__DXC80_01780
ERR1913290.578914__1.578914	821__A0A396FEL8__C5Z04_06030
ERR1913290.578941__1.578941	28116__A7LUQ0__CUY_2205
ERR1913290.579137__1.579137	821__A6L0C7__ERS852556_03520
ERR1913290.579226__1.579226	360807__C0FVL1__ERS852392_00394
ERR1913290.579382__1.579382	1263107__GCA_000436995.1_00112
ERR1913290.579492__1.579492	818__D7IK38__ERS852430_03017
ERR1913290.579536__1.579536	28116__I8YA07__C5Z02_15915
ERR1913290.579552__1.579552	28116__A0A3D2LPA1__CUY_3388
ERR1913290.579595__1.579595	818__A0A3E5GYI4__NCTC10582_00013
ERR1913290.579688__1.579688	556259__I0PYM3__BSGG_5385
ERR1913290.579698__1.579698	371601__E5CE41__ERS852396_04351
ERR1913290.579889__1.579889	28116__D6D0T8__DXA80_14760
ERR1913290.580001__1.580001	39492__A0A174ZG93__EUBSIR_00254
ERR1913290.580010__1.580010	39492__D4JWX2__accB
ERR1913290.580040__1.580040	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913290.580091__1.580091	487174__K0X9T7__HMPREF9448_00996
ERR1913290.580262__1.580262	821__A0A174NM17__lacZ_6
ERR1913290.580487__1.580487	853__A0A2A7A4A9__C4N21_14870
ERR1913290.580593__1.580593	853__C7H1R8__DW905_06675
ERR1913290.580751__1.580751	214856__R6Y2Y4__ERS852447_01086
ERR1913290.580790__1.580790	820__A0A174G065__DXB62_08975
ERR1913290.580890__1.580890	1150298__R7JUS7__ytlR
ERR1913290.580977__1.580977	28117__B0MTH2__ALIPUT_00061
ERR1913290.581056__1.581056	1262882__R5N3H1__BN519_01121
ERR1913290.581070__1.581070	1262911__R6GUQ4__BN557_01581
ERR1913290.581089__1.581089	817__D1JR62__M110_0404
ERR1913290.581187__1.581187	39492__D4JWX2__accB
ERR1913290.581224__1.581224	357276__B6W1J2__BACDOR_03380
ERR1913290.581295__1.581295	214856__A0A174EQR4__rsmA
ERR1913290.581297__1.581297	674529__R6W4Y1__SAMN05444400_11574
ERR1913290.581322__1.581322	246787__A0A3D6AV26__BcellWH2_02579
ERR1913290.581376__1.581376	214856__R6XUN2__rcsC_1
ERR1913290.581788__1.581788	360807__C0FU45__ERS852392_01591
ERR1913290.581897__1.581897	46503__R6WUT7__NCTC13052_01657
ERR1913290.581918__1.581918	487174__K0XL60__DDY40_11760
ERR1913290.581999__1.581999	28116__I9SW74__BACOVA_04237
ERR1913290.582012__1.582012	28116__A7LS06__HMPREF2532_04668
ERR1913290.582039__1.582039	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913290.582081__1.582081	39492__D4JWP8__EUBSIR_00699
ERR1913290.582110__1.582110	28116__A0A1Y4Q114__DXF98_00470
ERR1913290.582172__1.582172	418240__A0A173YIF6__ypdA_1
ERR1913290.582225__1.582225	820__A0A3E4W4W5__ERS852554_02179
ERR1913290.582266__1.582266	28116__A0A0J9IIV5__M089_5519
ERR1913290.582305__1.582305	674529__R6W0I5__SAMN05444400_108102
ERR1913290.582315__1.582315	821__A0A174V2F3__NCTC10583_01474
ERR1913290.582317__1.582317	821__A0A174NM17__lacZ_6
ERR1913290.582369__1.582369	1150298__A0A174E950__ERS852498_02096
ERR1913290.582397__1.582397	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913290.582402__1.582402	1262882__A0A356PSJ4__BN519_01180
ERR1913290.582563__1.582563	28116__A0A395W0G7__NCTC11153_02716
ERR1913290.582584__1.582584	39492__D4JVC7__yfgF
ERR1913290.582606__1.582606	821__A0A174NVL6__NCTC10583_01782
ERR1913290.582704__1.582704	246787__R6KCH8__csbC
ERR1913290.582665__1.582665	487174__K0XRP0__DDY40_09260
ERR1913290.582739__1.582739	357276__A0A0M1W9N4__GV66_05135
ERR1913290.582864__1.582864	246787__E2N7G0__resA_6
ERR1913290.582886__1.582886	821__A0A3E4KIM1__M097_3660
ERR1913290.582994__1.582994	818__A0A174TXD9__C799_03229
ERR1913290.582997__1.582997	39492__R6RT40__prkC_3
ERR1913290.583104__1.583104	556259__I0PXW0__BSGG_5187
ERR1913290.583277__1.583277	28116__C3R1N5__SAMN05444282_12443
ERR1913290.583402__1.583402	28116__A0A1G8H1M8__DXF98_11065
ERR1913290.583569__1.583569	556259__E5C6L5__BSGG_0298
ERR1913290.583581__1.583581	33025__A0A395J947__C8D73_11315
ERR1913290.583641__1.583641	28116__A0A1G6G396__DXD69_22115
ERR1913290.583701__1.583701	28116__A0A1Y4Q114__DXF98_00470
ERR1913290.583780__1.583780	1263000__R5EXT3__BN466_02213
ERR1913290.583817__1.583817	821__A0A3E4HP25__SAMN04487923_102450
ERR1913290.583749__1.583749	853__A0A173T6P2__DWZ46_14595
ERR1913290.583763__1.583763	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913290.583881__1.583881	28116__I9ST00__M088_5588
ERR1913290.583924__1.583924	28116__A0A395VSP8__ERS852555_02642
ERR1913290.584012__1.584012	39492__D4JT75__EUBSIR_01776
ERR1913290.584003__1.584003	360807__A0A1Q6T5F1__fliF
ERR1913290.584141__1.584141	39485__A0A174YZE2__spoIIE
ERR1913290.584268__1.584268	371601__A0A173ZQ83__SAMN04487924_1257
ERR1913290.584407__1.584407	239935__A0A2N8HW65__CXU09_08515
ERR1913290.584423__1.584423	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913290.584452__1.584452	28116__A0A396DFW5__C5Z02_07010
ERR1913290.584453__1.584453	853__A0A173T6P2__DWZ46_14595
ERR1913290.584642__1.584642	1796613__A0A1C7H6N8__ADH74_01350
