ERR1913161.22__1.22	1550024__A0A0D8J179__ASJ35_09245
ERR1913161.782523__1.782523	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913161.782621__1.782621	239935__A0A2N8IU14__ADH72_05655
ERR1913161.782655__1.782655	487175__D9Y3S6__HMPREF9439_00920
ERR1913161.782689__1.782689	820__A0A139KHX1__HMPREF2141_00289
ERR1913161.783208__1.783208	46503__C9MKX5__HMPREF1078_01651
ERR1913161.783320__1.783320	1262869__R7CQQ9__BN625_01590
ERR1913161.783508__1.783508	1262882__R5N5S3__BN519_00085
ERR1913161.783644__1.783644	28118__R6F1T8__Odosp_0789
ERR1913161.784061__1.784061	820__R9I324__HMPREF2141_02414
ERR1913161.784137__1.784137	410072__A0A174H348__sfp_2
ERR1913161.784275__1.784275	239935__R6JD78__CXU05_09250
ERR1913161.784373__1.784373	410072__C0B8G7__ERS852525_00626
ERR1913161.784594__1.784594	1796620__A0A1Z2XQ64__ADH66_07910
ERR1913161.784768__1.784768	1235835__R9LCU2__C814_02677
ERR1913161.785037__1.785037	239935__A0A2N8IZ16__CXT84_05850
ERR1913161.785373__1.785373	1262882__R5N2U9__BN519_01221
ERR1913161.785461__1.785461	387090__S0F7Y3__BACCOPRO_02028
ERR1913161.785570__1.785570	28128__A0A133PVR5__HMPREF3226_02504
ERR1913161.785586__1.785586	1262882__R5MQ68__BN519_01178
ERR1913161.785886__1.785886	1550024__A0A0D8IWU5__TQ39_13940
ERR1913161.786001__1.786001	1262882__R5MH82__BN519_00752
ERR1913161.786408__1.786408	47678__R5UXJ2__DW706_08325
ERR1913161.786410__1.786410	1262882__R5MKL9__BN519_00353
ERR1913161.786644__1.786644	706562__GCA_900112995.1_00569
ERR1913161.786662__1.786662	1262869__R7CSS2__BN625_00473
ERR1913161.787074__1.787074	357276__A0A1Y3ZD00__B5F00_16730
ERR1913161.787260__1.787260	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913161.787458__1.787458	239935__A0A2N8HHB6__B5G29_11500
ERR1913161.787476__1.787476	28116__A0A1Y4PHM7__DXA80_25130
ERR1913161.787716__1.787716	357276__I8VQA2__HMPREF1065_04183
ERR1913161.787680__1.787680	214856__I3YPN5__Alfi_2693
ERR1913161.787787__1.787787	239935__A0A139TSG7__CXU17_09600
ERR1913161.787794__1.787794	820__A0A173W419__DXC68_17760
ERR1913161.787930__1.787930	544645__A0A1Y3VP90__DXC42_05845
ERR1913161.788299__1.788299	239935__R6J9N8__CXT96_07990
ERR1913161.788762__1.788762	46503__R6X0P0__DXB61_03855
ERR1913161.788868__1.788868	1034346__A0A3C0DHF1__DES51_105174
ERR1913161.788975__1.788975	239935__A0A139TQT9__Amuc_1197
ERR1913161.789276__1.789276	1550024__G9RT86__ASJ35_16935
ERR1913161.789668__1.789668	239935__A0A2N8J1K0__CXT97_05765
ERR1913161.789934__1.789934	1262882__R5ML49__BN519_01361
ERR1913161.789957__1.789957	52242__C7XHK0__B5E95_04300
ERR1913161.790471__1.790471	239935__R6JAS2__CXU02_10725
ERR1913161.790491__1.790491	1262882__R5MEW7__BN519_00010
ERR1913161.790454__1.790454	1262882__R5MKL9__BN519_00353
ERR1913161.790721__1.790721	817__A0A1C0WW19__macB_12
ERR1913161.790841__1.790841	2173__A5UJ58__BK798_03985
ERR1913161.790861__1.790861	1263006__R6LU28__BN515_01365
ERR1913161.790824__1.790824	371601__A0A1C7H3W9__SAMN04487924_10816
ERR1913161.792087__1.792087	214856__R5UN64__ERS852447_02669
ERR1913161.792193__1.792193	2173__A0A1D2WTW4__BK798_02715
ERR1913161.792277__1.792277	357276__D1JZM4__HMPREF1065_01278
ERR1913161.792485__1.792485	487175__A0A3D4GD47__HMPREF9439_00714
ERR1913161.792554__1.792554	1262869__R7CM27__BN625_00993
ERR1913161.792820__1.792820	1262882__R5ML49__BN519_01361
ERR1913161.792965__1.792965	239935__A0A139TMY7__CXU13_02020
ERR1913161.793176__1.793176	1034346__A0A3C0DHE7__DES51_105270
ERR1913161.793317__1.793317	823__D7IV95__DXC05_09565
ERR1913161.793348__1.793348	28116__A0A1Y4Q112__evgS_13
ERR1913161.793403__1.793403	328814__GCA_004558275.1_01570
ERR1913161.793620__1.793620	1897011__A0A1Q6REU9__BHW41_04345
ERR1913161.793647__1.793647	239935__A0A2N8IEP3__CXT84_03735
ERR1913161.793680__1.793680	239935__A0A2N8J2P6__ADH72_06730
ERR1913161.794090__1.794090	1262882__R5N587__BN519_01643
ERR1913161.794175__1.794175	357276__C3R9Y0__HMPREF1064_01889
ERR1913161.794393__1.794393	1897011__A0A1Q6RCX0__BHW41_05880
ERR1913161.794652__1.794652	387090__S0F7Y3__BACCOPRO_02028
ERR1913161.795295__1.795295	1262882__R5MHQ8__BN519_00707
ERR1913161.795366__1.795366	1262869__R7CQE2__BN625_01548
ERR1913161.795483__1.795483	1262882__R5MRT2__BN519_01494
ERR1913161.795609__1.795609	1262882__R5MS31__BN519_01529
ERR1913161.795732__1.795732	239935__A0A2N8IF99__lpdA
ERR1913161.795757__1.795757	165179__A0A3E5EAM5__DXC61_07785
ERR1913161.795914__1.795914	239935__A0A2N8HT44__CXT84_11035
ERR1913161.796099__1.796099	214856__I3YPR5__ERS852447_01364
ERR1913161.796535__1.796535	821__A0A174MBW9__SAMN04487923_10272
ERR1913161.796551__1.796551	1262869__R7CPD0__BN625_00137
ERR1913161.796956__1.796956	1262924__R7HRJ9__BN585_00557
ERR1913161.797095__1.797095	371601__I9UUC0__DXD80_12950
ERR1913161.797134__1.797134	818__E5C5U7__SAMN05216253_101163
ERR1913161.797437__1.797437	239935__R6JCH3__CXT95_08205
ERR1913161.797489__1.797489	544645__A0A1Y3VYF4__DXC42_05190
ERR1913161.797531__1.797531	544645__A0A1U7LE84__DXC42_14430
ERR1913161.797546__1.797546	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.797689__1.797689	1780376__A0A143XQT4__BN3659_01658
ERR1913161.798315__1.798315	823__A0A174PLE5__DXD05_03010
ERR1913161.798319__1.798319	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913161.798426__1.798426	626930__F3PVE2__HMPREF9446_02720
ERR1913161.798507__1.798507	47678__R5UHH8__HMPREF1061_02584
ERR1913161.798462__1.798462	820__A0A139K0J1__HMPREF2141_03205
ERR1913161.798599__1.798599	1262869__R7CP96__BN625_01193
ERR1913161.798784__1.798784	239935__R6JD78__CXU05_09250
ERR1913161.799356__1.799356	1262986__R5ZUP0__BN492_01284
ERR1913161.799364__1.799364	1262869__R7CUB7__BN625_00451
ERR1913161.799387__1.799387	239935__R7DVL7__CXT93_01180
ERR1913161.799487__1.799487	100884__E7GFH5__DXB26_14545
ERR1913161.800019__1.800019	823__A0A173W404__DHP27_04905
ERR1913161.800166__1.800166	1262882__R5MEN2__BN519_00200
ERR1913161.800423__1.800423	28118__R6F3B7__B5F93_04425
ERR1913161.800789__1.800789	1262911__R6H2J2__BN557_01228
ERR1913161.800850__1.800850	823__A0A355XLS2__ERS852380_02644
ERR1913161.800870__1.800870	1263000__R5EKG2__BN466_02040
ERR1913161.801188__1.801188	1262882__R5MKV8__BN519_01281
ERR1913161.801404__1.801404	360807__C0FTG2__RIL183_32211
ERR1913161.801453__1.801453	1099853__U5CMJ0__NSB1T_01275
ERR1913161.801632__1.801632	1262869__R7CPS6__BN625_01465
ERR1913161.802012__1.802012	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.802096__1.802096	556259__E5C7G7__BSGG_0443
ERR1913161.802100__1.802100	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.802119__1.802119	1262945__R6YNE9__BN600_00111
ERR1913161.802191__1.802191	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.802312__1.802312	214856__I3YPP0__ERS852447_01388
ERR1913161.802345__1.802345	1262882__R5MF51__BN519_00287
ERR1913161.802466__1.802466	357276__A0A076J726__IY41_15030
ERR1913161.802490__1.802490	1263000__R5EXT3__BN466_02213
ERR1913161.802441__1.802441	1262882__R5MYS9__BN519_00290
ERR1913161.802766__1.802766	239935__R6JD78__CXU05_09250
ERR1913161.802826__1.802826	1262869__R7CRN3__BN625_01760
ERR1913161.803085__1.803085	357276__A0A0K2HDP3__IY41_00705
ERR1913161.803213__1.803213	2293125__A0A374BSW4__DW917_13420
ERR1913161.803283__1.803283	239935__A0A2N8IU14__ADH72_05655
ERR1913161.803271__1.803271	818__Q8A3I3__HMPREF2534_00068
ERR1913161.803339__1.803339	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913161.803394__1.803394	1034346__A0A3C0DH48__DBX92_01270
ERR1913161.803441__1.803441	1262882__R5MRT2__BN519_01494
ERR1913161.803720__1.803720	357276__E5UTL1__HMPREF1065_03551
ERR1913161.803848__1.803848	239935__R6JWJ7__CXT94_02580
ERR1913161.803899__1.803899	239935__A0A2N8IU14__ADH72_05655
ERR1913161.803976__1.803976	328814__GCA_004558275.1_01620
ERR1913161.803902__1.803902	544645__A0A3E4TBU3__DXC42_07745
ERR1913161.803923__1.803923	28117__B0MY40__BHV66_05170
ERR1913161.804006__1.804006	239935__A0A2N8I8X8__B5G29_00185
ERR1913161.804008__1.804008	214856__I3YPP0__ERS852447_01388
ERR1913161.804029__1.804029	74426__thrZ
ERR1913161.804069__1.804069	328814__GCA_004558275.1_02030
ERR1913161.804122__1.804122	1262924__R7HMF7__BN585_01507
ERR1913161.804272__1.804272	39492__A0A174ZG93__EUBSIR_00254
ERR1913161.804614__1.804614	1262992__R5DCV6__BN795_00412
ERR1913161.804651__1.804651	357276__A0A0M1W1I8__ABI39_13620
ERR1913161.804696__1.804696	328814__GCA_004558275.1_00239
ERR1913161.806079__1.806079	410072__A0A173WD04__penA_2
ERR1913161.806368__1.806368	1262882__R5MFA5__BN519_00331
ERR1913161.806851__1.806851	1262882__R5MXS6__BN519_00286
ERR1913161.806885__1.806885	1262869__R7CSQ8__BN625_00058
ERR1913161.807071__1.807071	384638__B7ASI3__BACPEC_02038
ERR1913161.807225__1.807225	1262882__R5ML49__BN519_01361
ERR1913161.807341__1.807341	301301__A0A395V7P2__ERS852391_05080
ERR1913161.807456__1.807456	39492__D4JR31__EUBSIR_00106
ERR1913161.807640__1.807640	239935__R6J9N8__CXT96_07990
ERR1913161.807707__1.807707	1262882__R5N3T7__BN519_01188
ERR1913161.807788__1.807788	46503__R6Y8M7__ERS852463_01228
ERR1913161.807826__1.807826	1262882__R5N5S3__BN519_00085
ERR1913161.808488__1.808488	2173__P22350__Msm_0089
ERR1913161.808684__1.808684	39485__A0A174ZA08__EUBELI_01019
ERR1913161.809071__1.809071	823__E1YT73__NCTC11152_02675
ERR1913161.809151__1.809151	47678__A0A174H7W9__ERS852494_00524
ERR1913161.809190__1.809190	2173__A5UJ55__METSMIF1_03396
ERR1913161.809996__1.809996	214856__A0A174ZZS1__ERS852559_01484
ERR1913161.810296__1.810296	1550024__G9RZG5__TQ39_11180
ERR1913161.810417__1.810417	1160721__A0A1C6CMR2__BHW50_00085
ERR1913161.810545__1.810545	1681__K2HX38__DD684_04780
ERR1913161.810749__1.810749	301301__A0A395V9S1__RHOM_03365
ERR1913161.810771__1.810771	328814__GCA_004558275.1_01570
ERR1913161.811080__1.811080	239935__A0A2N8IMD6__CXU03_05585
ERR1913161.811185__1.811185	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913161.811577__1.811577	74426__purL
ERR1913161.811591__1.811591	328814__GCA_004558275.1_00239
ERR1913161.811801__1.811801	1262869__R7CT15__BN625_01708
ERR1913161.811814__1.811814	2293125__A0A374BMX7__DW917_15775
ERR1913161.811816__1.811816	328814__GCA_004558275.1_02279
ERR1913161.812267__1.812267	1262882__R5MRT2__BN519_01494
ERR1913161.812273__1.812273	820__A0A139K8X8__DXC80_17665
ERR1913161.812312__1.812312	301301__A0A395VAM3__yfiN_2
ERR1913161.812735__1.812735	216816__E8MFM6__DXC54_08560
ERR1913161.812741__1.812741	1160721__W0U1Y5__BHW50_01965
ERR1913161.812831__1.812831	1297617__A0A0S2W1V2__IB211_00824
ERR1913161.813143__1.813143	360807__C0FYZ7__ERS852444_03522
ERR1913161.813469__1.813469	214856__I3YMC8__ERS852447_02666
ERR1913161.813772__1.813772	1550024__G9RZ38__ASJ35_12765
ERR1913161.813860__1.813860	291645__I9SGK8__HMPREF1068_00004
ERR1913161.814017__1.814017	818__A0A173T914__ERS852430_01841
ERR1913161.814107__1.814107	204516__U6R8I1__HMPREF1534_03341
ERR1913161.814378__1.814378	39496__A5Z5I2__EUBVEN_00963
ERR1913161.814482__1.814482	651822__GCA_000210715.1_00753
ERR1913161.814483__1.814483	823__A0A355XLT7__HMPREF1075_03402
ERR1913161.814687__1.814687	410072__A0A3E4GT65__ERS852574_02325
ERR1913161.815218__1.815218	823__D0TCC2__HMPREF1075_01590
ERR1913161.815659__1.815659	1262882__R5MND9__BN519_00831
ERR1913161.815709__1.815709	301302__A0A0M6WJW1__ERS852420_02245
ERR1913161.815723__1.815723	1262882__R5N3H1__BN519_01121
ERR1913161.815836__1.815836	47678__R5UAY9__DW706_07200
ERR1913161.815761__1.815761	820__A0A174GK47__ERS852421_00200
ERR1913161.815962__1.815962	357276__D1JZM4__HMPREF1065_01278
ERR1913161.816325__1.816325	1262882__R5MSP5__BN519_01637
ERR1913161.816624__1.816624	410072__C0BC88__DXD67_11180
ERR1913161.816740__1.816740	1262869__R7CRP7__BN625_01723
ERR1913161.816942__1.816942	239935__A0A139TVJ4__CXT86_02020
ERR1913161.817050__1.817050	1550024__A0A3B9WE41__ASJ35_03585
ERR1913161.817051__1.817051	1235835__R9LCU2__C814_02677
ERR1913161.817015__1.817015	1263006__R6LU28__BN515_01365
ERR1913161.817330__1.817330	823__A6LEQ6__DXB14_05705
ERR1913161.817353__1.817353	649756__R7BXQ5__HMPREF0369_01797
ERR1913161.817298__1.817298	820__A0A396EWL3__ERS417307_03868
ERR1913161.817466__1.817466	2293125__A0A374BSW4__DW917_13420
ERR1913161.817766__1.817766	239935__A0A3F3K985__CXT98_05805
ERR1913161.817962__1.817962	246787__A0A0P0GPP9__BACCELL_01902
ERR1913161.818009__1.818009	1550024__A0A3B9WFD4__ASJ35_04875
ERR1913161.818310__1.818310	239935__A0A139TVH7__CXU22_00215
ERR1913161.818468__1.818468	239935__A0A139TPG3__CXT86_08810
ERR1913161.818605__1.818605	1683__C4FD57__BIFANG_02240
ERR1913161.818952__1.818952	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.818926__1.818926	1262882__R5MEK3__BN519_00296
ERR1913161.818985__1.818985	823__A0A355XLQ9__DXC05_02185
ERR1913161.819111__1.819111	410072__A0A3E4GPS4__tagA
ERR1913161.819451__1.819451	46503__B7B776__DXB85_00355
ERR1913161.819509__1.819509	1550024__G9RNX5__ASJ35_11740
ERR1913161.819676__1.819676	1262869__R7CKH2__BN625_00829
ERR1913161.819820__1.819820	214856__A0A174G9T6__ERS852447_02535
ERR1913161.819937__1.819937	28117__B0MST6__BHV66_06090
ERR1913161.820105__1.820105	1262882__R5MLP5__BN519_01602
ERR1913161.820210__1.820210	820__A0A139K4W1__M093_0353
ERR1913161.820230__1.820230	1550024__G9RWE3__TQ39_04170
ERR1913161.820516__1.820516	28116__A0A078QGJ1__AA414_00533
ERR1913161.820757__1.820757	1379702__U6EE28__MBMB1_1515
ERR1913161.821132__1.821132	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913161.821166__1.821166	1262882__R5MYI1__BN519_00416
ERR1913161.821294__1.821294	47678__R5U9Z0__HMPREF1061_03210
ERR1913161.821898__1.821898	328814__GCA_004558275.1_00007
ERR1913161.821936__1.821936	239935__A0A2N8HZW2__A4V05_11120
ERR1913161.822020__1.822020	1262882__R5N526__BN519_01603
ERR1913161.822337__1.822337	214856__R6XNE7__ERS852447_02267
ERR1913161.822364__1.822364	1262882__R5N0J9__BN519_00773
ERR1913161.822329__1.822329	239935__B2UL21__CXT98_03395
ERR1913161.822544__1.822544	1160721__W0U2W0__BHW50_02075
ERR1913161.822708__1.822708	1550024__G9RPI3__ASJ35_09180
ERR1913161.822724__1.822724	47678__A5ZHJ2__DXB67_12405
ERR1913161.822808__1.822808	2173__A5UJ58__BK798_03985
ERR1913161.822978__1.822978	552398__F4XCR9__HMPREF0866_01636
ERR1913161.823042__1.823042	1297617__A0A2U1BI18__BIV19_10830
ERR1913161.823075__1.823075	239935__R6J5N6__CXT99_10770
ERR1913161.823204__1.823204	1262882__A0A356PSJ4__BN519_01180
ERR1913161.823425__1.823425	239935__A0A2N8IYM5__CXT84_05130
ERR1913161.823746__1.823746	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913161.823990__1.823990	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913161.824034__1.824034	239935__R6J5N6__CXT99_10770
ERR1913161.824124__1.824124	214856__I3YPN9__ERS852447_01389
ERR1913161.824244__1.824244	47678__I8UYF7__DW706_16415
ERR1913161.824315__1.824315	28116__F7L4X5__M089_2857
ERR1913161.824427__1.824427	47678__A5ZI88__BACCAC_02617
ERR1913161.824556__1.824556	328814__GCA_004558275.1_00033
ERR1913161.824633__1.824633	2173__A0A1D2WSL0__METSMIF1_03725
ERR1913161.824710__1.824710	239935__A0A2N8HDT1__CXT94_05270
ERR1913161.824660__1.824660	1262924__R7HTA4__BN585_00391
ERR1913161.824876__1.824876	28116__R6JAK2__DXD69_23875
ERR1913161.825017__1.825017	371601__I9US45__BXY_27540
ERR1913161.825169__1.825169	936548__J1BBI8__HMPREF1136_1952
ERR1913161.825184__1.825184	39488__R6GBC5__DXD91_06450
ERR1913161.825371__1.825371	239935__R7DVW2__CXU02_03915
ERR1913161.825613__1.825613	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.825725__1.825725	1262785__R6LZZ2__BN565_01426
ERR1913161.826048__1.826048	239935__A0A2N8I1R3__CXU05_06075
ERR1913161.826315__1.826315	357276__A0A076IN21__BSEG_03078
ERR1913161.826328__1.826328	1263000__R5EXT3__BN466_02213
ERR1913161.826357__1.826357	820__A7UYX8__DXD40_11635
ERR1913161.826421__1.826421	1262869__R7CLS0__BN625_01160
ERR1913161.826702__1.826702	410072__C0BBL7__ERS852389_00531
ERR1913161.826747__1.826747	1796652__ltrA_3
ERR1913161.826943__1.826943	823__D0TGD9__hpt
ERR1913161.827121__1.827121	357276__I9R201__B5F00_01910
ERR1913161.827332__1.827332	357276__C3RA36__HMPREF1065_03270
ERR1913161.827357__1.827357	1262959__R5XWF4__BN680_00496
ERR1913161.827617__1.827617	1262882__R5N2U9__BN519_01221
ERR1913161.827610__1.827610	544645__A0A1U7L8K0__DXC42_08675
ERR1913161.827681__1.827681	2173__A0A1D2WXL3__Msm_1788
ERR1913161.827886__1.827886	239935__R6JWJ7__CXT94_02580
ERR1913161.827955__1.827955	1550024__G9RVD5__ASJ35_04350
ERR1913161.828085__1.828085	1262882__R5N5S3__BN519_00085
ERR1913161.828128__1.828128	239935__A0A2N8IHY1__CXU06_00035
ERR1913161.828178__1.828178	357276__I8WEZ6__BACDOR_02323
ERR1913161.828580__1.828580	239935__A0A2N8IMD6__CXU03_05585
ERR1913161.828687__1.828687	820__A0A173YYG4__evgS_3
ERR1913161.828769__1.828769	147206__GCF_000156215.1_00118
ERR1913161.828799__1.828799	239935__R6JAS2__CXU02_10725
ERR1913161.828802__1.828802	239935__A0A2N8IUW6__Amuc_1525
ERR1913161.828904__1.828904	357276__A0A076IRZ5__BACDOR_00630
ERR1913161.829217__1.829217	2173__A0A1D2WST6__METSMIALI_00213
ERR1913161.829306__1.829306	1262986__R6A815__BN492_01131
ERR1913161.829513__1.829513	214856__I3YPR6__Alfi_2724
ERR1913161.829776__1.829776	820__A0A174G065__DXB62_08975
ERR1913161.830011__1.830011	1262882__R5N1R4__BN519_00788
ERR1913161.830126__1.830126	47678__R5UZM4__DW706_15680
ERR1913161.830156__1.830156	823__A0A395YRX4__ERS852513_03444
ERR1913161.830231__1.830231	1099853__G9S456__NSB1T_03840
ERR1913161.830337__1.830337	820__A0A3E4G8F8__ERS852421_01645
ERR1913161.830376__1.830376	328814__GCA_004558275.1_00293
ERR1913161.830426__1.830426	53442__A0A1E7S3R5__SAMN04515649_10324
ERR1913161.830501__1.830501	28118__R6F6B2__B5F99_03180
ERR1913161.830544__1.830544	239935__A0A2N8IG27__CXT85_07805
ERR1913161.830694__1.830694	2173__A0A1D2WRY2__Msm_1736
ERR1913161.830698__1.830698	357276__I8WPR6__EL88_06675
ERR1913161.830852__1.830852	820__A0A1T4IYF4__mprA_1
ERR1913161.830949__1.830949	1897011__A0A1Q6RH12__BHW41_01505
ERR1913161.831281__1.831281	28118__F9ZBG8__DHW44_04410
ERR1913161.831287__1.831287	1550024__G9RXI8__TQ39_11495
ERR1913161.831294__1.831294	239935__A0A2N8IUW6__Amuc_1525
ERR1913161.831326__1.831326	1550024__G9RXH7__TQ39_11565
ERR1913161.831351__1.831351	357276__A0A0M1W4C0__DXD47_07095
ERR1913161.831421__1.831421	1683__C4FFS5__BBAG_1056
ERR1913161.831541__1.831541	239935__A0A2N8HHY4__DEF40_10850
ERR1913161.831747__1.831747	1262746__R5S759__BN750_00759
ERR1913161.831836__1.831836	1550024__G9RUM6__TQ39_16565
ERR1913161.831854__1.831854	1262938__R5FAZ2__BN812_01755
ERR1913161.832065__1.832065	357276__A0A0M1W657__HMPREF1064_04629
ERR1913161.832173__1.832173	214856__I3YPN0__ERS852447_01398
ERR1913161.832331__1.832331	1235835__R9LCU2__C814_02677
ERR1913161.832853__1.832853	239935__A0A139TVJ4__CXT86_02020
ERR1913161.833123__1.833123	239935__A0A2N8ITG2__Amuc_0335
ERR1913161.833216__1.833216	239935__A0A2N8I3G2__CXT89_00720
ERR1913161.833230__1.833230	28117__B0MU76__ALIPUT_00202
ERR1913161.833527__1.833527	239935__A0A3F3K985__CXT98_05805
ERR1913161.833685__1.833685	1550024__G9RT56__TQ39_09200
ERR1913161.833775__1.833775	1262882__R5N0M6__BN519_00794
ERR1913161.834240__1.834240	239935__R6J776__CXU07_02355
ERR1913161.834320__1.834320	487175__R5E7P2__HMPREF9439_00873
ERR1913161.834469__1.834469	1262882__R5MLE6__BN519_01423
ERR1913161.834491__1.834491	291645__I9SGK8__HMPREF1068_00004
ERR1913161.834891__1.834891	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913161.834940__1.834940	46506__R6LAK5__SAMN05444283_11231
ERR1913161.834981__1.834981	239935__A0A2N8J1K0__CXT97_05765
ERR1913161.835098__1.835098	301301__A0A395VAT7__dhaS_1
ERR1913161.835233__1.835233	357276__B6W5Q7__DXD47_13945
ERR1913161.835366__1.835366	239935__A0A2N8HAQ1__DEF40_05290
ERR1913161.835411__1.835411	1262869__R7CTW3__BN625_00722
ERR1913161.835316__1.835316	214856__A0A174G9T6__ERS852447_02535
ERR1913161.835627__1.835627	187327__G4Q682__Acin_1672
ERR1913161.835619__1.835619	301301__A0A395VD84__RHOM_09080
ERR1913161.835826__1.835826	1683__A0A126SU27__Bang102_001985
ERR1913161.836352__1.836352	1262882__R5MF51__BN519_00287
ERR1913161.836451__1.836451	357276__I8VLL2__HMPREF1065_03395
ERR1913161.836567__1.836567	301301__A0A395V8J8__RHOM_11280
ERR1913161.836632__1.836632	1297617__A0A2U1CD33__IB211_00961
ERR1913161.836702__1.836702	239935__A0A2N8IXN0__CXT95_01765
ERR1913161.836755__1.836755	1235835__R9LCU2__C814_02677
ERR1913161.836774__1.836774	28117__B0MUT8__ALIPUT_00879
ERR1913161.836788__1.836788	239935__A0A139TQT9__Amuc_1197
ERR1913161.836864__1.836864	1262911__R6HJV5__BN557_00309
ERR1913161.837124__1.837124	239935__A0A2N8I368__CXT95_04550
ERR1913161.837241__1.837241	1262869__R7CRP7__BN625_01723
ERR1913161.837522__1.837522	239935__R7DVL7__CXT93_01180
ERR1913161.837460__1.837460	360807__A0A173T236__RIL183_24471
ERR1913161.837641__1.837641	239935__A0A139TPG3__CXT86_08810
ERR1913161.837655__1.837655	1262869__R7CQJ4__BN625_01587
ERR1913161.837777__1.837777	487175__R5EHI2__HMPREF9439_00085
ERR1913161.837805__1.837805	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913161.838323__1.838323	2173__A0A1D2WVF8__Msm_1030
ERR1913161.838407__1.838407	328814__GCA_004558275.1_00293
ERR1913161.838471__1.838471	301301__A0A395V407__ERS852391_02230
ERR1913161.838711__1.838711	821__D4V4X2__DXC16_18525
ERR1913161.838888__1.838888	239935__A0A2N8ILG3__CXT93_10135
ERR1913161.839048__1.839048	1262882__R5N1L4__BN519_00757
ERR1913161.839310__1.839310	1034346__A0A318KEA4__DBX92_03675
ERR1913161.839432__1.839432	28052__R5HJU0__ERS852451_00148
ERR1913161.839456__1.839456	1262882__R5MGI7__BN519_00643
ERR1913161.839772__1.839772	214856__A0A174CRY5__ERS852559_01060
ERR1913161.840010__1.840010	1263005__R6ET55__BN497_00642
ERR1913161.840214__1.840214	1262882__R5MZF2__BN519_00592
ERR1913161.840490__1.840490	823__K6APS3__DDY96_02400
ERR1913161.840547__1.840547	823__A6LBY1__ERS852380_00510
ERR1913161.840666__1.840666	384639__GCA_003096855.1_00980
ERR1913161.840826__1.840826	562__Q8XBR9__G770_00628
ERR1913161.840998__1.840998	1235835__R9LCU2__C814_02677
ERR1913161.840984__1.840984	28117__B0MTY2__BHV66_06485
ERR1913161.841045__1.841045	47678__R5UWN2__BACCAC_01649
ERR1913161.841229__1.841229	820__A0A3E4WA06__ERS852554_03404
ERR1913161.841442__1.841442	2173__A5ULL1__Msm_0884
ERR1913161.841595__1.841595	1262882__R5MYX5__BN519_00333
ERR1913161.841565__1.841565	1262882__R5MYI1__BN519_00416
ERR1913161.841569__1.841569	28116__A0A1Y4Q3M4__NCTC11153_02254
ERR1913161.841826__1.841826	1263006__R6LU28__BN515_01365
ERR1913161.841863__1.841863	1235835__R9LCU2__C814_02677
ERR1913161.842011__1.842011	343516__GeneID:3953002
ERR1913161.842040__1.842040	239935__A0A2N8I9N0__CXT97_09915
ERR1913161.842098__1.842098	39496__A5Z5I2__EUBVEN_00963
ERR1913161.842197__1.842197	1262869__R7CR66__BN625_01456
ERR1913161.842325__1.842325	410072__A0A3E4GT65__ERS852574_02325
ERR1913161.842367__1.842367	1262882__R5MJ49__BN519_01124
ERR1913161.842606__1.842606	820__A0A139KEW8__DXB64_06405
ERR1913161.842659__1.842659	2173__A0A1D2WV05__BK798_06920
ERR1913161.842843__1.842843	239935__A0A2N8IL82__CXU02_11740
ERR1913161.842980__1.842980	1262882__R5N1N6__BN519_00968
ERR1913161.843211__1.843211	328814__GCA_004558275.1_01621
ERR1913161.843253__1.843253	239935__A0A2N8IVR0__CXT87_07115
ERR1913161.843263__1.843263	1262882__R5N1T9__BN519_00804
ERR1913161.843413__1.843413	28116__A0A395W0G7__NCTC11153_02716
ERR1913161.843513__1.843513	823__A0A395Z0N9__DHW69_05890
ERR1913161.843788__1.843788	2292352__A0A374UNZ9__DXC23_01520
ERR1913161.844029__1.844029	239935__A0A2N8IMD6__CXU03_05585
ERR1913161.844234__1.844234	1262882__R5MLP5__BN519_01602
ERR1913161.844391__1.844391	1550024__G9RP65__ASJ35_11645
ERR1913161.844550__1.844550	301301__A0A395VBK4__RHOM_13190
ERR1913161.844533__1.844533	1262739__R6MQW5__BN659_01356
ERR1913161.844590__1.844590	823__A0A395YY84__DXC05_19515
ERR1913161.844721__1.844721	239935__A0A2N8IHY1__CXU06_00035
ERR1913161.844978__1.844978	1965604__A0A1Y4EZZ6__B5F54_12300
ERR1913161.845102__1.845102	823__A6LDT7__CEQ22_002595
ERR1913161.845235__1.845235	1262882__R5MMD8__BN519_01576
