ERR1913209.41__1.41	39492__D4JTU4__ykfG
ERR1913209.811193__1.811193	820__A0A374Q854__HMPREF1073_03281
ERR1913209.811245__1.811245	626932__G5H7N2__HMPREF9450_00685
ERR1913209.811610__1.811610	88431__A0A3D0EY52__ERS852573_01763
ERR1913209.811633__1.811633	1262882__R5MQ68__BN519_01178
ERR1913209.811680__1.811680	40518__R5DUU0__DXD93_03985
ERR1913209.811704__1.811704	46228__V8C3Z1__RUMLAC_02619
ERR1913209.811767__1.811767	1897011__A0A1Q6RG62__BHW41_02455
ERR1913209.811782__1.811782	1099853__U5CBZ4__NSB1T_00950
ERR1913209.811827__1.811827	823__A6LBY1__ERS852380_00510
ERR1913209.811894__1.811894	1262882__R5MND9__BN519_00831
ERR1913209.811946__1.811946	1262911__R6GY78__BN557_00532
ERR1913209.812050__1.812050	1262911__R6GYH2__BN557_00590
ERR1913209.812258__1.812258	820__A0A174EV88__HMPREF1072_01427
ERR1913209.812323__1.812323	853__A0A173YYY4__DWZ04_09420
ERR1913209.812332__1.812332	562__P76135__CTY41_23560
ERR1913209.812357__1.812357	46228__B5CPF2__RUMLAC_01345
ERR1913209.812396__1.812396	239935__A0A2N8IRW0__A4V05_11620
ERR1913209.812452__1.812452	1150298__A0A174AM35__ERS852498_00645
ERR1913209.812708__1.812708	28118__F9Z3U6__B5F99_03365
ERR1913209.812778__1.812778	820__A0A139K8N1__ERS852554_00951
ERR1913209.812793__1.812793	820__A0A3E4WA06__ERS852554_03404
ERR1913209.812913__1.812913	1262882__R5MSP5__BN519_01637
ERR1913209.813119__1.813119	1262911__R6H1B2__BN557_00840
ERR1913209.813211__1.813211	46228__V8CAV6__addA
ERR1913209.813213__1.813213	1262882__R5MRT2__BN519_01494
ERR1913209.813170__1.813170	357276__B6W5Q9__HMPREF1063_03125
ERR1913209.813289__1.813289	1150298__A0A174GQV8__ERS852406_02454
ERR1913209.813414__1.813414	418240__C6J892__ERS852478_02502
ERR1913209.813429__1.813429	357276__A0A076J0Y3__IY41_06810
ERR1913209.813591__1.813591	562__P46855__PU39_09885
ERR1913209.813577__1.813577	1262744__R6FIA3__BN744_00247
ERR1913209.813639__1.813639	1262921__R5LMK9__BN473_01331
ERR1913209.813772__1.813772	1262882__R5N048__BN519_00502
ERR1913209.813799__1.813799	820__A0A3E4G8F8__ERS852421_01645
ERR1913209.813807__1.813807	562__P0AFH7__oppC
ERR1913209.813821__1.813821	166486__D4L449__ROSINTL182_08802
ERR1913209.813823__1.813823	820__A0A3E4RU03__M093_0563
ERR1913209.813867__1.813867	853__A0A173TAZ8__DWZ46_14590
ERR1913209.814061__1.814061	1262882__R5N3H1__BN519_01121
ERR1913209.814103__1.814103	246787__A0A3D6AWJ7__AA416_00506
ERR1913209.814212__1.814212	239935__A0A2N8IVR0__CXT87_07115
ERR1913209.814379__1.814379	552398__F4XCR9__HMPREF0866_01636
ERR1913209.814424__1.814424	39492__D4JR58__EUBSIR_02090
ERR1913209.814585__1.814585	387090__S0F7Y3__BACCOPRO_02028
ERR1913209.814848__1.814848	357276__A0A0K2HG61__BACDOR_02028
ERR1913209.815074__1.815074	221029__GeneID:2777078
ERR1913209.815077__1.815077	818__A0A0P0F7K1__ERS852461_02719
ERR1913209.815129__1.815129	823__A0A355XGQ3__prmC
ERR1913209.815291__1.815291	10868__GeneID:1261859
ERR1913209.815487__1.815487	1262921__R5MBU7__BN473_02531
ERR1913209.815644__1.815644	239935__A0A2N8IEP3__CXT84_03735
ERR1913209.815973__1.815973	1147151__GeneID:14182067
ERR1913209.816017__1.816017	357276__B6W1Y5__IY41_11405
ERR1913209.816036__1.816036	239935__R6J776__CXU07_02355
ERR1913209.816111__1.816111	301302__R5VGE0__ERS852420_00121
ERR1913209.816159__1.816159	1262920__R5KD76__BN467_01465
ERR1913209.816218__1.816218	1099853__G9S349__NSB1T_12610
ERR1913209.816293__1.816293	562__P52045__CW278_17595
ERR1913209.816644__1.816644	1262882__R5N1V0__BN519_00816
ERR1913209.816646__1.816646	823__D0TBY4__M090_0431
ERR1913209.816807__1.816807	310298__B3JQJ5__BACCOP_04231
ERR1913209.816951__1.816951	820__A0A374MXK3__HMPREF1072_00166
ERR1913209.817022__1.817022	301302__R5V7G4__ywtF
ERR1913209.817276__1.817276	1262921__R5LMK9__BN473_01331
ERR1913209.817302__1.817302	820__A0A3E4RU03__M093_0563
ERR1913209.817437__1.817437	357276__I8WC65__EL88_00520
ERR1913209.817482__1.817482	28026__A0A267WLP7__DXD35_07115
ERR1913209.817488__1.817488	39492__D4JRZ7__smc
ERR1913209.817529__1.817529	301302__R5V631__ERS852420_03369
ERR1913209.817581__1.817581	1262882__R5N3H1__BN519_01121
ERR1913209.817684__1.817684	820__A0A173W419__DXC68_17760
ERR1913209.817822__1.817822	1160721__W0U330__BHW50_08125
ERR1913209.817925__1.817925	1262882__R5MT08__BN519_01706
ERR1913209.818010__1.818010	471189__GCA_003340385.1_00339
ERR1913209.818269__1.818269	1262911__R6GTA5__BN557_01337
ERR1913209.818337__1.818337	10678__GeneID:2777481
ERR1913209.818407__1.818407	28117__B0MXL6__ALIPUT_01851
ERR1913209.818535__1.818535	454154__G5SQ56__HMPREF9441_01493
ERR1913209.818678__1.818678	239935__A0A139TPD4__CXT86_06450
ERR1913209.818702__1.818702	28026__A0A174C4P8__DXC83_07990
ERR1913209.818824__1.818824	2026240__rfaH
ERR1913209.819082__1.819082	1262911__R6GT99__BN557_01335
ERR1913209.819110__1.819110	39491__C4ZD70__LD38_03510
ERR1913209.819147__1.819147	1628085__A0A396QTT4__C7386_103139
ERR1913209.819241__1.819241	246787__A0A108T429__BACCELL_00192
ERR1913209.819244__1.819244	1263000__R5EF60__BN466_01316
ERR1913209.819270__1.819270	820__A0A374Q854__HMPREF1073_03281
ERR1913209.819429__1.819429	301302__R5VEI6__cysA_2
ERR1913209.819512__1.819512	1262911__R6HJT1__BN557_00291
ERR1913209.820069__1.820069	562__P77183__CDL50_13955
ERR1913209.820496__1.820496	357276__I9RAC4__BSEG_00561
ERR1913209.820642__1.820642	239935__A0A2N8ITW6__CXT91_06265
ERR1913209.820880__1.820880	28052__A0A174HF53__ERS852499_00436
ERR1913209.820974__1.820974	1262882__R5MKV8__BN519_01281
ERR1913209.820946__1.820946	39492__D4JWY7__EUBSIR_01655
ERR1913209.820998__1.820998	1262882__R5MYI1__BN519_00416
ERR1913209.821054__1.821054	823__A0A1Y4I349__DXB14_09300
ERR1913209.821648__1.821648	823__K6AS99__ERS852429_01856
ERR1913209.821838__1.821838	338188__C9L213__ERS852397_00630
ERR1913209.822196__1.822196	820__A0A3E4FWC8__DXC91_14635
ERR1913209.822157__1.822157	301302__A0A173RZU9__M72_23561
ERR1913209.822587__1.822587	1099853__G9S756__NSB1T_10585
ERR1913209.822769__1.822769	28117__R7JIJ8__BHV66_01635
ERR1913209.822987__1.822987	1262882__R5MIY9__BN519_01097
ERR1913209.823074__1.823074	357276__I9QPN0__B5F95_09195
ERR1913209.823193__1.823193	1263000__R5EQL2__BN466_00892
ERR1913209.823221__1.823221	1263000__R5EKT2__BN466_02168
ERR1913209.823200__1.823200	823__D0TAX5__HMPREF1075_01064
ERR1913209.823282__1.823282	46228__V8BSH8__HMPREF1202_02173
ERR1913209.823346__1.823346	1150298__A0A173ZYU8__sipT_2
ERR1913209.823415__1.823415	165179__A0A3E5EA43__DXC61_07775
ERR1913209.823730__1.823730	357276__A0A076IN30__DXD47_09350
ERR1913209.823773__1.823773	239935__A0A2N8IUU3__CXU18_08060
ERR1913209.823810__1.823810	1262882__R5MRS7__BN519_01490
ERR1913209.823824__1.823824	1262889__R7HA29__BN634_00657
ERR1913209.823972__1.823972	28052__R7N9D0__yhaP
ERR1913209.824084__1.824084	820__A0A3E4RU03__M093_0563
ERR1913209.824278__1.824278	172901__A0A2U1AEJ5__C8D82_14617
ERR1913209.824415__1.824415	1150298__R7JU58__ssuC_2
ERR1913209.824542__1.824542	853__C7H1R8__DW905_06675
ERR1913209.824888__1.824888	454154__G5SPP3__HMPREF9441_01326
ERR1913209.825092__1.825092	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.825170__1.825170	28117__B0MTS2__ALIPUT_00159
ERR1913209.825210__1.825210	310298__B3JLT9__BACCOP_02886
ERR1913209.825228__1.825228	1796613__A0A1C7GYD6__A4V03_03700
ERR1913209.825363__1.825363	246787__R6LGB3__BcellWH2_02361
ERR1913209.825392__1.825392	172901__A0A2U1B3W1__C8D82_10959
ERR1913209.825540__1.825540	1150298__A0A174KMK7__rluD_3
ERR1913209.825672__1.825672	46503__K5ZM81__DCY29_16460
ERR1913209.825715__1.825715	1099853__G9S349__NSB1T_12610
ERR1913209.825812__1.825812	823__A6LDT7__CEQ22_002595
ERR1913209.825799__1.825799	1099853__G9S1W7__NSB1T_07110
ERR1913209.825853__1.825853	39492__A0A174ZP27__EUBSIR_00033
ERR1913209.825947__1.825947	357276__E5UTL1__HMPREF1065_03551
ERR1913209.825972__1.825972	823__A0A355XLQ9__DXC05_02185
ERR1913209.826094__1.826094	40520__R7D8F5__DXC87_14065
ERR1913209.826126__1.826126	10678__GeneID:2777402
ERR1913209.826380__1.826380	357276__A0A0K2HG61__BACDOR_02028
ERR1913209.826539__1.826539	310298__B3JK97__BACCOP_02326
ERR1913209.826686__1.826686	39492__D4JX40__EUBSIR_00020
ERR1913209.826727__1.826727	1628085__A0A3E2Y0H4__C7386_101347
ERR1913209.827079__1.827079	338188__K5CB50__BACFIN_05402
ERR1913209.827140__1.827140	214856__A0A174CRY5__ERS852559_01060
ERR1913209.827364__1.827364	166486__D4L458__ROSINTL182_07088
ERR1913209.827447__1.827447	35833__E5Y2V2__HMPREF0179_00466
ERR1913209.827530__1.827530	1262882__R5ML49__BN519_01361
ERR1913209.827566__1.827566	1262744__R6FIY6__BN744_00730
ERR1913209.827753__1.827753	1262744__R6G6M0__BN744_01270
ERR1913209.827818__1.827818	1263107__GCA_000436995.1_00193
ERR1913209.827964__1.827964	1262744__R6FRL5__BN744_00055
ERR1913209.828010__1.828010	10678__GeneID:2777415
ERR1913209.828124__1.828124	1262921__R5LMK9__BN473_01331
ERR1913209.828132__1.828132	820__A0A3E4XDK3__ERS852554_03650
ERR1913209.828299__1.828299	1262882__R5MYX5__BN519_00333
ERR1913209.828524__1.828524	823__A6LHK0__M090_1297
ERR1913209.828668__1.828668	823__A0A355XFH7__ERS852513_00769
ERR1913209.828641__1.828641	10678__GeneID:2777387
ERR1913209.828731__1.828731	1262744__R6F827__BN744_00695
ERR1913209.828809__1.828809	562__P32704__COD56_15900
ERR1913209.829266__1.829266	39492__D4MIY5__EUBSIR_00233
ERR1913209.829381__1.829381	28117__B0MXL6__ALIPUT_01851
ERR1913209.829385__1.829385	820__A0A3E5E9Y8__DXD90_09110
ERR1913209.829468__1.829468	1262921__R5MBU7__BN473_02531
ERR1913209.829598__1.829598	46503__R6Y9P8__evgS_3
ERR1913209.829784__1.829784	1263044__GCA_000433375.1_00023
ERR1913209.829720__1.829720	1099853__G9S6V8__NSB1T_06170
ERR1913209.829729__1.829729	46503__R6XDP9__ERS852463_01752
ERR1913209.829794__1.829794	1262882__R5N1L4__BN519_00757
ERR1913209.830066__1.830066	46503__A7AB74__DD461_00855
ERR1913209.830128__1.830128	357276__A0A0K2HDP3__IY41_00705
ERR1913209.830282__1.830282	39491__A0A174LTW7__DXD13_08720
ERR1913209.830303__1.830303	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913209.830474__1.830474	820__A0A3E4QZJ7__C801_01798
ERR1913209.830821__1.830821	28116__C3QZB5__M088_3811
ERR1913209.831126__1.831126	1262911__R6H072__BN557_00615
ERR1913209.831153__1.831153	28026__A0A267WLS3__DXD35_07705
ERR1913209.831195__1.831195	1099853__U5CNF1__NSB1T_01130
ERR1913209.831389__1.831389	39490__A0A173TV85__hcaR_2
ERR1913209.831422__1.831422	301302__R5UUM8__ganB_1
ERR1913209.831429__1.831429	564886__GeneID:6973115
ERR1913209.831608__1.831608	246787__R6KBH9__HMPREF1062_04676
ERR1913209.831704__1.831704	1262882__R5N678__BN519_01604
ERR1913209.831733__1.831733	28026__A0A087B874__DXD35_05140
ERR1913209.831852__1.831852	1262882__R5MDR8__BN519_00124
ERR1913209.832040__1.832040	562__P0ADK7__yibA
ERR1913209.832164__1.832164	47678__R5U4P2__CGC64_17185
ERR1913209.832560__1.832560	820__A0A139KHX1__HMPREF2141_00289
ERR1913209.832582__1.832582	357276__B6VXX7__HMPREF1063_02683
ERR1913209.832640__1.832640	28118__R6FBF6__Odosp_2396
ERR1913209.832646__1.832646	1099853__G9S4M5__NSB1T_14400
ERR1913209.832901__1.832901	1262882__R5MND9__BN519_00831
ERR1913209.833006__1.833006	820__A0A3E4WCX3__C801_02709
ERR1913209.833031__1.833031	357276__I9QPN3__EL88_09245
ERR1913209.833266__1.833266	204516__U6R9E6__HMPREF1534_03149
ERR1913209.833355__1.833355	39485__C4Z6F3__EUBELI_20400
ERR1913209.833411__1.833411	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913209.833622__1.833622	563769__GeneID:6972918
ERR1913209.833640__1.833640	33039__A0A173VTT4__frdB_1
ERR1913209.833795__1.833795	204516__U6RKS4__HMPREF1534_01431
ERR1913209.833830__1.833830	239935__R7E524__CXT91_06180
ERR1913209.833866__1.833866	40518__R5E2F3__artQ
ERR1913209.833897__1.833897	1262743__R5C054__BN727_01980
ERR1913209.833942__1.833942	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.834356__1.834356	39492__D4JUD9__EUBSIR_01875
ERR1913209.834359__1.834359	823__E1YSG0__DHP27_00465
ERR1913209.834484__1.834484	1262882__R5MLA4__BN519_01536
ERR1913209.834495__1.834495	239935__A0A2N8I3Z7__CXU05_10555
ERR1913209.834574__1.834574	357276__B6W5Q7__DXD47_13945
ERR1913209.834646__1.834646	46228__B5CTE5__HMPREF1202_00334
ERR1913209.834676__1.834676	39492__D4JSS2__EUBSIR_00553
ERR1913209.834998__1.834998	1262911__R6HN81__BN557_00921
ERR1913209.835199__1.835199	823__A0A174PDQ0__DXC05_08200
ERR1913209.835205__1.835205	1262958__R7GR59__BN645_00956
ERR1913209.835245__1.835245	357276__I9R4T1__IY41_06800
ERR1913209.835343__1.835343	674529__R6UPU0__SAMN05444400_108101
ERR1913209.835497__1.835497	562__P77183__CDL50_13955
ERR1913209.835622__1.835622	823__A0A355XF06__B5F32_11480
ERR1913209.835636__1.835636	28026__A0A3E5HSJ3__ERS852455_00104
ERR1913209.835708__1.835708	820__A0A174LJB2__HMPREF1072_04112
ERR1913209.835943__1.835943	357276__A0A076IXE0__HMPREF1064_04364
ERR1913209.836098__1.836098	1262958__R7GQW0__BN645_00907
ERR1913209.836185__1.836185	39492__D4JT68__spoIIIE
ERR1913209.836532__1.836532	1150298__A0A174B7I7__ERS852535_01258
ERR1913209.836548__1.836548	1262921__R5MFA8__BN473_00594
ERR1913209.836683__1.836683	823__A0A355XN36__DXB14_02385
ERR1913209.836713__1.836713	1262911__R6GXS5__BN557_00160
ERR1913209.836773__1.836773	1262882__R5MT08__BN519_01706
ERR1913209.836919__1.836919	39492__D4JV48__ERS852540_00852
ERR1913209.837054__1.837054	40518__R5DZI2__DXD93_06940
ERR1913209.837223__1.837223	239935__A0A2N8HW65__CXU09_08515
ERR1913209.837362__1.837362	172901__A0A2U1ALK5__C8D82_13135
ERR1913209.837605__1.837605	39492__D4JQL8__ywpJ
ERR1913209.837628__1.837628	39492__D4JRM9__bglB_2
ERR1913209.837666__1.837666	328814__GCA_004558275.1_00221
ERR1913209.837695__1.837695	28117__B0MZ50__ALIPUT_02424
ERR1913209.837703__1.837703	1262882__R5MM90__BN519_01721
ERR1913209.837877__1.837877	39492__D4JU81__xseA
ERR1913209.838315__1.838315	1262882__R5MHA1__BN519_00763
ERR1913209.838342__1.838342	39491__A0A395V2Y7__DXB72_13970
ERR1913209.838344__1.838344	28117__R7JJM9__ALIPUT_00662
ERR1913209.838392__1.838392	218538__C9LMG6__GCWU000321_00719
ERR1913209.838401__1.838401	1262882__R5MMP8__BN519_01654
ERR1913209.838693__1.838693	214856__I3YK71__ERS852559_02472
ERR1913209.838769__1.838769	823__A0A078TE44__DD466_14830
ERR1913209.839221__1.839221	1263000__R5ESM1__BN466_01440
ERR1913209.839230__1.839230	1150298__A0A173W9F4__ERS852498_02567
ERR1913209.839356__1.839356	1796613__I8YN26__ADH74_13170
ERR1913209.839518__1.839518	1796613__A0A1C7H300__A4V03_17350
ERR1913209.839526__1.839526	1262921__R5LMN0__BN473_01328
ERR1913209.839572__1.839572	1150298__A0A174J629__ERS852498_00833
ERR1913209.839618__1.839618	55884__GeneID:935206
ERR1913209.839625__1.839625	562__P69229__G746_02312
ERR1913209.840392__1.840392	165179__D1PGU8__PREVCOP_06463
ERR1913209.840417__1.840417	310298__B3JFI7__BACCOP_00636
ERR1913209.840568__1.840568	172901__A0A2U1AZZ4__C8D82_1126
ERR1913209.840593__1.840593	357276__C3RDQ5__HMPREF1065_03827
ERR1913209.840626__1.840626	46503__R6WTN6__PARMER_00136
ERR1913209.840703__1.840703	1263000__R5EFY3__BN466_01416
ERR1913209.840931__1.840931	1150298__A0A174DU21__toxA_3
ERR1913209.841121__1.841121	46228__V8BSG0__RUMLAC_01955
ERR1913209.841183__1.841183	39492__D4JW10__pppA
ERR1913209.841704__1.841704	39492__D4JTK2__EUBSIR_01439
ERR1913209.841718__1.841718	1262882__R5MLA4__BN519_01536
ERR1913209.841792__1.841792	357276__A0A0K2HG61__BACDOR_02028
ERR1913209.841862__1.841862	563769__GeneID:6973141
ERR1913209.841912__1.841912	1099853__U5C500__NSB1T_05700
ERR1913209.842004__1.842004	28026__A0A072MUU6__DXD87_08375
ERR1913209.842044__1.842044	46228__B5CR77__truA
ERR1913209.842208__1.842208	28118__R6F2P2__NCTC10826_02131
ERR1913209.842174__1.842174	820__A0A396CMY7__HMPREF1072_03009
ERR1913209.842342__1.842342	1262911__R6GSH8__BN557_00939
ERR1913209.842482__1.842482	820__A7V8C2__ERS852554_01338
ERR1913209.842413__1.842413	40518__R5DLJ7__lytR_4
ERR1913209.842607__1.842607	823__A6LB63__M095_1847
ERR1913209.842760__1.842760	820__A0A078S4C2__ERS417307_00828
ERR1913209.842816__1.842816	357276__I8WPR6__EL88_06675
ERR1913209.842933__1.842933	1262882__R5MM69__BN519_00075
ERR1913209.842873__1.842873	1535__A7VS87__CLOLEP_01425
ERR1913209.843243__1.843243	823__D7IT19__DHP27_03495
ERR1913209.843373__1.843373	394340__tufA
ERR1913209.843456__1.843456	172901__A0A2U1AAK5__C8D82_1615
ERR1913209.843507__1.843507	562__P23837__phoQ
ERR1913209.843660__1.843660	40518__R5DV58__htrA
ERR1913209.843669__1.843669	674529__R6V9C9__DXB21_16435
ERR1913209.843607__1.843607	39492__D4JV38__EUBSIR_01205
ERR1913209.843831__1.843831	1262921__R5M3E4__BN473_00712
ERR1913209.843895__1.843895	562__P32704__COD56_15900
ERR1913209.844206__1.844206	239935__A0A139TMG9__CXU07_10650
ERR1913209.844229__1.844229	39492__D4JVC7__yfgF
ERR1913209.844304__1.844304	239935__A0A139TSG7__CXU17_09600
ERR1913209.844746__1.844746	1262911__R6GKS1__BN557_00184
ERR1913209.845227__1.845227	39491__A0A173QT73__alaS_2
ERR1913209.845362__1.845362	1262744__R6FRL5__BN744_00055
ERR1913209.845541__1.845541	820__A0A139KHX1__HMPREF2141_00289
ERR1913209.845636__1.845636	1262882__R5N1T9__BN519_00804
ERR1913209.845737__1.845737	1262744__R6FSQ0__BN744_00379
ERR1913209.845805__1.845805	820__A0A173WUD7__DXB48_08055
ERR1913209.845975__1.845975	820__A0A3E4G826__C801_01612
ERR1913209.846012__1.846012	1262921__R5M2J9__BN473_00593
ERR1913209.846023__1.846023	1099853__U5CJQ4__NSB1T_11640
ERR1913209.846090__1.846090	246787__I8V2S2__BACCELL_02524
ERR1913209.846069__1.846069	338188__R6SAC6__ERS852397_01653
ERR1913209.846081__1.846081	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913209.846143__1.846143	28026__A0A267WL58__DXD87_05710
ERR1913209.846198__1.846198	28026__A0A267WP56__DXD43_06910
ERR1913209.846377__1.846377	454155__F3QU38__HMPREF9442_01709
ERR1913209.846608__1.846608	1262911__R6GVB3__BN557_01690
ERR1913209.846578__1.846578	1262918__R5CBG7__BN458_01203
ERR1913209.846693__1.846693	310298__B3JQJ5__BACCOP_04231
ERR1913209.846805__1.846805	357276__I8WC65__EL88_00520
ERR1913209.847044__1.847044	1150298__R7JTX5__ERS852535_01291
ERR1913209.847131__1.847131	1262911__R6HG37__BN557_01341
ERR1913209.847517__1.847517	46228__V8C989__HMPREF1202_01036
ERR1913209.847654__1.847654	301302__R5UQ67__M72_23121
ERR1913209.847687__1.847687	2173__A0A1D2WST6__METSMIALI_00213
ERR1913209.848231__1.848231	1262744__R6FGX4__BN744_00191
ERR1913209.848385__1.848385	823__A0A355XF06__B5F32_11480
ERR1913209.848431__1.848431	1263000__R5ENX5__BN466_00466
ERR1913209.848557__1.848557	28052__R7NDF6__ERS852499_01807
ERR1913209.848605__1.848605	1099853__R7DKP8__NSB1T_07205
ERR1913209.848666__1.848666	1150298__R7JRK4__ERS852406_01648
ERR1913209.848779__1.848779	853__A0A2J4JL53__CRH10_10795
ERR1913209.848857__1.848857	239935__A0A2N8ITG2__Amuc_0335
ERR1913209.848927__1.848927	28117__B0MY40__BHV66_05170
ERR1913209.849008__1.849008	1262882__R5MHQ8__BN519_00707
ERR1913209.849086__1.849086	1262882__R5N2A9__BN519_00921
ERR1913209.849091__1.849091	818__D7IK38__ERS852430_03017
ERR1913209.849227__1.849227	853__A0A173T0Y8__CGS54_07215
ERR1913209.849352__1.849352	1262882__R5MDR8__BN519_00124
ERR1913209.849297__1.849297	820__A0A3E4G826__C801_01612
ERR1913209.849442__1.849442	1262921__R5LSI3__BN473_01312
ERR1913209.849899__1.849899	853__A0A2J4JL53__CRH10_10795
ERR1913209.850037__1.850037	39492__R6RT40__prkC_3
ERR1913209.850173__1.850173	10678__GeneID:2777421
ERR1913209.850220__1.850220	871324__A0A1M6I3G7__SAMN05444350_12134
ERR1913209.850313__1.850313	820__A0A374Q1D8__SAMN05444418_112114
ERR1913209.850453__1.850453	28117__B0MTY2__BHV66_06485
ERR1913209.850790__1.850790	1262882__R5N3T7__BN519_01188
ERR1913209.850876__1.850876	28026__A0A396BA17__DXC83_09095
ERR1913209.850915__1.850915	301302__R5VE75__M72_12161
ERR1913209.850995__1.850995	39492__D4JQS6__ykoD
ERR1913209.851149__1.851149	39492__D4JWY0__EUBSIR_01648
ERR1913209.851267__1.851267	46228__B5CN43__DXD17_14210
ERR1913209.851362__1.851362	1262921__R5M7E3__BN473_01889
ERR1913209.851324__1.851324	820__A0A174DZ97__SAMN05444418_101240
ERR1913209.851639__1.851639	28117__B0MTV0__BHV66_06395
ERR1913209.851690__1.851690	33039__D4M0U9__mucD
ERR1913209.852010__1.852010	823__A6LDT7__CEQ22_002595
ERR1913209.852039__1.852039	28117__R7JIY2__BHV66_06465
ERR1913209.852217__1.852217	28052__A0A174H9I6__ERS852451_00172
ERR1913209.852274__1.852274	39491__A0A174LTW7__DXD13_08720
ERR1913209.852277__1.852277	1147151__GeneID:14182070
ERR1913209.852513__1.852513	239935__A0A2N8IEP3__CXT84_03735
ERR1913209.852621__1.852621	28026__A0A174CDN1__DXC83_09100
ERR1913209.852625__1.852625	1262921__R5MFA8__BN473_00594
ERR1913209.852665__1.852665	204516__U6RJY4__HMPREF1534_01494
ERR1913209.852788__1.852788	820__A0A3E4W984__pssA
ERR1913209.852835__1.852835	39491__A0A395V2Y7__DXB72_13970
ERR1913209.852919__1.852919	28026__A0A174CDN1__DXC83_09100
ERR1913209.852935__1.852935	328814__GCA_004558275.1_00293
ERR1913209.853101__1.853101	1099853__U5CER2__NSB1T_13270
ERR1913209.853242__1.853242	28026__C0BRU7__BIFPSEUDO_03361
ERR1913209.853291__1.853291	244366__A0A0B7GCL1__sucC
ERR1913209.853426__1.853426	28026__A0A267WL58__DXD87_05710
ERR1913209.853541__1.853541	418240__C6JH13__ERS852478_02750
ERR1913209.853553__1.853553	823__A0A355XIK0__CEQ22_011965
ERR1913209.853634__1.853634	823__A0A174VHT1__DHP27_04775
ERR1913209.853942__1.853942	1150298__A0A174HEB6__ypdC_2
ERR1913209.854033__1.854033	649756__B0P4T3__ERS852520_01352
ERR1913209.854076__1.854076	1263044__GCA_000433375.1_01168
ERR1913209.854205__1.854205	1262882__R5N5S3__BN519_00085
ERR1913209.854216__1.854216	39492__D4JRS7__ERS852540_02076
ERR1913209.854169__1.854169	1262882__R5MJ49__BN519_01124
ERR1913209.854285__1.854285	1796613__R9HHZ9__ADH74_10095
ERR1913209.854287__1.854287	1262882__R5MM10__BN519_01679
ERR1913209.854302__1.854302	246787__A0A108T429__BACCELL_00192
ERR1913209.854497__1.854497	1262992__R5D0M4__BN795_01613
ERR1913209.854868__1.854868	28118__F9Z7M2__B5F99_10065
ERR1913209.854931__1.854931	820__A0A139K4W1__M093_0353
ERR1913209.855122__1.855122	823__A0A174LDE8__M096_3277
ERR1913209.855107__1.855107	1262882__R5N3H1__BN519_01121
ERR1913209.855308__1.855308	1262921__R5LTU7__BN473_01717
ERR1913209.855357__1.855357	1150298__A0A174QNY9__ERS852498_01028
ERR1913209.855405__1.855405	1150298__A0A174QSN4__rpoD
ERR1913209.855460__1.855460	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.855507__1.855507	1463165__A0A1C3Q626__CI665_09915
ERR1913209.855690__1.855690	301302__R5UKP4__cbiT
ERR1913209.855749__1.855749	1263000__R5EHB0__BN466_01647
ERR1913209.855752__1.855752	1262882__R5MT08__BN519_01706
ERR1913209.855864__1.855864	246787__A0A139L268__BcellWH2_03192
ERR1913209.855911__1.855911	39492__D4JT67__EUBSIR_01784
ERR1913209.855987__1.855987	189722__E0NQU7__HMPREF0658_0548
ERR1913209.856219__1.856219	817__A0A015ZG63__M138_3555
ERR1913209.856302__1.856302	1262882__R5N3T7__BN519_01188
ERR1913209.856378__1.856378	357276__C3RA36__HMPREF1065_03270
ERR1913209.856557__1.856557	1262882__R5MY46__BN519_00355
ERR1913209.856559__1.856559	10678__GeneID:2777415
ERR1913209.856830__1.856830	820__A0A174Q0F0__DXB48_08080
ERR1913209.856900__1.856900	246787__R6LCC2__BACCELL_00607
ERR1913209.857012__1.857012	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913209.857062__1.857062	39492__D4JTK2__EUBSIR_01439
ERR1913209.857218__1.857218	821__A0A0P0LFP6__C5Z04_13890
ERR1913209.857231__1.857231	40520__R7DC40__ERS852394_02152
ERR1913209.857274__1.857274	39492__D4JX34__ERS852540_00411
ERR1913209.857397__1.857397	10678__GeneID:2777481
ERR1913209.857413__1.857413	246787__I9QX02__HMPREF1062_01641
ERR1913209.857607__1.857607	310298__B3JED9__BACCOP_00230
ERR1913209.857915__1.857915	239935__A0A2N8I694__CXU04_06245
ERR1913209.858402__1.858402	1262889__R7H801__BN634_02373
ERR1913209.858626__1.858626	1862668__GCA_001945525.1_00031
ERR1913209.858930__1.858930	310298__B3JII2__BACCOP_01694
ERR1913209.859083__1.859083	1262921__R5LTU7__BN473_01717
ERR1913209.859203__1.859203	218538__C9LPE5__GCWU000321_01424
ERR1913209.859269__1.859269	820__A0A173XIP7__B5G17_16050
ERR1913209.859545__1.859545	820__A0A139KHX1__HMPREF2141_00289
ERR1913209.859562__1.859562	1262882__R5MMP8__BN519_01654
ERR1913209.859575__1.859575	239935__A0A2N8HH03__CXU09_08875
