ERR1913186.42__1.42	1262882__R5N5S3__BN519_00085
ERR1913186.1660140__1.1660140	301302__A0A0M6W9I4__M72_19871
ERR1913186.1660426__1.1660426	901__B6WY50__DESPIGER_1446
ERR1913186.1660568__1.1660568	1262936__R7J0Z2__BN799_00650
ERR1913186.1660597__1.1660597	1628085__A0A3E2Y1H6__C7386_104158
ERR1913186.1660771__1.1660771	1680__R5GZF2__DXC60_01925
ERR1913186.1661498__1.1661498	39491__A0A395UWZ1__DXC13_02175
ERR1913186.1662111__1.1662111	360807__A0A1Q6SXK5__RIL183_06541
ERR1913186.1662116__1.1662116	301302__A0A0M6WZT5__M72_18331
ERR1913186.1662127__1.1662127	821__A0A174WBC9__ERS852556_03145
ERR1913186.1662233__1.1662233	28052__A0A174GR15__mcp3_1
ERR1913186.1662883__1.1662883	1299998__GCA_001494635.1_00345
ERR1913186.1663504__1.1663504	165179__D1P9T6__PREVCOP_04016
ERR1913186.1663891__1.1663891	45851__D4RZF4__BUTYVIB_01220
ERR1913186.1664482__1.1664482	1550024__G9RZN9__ASJ35_05735
ERR1913186.1664600__1.1664600	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913186.1664667__1.1664667	1262936__R7J1D1__BN799_01770
ERR1913186.1664713__1.1664713	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913186.1664881__1.1664881	1262936__R7J2L3__BN799_01877
ERR1913186.1665213__1.1665213	1262936__R7J2L3__BN799_01877
ERR1913186.1665563__1.1665563	301302__R5V7D6__tagA
ERR1913186.1665957__1.1665957	1262882__R5MZZ3__BN519_00482
ERR1913186.1666142__1.1666142	1262959__R5XXE7__BN680_00354
ERR1913186.1666238__1.1666238	1735__B7CD06__EUBIFOR_02085
ERR1913186.1666274__1.1666274	1680__R5GRA4__ERS852382_01548
ERR1913186.1666303__1.1666303	40518__R5DVQ2__DXD93_00365
ERR1913186.1666407__1.1666407	28026__C0BQ53__BIFPSEUDO_02493
ERR1913186.1667074__1.1667074	45851__D4RYS4__BHV86_05460
ERR1913186.1667286__1.1667286	40518__R5DY98__mepA_5
ERR1913186.1667401__1.1667401	147206__GCF_000156215.1_01776
ERR1913186.1667476__1.1667476	2317__Q2NHI4__Msp_0017
ERR1913186.1667782__1.1667782	1262936__R7IYH4__BN799_00795
ERR1913186.1668157__1.1668157	1680__R5GMB5__AD0028_1137
ERR1913186.1668244__1.1668244	40518__R5DXP6__DXD83_06110
ERR1913186.1668290__1.1668290	1263107__GCA_000436995.1_00069
ERR1913186.1668359__1.1668359	1262911__R6HLR5__BN557_00628
ERR1913186.1668449__1.1668449	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913186.1668468__1.1668468	1262936__R7IYH4__BN799_00795
ERR1913186.1668563__1.1668563	1263000__R5EDV4__BN466_01097
ERR1913186.1668964__1.1668964	1262924__R7HQB3__BN585_00435
ERR1913186.1668972__1.1668972	1680__A0A3E4SB79__BAD_1517
ERR1913186.1668976__1.1668976	1262936__R7J420__BN799_00406
ERR1913186.1669066__1.1669066	45851__D4S0Q4__lepB
ERR1913186.1669183__1.1669183	216816__B7GN29__BL72_08765
ERR1913186.1669255__1.1669255	1262936__R7IZZ2__BN799_01307
ERR1913186.1669283__1.1669283	39485__A0A174Z7G5__EUBELI_01168
ERR1913186.1669855__1.1669855	216816__A0A374SVM3__BLSL_0492
ERR1913186.1669928__1.1669928	40518__R5DUG7__sbcC
ERR1913186.1669939__1.1669939	1262936__R7J3L8__BN799_00414
ERR1913186.1669906__1.1669906	1262959__R5XZ30__BN680_00854
ERR1913186.1670303__1.1670303	1680__A7A2Y2__NCTC11814_00537
ERR1913186.1670362__1.1670362	1263027__R6ZE67__BN699_02172
ERR1913186.1670543__1.1670543	74426__group_4823
ERR1913186.1670817__1.1670817	28118__F9ZAE1__DF785_04930
ERR1913186.1670861__1.1670861	147206__GCF_000156215.1_01774
ERR1913186.1670984__1.1670984	301302__R5VFU2__xynA1
ERR1913186.1671096__1.1671096	1262700__R5XKX7__BN695_01333
ERR1913186.1671354__1.1671354	1897011__A0A1Q6RH29__BHW41_01570
ERR1913186.1671361__1.1671361	1262936__R7J1E6__BN799_01664
ERR1913186.1671570__1.1671570	1550024__A0A0D8IYB1__TQ39_12130
ERR1913186.1671704__1.1671704	901__A0A1K1LF78__DESPIGER_1556
ERR1913186.1671666__1.1671666	901__B6WQT6__DESPIG_00415
ERR1913186.1671736__1.1671736	1262911__R6HJS5__BN557_00288
ERR1913186.1671852__1.1671852	45851__D4S141__BHV86_05760
ERR1913186.1671832__1.1671832	1680__A0A087DHN0__AL0462_1532
ERR1913186.1671921__1.1671921	74426__purL
ERR1913186.1672338__1.1672338	745368__A0A1T4WEV8__SAMN02745178_00491
ERR1913186.1672375__1.1672375	216816__D6DBD5__DXC32_04335
ERR1913186.1672772__1.1672772	301302__R5VE56__M72_25941
ERR1913186.1672953__1.1672953	28111__E5WTP7__NCTC11155_01925
ERR1913186.1673093__1.1673093	1262936__R7J1I2__BN799_01776
ERR1913186.1673205__1.1673205	33039__D4M4W3__RTO_17030
ERR1913186.1673213__1.1673213	301302__A0A0M6WG68__ERS852420_02421
ERR1913186.1673223__1.1673223	1680__A0A087DHN0__AL0462_1532
ERR1913186.1673235__1.1673235	29361__B6FLM7__CLONEX_01049
ERR1913186.1673351__1.1673351	147206__GCF_000156215.1_01776
ERR1913186.1673542__1.1673542	28052__A0A174YNE8__ERS852451_00845
ERR1913186.1673652__1.1673652	301302__A0A173T3P5__ERS852420_01836
ERR1913186.1673731__1.1673731	1263027__R6ZZS3__BN699_02045
ERR1913186.1673759__1.1673759	1262936__R7J360__BN799_00345
ERR1913186.1673792__1.1673792	45851__D4RWT6__BHV86_06395
ERR1913186.1673902__1.1673902	45851__D4S0B1__BHV86_10120
ERR1913186.1674012__1.1674012	1680__A0A174BH90__B0487_1759
ERR1913186.1674211__1.1674211	1262911__R6GXS5__BN557_00160
ERR1913186.1674302__1.1674302	1263000__R5EXT3__BN466_02213
ERR1913186.1674519__1.1674519	1262911__R6GLI1__BN557_01518
ERR1913186.1674611__1.1674611	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913186.1675294__1.1675294	901__B6WRD8__DHV46_04960
ERR1913186.1675419__1.1675419	2022527__A0A264YB65__CHL74_00110
ERR1913186.1675604__1.1675604	47678__A5ZB44__C5Z00_17730
ERR1913186.1675637__1.1675637	165179__A0A3E4SEG4__DXC61_11235
ERR1913186.1675736__1.1675736	1689__W2VEU4__SAMN05192536_2216
ERR1913186.1675802__1.1675802	74426__group_4851
ERR1913186.1676197__1.1676197	901__B6WUN6__DHV46_11020
ERR1913186.1676258__1.1676258	1393034__GCA_001552785.1_00728
ERR1913186.1676512__1.1676512	147206__GCF_000156215.1_00014
ERR1913186.1676555__1.1676555	301302__A0A0M6W9I4__M72_19871
ERR1913186.1676567__1.1676567	74426__pdxS
ERR1913186.1676711__1.1676711	45851__D4RYU3__BUTYVIB_01007
ERR1913186.1676955__1.1676955	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913186.1677225__1.1677225	820__A0A1Y3V743__M093_0235
ERR1913186.1677384__1.1677384	1262889__R7H6R3__BN634_02192
ERR1913186.1677415__1.1677415	301302__A0A0M6WBZ5__spr
ERR1913186.1677871__1.1677871	84112__F0HL92__Elen_0304
ERR1913186.1678242__1.1678242	2173__A0A1D2WW26__METSMIALI_01077
ERR1913186.1678553__1.1678553	1262936__R7J0W9__BN799_00634
ERR1913186.1678571__1.1678571	39485__C4Z434__tilS
ERR1913186.1678653__1.1678653	1680__A0A174BEE7__BSTER_1311
ERR1913186.1678801__1.1678801	572010__sigA
ERR1913186.1678868__1.1678868	1262992__R5D3W6__BN795_00533
ERR1913186.1679853__1.1679853	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913186.1679855__1.1679855	1262961__R6E1C5__BN710_01058
ERR1913186.1679871__1.1679871	1897011__A0A1Q6RF20__BHW41_02930
ERR1913186.1679886__1.1679886	33043__A0A173ZL29__ERS852386_01345
ERR1913186.1680127__1.1680127	1262959__R5YGW0__BN680_01511
ERR1913186.1680175__1.1680175	901__B6WTQ4__DESPIGER_1255
ERR1913186.1680737__1.1680737	853__A0A173T751__C4N24_10280
ERR1913186.1681301__1.1681301	45851__D4RWS3__BUTYVIB_00110
ERR1913186.1681746__1.1681746	39491__A0A396FQV7__T1815_10751
ERR1913186.1682088__1.1682088	301302__A0A173S436__M72_16191
ERR1913186.1682430__1.1682430	45851__R5LRP4__BUTYVIB_00447
ERR1913186.1682526__1.1682526	74426__pflB_2
ERR1913186.1683131__1.1683131	28052__R7NCE8__cph2_1
ERR1913186.1683450__1.1683450	301302__A0A0M6WJW1__ERS852420_02245
ERR1913186.1683597__1.1683597	1680__A0A174BEE7__BSTER_1311
ERR1913186.1683845__1.1683845	1150298__R7JSE8__coaX_1
ERR1913186.1684186__1.1684186	216816__B3DRU6__DPC6323_0992
ERR1913186.1684116__1.1684116	74426__nrdD
ERR1913186.1684455__1.1684455	1262936__R7J6F9__BN799_00540
ERR1913186.1684584__1.1684584	901__B6WUN6__DHV46_11020
ERR1913186.1684622__1.1684622	1262992__R5DC96__BN795_01524
ERR1913186.1684891__1.1684891	39491__A0A395V5R3__EUBREC_1883
ERR1913186.1684894__1.1684894	901__B6WYD7__DESPIG_03118
ERR1913186.1685373__1.1685373	165179__R6CNX7__DXB80_02200
ERR1913186.1685377__1.1685377	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913186.1685928__1.1685928	216816__C2GSX7__DD678_03555
ERR1913186.1686541__1.1686541	165179__R6CNX7__DXB80_02200
ERR1913186.1686586__1.1686586	74426__nifJ
ERR1913186.1686694__1.1686694	33043__A0A173WWJ5__ERS852386_00339
ERR1913186.1686787__1.1686787	39491__A0A395ZBW8__DXC13_08840
ERR1913186.1687174__1.1687174	1262936__R7IYJ1__BN799_00810
ERR1913186.1687346__1.1687346	1262936__R7IZZ2__BN799_01307
ERR1913186.1687675__1.1687675	1680__A0A3E4SB79__BAD_1517
ERR1913186.1687743__1.1687743	1263027__R7AXQ2__BN699_01139
ERR1913186.1687888__1.1687888	1628085__A0A374VS54__C7386_101156
ERR1913186.1687847__1.1687847	1262911__R6GUQ4__BN557_01581
ERR1913186.1688025__1.1688025	2293125__A0A374BSV3__DW917_13360
ERR1913186.1688088__1.1688088	1680__A0A087DHN0__AL0462_1532
ERR1913186.1688184__1.1688184	1262911__R6GKS1__BN557_00184
ERR1913186.1688342__1.1688342	1680__A0A0B5BIU5__BSTER_0145
ERR1913186.1688418__1.1688418	418240__A0A174L567__ERS852478_01510
ERR1913186.1688673__1.1688673	1680__A0A0B5BME4__DXD63_05015
ERR1913186.1688772__1.1688772	1680__A0A374QDL4__LMG18897_0432
ERR1913186.1688936__1.1688936	1680__A0A3E4SB79__BAD_1517
ERR1913186.1688871__1.1688871	552398__F4XCR9__HMPREF0866_01636
ERR1913186.1689006__1.1689006	1262882__R5MEK3__BN519_00296
ERR1913186.1689147__1.1689147	165179__D1PCU4__PREVCOP_05029
ERR1913186.1689557__1.1689557	301301__A0A395V7U1__ycdT
ERR1913186.1689656__1.1689656	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1689664__1.1689664	165179__A0A229I3Z6__PREVCOP_03666
ERR1913186.1689616__1.1689616	74426__group_4823
ERR1913186.1689626__1.1689626	301301__G2SZL1__ERS852391_00584
ERR1913186.1689693__1.1689693	2292352__A0A374UQJ9__DXC23_03560
ERR1913186.1689786__1.1689786	1262882__R5N1V0__BN519_00816
ERR1913186.1689769__1.1689769	74426__nrdD
ERR1913186.1689966__1.1689966	1262992__R5D733__BN795_00375
ERR1913186.1690316__1.1690316	39485__C4Z6N2__EUBELI_20479
ERR1913186.1690366__1.1690366	901__B6WYC3__DESPIG_03104
ERR1913186.1690439__1.1690439	74426__nifJ
ERR1913186.1690488__1.1690488	1262882__R5MKX3__BN519_00395
ERR1913186.1690508__1.1690508	901__B6WTS6__DESPIG_01483
ERR1913186.1690514__1.1690514	446660__GCA_003428235.1_00802
ERR1913186.1690611__1.1690611	1680__A0A174BEE7__BSTER_1311
ERR1913186.1690592__1.1690592	28111__R5K5Y0__NCTC11155_03071
ERR1913186.1690718__1.1690718	1550024__G9RW08__ASJ35_03155
ERR1913186.1690901__1.1690901	45851__D4RY62__BHV86_05035
ERR1913186.1690987__1.1690987	1262936__R7J247__BN799_01051
ERR1913186.1690964__1.1690964	40519__U2KYR7__RUMCAL_00225
ERR1913186.1691003__1.1691003	216816__A0A2N0SME6__BLIF_1881
ERR1913186.1691252__1.1691252	74426__purL
ERR1913186.1691306__1.1691306	74426__nifJ
ERR1913186.1691203__1.1691203	216816__E5XYF2__APC1480_0509
ERR1913186.1691405__1.1691405	74426__pdxS
ERR1913186.1691408__1.1691408	1550024__G9RY06__TQ39_00225
ERR1913186.1691629__1.1691629	39491__C4ZEW3__T1815_18241
ERR1913186.1692347__1.1692347	1262936__R7IYJ1__BN799_00810
ERR1913186.1692355__1.1692355	40518__R5DTG5__RBATCC27255_00890
ERR1913186.1692481__1.1692481	1680__A1A132__B0703_0684
ERR1913186.1692543__1.1692543	39491__A0A395V0H6__ERS852580_02570
ERR1913186.1692683__1.1692683	301302__A0A0M6WIX9__ERS852420_01972
ERR1913186.1692714__1.1692714	1150298__A0A174PC05__ERS852498_00682
ERR1913186.1692820__1.1692820	712888__U1R918__HMPREF0043_02152
ERR1913186.1693053__1.1693053	1263107__GCA_000436995.1_00021
ERR1913186.1693258__1.1693258	239935__A0A2N8HAQ1__DEF40_05290
ERR1913186.1693357__1.1693357	1262882__R5MND9__BN519_00831
ERR1913186.1693423__1.1693423	28111__E5X0Y0__HMPREF1016_02598
ERR1913186.1693536__1.1693536	88431__A0A174EDE9__yxeP_2
ERR1913186.1693659__1.1693659	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1694002__1.1694002	40518__R5DYF6__RBL263_01812
ERR1913186.1694132__1.1694132	901__B6WXI0__DHV46_02055
ERR1913186.1694144__1.1694144	1262936__R7J1X7__BN799_01807
ERR1913186.1694987__1.1694987	1262936__R7J3D8__BN799_00213
ERR1913186.1695056__1.1695056	671266__GCA_004801615.1_00232
ERR1913186.1695182__1.1695182	39485__A0A174ZQT9__EUBELI_20278
ERR1913186.1695695__1.1695695	45851__D4RYR7__BHV86_05495
ERR1913186.1695806__1.1695806	901__B6WXK8__DESPIG_02835
ERR1913186.1696248__1.1696248	74426__group_4823
ERR1913186.1696205__1.1696205	901__B6WQM5__cobM
ERR1913186.1696906__1.1696906	820__A0A174VD39__DXD90_12235
ERR1913186.1697082__1.1697082	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913186.1697403__1.1697403	1680__A7A2Y2__NCTC11814_00537
ERR1913186.1697653__1.1697653	1628085__A0A374VS54__C7386_101156
ERR1913186.1698258__1.1698258	216816__C2GUV2__APC1478_0430
ERR1913186.1698328__1.1698328	901__B6WX14__mviN
ERR1913186.1698384__1.1698384	40518__R5DU92__DXD93_03170
ERR1913186.1698387__1.1698387	901__B6WQM5__cobM
ERR1913186.1698942__1.1698942	45851__R5LTE7__BHV86_04805
ERR1913186.1699139__1.1699139	39491__A0A395V0E5__ERE_31370
ERR1913186.1699514__1.1699514	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913186.1699519__1.1699519	28111__R5K5X6__NCTC11155_02508
ERR1913186.1699585__1.1699585	853__A0A174C5M1__CGS58_04460
ERR1913186.1699715__1.1699715	1680__A0A087DHN0__AL0462_1532
ERR1913186.1699763__1.1699763	360807__A0A173WE18__prkC_2
ERR1913186.1700394__1.1700394	1263000__R5EQI3__BN466_00125
ERR1913186.1700535__1.1700535	1262911__R6GN99__BN557_01784
ERR1913186.1700958__1.1700958	706562__GCA_900112995.1_01876
ERR1913186.1701352__1.1701352	74426__group_1871
ERR1913186.1701586__1.1701586	1263000__R5EXT3__BN466_02213
ERR1913186.1701713__1.1701713	1263000__R5EC87__BN466_00713
ERR1913186.1701760__1.1701760	1262911__R6GZX7__BN557_00838
ERR1913186.1702122__1.1702122	40518__R5DMC7__blaR1
ERR1913186.1702255__1.1702255	1262882__R5MPY4__BN519_01128
ERR1913186.1702441__1.1702441	216816__A0A2U0BLP0__tsaB
ERR1913186.1702530__1.1702530	1897011__A0A1Q6RDY7__BHW41_05255
ERR1913186.1702581__1.1702581	1262919__R5PFI3__BN465_02148
ERR1913186.1702672__1.1702672	1262936__R7J2K7__BN799_00229
ERR1913186.1702838__1.1702838	820__A0A3E4IBC1__M094_0628
ERR1913186.1702880__1.1702880	1680__A7A7Z9__AAX71_05385
ERR1913186.1702892__1.1702892	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1703035__1.1703035	1262936__R7IYW8__BN799_00842
ERR1913186.1703113__1.1703113	147206__GCF_000156215.1_01776
ERR1913186.1703486__1.1703486	1150298__R7JV71__ERS852498_00755
ERR1913186.1703994__1.1703994	301302__A0A0M6WSS7__ERS852420_02367
ERR1913186.1704017__1.1704017	165179__D1PB89__DXC61_08425
ERR1913186.1704115__1.1704115	45851__D4S0Q4__lepB
ERR1913186.1704253__1.1704253	1262882__R5MRT2__BN519_01494
ERR1913186.1704271__1.1704271	1628085__A0A2U1BGN2__C7386_10147
ERR1913186.1704430__1.1704430	1897011__A0A1Q6RC34__BHW41_06455
ERR1913186.1704725__1.1704725	1262936__R7J1I2__BN799_01776
ERR1913186.1704867__1.1704867	1262936__R7J5X5__BN799_00356
ERR1913186.1705003__1.1705003	1263000__R5EXT3__BN466_02213
ERR1913186.1705007__1.1705007	40518__R5DU38__DXD83_06770
ERR1913186.1705072__1.1705072	2022527__A0A264YA17__CHL74_03025
ERR1913186.1705118__1.1705118	572010__nifJ
ERR1913186.1705278__1.1705278	45851__D4S366__BUTYVIB_02552
ERR1913186.1705310__1.1705310	901__B6WXG9__DESPIG_02795
ERR1913186.1705381__1.1705381	39485__A0A174YZE2__spoIIE
ERR1913186.1705455__1.1705455	39488__A0A174CKH9__EUBHAL_00342
ERR1913186.1705557__1.1705557	1680__A0A174BEE7__BSTER_1311
ERR1913186.1705738__1.1705738	1680__A0A174BEE7__BSTER_1311
ERR1913186.1706115__1.1706115	301302__A0A0M6WZT5__M72_18331
ERR1913186.1706149__1.1706149	1263006__R6LT09__BN515_01035
ERR1913186.1706830__1.1706830	45851__D4RWJ7__BHV86_05950
ERR1913186.1706891__1.1706891	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913186.1706979__1.1706979	147206__GCF_000156215.1_01777
ERR1913186.1707091__1.1707091	1262882__R5MIY9__BN519_01097
ERR1913186.1707125__1.1707125	165179__A0A3E5EAM5__DXC61_07785
ERR1913186.1707251__1.1707251	1680__A0A174BH90__B0487_1759
ERR1913186.1707439__1.1707439	40518__R5DP61__DXD86_06345
ERR1913186.1707720__1.1707720	40518__R5DS68__hcpC
ERR1913186.1708294__1.1708294	853__A0A174C5M1__CGS58_04460
ERR1913186.1708268__1.1708268	74426__rpoB
ERR1913186.1708462__1.1708462	901__B6WUN6__DHV46_11020
ERR1913186.1708582__1.1708582	216816__A0A396FRQ5__DD678_01245
ERR1913186.1708583__1.1708583	1680__R5GRA4__ERS852382_01548
ERR1913186.1708539__1.1708539	1680__A0A087DHN0__AL0462_1532
ERR1913186.1708996__1.1708996	39485__A0A174YVL0__xynZ_2
ERR1913186.1709004__1.1709004	45851__D4S288__BHV86_04325
ERR1913186.1709219__1.1709219	1680__A0A2R4G1K8__BBMN23_0315
ERR1913186.1709261__1.1709261	45851__D4RWJ0__BHV86_05915
ERR1913186.1709461__1.1709461	572010__rpoB
ERR1913186.1709519__1.1709519	39491__A0A174K9A3__DXB69_07785
ERR1913186.1709538__1.1709538	1680__A0A374QDL4__LMG18897_0432
ERR1913186.1709580__1.1709580	1262911__R6GW73__BN557_00128
ERR1913186.1709735__1.1709735	901__B6WW26__DESPIG_02294
ERR1913186.1710223__1.1710223	165179__A0A3E5E2S3__DXB80_03455
ERR1913186.1710423__1.1710423	1262882__R5MIC9__BN519_00834
ERR1913186.1710571__1.1710571	147206__GCF_000156215.1_00014
ERR1913186.1710517__1.1710517	1680__A0A0C2YPV2__AL0462_1474
ERR1913186.1710656__1.1710656	1680__A0A087DHN0__AL0462_1532
ERR1913186.1710662__1.1710662	1263006__R6LJG8__BN515_01754
ERR1913186.1710694__1.1710694	1262959__R5YH34__BN680_01621
ERR1913186.1710700__1.1710700	40518__R5E1X3__clcA
ERR1913186.1710675__1.1710675	45851__D4RWC8__BHV86_07020
ERR1913186.1710844__1.1710844	1262936__R7J5J9__BN799_00247
ERR1913186.1711014__1.1711014	1262924__R7HM98__BN585_01697
ERR1913186.1711504__1.1711504	239935__A0A139TVJ4__CXT86_02020
ERR1913186.1711491__1.1711491	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913186.1711602__1.1711602	901__B6WX15__DESPIG_02640
ERR1913186.1711725__1.1711725	901__B6WYA8__DESPIGER_1386
ERR1913186.1712156__1.1712156	1262936__R7J3N4__BN799_00434
ERR1913186.1712213__1.1712213	1263107__GCA_000436995.1_00229
ERR1913186.1712245__1.1712245	1680__A0A087DHN0__AL0462_1532
ERR1913186.1712391__1.1712391	1263006__R6LT09__BN515_01035
ERR1913186.1712535__1.1712535	74426__purL
ERR1913186.1712585__1.1712585	1262929__R6F9D0__BN691_00320
ERR1913186.1713020__1.1713020	1680__A0A173XYA2__B0703_0121
ERR1913186.1713003__1.1713003	1262936__R7J169__BN799_00083
ERR1913186.1713224__1.1713224	1680__A0A087DHN0__AL0462_1532
ERR1913186.1713481__1.1713481	1262924__R7HPS8__BN585_00646
ERR1913186.1713621__1.1713621	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913186.1713563__1.1713563	1262936__R7J272__BN799_00063
ERR1913186.1713677__1.1713677	1262936__R7J272__BN799_00063
ERR1913186.1713797__1.1713797	552398__F4XCQ4__HMPREF0866_01621
ERR1913186.1713772__1.1713772	74426__infB
ERR1913186.1713790__1.1713790	394340__hgdC
ERR1913186.1713988__1.1713988	216816__E5XYF2__APC1480_0509
ERR1913186.1714007__1.1714007	39485__A0A174YTX0__mro
ERR1913186.1714392__1.1714392	1965587__A0A1Y4HVC6__B5F35_09360
ERR1913186.1714481__1.1714481	572010__group_1977
ERR1913186.1714540__1.1714540	471189__GCA_003340385.1_00190
ERR1913186.1714753__1.1714753	301301__A0A395VEZ0__mcp4_1
ERR1913186.1714814__1.1714814	2022527__A0A264Y8R9__CHL74_05250
ERR1913186.1715495__1.1715495	39491__A0A395UWZ1__DXC13_02175
ERR1913186.1715485__1.1715485	74426__group_4808
ERR1913186.1715788__1.1715788	1689__W2VBL1__HMPREF9003_1410
ERR1913186.1715951__1.1715951	216816__C2GSX7__DD678_03555
ERR1913186.1716489__1.1716489	357276__B6W5Q9__HMPREF1063_03125
ERR1913186.1716575__1.1716575	147206__GCF_000156215.1_01776
ERR1913186.1716596__1.1716596	74426__nrdD
ERR1913186.1716611__1.1716611	45851__D4S0F7__BUTYVIB_01576
ERR1913186.1717339__1.1717339	901__B6WRL8__epaO
ERR1913186.1717422__1.1717422	1235793__R9KSF0__C809_01679
ERR1913186.1717460__1.1717460	1897011__A0A1Q6RI11__BHW41_00845
ERR1913186.1718692__1.1718692	552398__T5S086__HMPREF0866_01580
ERR1913186.1718795__1.1718795	1680__A0A076JNH5__DXC60_03835
ERR1913186.1718970__1.1718970	1680__A0A174BEE7__BSTER_1311
ERR1913186.1719103__1.1719103	1262959__R5XZ30__BN680_00854
ERR1913186.1719120__1.1719120	1150298__A0A174KML4__hisK
ERR1913186.1719327__1.1719327	216816__B3DNW2__BL171B_07980
ERR1913186.1719690__1.1719690	239935__A0A2N8IFA0__CXT92_02050
ERR1913186.1719692__1.1719692	301302__R5UJW6__ERS852420_01698
ERR1913186.1719939__1.1719939	1547597__A0A0C3MCF5__BA92_12140
ERR1913186.1719905__1.1719905	301302__A0A173TTX1__M72_22141
ERR1913186.1720102__1.1720102	239935__A0A2N8I3G2__CXT89_00720
ERR1913186.1720153__1.1720153	165179__D1PCY7__DXB80_02765
ERR1913186.1720459__1.1720459	45851__D4S1A8__BHV86_08940
ERR1913186.1720421__1.1720421	39485__C4Z467__ERS852490_01684
ERR1913186.1720469__1.1720469	45851__D4RWC3__BUTYVIB_00254
ERR1913186.1720487__1.1720487	901__B6WXF1__DESPIGER_1660
ERR1913186.1720749__1.1720749	1628085__A0A374VP93__C7386_10150
ERR1913186.1720889__1.1720889	1680__A0A1X3A951__AL0462_1583
ERR1913186.1720891__1.1720891	1262911__R6GZX7__BN557_00838
ERR1913186.1721337__1.1721337	1262959__R5YUC0__BN680_01238
ERR1913186.1721572__1.1721572	458033__GCA_001482755.1_02203
ERR1913186.1721707__1.1721707	1262927__R7EWY3__BN677_01374
ERR1913186.1721798__1.1721798	1262924__R7HKZ9__BN585_01304
ERR1913186.1722026__1.1722026	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913186.1722724__1.1722724	552398__F4XHN7__HMPREF0866_03141
ERR1913186.1723003__1.1723003	301302__R5VFU2__xynA1
ERR1913186.1723292__1.1723292	418240__A0A173ZFY9__ERS852478_00591
ERR1913186.1723355__1.1723355	74426__group_1088
ERR1913186.1723360__1.1723360	1262936__R7IZ99__BN799_01076
ERR1913186.1723449__1.1723449	371601__C3QEU5__ERS852396_01058
ERR1913186.1723610__1.1723610	1262936__R7IYH4__BN799_00795
ERR1913186.1723667__1.1723667	39485__A0A174ZNW9__luxQ_1
ERR1913186.1723919__1.1723919	1262743__R5C054__BN727_01980
ERR1913186.1723944__1.1723944	853__A0A174C5M1__CGS58_04460
ERR1913186.1724122__1.1724122	901__B6WTQ4__DESPIGER_1255
ERR1913186.1724300__1.1724300	552398__T5S086__HMPREF0866_01580
ERR1913186.1724395__1.1724395	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913186.1724547__1.1724547	1262936__R7J146__BN799_01697
ERR1913186.1724578__1.1724578	45851__D4RYQ1__BHV86_00310
ERR1913186.1724614__1.1724614	39485__C4Z058__ERS852492_00130
ERR1913186.1724890__1.1724890	1262936__R7J429__BN799_00416
ERR1913186.1724914__1.1724914	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913186.1724977__1.1724977	45851__D4S0T7__BHV86_09275
ERR1913186.1725198__1.1725198	818__A0A139KMC9__C799_02694
ERR1913186.1725391__1.1725391	901__B6WXI1__DESPIGER_1636
ERR1913186.1725665__1.1725665	1680__A0A173XYA2__B0703_0121
ERR1913186.1725935__1.1725935	901__B6WUI5__DESPIGER_1817
ERR1913186.1726274__1.1726274	1680__A0A174BEE7__BSTER_1311
ERR1913186.1726398__1.1726398	74426__group_4808
ERR1913186.1726596__1.1726596	853__A0A173XRA8__CGS56_09290
ERR1913186.1726709__1.1726709	1262882__R5MYI1__BN519_00416
ERR1913186.1726745__1.1726745	165179__A0A3E5E8N5__DXC61_13460
ERR1913186.1726931__1.1726931	901__B6WXF1__DESPIGER_1660
ERR1913186.1726995__1.1726995	901__B6WVN3__DHV46_02690
ERR1913186.1727047__1.1727047	216816__C5E9N8__DD678_02795
ERR1913186.1727126__1.1727126	2317__Q2NHI4__Msp_0017
ERR1913186.1727874__1.1727874	40518__R5DXI4__DXD86_07420
ERR1913186.1727950__1.1727950	1262936__R7J0S3__BN799_01459
ERR1913186.1728087__1.1728087	147206__GCF_000156215.1_01775
ERR1913186.1728128__1.1728128	552398__F4XCR9__HMPREF0866_01636
ERR1913186.1728102__1.1728102	1262936__R7J360__BN799_00345
ERR1913186.1728580__1.1728580	1262924__R7HQX0__BN585_00307
ERR1913186.1728823__1.1728823	301302__R5VFU2__xynA1
ERR1913186.1728977__1.1728977	1262882__R5MLP5__BN519_01602
