ERR1913319.248__1.248	47678__R5U8S9__DW706_06260
ERR1913319.3864818__1.3864818	820__A0A1T4IYF4__mprA_1
ERR1913319.3864886__1.3864886	39492__D4JRP0__yetF
ERR1913319.3864931__1.3864931	820__R9I324__HMPREF2141_02414
ERR1913319.3864946__1.3864946	821__E5UY21__C800_02204
ERR1913319.3865136__1.3865136	328814__GCA_004558275.1_00129
ERR1913319.3865142__1.3865142	214856__D4IMT6__Alfi_1830
ERR1913319.3865153__1.3865153	28117__B0MTH2__ALIPUT_00061
ERR1913319.3865193__1.3865193	823__A0A395YRE1__DXC05_20005
ERR1913319.3865195__1.3865195	239935__A0A2N8I7W6__CXT90_04245
ERR1913319.3865199__1.3865199	39491__A0A396FF66__DXD95_01810
ERR1913319.3865206__1.3865206	39485__A0A174ZLH6__EUBELI_01564
ERR1913319.3865214__1.3865214	820__A7V049__DXB48_04755
ERR1913319.3865261__1.3865261	418240__R7CEI8__ERS852523_02541
ERR1913319.3865304__1.3865304	328814__GCA_004558275.1_02279
ERR1913319.3865471__1.3865471	1262743__R5C054__BN727_01980
ERR1913319.3865943__1.3865943	328814__GCA_004558275.1_00095
ERR1913319.3866012__1.3866012	821__A0A174NVL6__NCTC10583_01782
ERR1913319.3866042__1.3866042	818__A0A139KCA0__SAMN05216253_102371
ERR1913319.3866129__1.3866129	820__A0A374QGD2__ERS852421_02382
ERR1913319.3866150__1.3866150	28117__B0MU76__ALIPUT_00202
ERR1913319.3866190__1.3866190	39492__D4JU30__EUBSIR_00838
ERR1913319.3866244__1.3866244	291644__I9HRU8__ERS852428_03635
ERR1913319.3866256__1.3866256	28117__B0MY40__BHV66_05170
ERR1913319.3866261__1.3866261	28117__B0MTV0__BHV66_06395
ERR1913319.3866393__1.3866393	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913319.3866524__1.3866524	39492__D4JTF2__mutS2
ERR1913319.3866880__1.3866880	358743__A0A0F0CHH4__DWZ14_01875
ERR1913319.3867210__1.3867210	239935__A0A2N8HHB6__B5G29_11500
ERR1913319.3867255__1.3867255	328814__GCA_004558275.1_00087
ERR1913319.3867358__1.3867358	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913319.3867360__1.3867360	291644__R5IZM2__HMPREF1071_04522
ERR1913319.3867477__1.3867477	328814__GCA_004558275.1_00093
ERR1913319.3867557__1.3867557	820__A0A173YYG4__evgS_3
ERR1913319.3867570__1.3867570	291644__R5JEU7__HMPREF1532_03611
ERR1913319.3867624__1.3867624	28117__B0MXW9__ALIPUT_01981
ERR1913319.3867760__1.3867760	820__A0A374Q854__HMPREF1073_03281
ERR1913319.3867800__1.3867800	291644__I9HGA0__wzc
ERR1913319.3867811__1.3867811	291644__I9HF91__ERS852428_01588
ERR1913319.3867820__1.3867820	47678__R5U3A7__ERS852494_02965
ERR1913319.3867876__1.3867876	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913319.3867878__1.3867878	820__A0A139KHX1__HMPREF2141_00289
ERR1913319.3867937__1.3867937	214856__A0A174CRY5__ERS852559_01060
ERR1913319.3867949__1.3867949	820__R9I3N4__M093_0061
ERR1913319.3868072__1.3868072	328814__GCA_004558275.1_00360
ERR1913319.3868082__1.3868082	823__D7IUM6__M091_1082
ERR1913319.3868145__1.3868145	28117__B0MXU0__BHV66_07550
ERR1913319.3868173__1.3868173	820__A0A174EV88__HMPREF1072_01427
ERR1913319.3868181__1.3868181	291644__I9TER0__HMPREF1532_01526
ERR1913319.3868197__1.3868197	820__A0A173YYG4__evgS_3
ERR1913319.3868278__1.3868278	820__A0A139KIL9__DXC68_05945
ERR1913319.3868448__1.3868448	28117__B0MY45__ALIPUT_02164
ERR1913319.3868427__1.3868427	418240__C6JDJ1__ERS852478_02876
ERR1913319.3868508__1.3868508	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913319.3868568__1.3868568	820__A0A1T4IY80__ERS852554_01621
ERR1913319.3868626__1.3868626	820__A0A173W419__DXC68_17760
ERR1913319.3868724__1.3868724	820__A7V049__DXB48_04755
ERR1913319.3868728__1.3868728	820__A0A174CG08__DXB62_13215
ERR1913319.3868760__1.3868760	821__U6RDC2__DXD46_15675
ERR1913319.3868799__1.3868799	820__A0A173W419__DXC68_17760
ERR1913319.3868814__1.3868814	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913319.3868944__1.3868944	291644__I8Y778__HMPREF1532_02537
ERR1913319.3869103__1.3869103	820__A0A3E4G2R7__DXC07_00510
ERR1913319.3869340__1.3869340	820__A0A3E4G826__C801_01612
ERR1913319.3869565__1.3869565	47678__A5ZL09__BACCAC_03608
ERR1913319.3869680__1.3869680	1796613__R9HHZ9__ADH74_10095
ERR1913319.3869656__1.3869656	820__A0A173WUD7__DXB48_08055
ERR1913319.3869637__1.3869637	40519__U2MCQ8__RUMCAL_00556
ERR1913319.3869638__1.3869638	820__A0A174G065__DXB62_08975
ERR1913319.3869710__1.3869710	821__U6RDC2__DXD46_15675
ERR1913319.3869752__1.3869752	371601__A0A1H4CLA7__ERS852396_03474
ERR1913319.3869721__1.3869721	39492__D4JRZ7__smc
ERR1913319.3869762__1.3869762	39492__D4JWR6__dnaN
ERR1913319.3869870__1.3869870	853__A0A2A7B1Y7__C7K05_11930
ERR1913319.3870005__1.3870005	39492__D4JRM4__tap_5
ERR1913319.3870028__1.3870028	823__A0A355XJ56__DDY96_07685
ERR1913319.3870095__1.3870095	39492__A0A174Z2N0__EUBSIR_01615
ERR1913319.3870209__1.3870209	1897011__A0A1Q6RD70__BHW41_05845
ERR1913319.3870215__1.3870215	820__A0A139KH21__DXC80_01780
ERR1913319.3870231__1.3870231	239935__A0A2N8IU45__DEF40_02365
ERR1913319.3870302__1.3870302	291644__I8YR49__ERS852428_01188
ERR1913319.3870503__1.3870503	46228__V8CE73__DXD17_11635
ERR1913319.3870521__1.3870521	46228__V8CE73__DXD17_11635
ERR1913319.3870532__1.3870532	39492__D4JRL2__ERS852540_01608
ERR1913319.3870650__1.3870650	821__A0A3E4WAR6__DXD64_10735
ERR1913319.3870661__1.3870661	328814__GCA_004558275.1_00997
ERR1913319.3870632__1.3870632	291644__I9T671__HMPREF1071_02076
ERR1913319.3870728__1.3870728	1262915__R6HRT0__BN574_00012
ERR1913319.3870694__1.3870694	821__A6L0C7__ERS852556_03520
ERR1913319.3870785__1.3870785	239935__A0A2N8I1R3__CXU05_06075
ERR1913319.3870873__1.3870873	291644__I8Y011__HMPREF1071_04228
ERR1913319.3870974__1.3870974	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913319.3871116__1.3871116	39492__D4JRM9__bglB_2
ERR1913319.3871238__1.3871238	291644__I9T9F4__HMPREF1532_02079
ERR1913319.3871247__1.3871247	671267__R9IB12__C802_00696
ERR1913319.3871832__1.3871832	820__A0A374Q8T2__DXB64_16190
ERR1913319.3871870__1.3871870	28117__B0MY34__BHV66_05195
ERR1913319.3871902__1.3871902	820__E5VA63__DXC80_01025
ERR1913319.3871915__1.3871915	291644__I9SIM2__evgS_11
ERR1913319.3871923__1.3871923	1501391__GCA_000786575.1_00003
ERR1913319.3872125__1.3872125	820__A0A174VD39__DXD90_12235
ERR1913319.3872294__1.3872294	291644__R5JG91__HMPREF1532_01961
ERR1913319.3872515__1.3872515	821__I9R3W6__DXC16_12455
ERR1913319.3872694__1.3872694	39492__D4JRM9__bglB_2
ERR1913319.3872714__1.3872714	487174__K0WXG8__DIT83_09300
ERR1913319.3872782__1.3872782	291644__I9T2C4__HMPREF1071_02429
ERR1913319.3872801__1.3872801	820__A0A174LJB2__HMPREF1072_04112
ERR1913319.3872843__1.3872843	291644__I9T317__ERS852428_03619
ERR1913319.3872890__1.3872890	820__A0A174F696__macB_13
ERR1913319.3872986__1.3872986	853__A8S882__C4N23_07600
ERR1913319.3872988__1.3872988	418240__A0A173YZJ8__ERS852523_03030
ERR1913319.3873061__1.3873061	291644__I9TER0__HMPREF1532_01526
ERR1913319.3873130__1.3873130	820__A0A173WUD7__DXB48_08055
ERR1913319.3873259__1.3873259	487174__K0X250__DDY40_03675
ERR1913319.3873540__1.3873540	544644__GCA_001915615.1_02237
ERR1913319.3873593__1.3873593	418240__A0A173Y0F1__ERS852478_01157
ERR1913319.3873664__1.3873664	239935__A0A2N8HB50__CXU17_02615
ERR1913319.3873780__1.3873780	28118__F9ZBW3__Odosp_3541
ERR1913319.3873803__1.3873803	820__A0A174QLF0__SAMN05444418_109151
ERR1913319.3873899__1.3873899	239935__A0A2N8I5H6__CXT92_05565
ERR1913319.3873952__1.3873952	820__A0A174DZ97__SAMN05444418_101240
ERR1913319.3873964__1.3873964	246787__I8V2S2__BACCELL_02524
ERR1913319.3874017__1.3874017	818__R6VB25__BSIG_5053
ERR1913319.3874088__1.3874088	387661__B7B704__B5F96_16210
ERR1913319.3874122__1.3874122	239935__A0A2N8HT68__ADH72_00510
ERR1913319.3874222__1.3874222	820__A0A139JRH8__HMPREF2141_04326
ERR1913319.3874262__1.3874262	820__A0A139K1Y6__DXB48_02610
ERR1913319.3874370__1.3874370	820__A0A139K2N9__DXB62_12420
ERR1913319.3874534__1.3874534	487174__K0XLV6__DIT83_00940
ERR1913319.3874575__1.3874575	820__A0A173W419__DXC68_17760
ERR1913319.3874645__1.3874645	328814__GCA_004558275.1_00293
ERR1913319.3874783__1.3874783	328814__GCA_004558275.1_00993
ERR1913319.3874844__1.3874844	823__D7IUM6__M091_1082
ERR1913319.3874989__1.3874989	291644__I8Z302__HMPREF1532_01182
ERR1913319.3875041__1.3875041	820__A0A174NUS8__DXC80_12885
ERR1913319.3875138__1.3875138	823__A0A173UDF6__CEQ22_003270
ERR1913319.3875301__1.3875301	853__A0A174BZY1__xerD_1
ERR1913319.3875267__1.3875267	328814__GCA_004558275.1_00088
ERR1913319.3875395__1.3875395	239935__A0A2N8IKW7__pstA
ERR1913319.3875419__1.3875419	820__A0A374Q854__HMPREF1073_03281
ERR1913319.3875586__1.3875586	239935__A0A139TSG7__CXU17_09600
ERR1913319.3875597__1.3875597	291644__I9HP97__HMPREF1532_00061
ERR1913319.3875617__1.3875617	328814__GCA_004558275.1_00035
ERR1913319.3875670__1.3875670	214856__A0A174ZEW0__ERS852447_00985
ERR1913319.3875737__1.3875737	820__A0A396EXA7__DXB37_15530
ERR1913319.3875942__1.3875942	214856__R6Y2Y4__ERS852447_01086
ERR1913319.3876096__1.3876096	820__A0A3E4W984__pssA
ERR1913319.3876237__1.3876237	28117__B0MT84__ALIPUT_00402
ERR1913319.3876449__1.3876449	820__A0A139K2N9__DXB62_12420
ERR1913319.3877039__1.3877039	28117__B0MVL5__BHV66_01660
ERR1913319.3877150__1.3877150	820__A0A3E4W6P0__gmhA
ERR1913319.3877338__1.3877338	47678__R5U7U0__DW706_12005
ERR1913319.3877402__1.3877402	820__A0A3E4WA06__ERS852554_03404
ERR1913319.3877568__1.3877568	487174__K0XES7__HMPREF9448_00566
ERR1913319.3877628__1.3877628	39490__A0A2V1JTH1__LG34_14175
ERR1913319.3877661__1.3877661	47678__R5U7U0__DW706_12005
ERR1913319.3877857__1.3877857	410072__A0A3E4GRP6__DXD67_05285
ERR1913319.3878038__1.3878038	246787__A0A0P0GCR8__xynD_3
ERR1913319.3878113__1.3878113	821__A0A395UNT8__DXD64_15275
ERR1913319.3878115__1.3878115	28117__B0MZ50__ALIPUT_02424
ERR1913319.3878478__1.3878478	291644__I8YYM8__HMPREF1532_01562
ERR1913319.3878580__1.3878580	820__A0A174G065__DXB62_08975
ERR1913319.3878545__1.3878545	29361__B6FRT6__CLONEX_02860
ERR1913319.3878552__1.3878552	820__A0A174G065__DXB62_08975
ERR1913319.3878559__1.3878559	291644__I9HGA3__mshA_4
ERR1913319.3878651__1.3878651	291644__I8YKM2__HMPREF1532_00428
ERR1913319.3878668__1.3878668	418240__C6JH11__ERS852523_02507
ERR1913319.3878720__1.3878720	821__A0A174V2F3__NCTC10583_01474
ERR1913319.3878694__1.3878694	418240__C6JH11__ERS852523_02507
ERR1913319.3878832__1.3878832	820__A7V092__hldE
ERR1913319.3878970__1.3878970	820__A0A1Q6IDS8__chtA
ERR1913319.3879082__1.3879082	328814__GCA_004558275.1_00098
ERR1913319.3879087__1.3879087	39492__D4JR31__EUBSIR_00106
ERR1913319.3879101__1.3879101	39492__R6RYB8__ERS852540_00322
ERR1913319.3879377__1.3879377	28117__B0MY36__BHV66_05185
ERR1913319.3879450__1.3879450	291644__I9HQ59__HMPREF1071_02479
ERR1913319.3879471__1.3879471	214856__A0A174ZEF7__mboIIM_1
ERR1913319.3879556__1.3879556	28117__B0MUR5__BHV66_03900
ERR1913319.3879581__1.3879581	39492__D4JTL0__EUBSIR_01428
ERR1913319.3879667__1.3879667	39492__D4MIK7__EUBSIR_00676
ERR1913319.3879614__1.3879614	544644__GCA_001915615.1_01291
ERR1913319.3879873__1.3879873	820__A0A374Q854__HMPREF1073_03281
ERR1913319.3879850__1.3879850	291644__I9HG96__HMPREF1071_03510
ERR1913319.3880047__1.3880047	823__A0A174DZM1__DDY96_10310
ERR1913319.3880015__1.3880015	214856__A0A174ZB00__ERS852559_00631
ERR1913319.3880144__1.3880144	239935__A0A2N8IMC9__CXU09_02095
ERR1913319.3880136__1.3880136	291644__R5JAW4__HMPREF1071_01744
ERR1913319.3880210__1.3880210	239935__A0A2N8ITG2__Amuc_0335
ERR1913319.3880408__1.3880408	39492__D4JUD9__EUBSIR_01875
ERR1913319.3880450__1.3880450	820__A0A174VD39__DXD90_12235
ERR1913319.3880513__1.3880513	291644__I9HP97__HMPREF1532_00061
ERR1913319.3880517__1.3880517	820__A0A174VD39__DXD90_12235
ERR1913319.3880504__1.3880504	820__A0A3E5E0T0__ERS852554_00312
ERR1913319.3880577__1.3880577	821__D4VD59__BHV80_04260
ERR1913319.3880647__1.3880647	820__A0A396EUU8__luxQ_3
ERR1913319.3880878__1.3880878	820__A0A173WUD7__DXB48_08055
ERR1913319.3880939__1.3880939	239935__R7E524__CXT91_06180
ERR1913319.3881066__1.3881066	820__A0A3E4VXP2__yesR
ERR1913319.3881189__1.3881189	74426__nifJ
ERR1913319.3881154__1.3881154	820__A0A139KJR5__M093_4469
ERR1913319.3881222__1.3881222	28117__B0MSQ3__ALIPUT_00347
ERR1913319.3881352__1.3881352	291644__I8YWR0__HMPREF1071_01375
ERR1913319.3881402__1.3881402	39492__D4JSA4__ERS852540_00596
ERR1913319.3881572__1.3881572	39492__D4JV38__EUBSIR_01205
ERR1913319.3881586__1.3881586	46228__B5CP91__RUMLAC_01282
ERR1913319.3881867__1.3881867	821__A6L0C7__ERS852556_03520
ERR1913319.3881909__1.3881909	328814__GCA_004558275.1_01621
ERR1913319.3882039__1.3882039	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913319.3882095__1.3882095	28117__B0MXU6__ALIPUT_01958
ERR1913319.3882172__1.3882172	214856__I3YMC8__ERS852447_02666
ERR1913319.3882234__1.3882234	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913319.3882219__1.3882219	820__A0A3E4GA19__SAMN05444418_10562
ERR1913319.3882371__1.3882371	291644__I9TLE2__HMPREF1071_00556
ERR1913319.3882376__1.3882376	291644__I8Y011__HMPREF1071_04228
ERR1913319.3882390__1.3882390	28117__B0MXR1__BHV66_08035
ERR1913319.3882401__1.3882401	328814__GCA_004558275.1_00989
ERR1913319.3882848__1.3882848	291644__I9TL83__HMPREF1532_00872
ERR1913319.3882867__1.3882867	823__A0A073I1X2__DXD05_18820
ERR1913319.3883023__1.3883023	820__A0A174A6K0__M093_0079
ERR1913319.3883041__1.3883041	39492__D4JU81__xseA
ERR1913319.3883171__1.3883171	820__A0A1Q6IDS8__chtA
ERR1913319.3883473__1.3883473	328814__GCA_004558275.1_00086
ERR1913319.3883665__1.3883665	820__A0A173WUD7__DXB48_08055
ERR1913319.3883692__1.3883692	28117__B0MU58__BHV66_05630
ERR1913319.3883747__1.3883747	820__A0A173WUD7__DXB48_08055
ERR1913319.3883867__1.3883867	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913319.3883972__1.3883972	46228__V8CDM9__HMPREF1202_00303
ERR1913319.3883979__1.3883979	328814__GCA_004558275.1_00079
ERR1913319.3884029__1.3884029	28117__B0MXG8__ALIPUT_01814
ERR1913319.3884099__1.3884099	28117__B0MTV0__BHV66_06395
ERR1913319.3884266__1.3884266	820__A0A174NUS8__DXC80_12885
ERR1913319.3884227__1.3884227	214856__R6Y2Y4__ERS852447_01086
ERR1913319.3884300__1.3884300	821__A0A0P0L8F8__ERS852509_03705
ERR1913319.3884306__1.3884306	239935__A0A2N8HZW2__A4V05_11120
ERR1913319.3884396__1.3884396	214856__A0A174ZJU0__ERS852559_00619
ERR1913319.3884758__1.3884758	47678__A5ZEA3__ERS852558_00257
ERR1913319.3884986__1.3884986	820__A0A174Q0F0__DXB48_08080
ERR1913319.3884996__1.3884996	1263000__R5EKY5__BN466_02100
ERR1913319.3885028__1.3885028	239935__A0A2N8IEP3__CXT84_03735
ERR1913319.3885072__1.3885072	301302__R5UM41__M72_15921
ERR1913319.3885105__1.3885105	820__A0A174A6K0__M093_0079
ERR1913319.3885139__1.3885139	214856__I3YPP3__Alfi_2701
ERR1913319.3885165__1.3885165	820__A7VAR9__ERS852421_00197
ERR1913319.3885226__1.3885226	820__A0A174Q0F0__DXB48_08080
ERR1913319.3885248__1.3885248	821__A0A173WG51__BVU_2549
ERR1913319.3885293__1.3885293	820__A0A3E5BMG9__DXD40_05130
ERR1913319.3885431__1.3885431	28117__B0MY82__BHV66_04755
ERR1913319.3885765__1.3885765	1262743__R5C054__BN727_01980
ERR1913319.3885951__1.3885951	821__A0A396F1N0__M099_1553
ERR1913319.3886084__1.3886084	291644__I9T671__HMPREF1071_02076
ERR1913319.3886113__1.3886113	328814__GCA_004558275.1_00074
ERR1913319.3886364__1.3886364	39492__D4JTG7__EUBSIR_00572
ERR1913319.3886580__1.3886580	47678__R5USR9__HMPREF1061_01404
ERR1913319.3886842__1.3886842	28118__F9ZBL7__DER54_00840
ERR1913319.3886791__1.3886791	39492__D4JV48__ERS852540_00852
ERR1913319.3887053__1.3887053	39492__D4MIY5__EUBSIR_00233
ERR1913319.3887116__1.3887116	1262824__R6RMS7__BN719_01294
ERR1913319.3887150__1.3887150	328814__GCA_004558275.1_00076
ERR1913319.3887157__1.3887157	1262746__R5SRY0__BN750_01341
ERR1913319.3887176__1.3887176	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913319.3887460__1.3887460	820__A0A396EUV1__B5G17_06465
ERR1913319.3887491__1.3887491	328814__GCA_004558275.1_00086
ERR1913319.3887573__1.3887573	239935__R6J9Y2__CXT85_07000
ERR1913319.3887635__1.3887635	821__A6KZK3__ERS852457_04265
ERR1913319.3887656__1.3887656	291644__I9HGG9__HMPREF1071_03600
ERR1913319.3887708__1.3887708	821__D4VD59__BHV80_04260
ERR1913319.3887712__1.3887712	821__A0A397WGD6__M098_0084
ERR1913319.3887906__1.3887906	820__A7V8C2__ERS852554_01338
ERR1913319.3887925__1.3887925	820__A0A174VD39__DXD90_12235
ERR1913319.3888051__1.3888051	246787__R6LGB3__BcellWH2_02361
ERR1913319.3888183__1.3888183	487174__K0XER9__DDY40_08885
ERR1913319.3888188__1.3888188	246787__A0A108T4D5__HMPREF1062_06346
ERR1913319.3888378__1.3888378	47678__R5UUQ0__C5Z00_15605
ERR1913319.3888481__1.3888481	821__A0A396F9T7__M097_3427
ERR1913319.3888564__1.3888564	820__A0A3E4G493__ERS417307_00253
ERR1913319.3888891__1.3888891	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913319.3889037__1.3889037	39492__D4JU81__xseA
ERR1913319.3889090__1.3889090	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913319.3889245__1.3889245	246787__I8V2S2__BACCELL_02524
ERR1913319.3889388__1.3889388	1465754__A0A1H4B4F0__SAMN05444145_103231
ERR1913319.3889389__1.3889389	28117__B0MXU6__ALIPUT_01958
ERR1913319.3889458__1.3889458	820__A0A3E4GA19__SAMN05444418_10562
ERR1913319.3889500__1.3889500	291644__I9SJB6__HMPREF1532_04086
ERR1913319.3889699__1.3889699	28117__R7JIJ8__BHV66_01635
ERR1913319.3889701__1.3889701	28117__B0MXW9__ALIPUT_01981
ERR1913319.3889774__1.3889774	39492__R6RT40__prkC_3
ERR1913319.3889861__1.3889861	371601__D0TKK2__BXY_21540
ERR1913319.3889881__1.3889881	33043__A8SWZ6__ERS852386_02582
ERR1913319.3890036__1.3890036	28117__R7JLL3__ALIPUT_02219
ERR1913319.3890095__1.3890095	291644__I8YUW1__HMPREF1532_01990
ERR1913319.3890171__1.3890171	291644__I9TLE2__HMPREF1071_00556
ERR1913319.3890175__1.3890175	820__A0A174CG08__DXB62_13215
ERR1913319.3890223__1.3890223	820__R9I3Q7__HMPREF1072_01668
ERR1913319.3890401__1.3890401	291644__I8Z302__HMPREF1532_01182
ERR1913319.3890567__1.3890567	820__I9J701__ERS852510_01809
ERR1913319.3890585__1.3890585	820__A0A374Q854__HMPREF1073_03281
ERR1913319.3890589__1.3890589	47678__A5ZI88__BACCAC_02617
ERR1913319.3890605__1.3890605	39492__D4MN06__EUBSIR_02672
ERR1913319.3890909__1.3890909	820__A0A374Q1D8__SAMN05444418_112114
ERR1913319.3891106__1.3891106	820__A0A3E4FZM1__adaA_2
ERR1913319.3891127__1.3891127	239935__A0A2N8I5H6__CXT92_05565
ERR1913319.3891257__1.3891257	39492__D4JR58__EUBSIR_02090
ERR1913319.3891518__1.3891518	301302__A0A0M6WH46__M72_23101
ERR1913319.3891544__1.3891544	28117__B0MXG8__ALIPUT_01814
ERR1913319.3891835__1.3891835	1262915__R6IC49__BN574_01666
ERR1913319.3891849__1.3891849	820__A0A374MXK3__HMPREF1072_00166
ERR1913319.3892009__1.3892009	291644__I9T9G0__atsA_3
ERR1913319.3892033__1.3892033	291644__I9T9G0__atsA_3
ERR1913319.3892036__1.3892036	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913319.3892189__1.3892189	39492__D4JWI6__EUBSIR_01073
ERR1913319.3892329__1.3892329	820__A0A139KIL9__DXC68_05945
ERR1913319.3892456__1.3892456	820__A0A139JRS5__HMPREF1073_04025
ERR1913319.3892458__1.3892458	28117__B0MWP2__ALIPUT_01468
ERR1913319.3892503__1.3892503	28117__B0MXR4__BHV66_08025
ERR1913319.3892599__1.3892599	820__A7VAS1__HMPREF2141_03259
ERR1913319.3892601__1.3892601	291644__U6RCK0__HMPREF1532_04079
ERR1913319.3892728__1.3892728	371601__W6P631__B5E50_14625
ERR1913319.3892785__1.3892785	821__A0A0P0LNX8__ERS852509_03015
ERR1913319.3892859__1.3892859	47678__R5UPZ8__ERS852494_01752
ERR1913319.3892896__1.3892896	821__A0A174NSU0__BVU_3144
ERR1913319.3893015__1.3893015	328814__GCA_004558275.1_02278
ERR1913319.3893073__1.3893073	39491__A0A3E4YFT8__DXB69_10940
ERR1913319.3893092__1.3893092	214856__R5UN64__ERS852447_02669
ERR1913319.3893148__1.3893148	39492__A0A175A133__cycB_1
ERR1913319.3893160__1.3893160	328814__GCA_004558275.1_00296
ERR1913319.3893200__1.3893200	39492__D4JV86__spoIIE
ERR1913319.3893207__1.3893207	47678__R5UUB5__ERS852558_00247
ERR1913319.3893311__1.3893311	28117__B0MU57__ALIPUT_00175
ERR1913319.3893312__1.3893312	239935__A0A2N8I5H6__CXT92_05565
ERR1913319.3893397__1.3893397	820__A0A139K337__ERS852459_02375
ERR1913319.3893504__1.3893504	418240__A0A173XM56__ERS852478_01689
ERR1913319.3893954__1.3893954	328814__GCA_004558275.1_00196
ERR1913319.3894192__1.3894192	28116__C3QZB5__M088_3811
ERR1913319.3894227__1.3894227	357276__B6W1J2__BACDOR_03380
ERR1913319.3894328__1.3894328	39492__D4JQL8__ywpJ
ERR1913319.3894401__1.3894401	626932__G5HBJ2__HMPREF9450_02302
ERR1913319.3894362__1.3894362	820__A0A173WZS4__DXD90_10250
ERR1913319.3894371__1.3894371	820__R9HP61__DXC91_01090
ERR1913319.3894689__1.3894689	1262824__R6S217__BN719_00250
ERR1913319.3894779__1.3894779	47678__R5UT79__ERS852558_03890
ERR1913319.3894780__1.3894780	239935__A0A2N8I3G2__CXT89_00720
ERR1913319.3894951__1.3894951	821__A0A173WG51__BVU_2549
ERR1913319.3895076__1.3895076	820__A0A139JRS5__HMPREF1073_04025
ERR1913319.3895061__1.3895061	1262746__R5SS80__BN750_02125
ERR1913319.3895140__1.3895140	820__A7V092__hldE
ERR1913319.3895226__1.3895226	291644__R5JC88__HMPREF1532_00990
ERR1913319.3895284__1.3895284	39492__B0MNL5__phoR_1
ERR1913319.3895335__1.3895335	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913319.3895659__1.3895659	28117__R7JIJ8__BHV66_01635
ERR1913319.3895799__1.3895799	820__A0A3E4G493__ERS417307_00253
ERR1913319.3896102__1.3896102	820__A0A139JRH8__HMPREF2141_04326
ERR1913319.3896265__1.3896265	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913319.3896368__1.3896368	820__A0A174F0C1__nreB
ERR1913319.3896870__1.3896870	239935__A0A3F3K9J9__DEF40_00940
ERR1913319.3896907__1.3896907	28117__B0MZ14__ALIPUT_02383
ERR1913319.3896931__1.3896931	820__A0A3E4VZT7__DXB48_16145
ERR1913319.3897177__1.3897177	821__A0A395VLM8__BvMPK_3650
ERR1913319.3897253__1.3897253	246787__A0A3D6AV26__BcellWH2_02579
ERR1913319.3897134__1.3897134	39492__D4JR31__EUBSIR_00106
ERR1913319.3897198__1.3897198	820__A0A174CG08__DXB62_13215
ERR1913319.3897291__1.3897291	291644__I9HGG9__HMPREF1071_03600
ERR1913319.3897384__1.3897384	33039__A0A173VTT4__frdB_1
ERR1913319.3897688__1.3897688	39492__D4JT87__clpC
ERR1913319.3897937__1.3897937	246787__A0A0P0FSC9__BACCELL_02534
ERR1913319.3898012__1.3898012	820__A0A174M9V5__M093_0237
ERR1913319.3898146__1.3898146	820__A7V092__hldE
ERR1913319.3898117__1.3898117	39492__D4JSS2__EUBSIR_00553
ERR1913319.3898216__1.3898216	239935__A0A139TQT9__Amuc_1197
ERR1913319.3898233__1.3898233	328814__GCA_004558275.1_00087
ERR1913319.3898293__1.3898293	39488__A0A374NKN1__ltaS_2
ERR1913319.3898541__1.3898541	820__A0A174CG08__DXB62_13215
ERR1913319.3898546__1.3898546	246787__A0A108T1Y3__fepA_8
ERR1913319.3898617__1.3898617	820__A7V8C2__ERS852554_01338
ERR1913319.3898653__1.3898653	820__A0A396EUU8__luxQ_3
ERR1913319.3898967__1.3898967	214856__A0A174ZEW0__ERS852447_00985
ERR1913319.3898984__1.3898984	820__A0A3E4VZT7__DXB48_16145
ERR1913319.3898989__1.3898989	28118__R6F7E0__SAMEA44545918_02355
ERR1913319.3899274__1.3899274	820__A0A374QGD2__ERS852421_02382
ERR1913319.3899290__1.3899290	820__A0A3E4VXP2__yesR
ERR1913319.3899442__1.3899442	291644__R5JCI3__HMPREF1532_04074
ERR1913319.3899407__1.3899407	357276__B6W1J2__BACDOR_03380
ERR1913319.3899564__1.3899564	216816__D6DD25__APC1482_1109
ERR1913319.3899590__1.3899590	820__A7VAS1__HMPREF2141_03259
ERR1913319.3899738__1.3899738	820__R9I3Q7__HMPREF1072_01668
ERR1913319.3899745__1.3899745	39492__D4JT56__lepB
ERR1913319.3899770__1.3899770	39492__D4JU81__xseA
ERR1913319.3899948__1.3899948	239935__A0A2N8IU45__DEF40_02365
ERR1913319.3899962__1.3899962	820__R9HUV5__HMPREF2141_02582
ERR1913319.3900076__1.3900076	410072__C0B785__ERS852574_00808
ERR1913319.3900348__1.3900348	820__A7V8C2__ERS852554_01338
