ERR1913301.129__1.129	28118__F9Z8K4__Odosp_0843
ERR1913301.1700276__1.1700276	33039__R6NZL9__RTO_21970
ERR1913301.1700279__1.1700279	363265__R6F6E7__HMPREF0673_02119
ERR1913301.1700450__1.1700450	1262886__R6QAM6__BN563_01696
ERR1913301.1700540__1.1700540	2024224__A0A255TXW1__CIK98_00380
ERR1913301.1700714__1.1700714	853__C7H1R8__DW905_06675
ERR1913301.1700948__1.1700948	1897011__A0A1Q6RH73__BHW41_01885
ERR1913301.1701086__1.1701086	39485__R5ZRT8__gmr_6
ERR1913301.1701108__1.1701108	1262929__R6F5I2__BN691_01051
ERR1913301.1701145__1.1701145	165179__R6CNX7__DXB80_02200
ERR1913301.1701344__1.1701344	40518__R5DWP7__ansA
ERR1913301.1701661__1.1701661	820__R9HXK9__DXB62_08265
ERR1913301.1701739__1.1701739	626940__E8LGF9__DCQ00_00015
ERR1913301.1701813__1.1701813	1262924__R7HUR1__BN585_00057
ERR1913301.1701817__1.1701817	820__A0A139KEW8__DXB64_06405
ERR1913301.1701855__1.1701855	40518__R5DVL2__penA
ERR1913301.1701962__1.1701962	39485__A0A174Z7G5__EUBELI_01168
ERR1913301.1701938__1.1701938	301302__A0A173TPA9__M72_14191
ERR1913301.1702170__1.1702170	360807__A0A0M6WKR9__ROSEINA2194_01912
ERR1913301.1702220__1.1702220	166486__D4KNM9__ERS852572_00072
ERR1913301.1702274__1.1702274	39492__D4JX50__EUBSIR_00410
ERR1913301.1702310__1.1702310	301302__R5VEI6__cysA_2
ERR1913301.1702342__1.1702342	1262886__R6Q9F4__BN563_00588
ERR1913301.1702542__1.1702542	39492__D4JV48__ERS852540_00852
ERR1913301.1702551__1.1702551	1262911__R6H0U7__BN557_01104
ERR1913301.1702499__1.1702499	1262743__R5C054__BN727_01980
ERR1913301.1702598__1.1702598	166486__R6AY46__ROSINTL182_06128
ERR1913301.1702616__1.1702616	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913301.1702774__1.1702774	1608898__A0A369Z466__HMPREF3279_03100
ERR1913301.1702865__1.1702865	39485__R6AET9__EUBELI_01205
ERR1913301.1702905__1.1702905	418240__A0A174DPG4__ERS852523_03206
ERR1913301.1702911__1.1702911	1262929__R6F7V9__BN691_01817
ERR1913301.1703566__1.1703566	357276__A0A076IN21__BSEG_03078
ERR1913301.1703793__1.1703793	820__A0A1T4IY71__HMPREF2141_02402
ERR1913301.1703795__1.1703795	165179__A0A3E5E920__DXB80_11625
ERR1913301.1703801__1.1703801	301302__A0A173RZU9__M72_23561
ERR1913301.1703926__1.1703926	165179__A0A174K816__DXB80_12000
ERR1913301.1704021__1.1704021	1303__A0A0T9H0C6__B7715_09305
ERR1913301.1704024__1.1704024	1501391__GCA_000786575.1_00003
ERR1913301.1704118__1.1704118	39492__D4JVT0__EUBSIR_00059
ERR1913301.1704200__1.1704200	1262924__R7HQ73__BN585_02030
ERR1913301.1704208__1.1704208	46228__V8CE19__DXD17_01950
ERR1913301.1704261__1.1704261	387661__K5ZS68__PRABACTJOHN_02984
ERR1913301.1704363__1.1704363	1897011__A0A1Q6RH29__BHW41_01570
ERR1913301.1704546__1.1704546	626940__E8LDT4__rarD
ERR1913301.1704567__1.1704567	1262824__R6RV20__BN719_01988
ERR1913301.1704636__1.1704636	1262929__R6EU29__BN691_01068
ERR1913301.1704671__1.1704671	1897011__A0A1Q6RG48__BHW41_02345
ERR1913301.1704690__1.1704690	301302__R5UMB3__M72_01421
ERR1913301.1704962__1.1704962	1262929__R6F9D0__BN691_00320
ERR1913301.1704968__1.1704968	165179__R6C330__DXC61_04975
ERR1913301.1705002__1.1705002	301302__A0A0M6WPV4__M72_29701
ERR1913301.1705013__1.1705013	1262886__R6RDI4__BN563_00643
ERR1913301.1704976__1.1704976	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913301.1705194__1.1705194	626940__E8LGA6__BHW43_03960
ERR1913301.1705430__1.1705430	820__A0A139K1Y6__DXB48_02610
ERR1913301.1705381__1.1705381	46506__A0A108TBL0__BACSTE_01998
ERR1913301.1705435__1.1705435	301302__R5UM41__M72_15921
ERR1913301.1705525__1.1705525	853__C7H7F8__yccM_1
ERR1913301.1705560__1.1705560	1262824__R6RQ97__BN719_01011
ERR1913301.1705602__1.1705602	363265__R6F6E7__HMPREF0673_02119
ERR1913301.1705861__1.1705861	29361__B6FRT6__CLONEX_02860
ERR1913301.1705904__1.1705904	820__A0A139JRH8__HMPREF2141_04326
ERR1913301.1705931__1.1705931	1262929__R6F7R3__BN691_01777
ERR1913301.1706101__1.1706101	1262929__R6EXG3__BN691_01506
ERR1913301.1706174__1.1706174	1262929__R6EV93__BN691_01445
ERR1913301.1706338__1.1706338	1262929__R6F5G9__BN691_01545
ERR1913301.1706350__1.1706350	301302__A0A173SD94__ERS852420_01254
ERR1913301.1706413__1.1706413	853__A0A2A7B9I6__DW855_13690
ERR1913301.1706452__1.1706452	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913301.1706470__1.1706470	1262929__R6EV27__BN691_00137
ERR1913301.1706509__1.1706509	165179__D1P8V8__DXC61_01940
ERR1913301.1706944__1.1706944	165179__A0A3E5DRF6__DXC61_00200
ERR1913301.1706916__1.1706916	39491__A0A395V397__EUR_09960
ERR1913301.1707173__1.1707173	1262929__R6FRG9__BN691_01453
ERR1913301.1707401__1.1707401	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913301.1707461__1.1707461	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913301.1707506__1.1707506	1262886__R6QNV6__BN563_00627
ERR1913301.1707586__1.1707586	165179__D1PCL6__DXB80_13435
ERR1913301.1707591__1.1707591	39485__C4Z2X2__ERS852492_01808
ERR1913301.1707827__1.1707827	165179__A0A3E5E4P9__DXB80_07930
ERR1913301.1707908__1.1707908	1262929__R6F8T1__BN691_00162
ERR1913301.1708068__1.1708068	1227276__U2J3A0__HMPREF9148_02309
ERR1913301.1708104__1.1708104	1262761__R6QYZ5__BN606_00402
ERR1913301.1708218__1.1708218	1262929__R6F1E4__BN691_00073
ERR1913301.1708293__1.1708293	626940__E8LD23__BN587_00187
ERR1913301.1708309__1.1708309	40518__R5E8B6__RB5AMG_00876
ERR1913301.1708457__1.1708457	1262886__R6QIV0__BN563_00982
ERR1913301.1708523__1.1708523	1262929__R6F7M1__BN691_00234
ERR1913301.1708501__1.1708501	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913301.1708510__1.1708510	363265__G6B0S9__HMPREF0673_02497
ERR1913301.1708601__1.1708601	820__A0A374Q8T2__DXB64_16190
ERR1913301.1708767__1.1708767	39492__D4JWD3__EUBSIR_00151
ERR1913301.1708829__1.1708829	165179__A0A3E5E189__PREVCOP_06699
ERR1913301.1708965__1.1708965	165179__A0A3E5EDS1__DXC61_03115
ERR1913301.1708994__1.1708994	39485__C4Z1S0__ERS852492_00886
ERR1913301.1709077__1.1709077	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913301.1709150__1.1709150	39485__C4Z6J7__ERS852492_02047
ERR1913301.1709164__1.1709164	166486__D4L2T9__lytM
ERR1913301.1709134__1.1709134	165179__R6C330__DXC61_04975
ERR1913301.1709195__1.1709195	1262929__R6F141__BN691_00686
ERR1913301.1709196__1.1709196	363265__R6FQP4__HMPREF0673_00216
ERR1913301.1709302__1.1709302	166486__D4L1H3__sacC
ERR1913301.1709307__1.1709307	28025__A0A0L7BY57__DD696_06170
ERR1913301.1709314__1.1709314	1501391__GCA_000786575.1_00115
ERR1913301.1709353__1.1709353	28117__B0MXG8__ALIPUT_01814
ERR1913301.1709473__1.1709473	1262924__R7HRJ9__BN585_00557
ERR1913301.1709552__1.1709552	39485__C4Z2J8__ERS852490_02044
ERR1913301.1709862__1.1709862	1262924__R7HMN2__BN585_01573
ERR1913301.1709868__1.1709868	1502__A0A2X2Y721__CYK81_01630
ERR1913301.1709905__1.1709905	1501391__GCA_000786575.1_00015
ERR1913301.1709952__1.1709952	47678__R5UES3__CGC64_00760
ERR1913301.1710221__1.1710221	1304__D0EMA3__CKU37_11015
ERR1913301.1710306__1.1710306	28052__A0A174M9U3__ERS852451_02548
ERR1913301.1710361__1.1710361	39492__D4JSS4__ERS852540_02517
ERR1913301.1710478__1.1710478	1262929__R6EX87__BN691_01422
ERR1913301.1710504__1.1710504	820__A0A139KG60__M094_2679
ERR1913301.1710559__1.1710559	1262911__R6GPC5__BN557_00852
ERR1913301.1710777__1.1710777	363265__R6F6E7__HMPREF0673_02119
ERR1913301.1710787__1.1710787	165179__W1I4H6__DXB80_13655
ERR1913301.1710862__1.1710862	820__A0A374MMF0__HMPREF1073_03811
ERR1913301.1711157__1.1711157	1501391__GCA_000786575.1_00108
ERR1913301.1711235__1.1711235	40518__R5DUW7__DXD83_02105
ERR1913301.1711421__1.1711421	706562__GCA_900112995.1_00651
ERR1913301.1711429__1.1711429	818__A0A139JW76__BJP75_002555
ERR1913301.1712036__1.1712036	1263011__R6E3I0__BN553_00387
ERR1913301.1712131__1.1712131	853__A0A173T8T3__DW882_06555
ERR1913301.1712145__1.1712145	1262929__R6F0P0__BN691_00563
ERR1913301.1712174__1.1712174	360807__C0FYL6__ROSEINA2194_03855
ERR1913301.1712182__1.1712182	363265__G6AYV3__HMPREF0673_01814
ERR1913301.1712270__1.1712270	363265__R6F6E7__HMPREF0673_02119
ERR1913301.1712274__1.1712274	43675__D2NQ43__CYK05_08570
ERR1913301.1712313__1.1712313	363265__G6AXV1__HMPREF0673_01458
ERR1913301.1712347__1.1712347	165179__A0A229I443__DXB80_10950
ERR1913301.1712364__1.1712364	706562__GCA_900112995.1_01424
ERR1913301.1712367__1.1712367	165179__R6C330__DXC61_04975
ERR1913301.1712370__1.1712370	1262929__R6F1E4__BN691_00073
ERR1913301.1712543__1.1712543	853__D4KAK8__C4N21_13380
ERR1913301.1712810__1.1712810	1262924__R7HRE7__BN585_00055
ERR1913301.1713221__1.1713221	1262924__R7HPZ6__BN585_00681
ERR1913301.1713624__1.1713624	33039__D4M6R8__bglB_8
ERR1913301.1713648__1.1713648	39492__D4JRS7__ERS852540_02076
ERR1913301.1713785__1.1713785	1262929__R6F8A0__BN691_00413
ERR1913301.1713803__1.1713803	165179__R6C330__DXC61_04975
ERR1913301.1713948__1.1713948	626940__E8LF89__BHW43_10640
ERR1913301.1714003__1.1714003	1262929__R6FV83__BN691_00675
ERR1913301.1714011__1.1714011	166486__C7G6A9__ROSINTL182_05422
ERR1913301.1714084__1.1714084	39486__R6SE83__DXD82_03080
ERR1913301.1714048__1.1714048	166486__D4KZ69__ERS852572_01502
ERR1913301.1714057__1.1714057	363265__R6F4I0__HMPREF0673_00778
ERR1913301.1714139__1.1714139	371601__D4WBK5__BN891_3970
ERR1913301.1714178__1.1714178	1262929__R6FV28__BN691_00620
ERR1913301.1714198__1.1714198	28118__F9Z5M3__B5F93_14990
ERR1913301.1714232__1.1714232	28052__R7NA90__tcyB
ERR1913301.1714336__1.1714336	301302__R5UKP4__cbiT
ERR1913301.1714618__1.1714618	301302__R5UMP3__lytC_3
ERR1913301.1714746__1.1714746	165179__A0A174SA26__PREVCOP_05758
ERR1913301.1714754__1.1714754	823__A0A395YZG9__M092_4358
ERR1913301.1714781__1.1714781	39492__D4JV86__spoIIE
ERR1913301.1714918__1.1714918	1262924__R7HUJ5__BN585_00830
ERR1913301.1714955__1.1714955	820__A0A139KJR5__M093_4469
ERR1913301.1714956__1.1714956	363265__R7H1Q3__HMPREF0673_02409
ERR1913301.1714968__1.1714968	1262929__R6F594__BN691_01450
ERR1913301.1715031__1.1715031	1262929__R6F594__BN691_01450
ERR1913301.1715104__1.1715104	28116__A7LYG5__M089_5828
ERR1913301.1715176__1.1715176	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913301.1715192__1.1715192	166486__D4KZ14__inlA_1
ERR1913301.1715234__1.1715234	1262911__R6GPC5__BN557_00852
ERR1913301.1715201__1.1715201	1262929__R6F753__BN691_02112
ERR1913301.1715277__1.1715277	820__A0A078S4C2__ERS417307_00828
ERR1913301.1715248__1.1715248	88431__A0A174RFW8__ERS852526_02076
ERR1913301.1715252__1.1715252	1262929__R6FAR5__BN691_00788
ERR1913301.1715268__1.1715268	1262743__R5C054__BN727_01980
ERR1913301.1715340__1.1715340	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913301.1715428__1.1715428	1308__Q5M5L9__X841_02550
ERR1913301.1715443__1.1715443	1262992__R5D6J2__BN795_00288
ERR1913301.1715528__1.1715528	39485__A0A174YMI9__cph2_5
ERR1913301.1715577__1.1715577	165179__A0A3E5AGH1__DXB80_05820
ERR1913301.1715661__1.1715661	166486__C7G7A6__ROSINTL182_05773
ERR1913301.1715718__1.1715718	1501391__GCA_000786575.1_00110
ERR1913301.1715690__1.1715690	40518__R5DR39__mreB_2
ERR1913301.1715781__1.1715781	626940__E8LD83__BHW43_05620
ERR1913301.1715951__1.1715951	1262929__R6ETQ6__BN691_00919
ERR1913301.1716041__1.1716041	165179__A0A3E5E2S3__DXB80_03455
ERR1913301.1716076__1.1716076	39485__A0A174Z501__EUBELI_00678
ERR1913301.1716020__1.1716020	1262936__R7J048__BN799_01270
ERR1913301.1716117__1.1716117	165179__R6CNX7__DXB80_02200
ERR1913301.1716221__1.1716221	823__A0A355XF06__B5F32_11480
ERR1913301.1716263__1.1716263	33039__D4M4L7__ripA
ERR1913301.1716377__1.1716377	818__A0A139K2A0__SAMN02910322_00898
ERR1913301.1716388__1.1716388	360807__C0FVT5__RIL183_27241
ERR1913301.1716545__1.1716545	1262886__R6Q7L1__BN563_00804
ERR1913301.1716522__1.1716522	47678__R5UWN2__BACCAC_01649
ERR1913301.1716571__1.1716571	820__A0A374Q854__HMPREF1073_03281
ERR1913301.1716589__1.1716589	166486__D4KY48__gmr_5
ERR1913301.1716602__1.1716602	357276__A0A076INK2__BSEG_04225
ERR1913301.1716671__1.1716671	39492__A0A174ZG93__EUBSIR_00254
ERR1913301.1716676__1.1716676	626940__E8LE49__DCQ00_07135
ERR1913301.1716681__1.1716681	165179__D1PGJ6__DXC61_07300
ERR1913301.1716735__1.1716735	165179__A0A3E5DZ45__DXC61_02820
ERR1913301.1716724__1.1716724	166486__D4KUK5__thiM
ERR1913301.1716876__1.1716876	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913301.1716939__1.1716939	28116__A7M344__BACOV975_04644
ERR1913301.1717009__1.1717009	39492__D4JVW2__EUBSIR_02285
ERR1913301.1717128__1.1717128	1262929__R6F4F7__BN691_01167
ERR1913301.1717108__1.1717108	1262929__R6EV27__BN691_00137
ERR1913301.1717192__1.1717192	165179__D1PCL6__DXB80_13435
ERR1913301.1717449__1.1717449	363265__R6F7I6__HMPREF0673_02057
ERR1913301.1717456__1.1717456	28118__F9Z5M3__B5F93_14990
ERR1913301.1717519__1.1717519	820__A0A173YYG4__evgS_3
ERR1913301.1717566__1.1717566	544645__A0A373UZ25__DXC42_17170
ERR1913301.1717665__1.1717665	1262929__R6F825__BN691_00333
ERR1913301.1717621__1.1717621	301302__A0A0M6WVU2__M72_13551
ERR1913301.1717778__1.1717778	39492__D4JV86__spoIIE
ERR1913301.1717849__1.1717849	626940__E8LF94__DCQ00_07860
ERR1913301.1717905__1.1717905	1897011__A0A1Q6RE92__BHW41_04980
ERR1913301.1717934__1.1717934	46506__B0NUC3__SAMN05444283_1019
ERR1913301.1718077__1.1718077	820__R9I2U8__DXC68_09590
ERR1913301.1718091__1.1718091	1262929__R6EZP7__BN691_00230
ERR1913301.1718098__1.1718098	165179__A0A229I443__DXB80_10950
ERR1913301.1718350__1.1718350	823__A0A395YY84__DXC05_19515
ERR1913301.1718370__1.1718370	820__A0A139K426__B5G17_09115
ERR1913301.1718672__1.1718672	165179__A0A174SA26__PREVCOP_05758
ERR1913301.1718808__1.1718808	165179__D1PGU8__PREVCOP_06463
ERR1913301.1718814__1.1718814	363265__R7GZ37__HMPREF0673_00915
ERR1913301.1718819__1.1718819	818__R9GZ02__C799_04453
ERR1913301.1718892__1.1718892	1262929__R6FV20__BN691_00610
ERR1913301.1718946__1.1718946	357276__I9R2M6__BSEG_03499
ERR1913301.1719002__1.1719002	165179__R6XIF8__DXC61_07265
ERR1913301.1718986__1.1718986	626940__E8LB53__holA
ERR1913301.1719044__1.1719044	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913301.1719137__1.1719137	363265__R6F6E7__HMPREF0673_02119
ERR1913301.1719255__1.1719255	39492__R6RT40__prkC_3
ERR1913301.1719339__1.1719339	1263107__GCA_000436995.1_00021
ERR1913301.1719325__1.1719325	820__A0A3E4VXP2__yesR
ERR1913301.1719336__1.1719336	1262929__R6FAR5__BN691_00788
ERR1913301.1719403__1.1719403	1262886__R6QHF8__BN563_00567
ERR1913301.1719410__1.1719410	357276__C3RDQ5__HMPREF1065_03827
ERR1913301.1719432__1.1719432	165179__A0A229I9X5__CFT61_01205
ERR1913301.1719580__1.1719580	360807__C0FPV5__ERS852444_03160
ERR1913301.1719823__1.1719823	357276__I9FRW5__B5F95_21685
ERR1913301.1719892__1.1719892	165179__D1PCT4__DXB80_09470
ERR1913301.1719935__1.1719935	1262924__R7HRW7__BN585_01894
ERR1913301.1720000__1.1720000	165179__A0A3E5E2C8__folA
ERR1913301.1720107__1.1720107	363265__G6B1Q3__HMPREF0673_02828
ERR1913301.1720559__1.1720559	301302__A0A173T010__M72_26571
ERR1913301.1720576__1.1720576	1262924__R7HPX8__BN585_00310
ERR1913301.1720642__1.1720642	301302__R5UMB3__M72_01421
ERR1913301.1720668__1.1720668	33039__A0A173RPT9__ERS852502_02389
ERR1913301.1720768__1.1720768	165179__A0A3E5AE59__DXC61_12885
ERR1913301.1720792__1.1720792	2024224__A0A255TXW1__CIK98_00380
ERR1913301.1720794__1.1720794	818__A0A3E5GYI4__NCTC10582_00013
ERR1913301.1720805__1.1720805	165179__D1PD99__PREVCOP_05186
ERR1913301.1720871__1.1720871	166486__D4L457__ROSINTL182_07087
ERR1913301.1720890__1.1720890	1502__A0A317TGX9__NCTC13170_02893
ERR1913301.1720923__1.1720923	823__D0TGE9__ERS852429_03294
ERR1913301.1720930__1.1720930	165179__A0A3E5E643__DXB80_06030
ERR1913301.1721065__1.1721065	823__A0A395YQ63__B5F32_15335
ERR1913301.1721084__1.1721084	40518__R5DPE0__DXD86_06515
ERR1913301.1721355__1.1721355	360807__A0A174CZ42__RIL183_11251
ERR1913301.1721500__1.1721500	1262886__R6RDB4__BN563_00049
ERR1913301.1721583__1.1721583	166486__D4L082__yicI_5
ERR1913301.1721748__1.1721748	1262929__R6FR28__BN691_01320
ERR1913301.1721835__1.1721835	1262929__R6FRR0__BN691_00154
ERR1913301.1721951__1.1721951	1501391__GCA_000786575.1_00041
ERR1913301.1721977__1.1721977	39492__A0A174ZG93__EUBSIR_00254
ERR1913301.1722045__1.1722045	454155__F3QRD9__HMPREF9442_00740
ERR1913301.1722083__1.1722083	39492__D4JQL8__ywpJ
ERR1913301.1722336__1.1722336	1262936__R7J360__BN799_00345
ERR1913301.1722482__1.1722482	853__A0A173T0Y8__CGS54_07215
ERR1913301.1722644__1.1722644	357276__B6VVS0__HMPREF1064_03951
ERR1913301.1722742__1.1722742	853__A0A2A7A628__CGS57_13755
ERR1913301.1722797__1.1722797	820__A0A3E4WA06__ERS852554_03404
ERR1913301.1723006__1.1723006	820__A0A173YYG4__evgS_3
ERR1913301.1723046__1.1723046	363265__G6AXV1__HMPREF0673_01458
ERR1913301.1723059__1.1723059	820__A0A139KHX1__HMPREF2141_00289
ERR1913301.1723197__1.1723197	165179__D1PCL6__DXB80_13435
ERR1913301.1723522__1.1723522	166486__D4L1D8__ROSINTL182_06455
ERR1913301.1723596__1.1723596	28116__R6DIL2__DXD69_10970
ERR1913301.1723657__1.1723657	39485__R5ZSH7__EUBELI_00953
ERR1913301.1723726__1.1723726	165179__D1PDF6__DXB80_12430
ERR1913301.1723734__1.1723734	165179__A0A3E5ED28__PREVCOP_06655
ERR1913301.1723760__1.1723760	39492__D4JSD3__EUBSIR_00131
ERR1913301.1723802__1.1723802	40518__R5DM08__DXD83_06415
ERR1913301.1723816__1.1723816	165179__A0A174MTF2__DXC61_13200
ERR1913301.1723827__1.1723827	1262929__R6EX87__BN691_01422
ERR1913301.1723869__1.1723869	33039__D4M6E9__ERS852390_02866
ERR1913301.1724012__1.1724012	360807__C0G0A1__ERS852444_02410
ERR1913301.1724142__1.1724142	166486__D4KUC4__arcB_1
ERR1913301.1724226__1.1724226	301302__R5UQ61__M72_23071
ERR1913301.1724236__1.1724236	88431__A0A3D0EYE9__rafA
ERR1913301.1724242__1.1724242	363265__G6AXV1__HMPREF0673_01458
ERR1913301.1724253__1.1724253	821__A0A0P0L8F8__ERS852509_03705
ERR1913301.1724442__1.1724442	165179__A0A174SA26__PREVCOP_05758
ERR1913301.1724596__1.1724596	1262929__R6ETI0__BN691_00865
ERR1913301.1724613__1.1724613	387661__K5ZIR7__HMPREF1077_00136
ERR1913301.1724782__1.1724782	1608898__A0A1B8QZP2__HMPREF3279_01380
ERR1913301.1724867__1.1724867	1689__D2QB60__BBDE_1372
ERR1913301.1724869__1.1724869	165179__D1PAN5__PREVCOP_04260
ERR1913301.1724914__1.1724914	410072__A0A173W715__cynR_4
ERR1913301.1724945__1.1724945	1262886__R6RFP6__BN563_01341
ERR1913301.1725017__1.1725017	165179__A0A3E5EBV0__DXB80_01745
ERR1913301.1725032__1.1725032	165179__D1PD99__PREVCOP_05186
ERR1913301.1725035__1.1725035	165179__D1PGJ6__DXC61_07300
ERR1913301.1725042__1.1725042	301302__A0A173SUI7__M72_11091
ERR1913301.1725288__1.1725288	338188__C9KSV8__BACFIN_05392
ERR1913301.1725464__1.1725464	626940__E8LDM4__mreC
ERR1913301.1725749__1.1725749	360807__A0A1Q6T8A0__mepA_13
ERR1913301.1725882__1.1725882	28052__A0A174JQH3__ERS852499_01195
ERR1913301.1726140__1.1726140	39492__D4JVG7__ERS852540_00946
ERR1913301.1726170__1.1726170	165179__A0A3E5E9I4__DXB80_09745
ERR1913301.1726189__1.1726189	363265__G6AUD5__HMPREF0673_00225
ERR1913301.1726285__1.1726285	1262924__R7HRA8__BN585_01680
ERR1913301.1726372__1.1726372	39485__C4Z6V1__ERS852492_02640
ERR1913301.1726386__1.1726386	39485__R5ZSI4__ERS852492_00875
ERR1913301.1726296__1.1726296	46503__R6XDP9__ERS852463_01752
ERR1913301.1726401__1.1726401	1262929__R6F594__BN691_01450
ERR1913301.1726435__1.1726435	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913301.1726572__1.1726572	1263107__GCA_000436995.1_00210
ERR1913301.1726664__1.1726664	301302__R5UMB9__M72_25011
ERR1913301.1726700__1.1726700	165179__A0A3E5AI09__DXC61_05815
ERR1913301.1726711__1.1726711	165179__A0A3E5AER8__DXB80_07075
ERR1913301.1726758__1.1726758	1262929__R6F825__BN691_00333
ERR1913301.1726841__1.1726841	40518__R5DTP7__DXD83_02415
ERR1913301.1726806__1.1726806	1262929__R6FRR0__BN691_00154
ERR1913301.1726850__1.1726850	165179__A0A3E5DN34__DXC61_07865
ERR1913301.1727001__1.1727001	626940__R6X4V5__DCQ00_10410
ERR1913301.1727063__1.1727063	1262886__R6Q805__BN563_00926
ERR1913301.1727089__1.1727089	33043__D5HHE4__ERS852445_02332
ERR1913301.1727213__1.1727213	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913301.1727275__1.1727275	301302__A0A0M6WB53__mcp4_4
ERR1913301.1727359__1.1727359	301301__A0A174C8W8__ERS852391_01378
ERR1913301.1727329__1.1727329	1262924__R7HT04__BN585_00021
ERR1913301.1727471__1.1727471	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913301.1727636__1.1727636	166486__D4KZP0__ERS852572_00486
ERR1913301.1727649__1.1727649	166486__C7GCP5__ROSINTL182_07683
ERR1913301.1727698__1.1727698	39485__A0A174ZI57__ERS852490_00285
ERR1913301.1727706__1.1727706	820__A0A3E4VXP2__yesR
ERR1913301.1727682__1.1727682	165179__D1P8V8__DXC61_01940
ERR1913301.1727763__1.1727763	165179__R6BQP4__DXC61_02015
ERR1913301.1727827__1.1727827	1262929__R6F053__BN691_00334
ERR1913301.1727847__1.1727847	357276__D1JY58__BACDOR_04277
ERR1913301.1727952__1.1727952	28116__A0A1Y4Q119__DXD69_10975
ERR1913301.1728021__1.1728021	301302__R5UNJ6__M72_26701
ERR1913301.1728087__1.1728087	39485__C4Z6V1__ERS852492_02640
ERR1913301.1728058__1.1728058	165179__D1P8Q2__trpF
ERR1913301.1728114__1.1728114	165179__D1PAJ7__PREVCOP_04222
ERR1913301.1728229__1.1728229	363265__R6F4I0__HMPREF0673_00778
ERR1913301.1728277__1.1728277	1262929__R6F0A6__BN691_00414
ERR1913301.1728292__1.1728292	1262929__R6EYQ0__BN691_00631
ERR1913301.1728463__1.1728463	1262929__R6FUB1__BN691_00386
ERR1913301.1728473__1.1728473	1203556__S3ABK0__HMPREF1478_00331
ERR1913301.1728436__1.1728436	39485__A0A174YR79__EUBELI_20418
ERR1913301.1728501__1.1728501	1262936__R7J360__BN799_00345
ERR1913301.1728524__1.1728524	823__A6LER2__ERS852513_00365
ERR1913301.1728543__1.1728543	1262736__R5YZV2__BN496_01991
ERR1913301.1728600__1.1728600	1262929__R6EXI8__BN691_01531
ERR1913301.1728604__1.1728604	166486__D4KXJ6__ERS852572_00336
ERR1913301.1728731__1.1728731	39492__D4JUP6__ERS852540_01404
ERR1913301.1728732__1.1728732	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913301.1728817__1.1728817	818__Q8A3I3__HMPREF2534_00068
ERR1913301.1728835__1.1728835	39492__D4JTJ1__EUBSIR_01453
ERR1913301.1729070__1.1729070	363265__R7H1Q3__HMPREF0673_02409
ERR1913301.1729111__1.1729111	853__A0A173YYY4__DWZ04_09420
ERR1913301.1729126__1.1729126	165179__A0A3E5E643__DXB80_06030
ERR1913301.1729169__1.1729169	165179__A0A174IPI3__CFT61_10940
ERR1913301.1729207__1.1729207	214856__A0A174FZ29__ERS852559_00600
ERR1913301.1729227__1.1729227	363265__G6B0I3__HMPREF0673_02401
ERR1913301.1729320__1.1729320	301302__R5UNC5__M72_02681
ERR1913301.1729473__1.1729473	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913301.1729540__1.1729540	165179__D1PGD2__DXC61_10875
ERR1913301.1729698__1.1729698	165179__A0A174SA26__PREVCOP_05758
ERR1913301.1729933__1.1729933	39492__D4JU94__ispE
ERR1913301.1729898__1.1729898	166486__D4KY84__ERS852572_02606
ERR1913301.1730111__1.1730111	47678__A5ZG68__ERS852494_02968
ERR1913301.1730119__1.1730119	165179__A0A3E5A5E5__DXC61_13965
ERR1913301.1730451__1.1730451	1262929__R6FV28__BN691_00620
ERR1913301.1730462__1.1730462	1262936__R7IY18__BN799_00607
ERR1913301.1730840__1.1730840	1262929__R6F9D0__BN691_00320
ERR1913301.1730821__1.1730821	165179__A0A3E5AG99__DXB80_04390
ERR1913301.1730849__1.1730849	28116__A0A139LL51__B5F02_01570
ERR1913301.1730948__1.1730948	820__A0A174F0C1__nreB
ERR1913301.1731010__1.1731010	1263011__R6DWT0__BN553_00469
ERR1913301.1731124__1.1731124	166486__D4L2C3__ERS852572_01686
ERR1913301.1731069__1.1731069	1262929__R6FUB1__BN691_00386
ERR1913301.1731757__1.1731757	301302__A0A173TWC1__phoR_7
ERR1913301.1731806__1.1731806	1262886__R6Q7L1__BN563_00804
ERR1913301.1731844__1.1731844	1501391__GCA_000786575.1_00040
ERR1913301.1731821__1.1731821	165179__R6CJG8__DXC61_09290
ERR1913301.1731886__1.1731886	1262936__R7IZB8__BN799_01096
