ERR1913224.352__1.352	853__A0A173RZ39__C4N22_01650
ERR1913224.703712__1.703712	1262761__R6QS33__BN606_00308
ERR1913224.703823__1.703823	820__R9HP61__DXC91_01090
ERR1913224.703866__1.703866	1262761__R6QWI4__BN606_00934
ERR1913224.704081__1.704081	1262942__R7QVV4__BN520_01840
ERR1913224.704082__1.704082	1262761__R6R8A4__BN606_01470
ERR1913224.704360__1.704360	820__A0A3E4VZY4__ERS852554_01211
ERR1913224.704515__1.704515	1897011__A0A1Q6RI45__BHW41_00970
ERR1913224.704543__1.704543	1262761__R6QNF0__BN606_00930
ERR1913224.704618__1.704618	1235790__S0J8L6__C805_00148
ERR1913224.704780__1.704780	1501391__GCA_000786575.1_00106
ERR1913224.704816__1.704816	1262944__R7ISE6__BN596_01751
ERR1913224.704855__1.704855	823__A0A395YRX4__ERS852513_03444
ERR1913224.704856__1.704856	357276__A0A076IS46__BACDOR_03265
ERR1913224.704903__1.704903	1262761__R6QMC1__BN606_00771
ERR1913224.705040__1.705040	1262761__R6QV93__BN606_01806
ERR1913224.705403__1.705403	40520__A0A3E5A422__RUMOBE_00654
ERR1913224.705593__1.705593	88431__A0A174MYZ5__ycjP_7
ERR1913224.705848__1.705848	2293125__A0A374BSW4__DW917_13420
ERR1913224.705901__1.705901	1262533__GeneID:16385386
ERR1913224.706095__1.706095	1262911__R6GLA5__BN557_01456
ERR1913224.706206__1.706206	218538__C9LL79__GCWU000321_00015
ERR1913224.706405__1.706405	820__R9I3Q7__HMPREF1072_01668
ERR1913224.706546__1.706546	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913224.706699__1.706699	2293125__A0A374BSW4__DW917_13420
ERR1913224.707006__1.707006	820__A0A174CG08__DXB62_13215
ERR1913224.707267__1.707267	820__A7V470__HMPREF1072_02076
ERR1913224.707367__1.707367	487174__K0X3H8__HMPREF9448_02822
ERR1913224.707444__1.707444	2293125__A0A374C8A8__DW917_07550
ERR1913224.707425__1.707425	2293125__A0A374BSW4__DW917_13420
ERR1913224.707513__1.707513	166486__D4L284__ERS852572_01651
ERR1913224.707520__1.707520	47678__R5UG30__ERS852558_03525
ERR1913224.707725__1.707725	821__A0A174V2F3__NCTC10583_01474
ERR1913224.707958__1.707958	1628085__A0A3E2XXJ5__C7386_10966
ERR1913224.708146__1.708146	1796613__A0A1C7H6N8__ADH74_01350
ERR1913224.708193__1.708193	2293125__A0A374C955__DW917_08135
ERR1913224.708272__1.708272	28116__A0A395VSP8__ERS852555_02642
ERR1913224.708348__1.708348	2293125__A0A374CII0__DW917_03470
ERR1913224.708655__1.708655	2293125__A0A374C4J1__DW917_09855
ERR1913224.709119__1.709119	301301__A0A395VBG0__ERS852391_01236
ERR1913224.709153__1.709153	2293125__A0A374BNR6__DW917_15660
ERR1913224.709427__1.709427	820__A0A139KHX1__HMPREF2141_00289
ERR1913224.709444__1.709444	820__A0A174TRB5__DXD40_11305
ERR1913224.709453__1.709453	1262761__R6RZ48__BN606_01724
ERR1913224.709540__1.709540	2293125__A0A374BVX3__DW917_12740
ERR1913224.709706__1.709706	820__A0A3E4VXP2__yesR
ERR1913224.710072__1.710072	820__I9TWZ7__DXC80_10550
ERR1913224.710096__1.710096	487174__K0X2Q8__DDY40_04590
ERR1913224.710336__1.710336	46228__V8BSG0__RUMLAC_01955
ERR1913224.710439__1.710439	1262889__R7HEJ5__BN634_01091
ERR1913224.710500__1.710500	1501391__GCA_000786575.1_00103
ERR1913224.710530__1.710530	2293125__A0A374CHT4__DW917_03485
ERR1913224.710677__1.710677	1262911__R6GXH0__BN557_00389
ERR1913224.710916__1.710916	35833__S2KTV4__HMPREF0179_05216
ERR1913224.710992__1.710992	1262761__R6R4K8__BN606_01919
ERR1913224.711050__1.711050	410072__A0A3E4GRE0__DXD67_07105
ERR1913224.711023__1.711023	2293125__A0A374BSW4__DW917_13420
ERR1913224.711060__1.711060	46228__B5CPV4__DXD17_07415
ERR1913224.711116__1.711116	2293125__A0A374BSW4__DW917_13420
ERR1913224.711319__1.711319	1262783__R6DNV4__BN558_00655
ERR1913224.711388__1.711388	820__A0A3E4PYB0__yejM
ERR1913224.711556__1.711556	1262761__R6QJJ2__BN606_00358
ERR1913224.711534__1.711534	1501391__GCA_000786575.1_00055
ERR1913224.711726__1.711726	853__A0A173YYY4__DWZ04_09420
ERR1913224.711747__1.711747	821__A0A174T998__DXB82_10860
ERR1913224.711774__1.711774	820__A0A174CG08__DXB62_13215
ERR1913224.711801__1.711801	310298__B3JQJ5__BACCOP_04231
ERR1913224.711927__1.711927	46228__V8BSG0__RUMLAC_01955
ERR1913224.711954__1.711954	1262988__R7N397__BN816_01278
ERR1913224.711903__1.711903	1262911__R6H174__BN557_01246
ERR1913224.711978__1.711978	2293125__A0A374CC93__DW917_06625
ERR1913224.712045__1.712045	671267__R9IB12__C802_00696
ERR1913224.712128__1.712128	239935__R6J776__CXU07_02355
ERR1913224.712340__1.712340	820__A0A174TRB5__DXD40_11305
ERR1913224.712372__1.712372	239935__A0A2N8IMC3__CXT96_03840
ERR1913224.712472__1.712472	1263107__GCA_000436995.1_00131
ERR1913224.712530__1.712530	2293125__A0A374CC93__DW917_06625
ERR1913224.712546__1.712546	1262700__R5XC07__BN695_01332
ERR1913224.712628__1.712628	1262942__R7R069__BN520_02166
ERR1913224.712889__1.712889	821__A0A395UNT8__DXD64_15275
ERR1913224.712986__1.712986	820__A7V859__ERS852462_00341
ERR1913224.713071__1.713071	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913224.713178__1.713178	820__A0A3E4RUC4__DHU98_02635
ERR1913224.713203__1.713203	820__R9I2U8__DXC68_09590
ERR1913224.713372__1.713372	820__A0A174M9V5__M093_0237
ERR1913224.713622__1.713622	820__A0A174R952__DXB48_02570
ERR1913224.713650__1.713650	1262911__R6GLA5__BN557_01456
ERR1913224.713725__1.713725	1262988__R7N2N0__BN816_00043
ERR1913224.714333__1.714333	165179__D1PGU8__PREVCOP_06463
ERR1913224.714391__1.714391	2293125__A0A374C0L7__DW917_11510
ERR1913224.714526__1.714526	823__A0A355XF06__B5F32_11480
ERR1913224.714763__1.714763	820__A0A1Y3V743__M093_0235
ERR1913224.715051__1.715051	218538__C9LM16__csm1
ERR1913224.715090__1.715090	1262889__R7HCV1__BN634_01227
ERR1913224.715216__1.715216	823__K6AS99__ERS852429_01856
ERR1913224.715171__1.715171	165179__A0A174SA26__PREVCOP_05758
ERR1913224.715253__1.715253	821__A0A174WBC9__ERS852556_03145
ERR1913224.716057__1.716057	1262945__R6YP45__BN600_01845
ERR1913224.716169__1.716169	1262761__R6R5Y2__BN606_00214
ERR1913224.716305__1.716305	1262761__R6RU22__BN606_01110
ERR1913224.716365__1.716365	1262761__R6R4Y1__BN606_02001
ERR1913224.716679__1.716679	360807__A0A0M6WIL3__ERS852444_01365
ERR1913224.716759__1.716759	410072__C0BAS6__ERS852481_01274
ERR1913224.716980__1.716980	853__A0A3E2U7E6__ERS852582_01640
ERR1913224.717055__1.717055	39492__D4JRM9__bglB_2
ERR1913224.717287__1.717287	2293125__A0A374CFT0__DW917_03440
ERR1913224.717309__1.717309	853__D4JY61__C4N21_10560
ERR1913224.717356__1.717356	1263107__GCA_000436995.1_00033
ERR1913224.717413__1.717413	2293125__A0A374CFZ2__DW917_03445
ERR1913224.717688__1.717688	46228__B5CPX5__RUMLAC_01520
ERR1913224.718277__1.718277	820__A0A174F696__macB_13
ERR1913224.718531__1.718531	1501391__GCA_000786575.1_00072
ERR1913224.718537__1.718537	29361__B6FKH5__CLONEX_00621
ERR1913224.718617__1.718617	2293125__A0A374C955__DW917_08135
ERR1913224.718731__1.718731	820__A0A174TRB5__DXD40_11305
ERR1913224.718851__1.718851	853__A0A2J4JL53__CRH10_10795
ERR1913224.718948__1.718948	28116__E5CHV3__DHW41_06155
ERR1913224.719068__1.719068	28118__R6F7H1__DF785_12785
ERR1913224.719100__1.719100	39485__A0A174ZNW9__luxQ_1
ERR1913224.719254__1.719254	1262911__R6GQM3__BN557_01245
ERR1913224.719294__1.719294	1262761__R6QS21__BN606_00301
ERR1913224.719351__1.719351	1262911__R6GKS1__BN557_00184
ERR1913224.719360__1.719360	1262911__R6GQM3__BN557_01245
ERR1913224.719521__1.719521	1262911__R6HHR1__BN557_01622
ERR1913224.719584__1.719584	2293125__A0A374CII0__DW917_03470
ERR1913224.719585__1.719585	1262824__R6RMT2__BN719_01295
ERR1913224.719651__1.719651	29361__B6FKH5__CLONEX_00621
ERR1913224.719757__1.719757	2293125__A0A374CFZ2__DW917_03445
ERR1913224.719762__1.719762	1262761__R6RU22__BN606_01110
ERR1913224.719830__1.719830	820__A0A3E5E0T0__ERS852554_00312
ERR1913224.720244__1.720244	1263006__R6M1B5__BN515_00315
ERR1913224.720404__1.720404	2293125__A0A374C7Q7__DW917_07770
ERR1913224.720426__1.720426	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913224.720457__1.720457	1160721__W0U7T4__BHW50_09645
ERR1913224.720486__1.720486	1262761__R6RU22__BN606_01110
ERR1913224.720676__1.720676	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.720677__1.720677	853__A0A174CVG7__CGS58_09335
ERR1913224.720892__1.720892	28116__I9TDA4__BACOV975_03134
ERR1913224.721059__1.721059	239935__A0A139TSG7__CXU17_09600
ERR1913224.721145__1.721145	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913224.721233__1.721233	1262911__R6H212__BN557_01031
ERR1913224.721338__1.721338	1263000__R5EMW8__BN466_00256
ERR1913224.721374__1.721374	1262911__R6GPX9__BN557_00406
ERR1913224.721590__1.721590	39491__C4ZHS4__EUR_24420
ERR1913224.721804__1.721804	2293125__A0A374BSW4__DW917_13420
ERR1913224.722062__1.722062	820__A0A3E4W984__pssA
ERR1913224.722105__1.722105	239935__A0A2N8HUU6__CXT90_06150
ERR1913224.722265__1.722265	1262942__R7QW43__BN520_01080
ERR1913224.722322__1.722322	301301__G2T1N2__ERS852391_00344
ERR1913224.722473__1.722473	46228__B5CQY8__RUMLAC_01887
ERR1913224.722762__1.722762	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.722902__1.722902	1263006__R6M1B5__BN515_00315
ERR1913224.723128__1.723128	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913224.723256__1.723256	218538__C9LL79__GCWU000321_00015
ERR1913224.723328__1.723328	1501391__GCA_000786575.1_00037
ERR1913224.723516__1.723516	1263107__GCA_000436995.1_00199
ERR1913224.723828__1.723828	2293125__A0A374CMK5__DW917_00330
ERR1913224.723990__1.723990	820__A7V470__HMPREF1072_02076
ERR1913224.724059__1.724059	2293125__A0A374CFW0__DW917_03450
ERR1913224.724487__1.724487	165179__D1PGU8__PREVCOP_06463
ERR1913224.724576__1.724576	301301__A0A395VAM3__yfiN_2
ERR1913224.724630__1.724630	820__A0A3E4G826__C801_01612
ERR1913224.724725__1.724725	544644__GCA_001915615.1_01909
ERR1913224.724736__1.724736	28116__A0A3D2LPA1__CUY_3388
ERR1913224.724798__1.724798	1263000__R5EKT2__BN466_02168
ERR1913224.725274__1.725274	1262761__R6RZF9__BN606_01803
ERR1913224.725476__1.725476	384638__B7AT14__BACPEC_01282
ERR1913224.725630__1.725630	1262988__R7N7X7__BN816_00195
ERR1913224.725607__1.725607	853__A8S882__C4N23_07600
ERR1913224.725674__1.725674	1262889__R7H9H9__BN634_02436
ERR1913224.725719__1.725719	410072__C0B9G6__ERS852481_03113
ERR1913224.725821__1.725821	823__A0A073I9P2__CF162_18000
ERR1913224.725944__1.725944	1262777__R5VLR4__BN512_00267
ERR1913224.725994__1.725994	820__A0A3E4G3J9__ERS852459_02265
ERR1913224.726039__1.726039	1262889__R7HCR1__BN634_01576
ERR1913224.726243__1.726243	29361__B6FKH5__CLONEX_00621
ERR1913224.726300__1.726300	414970__GeneID:5204371
ERR1913224.726366__1.726366	2293125__A0A374CFU2__DW917_03475
ERR1913224.726473__1.726473	820__A0A139KHX1__HMPREF2141_00289
ERR1913224.726532__1.726532	2293125__A0A374CFZ2__DW917_03445
ERR1913224.726580__1.726580	33043__A0A173ZDC4__malL_1
ERR1913224.726628__1.726628	1262988__R7N4U5__BN816_00495
ERR1913224.726820__1.726820	2293125__A0A374CFW0__DW917_03450
ERR1913224.727002__1.727002	1262948__R7E9L8__BN671_01965
ERR1913224.727281__1.727281	1501391__GCA_000786575.1_00013
ERR1913224.727284__1.727284	821__A0A0P0LNX8__ERS852509_03015
ERR1913224.727397__1.727397	820__A0A174A6K0__M093_0079
ERR1913224.727471__1.727471	39485__C4Z434__tilS
ERR1913224.727685__1.727685	1501391__GCA_000786575.1_00020
ERR1913224.727962__1.727962	39485__A0A174Z7G5__EUBELI_01168
ERR1913224.727983__1.727983	1262911__R6GR13__BN557_00618
ERR1913224.728248__1.728248	821__A0A396F9T7__M097_3427
ERR1913224.728226__1.728226	46228__B5CKX6__RUMLAC_00090
ERR1913224.728400__1.728400	2293125__A0A374CHT4__DW917_03485
ERR1913224.728525__1.728525	39491__A0A2U2EI54__DXD95_12010
ERR1913224.728723__1.728723	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913224.728790__1.728790	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.729289__1.729289	1262942__R7R1C2__BN520_00457
ERR1913224.729351__1.729351	1262911__R6H212__BN557_01031
ERR1913224.729352__1.729352	39492__D4JSS2__EUBSIR_00553
ERR1913224.729361__1.729361	820__A0A3E4RUC4__DHU98_02635
ERR1913224.729673__1.729673	360807__A0A0M6X0M8__ERS852444_00740
ERR1913224.729716__1.729716	39485__A0A175A2T1__EUBELI_02034
ERR1913224.729792__1.729792	1262942__R7QWF4__BN520_02016
ERR1913224.729807__1.729807	2293125__A0A374CFW0__DW917_03450
ERR1913224.729882__1.729882	564__A0A377CVF5__VP22_0211710
ERR1913224.729855__1.729855	562__P0ABR8__antA
ERR1913224.729887__1.729887	823__A0A355XKR1__DHP27_04035
ERR1913224.730090__1.730090	384638__B7AP90__BACPEC_00494
ERR1913224.730127__1.730127	487174__K0WTW4__DDY40_12630
ERR1913224.730225__1.730225	820__A0A078S4C2__ERS417307_00828
ERR1913224.730356__1.730356	239935__A0A2N8J2P6__ADH72_06730
ERR1913224.730587__1.730587	1262736__R5Y6X0__BN496_00548
ERR1913224.730626__1.730626	46228__B5CPU2__HMPREF1202_00621
ERR1913224.730875__1.730875	1262988__R7N7W1__BN816_00176
ERR1913224.731050__1.731050	1262736__R5YAV6__BN496_01775
ERR1913224.731182__1.731182	1262736__R5Y4Y4__BN496_00383
ERR1913224.731514__1.731514	1501391__GCA_000786575.1_00096
ERR1913224.731526__1.731526	820__A7UYX8__DXD40_11635
ERR1913224.731607__1.731607	1262942__R7R0S8__BN520_02387
ERR1913224.731982__1.731982	1262537__GeneID:16385341
ERR1913224.731992__1.731992	1262761__R6RU22__BN606_01110
ERR1913224.732016__1.732016	1262942__R7R1K2__BN520_00303
ERR1913224.732300__1.732300	39492__D4JTG7__EUBSIR_00572
ERR1913224.732435__1.732435	1262761__R6R8R4__BN606_01561
ERR1913224.732539__1.732539	2293125__A0A374CC93__DW917_06625
ERR1913224.732565__1.732565	2293125__A0A374CFZ2__DW917_03445
ERR1913224.732605__1.732605	1262761__R6QN56__BN606_00886
ERR1913224.732754__1.732754	39485__C4Z434__tilS
ERR1913224.732683__1.732683	1235835__R9LCU2__C814_02677
ERR1913224.732775__1.732775	1262761__R6R4K8__BN606_01919
ERR1913224.732888__1.732888	1501391__GCA_000786575.1_00032
ERR1913224.733032__1.733032	40520__A0A3E5A422__RUMOBE_00654
ERR1913224.733113__1.733113	820__A0A174R952__DXB48_02570
ERR1913224.733398__1.733398	821__E5UY21__C800_02204
ERR1913224.733413__1.733413	40518__R5DR96__RBATCC27255_01185
ERR1913224.733818__1.733818	1235790__S0J8L6__C805_00148
ERR1913224.733908__1.733908	2293125__A0A374CKY3__DW917_01805
ERR1913224.734071__1.734071	1034346__A0A3C0DFQ6__DES51_10586
ERR1913224.734116__1.734116	384638__B7AU96__BACPEC_02294
ERR1913224.734517__1.734517	817__Q64XX5__M126_0821
ERR1913224.734655__1.734655	1501392__A0A0B2JH74__PU94_06100
ERR1913224.734723__1.734723	74426__nifJ
ERR1913224.735050__1.735050	2293125__A0A374CI55__DW917_03455
ERR1913224.735147__1.735147	820__A7V8C2__ERS852554_01338
ERR1913224.735153__1.735153	823__A0A069S0G2__DXB14_03195
ERR1913224.735860__1.735860	2293125__A0A374CII6__DW917_03460
ERR1913224.736250__1.736250	820__A0A139KHX1__HMPREF2141_00289
ERR1913224.736311__1.736311	2293125__A0A374C955__DW917_08135
ERR1913224.736489__1.736489	1262761__R6QNB5__BN606_00915
ERR1913224.736492__1.736492	820__A0A3E4PYB0__yejM
ERR1913224.736529__1.736529	1262761__R6QMI9__BN606_00798
ERR1913224.736567__1.736567	47678__R5U7X8__C5Z00_18270
ERR1913224.736635__1.736635	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913224.736756__1.736756	39492__D4JUN0__EUBSIR_02705
ERR1913224.736847__1.736847	28116__A0A1Y4Q112__evgS_13
ERR1913224.736854__1.736854	1150298__A0A173ZI89__ERS852498_03535
ERR1913224.736895__1.736895	33043__A0A173WWJ5__ERS852386_00339
ERR1913224.737039__1.737039	1262783__R6DNZ3__BN558_00702
ERR1913224.737318__1.737318	1501391__GCA_000786575.1_00103
ERR1913224.737344__1.737344	820__A0A139KIL9__DXC68_05945
ERR1913224.737355__1.737355	414970__GeneID:5204379
ERR1913224.737480__1.737480	165179__A0A3E5AHY4__CFT61_07675
ERR1913224.737575__1.737575	1262889__R7HD12__BN634_00607
ERR1913224.737590__1.737590	39485__A0A174Z851__cdaR_1
ERR1913224.738027__1.738027	28116__A7LS02__DXF98_24100
ERR1913224.738076__1.738076	28118__F9Z4H5__DHW44_02810
ERR1913224.738315__1.738315	2293125__A0A374CJ13__DW917_03145
ERR1913224.738357__1.738357	2293125__A0A374CFW0__DW917_03450
ERR1913224.738530__1.738530	2293125__A0A374BZ50__DW917_11090
ERR1913224.738786__1.738786	39485__A0A174YZE2__spoIIE
ERR1913224.738816__1.738816	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913224.738950__1.738950	446660__GCA_003428235.1_01770
ERR1913224.739116__1.739116	39492__D4JVG1__ERS852540_00951
ERR1913224.739141__1.739141	39485__A0A174Z8V5__fliU_2
ERR1913224.739189__1.739189	820__A0A173W419__DXC68_17760
ERR1913224.739667__1.739667	165179__A0A3E5AGH1__DXB80_05820
ERR1913224.739788__1.739788	1501391__GCA_000786575.1_00081
ERR1913224.739891__1.739891	1262911__R6H174__BN557_01246
ERR1913224.740055__1.740055	1501391__GCA_000786575.1_00128
ERR1913224.740639__1.740639	1262761__R6QJJ2__BN606_00358
ERR1913224.740800__1.740800	820__A0A139K8N1__ERS852554_00951
ERR1913224.741137__1.741137	39491__R6TNE2__LD38_07270
ERR1913224.741172__1.741172	1262761__R6RZF9__BN606_01803
ERR1913224.741417__1.741417	1262944__R7IP88__BN596_01467
ERR1913224.741692__1.741692	28116__I8YA52__M088_0798
ERR1913224.741754__1.741754	2293125__A0A374CFZ2__DW917_03445
ERR1913224.742300__1.742300	1150298__R7JNQ8__ERS852406_00857
ERR1913224.742367__1.742367	1262761__R6RP99__BN606_00488
ERR1913224.742475__1.742475	1501391__GCA_000786575.1_00001
ERR1913224.742478__1.742478	853__A0A2A7B9I6__DW855_13690
ERR1913224.742419__1.742419	1262911__R6H0U7__BN557_01104
ERR1913224.742543__1.742543	820__A0A3E4VXP2__yesR
ERR1913224.742557__1.742557	2293125__A0A374C9I8__DW917_06795
ERR1913224.742636__1.742636	1262942__R7QXX9__BN520_01320
ERR1913224.742711__1.742711	301301__A0A174GNJ2__RHOM_05610
ERR1913224.742888__1.742888	165179__R6C330__DXC61_04975
ERR1913224.743207__1.743207	820__A0A139KG60__M094_2679
ERR1913224.743466__1.743466	2293125__A0A374CII6__DW917_03460
ERR1913224.743759__1.743759	1262911__R6H212__BN557_01031
ERR1913224.743875__1.743875	1262911__R6GMD8__BN557_01647
ERR1913224.743951__1.743951	218538__C9LPE5__GCWU000321_01424
ERR1913224.744102__1.744102	2293125__A0A374C9I8__DW917_06795
ERR1913224.744077__1.744077	651822__GCA_000210715.1_00753
ERR1913224.744469__1.744469	1262911__R6H212__BN557_01031
ERR1913224.744775__1.744775	28116__A0A078Q7C2__DHW41_14520
ERR1913224.745034__1.745034	1550024__G9RXB5__TQ39_17835
ERR1913224.745147__1.745147	1262988__R7N3Z1__BN816_00044
ERR1913224.745398__1.745398	2293125__A0A374C955__DW917_08135
ERR1913224.745443__1.745443	562__P77294__fimG
ERR1913224.745840__1.745840	820__A0A139K8N1__ERS852554_00951
ERR1913224.746083__1.746083	2293125__A0A374C4J1__DW917_09855
ERR1913224.746261__1.746261	820__A0A139K337__ERS852459_02375
ERR1913224.746201__1.746201	2293125__A0A374C8E6__DW917_07195
ERR1913224.746379__1.746379	823__A0A173V751__DXD05_02690
ERR1913224.746299__1.746299	1262911__R6GYU2__BN557_00621
ERR1913224.746316__1.746316	1262761__R6QU88__BN606_01983
ERR1913224.746489__1.746489	2293125__A0A374BQ34__DW917_14250
ERR1913224.746589__1.746589	1263107__GCA_000436995.1_00223
ERR1913224.746602__1.746602	1262889__R7H8W0__BN634_02256
ERR1913224.746548__1.746548	1262761__R6QMC1__BN606_00771
ERR1913224.746615__1.746615	28116__A0A1G8H1M8__DXF98_11065
ERR1913224.746649__1.746649	39485__R5ZSI4__ERS852492_00875
ERR1913224.746958__1.746958	820__A0A173YYG4__evgS_3
ERR1913224.747108__1.747108	418240__R7CKF9__ERS852478_03305
ERR1913224.747137__1.747137	1501391__GCA_000786575.1_00075
ERR1913224.747187__1.747187	820__A0A139K2N9__DXB62_12420
ERR1913224.747408__1.747408	2293125__A0A374BLR6__DW917_15555
ERR1913224.747425__1.747425	1262911__R6GI18__BN557_01377
ERR1913224.747515__1.747515	2293125__A0A374CI55__DW917_03455
ERR1913224.747719__1.747719	820__A0A174M9V5__M093_0237
ERR1913224.747866__1.747866	61171__B9Y5T9__HOLDEFILI_01171
ERR1913224.747983__1.747983	1262889__R7HA08__BN634_00271
ERR1913224.748041__1.748041	384638__B7AVR2__BACPEC_02810
ERR1913224.748178__1.748178	820__A0A1T4IY71__HMPREF2141_02402
ERR1913224.748247__1.748247	2293125__A0A374CHT4__DW917_03485
ERR1913224.748521__1.748521	1262761__R6RBJ5__BN606_02022
ERR1913224.748684__1.748684	1262761__R6QSF1__BN606_01341
ERR1913224.748951__1.748951	1262988__R7N1E2__BN816_00832
ERR1913224.748953__1.748953	2293125__A0A374BZ93__DW917_11205
ERR1913224.749186__1.749186	820__A0A174G065__DXB62_08975
ERR1913224.749604__1.749604	218538__C9LPF0__GCWU000321_01429
ERR1913224.749846__1.749846	165179__R6C330__DXC61_04975
ERR1913224.749905__1.749905	487174__K0WR72__HMPREF9448_02610
ERR1913224.749874__1.749874	556259__I0PXW0__BSGG_5187
ERR1913224.749985__1.749985	1262911__R6HIJ8__BN557_01742
ERR1913224.749990__1.749990	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913224.750030__1.750030	1262889__R7HD12__BN634_00607
ERR1913224.750094__1.750094	1262761__R6QU78__BN606_01972
ERR1913224.750223__1.750223	218538__C9LNQ3__GCWU000321_01176
ERR1913224.750276__1.750276	2293125__A0A374BZ93__DW917_11205
ERR1913224.750247__1.750247	823__A0A355XKQ8__DHP27_04010
ERR1913224.750363__1.750363	820__A7V8C2__ERS852554_01338
ERR1913224.750399__1.750399	1262988__R7N3R7__BN816_01427
ERR1913224.750487__1.750487	384638__B7ANH9__BACPEC_00233
ERR1913224.750617__1.750617	410072__A0A173XQG6__ERS852574_01620
ERR1913224.750770__1.750770	2293125__A0A374CII6__DW917_03460
ERR1913224.750829__1.750829	28118__A0A1Q6IM78__B5F99_09295
ERR1913224.750788__1.750788	1262911__R6HN81__BN557_00921
ERR1913224.750799__1.750799	1262761__R6QUS0__BN606_00152
ERR1913224.751044__1.751044	2293125__A0A374BSW4__DW917_13420
ERR1913224.751374__1.751374	47678__A5ZHJ2__DXB67_12405
ERR1913224.751411__1.751411	246787__A0A3D6AZF8__BACCELL_02529
ERR1913224.751431__1.751431	1501391__GCA_000786575.1_00032
ERR1913224.751565__1.751565	820__A0A139KH21__DXC80_01780
ERR1913224.751829__1.751829	820__A0A139KEW8__DXB64_06405
ERR1913224.751890__1.751890	1262761__R6R8B3__BN606_01478
ERR1913224.751921__1.751921	556259__I0PYM3__BSGG_5385
ERR1913224.751930__1.751930	820__A0A3E4W984__pssA
ERR1913224.752487__1.752487	39491__A0A395V0H3__ERS852417_01192
ERR1913224.752687__1.752687	218538__C9LQZ7__GCWU000321_01979
ERR1913224.752720__1.752720	1263000__R5EMU9__BN466_00667
ERR1913224.752988__1.752988	360807__C0FMY6__ROSEINA2194_00074
ERR1913224.753974__1.753974	1263107__GCA_000436995.1_00164
ERR1913224.753978__1.753978	820__A0A1T4IYF4__mprA_1
ERR1913224.753947__1.753947	1235835__R9LCU2__C814_02677
ERR1913224.754047__1.754047	820__A0A374MMF0__HMPREF1073_03811
ERR1913224.754073__1.754073	2293125__A0A374BQ34__DW917_14250
ERR1913224.754723__1.754723	823__A0A173V751__DXD05_02690
ERR1913224.754795__1.754795	28116__C3R0H4__DXD69_00155
ERR1913224.754998__1.754998	821__A0A174K302__CUU_3129
ERR1913224.755002__1.755002	371601__C3R2J2__ERS852396_04353
ERR1913224.755541__1.755541	28118__R6FHQ8__B5F93_15555
ERR1913224.755587__1.755587	1262911__R6H1A6__BN557_01286
ERR1913224.755795__1.755795	371601__E5CE41__ERS852396_04351
ERR1913224.756271__1.756271	1262988__R7N4G5__BN816_01692
ERR1913224.756300__1.756300	28116__E5C5U2__HMPREF2532_02418
ERR1913224.756328__1.756328	28116__R6DIL2__DXD69_10970
ERR1913224.756350__1.756350	820__A0A139KHX1__HMPREF2141_00289
ERR1913224.756405__1.756405	820__A0A3E4G826__C801_01612
ERR1913224.756429__1.756429	1262700__R5XC07__BN695_01332
ERR1913224.756462__1.756462	820__A0A139JRS5__HMPREF1073_04025
ERR1913224.756502__1.756502	1501391__GCA_000786575.1_00129
ERR1913224.756506__1.756506	820__A0A174F0C1__nreB
ERR1913224.756588__1.756588	820__A0A3E4G493__ERS417307_00253
ERR1913224.756830__1.756830	1262736__R5YMQ1__BN496_00619
ERR1913224.756838__1.756838	821__A0A395VLM8__BvMPK_3650
ERR1913224.756935__1.756935	1263107__GCA_000436995.1_00069
ERR1913224.756947__1.756947	40520__C6JG23__ERS852533_01990
ERR1913224.757003__1.757003	2293125__A0A374CHQ0__DW917_02295
ERR1913224.757053__1.757053	47678__R5V1A3__BACCAC_02796
ERR1913224.757138__1.757138	1501391__GCA_000786575.1_00058
ERR1913224.757301__1.757301	820__A0A3E4IGA7__DXD40_07110
ERR1913224.757527__1.757527	853__C7H7F5__DWZ46_01780
ERR1913224.757606__1.757606	2293125__A0A374CII6__DW917_03460
ERR1913224.757856__1.757856	745368__A0A1T4X705__SAMN02745178_01472
ERR1913224.757961__1.757961	40520__A0A174EQJ0__DXB81_02710
ERR1913224.758056__1.758056	817__Q8VST0__M115_3890
ERR1913224.758094__1.758094	1262911__R6GZ01__BN557_00641
ERR1913224.758198__1.758198	2293125__A0A374BSW4__DW917_13420
ERR1913224.758209__1.758209	39492__D4JUT9__ERS852540_01449
ERR1913224.758219__1.758219	820__A0A3E4WA06__ERS852554_03404
ERR1913224.758327__1.758327	820__A0A174M9V5__M093_0237
ERR1913224.758494__1.758494	2293125__A0A374C955__DW917_08135
ERR1913224.758835__1.758835	1262761__R6QMC1__BN606_00771
