ERR1913195.27__1.27	292800__G9YWZ8__A4U99_12635
ERR1913195.708974__1.708974	328814__GCA_004558275.1_00036
ERR1913195.709133__1.709133	165179__A0A3E4SEG4__DXC61_11235
ERR1913195.709249__1.709249	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913195.709299__1.709299	328814__GCA_004558275.1_00236
ERR1913195.709279__1.709279	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913195.709345__1.709345	165179__D1PAJ7__PREVCOP_04222
ERR1913195.709536__1.709536	165179__R6B8D8__DXC61_09245
ERR1913195.709765__1.709765	165179__A0A174SR12__DXB80_04410
ERR1913195.710337__1.710337	165179__A0A174WRI9__DXB80_04870
ERR1913195.710668__1.710668	745368__A0A1T4X705__SAMN02745178_01472
ERR1913195.710730__1.710730	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.710752__1.710752	165179__D1PCT4__DXB80_09470
ERR1913195.710911__1.710911	165179__D1PEQ5__PREVCOP_05711
ERR1913195.710862__1.710862	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.710951__1.710951	1262882__R5N587__BN519_01643
ERR1913195.710976__1.710976	165179__R6BQP4__DXC61_02015
ERR1913195.710994__1.710994	820__A0A139K4W5__HMPREF2141_02394
ERR1913195.711188__1.711188	165179__A0A174SA26__PREVCOP_05758
ERR1913195.711394__1.711394	165179__D1PDT3__PREVCOP_05375
ERR1913195.711571__1.711571	165179__A0A174SA26__PREVCOP_05758
ERR1913195.711600__1.711600	165179__D1PER3__DXB80_11525
ERR1913195.711714__1.711714	301302__A0A0M6WKN8__M72_27741
ERR1913195.711745__1.711745	165179__A0A3E4SG51__DXC61_10575
ERR1913195.712158__1.712158	165179__A0A3E4SEG4__DXC61_11235
ERR1913195.712253__1.712253	165179__A0A229I740__DXC61_10430
ERR1913195.712512__1.712512	28118__R6FY14__NCTC10826_00745
ERR1913195.712576__1.712576	410072__A0A174AQ98__COPCOM_03377
ERR1913195.712637__1.712637	823__D0TDY6__DHP27_09090
ERR1913195.712802__1.712802	28037__A0A0T8EIW7__B7695_01730
ERR1913195.712880__1.712880	1262911__R6H174__BN557_01246
ERR1913195.713027__1.713027	165179__A0A3E5DWQ1__DXB80_06635
ERR1913195.713382__1.713382	1680__A0A076JM61__DXD63_05245
ERR1913195.713403__1.713403	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913195.713503__1.713503	40518__R5E6K4__RB5AMG_02070
ERR1913195.713615__1.713615	1262948__R7E7X7__BN671_01978
ERR1913195.713683__1.713683	1680__A0A3E4SB79__BAD_1517
ERR1913195.713659__1.713659	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913195.713733__1.713733	33043__A0A174H1B6__ERS852575_02702
ERR1913195.713714__1.713714	39485__A0A174YTW2__EUBELI_20520
ERR1913195.713814__1.713814	487174__K0WYG0__DDY40_00295
ERR1913195.713860__1.713860	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.713973__1.713973	363265__R6FQP4__HMPREF0673_00216
ERR1913195.714016__1.714016	1262882__R5N349__BN519_01037
ERR1913195.714140__1.714140	1262882__R5N0F4__BN519_00593
ERR1913195.714229__1.714229	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.714424__1.714424	165179__A0A3E5DZA5__DXB80_12550
ERR1913195.714399__1.714399	363265__G6B1B1__HMPREF0673_02682
ERR1913195.714676__1.714676	100886__E2NRF9__ERS852383_03596
ERR1913195.714790__1.714790	28052__A0A174GLS7__cmpC
ERR1913195.714946__1.714946	301302__R5VE75__M72_12161
ERR1913195.714966__1.714966	40518__R5DUU0__DXD93_03985
ERR1913195.715026__1.715026	100886__R7GJP9__amiC
ERR1913195.715045__1.715045	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.714972__1.714972	1262882__R5N5S3__BN519_00085
ERR1913195.715106__1.715106	301302__A0A0M6WV71__ERS852420_01279
ERR1913195.715148__1.715148	1262882__R5N526__BN519_01603
ERR1913195.715200__1.715200	165179__D1PE06__DXC61_05975
ERR1913195.715174__1.715174	1262930__R6AQF3__BN693_01271
ERR1913195.715271__1.715271	1262929__R6F6C8__BN691_01344
ERR1913195.715328__1.715328	301302__A0A0M6W9I4__M72_19871
ERR1913195.715378__1.715378	165179__A0A3E5AER8__DXB80_07075
ERR1913195.715427__1.715427	165179__A0A174IPI3__CFT61_10940
ERR1913195.715510__1.715510	1262882__R5MNC1__BN519_00818
ERR1913195.715787__1.715787	1160721__W0U1Y5__BHW50_01965
ERR1913195.715900__1.715900	301302__R5UK77__M72_08681
ERR1913195.715835__1.715835	100886__E2NRN8__CATMIT_01243
ERR1913195.715945__1.715945	33043__D5HI39__baeS_1
ERR1913195.716070__1.716070	1262882__R5MHQ8__BN519_00707
ERR1913195.716112__1.716112	360807__C0FQD4__codY
ERR1913195.716128__1.716128	301302__R5VBR7__phoR_11
ERR1913195.716358__1.716358	1284775__A0A095ZFS6__HMPREF1640_07045
ERR1913195.716428__1.716428	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.716448__1.716448	28118__F9Z9B0__SAMEA44545918_02179
ERR1913195.716473__1.716473	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913195.716563__1.716563	301302__R5V5K3__M72_10541
ERR1913195.716621__1.716621	1284775__A0A095Y663__HMPREF1640_07240
ERR1913195.716700__1.716700	301302__A0A173UN64__manA_2
ERR1913195.716898__1.716898	39491__A0A396FJJ9__DXB76_11995
ERR1913195.717051__1.717051	165179__D1P8K1__DXB80_06045
ERR1913195.717377__1.717377	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.717666__1.717666	363265__R6EXZ0__HMPREF0673_02525
ERR1913195.717758__1.717758	2022527__A0A264YA42__CHL74_01870
ERR1913195.717942__1.717942	821__A0A174WBC9__ERS852556_03145
ERR1913195.718236__1.718236	626940__E8LD48__DCQ00_06315
ERR1913195.718325__1.718325	853__A0A2J4JL53__CRH10_10795
ERR1913195.718419__1.718419	649756__A0A173ULA5__atpH_1
ERR1913195.718649__1.718649	40518__R5E4V5__RBL263_01242
ERR1913195.718653__1.718653	1262882__R5MFK5__BN519_00378
ERR1913195.718664__1.718664	1262882__R5MH81__BN519_00748
ERR1913195.718894__1.718894	33043__D5HHE4__ERS852445_02332
ERR1913195.718898__1.718898	33043__A0A174GGF8__dcuS_1
ERR1913195.718913__1.718913	1262929__R6EX87__BN691_01422
ERR1913195.718932__1.718932	1262882__R5MGK3__BN519_00655
ERR1913195.719074__1.719074	1623__E7FN37__LRB_1666
ERR1913195.719304__1.719304	39491__A0A396FJJ9__DXB76_11995
ERR1913195.719838__1.719838	626940__E8LFB8__HMPREF9443_01558
ERR1913195.719905__1.719905	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.720082__1.720082	33039__R6P0F1__ERS852424_02256
ERR1913195.720208__1.720208	39490__U2QHQ9__LG34_13855
ERR1913195.720276__1.720276	1262929__R6EYQ0__BN691_00631
ERR1913195.720287__1.720287	165179__A0A3E5A554__DXB80_13805
ERR1913195.720485__1.720485	363265__R6F4I0__HMPREF0673_00778
ERR1913195.720884__1.720884	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.721274__1.721274	418240__A0A174L567__ERS852478_01510
ERR1913195.721784__1.721784	165179__D1PHV2__PREVCOP_06822
ERR1913195.722669__1.722669	165179__A0A3E5DZD8__DXB80_09150
ERR1913195.722954__1.722954	1262882__R5N3T7__BN519_01188
ERR1913195.722995__1.722995	1262882__R5MIC9__BN519_00834
ERR1913195.723045__1.723045	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.723163__1.723163	40518__R5DTP7__DXD83_02415
ERR1913195.723428__1.723428	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.723442__1.723442	1262929__R6EV27__BN691_00137
ERR1913195.723518__1.723518	853__A0A174BA00__DW905_01145
ERR1913195.723576__1.723576	165179__D1PGU8__PREVCOP_06463
ERR1913195.723675__1.723675	649756__B0P1H0__DO83_13870
ERR1913195.723651__1.723651	165179__A0A3E5E3D6__DXC61_05750
ERR1913195.723716__1.723716	165179__A0A3E5DZD8__DXB80_09150
ERR1913195.724167__1.724167	1262882__R5N3T7__BN519_01188
ERR1913195.724179__1.724179	28052__R7N7E0__cynR_4
ERR1913195.724235__1.724235	901__B6WUY7__DHV46_11425
ERR1913195.724242__1.724242	1262882__R5MGJ7__BN519_00652
ERR1913195.724272__1.724272	40518__R5DXH2__DXD83_10135
ERR1913195.724273__1.724273	33043__D5HI05__ERS852400_02760
ERR1913195.724501__1.724501	649756__B0P1Y8__ERS852571_00196
ERR1913195.724518__1.724518	1262882__R5MKV8__BN519_01281
ERR1913195.724626__1.724626	301302__A0A173TZN3__M72_00321
ERR1913195.724627__1.724627	301302__A0A173TZN3__M72_00321
ERR1913195.725005__1.725005	33043__D5HIU3__ERS852386_01914
ERR1913195.725143__1.725143	165179__R6PNJ9__PREVCOP_04730
ERR1913195.725386__1.725386	165179__R6C330__DXC61_04975
ERR1913195.725565__1.725565	165179__A0A3E5EA43__DXC61_07775
ERR1913195.725603__1.725603	39491__C4ZCH3__EUR_17560
ERR1913195.725674__1.725674	40518__R5DU52__RB5AMG_02245
ERR1913195.726022__1.726022	39491__C4ZHS4__EUR_24420
ERR1913195.726313__1.726313	165179__A0A174W369__PREVCOP_04548
ERR1913195.726623__1.726623	39491__C4ZC33__DXC13_11585
ERR1913195.726818__1.726818	1262882__R5MT42__BN519_01729
ERR1913195.726825__1.726825	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913195.726954__1.726954	556259__I0PYM3__BSGG_5385
ERR1913195.727012__1.727012	1262929__R6EZA2__BN691_02113
ERR1913195.727021__1.727021	165179__A0A174SA26__PREVCOP_05758
ERR1913195.727175__1.727175	165179__D1PE06__DXC61_05975
ERR1913195.727188__1.727188	649756__R7BXP1__ERS852425_00382
ERR1913195.727206__1.727206	165179__D1PAJ7__PREVCOP_04222
ERR1913195.727294__1.727294	165179__D1PFV4__PREVCOP_06112
ERR1913195.727267__1.727267	165179__D1PHV2__PREVCOP_06822
ERR1913195.727305__1.727305	301302__R5VBR7__phoR_11
ERR1913195.727826__1.727826	1262882__R5N1H7__BN519_00735
ERR1913195.728035__1.728035	40518__R5DX93__DXD93_03055
ERR1913195.728086__1.728086	100886__E2NRF9__ERS852383_03596
ERR1913195.728174__1.728174	301301__A0A395V6Z6__ERS852391_00966
ERR1913195.728250__1.728250	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913195.728275__1.728275	165179__A0A174W369__PREVCOP_04548
ERR1913195.728263__1.728263	1262882__R5N2U9__BN519_01221
ERR1913195.728429__1.728429	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.728433__1.728433	165179__D1PGU8__PREVCOP_06463
ERR1913195.728437__1.728437	649756__L1Q987__ERS852520_02359
ERR1913195.728631__1.728631	2024223__A0A255TFB9__CIL02_01190
ERR1913195.728638__1.728638	165179__D1PCL6__DXB80_13435
ERR1913195.728720__1.728720	165179__D1PEQ5__PREVCOP_05711
ERR1913195.728752__1.728752	1262882__R5MEI8__BN519_00283
ERR1913195.729144__1.729144	165179__D1P9T6__PREVCOP_04016
ERR1913195.729145__1.729145	360807__C0FZM4__RIL183_06871
ERR1913195.729310__1.729310	1680__A7A2Y2__NCTC11814_00537
ERR1913195.729386__1.729386	46503__R6WTW1__NCTC13052_03440
ERR1913195.729425__1.729425	363265__R6F6E7__HMPREF0673_02119
ERR1913195.729491__1.729491	165179__D1PCY7__DXB80_02765
ERR1913195.729502__1.729502	1303__M3H5L6__B7705_04625
ERR1913195.729527__1.729527	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.730138__1.730138	301302__A0A0M6WB53__mcp4_4
ERR1913195.730159__1.730159	165179__D1PD99__PREVCOP_05186
ERR1913195.730243__1.730243	1680__A0A2R4G1K8__BBMN23_0315
ERR1913195.730272__1.730272	165179__D1P8Q2__trpF
ERR1913195.730292__1.730292	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.730595__1.730595	1683__C4FCU9__BIANG_1487
ERR1913195.730762__1.730762	39491__A0A173TM76__DXB72_10535
ERR1913195.730951__1.730951	33043__D5HDB6__sipT_2
ERR1913195.731021__1.731021	301302__R5VEI6__cysA_2
ERR1913195.731143__1.731143	165179__R6BQP4__DXC61_02015
ERR1913195.731350__1.731350	1262882__R5MYI1__BN519_00416
ERR1913195.731465__1.731465	39485__C4Z390__EUBELI_01689
ERR1913195.731553__1.731553	884684__GCA_002892425.1_01408
ERR1913195.731643__1.731643	301302__R5V631__ERS852420_03369
ERR1913195.732044__1.732044	28052__A0A174P635__ERS852499_02418
ERR1913195.732365__1.732365	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.732374__1.732374	33043__D5HGZ8__nnr
ERR1913195.732924__1.732924	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913195.732876__1.732876	165179__D1PAJ7__PREVCOP_04222
ERR1913195.733028__1.733028	28118__F9Z408__NCTC10826_01194
ERR1913195.733161__1.733161	1262924__R7HU74__BN585_00690
ERR1913195.733238__1.733238	2293125__A0A374CJ42__DW917_03305
ERR1913195.733393__1.733393	165179__D1PHM6__DXC61_06700
ERR1913195.733366__1.733366	40518__R5DXI4__DXD86_07420
ERR1913195.733568__1.733568	301302__A0A0M6WJW1__ERS852420_02245
ERR1913195.733583__1.733583	165179__A0A3E5DV57__DXB80_11400
ERR1913195.733812__1.733812	40518__R5DZE2__DXD86_07400
ERR1913195.734254__1.734254	301302__R5UQK8__M72_11501
ERR1913195.734218__1.734218	39490__U2QRX2__HMPREF0373_03212
ERR1913195.734355__1.734355	292800__H1C6M9__ERS852518_00105
ERR1913195.734420__1.734420	33043__D5HI05__ERS852400_02760
ERR1913195.734460__1.734460	2022527__A0A264Y6S5__CHL74_08455
ERR1913195.734646__1.734646	33043__D5HIU3__ERS852386_01914
ERR1913195.734689__1.734689	40518__R5DUJ5__DXD83_01635
ERR1913195.734896__1.734896	165179__A0A174W369__PREVCOP_04548
ERR1913195.734923__1.734923	1262882__R5MJZ4__BN519_01269
ERR1913195.735231__1.735231	626940__E8LBD1__BN587_01117
ERR1913195.735380__1.735380	165179__A0A174IPI3__CFT61_10940
ERR1913195.735481__1.735481	43675__D2NTQ3__CYK05_05485
ERR1913195.735689__1.735689	165179__A0A229I3Z6__PREVCOP_03666
ERR1913195.735768__1.735768	28116__F7L4N5__BACOVA_00137
ERR1913195.735744__1.735744	165179__A0A174IYW3__DXC61_01235
ERR1913195.736050__1.736050	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.736055__1.736055	328814__GCA_004558275.1_00058
ERR1913195.736233__1.736233	360807__C0FNG2__RIL183_23021
ERR1913195.736301__1.736301	165179__A0A229I4J4__proA
ERR1913195.736511__1.736511	1680__R5GZF2__DXC60_01925
ERR1913195.736597__1.736597	1262882__R5MIQ8__BN519_01036
ERR1913195.736771__1.736771	165179__R6C3K4__PREVCOP_05795
ERR1913195.736879__1.736879	165179__D1P8K1__DXB80_06045
ERR1913195.736952__1.736952	301302__R5UK77__M72_08681
ERR1913195.737245__1.737245	165179__A0A174W369__PREVCOP_04548
ERR1913195.737246__1.737246	363265__A0A3C0CCR4__HMPREF0673_02830
ERR1913195.737350__1.737350	301302__A0A0M6W9I4__M72_19871
ERR1913195.737471__1.737471	28117__B0MTS2__ALIPUT_00159
ERR1913195.737595__1.737595	165179__A0A3E5A832__DXC61_13685
ERR1913195.737609__1.737609	165179__D1PCT4__DXB80_09470
ERR1913195.737741__1.737741	33039__D4M5J1__spoIIIAE_2
ERR1913195.737844__1.737844	552398__F4XCR9__HMPREF0866_01636
ERR1913195.738033__1.738033	1309__J3A133__SMU102_02896
ERR1913195.738076__1.738076	1535__A7VRY8__CLOLEP_01325
ERR1913195.738077__1.738077	820__A7VAR9__ERS852421_00197
ERR1913195.738178__1.738178	1262882__R5MDR8__BN519_00124
ERR1913195.738314__1.738314	165179__A0A174IHQ2__PREVCOP_05478
ERR1913195.738658__1.738658	363265__R6FQP4__HMPREF0673_00216
ERR1913195.738610__1.738610	1262882__R5N4G2__BN519_01273
ERR1913195.738594__1.738594	28118__F9Z408__NCTC10826_01194
ERR1913195.738761__1.738761	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.738997__1.738997	387090__S0F5W0__BACCOPRO_01138
ERR1913195.739015__1.739015	1262929__R6EXT3__BN691_00303
ERR1913195.739050__1.739050	2293125__A0A374BSW4__DW917_13420
ERR1913195.739210__1.739210	544644__GCA_001915615.1_01854
ERR1913195.739630__1.739630	47678__A5ZHP9__bioD1
ERR1913195.739757__1.739757	2022527__A0A264Y4Q4__CHL74_12585
ERR1913195.739993__1.739993	1683__C4FDD7__Bang102_002345
ERR1913195.740209__1.740209	301302__A0A173UPG6__ERS852420_03127
ERR1913195.740660__1.740660	301302__A0A173T010__M72_26571
ERR1913195.740786__1.740786	301302__A0A173SJJ1__ERS852420_01411
ERR1913195.740808__1.740808	1284775__A0A095Y5G0__HMPREF1640_07060
ERR1913195.740965__1.740965	1284775__A0A095Y649__HMPREF1640_07125
ERR1913195.740946__1.740946	1262924__R7HND0__BN585_00157
ERR1913195.741119__1.741119	165179__A0A3E5EA43__DXC61_07775
ERR1913195.741271__1.741271	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913195.741383__1.741383	301302__R5V5D7__ERS852420_02185
ERR1913195.741612__1.741612	1262882__R5MEN9__BN519_00201
ERR1913195.741874__1.741874	384639__GCA_003096855.1_00318
ERR1913195.742174__1.742174	39488__A0A174CH59__DXD91_12625
ERR1913195.742519__1.742519	39485__R5ZZA6__ERS852490_00168
ERR1913195.742638__1.742638	1608898__A0A1B8QWK8__HMPREF3279_04675
ERR1913195.742728__1.742728	165179__A0A3E5DRF6__DXC61_00200
ERR1913195.742836__1.742836	165179__R6CNX7__DXB80_02200
ERR1913195.743491__1.743491	33039__D4M5E1__ERS852577_03873
ERR1913195.743556__1.743556	165179__D1PE06__DXC61_05975
ERR1913195.743644__1.743644	301302__R5UTG6__M72_25801
ERR1913195.743724__1.743724	626940__R6X1L5__HMPREF9443_00059
ERR1913195.743754__1.743754	626940__E8LCL8__DCQ00_09880
ERR1913195.744122__1.744122	1262929__R6EV27__BN691_00137
ERR1913195.744154__1.744154	387661__R5DJM3__B5F96_05590
ERR1913195.744543__1.744543	363265__G6AUM0__HMPREF0673_00305
ERR1913195.744577__1.744577	301302__R5UUM8__ganB_1
ERR1913195.744620__1.744620	100886__E2NRU8__recO
ERR1913195.744638__1.744638	28117__B0MSL1__BHV66_06710
ERR1913195.744802__1.744802	165179__D1PD99__PREVCOP_05186
ERR1913195.744749__1.744749	301302__A0A173R6H4__M72_21671
ERR1913195.745197__1.745197	165179__D1PD99__PREVCOP_05186
ERR1913195.745361__1.745361	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913195.745378__1.745378	1262882__R5MRS7__BN519_01490
ERR1913195.745439__1.745439	40518__R5DWH8__DXD86_04530
ERR1913195.745456__1.745456	1262882__R5N3T7__BN519_01188
ERR1913195.745690__1.745690	39488__C0ERS5__EHLA_2242
ERR1913195.745731__1.745731	165179__R6C3K4__PREVCOP_05795
ERR1913195.745801__1.745801	649756__B0NY89__CL2_20110
ERR1913195.745912__1.745912	1262882__R5MIY9__BN519_01097
ERR1913195.746336__1.746336	165179__A0A174NK27__PREVCOP_06433
ERR1913195.746342__1.746342	165179__R6C5D6__PREVCOP_04658
ERR1913195.746353__1.746353	165179__A0A3E5E189__PREVCOP_06699
ERR1913195.746372__1.746372	1160721__W0U3I6__RBI_I00579
ERR1913195.746514__1.746514	165179__D1PCL6__DXB80_13435
ERR1913195.746606__1.746606	100886__R7GJP9__amiC
ERR1913195.746610__1.746610	301302__A0A173TNM6__luxQ
ERR1913195.746550__1.746550	165179__D1PCT4__DXB80_09470
ERR1913195.746673__1.746673	1262929__R6EXF7__BN691_00015
ERR1913195.746790__1.746790	40518__R5E8B6__RB5AMG_00876
ERR1913195.746816__1.746816	1262924__R7HQD9__BN585_00129
ERR1913195.746915__1.746915	165179__A0A174K816__DXB80_12000
ERR1913195.747011__1.747011	1262882__R5MND9__BN519_00831
ERR1913195.747021__1.747021	820__A0A174F0C1__nreB
ERR1913195.747127__1.747127	1680__A0A087DHN0__AL0462_1532
ERR1913195.747228__1.747228	2022527__A0A264YA42__CHL74_01870
ERR1913195.747231__1.747231	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.747403__1.747403	1262882__R5MT08__BN519_01706
ERR1913195.747691__1.747691	165179__R6CNX7__DXB80_02200
ERR1913195.747712__1.747712	165179__A0A3E5DX33__PREVCOP_05190
ERR1913195.747787__1.747787	239935__A0A2N8I5A2__DEF40_08455
ERR1913195.747852__1.747852	165179__A0A3E5E2B6__DXB80_02820
ERR1913195.747914__1.747914	165179__A0A3E5DN34__DXC61_07865
ERR1913195.747977__1.747977	1160721__R6TGH1__BHW50_05060
ERR1913195.748157__1.748157	165179__A0A174IPI3__CFT61_10940
ERR1913195.748291__1.748291	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913195.748689__1.748689	1262882__R5N3T7__BN519_01188
ERR1913195.749169__1.749169	820__A0A139KHX1__HMPREF2141_00289
ERR1913195.749159__1.749159	1262882__R5N2A9__BN519_00921
ERR1913195.749262__1.749262	165179__A0A3E5AER8__DXB80_07075
ERR1913195.749319__1.749319	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913195.749346__1.749346	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913195.749386__1.749386	165179__D1PGD2__DXC61_10875
ERR1913195.749387__1.749387	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.749580__1.749580	147206__GCF_000156215.1_01777
ERR1913195.749538__1.749538	301302__A0A173R048__M72_22311
ERR1913195.749678__1.749678	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913195.749764__1.749764	165179__A0A174SA26__PREVCOP_05758
ERR1913195.749809__1.749809	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.749923__1.749923	165179__D1P9T6__PREVCOP_04016
ERR1913195.750191__1.750191	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.750284__1.750284	1262924__R7HQN1__BN585_00550
ERR1913195.750299__1.750299	1262929__R6EU29__BN691_01068
ERR1913195.750334__1.750334	1262882__R5MSI5__BN519_01596
ERR1913195.750465__1.750465	301302__A0A173TWC1__phoR_7
ERR1913195.750594__1.750594	165179__A0A3E5AE59__DXC61_12885
ERR1913195.750741__1.750741	165179__A0A3E5DN34__DXC61_07865
ERR1913195.750805__1.750805	301302__R5VGE0__ERS852420_00121
ERR1913195.750972__1.750972	821__A0A3E4KIM1__M097_3660
ERR1913195.751156__1.751156	165179__A0A3E5AF88__DXC61_14960
ERR1913195.751258__1.751258	165179__A0A229I6N7__DXC61_06720
ERR1913195.751418__1.751418	165179__A0A3E5DWZ6__DXC61_10880
ERR1913195.752436__1.752436	165179__D1PEQ5__PREVCOP_05711
ERR1913195.752700__1.752700	301302__R5VCU3__cbiK_2
ERR1913195.752715__1.752715	61171__B9Y5T9__HOLDEFILI_01171
ERR1913195.753038__1.753038	33043__A0A173YYE7__ERS852445_00670
ERR1913195.753100__1.753100	165179__R6CNX7__DXB80_02200
ERR1913195.753310__1.753310	1262882__R5MHX6__BN519_00733
ERR1913195.753246__1.753246	1262882__R5MIQ8__BN519_01036
ERR1913195.753559__1.753559	33039__D4M6R8__bglB_8
ERR1913195.754128__1.754128	165179__A0A229I4J4__proA
ERR1913195.754133__1.754133	165179__A0A3E5AGH1__DXB80_05820
ERR1913195.754231__1.754231	1262882__R5N3H1__BN519_01121
ERR1913195.754234__1.754234	1262929__R6F4H4__BN691_01187
ERR1913195.754431__1.754431	165179__A0A174XZU8__DXB80_12180
ERR1913195.754485__1.754485	1262882__R5N4P6__BN519_01346
ERR1913195.754511__1.754511	301302__A0A0M6WWE7__ERS852420_01309
ERR1913195.754548__1.754548	1262929__R6F9D0__BN691_00320
ERR1913195.754723__1.754723	1262930__R6A1J8__BN693_00900
ERR1913195.754814__1.754814	301302__R5V7K8__M72_11711
ERR1913195.754908__1.754908	165179__A0A229I1J2__DXB80_03950
ERR1913195.755082__1.755082	165179__D1PAJ7__PREVCOP_04222
ERR1913195.755401__1.755401	39491__C4ZAT2__ERE_28440
ERR1913195.755499__1.755499	165179__A0A174W369__PREVCOP_04548
ERR1913195.755484__1.755484	745368__A0A1T4Y746__SAMN02745178_02815
ERR1913195.755932__1.755932	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.755942__1.755942	165179__A0A3E5A5E5__DXC61_13965
ERR1913195.755931__1.755931	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913195.756022__1.756022	165179__D1PDJ4__DXB80_08505
ERR1913195.756187__1.756187	1680__A0A0B5BKZ3__DXD60_01450
ERR1913195.756253__1.756253	1160721__R6T3X1__BHW50_03685
ERR1913195.756434__1.756434	35818__A0A377PXZ9__BA184_01190
ERR1913195.756446__1.756446	301302__R5UNJ6__M72_26701
ERR1913195.756518__1.756518	1263005__R6F0R0__BN497_00282
ERR1913195.756526__1.756526	165179__D1PDJ4__DXB80_08505
ERR1913195.757049__1.757049	165179__A0A3E5EB26__CFT61_02800
ERR1913195.757619__1.757619	33039__D4M398__ERS852530_00575
ERR1913195.757994__1.757994	165179__A0A3E5E4T9__DXB80_08030
ERR1913195.758001__1.758001	33043__D5HIS6__ERS852575_02019
ERR1913195.758004__1.758004	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913195.758069__1.758069	165179__A0A3E5DY64__CFT61_10025
ERR1913195.758194__1.758194	418240__A0A173XQZ4__yusO
ERR1913195.758292__1.758292	165179__A0A3E5E920__DXB80_11625
ERR1913195.758400__1.758400	745368__A0A1T4XL98__SAMN02745178_01986
ERR1913195.758576__1.758576	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913195.758653__1.758653	853__A0A174AML0__FPR_08640
ERR1913195.758844__1.758844	301302__R5UK77__M72_08681
ERR1913195.758921__1.758921	40518__R5DR72__RBL236_02110
ERR1913195.759029__1.759029	363265__G6AZB1__HMPREF0673_01975
ERR1913195.759085__1.759085	165179__R6BPK1__DXB80_04445
ERR1913195.759255__1.759255	360807__A0A396AFL7__ERS852444_02858
ERR1913195.759352__1.759352	1262924__R7HRW7__BN585_01894
ERR1913195.759369__1.759369	301302__R5VC75__ERS852420_02858
ERR1913195.759407__1.759407	165179__A0A3E5A554__DXB80_13805
ERR1913195.759589__1.759589	292800__A0A174NR23__ADH75_11365
ERR1913195.759709__1.759709	1262882__R5MYX5__BN519_00333
ERR1913195.759907__1.759907	165179__D1PGU8__PREVCOP_06463
ERR1913195.760175__1.760175	649756__A0A173SZT9__ptsG_1
ERR1913195.760339__1.760339	1262882__R5MT08__BN519_01706
ERR1913195.760392__1.760392	165179__R6BQP4__DXC61_02015
ERR1913195.760404__1.760404	165179__D1PGU8__PREVCOP_06463
ERR1913195.760585__1.760585	1262924__R7HPY0__BN585_01950
ERR1913195.760619__1.760619	165179__A0A3E5DX15__DXC61_00345
ERR1913195.760624__1.760624	1284775__A0A096A9J4__HMPREF1640_07270
ERR1913195.760652__1.760652	165179__A0A3E5A554__DXB80_13805
ERR1913195.760947__1.760947	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913195.760960__1.760960	1262882__R5MND9__BN519_00831
ERR1913195.761132__1.761132	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913195.761256__1.761256	214856__A0A174ZED5__ERS852559_00591
ERR1913195.761410__1.761410	33039__D4M1A4__ERS852502_00742
ERR1913195.761566__1.761566	649756__B0NWS2__CL2_06980
ERR1913195.761646__1.761646	552398__F4XCR9__HMPREF0866_01636
