ERR1913217.134__1.134	1624__A0A089QH34__B6U42_07040
ERR1913217.844033__1.844033	1262882__R5MKW1__BN519_00390
ERR1913217.844124__1.844124	301302__A0A173UN64__manA_2
ERR1913217.844134__1.844134	158787__A0A087DJ13__BSCA_0544
ERR1913217.844376__1.844376	1263006__R6M2H0__BN515_00628
ERR1913217.844560__1.844560	671232__J4KAG0__SanJ4211_0398
ERR1913217.844674__1.844674	1308__F8LVS2__str0518
ERR1913217.844818__1.844818	357276__B6W5Q9__HMPREF1063_03125
ERR1913217.844924__1.844924	1262911__R6H1B2__BN557_00840
ERR1913217.845010__1.845010	1550024__A0A3B9WKW6__TQ39_07780
ERR1913217.845017__1.845017	1550024__A0A3B9WE41__ASJ35_03585
ERR1913217.845158__1.845158	1263006__R6LZM6__BN515_01762
ERR1913217.845298__1.845298	239935__A0A2N8HUU6__CXT90_06150
ERR1913217.845350__1.845350	820__A0A139K024__B5G17_02060
ERR1913217.845454__1.845454	1262882__R5MJJ9__BN519_01035
ERR1913217.845540__1.845540	1263000__R5EDV4__BN466_01097
ERR1913217.845602__1.845602	712121__L1PK56__HMPREF9061_00434
ERR1913217.845683__1.845683	1263006__R6LWV2__BN515_00272
ERR1913217.845913__1.845913	239935__A0A139TPG3__CXT86_08810
ERR1913217.845926__1.845926	1262882__R5N1T9__BN519_00804
ERR1913217.845982__1.845982	40518__R5DVL2__penA
ERR1913217.846341__1.846341	1550024__G9RY06__TQ39_00225
ERR1913217.846356__1.846356	1550024__A0A3B9WE41__ASJ35_03585
ERR1913217.846386__1.846386	78258__I8AP39__PSDT_0591
ERR1913217.846453__1.846453	1624__A0A385XMI7__LsR_01630
ERR1913217.846544__1.846544	820__A0A174A6K0__M093_0079
ERR1913217.846735__1.846735	1547597__A0A0C3RG42__IE90_08180
ERR1913217.846802__1.846802	151537__GeneID:920369
ERR1913217.847171__1.847171	357276__D1K3K9__EL88_23995
ERR1913217.847302__1.847302	1550024__A0A3B9WH35__TQ39_04960
ERR1913217.847314__1.847314	821__I9R3W6__DXC16_12455
ERR1913217.847335__1.847335	301301__A0A395VAM3__yfiN_2
ERR1913217.847444__1.847444	301301__A0A395V7P2__ERS852391_05080
ERR1913217.847457__1.847457	1550024__G9RPP6__ASJ35_08860
ERR1913217.847778__1.847778	1550024__A0A0W7TQZ0__TQ39_10670
ERR1913217.847803__1.847803	1262882__R5MFA5__BN519_00331
ERR1913217.847942__1.847942	820__A0A173WZS4__DXD90_10250
ERR1913217.848455__1.848455	1263006__R6LJG8__BN515_01754
ERR1913217.848525__1.848525	1681__A0A292FUY6__DD684_00535
ERR1913217.848528__1.848528	1550024__A0A3B9WIA4__TQ39_14495
ERR1913217.848659__1.848659	301301__G2T0P1__RHOM_03005
ERR1913217.848680__1.848680	74426__rpoC
ERR1913217.848897__1.848897	1099853__G9S8H2__NSB1T_13060
ERR1913217.849035__1.849035	1099853__R7DMJ2__NSB1T_12820
ERR1913217.849037__1.849037	820__R9I2U8__DXC68_09590
ERR1913217.849091__1.849091	1263006__R6LKC6__BN515_02058
ERR1913217.849156__1.849156	853__C7H1R8__DW905_06675
ERR1913217.849326__1.849326	1262911__R6H1B2__BN557_00840
ERR1913217.849484__1.849484	357276__A0A0K2HDP3__IY41_00705
ERR1913217.849769__1.849769	1262882__R5MDR8__BN519_00124
ERR1913217.849881__1.849881	357276__A0A076IN30__DXD47_09350
ERR1913217.849909__1.849909	626940__E8LGH5__BHW43_03625
ERR1913217.849982__1.849982	40518__R5DSI5__fieF
ERR1913217.849989__1.849989	745368__A0A1T4XBZ7__SAMN02745178_01676
ERR1913217.850069__1.850069	1099853__U5CKM5__NSB1T_03870
ERR1913217.850112__1.850112	1681__K2H7F8__A0008_1255
ERR1913217.850227__1.850227	1304__A0A1W5ZCY0__CKU37_03270
ERR1913217.850313__1.850313	1160721__W0U611__BHW50_08625
ERR1913217.850491__1.850491	1263006__R6M176__BN515_00274
ERR1913217.850403__1.850403	552398__T5S086__HMPREF0866_01580
ERR1913217.850604__1.850604	1160721__R6TBX7__BHW50_00205
ERR1913217.850841__1.850841	69974__A0A090FEL8__MPL3365_630008
ERR1913217.850885__1.850885	100886__E2NUH9__CATMIT_02260
ERR1913217.851090__1.851090	357276__A0A0M1W4C0__DXD47_07095
ERR1913217.851109__1.851109	239935__A0A139TQT9__Amuc_1197
ERR1913217.851134__1.851134	820__A0A173YYG4__evgS_3
ERR1913217.851174__1.851174	1624__A0A1V9THW8__DB322_06390
ERR1913217.851202__1.851202	671232__A0A0P0NAX8__ANG6_1222
ERR1913217.851337__1.851337	301301__A0A395VDQ5__RHOM_08975
ERR1913217.851341__1.851341	78258__I8ASC4__PSDT_0337
ERR1913217.851449__1.851449	384638__B7APR0__BACPEC_00666
ERR1913217.851376__1.851376	1160721__W0U3Q4__BHW50_08110
ERR1913217.851470__1.851470	1624__A0A1D7TQN3__B5G14_02985
ERR1913217.851552__1.851552	820__A0A174QLF0__SAMN05444418_109151
ERR1913217.851650__1.851650	820__A0A173YYG4__evgS_3
ERR1913217.851741__1.851741	820__A0A3E4IBC1__M094_0628
ERR1913217.851795__1.851795	820__A0A374Q854__HMPREF1073_03281
ERR1913217.851760__1.851760	1550024__G9RNX5__ASJ35_11740
ERR1913217.851855__1.851855	1681__K2HUZ1__B0085_0362
ERR1913217.851915__1.851915	820__A0A3E4GA19__SAMN05444418_10562
ERR1913217.851929__1.851929	357276__B6VXX7__HMPREF1063_02683
ERR1913217.852088__1.852088	239935__A0A2N8HQR1__Amuc_0287
ERR1913217.852122__1.852122	357276__I9F3U2__B5F00_20845
ERR1913217.852132__1.852132	40518__R5DV66__DXD83_04215
ERR1913217.852445__1.852445	40518__R5DME2__DXD86_07315
ERR1913217.852575__1.852575	357276__A0A076IN30__DXD47_09350
ERR1913217.852712__1.852712	820__A0A139K0J1__HMPREF2141_03205
ERR1913217.852864__1.852864	818__A0A139JW76__BJP75_002555
ERR1913217.852989__1.852989	239935__A0A2N8IYM5__CXT84_05130
ERR1913217.852934__1.852934	1352__A0A3F3M5D7__CUM76_12050
ERR1913217.853039__1.853039	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913217.853094__1.853094	1262882__R5MFY4__BN519_00529
ERR1913217.853013__1.853013	1624__A0A2A2XBQ4__A8C54_06390
ERR1913217.853198__1.853198	40518__R5DS37__DXD93_01965
ERR1913217.853311__1.853311	1263006__R6LWN3__BN515_00808
ERR1913217.853456__1.853456	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913217.853517__1.853517	1303__E0PZJ4__B7708_00770
ERR1913217.853712__1.853712	1262911__R6GPL1__BN557_00927
ERR1913217.853864__1.853864	1624__A0A255VEN7__CR249_09290
ERR1913217.853881__1.853881	78258__E6JYT0__HMPREF9017_00843
ERR1913217.853956__1.853956	47770__A0A226UBL8__BEV10_11340
ERR1913217.853965__1.853965	1262911__R6H2J2__BN557_01228
ERR1913217.854075__1.854075	301302__A0A173SF21__M72_12691
ERR1913217.854210__1.854210	1262882__R5MIC9__BN519_00834
ERR1913217.854328__1.854328	357276__I9QBT4__GV66_09000
ERR1913217.854377__1.854377	1263006__R6LIU9__BN515_01591
ERR1913217.854552__1.854552	1550024__G9RNN4__ASJ35_08335
ERR1913217.854611__1.854611	1262911__R6GHG8__BN557_01301
ERR1913217.854726__1.854726	239935__A0A2N8IRL2__CXU06_01170
ERR1913217.854786__1.854786	1550024__A0A3B9WI73__ASJ35_03410
ERR1913217.854828__1.854828	671232__F5TYY6__C6A32_06195
ERR1913217.854839__1.854839	1263000__R5ES99__BN466_01121
ERR1913217.854980__1.854980	1263006__R6LWN2__BN515_02179
ERR1913217.855032__1.855032	216816__Q8G4D7__DD721_10575
ERR1913217.855138__1.855138	1262882__R5MHZ2__BN519_00742
ERR1913217.855234__1.855234	1681__A0A0H2NPR5__BBBF_1287
ERR1913217.855353__1.855353	1318__A0A3E4U8W0__trpD
ERR1913217.855383__1.855383	820__A0A3E4G3J9__ERS852459_02265
ERR1913217.855533__1.855533	301301__G2T152__RHOM_05005
ERR1913217.855597__1.855597	630129__A0A087B617__BKAS_1320
ERR1913217.855680__1.855680	357276__I9R994__BACDOR_04044
ERR1913217.855735__1.855735	1681__A0A286TB53__BBBF_1581
ERR1913217.855939__1.855939	301301__G2SZF8__ERS852391_01416
ERR1913217.856106__1.856106	544580__A0A1Q8VP33__BKH17_10520
ERR1913217.856112__1.856112	1262911__R6H212__BN557_01031
ERR1913217.856297__1.856297	1262882__R5N5H2__BN519_01493
ERR1913217.856374__1.856374	301301__A0A395VAV8__ERS852391_02437
ERR1913217.856525__1.856525	1550024__G9RPS1__TQ39_05000
ERR1913217.856532__1.856532	301302__A0A173T8V6__ERS852420_01966
ERR1913217.856544__1.856544	239935__A0A2N8HEH9__CXU07_11710
ERR1913217.856947__1.856947	1550024__A0A3B9WI04__ASJ35_06105
ERR1913217.857001__1.857001	820__A0A174M9V5__M093_0237
ERR1913217.857165__1.857165	29361__B6FKH5__CLONEX_00621
ERR1913217.857843__1.857843	216816__C2GUV2__APC1478_0430
ERR1913217.858098__1.858098	1263000__R5EU91__BN466_01432
ERR1913217.858134__1.858134	823__A0A174LWY0__lepB
ERR1913217.858136__1.858136	39486__B0G8F8__DXD82_06370
ERR1913217.858160__1.858160	1681__A0A292G7V3__BBIF_1776
ERR1913217.858456__1.858456	154046__A0A174FCT0__CLOSTHATH_03350
ERR1913217.858502__1.858502	40518__R5DWB0__DXD86_00925
ERR1913217.858587__1.858587	40518__R5DWP7__ansA
ERR1913217.858614__1.858614	1472761__GCA_002159295.1_00744
ERR1913217.858649__1.858649	1262911__R6GZX7__BN557_00838
ERR1913217.858788__1.858788	394340__clpC1
ERR1913217.858791__1.858791	1655__A0A1Q8XN63__BKH25_09180
ERR1913217.859451__1.859451	1680__R5GPK0__B0487_0620
ERR1913217.859580__1.859580	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913217.859715__1.859715	1262911__R6GI18__BN557_01377
ERR1913217.859748__1.859748	820__A0A396EUU8__luxQ_3
ERR1913217.859896__1.859896	40518__R5DR72__RBL236_02110
ERR1913217.859858__1.859858	239935__B2UPZ6__CXU03_03800
ERR1913217.859965__1.859965	227942__H4GJJ6__FC60_GL001078
ERR1913217.859970__1.859970	1550024__A0A0W7TVN4__ASJ35_01120
ERR1913217.860344__1.860344	74426__purL
ERR1913217.860359__1.860359	360807__C0FRZ9__RIL183_20711
ERR1913217.860618__1.860618	40518__R5E282__DXD86_08940
ERR1913217.860641__1.860641	428712__C9M8B9__JonanDRAFT_1204
ERR1913217.860666__1.860666	460384__A0A1I0K2T3__C7256_11880
ERR1913217.860703__1.860703	458033__GCA_001482755.1_02203
ERR1913217.860879__1.860879	158787__A0A087DJ01__BBSC_2261
ERR1913217.860884__1.860884	853__A0A173SUU8__CGS54_06840
ERR1913217.861145__1.861145	301301__A0A395V7G5__RHOM_16755
ERR1913217.861118__1.861118	1628085__A0A3E2Y0W2__C7386_10871
ERR1913217.861252__1.861252	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913217.861392__1.861392	1624__A0A089QBF7__A8C46_08780
ERR1913217.861414__1.861414	762210__A0A087D248__BISA_2349
ERR1913217.861488__1.861488	1263006__R6LK25__BN515_01963
ERR1913217.861578__1.861578	1099853__U5CD68__NSB1T_05535
ERR1913217.861621__1.861621	40518__R5DR96__RBATCC27255_01185
ERR1913217.861663__1.861663	1263006__R6LWV2__BN515_00272
ERR1913217.861749__1.861749	820__A0A174G065__DXB62_08975
ERR1913217.861753__1.861753	552398__F4XCR9__HMPREF0866_01636
ERR1913217.861854__1.861854	301302__A0A0M6W9I4__M72_19871
ERR1913217.861856__1.861856	158787__A0A087D7T7__BSCA_1955
ERR1913217.861888__1.861888	239935__A0A2N8IYM5__CXT84_05130
ERR1913217.861911__1.861911	239935__A0A2N8IF99__lpdA
ERR1913217.862148__1.862148	1681__K2H7F8__A0008_1255
ERR1913217.862370__1.862370	1262924__R7HQ14__BN585_00419
ERR1913217.862400__1.862400	1680__A0A0C2YPV2__AL0462_1474
ERR1913217.862432__1.862432	820__A0A3E4W9W8__C801_01069
ERR1913217.862442__1.862442	301301__A0A395VA18__RHOM_11700
ERR1913217.862467__1.862467	357276__B6W5Q7__DXD47_13945
ERR1913217.862610__1.862610	820__A0A139KJR5__M093_4469
ERR1913217.862626__1.862626	1262911__R6H2J2__BN557_01228
ERR1913217.862600__1.862600	1263006__R6LYS1__BN515_01485
ERR1913217.862603__1.862603	301302__R5UPH9__M72_00521
ERR1913217.862688__1.862688	820__A0A3E4WA06__ERS852554_03404
ERR1913217.862874__1.862874	1680__A0A3E4SB79__BAD_1517
ERR1913217.862887__1.862887	357276__A0A076IRX4__ABI39_13585
ERR1913217.862903__1.862903	74426__gap
ERR1913217.862922__1.862922	1262911__R6GLH3__BN557_00339
ERR1913217.863033__1.863033	820__A0A3E4G2R7__DXC07_00510
ERR1913217.863198__1.863198	820__A0A173WUD7__DXB48_08055
ERR1913217.863229__1.863229	1262882__R5MHZ2__BN519_00742
ERR1913217.863357__1.863357	40518__R5DLJ7__lytR_4
ERR1913217.863553__1.863553	1262992__R5DC96__BN795_01524
ERR1913217.863488__1.863488	823__E1YV41__BDI_1376
ERR1913217.863695__1.863695	1550024__G9RPH0__TQ39_05505
ERR1913217.863778__1.863778	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913217.863824__1.863824	1358__Q9CE00__yvdE
ERR1913217.863924__1.863924	1263000__R5EKR4__BN466_01609
ERR1913217.863959__1.863959	40518__R5E426__DXD93_04485
ERR1913217.864027__1.864027	239935__A0A2N8I791__CXT99_09415
ERR1913217.864235__1.864235	1262882__R5N2A9__BN519_00921
ERR1913217.864211__1.864211	820__R9HP61__DXC91_01090
ERR1913217.864764__1.864764	46503__R6Y8M7__ERS852463_01228
ERR1913217.864939__1.864939	239935__A0A2N8HL91__holA
ERR1913217.864967__1.864967	218139__GCA_002259595.1_00966
ERR1913217.864998__1.864998	1262911__R6GPI7__BN557_00907
ERR1913217.865165__1.865165	1150298__A0A174DQT6__ERS852498_00506
ERR1913217.865247__1.865247	301301__G2SZK8__ERS852391_00581
ERR1913217.865556__1.865556	239935__A0A139TPD4__CXT86_06450
ERR1913217.865588__1.865588	301301__A0A395VC27__adaA_5
ERR1913217.865700__1.865700	820__A0A174B4N2__M093_2531
ERR1913217.865815__1.865815	1550024__A0A0D8J230__TQ39_04480
ERR1913217.865997__1.865997	1262882__R5MYG7__BN519_00405
ERR1913217.866081__1.866081	357276__I9FRW5__B5F95_21685
ERR1913217.866112__1.866112	1550024__A0A3B9WEG3__ASJ35_04505
ERR1913217.866213__1.866213	1262911__R6H1P0__BN557_00940
ERR1913217.866320__1.866320	820__A0A3E4W4Y7__B5G17_02055
ERR1913217.866622__1.866622	1262911__R6H212__BN557_01031
ERR1913217.866729__1.866729	1681__E4V7T9__BJL93_02365
ERR1913217.866854__1.866854	1655__J3JKI4__BKH33_09905
ERR1913217.866888__1.866888	97478__A0A1H0DCI4__LBLM1_02400
ERR1913217.866911__1.866911	1262911__R6H212__BN557_01031
ERR1913217.866922__1.866922	820__R9I2U8__DXC68_09590
ERR1913217.867053__1.867053	239935__A0A2N8IEP3__CXT84_03735
ERR1913217.867061__1.867061	39488__A0A285PTA0__EUBHAL_00097
ERR1913217.867307__1.867307	357276__A0A0K2HDP3__IY41_00705
ERR1913217.867323__1.867323	357276__A0A076ISJ4__B5F95_19420
ERR1913217.867335__1.867335	239935__A0A2N8IKW7__pstA
ERR1913217.867452__1.867452	1550024__G9RXY7__TQ39_00100
ERR1913217.867495__1.867495	1550024__A0A3B9WIB6__TQ39_08435
ERR1913217.867465__1.867465	823__A0A395YSW8__CF162_05645
ERR1913217.867483__1.867483	762211__A0A087DH98__BSTEL_1561
ERR1913217.867552__1.867552	821__A0A173XDD3__DXB82_17180
ERR1913217.867637__1.867637	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913217.867683__1.867683	2173__A5UNB7__BK798_05290
ERR1913217.867776__1.867776	1550024__A0A0D8IYY8__TQ39_09180
ERR1913217.867873__1.867873	1263000__R5EUM2__BN466_01747
ERR1913217.867887__1.867887	1099853__G9S8I7__NSB1T_12985
ERR1913217.867958__1.867958	1613__A0A158SLG6__CU093_05470
ERR1913217.867999__1.867999	823__D0T9E4__DHW69_09115
ERR1913217.868311__1.868311	1680__A0A1X3AAI9__BADO_1163
ERR1913217.868313__1.868313	1624__A0A1Y0F5M4__B6U50_07200
ERR1913217.868322__1.868322	820__A0A396EWL3__ERS417307_03868
ERR1913217.868382__1.868382	823__A0A395YRX4__ERS852513_03444
ERR1913217.868410__1.868410	1596__I7IVR2__CYJ86_03025
ERR1913217.868475__1.868475	239935__A0A2N8IYM5__CXT84_05130
ERR1913217.868559__1.868559	1262911__R6GP58__BN557_00798
ERR1913217.868857__1.868857	1624__A0A089RVX1__A8C47_04565
ERR1913217.868897__1.868897	97478__A0A1G9WMR4__FC47_GL001894
ERR1913217.869035__1.869035	2173__R7PTP8__METSMIF1_02137
ERR1913217.869254__1.869254	239935__A0A139TQT9__Amuc_1197
ERR1913217.869302__1.869302	1263109__GCA_000438135.1_00480
ERR1913217.869359__1.869359	357276__B6VT86__IY41_22515
ERR1913217.869618__1.869618	1624__F7QS04__B6U57_01015
ERR1913217.869768__1.869768	1263006__R6MKS5__BN515_00067
ERR1913217.869818__1.869818	74426__rpoC
ERR1913217.869945__1.869945	562__P77789__fimF_3
ERR1913217.870203__1.870203	1624__A0A385XNP0__A8C54_05230
ERR1913217.870210__1.870210	1624__A0A385XS10__DB362_03015
ERR1913217.870253__1.870253	357276__I9FTR0__HMPREF1065_02861
ERR1913217.870258__1.870258	40518__R5E550__aroK
ERR1913217.870302__1.870302	1099853__G9S4N2__NSB1T_14365
ERR1913217.870774__1.870774	40518__R5E6K5__speA
ERR1913217.870822__1.870822	1263006__R6LN71__BN515_01528
ERR1913217.870865__1.870865	1584__A0A061BWU0__LD074_07425
ERR1913217.871054__1.871054	43685__GeneID:955501
ERR1913217.871246__1.871246	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913217.871330__1.871330	1683__C4FEM4__BIANG_0131
ERR1913217.871415__1.871415	1358__A0A166J899__IV65_GL000263
ERR1913217.871667__1.871667	1358__A0A0H1RRI0__N42_0236
ERR1913217.871689__1.871689	1262992__R5D733__BN795_00375
ERR1913217.871713__1.871713	239935__A0A139TPG3__CXT86_08810
ERR1913217.872108__1.872108	74426__nrdD
ERR1913217.872165__1.872165	1680__A0A174BEE7__BSTER_1311
ERR1913217.872242__1.872242	40520__A0A174FX61__ERS852394_02400
ERR1913217.872258__1.872258	1262911__R6H212__BN557_01031
ERR1913217.872357__1.872357	239935__A0A2N8IMC9__CXU09_02095
ERR1913217.872593__1.872593	626940__E8LBD1__BN587_01117
ERR1913217.872682__1.872682	820__A0A3E4WA06__ERS852554_03404
ERR1913217.872785__1.872785	820__A0A396EUU8__luxQ_3
ERR1913217.872834__1.872834	74426__rpoC
ERR1913217.872873__1.872873	552398__F4XCR9__HMPREF0866_01636
ERR1913217.872998__1.872998	820__R9I3N4__M093_0061
ERR1913217.873073__1.873073	1624__A0A2A2WYM7__A8C35_07840
ERR1913217.873251__1.873251	1263000__R5ESM1__BN466_01440
ERR1913217.873277__1.873277	2173__A0A1D2WU72__BK798_05485
ERR1913217.873424__1.873424	1550024__A0A0W7TR84__TQ39_05305
ERR1913217.873455__1.873455	74426__gap
ERR1913217.873562__1.873562	1681__A0A0E2ZCN8__DXD31_01560
ERR1913217.873677__1.873677	1262911__R6GPI7__BN557_00907
ERR1913217.873889__1.873889	1681__A0A0H2PEL3__BBTM_00625
ERR1913217.873916__1.873916	1680__A0A087DHN0__AL0462_1532
ERR1913217.873938__1.873938	151538__GeneID:920450
ERR1913217.874107__1.874107	1263006__R6LK25__BN515_01963
ERR1913217.874117__1.874117	216816__R5MZK3__DPC6320_1630
ERR1913217.874251__1.874251	2173__R7PYR7__BK798_01375
ERR1913217.874471__1.874471	1550024__G9RTA6__TQ39_10970
ERR1913217.874499__1.874499	1263006__R6LGA5__BN515_00076
ERR1913217.874517__1.874517	1262911__R6GPI7__BN557_00907
ERR1913217.874679__1.874679	239935__A0A2N8IU14__ADH72_05655
ERR1913217.874776__1.874776	1160721__R6T4W2__RBI_I00237
ERR1913217.874833__1.874833	2173__R7PWI5__rplJ
ERR1913217.874922__1.874922	820__A0A174CG08__DXB62_13215
ERR1913217.875078__1.875078	1263006__R6MLA8__BN515_00853
ERR1913217.875296__1.875296	239935__A0A139TVJ4__CXT86_02020
ERR1913217.875370__1.875370	1262911__R6H2J2__BN557_01228
ERR1913217.875336__1.875336	1262911__R6H1M1__BN557_00925
ERR1913217.875361__1.875361	1681__U2BXF8__DXC70_05435
ERR1913217.875434__1.875434	1624__A0A385XQ15__LSCP400_16231
ERR1913217.875537__1.875537	1262882__R5N5S3__BN519_00085
ERR1913217.875590__1.875590	40520__R7DCR4__DXB81_00490
ERR1913217.875636__1.875636	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913217.875652__1.875652	40518__R5DY98__mepA_5
ERR1913217.875902__1.875902	1681__A0A0E2ZBQ4__DXD53_02285
ERR1913217.875912__1.875912	1550024__G9RX51__TQ39_04720
ERR1913217.875940__1.875940	1681__A0A0M4LK35__LMG13200_0631
ERR1913217.875960__1.875960	1550024__G9RW35__ASJ35_04635
ERR1913217.876088__1.876088	820__A0A139KIL9__DXC68_05945
ERR1913217.876089__1.876089	158787__A0A087D7K9__BSCA_2206
ERR1913217.876158__1.876158	820__A0A139K4T0__ERS852510_03146
ERR1913217.876235__1.876235	357276__A0A076IRV2__BACDOR_02822
ERR1913217.876189__1.876189	1263000__R5EHI3__BN466_01684
ERR1913217.876266__1.876266	357276__I9FU68__HMPREF1063_00557
ERR1913217.876276__1.876276	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913217.876313__1.876313	1262882__R5N211__BN519_01033
ERR1913217.876630__1.876630	165179__A0A3E5EBQ2__DXC61_01930
ERR1913217.876530__1.876530	301301__A0A395V6S0__dosP
ERR1913217.876766__1.876766	40518__R5E2U9__RBL263_01292
ERR1913217.876785__1.876785	1624__A0A0F7PXI4__B6U42_01570
ERR1913217.876792__1.876792	1624__A0A2A2XAQ8__A8C54_00025
ERR1913217.876831__1.876831	1965586__A0A1Y4HU56__B5F34_03425
ERR1913217.876910__1.876910	1632__E3CAU1__HMPREF9265_0069
ERR1913217.877063__1.877063	820__A0A173XIP7__B5G17_16050
ERR1913217.877096__1.877096	39488__C0EXY6__ltaS1_2
ERR1913217.877147__1.877147	1263006__R6LMY4__BN515_01429
ERR1913217.877232__1.877232	1262882__R5MEN9__BN519_00201
ERR1913217.877261__1.877261	357276__A0A076IIL0__EL88_03065
ERR1913217.877399__1.877399	820__A0A139JRH8__HMPREF2141_04326
ERR1913217.877341__1.877341	1550024__A0A0D8J274__ASJ35_12405
ERR1913217.877525__1.877525	239935__A0A2N8INK7__Amuc_0521
ERR1913217.877569__1.877569	1262911__R6GTZ0__BN557_01437
ERR1913217.877656__1.877656	1203069__I7J3A3__BN52_04800
ERR1913217.877736__1.877736	78535__A0A0P0N9J4__strH
ERR1913217.877914__1.877914	1550024__A0A0D8IZK1__TQ39_08190
ERR1913217.878048__1.878048	1262992__R5D546__BN795_00726
ERR1913217.878354__1.878354	1160721__W0U3Q4__BHW50_08110
ERR1913217.878367__1.878367	1624__A0A2A2X4R7__CR249_01450
ERR1913217.878346__1.878346	1681__E3EQA8__LMG11582_0199
ERR1913217.878809__1.878809	1550024__G9RZ52__TQ39_02420
ERR1913217.878992__1.878992	357276__A0A0M1W4C0__DXD47_07095
ERR1913217.879082__1.879082	35833__E5YAY4__HMPREF0179_03355
ERR1913217.879102__1.879102	1262992__R5D637__BN795_00221
ERR1913217.879136__1.879136	40518__R5DYU1__DXD86_01160
ERR1913217.879370__1.879370	1680__A0A174BEE7__BSTER_1311
ERR1913217.879471__1.879471	820__A0A139KHX1__HMPREF2141_00289
ERR1913217.879551__1.879551	1624__A0A385XKE5__B6U46_05205
ERR1913217.879737__1.879737	1550024__A0A0W7TN61__ASJ35_14460
ERR1913217.879798__1.879798	1263006__R6LZ17__BN515_01569
ERR1913217.880012__1.880012	1550024__G9RNN4__ASJ35_08335
ERR1913217.880220__1.880220	88431__A0A174EMW0__thiD_1
ERR1913217.880242__1.880242	1550024__A0A3B9WG56__TQ39_01145
ERR1913217.880373__1.880373	1099853__U5CHL3__NSB1T_13030
ERR1913217.880467__1.880467	88431__A0A174IEH2__DXB16_05910
ERR1913217.880473__1.880473	1550024__A0A0D8J274__ASJ35_12405
ERR1913217.880502__1.880502	1263006__R6M2F7__BN515_00608
ERR1913217.881007__1.881007	1099853__G9S6U1__NSB1T_01770
ERR1913217.881160__1.881160	1624__A0A1V9THW8__DB322_06390
ERR1913217.881185__1.881185	1150298__R7JL35__ERS852498_02809
ERR1913217.881325__1.881325	1382__C8W7K5__Apar_1016
ERR1913217.881311__1.881311	1318__K8MU13__TZ97_01856
ERR1913217.881364__1.881364	1160721__R6TAA3__BHW50_03385
ERR1913217.881395__1.881395	1263006__R6LR21__BN515_00462
ERR1913217.881418__1.881418	357276__I9RAC4__BSEG_00561
ERR1913217.881466__1.881466	357276__A0A076J8D4__HMPREF1064_00553
ERR1913217.881841__1.881841	820__A7V049__DXB48_04755
ERR1913217.881920__1.881920	1263006__R6LTR6__BN515_01217
ERR1913217.881935__1.881935	820__A7V092__hldE
ERR1913217.881980__1.881980	1263006__R6LLP6__BN515_01041
ERR1913217.882105__1.882105	552398__F4XCR9__HMPREF0866_01636
ERR1913217.882316__1.882316	820__A0A3E4W4Y7__B5G17_02055
ERR1913217.882428__1.882428	97478__A0A099YAY3__SAMN05216430_101258
ERR1913217.882453__1.882453	39485__C4Z028__ERS852492_00100
ERR1913217.882524__1.882524	1318__W1VIP5__HMPREF9626_0938
ERR1913217.882590__1.882590	820__R9HVB9__DXC68_17285
ERR1913217.882707__1.882707	28116__A0A1G6G396__DXD69_22115
ERR1913217.882722__1.882722	158787__A0A087DJ41__BBSC_2304
ERR1913217.882871__1.882871	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913217.883017__1.883017	1263000__R5EF60__BN466_01316
ERR1913217.883109__1.883109	239935__A0A2N8ILG3__CXT93_10135
ERR1913217.883114__1.883114	820__A0A1Y3V743__M093_0235
ERR1913217.883395__1.883395	544580__A0A109WA22__BKH17_05065
ERR1913217.883512__1.883512	1550024__A0A0D8J3J4__TQ39_01275
ERR1913217.883593__1.883593	1379702__U6EE28__MBMB1_1515
ERR1913217.883659__1.883659	821__I9R3W6__DXC16_12455
ERR1913217.883849__1.883849	1262992__R5DC96__BN795_01524
ERR1913217.883962__1.883962	1680__A0A087DHN0__AL0462_1532
ERR1913217.884189__1.884189	40518__R5E6K4__RB5AMG_02070
ERR1913217.884419__1.884419	1262882__R5MKI3__BN519_00334
ERR1913217.884802__1.884802	823__A0A355XJ56__DDY96_07685
ERR1913217.884878__1.884878	820__A0A174A6K0__M093_0079
ERR1913217.884840__1.884840	626933__H1DGX0__HMPREF9449_01506
ERR1913217.884899__1.884899	1262882__R5MN65__BN519_00771
ERR1913217.884917__1.884917	1550024__G9RTW4__TQ39_08265
ERR1913217.884948__1.884948	301301__A0A395V7P2__ERS852391_05080
ERR1913217.885104__1.885104	1624__D8ILJ0__A8C40_05830
ERR1913217.885125__1.885125	1681__A0A0H2PP44__BBTM_02041
ERR1913217.885336__1.885336	820__A0A174M9V5__M093_0237
ERR1913217.885295__1.885295	820__A0A374Q854__HMPREF1073_03281
ERR1913217.885517__1.885517	357276__A0A076INK2__BSEG_04225
