ERR1913265.120__1.120	1150298__R7JPB1__corA
ERR1913265.1826847__1.1826847	39491__D6E2U1__EUBREC_3278
ERR1913265.1826848__1.1826848	821__A0A173XDD3__DXB82_17180
ERR1913265.1827086__1.1827086	1680__A0A3E4SB79__BAD_1517
ERR1913265.1827123__1.1827123	214856__R6YBX3__msbA_2
ERR1913265.1827127__1.1827127	1262992__R5DA07__BN795_01576
ERR1913265.1827268__1.1827268	40518__R5DXI4__DXD86_07420
ERR1913265.1827490__1.1827490	1150298__A0A174SLE6__mlc_1
ERR1913265.1827689__1.1827689	39491__A0A173SH34__EUR_24920
ERR1913265.1827709__1.1827709	28117__B0MXR1__BHV66_08035
ERR1913265.1827797__1.1827797	1262992__R5DDW9__BN795_00572
ERR1913265.1827844__1.1827844	821__R7P1Q7__M099_2990
ERR1913265.1827876__1.1827876	1550024__G9RX51__TQ39_04720
ERR1913265.1827976__1.1827976	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.1828324__1.1828324	218538__C9LMG6__GCWU000321_00719
ERR1913265.1828365__1.1828365	39491__A0A395UUN5__EUBREC_0291
ERR1913265.1828453__1.1828453	310298__B3JHU0__BACCOP_01452
ERR1913265.1828523__1.1828523	74426__purL
ERR1913265.1828495__1.1828495	1703337__A0A2U0U7Q7__C7379_11089
ERR1913265.1828608__1.1828608	39491__A0A173QT73__alaS_2
ERR1913265.1828640__1.1828640	397865__W0ET97__BARVI_12500
ERR1913265.1828668__1.1828668	100884__E7G6D0__DXB30_06825
ERR1913265.1828673__1.1828673	821__A0A174AYT0__DXC02_03530
ERR1913265.1828745__1.1828745	39492__D4JT68__spoIIIE
ERR1913265.1828747__1.1828747	1550024__A0A0D8J3J4__TQ39_01275
ERR1913265.1828762__1.1828762	310297__B5CTT3__DXC17_00385
ERR1913265.1828885__1.1828885	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913265.1829117__1.1829117	1685__W6EXB4__B31L_1221
ERR1913265.1829263__1.1829263	40518__R5DXH2__DXD83_10135
ERR1913265.1829284__1.1829284	471189__GCA_003340385.1_00110
ERR1913265.1829530__1.1829530	1680__A0A3E4SB79__BAD_1517
ERR1913265.1829646__1.1829646	214856__I3YPI7__pepD_1
ERR1913265.1829679__1.1829679	360807__C0G083__ROSEINA2194_04432
ERR1913265.1829715__1.1829715	1304__J7TU69__A6J87_07685
ERR1913265.1829764__1.1829764	310298__B3JFH4__BACCOP_00624
ERR1913265.1829866__1.1829866	33043__A0A173XM20__ERS852445_01573
ERR1913265.1829952__1.1829952	39491__A0A173VYV1__DXC13_02710
ERR1913265.1830001__1.1830001	394340__group_470
ERR1913265.1830133__1.1830133	40518__R5DVL2__penA
ERR1913265.1830136__1.1830136	28116__A0A139L3C0__C5Z02_05550
ERR1913265.1830107__1.1830107	1150298__R7JRT0__ERS852498_01068
ERR1913265.1830120__1.1830120	360807__A0A0M6WHB7__ERS852444_00092
ERR1913265.1830199__1.1830199	487175__R5E4A0__HMPREF9439_00832
ERR1913265.1830255__1.1830255	39491__D6E558__DXB69_00810
ERR1913265.1830261__1.1830261	39496__A5Z6K7__EUBVEN_01340
ERR1913265.1830318__1.1830318	40518__R5DS23__DXD86_01715
ERR1913265.1830415__1.1830415	35833__E5Y255__HMPREF0179_00265
ERR1913265.1830624__1.1830624	853__A0A174BZY1__xerD_1
ERR1913265.1830729__1.1830729	823__A0A173UDF6__CEQ22_003270
ERR1913265.1830860__1.1830860	821__A0A0P0LFP6__C5Z04_13890
ERR1913265.1830863__1.1830863	246787__A0A3D6ARN8__yehU_6
ERR1913265.1830953__1.1830953	1739491__J1DK07__HMPREF2987_07410
ERR1913265.1831172__1.1831172	820__A0A3E4GE89__DXB48_02565
ERR1913265.1831239__1.1831239	28117__B0MY40__BHV66_05170
ERR1913265.1831273__1.1831273	310298__B3JFK4__BACCOP_00654
ERR1913265.1831253__1.1831253	823__A0A174U5E4__BDI_3390
ERR1913265.1831261__1.1831261	301301__A0A395VA63__sbcC
ERR1913265.1831263__1.1831263	1262911__R6GYU2__BN557_00621
ERR1913265.1831383__1.1831383	40518__R5DU52__RB5AMG_02245
ERR1913265.1831434__1.1831434	47678__R5USR9__HMPREF1061_01404
ERR1913265.1831473__1.1831473	40518__R5DLW4__thiN
ERR1913265.1831676__1.1831676	214856__R6YC22__ERS852447_01215
ERR1913265.1831684__1.1831684	39491__A0A396FJJ9__DXB76_11995
ERR1913265.1831763__1.1831763	39492__D4MMZ8__ERS852540_01407
ERR1913265.1831826__1.1831826	68891__A0A0F2DY13__dnaK
ERR1913265.1831907__1.1831907	853__C7H7F5__DWZ46_01780
ERR1913265.1831916__1.1831916	40518__R5DYP7__envC
ERR1913265.1831923__1.1831923	40518__R5DZ88__DXD93_06320
ERR1913265.1831931__1.1831931	1681__K2IQY4__RY70_39
ERR1913265.1832167__1.1832167	310298__B3JFQ2__BACCOP_00703
ERR1913265.1832247__1.1832247	40518__R5DT93__DXD86_08730
ERR1913265.1832330__1.1832330	394340__carB
ERR1913265.1832429__1.1832429	1262948__R7EDA7__BN671_00036
ERR1913265.1832397__1.1832397	821__A0A395UNT8__DXD64_15275
ERR1913265.1832406__1.1832406	820__A0A174FUF0__HMPREF1073_03308
ERR1913265.1832472__1.1832472	28117__B0MXW9__ALIPUT_01981
ERR1913265.1832518__1.1832518	40518__R5E2F3__artQ
ERR1913265.1832562__1.1832562	821__A0A396EVC9__DXB90_03525
ERR1913265.1832634__1.1832634	821__A0A0P0M2J4__DXD46_10295
ERR1913265.1832711__1.1832711	40518__A0A2N0UUY0__DXD83_02620
ERR1913265.1832879__1.1832879	1262992__R5DE88__BN795_00202
ERR1913265.1832890__1.1832890	487174__K0XKB7__DDY40_03475
ERR1913265.1832978__1.1832978	853__A0A2A7B9I6__DW855_13690
ERR1913265.1833036__1.1833036	1680__R5GKP2__DXD60_06200
ERR1913265.1833243__1.1833243	218538__C9LNL5__GCWU000321_01138
ERR1913265.1833282__1.1833282	1304__F8LI16__TZ99_00065
ERR1913265.1833458__1.1833458	905__D2RL47__SAMN05216495_101189
ERR1913265.1833508__1.1833508	1263107__GCA_000436995.1_00249
ERR1913265.1833531__1.1833531	1680__A0A174BH90__B0487_1759
ERR1913265.1833570__1.1833570	39491__A0A396FGM9__fliU_1
ERR1913265.1833577__1.1833577	1150298__A0A174J629__ERS852498_00833
ERR1913265.1833614__1.1833614	28117__B0MWP2__ALIPUT_01468
ERR1913265.1833677__1.1833677	1150298__R7JV71__ERS852498_00755
ERR1913265.1833690__1.1833690	46503__R6Y4W3__DXB85_01650
ERR1913265.1833991__1.1833991	39491__C4ZEW3__T1815_18241
ERR1913265.1834027__1.1834027	310298__B3JFQ2__BACCOP_00703
ERR1913265.1834155__1.1834155	853__A0A3E2V168__FAEPRAM212_00929
ERR1913265.1834159__1.1834159	1150298__A0A174PLY5__ERS852406_01056
ERR1913265.1834200__1.1834200	821__A0A174NM17__lacZ_6
ERR1913265.1834256__1.1834256	1304__T0T9N5__CQA85_09935
ERR1913265.1834270__1.1834270	100886__E2NRI8__ERS852383_05979
ERR1913265.1834286__1.1834286	40518__R5DQL2__RBATCC27255_00937
ERR1913265.1834413__1.1834413	310298__B3JPN8__BACCOP_03837
ERR1913265.1834474__1.1834474	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913265.1834525__1.1834525	40518__R5DR72__RBL236_02110
ERR1913265.1834596__1.1834596	1680__A0A0B5BIU5__BSTER_0145
ERR1913265.1834687__1.1834687	905__D2RKQ3__Acfer_1294
ERR1913265.1834751__1.1834751	1150298__R7JUX4__ERS852535_02669
ERR1913265.1834755__1.1834755	40518__R5DYP7__envC
ERR1913265.1834933__1.1834933	853__A0A173XRA8__CGS56_09290
ERR1913265.1834972__1.1834972	446660__GCA_003428235.1_01223
ERR1913265.1834995__1.1834995	33043__A0A173QUA9__ERS852400_01795
ERR1913265.1835018__1.1835018	820__A0A1T4IY80__ERS852554_01621
ERR1913265.1835151__1.1835151	39491__R6TQ09__DXC13_03010
ERR1913265.1835251__1.1835251	853__A0A173TAZ8__DWZ46_14590
ERR1913265.1835276__1.1835276	853__A0A3E2V168__FAEPRAM212_00929
ERR1913265.1835255__1.1835255	216816__C5E8I1__yciB
ERR1913265.1835272__1.1835272	471189__GCA_003340385.1_00257
ERR1913265.1835618__1.1835618	40518__R5DW64__RBL236_01394
ERR1913265.1835660__1.1835660	40518__R5DT16__ysdC_2
ERR1913265.1835665__1.1835665	246618__M4RG38__BPORC_0326
ERR1913265.1835796__1.1835796	40518__R5DM08__DXD83_06415
ERR1913265.1835799__1.1835799	821__A0A174NSU0__BVU_3144
ERR1913265.1835766__1.1835766	216816__B7GPE8__I118_0062
ERR1913265.1835832__1.1835832	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.1835892__1.1835892	853__A0A2J4JL53__CRH10_10795
ERR1913265.1835960__1.1835960	214856__R6YC22__ERS852447_01215
ERR1913265.1835901__1.1835901	1318__I1ZKF4__HMPREF9962_0403
ERR1913265.1835904__1.1835904	487174__K0WWY0__DIT83_10195
ERR1913265.1836042__1.1836042	301301__A0A173Z4D5__RHOM_00975
ERR1913265.1836081__1.1836081	820__A0A139K4T0__ERS852510_03146
ERR1913265.1836126__1.1836126	1304__A0A2I1TLS3__DL07_03485
ERR1913265.1836202__1.1836202	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913265.1836217__1.1836217	823__A0A395YY84__DXC05_19515
ERR1913265.1836533__1.1836533	301302__R5UH47__M72_02301
ERR1913265.1836606__1.1836606	1263064__GCA_000431175.1_00157
ERR1913265.1836696__1.1836696	39492__D4JR20__trmD
ERR1913265.1836737__1.1836737	1262992__R5D637__BN795_00221
ERR1913265.1836873__1.1836873	1263109__GCA_000438135.1_00036
ERR1913265.1836907__1.1836907	1550024__G9RUG5__ASJ35_14060
ERR1913265.1836916__1.1836916	1304__W3Y4W5__AWB63_09370
ERR1913265.1836925__1.1836925	40518__R5DW64__RBL236_01394
ERR1913265.1837064__1.1837064	1304__J7TEW4__V471_05040
ERR1913265.1837111__1.1837111	216816__A0A0M0VKE6__BL0626
ERR1913265.1837141__1.1837141	47678__R5UAI1__BACCAC_01922
ERR1913265.1837236__1.1837236	246787__A0A3D6AQP8__AA416_04153
ERR1913265.1837243__1.1837243	40518__R5E7G3__DXD86_03405
ERR1913265.1837380__1.1837380	823__A0A395YVY3__ERS852513_03204
ERR1913265.1837390__1.1837390	821__U6RDC2__DXD46_15675
ERR1913265.1837408__1.1837408	40518__R5DME2__DXD86_07315
ERR1913265.1837607__1.1837607	1262992__R5DA07__BN795_01576
ERR1913265.1837666__1.1837666	1150298__A0A174M5F7__ERS852535_00457
ERR1913265.1837781__1.1837781	40518__R5E2Z2__DXD93_09295
ERR1913265.1837927__1.1837927	40518__R5DR72__RBL236_02110
ERR1913265.1837960__1.1837960	310298__B3JNG7__BACCOP_03480
ERR1913265.1837963__1.1837963	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913265.1837982__1.1837982	820__A0A174M9V5__M093_0237
ERR1913265.1838083__1.1838083	116085__D4J6U4__DW747_08365
ERR1913265.1838192__1.1838192	40518__R5DZU5__RBL263_00458
ERR1913265.1838329__1.1838329	1150298__A0A174KDX3__ERS852498_01212
ERR1913265.1838455__1.1838455	1680__A7A4N3__ERS852382_00779
ERR1913265.1838485__1.1838485	39491__A0A2U2EI54__DXD95_12010
ERR1913265.1838651__1.1838651	301301__G2T455__RHOM_11960
ERR1913265.1838827__1.1838827	487174__K0WUW8__DDY40_02615
ERR1913265.1838897__1.1838897	1262992__R5D1V5__BN795_00167
ERR1913265.1838938__1.1838938	39491__A0A396FMF1__EUR_28700
ERR1913265.1838949__1.1838949	1263107__GCA_000436995.1_00004
ERR1913265.1839030__1.1839030	1304__J7SIV6__pspA_3
ERR1913265.1839100__1.1839100	33043__A8SPT5__yfiN_2
ERR1913265.1839255__1.1839255	1304__A0A2I1TK21__TZ99_00611
ERR1913265.1839320__1.1839320	246787__A0A108TE61__HMPREF1062_02205
ERR1913265.1839294__1.1839294	1680__A0A173W5Z2__DXC53_01290
ERR1913265.1839306__1.1839306	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.1839364__1.1839364	1150298__R7JL35__ERS852498_02809
ERR1913265.1839518__1.1839518	28116__I9AKR7__DXA80_22960
ERR1913265.1839522__1.1839522	1150298__A0A174EM68__ERS852406_01867
ERR1913265.1839535__1.1839535	1262992__R5D749__BN795_01063
ERR1913265.1839561__1.1839561	28117__B0MY40__BHV66_05170
ERR1913265.1839569__1.1839569	820__A0A1T4IY80__ERS852554_01621
ERR1913265.1839615__1.1839615	487174__K0XJ34__DDY40_06890
ERR1913265.1839745__1.1839745	40518__R5DUG7__sbcC
ERR1913265.1839793__1.1839793	823__A0A355XLH0__fepA_1
ERR1913265.1839901__1.1839901	487174__K0XM88__DDY40_02935
ERR1913265.1840013__1.1840013	216816__C2GSX7__DD678_03555
ERR1913265.1840082__1.1840082	1686__A0A173Y0B8__BCAT_0218
ERR1913265.1840057__1.1840057	820__A7VAR9__ERS852421_00197
ERR1913265.1840122__1.1840122	39491__D6E408__EUBREC_1466
ERR1913265.1840162__1.1840162	216816__C5E9A6__mutT4
ERR1913265.1840166__1.1840166	40518__R5DYU1__DXD86_01160
ERR1913265.1840249__1.1840249	218538__C9LPF0__GCWU000321_01429
ERR1913265.1840273__1.1840273	39491__A0A174M1X5__DXB99_18695
ERR1913265.1840310__1.1840310	371601__D6D2M1__CW1_3199
ERR1913265.1840384__1.1840384	39485__R5ZVC3__ERS852490_00250
ERR1913265.1840442__1.1840442	39491__A0A395UXH0__EUBREC_0021
ERR1913265.1840520__1.1840520	28117__B0MU57__ALIPUT_00175
ERR1913265.1840593__1.1840593	446660__GCA_003428235.1_00299
ERR1913265.1840761__1.1840761	1150298__R7JUW7__ERS852406_02089
ERR1913265.1840836__1.1840836	1680__A0A0C2VBJ4__birA
ERR1913265.1840802__1.1840802	28117__B0MT86__BHV66_02450
ERR1913265.1840846__1.1840846	1263109__GCA_000438135.1_00176
ERR1913265.1840852__1.1840852	1262992__R5D5Z8__BN795_00201
ERR1913265.1840869__1.1840869	1150298__A0A174PXR1__ERS852406_02747
ERR1913265.1840982__1.1840982	28117__B0MY36__BHV66_05185
ERR1913265.1841069__1.1841069	28116__A7M019__HMPREF1070_01109
ERR1913265.1841040__1.1841040	40518__R5DR72__RBL236_02110
ERR1913265.1841044__1.1841044	40518__R5DW64__RBL236_01394
ERR1913265.1841185__1.1841185	216816__B7GPE8__I118_0062
ERR1913265.1841392__1.1841392	28116__A7LS02__DXF98_24100
ERR1913265.1841496__1.1841496	216816__B7GQ29__APC1465_1199
ERR1913265.1841533__1.1841533	1150298__R7JND0__ERS852498_02814
ERR1913265.1841613__1.1841613	853__A0A2A7A4A9__C4N21_14870
ERR1913265.1841677__1.1841677	1318__I1ZP89__Spaf_1921
ERR1913265.1841984__1.1841984	1680__A0A087DHN0__AL0462_1532
ERR1913265.1841994__1.1841994	1304__J7TGU8__Ssal_02017
ERR1913265.1842003__1.1842003	1304__J7SI29__DL08_08910
ERR1913265.1842024__1.1842024	310298__B3JNG7__BACCOP_03480
ERR1913265.1842037__1.1842037	39491__A0A395ZG74__licR
ERR1913265.1842067__1.1842067	28117__B0MTV3__BHV66_06405
ERR1913265.1842325__1.1842325	39491__A0A395ZG74__licR
ERR1913265.1842348__1.1842348	39491__A0A395UZ82__EUR_31520
ERR1913265.1842359__1.1842359	1681__I3WJE2__DXC50_07465
ERR1913265.1842379__1.1842379	216816__Q8G464__BFS25_05925
ERR1913265.1842414__1.1842414	218538__C9LQ92__GCWU000321_01724
ERR1913265.1842431__1.1842431	40518__R5DZC6__mreC
ERR1913265.1842437__1.1842437	216816__A0A0A6VPB9__B624_1780
ERR1913265.1842465__1.1842465	1262992__R5DE88__BN795_00202
ERR1913265.1842657__1.1842657	357276__A0A0M1W1I8__ABI39_13620
ERR1913265.1842741__1.1842741	853__A0A174C5M1__CGS58_04460
ERR1913265.1842777__1.1842777	100886__E2NNV6__CATMIT_00217
ERR1913265.1842779__1.1842779	40518__R5E4V5__RBL263_01242
ERR1913265.1842787__1.1842787	853__A0A3E2V168__FAEPRAM212_00929
ERR1913265.1842882__1.1842882	1150298__A0A174R4D7__tmpC_2
ERR1913265.1842893__1.1842893	33043__A0A173W4M0__dnaD
ERR1913265.1843109__1.1843109	301301__G2SZZ9__RHOM_02605
ERR1913265.1843119__1.1843119	487174__K0XLV6__DIT83_00940
ERR1913265.1843195__1.1843195	1262992__R5DCL9__BN795_01551
ERR1913265.1843198__1.1843198	39491__A0A174K9A3__DXB69_07785
ERR1913265.1843373__1.1843373	1263109__GCA_000438135.1_01595
ERR1913265.1843498__1.1843498	1150298__R7JUS2__ERS852498_02193
ERR1913265.1843543__1.1843543	1304__A0A074J0C2__V471_05910
ERR1913265.1843520__1.1843520	40518__R5DUU2__yvhJ_2
ERR1913265.1843628__1.1843628	310298__B3JFK6__BACCOP_00656
ERR1913265.1843887__1.1843887	40518__R5DR39__mreB_2
ERR1913265.1843917__1.1843917	821__D4VD59__BHV80_04260
ERR1913265.1843925__1.1843925	39491__A0A395ZDC6__addB
ERR1913265.1843969__1.1843969	33043__A0A174EI47__inlJ
ERR1913265.1844015__1.1844015	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913265.1844151__1.1844151	39491__C4ZAT2__ERE_28440
ERR1913265.1844198__1.1844198	1304__A0A074J243__SSALIVM18_08706
ERR1913265.1844247__1.1844247	39491__A0A396FUZ3__phoR_1
ERR1913265.1844326__1.1844326	39491__A0A395ZG96__DXB69_15120
ERR1913265.1844333__1.1844333	216816__A0A1D7MV89__EK5BL_04715
ERR1913265.1844464__1.1844464	1150298__A0A174S2H3__spoIIQ
ERR1913265.1844487__1.1844487	39491__C4Z8B6__ERE_17960
ERR1913265.1844634__1.1844634	821__A0A0P0LQT3__DXC03_05050
ERR1913265.1844672__1.1844672	853__A0A174BA00__DW905_01145
ERR1913265.1844969__1.1844969	216816__D6ZXB6__BBL306_0063
ERR1913265.1844976__1.1844976	1263109__GCA_000438135.1_01430
ERR1913265.1845276__1.1845276	74426__nrdD
ERR1913265.1845304__1.1845304	116085__D4J547__DW747_07130
ERR1913265.1845417__1.1845417	1686__B6XVK4__BBCT_1416
ERR1913265.1845494__1.1845494	39491__C4ZF05__vpr
ERR1913265.1845553__1.1845553	40518__R5DU28__DXD86_07960
ERR1913265.1845609__1.1845609	204516__U6RFB2__HMPREF1534_01733
ERR1913265.1845669__1.1845669	1150298__A0A174HYM9__ERS852406_01664
ERR1913265.1845672__1.1845672	821__A0A173XDD3__DXB82_17180
ERR1913265.1845732__1.1845732	40518__R5DP21__RBATCC27255_00348
ERR1913265.1845782__1.1845782	214856__A0A174AYS4__ERS852447_01192
ERR1913265.1845906__1.1845906	821__R7P1Q7__M099_2990
ERR1913265.1845858__1.1845858	40518__R5E6G1__DXD83_06815
ERR1913265.1845859__1.1845859	1680__A0A0C2YPV2__AL0462_1474
ERR1913265.1845869__1.1845869	1150298__A0A174E950__ERS852498_02096
ERR1913265.1845928__1.1845928	487174__K0WYI1__DDY40_08675
ERR1913265.1845996__1.1845996	40518__R5DUG7__sbcC
ERR1913265.1846085__1.1846085	40518__R5DS17__RBATCC27255_00416
ERR1913265.1846192__1.1846192	40518__R5DZ16__DXD86_01455
ERR1913265.1846147__1.1846147	1304__J7TU64__CYK22_02490
ERR1913265.1846255__1.1846255	39491__A0A395UYA6__EUBREC_0408
ERR1913265.1846283__1.1846283	133926__X8HVB0__Olsu_1341
ERR1913265.1846494__1.1846494	47678__A5ZI88__BACCAC_02617
ERR1913265.1846497__1.1846497	40518__R5DNI6__RBATCC27255_00844
ERR1913265.1846536__1.1846536	1313__A0A064BVC0__ERS020293_01895
ERR1913265.1846679__1.1846679	33043__D5HF29__eglS_1
ERR1913265.1846703__1.1846703	1680__A0A2R4G1K8__BBMN23_0315
ERR1913265.1846755__1.1846755	40518__R5DQJ0__DXD93_03790
ERR1913265.1846835__1.1846835	1150298__R7JUV3__yfnB
ERR1913265.1846853__1.1846853	1262992__R5DCG2__BN795_00315
ERR1913265.1846902__1.1846902	563038__E9FKY5__HMPREF0851_00116
ERR1913265.1846946__1.1846946	28117__B0MY40__BHV66_05170
ERR1913265.1847117__1.1847117	40518__R5DT16__ysdC_2
ERR1913265.1847318__1.1847318	310298__B3JNG7__BACCOP_03480
ERR1913265.1847365__1.1847365	1680__A0A174BH90__B0487_1759
ERR1913265.1847407__1.1847407	1262948__R7EDA7__BN671_00036
ERR1913265.1847409__1.1847409	40518__R5DY98__mepA_5
ERR1913265.1847449__1.1847449	1628085__A0A2U1BCJ0__C7386_10767
ERR1913265.1847451__1.1847451	310298__B3JFS5__BACCOP_00726
ERR1913265.1847551__1.1847551	40518__R5E7S2__RBL263_00671
ERR1913265.1847597__1.1847597	1150298__R7JSE8__coaX_1
ERR1913265.1847695__1.1847695	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913265.1847798__1.1847798	88431__A0A3D0EWY9__ERS852423_01238
ERR1913265.1847875__1.1847875	328813__A0A1Y3QZ24__B5G41_08040
ERR1913265.1847924__1.1847924	471189__GCA_003340385.1_00338
ERR1913265.1847907__1.1847907	40518__R5E6X5__sbcD
ERR1913265.1847980__1.1847980	1150298__R7JNQ8__ERS852406_00857
ERR1913265.1848039__1.1848039	39491__A0A396FNY7__LD38_16155
ERR1913265.1848062__1.1848062	33039__A0A174Z4G4__ERS852530_00994
ERR1913265.1848081__1.1848081	1150298__R7JSE8__coaX_1
ERR1913265.1848127__1.1848127	39491__A0A396FIZ8__ERE_20410
ERR1913265.1848222__1.1848222	28117__B0N007__BHV66_10275
ERR1913265.1848241__1.1848241	28117__B0MWC6__BHV66_00965
ERR1913265.1848320__1.1848320	1317__A0A2N6PS75__HMPREF9176_0867
ERR1913265.1848294__1.1848294	40518__R5DQW8__sipW_2
ERR1913265.1848332__1.1848332	216816__A0A0A1GN66__APC1468_1044
ERR1913265.1848357__1.1848357	39491__C4ZHS4__EUR_24420
ERR1913265.1848421__1.1848421	261299__B0A974__SAMN02745147_2360
ERR1913265.1848609__1.1848609	33043__D5HHF5__ERS852386_00025
ERR1913265.1848621__1.1848621	1150298__R7JNQ8__ERS852406_00857
ERR1913265.1848624__1.1848624	1150298__A0A174HD82__yusO_2
ERR1913265.1848776__1.1848776	39491__A0A395UWZ1__DXC13_02175
ERR1913265.1848804__1.1848804	821__E5UY21__C800_02204
ERR1913265.1848784__1.1848784	39491__A0A0M6WNS5__DXC13_02015
ERR1913265.1848922__1.1848922	39492__D4JRR5__ERS852540_02089
ERR1913265.1849035__1.1849035	216816__B7GPE8__I118_0062
ERR1913265.1849218__1.1849218	39491__A0A395ZE48__DXB76_02395
ERR1913265.1849279__1.1849279	39492__D4JVN3__spsA
ERR1913265.1849305__1.1849305	28118__R6F891__NCTC10826_02656
ERR1913265.1849349__1.1849349	1535__A7VU82__CLOLEP_02128
ERR1913265.1849354__1.1849354	28117__B0MTW8__ALIPUT_00502
ERR1913265.1849426__1.1849426	100886__A0A174HGR4__pepD
ERR1913265.1849466__1.1849466	39491__C4ZAT2__ERE_28440
ERR1913265.1849477__1.1849477	1263109__GCA_000438135.1_00835
ERR1913265.1849485__1.1849485	1263006__R6LR21__BN515_00462
ERR1913265.1849496__1.1849496	39491__A0A174LTW7__DXD13_08720
ERR1913265.1849535__1.1849535	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.1849992__1.1849992	446660__GCA_003428235.1_02156
ERR1913265.1850056__1.1850056	1680__A0A0C2VBJ4__birA
ERR1913265.1850089__1.1850089	74426__group_4823
ERR1913265.1850142__1.1850142	28117__R7JJM9__ALIPUT_00662
ERR1913265.1850244__1.1850244	28117__B0MUB4__BHV66_01895
ERR1913265.1850245__1.1850245	328813__A0A1Y3QUP2__B5G41_06690
ERR1913265.1850474__1.1850474	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913265.1850489__1.1850489	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913265.1850608__1.1850608	214856__A0A174ZEW0__ERS852447_00985
ERR1913265.1850609__1.1850609	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913265.1850646__1.1850646	39491__A0A395ZG74__licR
ERR1913265.1850669__1.1850669	40518__R5E550__aroK
ERR1913265.1850681__1.1850681	1680__A0A173X776__B0070_1318
ERR1913265.1850711__1.1850711	1304__A0A1W5ZCY0__CKU37_03270
ERR1913265.1850713__1.1850713	1150298__A0A174IG30__ERS852535_01135
ERR1913265.1850831__1.1850831	28117__R7JJM9__ALIPUT_00662
ERR1913265.1850837__1.1850837	487174__K0X250__DDY40_03675
ERR1913265.1850850__1.1850850	823__A0A174WTX5__DD466_11965
ERR1913265.1850955__1.1850955	216816__B7GPE8__I118_0062
ERR1913265.1851032__1.1851032	487174__K0X7X4__DIT83_09125
ERR1913265.1851047__1.1851047	387090__S0F8B2__BACCOPRO_02129
ERR1913265.1851074__1.1851074	410072__A0A173XQG6__ERS852574_01620
ERR1913265.1851079__1.1851079	821__A0A395VIK7__BVU_1225
ERR1913265.1851095__1.1851095	40518__R5DMZ0__DXD83_05610
ERR1913265.1851258__1.1851258	1680__A0A3E4SB79__BAD_1517
ERR1913265.1851293__1.1851293	1150298__A0A174R918__ERS852535_01749
ERR1913265.1851466__1.1851466	820__R9HVB9__DXC68_17285
ERR1913265.1851534__1.1851534	40518__R5DMZ0__DXD83_05610
ERR1913265.1851553__1.1851553	39485__C4Z0S8__hisK
ERR1913265.1851563__1.1851563	39485__C4Z0S8__hisK
ERR1913265.1851746__1.1851746	39485__C4Z6Z5__EUBELI_20593
ERR1913265.1851935__1.1851935	40518__R5DV58__htrA
ERR1913265.1851940__1.1851940	216816__D6ZW33__azlC
ERR1913265.1852054__1.1852054	853__A8SB03__C4Q21_07960
ERR1913265.1852138__1.1852138	40518__R5E1X3__clcA
ERR1913265.1852106__1.1852106	853__A0A173XRA8__CGS56_09290
ERR1913265.1852241__1.1852241	310298__B3JGL4__BACCOP_01016
ERR1913265.1852444__1.1852444	39491__A0A173RA59__EUR_24800
ERR1913265.1852549__1.1852549	446660__GCA_003428235.1_01223
ERR1913265.1852573__1.1852573	39488__C0F0P7__ERS852578_02651
ERR1913265.1852592__1.1852592	28117__B0MYI9__BHV66_05415
ERR1913265.1852638__1.1852638	40518__R5E2F3__artQ
ERR1913265.1852948__1.1852948	1628085__A0A374VRS5__C7386_10481
ERR1913265.1853048__1.1853048	39491__A0A173TAZ5__DXB99_09520
ERR1913265.1853072__1.1853072	28116__A0A3E5ID75__SAMN05444282_10832
ERR1913265.1853178__1.1853178	823__A0A173VS36__M091_4727
ERR1913265.1853267__1.1853267	39491__A0A395V5R3__EUBREC_1883
ERR1913265.1853342__1.1853342	1304__A0A1W5ZCY0__CKU37_03270
ERR1913265.1853397__1.1853397	39491__A0A174K9A3__DXB69_07785
ERR1913265.1853381__1.1853381	1263107__GCA_000436995.1_00140
ERR1913265.1853414__1.1853414	28117__B0MZ14__ALIPUT_02383
ERR1913265.1853431__1.1853431	33043__A0A173X520__ERS852575_01617
ERR1913265.1853465__1.1853465	39491__A0A174EQV2__DXB69_10230
ERR1913265.1853486__1.1853486	853__A0A173YYY4__DWZ04_09420
ERR1913265.1853626__1.1853626	1680__A0A076JNS9__BIFADO_02309
ERR1913265.1853647__1.1853647	40518__R5E1X3__clcA
ERR1913265.1853654__1.1853654	487174__K0X2Q8__DDY40_04590
ERR1913265.1853660__1.1853660	214856__I3YMC8__ERS852447_02666
ERR1913265.1853697__1.1853697	39491__A0A174K9A3__DXB69_07785
ERR1913265.1853718__1.1853718	310298__B3JMG0__BACCOP_03099
