ERR1912995.212__1.212	301302__A0A173RZU9__M72_23561
ERR1912995.7035714__1.7035714	1262911__R6GZW9__BN557_00833
ERR1912995.7035724__1.7035724	165179__A0A3E4SID1__DXB80_01945
ERR1912995.7035932__1.7035932	1262936__R7IZZ2__BN799_01307
ERR1912995.7035961__1.7035961	1735__B7CD06__EUBIFOR_02085
ERR1912995.7035971__1.7035971	1897011__A0A1Q6RGG6__BHW41_02770
ERR1912995.7036107__1.7036107	147206__GCF_000156215.1_01773
ERR1912995.7036138__1.7036138	1262936__R7IY33__BN799_00622
ERR1912995.7036217__1.7036217	1262919__R5P6B2__BN465_00960
ERR1912995.7036234__1.7036234	1897011__A0A1Q6RGC2__BHW41_02765
ERR1912995.7036316__1.7036316	901__B6WQQ5__DHV46_03695
ERR1912995.7036304__1.7036304	471189__GCA_003340385.1_00504
ERR1912995.7036432__1.7036432	471189__GCA_003340385.1_00504
ERR1912995.7036637__1.7036637	820__A0A3E5E0T0__ERS852554_00312
ERR1912995.7036646__1.7036646	1262919__R5P482__BN465_00674
ERR1912995.7036908__1.7036908	901__B6WUN6__DHV46_11020
ERR1912995.7036963__1.7036963	1897011__A0A1Q6RH12__BHW41_01505
ERR1912995.7037066__1.7037066	2022527__A0A264Y5V9__CHL74_10280
ERR1912995.7037091__1.7037091	901__B6WQH5__DESPIG_00299
ERR1912995.7037114__1.7037114	39491__A0A395UWA3__DXB69_11805
ERR1912995.7037377__1.7037377	28052__R7N736__yvhJ
ERR1912995.7037427__1.7037427	1680__A7A7Z9__AAX71_05385
ERR1912995.7037540__1.7037540	1628085__A0A2U1BHS7__C7386_101494
ERR1912995.7037562__1.7037562	1263011__R6E1J2__BN553_01468
ERR1912995.7037583__1.7037583	1262936__R7J2G9__BN799_01824
ERR1912995.7037740__1.7037740	1897011__A0A1Q6RC54__BHW41_06555
ERR1912995.7037842__1.7037842	74426__gap
ERR1912995.7038285__1.7038285	1680__A7A7Z9__AAX71_05385
ERR1912995.7038336__1.7038336	239935__A0A2N8I694__CXU04_06245
ERR1912995.7038711__1.7038711	1262882__R5MFM2__BN519_00460
ERR1912995.7038809__1.7038809	1262919__R5PFI3__BN465_02148
ERR1912995.7038870__1.7038870	1262924__R7HMZ4__BN585_01629
ERR1912995.7038998__1.7038998	1262936__R7J0Z2__BN799_00650
ERR1912995.7039051__1.7039051	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1912995.7039088__1.7039088	40518__R5E6K4__RB5AMG_02070
ERR1912995.7039158__1.7039158	74426__pdxS
ERR1912995.7039396__1.7039396	1263011__R6DQD4__BN553_01090
ERR1912995.7039441__1.7039441	1262936__R7IY33__BN799_00622
ERR1912995.7039488__1.7039488	39485__C4Z1W5__ERS852492_01530
ERR1912995.7039624__1.7039624	901__B6WXF1__DESPIGER_1660
ERR1912995.7040004__1.7040004	45851__D4RW36__BUTYVIB_00166
ERR1912995.7039972__1.7039972	1262988__R7N524__BN816_01860
ERR1912995.7039978__1.7039978	301301__A0A395V928__RHOM_04950
ERR1912995.7040154__1.7040154	1897011__A0A1Q6RE52__BHW41_04690
ERR1912995.7040304__1.7040304	40518__R5DLM5__RB5AMG_00422
ERR1912995.7040685__1.7040685	1262919__R5P8E1__BN465_01993
ERR1912995.7041102__1.7041102	45851__D4RWS6__BHV86_06350
ERR1912995.7041176__1.7041176	45851__D4RWS6__BHV86_06350
ERR1912995.7041166__1.7041166	901__B6WXF1__DESPIGER_1660
ERR1912995.7041218__1.7041218	216816__B7GN29__BL72_08765
ERR1912995.7041241__1.7041241	1262882__R5MLP5__BN519_01602
ERR1912995.7041228__1.7041228	29361__B6FLM7__CLONEX_01049
ERR1912995.7041319__1.7041319	1680__A0A374QDL4__LMG18897_0432
ERR1912995.7041324__1.7041324	1262936__R7J169__BN799_00083
ERR1912995.7041900__1.7041900	116085__D4JAK3__DW747_10755
ERR1912995.7042012__1.7042012	1262936__R7J169__BN799_00083
ERR1912995.7042013__1.7042013	239935__A0A2N8HPS5__Amuc_0950
ERR1912995.7042038__1.7042038	1262936__R7J1T7__BN799_01864
ERR1912995.7042039__1.7042039	1262936__R7J1T7__BN799_01864
ERR1912995.7042865__1.7042865	1628085__A0A396QC65__C7386_101113
ERR1912995.7043286__1.7043286	45851__D4RW43__BUTYVIB_00173
ERR1912995.7043503__1.7043503	1262936__R7IY41__BN799_00608
ERR1912995.7043524__1.7043524	1262911__R6GJ95__BN557_01617
ERR1912995.7043803__1.7043803	853__A0A3E2U7E6__ERS852582_01640
ERR1912995.7043948__1.7043948	45851__D4RWN7__BHV86_06150
ERR1912995.7044213__1.7044213	2022527__A0A264Y5Y7__CHL74_10300
ERR1912995.7044582__1.7044582	1628085__A0A374VUP1__C7386_10971
ERR1912995.7044569__1.7044569	165179__A0A174W369__PREVCOP_04548
ERR1912995.7044609__1.7044609	1262911__R6GPC5__BN557_00852
ERR1912995.7045131__1.7045131	74426__rpoB
ERR1912995.7045307__1.7045307	165179__D1P9T6__PREVCOP_04016
ERR1912995.7045556__1.7045556	1262936__R7J204__BN799_01701
ERR1912995.7045604__1.7045604	301302__R5UNJ6__M72_26701
ERR1912995.7045640__1.7045640	74426__group_4823
ERR1912995.7045755__1.7045755	301302__R5UNJ6__M72_26701
ERR1912995.7045868__1.7045868	214856__A0A174EQR4__rsmA
ERR1912995.7046151__1.7046151	301302__R5UNJ6__M72_26701
ERR1912995.7046267__1.7046267	572010__group_1977
ERR1912995.7046384__1.7046384	1262911__R6GKS1__BN557_00184
ERR1912995.7046489__1.7046489	1263000__R5EXF8__BN466_01942
ERR1912995.7046546__1.7046546	1680__A7A7Z9__AAX71_05385
ERR1912995.7046694__1.7046694	1680__A7A7Z9__AAX71_05385
ERR1912995.7046777__1.7046777	1262936__R7J1S4__BN799_01918
ERR1912995.7046896__1.7046896	1263006__R6LR21__BN515_00462
ERR1912995.7047021__1.7047021	1680__A0A0B5BIU5__BSTER_0145
ERR1912995.7047103__1.7047103	39491__A0A173RA59__EUR_24800
ERR1912995.7047612__1.7047612	28116__A0A1Y4Q112__evgS_13
ERR1912995.7047677__1.7047677	1262936__R7J0Z2__BN799_00650
ERR1912995.7048036__1.7048036	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912995.7048048__1.7048048	74426__rpoC
ERR1912995.7048093__1.7048093	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912995.7048160__1.7048160	45851__D4S1R9__BHV86_08150
ERR1912995.7048294__1.7048294	45851__D4S1R9__BHV86_08150
ERR1912995.7048440__1.7048440	1680__A0A087DKM6__B0042_0664
ERR1912995.7048668__1.7048668	147206__GCF_000156215.1_01777
ERR1912995.7048816__1.7048816	61171__B9Y5T8__HOLDEFILI_01170
ERR1912995.7049166__1.7049166	552398__F4XCR9__HMPREF0866_01636
ERR1912995.7049349__1.7049349	301302__A0A173UN64__manA_2
ERR1912995.7049617__1.7049617	1680__A0A173XYA2__B0703_0121
ERR1912995.7050265__1.7050265	28052__R7N9Y1__spoIIE
ERR1912995.7050344__1.7050344	1262911__R6GVN8__BN557_01732
ERR1912995.7050529__1.7050529	1262911__R6GR13__BN557_00618
ERR1912995.7050591__1.7050591	1262919__R5P6R9__BN465_01120
ERR1912995.7050619__1.7050619	1628085__A0A2U1BAW1__C7386_11048
ERR1912995.7050789__1.7050789	147206__GCF_000156215.1_01777
ERR1912995.7050796__1.7050796	1262816__R6C907__BN687_02324
ERR1912995.7050945__1.7050945	2022527__A0A264Y7D2__CHL74_07285
ERR1912995.7051041__1.7051041	1628085__A0A2U1BGN2__C7386_10147
ERR1912995.7051165__1.7051165	1660__A7BAY1__ACTODO_00798
ERR1912995.7051211__1.7051211	1262936__R7IZC2__BN799_01006
ERR1912995.7051313__1.7051313	1680__A0A087DKM6__B0042_0664
ERR1912995.7051319__1.7051319	901__B6WX14__mviN
ERR1912995.7051355__1.7051355	901__B6WX14__mviN
ERR1912995.7051864__1.7051864	165179__D1PE06__DXC61_05975
ERR1912995.7051888__1.7051888	901__B6WXF1__DESPIGER_1660
ERR1912995.7052203__1.7052203	45851__R5LTQ3__BHV86_02315
ERR1912995.7052212__1.7052212	1262959__R5YDI8__BN680_00380
ERR1912995.7052373__1.7052373	1263006__R6LYS1__BN515_01485
ERR1912995.7052512__1.7052512	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912995.7052478__1.7052478	1897011__A0A1Q6RGE1__BHW41_02880
ERR1912995.7052568__1.7052568	1262882__R5N678__BN519_01604
ERR1912995.7052966__1.7052966	29361__B6FLM7__CLONEX_01049
ERR1912995.7053373__1.7053373	1262936__R7J358__BN799_01390
ERR1912995.7053461__1.7053461	2022527__A0A264Y8G4__CHL74_05770
ERR1912995.7053578__1.7053578	301302__A0A173RQG1__M72_18491
ERR1912995.7053742__1.7053742	572010__ppdK
ERR1912995.7053787__1.7053787	147206__GCF_000156215.1_01776
ERR1912995.7053863__1.7053863	1550024__G9RXH7__TQ39_11565
ERR1912995.7053982__1.7053982	39485__A0A174ZKZ4__spoIIQ_1
ERR1912995.7054033__1.7054033	74426__purL
ERR1912995.7054109__1.7054109	1628085__A0A374VS54__C7386_101156
ERR1912995.7054287__1.7054287	357276__A0A0K2HDP3__IY41_00705
ERR1912995.7054401__1.7054401	147206__GCF_000156215.1_01776
ERR1912995.7054833__1.7054833	1262936__R7IZZ2__BN799_01307
ERR1912995.7054977__1.7054977	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1912995.7055228__1.7055228	901__B6WXK9__DESPIG_02836
ERR1912995.7055276__1.7055276	1656__F2V186__HMPREF0059_02447
ERR1912995.7055405__1.7055405	239935__A0A139TPG3__CXT86_08810
ERR1912995.7055465__1.7055465	1262936__R7J5X5__BN799_00356
ERR1912995.7055447__1.7055447	1680__A0A087DHN0__AL0462_1532
ERR1912995.7055514__1.7055514	1897011__A0A1Q6RIA0__BHW41_01275
ERR1912995.7055611__1.7055611	1262936__R7J0Z2__BN799_00650
ERR1912995.7056353__1.7056353	147206__GCF_000156215.1_01774
ERR1912995.7056397__1.7056397	2317__A0A1D2WFU6__Msp_0119
ERR1912995.7056627__1.7056627	418240__C6JAW2__ygaD
ERR1912995.7056874__1.7056874	901__B6WRI8__DHV46_05150
ERR1912995.7057008__1.7057008	301302__A0A173T1J1__M72_18951
ERR1912995.7057074__1.7057074	239935__A0A2N8HAQ1__DEF40_05290
ERR1912995.7057214__1.7057214	1680__R5GR82__AD0028_0014
ERR1912995.7057468__1.7057468	74426__gap
ERR1912995.7057940__1.7057940	1897011__A0A1Q6RIA0__BHW41_01275
ERR1912995.7058269__1.7058269	572010__ttrB_1
ERR1912995.7058418__1.7058418	147206__GCF_000156215.1_01777
ERR1912995.7058536__1.7058536	35833__S2KT88__HMPREF0179_05280
ERR1912995.7058554__1.7058554	33043__A0A174EE68__rimP
ERR1912995.7058598__1.7058598	39485__C4Z6J9__ERS852492_02049
ERR1912995.7058650__1.7058650	45851__D4S283__BUTYVIB_02205
ERR1912995.7058664__1.7058664	33043__A0A174EE68__rimP
ERR1912995.7058665__1.7058665	1299998__GCA_001494635.1_00302
ERR1912995.7058718__1.7058718	301302__R5UNJ6__M72_26701
ERR1912995.7058763__1.7058763	1897011__A0A1Q6REV3__BHW41_04080
ERR1912995.7058823__1.7058823	1262936__R7J1E6__BN799_01664
ERR1912995.7058889__1.7058889	45851__D4RYI3__BHV86_01630
ERR1912995.7059162__1.7059162	39485__C4Z355__ERS852490_01971
ERR1912995.7059174__1.7059174	1680__A0A3E4SB79__BAD_1517
ERR1912995.7059184__1.7059184	1680__A0A087DHN0__AL0462_1532
ERR1912995.7059202__1.7059202	1263000__R5EZ76__BN466_00319
ERR1912995.7059227__1.7059227	301302__A0A173TWC1__phoR_7
ERR1912995.7059244__1.7059244	45851__D4S141__BHV86_05760
ERR1912995.7059339__1.7059339	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1912995.7059533__1.7059533	39485__A0A174YZE2__spoIIE
ERR1912995.7059541__1.7059541	33039__A0A174YJ10__ERS852502_01829
ERR1912995.7059966__1.7059966	290052__A0A0V8QDP3__ASU35_02330
ERR1912995.7059991__1.7059991	74426__pdxS
ERR1912995.7060022__1.7060022	39491__A0A395UWA3__DXB69_11805
ERR1912995.7060053__1.7060053	165179__A0A3E5E6S6__DXB80_07575
ERR1912995.7060061__1.7060061	1262936__R7J3N4__BN799_00434
ERR1912995.7060253__1.7060253	45851__D4RWC5__BHV86_07005
ERR1912995.7060259__1.7060259	39485__A0A174ZA08__EUBELI_01019
ERR1912995.7060485__1.7060485	853__A0A2A7B1Y7__C7K05_11930
ERR1912995.7060693__1.7060693	1680__A0A087DHN0__AL0462_1532
ERR1912995.7060816__1.7060816	1262936__R7J3B1__BN799_00034
ERR1912995.7061052__1.7061052	39491__C4Z9K7__EUBREC_0050
ERR1912995.7061199__1.7061199	39485__C4Z0G6__spoIVB
ERR1912995.7061242__1.7061242	1680__A0A374QDL4__LMG18897_0432
ERR1912995.7061258__1.7061258	1897011__A0A1Q6RJW7__BHW41_00060
ERR1912995.7061489__1.7061489	1262936__R7IYH4__BN799_00795
ERR1912995.7062063__1.7062063	1680__R5GRA4__ERS852382_01548
ERR1912995.7062070__1.7062070	1628085__A0A1C6CGB4__C7386_11411
ERR1912995.7062081__1.7062081	1263006__R6LYS1__BN515_01485
ERR1912995.7062225__1.7062225	1262988__R7N4U5__BN816_00495
ERR1912995.7062358__1.7062358	1160721__R6T157__BHW50_04000
ERR1912995.7062384__1.7062384	1262936__R7IZX4__BN799_00998
ERR1912995.7062706__1.7062706	1263000__R5EXT3__BN466_02213
ERR1912995.7063005__1.7063005	1262936__R7J420__BN799_00406
ERR1912995.7063026__1.7063026	1897011__A0A1Q6REW8__BHW41_04435
ERR1912995.7063122__1.7063122	1262936__R7J146__BN799_01697
ERR1912995.7063132__1.7063132	165179__A0A174W369__PREVCOP_04548
ERR1912995.7063178__1.7063178	1680__A7A7Z9__AAX71_05385
ERR1912995.7063427__1.7063427	1262936__R7J6F9__BN799_00540
ERR1912995.7063532__1.7063532	28111__E5WZI1__BACEGG_01444
ERR1912995.7063664__1.7063664	901__B6WR17__DHV46_00835
ERR1912995.7063688__1.7063688	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.7063756__1.7063756	1262936__R7IY33__BN799_00622
ERR1912995.7063762__1.7063762	39488__A0A173SXL5__DXD91_06505
ERR1912995.7063938__1.7063938	1262959__R5YEU3__BN680_00855
ERR1912995.7063942__1.7063942	1680__A0A1X3A951__AL0462_1583
ERR1912995.7063967__1.7063967	301302__A0A173SJJ1__ERS852420_01411
ERR1912995.7064076__1.7064076	1680__A0A374QDL4__LMG18897_0432
ERR1912995.7064187__1.7064187	1680__A0A087DHN0__AL0462_1532
ERR1912995.7064208__1.7064208	301302__R5VCB8__M72_07901
ERR1912995.7064244__1.7064244	1299998__GCA_001494635.1_00422
ERR1912995.7064658__1.7064658	1262911__R6GPA3__BN557_00827
ERR1912995.7064814__1.7064814	572010__ppdK
ERR1912995.7064825__1.7064825	1262919__R5PNW7__BN465_00903
ERR1912995.7065000__1.7065000	901__B6WTR4__DESPIGER_1248
ERR1912995.7065024__1.7065024	1299998__GCA_001494635.1_01825
ERR1912995.7065101__1.7065101	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.7065550__1.7065550	572010__hgdC_1
ERR1912995.7066028__1.7066028	1262936__R7J0U9__BN799_01484
ERR1912995.7066102__1.7066102	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.7066180__1.7066180	901__A0A1K1LGQ2__DESPIG_02072
ERR1912995.7066418__1.7066418	1262882__R5MSI5__BN519_01596
ERR1912995.7066534__1.7066534	821__E5UMZ6__BVU_1450
ERR1912995.7066660__1.7066660	301301__G2SZN8__RHOM_00825
ERR1912995.7066774__1.7066774	301301__G2SZN8__RHOM_00825
ERR1912995.7066941__1.7066941	45851__D4RYU3__BUTYVIB_01007
ERR1912995.7067219__1.7067219	1897011__A0A1Q6RDB1__BHW41_05850
ERR1912995.7067354__1.7067354	61171__B9Y5T8__HOLDEFILI_01170
ERR1912995.7067363__1.7067363	74426__nifJ
ERR1912995.7067365__1.7067365	1262761__R6QYZ5__BN606_00402
ERR1912995.7067372__1.7067372	1262959__R5XUW0__BN680_01859
ERR1912995.7067385__1.7067385	165179__A0A3E5EAM5__DXC61_07785
ERR1912995.7067730__1.7067730	1262936__R7J420__BN799_00406
ERR1912995.7067767__1.7067767	28052__A0A174KUL2__phoR_1
ERR1912995.7067965__1.7067965	147206__GCF_000156215.1_01777
ERR1912995.7068083__1.7068083	1262959__R5XVG5__BN680_00125
ERR1912995.7068167__1.7068167	1262936__R7IY41__BN799_00608
ERR1912995.7068227__1.7068227	384639__GCA_003096855.1_01180
ERR1912995.7068262__1.7068262	74426__group_4823
ERR1912995.7068324__1.7068324	74426__sufB
ERR1912995.7068591__1.7068591	1680__A0A174BEE7__BSTER_1311
ERR1912995.7068647__1.7068647	1680__A0A2R4G1K8__BBMN23_0315
ERR1912995.7069085__1.7069085	1897011__A0A1Q6RHX0__BHW41_00740
ERR1912995.7069584__1.7069584	74426__purL
ERR1912995.7069698__1.7069698	40518__R5DZ88__DXD93_06320
ERR1912995.7069758__1.7069758	1680__A0A174BEE7__BSTER_1311
ERR1912995.7069809__1.7069809	1262882__R5MMP8__BN519_01654
ERR1912995.7069977__1.7069977	1680__A0A174BEE7__BSTER_1311
ERR1912995.7070401__1.7070401	147206__GCF_000156215.1_01775
ERR1912995.7070731__1.7070731	28118__F9Z3G8__B5F99_01835
ERR1912995.7070969__1.7070969	1262882__R5MYX5__BN519_00333
ERR1912995.7071007__1.7071007	39485__A0A174ZUV1__tig_3
ERR1912995.7071081__1.7071081	216816__D6DBD5__DXC32_04335
ERR1912995.7071157__1.7071157	1262924__R7HQ14__BN585_00419
ERR1912995.7071449__1.7071449	28052__R7NCE0__ERS852499_00449
ERR1912995.7071478__1.7071478	239935__A0A2N8I3G2__CXT89_00720
ERR1912995.7071842__1.7071842	39485__A0A174YSU1__ERS852492_00576
ERR1912995.7072089__1.7072089	1680__A1A1R1__BIFADO_00076
ERR1912995.7072130__1.7072130	901__B6WTQ4__DESPIGER_1255
ERR1912995.7072567__1.7072567	239935__A0A2N8HL14__CXT98_09285
ERR1912995.7072682__1.7072682	39485__C4Z1Y9__EUBELI_00143
ERR1912995.7072838__1.7072838	40518__R5E426__DXD93_04485
ERR1912995.7073023__1.7073023	28111__E5WWI8__HMPREF1016_01036
ERR1912995.7073484__1.7073484	1680__A0A0C2YPV2__AL0462_1474
ERR1912995.7073528__1.7073528	172901__A0A2U1AV38__C8D82_1177
ERR1912995.7073845__1.7073845	1776045__A0A0U5J7K7__BN3456_00132
ERR1912995.7073900__1.7073900	40518__R5DVR2__RBL236_00303
ERR1912995.7073949__1.7073949	552398__F4XCQ4__HMPREF0866_01621
ERR1912995.7074025__1.7074025	1262936__R7J5J9__BN799_00247
ERR1912995.7074071__1.7074071	1262882__A0A356PSJ4__BN519_01180
ERR1912995.7074140__1.7074140	301302__A0A0M6WRT7__ERS852420_02104
ERR1912995.7074304__1.7074304	901__B6WXI1__DESPIGER_1636
ERR1912995.7074747__1.7074747	39491__A0A396FUZ3__phoR_1
ERR1912995.7074799__1.7074799	216816__C2GW26__chb
ERR1912995.7074771__1.7074771	39485__A0A174YMC1__recN
ERR1912995.7074820__1.7074820	1262882__R5MEW7__BN519_00010
ERR1912995.7075049__1.7075049	1262911__R6H2B5__BN557_01151
ERR1912995.7075294__1.7075294	1965570__A0A1Y4N3E0__B5F08_11630
ERR1912995.7075462__1.7075462	239935__A0A2N8I1R3__CXU05_06075
ERR1912995.7075768__1.7075768	216816__C2GUV2__APC1478_0430
ERR1912995.7075842__1.7075842	1262959__R5XZZ3__BN680_01211
ERR1912995.7075878__1.7075878	901__B6WQD5__DESPIG_00255
ERR1912995.7076034__1.7076034	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1912995.7076058__1.7076058	901__B6WTW8__DESPIGER_1202
ERR1912995.7076084__1.7076084	712888__U1R9R7__HMPREF0043_01909
ERR1912995.7076466__1.7076466	357276__B6VXX7__HMPREF1063_02683
ERR1912995.7076531__1.7076531	853__A0A173T6P2__DWZ46_14595
ERR1912995.7076663__1.7076663	471189__GCA_003340385.1_00694
ERR1912995.7076665__1.7076665	1262936__R7J420__BN799_00406
ERR1912995.7076759__1.7076759	147206__GCF_000156215.1_01776
ERR1912995.7076764__1.7076764	1628085__A0A3E2Y1L0__C7386_11254
ERR1912995.7076834__1.7076834	74426__rpoB
ERR1912995.7076887__1.7076887	1150298__A0A174T452__kfoC_3
ERR1912995.7076961__1.7076961	1680__A0A1E7Y0K2__DXC59_05185
ERR1912995.7077175__1.7077175	2022527__A0A264YA09__CHL74_03035
ERR1912995.7077268__1.7077268	2022527__A0A264YA09__CHL74_03035
ERR1912995.7077863__1.7077863	40518__R5DR72__RBL236_02110
ERR1912995.7077842__1.7077842	74426__group_4823
ERR1912995.7077966__1.7077966	28111__R5JPB6__NCTC11155_02514
ERR1912995.7078094__1.7078094	1262924__R7HM72__BN585_01169
ERR1912995.7078742__1.7078742	39485__A0A174Z9M2__yhbU_1
ERR1912995.7078764__1.7078764	1262988__R7N2E1__BN816_02359
ERR1912995.7078787__1.7078787	1262936__R7IZZ2__BN799_01307
ERR1912995.7078799__1.7078799	572010__ppdK
ERR1912995.7079195__1.7079195	45851__D4RXK7__BUTYVIB_00558
ERR1912995.7079261__1.7079261	454154__G5SPP3__HMPREF9441_01326
ERR1912995.7079451__1.7079451	301302__R5UKP4__cbiT
ERR1912995.7079588__1.7079588	1680__A0A174BEE7__BSTER_1311
ERR1912995.7080059__1.7080059	1263107__GCA_000436995.1_00255
ERR1912995.7080121__1.7080121	901__B6WPV2__DHV46_04070
ERR1912995.7080154__1.7080154	1262919__R5PFI3__BN465_02148
ERR1912995.7080408__1.7080408	901__B6WQV8__DESPIG_00437
ERR1912995.7080467__1.7080467	1262882__R5N532__BN519_01420
ERR1912995.7080803__1.7080803	172901__A0A2U1ASZ8__C8D82_1208
ERR1912995.7080814__1.7080814	1550024__G9RT56__TQ39_09200
ERR1912995.7080952__1.7080952	1262882__R5MM25__BN519_00600
ERR1912995.7081068__1.7081068	706562__GCA_900112995.1_00651
ERR1912995.7081129__1.7081129	301302__R5UM41__M72_15921
ERR1912995.7081135__1.7081135	301302__A0A173S3L8__vpr
ERR1912995.7081168__1.7081168	410072__A0A173U3R3__COPCOM_01404
ERR1912995.7081661__1.7081661	1262936__R7J2M9__BN799_00249
ERR1912995.7081832__1.7081832	39491__A0A395UWZ1__DXC13_02175
ERR1912995.7081863__1.7081863	572010__nifJ
ERR1912995.7081893__1.7081893	45851__R5LYR7__BHV86_03710
ERR1912995.7082085__1.7082085	901__B6WUH5__DESPIGER_1779
ERR1912995.7082358__1.7082358	147206__GCF_000156215.1_01773
ERR1912995.7082340__1.7082340	1262911__R6H1A6__BN557_01286
ERR1912995.7082514__1.7082514	1680__A0A1X3A951__AL0462_1583
ERR1912995.7082560__1.7082560	45851__D4RYC5__BHV86_01930
ERR1912995.7082688__1.7082688	1262911__R6GS52__BN557_00834
ERR1912995.7082909__1.7082909	572010__hgdC_1
ERR1912995.7083344__1.7083344	165179__D1PCL6__DXB80_13435
ERR1912995.7083580__1.7083580	1262911__R6GW73__BN557_00128
ERR1912995.7083624__1.7083624	1263006__R6LQ17__BN515_02097
ERR1912995.7083903__1.7083903	216816__A0A395XYV2__APC1468_1887
ERR1912995.7083965__1.7083965	1680__A7A7Z9__AAX71_05385
ERR1912995.7084174__1.7084174	1262936__R7J6F9__BN799_00540
ERR1912995.7084224__1.7084224	301302__A0A0M6WI31__znuC_2
ERR1912995.7084436__1.7084436	1680__A0A087DHN0__AL0462_1532
ERR1912995.7084821__1.7084821	1262959__R5YGY6__BN680_01546
ERR1912995.7085255__1.7085255	1897011__A0A1Q6RIP7__BHW41_00530
ERR1912995.7085342__1.7085342	28052__R7NFJ0__lytR_8
ERR1912995.7085392__1.7085392	216816__D6DBD5__DXC32_04335
ERR1912995.7085746__1.7085746	901__B6WYD7__DESPIG_03118
ERR1912995.7086319__1.7086319	301302__A0A173T0N8__ERS852420_01792
ERR1912995.7086428__1.7086428	1897011__A0A1Q6RGG6__BHW41_02770
ERR1912995.7086768__1.7086768	39485__A0A174YVS4__EUBELI_00620
ERR1912995.7086799__1.7086799	1680__A0A374QDL4__LMG18897_0432
ERR1912995.7087180__1.7087180	301302__R5VFU2__xynA1
ERR1912995.7087264__1.7087264	147206__GCF_000156215.1_01774
ERR1912995.7087785__1.7087785	147206__GCF_000156215.1_01776
ERR1912995.7088208__1.7088208	45851__D4RYC5__BHV86_01930
ERR1912995.7088364__1.7088364	74426__purL
ERR1912995.7088649__1.7088649	1680__A0A174BEE7__BSTER_1311
ERR1912995.7088884__1.7088884	1628085__A0A1C5YAJ9__C7386_10197
ERR1912995.7089112__1.7089112	1680__A0A174BH90__B0487_1759
ERR1912995.7089147__1.7089147	1262936__R7J360__BN799_00345
ERR1912995.7089379__1.7089379	1680__A0A174BEE7__BSTER_1311
ERR1912995.7089396__1.7089396	1262911__R6GLA5__BN557_01456
ERR1912995.7089430__1.7089430	901__B6WUY7__DHV46_11425
ERR1912995.7089471__1.7089471	39491__A0A395V0E5__ERE_31370
ERR1912995.7089898__1.7089898	45851__R5LRK0__BUTYVIB_00520
ERR1912995.7089910__1.7089910	1680__A0A173XYA2__B0703_0121
ERR1912995.7090101__1.7090101	1262936__R7IYJ1__BN799_00810
ERR1912995.7090285__1.7090285	28052__R7NF63__ERS852499_01792
ERR1912995.7090449__1.7090449	28111__R5JN40__HMPREF1016_01803
ERR1912995.7090776__1.7090776	147206__GCF_000156215.1_01777
ERR1912995.7090923__1.7090923	147206__GCF_000156215.1_01772
ERR1912995.7090936__1.7090936	2022527__A0A264YA09__CHL74_03035
ERR1912995.7091034__1.7091034	1263027__R7AVM8__BN699_01088
ERR1912995.7091420__1.7091420	301302__A0A0M6WH46__M72_23101
ERR1912995.7091522__1.7091522	1897011__A0A1Q6RC19__BHW41_06415
ERR1912995.7091584__1.7091584	1262936__R7J1X7__BN799_01807
ERR1912995.7091718__1.7091718	1263000__R5EXT3__BN466_02213
ERR1912995.7091805__1.7091805	626940__R6WR72__HMPREF9443_00288
ERR1912995.7091911__1.7091911	39485__C4Z390__EUBELI_01689
ERR1912995.7091964__1.7091964	40518__R5E1J7__RBL236_02062
ERR1912995.7092029__1.7092029	1680__A0A374QDL4__LMG18897_0432
ERR1912995.7092373__1.7092373	39485__R5ZT06__EUBELI_20526
ERR1912995.7092422__1.7092422	301302__A0A0M6WH46__M72_23101
ERR1912995.7092414__1.7092414	39485__A0A174Z7G5__EUBELI_01168
ERR1912995.7092683__1.7092683	901__B6WUH5__DESPIGER_1779
ERR1912995.7092684__1.7092684	165179__A0A3E5E2S3__DXB80_03455
ERR1912995.7092778__1.7092778	2173__A0A1D2WXH6__METSMIALI_01616
ERR1912995.7093486__1.7093486	1262911__R6H2J2__BN557_01228
ERR1912995.7093638__1.7093638	1262936__R7J2K7__BN799_00229
ERR1912995.7093716__1.7093716	572010__ppdK
ERR1912995.7093971__1.7093971	147206__GCF_000156215.1_01777
ERR1912995.7094256__1.7094256	1689__D2Q726__BIFDEN_00740
ERR1912995.7094271__1.7094271	853__A0A3E2V168__FAEPRAM212_00929
ERR1912995.7094472__1.7094472	1262936__R7IY18__BN799_00607
ERR1912995.7094640__1.7094640	901__B6WXX4__DESPIGER_1515
ERR1912995.7094778__1.7094778	147206__GCF_000156215.1_01776
ERR1912995.7094786__1.7094786	301302__A0A173R1Q9__M72_20711
ERR1912995.7094919__1.7094919	853__A0A3E2U7E6__ERS852582_01640
