ERR1913271.7__1.7	1628085__A0A396QTT4__C7386_103139
ERR1913271.649365__1.649365	821__A6L0C7__ERS852556_03520
ERR1913271.649579__1.649579	853__A0A173XRA8__CGS56_09290
ERR1913271.649580__1.649580	166486__D4L458__ROSINTL182_07088
ERR1913271.650095__1.650095	821__A0A395UNT8__DXD64_15275
ERR1913271.650155__1.650155	28052__A0A174YNL0__ERS852499_00232
ERR1913271.650247__1.650247	218538__C9LQG5__GCWU000321_01796
ERR1913271.650293__1.650293	853__A0A2A7B9I6__DW855_13690
ERR1913271.650358__1.650358	166486__D4KZA5__ERS852572_03317
ERR1913271.650544__1.650544	818__A0A3E5HNS1__BSIG_0465
ERR1913271.650631__1.650631	166486__D4KZY5__ROSINTL182_07635
ERR1913271.650648__1.650648	817__A0A396C3S8__CQW36_02929
ERR1913271.651132__1.651132	166486__D4KYD7__ERS852572_03817
ERR1913271.651137__1.651137	1262992__R5D3T4__BN795_00483
ERR1913271.651436__1.651436	818__A0A174LFW3__C5Z03_04710
ERR1913271.651558__1.651558	649756__A0A173S591__CL2_28060
ERR1913271.651601__1.651601	1262992__R5CYZ3__BN795_01363
ERR1913271.651901__1.651901	487174__K0WV13__DIT83_10890
ERR1913271.651843__1.651843	166486__D4L458__ROSINTL182_07088
ERR1913271.652070__1.652070	853__A0A3E2V168__FAEPRAM212_00929
ERR1913271.652304__1.652304	487174__K0X3L3__DDY40_11345
ERR1913271.652625__1.652625	818__A0A3E5HN72__C799_03359
ERR1913271.652634__1.652634	487174__K0X3E9__DDY40_04905
ERR1913271.652636__1.652636	1150298__A0A174PXR1__ERS852406_02747
ERR1913271.652892__1.652892	649756__B0P2G4__HMPREF0369_01300
ERR1913271.652885__1.652885	649756__A0A174SER1__HMPREF0369_00070
ERR1913271.653040__1.653040	166486__D4KY48__gmr_5
ERR1913271.652954__1.652954	1304__A0A2I1TLS3__DL07_03485
ERR1913271.653236__1.653236	166486__R6AY46__ROSINTL182_06128
ERR1913271.653352__1.653352	166486__C7GCP5__ROSINTL182_07683
ERR1913271.653419__1.653419	1150298__R7JPI7__cotI
ERR1913271.653509__1.653509	166486__D4L337__msbA_4
ERR1913271.653587__1.653587	821__D4VC51__M099_1508
ERR1913271.653609__1.653609	166486__C7GE31__ganB_3
ERR1913271.654024__1.654024	1262899__R7JBQ0__BN657_00343
ERR1913271.654055__1.654055	487174__K0X2Q8__DDY40_04590
ERR1913271.654171__1.654171	817__A0A139T8G0__M114_1585
ERR1913271.654446__1.654446	166486__D4L0L1__ROSINTL182_08075
ERR1913271.654624__1.654624	214856__A0A174ZLY7__ERS852447_02456
ERR1913271.654646__1.654646	487174__K0WTW4__DDY40_12630
ERR1913271.654664__1.654664	218538__C9LQU3__GCWU000321_01925
ERR1913271.654677__1.654677	28117__B0MY40__BHV66_05170
ERR1913271.654727__1.654727	166486__D4L0Q4__ERS852572_03675
ERR1913271.654973__1.654973	1262899__R7J6C2__BN657_01589
ERR1913271.654979__1.654979	818__A0A174Q773__SAMN02910322_03683
ERR1913271.655166__1.655166	817__Q64W68__M125_1923
ERR1913271.655236__1.655236	166486__D4KYM4__ERS852572_02981
ERR1913271.655329__1.655329	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913271.655343__1.655343	649756__L1PU84__ERS852571_01295
ERR1913271.655364__1.655364	166486__D4L301__ROSINTL182_06234
ERR1913271.655490__1.655490	706562__GCA_900112995.1_02127
ERR1913271.655810__1.655810	166486__D4KWT8__ERS852572_01811
ERR1913271.656079__1.656079	1308__Q56S46__AMD33_01255
ERR1913271.656211__1.656211	821__A0A173XDD3__DXB82_17180
ERR1913271.656350__1.656350	218538__C9LPF0__GCWU000321_01429
ERR1913271.656568__1.656568	166486__C7GAX1__ERS852572_03188
ERR1913271.656743__1.656743	853__A0A329UEG4__CHR60_00585
ERR1913271.657334__1.657334	853__E2ZGD9__C7J97_11715
ERR1913271.657346__1.657346	1262992__R5CXK6__BN795_00999
ERR1913271.657402__1.657402	818__D7IK38__ERS852430_03017
ERR1913271.657457__1.657457	821__A0A174V2F3__NCTC10583_01474
ERR1913271.657566__1.657566	487174__K0X665__DIT83_12000
ERR1913271.657487__1.657487	1262899__R7J6U8__BN657_01620
ERR1913271.657492__1.657492	371601__G1UK36__HMPREF1074_03496
ERR1913271.657571__1.657571	487174__R5FJH0__DDY40_07055
ERR1913271.657730__1.657730	338188__C9L1Z5__ERS852397_00647
ERR1913271.658131__1.658131	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913271.658139__1.658139	817__F7LJR4__M149_0233
ERR1913271.658225__1.658225	28117__B0MSR5__BHV66_02095
ERR1913271.658196__1.658196	166486__D4KWM9__ROSINTL182_06036
ERR1913271.658283__1.658283	487174__K0WZ94__HMPREF9448_00984
ERR1913271.658357__1.658357	166486__D4KUE4__ROSINTL182_08606
ERR1913271.658809__1.658809	28116__A0A1Y4PHM7__DXA80_25130
ERR1913271.659094__1.659094	216816__A0A1D7MV89__EK5BL_04715
ERR1913271.659097__1.659097	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.659277__1.659277	487174__K0WUJ5__HMPREF9448_02567
ERR1913271.659629__1.659629	166486__D4KX29__ROSINTL182_09734
ERR1913271.659724__1.659724	853__A0A329UEG4__CHR60_00585
ERR1913271.659749__1.659749	166486__D4KZ14__inlA_1
ERR1913271.659900__1.659900	28117__B0MSS9__BHV66_06085
ERR1913271.660005__1.660005	818__A0A3E5HGB5__ERS852511_02145
ERR1913271.660094__1.660094	239935__R6JCH3__CXT95_08205
ERR1913271.660116__1.660116	649756__D4MWV1__DO83_00950
ERR1913271.660128__1.660128	28118__R6FFY9__DHW44_14630
ERR1913271.660175__1.660175	817__A0A015YR67__M130_0551
ERR1913271.660216__1.660216	853__E2ZGD9__C7J97_11715
ERR1913271.660219__1.660219	216816__B3DRU6__DPC6323_0992
ERR1913271.660374__1.660374	818__A0A0N7IB02__BT_3500
ERR1913271.660483__1.660483	40518__R5DPE0__DXD86_06515
ERR1913271.660519__1.660519	818__A0A3E5HEU1__NCTC10582_02468
ERR1913271.660710__1.660710	28052__A0A174GK20__ERS852451_00454
ERR1913271.660899__1.660899	817__A0A395WHI5__M113_3549
ERR1913271.661044__1.661044	818__Q8A3I3__HMPREF2534_00068
ERR1913271.661134__1.661134	1262992__R5CYZ3__BN795_01363
ERR1913271.661446__1.661446	147206__GCF_000156215.1_00014
ERR1913271.661710__1.661710	817__K1FR66__M075_3803
ERR1913271.661713__1.661713	821__A0A174NM17__lacZ_6
ERR1913271.661902__1.661902	1304__A0A1W5ZCY0__CKU37_03270
ERR1913271.661965__1.661965	817__A0A2M9UV73__HMPREF1018_04087
ERR1913271.662007__1.662007	818__A0A3E5HXH0__NCTC13706_02166
ERR1913271.662239__1.662239	1261__D3MR67__SAMN05660467_01650
ERR1913271.662242__1.662242	39485__C4Z058__ERS852492_00130
ERR1913271.662300__1.662300	166486__D4KZI1__ERS852572_00422
ERR1913271.662302__1.662302	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913271.662338__1.662338	556259__E5C7G5__BSGG_0441
ERR1913271.662441__1.662441	166486__C7G7A6__ROSINTL182_05773
ERR1913271.662701__1.662701	166486__D4L2C5__ERS852572_01688
ERR1913271.662727__1.662727	28116__A0A139LKF7__DXA80_16100
ERR1913271.662825__1.662825	214856__A0A174A1J3__ERS852447_01000
ERR1913271.663104__1.663104	853__A0A2A7B9I6__DW855_13690
ERR1913271.663127__1.663127	166486__D4L2C3__ERS852572_01686
ERR1913271.663271__1.663271	1262899__R7JF31__BN657_00918
ERR1913271.663281__1.663281	487174__K0X0F6__HMPREF9448_01444
ERR1913271.663334__1.663334	166486__D4L0G5__ROSINTL182_08176
ERR1913271.663425__1.663425	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913271.663449__1.663449	218538__C9LL79__GCWU000321_00015
ERR1913271.663476__1.663476	821__A0A397WGD6__M098_0084
ERR1913271.663692__1.663692	1262992__R5D3X7__BN795_00539
ERR1913271.663745__1.663745	166486__D4L0E1__ypdA_4
ERR1913271.663796__1.663796	28117__B0MXW9__ALIPUT_01981
ERR1913271.663924__1.663924	1150298__R7JTQ3__rne
ERR1913271.664168__1.664168	166486__D4L082__yicI_5
ERR1913271.664359__1.664359	28117__B0MTS2__ALIPUT_00159
ERR1913271.664468__1.664468	28117__R7JIY2__BHV66_06465
ERR1913271.664481__1.664481	166486__D4KXA3__ROSINTL182_05894
ERR1913271.664488__1.664488	33038__A0A2N5NUH9__CDL20_04330
ERR1913271.664559__1.664559	821__A6KZK3__ERS852457_04265
ERR1913271.664519__1.664519	1608898__F0EQA6__HMPREF3279_06030
ERR1913271.664690__1.664690	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913271.664651__1.664651	166486__D4L0L1__ROSINTL182_08075
ERR1913271.664967__1.664967	821__A0A0P0L8F8__ERS852509_03705
ERR1913271.664984__1.664984	28116__A0A1Y4Q119__DXD69_10975
ERR1913271.665062__1.665062	166486__D4KXZ7__ROSINTL182_05052
ERR1913271.665105__1.665105	818__A0A0P0FT56__BSIG_1453
ERR1913271.665172__1.665172	166486__D4KUE4__ROSINTL182_08606
ERR1913271.665268__1.665268	166486__C7GCP5__ROSINTL182_07683
ERR1913271.665320__1.665320	33035__A0A2S4GNQ3__C3R19_11850
ERR1913271.665383__1.665383	218538__C9LQR2__GCWU000321_01894
ERR1913271.665720__1.665720	487174__K0WX28__HMPREF9448_02178
ERR1913271.666052__1.666052	649756__A0A173S591__CL2_28060
ERR1913271.666613__1.666613	166486__D4KZ45__ROSINTL182_05738
ERR1913271.666712__1.666712	1550024__G9RP69__ASJ35_11625
ERR1913271.666823__1.666823	214856__A0A173ZQY0__ERS852559_00007
ERR1913271.666986__1.666986	818__A0A174VV39__BT_3492
ERR1913271.667019__1.667019	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913271.667178__1.667178	28117__B0MT86__BHV66_02450
ERR1913271.667256__1.667256	166486__D4KXJ6__ERS852572_00336
ERR1913271.667262__1.667262	166486__D4L1L1__ROSINTL182_05277
ERR1913271.667511__1.667511	39485__A0A174Z8V5__fliU_2
ERR1913271.667513__1.667513	706562__GCA_900112995.1_00664
ERR1913271.667796__1.667796	357276__I9QBT7__BSEG_03340
ERR1913271.667852__1.667852	853__A0A173YYY4__DWZ04_09420
ERR1913271.667917__1.667917	28116__A0A1Y4PHM7__DXA80_25130
ERR1913271.668004__1.668004	216816__D6ZW33__azlC
ERR1913271.668067__1.668067	166486__D4L458__ROSINTL182_07088
ERR1913271.668177__1.668177	818__A0A174N1L6__ERS852511_02039
ERR1913271.668248__1.668248	818__Q8A3I3__HMPREF2534_00068
ERR1913271.668392__1.668392	1262992__R5D546__BN795_00726
ERR1913271.668488__1.668488	166486__D4L458__ROSINTL182_07088
ERR1913271.668513__1.668513	487174__K0XRL3__HMPREF9448_00669
ERR1913271.668517__1.668517	214856__A0A173ZPR4__ERS852447_00928
ERR1913271.668641__1.668641	28118__R6FD01__B5F99_06665
ERR1913271.668717__1.668717	214856__A0A174G1M7__ERS852559_00594
ERR1913271.668816__1.668816	39485__A0A174ZQT9__EUBELI_20278
ERR1913271.669075__1.669075	1547__B0N1X6__DXB93_06205
ERR1913271.669148__1.669148	821__A0A3E4WAR6__DXD64_10735
ERR1913271.669230__1.669230	1739491__J1DK07__HMPREF2987_07410
ERR1913271.669313__1.669313	818__A0A139L1D5__BT_2967
ERR1913271.669370__1.669370	556259__I0PXW0__BSGG_5187
ERR1913271.669496__1.669496	166486__D4KY48__gmr_5
ERR1913271.669870__1.669870	817__A0A3E5IB15__M145_2707
ERR1913271.669888__1.669888	821__D4VD59__BHV80_04260
ERR1913271.669891__1.669891	487174__K0WZ94__HMPREF9448_00984
ERR1913271.669953__1.669953	218538__C9LQW2__GCWU000321_01944
ERR1913271.669988__1.669988	818__A0A3E5HEU1__NCTC10582_02468
ERR1913271.670182__1.670182	1150298__A0A174HHW8__yhbU_1
ERR1913271.670322__1.670322	817__A0A3E5IB15__M145_2707
ERR1913271.670350__1.670350	817__A0A0K6BZW7__CQW37_03867
ERR1913271.670416__1.670416	1150298__R7JUS2__ERS852498_02193
ERR1913271.670501__1.670501	166486__D4KX18__ROSINTL182_07596
ERR1913271.670570__1.670570	818__A0A3E5HDS4__BJP75_002620
ERR1913271.670599__1.670599	821__A0A174AYT0__DXC02_03530
ERR1913271.670728__1.670728	28116__A7M0E3__AA414_00536
ERR1913271.671029__1.671029	818__A0A3E5HN77__HMPREF2534_00072
ERR1913271.671109__1.671109	39488__A0A174GS53__dnaC_1
ERR1913271.671127__1.671127	821__A0A174NM17__lacZ_6
ERR1913271.671184__1.671184	1262743__R5C054__BN727_01980
ERR1913271.671595__1.671595	818__A0A174VV39__BT_3492
ERR1913271.671717__1.671717	853__A0A174C5M1__CGS58_04460
ERR1913271.671768__1.671768	649756__L1PXG6__CL2_21620
ERR1913271.671919__1.671919	1262992__R5D6H6__BN795_00284
ERR1913271.671963__1.671963	214856__A0A174ZEF7__mboIIM_1
ERR1913271.672014__1.672014	166486__D4L0B2__ERS852572_03035
ERR1913271.672125__1.672125	166486__D4L346__ROSINTL182_06263
ERR1913271.672166__1.672166	357276__I9QBT7__BSEG_03340
ERR1913271.672167__1.672167	166486__D4L458__ROSINTL182_07088
ERR1913271.672284__1.672284	357276__B6W1J2__BACDOR_03380
ERR1913271.672326__1.672326	166486__C7G8R8__ROSINTL182_06294
ERR1913271.672521__1.672521	28117__B0MWX3__BHV66_03010
ERR1913271.672525__1.672525	239935__A0A2N8IKW7__pstA
ERR1913271.672599__1.672599	1262873__R6WP19__BN605_01955
ERR1913271.672699__1.672699	166486__D4L301__ROSINTL182_06234
ERR1913271.672854__1.672854	166486__A0A173VSP1__ERS852572_03465
ERR1913271.672937__1.672937	218538__C9LPS8__GCWU000321_01558
ERR1913271.672941__1.672941	556259__E5C445__BSGG_0931
ERR1913271.673282__1.673282	487174__K0WY34__DDY40_07435
ERR1913271.673442__1.673442	818__A0A0P0F2P7__BT_1771
ERR1913271.673411__1.673411	818__Q8A335__HMPREF2534_01154
ERR1913271.673538__1.673538	649756__B0P4Q3__ERS852425_01640
ERR1913271.673820__1.673820	216816__A0A0A6VPB9__B624_1780
ERR1913271.674076__1.674076	28117__B0MY45__ALIPUT_02164
ERR1913271.674125__1.674125	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913271.674337__1.674337	39485__R5ZRS0__EUBELI_20324
ERR1913271.674370__1.674370	821__R6F3Y1__SAMN04487923_104318
ERR1913271.674411__1.674411	821__A0A3E4KIM1__M097_3660
ERR1913271.674579__1.674579	818__A0A3E5HN72__C799_03359
ERR1913271.674606__1.674606	853__A8S882__C4N23_07600
ERR1913271.674676__1.674676	1343__E8KXH9__HMPREF9192_0530
ERR1913271.674742__1.674742	818__A0A0N7IB02__BT_3500
ERR1913271.674922__1.674922	487174__K0XDI7__DIT83_12065
ERR1913271.675035__1.675035	1263044__GCA_000433375.1_01159
ERR1913271.675088__1.675088	166486__D4KVZ0__ERS852572_03130
ERR1913271.675335__1.675335	28118__R6F1R3__NCTC10826_00739
ERR1913271.675497__1.675497	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913271.675726__1.675726	1262992__R5CY03__BN795_01148
ERR1913271.675735__1.675735	649756__A0A174L4G4__cls_1
ERR1913271.675847__1.675847	166486__D4KZY5__ROSINTL182_07635
ERR1913271.675959__1.675959	292800__G9YN70__ERS852504_04698
ERR1913271.675971__1.675971	28117__B0MTW8__ALIPUT_00502
ERR1913271.676067__1.676067	853__A0A173XRA8__CGS56_09290
ERR1913271.676104__1.676104	166486__D4KJ71__ERS852572_03479
ERR1913271.676514__1.676514	166486__C7G8R8__ROSINTL182_06294
ERR1913271.676706__1.676706	166486__D4KZP0__ERS852572_00486
ERR1913271.677103__1.677103	28116__A0A078Q626__HMPREF1070_02735
ERR1913271.677140__1.677140	818__A0A0P0FI06__BJP75_017205
ERR1913271.677215__1.677215	817__A0A081UA45__M112_0802
ERR1913271.677357__1.677357	28117__B0MUY3__BHV66_00515
ERR1913271.677398__1.677398	166486__D4L2T9__lytM
ERR1913271.677802__1.677802	821__A0A395UNT8__DXD64_15275
ERR1913271.677828__1.677828	1150298__A0A174D6N6__accB
ERR1913271.677918__1.677918	166486__D4KWT3__ROSINTL182_05973
ERR1913271.678086__1.678086	28117__B0N028__BHV66_05935
ERR1913271.678216__1.678216	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913271.678603__1.678603	33038__A0A2N5NWR8__CDL18_14140
ERR1913271.678653__1.678653	1318__E8K6Z8__gtfB
ERR1913271.678771__1.678771	706562__GCA_900112995.1_01875
ERR1913271.678879__1.678879	487174__K0XRP0__DDY40_09260
ERR1913271.679055__1.679055	853__A0A2A7B9I6__DW855_13690
ERR1913271.679087__1.679087	166486__D4KU79__ROSINTL182_06970
ERR1913271.679277__1.679277	821__A0A0P0M405__DXC02_15075
ERR1913271.679324__1.679324	1262899__R7JAY0__BN657_01928
ERR1913271.679451__1.679451	33038__A0A396G855__CDL23_11555
ERR1913271.679875__1.679875	649756__L1PU84__ERS852571_01295
ERR1913271.680009__1.680009	166486__D4L255__mcp4_5
ERR1913271.680288__1.680288	817__E1WSY2__CQW38_02197
ERR1913271.680484__1.680484	818__A0A1H7L4U6__BSIG_3287
ERR1913271.680605__1.680605	166486__A0A173RAP7__ROSINTL182_07969
ERR1913271.680625__1.680625	166486__A0A1Q6SA53__ROSINTL182_05714
ERR1913271.680653__1.680653	28117__B0MXR4__BHV66_08025
ERR1913271.680753__1.680753	166486__D4KU79__ROSINTL182_06970
ERR1913271.680955__1.680955	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913271.681058__1.681058	817__A0A081TV60__M077_1122
ERR1913271.681016__1.681016	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.681333__1.681333	818__Q8A335__HMPREF2534_01154
ERR1913271.681377__1.681377	166486__D4L082__yicI_5
ERR1913271.681580__1.681580	853__A0A329UEG4__CHR60_00585
ERR1913271.681785__1.681785	166486__D4KVZ0__ERS852572_03130
ERR1913271.682199__1.682199	818__A0A174WSX6__Btheta7330_01915
ERR1913271.682330__1.682330	556259__E5CDI7__BSGG_3510
ERR1913271.682264__1.682264	572010__adhR
ERR1913271.682428__1.682428	166486__D4L1P5__ERS852572_00758
ERR1913271.682571__1.682571	487174__K0X3H8__HMPREF9448_02822
ERR1913271.682784__1.682784	166486__D4L1H3__sacC
ERR1913271.683042__1.683042	821__A0A174JYD3__ERS852457_02610
ERR1913271.683013__1.683013	290052__A0A0V8QC42__ASU35_14215
ERR1913271.683254__1.683254	817__A0A2M9UTG6__M122_3618
ERR1913271.683362__1.683362	208479__A8S1Z7__HMPREF9472_01229
ERR1913271.683499__1.683499	487174__K0WYG0__DDY40_00295
ERR1913271.683554__1.683554	166486__D4KZY4__ERS852572_03347
ERR1913271.683658__1.683658	1262992__R5DBE5__BN795_01410
ERR1913271.683718__1.683718	818__A0A3E5GYI4__NCTC10582_00013
ERR1913271.683800__1.683800	166486__C7GAX1__ERS852572_03188
ERR1913271.683824__1.683824	649756__D4MUZ2__ERS852571_00392
ERR1913271.683899__1.683899	817__A0A0E2TEJ6__DXD74_00265
ERR1913271.684100__1.684100	166486__D4KZ14__inlA_1
ERR1913271.684302__1.684302	817__Q64U85__M125_2680
ERR1913271.684338__1.684338	218538__C9LPS9__GCWU000321_01559
ERR1913271.684511__1.684511	166486__D4KUK5__thiM
ERR1913271.684598__1.684598	818__A0A174RFL1__ERS852511_03380
ERR1913271.684793__1.684793	487174__K0WRI1__DIT83_06780
ERR1913271.684871__1.684871	487174__R5F4K8__HMPREF9448_01532
ERR1913271.685300__1.685300	649756__B0P4Q3__ERS852425_01640
ERR1913271.685410__1.685410	218538__C9LQR2__GCWU000321_01894
ERR1913271.685450__1.685450	166486__D4KZ24__ROSINTL182_05766
ERR1913271.685465__1.685465	487174__R5EP60__DIT83_09045
ERR1913271.685534__1.685534	1262992__R5D1T0__BN795_01079
ERR1913271.685645__1.685645	1262873__R6W7K1__BN605_00519
ERR1913271.685664__1.685664	818__A0A174WSX6__Btheta7330_01915
ERR1913271.685729__1.685729	1262743__R5C054__BN727_01980
ERR1913271.686068__1.686068	649756__B0NZX5__lytC_2
ERR1913271.686105__1.686105	39488__A0A174GS53__dnaC_1
ERR1913271.686153__1.686153	28117__B0MWZ9__ALIPUT_01735
ERR1913271.686227__1.686227	218538__C9LM11__GCWU000321_00543
ERR1913271.686330__1.686330	166486__D4KZ45__ROSINTL182_05738
ERR1913271.686350__1.686350	821__A0A174RA14__M099_1655
ERR1913271.686501__1.686501	166486__D4KWZ7__cph2_5
ERR1913271.686571__1.686571	487174__K0WXB5__DIT83_09520
ERR1913271.686656__1.686656	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913271.686695__1.686695	821__A0A3E4KIM1__M097_3660
ERR1913271.686698__1.686698	821__A0A396F9T7__M097_3427
ERR1913271.686757__1.686757	821__A0A395UNT8__DXD64_15275
ERR1913271.686776__1.686776	818__A0A3E5HE16__C5Z03_22745
ERR1913271.686793__1.686793	166486__D4KZH8__ERS852572_00419
ERR1913271.687504__1.687504	28118__F9ZBG8__DHW44_04410
ERR1913271.687451__1.687451	1628085__A0A374VLK9__C7386_1227
ERR1913271.687648__1.687648	166486__A0A173V5I7__ERS852572_02640
ERR1913271.687680__1.687680	28117__B0MY82__BHV66_04755
ERR1913271.688040__1.688040	649756__B0NZI4__DCR88_08000
ERR1913271.688077__1.688077	166486__D4KZH8__ERS852572_00419
ERR1913271.688204__1.688204	39485__C4Z2I5__ERS852492_02214
ERR1913271.688371__1.688371	853__A0A329UEG4__CHR60_00585
ERR1913271.688463__1.688463	166486__C7G7A6__ROSINTL182_05773
ERR1913271.688484__1.688484	29361__B6FRT6__CLONEX_02860
ERR1913271.688650__1.688650	2108523__A0A2P2F6J0__LAWASA_1646
ERR1913271.688716__1.688716	166486__D4KUK5__thiM
ERR1913271.688770__1.688770	166486__D4KWT3__ROSINTL182_05973
ERR1913271.689172__1.689172	821__C3RB94__DXC03_15585
ERR1913271.689286__1.689286	166486__C7GFD3__ERS852572_00983
ERR1913271.689387__1.689387	1263044__GCA_000433375.1_01161
ERR1913271.689702__1.689702	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913271.689810__1.689810	39490__U2Q312__ERS852448_03061
ERR1913271.689892__1.689892	166486__C7GCP5__ROSINTL182_07683
ERR1913271.689979__1.689979	821__A0A174NVL6__NCTC10583_01782
ERR1913271.690081__1.690081	821__A0A0P0LH09__ERS852457_03390
ERR1913271.690094__1.690094	29361__B6FRT6__CLONEX_02860
ERR1913271.690365__1.690365	649756__D4MW45__DCR88_11455
ERR1913271.690442__1.690442	166486__A0A173V5I7__ERS852572_02640
ERR1913271.690515__1.690515	39485__A0A174ZA08__EUBELI_01019
ERR1913271.690520__1.690520	292800__A0A174M480__ADH75_04280
ERR1913271.690602__1.690602	166486__D4KJ71__ERS852572_03479
ERR1913271.690628__1.690628	818__A0A0P0F989__BJP75_019080
ERR1913271.690818__1.690818	1262992__R5D9A6__BN795_00819
ERR1913271.690997__1.690997	166486__D4L0L8__ROSINTL182_08063
ERR1913271.691087__1.691087	817__A0A1C0WL28__M105_1851
ERR1913271.691325__1.691325	74426__rpoB
ERR1913271.691471__1.691471	818__A0A139K2A0__SAMN02910322_00898
ERR1913271.691624__1.691624	817__D1JRD2__M114_0509
ERR1913271.691581__1.691581	2108523__A0A2P2F3I9__LAWASA_555
ERR1913271.691703__1.691703	1262948__R7E7S9__BN671_01345
ERR1913271.691793__1.691793	817__A0A139T8G0__M114_1585
ERR1913271.691815__1.691815	1628085__A0A2U1BAW1__C7386_11048
ERR1913271.691876__1.691876	818__A0A139K1T6__SAMN05216253_11033
ERR1913271.691880__1.691880	166486__D4L1D0__ROSINTL182_06446
ERR1913271.691977__1.691977	166486__D4KWW1__ERS852572_01795
ERR1913271.692360__1.692360	28117__B0MY45__ALIPUT_02164
ERR1913271.692421__1.692421	39488__A0A173Z481__EHLA_2436
ERR1913271.692455__1.692455	821__A0A174WBC9__ERS852556_03145
ERR1913271.692569__1.692569	418240__A0A173WVP8__acm
ERR1913271.692765__1.692765	292800__U2CET9__ADH75_02630
ERR1913271.692812__1.692812	817__A0A396BRW8__gldM
ERR1913271.693000__1.693000	28117__B0MWZ9__ALIPUT_01735
ERR1913271.693032__1.693032	166486__A0A173VSA0__ROSINTL182_06124
ERR1913271.693033__1.693033	1262911__R6H2J2__BN557_01228
ERR1913271.693095__1.693095	649756__A0A173S1U5__DCR88_06920
ERR1913271.693100__1.693100	166486__D4L1H8__ERS852572_02204
ERR1913271.693108__1.693108	28117__B0MWP2__ALIPUT_01468
ERR1913271.693376__1.693376	487174__K0WXG8__DIT83_09300
ERR1913271.693345__1.693345	357276__A0A076ISJ4__B5F95_19420
ERR1913271.693511__1.693511	418240__C6JDI6__ERS852478_02871
ERR1913271.693743__1.693743	166486__D4KVZ0__ERS852572_03130
ERR1913271.693829__1.693829	649756__L1QAR3__CL2_07970
ERR1913271.693868__1.693868	821__A0A174NM17__lacZ_6
ERR1913271.693950__1.693950	818__D7I7V5__BJP75_001030
ERR1913271.694145__1.694145	166486__D4L334__mcp3_1
ERR1913271.694353__1.694353	818__A0A3E5HXH0__NCTC13706_02166
ERR1913271.694492__1.694492	817__E1WUT9__M130_1844
ERR1913271.694610__1.694610	28118__F9Z410__NCTC10826_01196
ERR1913271.694557__1.694557	649756__A0A174SER1__HMPREF0369_00070
ERR1913271.694705__1.694705	166486__R6B4E4__sinR_2
ERR1913271.694858__1.694858	166486__C7G8R8__ROSINTL182_06294
ERR1913271.694921__1.694921	487174__K0WZN5__HMPREF9448_01108
ERR1913271.695159__1.695159	28117__B0MU76__ALIPUT_00202
ERR1913271.695245__1.695245	1965604__A0A1Y4EX25__B5F54_12975
ERR1913271.695448__1.695448	487174__K0XA11__DDY40_03585
ERR1913271.695517__1.695517	39485__A0A174YNF6__lytR_1
ERR1913271.695571__1.695571	1378168__V2YA11__N510_02528
ERR1913271.695598__1.695598	28117__B0MWC6__BHV66_00965
ERR1913271.695723__1.695723	1262992__R5D5B1__BN795_00105
ERR1913271.695804__1.695804	1262992__R5DA07__BN795_01576
ERR1913271.696049__1.696049	1262992__R5D2Z2__BN795_00316
ERR1913271.696085__1.696085	818__A0A1H7L4U6__BSIG_3287
ERR1913271.696141__1.696141	556259__E5C7G7__BSGG_0443
ERR1913271.696103__1.696103	214856__A0A174ZEW0__ERS852447_00985
ERR1913271.696298__1.696298	166486__D4KWX6__slyA_1
ERR1913271.696492__1.696492	166486__D4L1P5__ERS852572_00758
ERR1913271.696630__1.696630	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913271.696864__1.696864	818__A0A139KY34__ERS852461_03898
ERR1913271.696869__1.696869	818__A0A0P0FT56__BSIG_1453
ERR1913271.697015__1.697015	216816__A0A0A6VPB9__B624_1780
ERR1913271.697104__1.697104	818__A0A3E5HDU6__C799_04515
ERR1913271.697289__1.697289	216816__C5E9A6__mutT4
ERR1913271.697330__1.697330	28117__B0MYI9__BHV66_05415
ERR1913271.697363__1.697363	818__A0A0P0F2P7__BT_1771
ERR1913271.697452__1.697452	818__A0A3E5HN77__HMPREF2534_00072
ERR1913271.697509__1.697509	821__A0A3E4XY72__NCTC10583_01067
ERR1913271.697461__1.697461	102148__E7MM98__HMPREF9430_00698
ERR1913271.697566__1.697566	166486__D4L1D8__ROSINTL182_06455
ERR1913271.697622__1.697622	214856__A0A174FZ29__ERS852559_00600
ERR1913271.697643__1.697643	166486__D4L301__ROSINTL182_06234
