ERR1913062.179__1.179	33039__D4M2F6__RTO_06900
ERR1913062.5556930__1.5556930	821__A0A395VIK7__BVU_1225
ERR1913062.5557038__1.5557038	166486__D4KUC4__arcB_1
ERR1913062.5557064__1.5557064	823__A0A395YY84__DXC05_19515
ERR1913062.5557232__1.5557232	820__A0A396CMY7__HMPREF1072_03009
ERR1913062.5557264__1.5557264	626929__F3PKZ2__SAMN05444376_0882
ERR1913062.5557277__1.5557277	1263000__R5EXT3__BN466_02213
ERR1913062.5557329__1.5557329	301301__A0A395VA65__eutA
ERR1913062.5557402__1.5557402	2293125__A0A374BUM7__DW917_12980
ERR1913062.5557459__1.5557459	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.5557584__1.5557584	821__E5UY21__C800_02204
ERR1913062.5557882__1.5557882	1262930__R6AES4__BN693_02093
ERR1913062.5557951__1.5557951	40520__R7DEU2__ERS852394_00085
ERR1913062.5557967__1.5557967	357276__I9RHT4__EL88_09235
ERR1913062.5558039__1.5558039	357276__I9R994__BACDOR_04044
ERR1913062.5558385__1.5558385	1262930__R6ALR2__BN693_00077
ERR1913062.5558582__1.5558582	357276__I9QBT7__BSEG_03340
ERR1913062.5558613__1.5558613	821__A0A174V2F3__NCTC10583_01474
ERR1913062.5558654__1.5558654	46503__R6WY21__DXB85_01605
ERR1913062.5558658__1.5558658	357276__A0A076IKP7__BACDOR_04239
ERR1913062.5558677__1.5558677	446660__GCA_003428235.1_01822
ERR1913062.5558721__1.5558721	626933__H1DGX0__HMPREF9449_01506
ERR1913062.5558727__1.5558727	166486__D4KWN4__ERS852572_01865
ERR1913062.5558739__1.5558739	46503__R6WWC9__PARMER_03215
ERR1913062.5558761__1.5558761	1262930__R6AB27__BN693_00390
ERR1913062.5558879__1.5558879	33025__A0A395J9R3__C8D73_10817
ERR1913062.5558940__1.5558940	28118__R6FJE6__NCTC10826_00111
ERR1913062.5559007__1.5559007	166486__C7GAX1__ERS852572_03188
ERR1913062.5559158__1.5559158	310298__B3JHN9__BACCOP_01401
ERR1913062.5559173__1.5559173	310298__B3JQJ5__BACCOP_04231
ERR1913062.5559187__1.5559187	1262739__R6M9P7__BN659_01903
ERR1913062.5559189__1.5559189	410072__A0A174E1G6__phoR_6
ERR1913062.5559253__1.5559253	821__A0A0P0L952__M097_4235
ERR1913062.5559337__1.5559337	292800__G9YRY4__HMPREF9460_01750
ERR1913062.5559377__1.5559377	820__R9I3Q7__HMPREF1072_01668
ERR1913062.5559649__1.5559649	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.5559843__1.5559843	310298__B3JJX9__BACCOP_02203
ERR1913062.5559917__1.5559917	821__A0A396EVC9__DXB90_03525
ERR1913062.5560323__1.5560323	1262930__R5ZWP2__BN693_01542
ERR1913062.5560446__1.5560446	2293125__A0A374BSW4__DW917_13420
ERR1913062.5560995__1.5560995	487174__K0XM88__DDY40_02935
ERR1913062.5561039__1.5561039	853__D4K7X0__DW905_09540
ERR1913062.5561440__1.5561440	310298__B3JQJ5__BACCOP_04231
ERR1913062.5561501__1.5561501	818__A0A139KW19__nedA_1
ERR1913062.5561999__1.5561999	39488__A0A285PTA0__EUBHAL_00097
ERR1913062.5562036__1.5562036	357276__I8WBQ9__HMPREF1065_03212
ERR1913062.5562091__1.5562091	487174__K0X2Q8__DDY40_04590
ERR1913062.5562182__1.5562182	310298__B3JQD7__BACCOP_04095
ERR1913062.5562190__1.5562190	1262930__R5ZZI5__BN693_01682
ERR1913062.5562280__1.5562280	410072__C0B733__ERS852525_00482
ERR1913062.5562290__1.5562290	39491__R6TQ09__DXC13_03010
ERR1913062.5562418__1.5562418	1262930__R6A468__BN693_01366
ERR1913062.5562446__1.5562446	357276__I8WBQ9__HMPREF1065_03212
ERR1913062.5562460__1.5562460	820__A0A3E4IGA7__DXD40_07110
ERR1913062.5562505__1.5562505	820__A0A174QT76__B5G17_18060
ERR1913062.5562522__1.5562522	823__A0A3E4PAQ2__DDY96_18275
ERR1913062.5562569__1.5562569	204516__U6RGV4__HMPREF1534_01764
ERR1913062.5562812__1.5562812	310298__B3JNH3__BACCOP_03486
ERR1913062.5562933__1.5562933	165179__R6B8D8__DXC61_09245
ERR1913062.5562995__1.5562995	1262930__R6A0L1__BN693_02245
ERR1913062.5563058__1.5563058	821__C6ZAA5__ERS852556_00403
ERR1913062.5563070__1.5563070	28052__R7NCD4__ERS852451_00170
ERR1913062.5563082__1.5563082	357276__I9R994__BACDOR_04044
ERR1913062.5563144__1.5563144	28052__R7NCD4__ERS852451_00170
ERR1913062.5563394__1.5563394	357276__U6R8F9__DXD47_04035
ERR1913062.5563679__1.5563679	310298__B3JJX9__BACCOP_02203
ERR1913062.5563697__1.5563697	2293125__A0A374C9I8__DW917_06795
ERR1913062.5563837__1.5563837	2293125__A0A374BSW4__DW917_13420
ERR1913062.5563862__1.5563862	820__A0A3E4GE89__DXB48_02565
ERR1913062.5564170__1.5564170	1262992__R5D546__BN795_00726
ERR1913062.5564171__1.5564171	357276__I8VQA2__HMPREF1065_04183
ERR1913062.5564575__1.5564575	1262930__R6AHV3__BN693_00495
ERR1913062.5564692__1.5564692	410072__C0B686__ERS852481_00939
ERR1913062.5564727__1.5564727	360807__A0A173VUT6__RIL183_10071
ERR1913062.5564800__1.5564800	820__A0A139K5A6__DXB48_12175
ERR1913062.5565021__1.5565021	165179__R6PU83__CFT61_14275
ERR1913062.5565098__1.5565098	853__A0A174C5M1__CGS58_04460
ERR1913062.5565184__1.5565184	46503__R6X5E7__PARMER_00245
ERR1913062.5565273__1.5565273	1262739__R6MRD4__BN659_02013
ERR1913062.5565925__1.5565925	310298__B3JMZ2__BACCOP_03297
ERR1913062.5565945__1.5565945	821__A0A396EVC9__DXB90_03525
ERR1913062.5566111__1.5566111	853__A0A173XRA8__CGS56_09290
ERR1913062.5566231__1.5566231	820__A0A174DZ97__SAMN05444418_101240
ERR1913062.5566269__1.5566269	818__C6IIW4__dapH_1
ERR1913062.5566383__1.5566383	821__A0A395VIK7__BVU_1225
ERR1913062.5566410__1.5566410	821__A0A395VIK7__BVU_1225
ERR1913062.5566412__1.5566412	626933__H1DGX0__HMPREF9449_01506
ERR1913062.5566501__1.5566501	28116__I9AKR7__DXA80_22960
ERR1913062.5566574__1.5566574	46506__A0A3E4UIV1__DXC34_17755
ERR1913062.5566552__1.5566552	39488__R6GBC5__DXD91_06450
ERR1913062.5566684__1.5566684	2293125__A0A374BSW4__DW917_13420
ERR1913062.5566688__1.5566688	384639__GCA_003096855.1_00975
ERR1913062.5566853__1.5566853	853__A0A174BA00__DW905_01145
ERR1913062.5566804__1.5566804	310298__B3JQJ5__BACCOP_04231
ERR1913062.5566808__1.5566808	2293125__A0A374BUM7__DW917_12980
ERR1913062.5566897__1.5566897	853__A8SB03__C4Q21_07960
ERR1913062.5566985__1.5566985	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.5567086__1.5567086	28118__R6FBL5__B5F93_09165
ERR1913062.5567228__1.5567228	544645__A0A1U7L8K0__DXC42_08675
ERR1913062.5567293__1.5567293	818__A0A3E5HGN6__Btheta7330_00798
ERR1913062.5567277__1.5567277	821__A0A173XDD3__DXB82_17180
ERR1913062.5567512__1.5567512	853__A0A2J4JL53__CRH10_10795
ERR1913062.5567522__1.5567522	39488__A0A285PMW6__ERS852450_00808
ERR1913062.5567619__1.5567619	1262930__R6A1N0__BN693_00917
ERR1913062.5567625__1.5567625	2293125__A0A374BUM7__DW917_12980
ERR1913062.5567632__1.5567632	310298__B3JNH3__BACCOP_03486
ERR1913062.5567664__1.5567664	165179__A0A3E5AER8__DXB80_07075
ERR1913062.5567561__1.5567561	1262743__R5C054__BN727_01980
ERR1913062.5567563__1.5567563	28118__F9Z5M1__NCTC10826_02946
ERR1913062.5567830__1.5567830	821__A0A173XDD3__DXB82_17180
ERR1913062.5567907__1.5567907	1262992__R5D3R1__BN795_01492
ERR1913062.5568059__1.5568059	357276__A0A076IXE0__HMPREF1064_04364
ERR1913062.5568249__1.5568249	2293125__A0A374C0L7__DW917_11510
ERR1913062.5568250__1.5568250	28132__D9RV83__HMPREF0660_00835
ERR1913062.5568412__1.5568412	626933__H1DGX0__HMPREF9449_01506
ERR1913062.5568852__1.5568852	1262924__R7HTK4__BN585_00496
ERR1913062.5568885__1.5568885	820__R7E9Z4__DXC68_06065
ERR1913062.5568887__1.5568887	2293125__A0A374CMK5__DW917_00330
ERR1913062.5568956__1.5568956	2293125__A0A374BSW4__DW917_13420
ERR1913062.5568981__1.5568981	487174__R5G1E8__DIT83_00510
ERR1913062.5568986__1.5568986	487174__R5F2W8__HMPREF9448_01730
ERR1913062.5569123__1.5569123	1735__B7CC21__EUBIFOR_01746
ERR1913062.5569245__1.5569245	46503__R6WX12__DXB85_11560
ERR1913062.5569260__1.5569260	166486__R6B4E4__sinR_2
ERR1913062.5569373__1.5569373	410072__A0A173Z452__COPCOM_02514
ERR1913062.5569484__1.5569484	1680__R5GSL8__DXD60_03315
ERR1913062.5569531__1.5569531	1262992__R5CX54__BN795_00843
ERR1913062.5569624__1.5569624	1150298__A0A174EA00__ERS852406_01720
ERR1913062.5569765__1.5569765	1150298__R7JND0__ERS852498_02814
ERR1913062.5569828__1.5569828	357276__A0A076ISJ4__B5F95_19420
ERR1913062.5569907__1.5569907	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.5570036__1.5570036	39491__A0A396FE96__EUR_00280
ERR1913062.5569973__1.5569973	2293125__A0A374BUM7__DW917_12980
ERR1913062.5570041__1.5570041	166486__D4KY84__ERS852572_02606
ERR1913062.5570190__1.5570190	301301__A0A395V8G6__RHOM_11005
ERR1913062.5570231__1.5570231	310298__B3JEE8__BACCOP_00239
ERR1913062.5570313__1.5570313	410072__A0A174AIQ9__DXD67_07210
ERR1913062.5570314__1.5570314	410072__A0A174AIQ9__DXD67_07210
ERR1913062.5570411__1.5570411	357276__I8WML9__DXD47_10570
ERR1913062.5570524__1.5570524	1735__B7CEC3__EUBIFOR_02567
ERR1913062.5570643__1.5570643	28116__A0A078Q626__HMPREF1070_02735
ERR1913062.5570747__1.5570747	387661__B7B704__B5F96_16210
ERR1913062.5570762__1.5570762	328814__GCA_004558275.1_00096
ERR1913062.5570829__1.5570829	166486__D4L273__ERS852572_01638
ERR1913062.5570901__1.5570901	671267__R9IB12__C802_00696
ERR1913062.5571052__1.5571052	853__A0A173XRA8__CGS56_09290
ERR1913062.5571109__1.5571109	2293125__A0A374BUM7__DW917_12980
ERR1913062.5571265__1.5571265	1262992__R5DA07__BN795_01576
ERR1913062.5571209__1.5571209	357276__I9QPN0__B5F95_09195
ERR1913062.5571314__1.5571314	853__A0A2A7A4A9__C4N21_14870
ERR1913062.5571395__1.5571395	165179__A0A3E5DY64__CFT61_10025
ERR1913062.5571474__1.5571474	820__R7E9Z4__DXC68_06065
ERR1913062.5571628__1.5571628	166486__D4KZ95__ERS852572_03327
ERR1913062.5571658__1.5571658	371601__A0A174AWE7__BXY_28850
ERR1913062.5571718__1.5571718	1262924__R7HM72__BN585_01169
ERR1913062.5571873__1.5571873	823__D0TCC2__HMPREF1075_01590
ERR1913062.5571919__1.5571919	1735__B7C932__EUBIFOR_00689
ERR1913062.5571954__1.5571954	1262739__R6M9P7__BN659_01903
ERR1913062.5572036__1.5572036	853__C7H1R8__DW905_06675
ERR1913062.5572116__1.5572116	28118__F9ZCN1__B5F99_10605
ERR1913062.5572092__1.5572092	2293125__A0A374C8A8__DW917_07550
ERR1913062.5572194__1.5572194	165179__D1PCL6__DXB80_13435
ERR1913062.5572537__1.5572537	823__A0A395YRX4__ERS852513_03444
ERR1913062.5572647__1.5572647	853__A0A174BZY1__xerD_1
ERR1913062.5572728__1.5572728	818__A0A139K9H8__C5Z03_23905
ERR1913062.5573151__1.5573151	853__C7H7F5__DWZ46_01780
ERR1913062.5573341__1.5573341	39488__A0A285PT25__EUBHAL_01908
ERR1913062.5573587__1.5573587	46503__R6WYJ8__DXB85_13825
ERR1913062.5573675__1.5573675	310298__B3JNH3__BACCOP_03486
ERR1913062.5573736__1.5573736	166486__A0A173VSA0__ROSINTL182_06124
ERR1913062.5573764__1.5573764	310298__B3JQJ5__BACCOP_04231
ERR1913062.5573791__1.5573791	2293125__A0A374BUM7__DW917_12980
ERR1913062.5573837__1.5573837	39491__A0A395ZE48__DXB76_02395
ERR1913062.5573852__1.5573852	166486__D4L3B1__ERS852572_03645
ERR1913062.5573886__1.5573886	166486__D4L3B1__ERS852572_03645
ERR1913062.5574204__1.5574204	28118__F9ZAE1__DF785_04930
ERR1913062.5574243__1.5574243	1262924__R7HQD9__BN585_00129
ERR1913062.5574347__1.5574347	357276__I9FU68__HMPREF1063_00557
ERR1913062.5574321__1.5574321	2293125__A0A374CBD1__DW917_06995
ERR1913062.5574781__1.5574781	2293125__A0A374CJ42__DW917_03305
ERR1913062.5574854__1.5574854	165179__R6B8D8__DXC61_09245
ERR1913062.5574869__1.5574869	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.5574940__1.5574940	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.5574992__1.5574992	39488__A0A173SK21__EUBHAL_00799
ERR1913062.5575260__1.5575260	1262924__R7HQB7__BN585_02057
ERR1913062.5575349__1.5575349	626933__H1DGX0__HMPREF9449_01506
ERR1913062.5575451__1.5575451	1262930__R6A6B2__BN693_00668
ERR1913062.5575476__1.5575476	357276__B6W1J2__BACDOR_03380
ERR1913062.5575543__1.5575543	1262930__R6AAD1__BN693_01367
ERR1913062.5575563__1.5575563	39496__A5Z807__EUBVEN_01847
ERR1913062.5575693__1.5575693	357276__A0A076IN30__DXD47_09350
ERR1913062.5575705__1.5575705	28118__F9Z408__NCTC10826_01194
ERR1913062.5575794__1.5575794	360807__A0A174EVF2__RIL183_27331
ERR1913062.5575965__1.5575965	821__I9R3W6__DXC16_12455
ERR1913062.5576214__1.5576214	1150298__A0A174QNY9__ERS852498_01028
ERR1913062.5576353__1.5576353	39488__A0A285PT25__EUBHAL_01908
ERR1913062.5576450__1.5576450	1262930__R6A775__BN693_00822
ERR1913062.5576459__1.5576459	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.5576478__1.5576478	853__A0A174C5M1__CGS58_04460
ERR1913062.5576625__1.5576625	310298__B3JLT9__BACCOP_02886
ERR1913062.5576761__1.5576761	310298__B3JK97__BACCOP_02326
ERR1913062.5576818__1.5576818	166486__D4KUK5__thiM
ERR1913062.5576872__1.5576872	1262930__R5ZXU1__BN693_01352
ERR1913062.5577293__1.5577293	39491__A0A395ZG74__licR
ERR1913062.5577370__1.5577370	166486__D4KV78__aroA
ERR1913062.5577477__1.5577477	823__A6LBY1__ERS852380_00510
ERR1913062.5577565__1.5577565	853__C7H1R8__DW905_06675
ERR1913062.5577811__1.5577811	487174__K0XJ34__DDY40_06890
ERR1913062.5577842__1.5577842	823__A0A395YZG9__M092_4358
ERR1913062.5577937__1.5577937	165179__D1PHD6__DXC61_03380
ERR1913062.5577969__1.5577969	1262924__R7HSV7__BN585_00245
ERR1913062.5578058__1.5578058	1262924__R7HPU8__BN585_00010
ERR1913062.5578039__1.5578039	357276__I9QBT7__BSEG_03340
ERR1913062.5578150__1.5578150	218538__C9LNQ3__GCWU000321_01176
ERR1913062.5578263__1.5578263	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.5578378__1.5578378	310298__B3JMZ2__BACCOP_03297
ERR1913062.5578558__1.5578558	418240__A0A174SJB0__toxA_3
ERR1913062.5578587__1.5578587	2293125__A0A374BN09__DW917_16245
ERR1913062.5578696__1.5578696	818__A0A173T914__ERS852430_01841
ERR1913062.5579219__1.5579219	357276__I9FU68__HMPREF1063_00557
ERR1913062.5579247__1.5579247	333367__C0D2L2__CLOSTASPAR_03501
ERR1913062.5579358__1.5579358	39486__B0G759__DXB36_00705
ERR1913062.5579360__1.5579360	572010__argF
ERR1913062.5579442__1.5579442	28132__D9RV83__HMPREF0660_00835
ERR1913062.5579560__1.5579560	39486__B0G7S3__HMPREF9457_01465
ERR1913062.5579677__1.5579677	357276__A0A076IXE0__HMPREF1064_04364
ERR1913062.5579773__1.5579773	357276__I9FRW5__B5F95_21685
ERR1913062.5579816__1.5579816	821__A0A174V2F3__NCTC10583_01474
ERR1913062.5579847__1.5579847	649756__E5VNF2__DO83_06405
ERR1913062.5579953__1.5579953	410072__A0A174CHL0__ERS852574_02022
ERR1913062.5580034__1.5580034	39486__R6RY39__DXD82_07230
ERR1913062.5580073__1.5580073	626929__F3PJN9__B5F24_15155
ERR1913062.5580112__1.5580112	487174__K0X694__DIT83_09060
ERR1913062.5580125__1.5580125	821__A0A174V2F3__NCTC10583_01474
ERR1913062.5580134__1.5580134	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.5580170__1.5580170	166486__A0A173VTG0__ROSINTL182_06283
ERR1913062.5580338__1.5580338	204516__U6RFV1__HMPREF1534_02560
ERR1913062.5580381__1.5580381	28116__D4WPD7__HMPREF1069_02183
ERR1913062.5580561__1.5580561	820__A0A374Q1D8__SAMN05444418_112114
ERR1913062.5580566__1.5580566	820__A0A3E4RU03__M093_0563
ERR1913062.5580582__1.5580582	33039__A0A173W0K9__ERS852502_02246
ERR1913062.5580737__1.5580737	39496__A5Z6P6__EUBVEN_01379
ERR1913062.5580769__1.5580769	46506__R6LDN0__HMPREF1181_03103
ERR1913062.5580794__1.5580794	310298__B3JQJ5__BACCOP_04231
ERR1913062.5580994__1.5580994	39496__A5Z5I2__EUBVEN_00963
ERR1913062.5581113__1.5581113	418240__R7CMZ7__ERS852523_03210
ERR1913062.5581182__1.5581182	487174__K0X591__DDY40_01805
ERR1913062.5581218__1.5581218	1735__B7C7R7__EUBIFOR_00217
ERR1913062.5581375__1.5581375	2293125__A0A374BSW4__DW917_13420
ERR1913062.5581396__1.5581396	2293125__A0A374C0L7__DW917_11510
ERR1913062.5581484__1.5581484	1262930__R6AHR4__BN693_00447
ERR1913062.5581554__1.5581554	357276__I8VLL2__HMPREF1065_03395
ERR1913062.5581696__1.5581696	39492__D4JX40__EUBSIR_00020
ERR1913062.5581801__1.5581801	821__A0A396EVC9__DXB90_03525
ERR1913062.5581836__1.5581836	1262930__R6A6G2__BN693_00683
ERR1913062.5581906__1.5581906	821__A0A0P0M6M0__M097_4734
ERR1913062.5581958__1.5581958	204516__U6RFV1__HMPREF1534_02560
ERR1913062.5581966__1.5581966	1150298__A0A174MLY5__ERS852498_01797
ERR1913062.5581949__1.5581949	310298__B3JED9__BACCOP_00230
ERR1913062.5582024__1.5582024	2293125__A0A374BSW4__DW917_13420
ERR1913062.5582172__1.5582172	310298__B3JQJ5__BACCOP_04231
ERR1913062.5582263__1.5582263	106588__A6P303__BACCAP_04887
ERR1913062.5582268__1.5582268	2293125__A0A374CBD1__DW917_06995
ERR1913062.5582361__1.5582361	357276__A0A0M1W9N4__GV66_05135
ERR1913062.5582448__1.5582448	821__I9R3W6__DXC16_12455
ERR1913062.5582610__1.5582610	74426__sigA
ERR1913062.5582722__1.5582722	166486__D4KYW5__ROSINTL182_05595
ERR1913062.5582782__1.5582782	626932__G5H7V0__HMPREF9450_00753
ERR1913062.5582836__1.5582836	818__A0A0N7IB02__BT_3500
ERR1913062.5583053__1.5583053	357276__B6VVS0__HMPREF1064_03951
ERR1913062.5583034__1.5583034	544644__GCA_001915615.1_01911
ERR1913062.5583133__1.5583133	166486__D4L3V9__ROSINTL182_07680
ERR1913062.5583225__1.5583225	165179__R6B8D8__DXC61_09245
ERR1913062.5583456__1.5583456	46503__R6Y9P8__evgS_3
ERR1913062.5583464__1.5583464	357276__A0A076IRX4__ABI39_13585
ERR1913062.5583787__1.5583787	853__A0A174BZY1__xerD_1
ERR1913062.5583771__1.5583771	1262930__R6A1N0__BN693_00917
ERR1913062.5583835__1.5583835	156456__G9YIG0__HMPREF0080_01452
ERR1913062.5584055__1.5584055	2293125__A0A374C9I8__DW917_06795
ERR1913062.5584022__1.5584022	46503__R6Y0Q3__DCY29_15880
ERR1913062.5583993__1.5583993	1263044__GCA_000433375.1_00353
ERR1913062.5584182__1.5584182	39488__C0ETV2__DXD91_06795
ERR1913062.5584194__1.5584194	1262930__R6AS47__BN693_01577
ERR1913062.5584214__1.5584214	310298__B3JJX9__BACCOP_02203
ERR1913062.5584266__1.5584266	310298__B3JQD7__BACCOP_04095
ERR1913062.5584323__1.5584323	821__A0A395US34__C5Z04_18975
ERR1913062.5584343__1.5584343	39488__A0A285PQ61__ERS852578_00704
ERR1913062.5584485__1.5584485	823__A0A174LDE8__M096_3277
ERR1913062.5584588__1.5584588	820__A0A139K426__B5G17_09115
ERR1913062.5584611__1.5584611	818__A0A0P0FWH4__Btheta7330_05099
ERR1913062.5584660__1.5584660	310298__B3JPN8__BACCOP_03837
ERR1913062.5585069__1.5585069	2293125__A0A374C4C8__DW917_09805
ERR1913062.5585090__1.5585090	166486__D4KU79__ROSINTL182_06970
ERR1913062.5585202__1.5585202	39488__C0EY05__EUBHAL_02306
ERR1913062.5585236__1.5585236	410072__A0A174E1G6__phoR_6
ERR1913062.5585252__1.5585252	820__R9HP61__DXC91_01090
ERR1913062.5585331__1.5585331	1150298__R7JND0__ERS852498_02814
ERR1913062.5585404__1.5585404	28118__R6F7E3__ompH_2
ERR1913062.5585552__1.5585552	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913062.5585561__1.5585561	1735__B7CC21__EUBIFOR_01746
ERR1913062.5585721__1.5585721	301301__A0A395V8G6__RHOM_11005
ERR1913062.5585737__1.5585737	820__A0A396EXA7__DXB37_15530
ERR1913062.5586083__1.5586083	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.5586106__1.5586106	884684__GCA_002892425.1_01408
ERR1913062.5586328__1.5586328	823__A0A355XLQ9__DXC05_02185
ERR1913062.5586563__1.5586563	166486__A0A173VSA0__ROSINTL182_06124
ERR1913062.5586992__1.5586992	821__I9R3W6__DXC16_12455
ERR1913062.5587133__1.5587133	853__C7H1R8__DW905_06675
ERR1913062.5587248__1.5587248	310298__B3JJX9__BACCOP_02203
ERR1913062.5587406__1.5587406	1262930__R6A468__BN693_01366
ERR1913062.5587463__1.5587463	487174__K0X773__DIT83_07170
ERR1913062.5587568__1.5587568	39496__A5Z5I2__EUBVEN_00963
ERR1913062.5587581__1.5587581	166486__A0A173VSP1__ERS852572_03465
ERR1913062.5587611__1.5587611	384638__B7AT14__BACPEC_01282
ERR1913062.5587679__1.5587679	166486__C7GAX1__ERS852572_03188
ERR1913062.5587702__1.5587702	2293125__A0A374BY09__DW917_11855
ERR1913062.5587703__1.5587703	649756__A0A174Q8Z0__mtlD_4
ERR1913062.5588044__1.5588044	28118__F9ZCH6__DHW44_07090
ERR1913062.5588319__1.5588319	1262746__R5S2B4__BN750_01573
ERR1913062.5588450__1.5588450	165179__D1PCL6__DXB80_13435
ERR1913062.5588509__1.5588509	1262930__R5ZVQ3__BN693_01357
ERR1913062.5588789__1.5588789	1628085__A0A374VV54__C7386_11332
ERR1913062.5588879__1.5588879	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.5588976__1.5588976	310298__B3JNH3__BACCOP_03486
ERR1913062.5589334__1.5589334	853__A0A2A7AXC8__C4N21_14120
ERR1913062.5589508__1.5589508	33025__A0A395J8P0__C8D73_1144
ERR1913062.5589670__1.5589670	33025__A0A395J947__C8D73_11315
ERR1913062.5589728__1.5589728	39488__C0ETV2__DXD91_06795
ERR1913062.5589770__1.5589770	853__A0A2A7B1Y7__C7K05_11930
ERR1913062.5589960__1.5589960	39491__A0A396FGM9__fliU_1
ERR1913062.5590011__1.5590011	1262930__R6A468__BN693_01366
ERR1913062.5590062__1.5590062	166486__D4KY48__gmr_5
ERR1913062.5590078__1.5590078	204516__U6RAM4__HMPREF1534_03439
ERR1913062.5590093__1.5590093	818__A0A0P0F989__BJP75_019080
ERR1913062.5590141__1.5590141	165179__A0A3E5DN34__DXC61_07865
ERR1913062.5590144__1.5590144	820__A0A174GYA8__DXB64_07370
ERR1913062.5590220__1.5590220	166486__D4L273__ERS852572_01638
ERR1913062.5590491__1.5590491	820__R7E9Z4__DXC68_06065
ERR1913062.5590502__1.5590502	384638__B7ASI3__BACPEC_02038
ERR1913062.5590505__1.5590505	1550024__G9RNN4__ASJ35_08335
ERR1913062.5590549__1.5590549	328814__GCA_004558275.1_00034
ERR1913062.5590574__1.5590574	2293125__A0A374BSW4__DW917_13420
ERR1913062.5590600__1.5590600	853__A0A173YYY4__DWZ04_09420
ERR1913062.5590673__1.5590673	1262930__R6AEC7__BN693_00159
ERR1913062.5590719__1.5590719	1262739__R6MRD4__BN659_02013
ERR1913062.5590745__1.5590745	310298__B3JNH4__BACCOP_03487
ERR1913062.5590817__1.5590817	166486__D4L346__ROSINTL182_06263
ERR1913062.5590822__1.5590822	2293125__A0A374BSW4__DW917_13420
ERR1913062.5590876__1.5590876	46503__R6Y8M7__ERS852463_01228
ERR1913062.5590982__1.5590982	39496__A5Z6R6__EUBVEN_01399
ERR1913062.5591006__1.5591006	338188__A0A174ETX3__ERS852397_01955
ERR1913062.5591497__1.5591497	33039__A0A174ZHW3__ERS852424_00452
ERR1913062.5591694__1.5591694	821__A0A3E4WAR6__DXD64_10735
ERR1913062.5591790__1.5591790	357276__A0A0K2HDP3__IY41_00705
ERR1913062.5591807__1.5591807	39486__R6SE83__DXD82_03080
ERR1913062.5591837__1.5591837	487174__K0WT65__HMPREF9448_02407
ERR1913062.5591878__1.5591878	165179__A0A174SA26__PREVCOP_05758
ERR1913062.5592136__1.5592136	853__A0A2A7B9I6__DW855_13690
ERR1913062.5592156__1.5592156	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.5592117__1.5592117	46503__R6WRM8__HMPREF1060_03046
ERR1913062.5592167__1.5592167	487174__K0WZN5__HMPREF9448_01108
ERR1913062.5592208__1.5592208	853__A0A173T751__C4N24_10280
ERR1913062.5592413__1.5592413	310298__B3JFH4__BACCOP_00624
ERR1913062.5592464__1.5592464	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913062.5592532__1.5592532	39486__G1WLK1__DXD50_02145
ERR1913062.5592575__1.5592575	28118__F9Z695__DER54_04745
ERR1913062.5592601__1.5592601	166486__D4KX00__ROSINTL182_07577
ERR1913062.5592625__1.5592625	166486__D4L082__yicI_5
ERR1913062.5592665__1.5592665	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.5592702__1.5592702	626932__G5H617__HMPREF9450_00377
ERR1913062.5592788__1.5592788	1262930__R6A8Q7__BN693_01064
ERR1913062.5592817__1.5592817	410072__C0B8G7__ERS852525_00626
ERR1913062.5592820__1.5592820	853__A0A174C5M1__CGS58_04460
ERR1913062.5592849__1.5592849	821__A0A0P0LFP6__C5Z04_13890
ERR1913062.5593020__1.5593020	820__A0A3E4VXP2__yesR
ERR1913062.5593142__1.5593142	853__A0A173YYY4__DWZ04_09420
ERR1913062.5593175__1.5593175	823__A0A078SLK0__ERS852513_02755
ERR1913062.5593275__1.5593275	2293125__A0A374BUM7__DW917_12980
ERR1913062.5593332__1.5593332	820__R9I3Q7__HMPREF1072_01668
ERR1913062.5593356__1.5593356	357276__A0A0M1W9N4__GV66_05135
ERR1913062.5593339__1.5593339	2293125__A0A374C4C8__DW917_09805
ERR1913062.5593436__1.5593436	823__A0A395YRX4__ERS852513_03444
ERR1913062.5593514__1.5593514	2293125__A0A374BY09__DW917_11855
ERR1913062.5593548__1.5593548	487174__K0X9T7__HMPREF9448_00996
ERR1913062.5593589__1.5593589	360807__C0FZ41__ROSEINA2194_04031
ERR1913062.5593649__1.5593649	292800__H1C6M9__ERS852518_00105
ERR1913062.5593673__1.5593673	46503__K5ZV67__PARMER_03859
