ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.790073__1.790073	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913283.790121__1.790121	239935__A0A3F3K9J9__DEF40_00940
ERR1913283.790294__1.790294	357276__B6VT86__IY41_22515
ERR1913283.790389__1.790389	847__C3X936__OFBG_00740
ERR1913283.790693__1.790693	216816__A0A061M1M5__HMPREF0177_01046
ERR1913283.790867__1.790867	39491__A0A173RA59__EUR_24800
ERR1913283.790881__1.790881	39491__D4JM76__DXC13_02150
ERR1913283.790900__1.790900	39491__A0A395V5R3__EUBREC_1883
ERR1913283.790906__1.790906	820__A0A3E4G826__C801_01612
ERR1913283.791365__1.791365	357276__A0A0K2HDP3__IY41_00705
ERR1913283.791406__1.791406	204516__U6RAM4__HMPREF1534_03439
ERR1913283.791704__1.791704	39492__D4JSG7__EUBSIR_01006
ERR1913283.791807__1.791807	820__A0A174CK74__DXB48_07060
ERR1913283.791864__1.791864	39491__A0A396FNY7__LD38_16155
ERR1913283.792166__1.792166	35833__E5Y8N1__HMPREF0179_02549
ERR1913283.792202__1.792202	487174__K0X0F6__HMPREF9448_01444
ERR1913283.792299__1.792299	820__A0A139K8X8__DXC80_17665
ERR1913283.792332__1.792332	166486__D4L378__hcaR
ERR1913283.792419__1.792419	820__A0A173WZS4__DXD90_10250
ERR1913283.792697__1.792697	40518__R5DV58__htrA
ERR1913283.792840__1.792840	360807__C0FNG2__RIL183_23021
ERR1913283.792915__1.792915	1262911__R6GMK4__BN557_00535
ERR1913283.792926__1.792926	338188__R6RRY7__BACFIN_05362
ERR1913283.792954__1.792954	28118__F9Z8K4__Odosp_0843
ERR1913283.793249__1.793249	166486__D4L346__ROSINTL182_06263
ERR1913283.793287__1.793287	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913283.793336__1.793336	1263109__GCA_000438135.1_01224
ERR1913283.793450__1.793450	1263044__GCA_000433375.1_00656
ERR1913283.793474__1.793474	338188__K5CB50__BACFIN_05402
ERR1913283.793419__1.793419	1262700__R5XHQ0__BN695_00276
ERR1913283.793798__1.793798	28116__A0A395VSP8__ERS852555_02642
ERR1913283.793851__1.793851	820__A7UYX8__DXD40_11635
ERR1913283.793873__1.793873	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913283.794150__1.794150	1160721__R6U5L6__RBI_I01802
ERR1913283.794224__1.794224	39491__A0A173TM76__DXB72_10535
ERR1913283.794309__1.794309	820__A0A3E4VXP2__yesR
ERR1913283.794729__1.794729	39485__A0A174Z2K9__ERS852490_02052
ERR1913283.794753__1.794753	410072__A0A3E4GRP6__DXD67_05285
ERR1913283.794831__1.794831	186479__GCA_001399705.1_07683
ERR1913283.795026__1.795026	387090__S0F8F6__BACCOPRO_01915
ERR1913283.795213__1.795213	301302__A0A173UAS4__M72_15061
ERR1913283.795285__1.795285	239935__A0A2N8HUU6__CXT90_06150
ERR1913283.795501__1.795501	39491__A0A173RA59__EUR_24800
ERR1913283.795513__1.795513	853__A0A173YYY4__DWZ04_09420
ERR1913283.795803__1.795803	820__A0A139K4W1__M093_0353
ERR1913283.795821__1.795821	28117__R7JIJ8__BHV66_01635
ERR1913283.795869__1.795869	1160721__W0U1Y5__BHW50_01965
ERR1913283.795881__1.795881	239935__A0A2N8HPS5__Amuc_0950
ERR1913283.795948__1.795948	246787__A0A3D6AWM8__BACCELL_01963
ERR1913283.796081__1.796081	239935__A0A139TMD2__CXU18_02250
ERR1913283.796125__1.796125	1681__K2IQE2__uvrD
ERR1913283.796176__1.796176	239935__A0A2N8HCF5__CXU15_05660
ERR1913283.796235__1.796235	239935__R7DVL7__CXT93_01180
ERR1913283.796346__1.796346	357276__A0A0M1W657__HMPREF1064_04629
ERR1913283.796471__1.796471	1262700__R5XLN1__BN695_01615
ERR1913283.796731__1.796731	820__A7UYX8__DXD40_11635
ERR1913283.796918__1.796918	1262889__R7H9H9__BN634_02436
ERR1913283.796920__1.796920	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.797090__1.797090	820__A0A3E4WCC2__lptB_1
ERR1913283.797143__1.797143	626929__F3PM30__HMPREF9445_02927
ERR1913283.797307__1.797307	820__I9J701__ERS852510_01809
ERR1913283.797477__1.797477	239935__A0A2N8IU45__DEF40_02365
ERR1913283.797599__1.797599	301301__A0A395VCD3__ERS852391_00190
ERR1913283.797865__1.797865	39491__A0A173RA59__EUR_24800
ERR1913283.797917__1.797917	239935__A0A2N8HQR1__Amuc_0287
ERR1913283.797974__1.797974	1262889__R7HCM3__BN634_01536
ERR1913283.797975__1.797975	1262911__R6H1M1__BN557_00925
ERR1913283.798062__1.798062	33025__A0A395JED3__C8D73_101461
ERR1913283.798335__1.798335	40518__R5DM08__DXD83_06415
ERR1913283.798431__1.798431	39491__A0A395UWA3__DXB69_11805
ERR1913283.798457__1.798457	166486__D4L1P5__ERS852572_00758
ERR1913283.798658__1.798658	820__A0A173WUD7__DXB48_08055
ERR1913283.798694__1.798694	39491__C4ZGN3__DXB99_14175
ERR1913283.798715__1.798715	1262777__R5VJS3__BN512_00127
ERR1913283.798988__1.798988	847__C3X802__umuC
ERR1913283.799008__1.799008	823__A0A355XLH0__fepA_1
ERR1913283.799109__1.799109	28117__B0MXG8__ALIPUT_01814
ERR1913283.799155__1.799155	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913283.799216__1.799216	28117__B0MUB3__ALIPUT_00727
ERR1913283.799222__1.799222	28116__A0A395VSP8__ERS852555_02642
ERR1913283.799279__1.799279	544580__A0A1Q8V7D4__BKH22_07990
ERR1913283.799298__1.799298	310298__B3JFK5__BACCOP_00655
ERR1913283.799308__1.799308	239935__A0A2N8HUU6__CXT90_06150
ERR1913283.799514__1.799514	239935__A0A2N8IHY1__CXU06_00035
ERR1913283.799592__1.799592	357276__B6W5Q7__DXD47_13945
ERR1913283.799655__1.799655	28116__D7K2E0__endOF2_3
ERR1913283.799681__1.799681	33025__A0A395JF03__C8D73_101684
ERR1913283.799697__1.799697	487174__K0WZ94__HMPREF9448_00984
ERR1913283.799699__1.799699	1263044__GCA_000433375.1_01444
ERR1913283.799943__1.799943	39491__A0A395ZG74__licR
ERR1913283.799988__1.799988	820__A0A139KG60__M094_2679
ERR1913283.800058__1.800058	1263000__R5EKG2__BN466_02040
ERR1913283.800733__1.800733	820__A0A1Q6IDS8__chtA
ERR1913283.800954__1.800954	239935__A0A2N8HX65__CXU17_02540
ERR1913283.800981__1.800981	329854__R5M596__BACINT_00973
ERR1913283.800986__1.800986	820__A0A396EWL3__ERS417307_03868
ERR1913283.801143__1.801143	1680__A1A1R1__BIFADO_00076
ERR1913283.801165__1.801165	33025__A0A395J911__C8D73_1145
ERR1913283.801167__1.801167	246787__A0A0P0GM17__BACCELL_03224
ERR1913283.801114__1.801114	820__A0A3E4G826__C801_01612
ERR1913283.801202__1.801202	1262700__R5XF05__BN695_01686
ERR1913283.801308__1.801308	338188__K5DGQ6__HMPREF1057_00968
ERR1913283.801620__1.801620	39488__A0A173URJ8__misCB
ERR1913283.801764__1.801764	39491__A0A0M6WNS5__DXC13_02015
ERR1913283.801794__1.801794	1262911__R6HH15__BN557_01507
ERR1913283.801871__1.801871	39491__A0A396FFW0__ERE_10580
ERR1913283.801882__1.801882	39488__A0A173RDD7__DXD91_00105
ERR1913283.802014__1.802014	820__A0A396EWL3__ERS417307_03868
ERR1913283.802147__1.802147	46503__R6X6Y1__DCY29_15600
ERR1913283.802302__1.802302	357276__A0A0M1W4C0__DXD47_07095
ERR1913283.802447__1.802447	820__A0A139K8N1__ERS852554_00951
ERR1913283.802636__1.802636	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913283.802743__1.802743	820__R9I2U8__DXC68_09590
ERR1913283.803171__1.803171	884684__GCA_002892425.1_01408
ERR1913283.803091__1.803091	1263000__R5EKR4__BN466_01609
ERR1913283.803311__1.803311	39486__R6S2M6__DXD84_14080
ERR1913283.803260__1.803260	674529__R6V0M0__DXB21_05925
ERR1913283.803398__1.803398	1262700__R5XK22__BN695_00076
ERR1913283.803673__1.803673	28117__B0MT86__BHV66_02450
ERR1913283.803697__1.803697	487174__K0XKD7__HMPREF9448_01550
ERR1913283.803744__1.803744	239935__A0A2N8IMD6__CXU03_05585
ERR1913283.803772__1.803772	329854__R5LZK1__DXD27_00590
ERR1913283.804114__1.804114	1520815__A0A1I3K6R0__SAMN02910435_00571
ERR1913283.804337__1.804337	239935__A0A2N8IJI1__B5G29_04615
ERR1913283.804380__1.804380	239935__R6J9Y2__CXT85_07000
ERR1913283.804870__1.804870	301302__R5UUM8__ganB_1
ERR1913283.804874__1.804874	1262911__R6GII0__BN557_01496
ERR1913283.804841__1.804841	47678__R5U7P3__DXB67_08985
ERR1913283.804843__1.804843	487174__K0WYC5__HMPREF9448_01493
ERR1913283.805062__1.805062	818__R6VB25__BSIG_5053
ERR1913283.805253__1.805253	39491__C4Z9K0__DXD95_07445
ERR1913283.805268__1.805268	39491__A0A395ZGE4__ERS852497_01269
ERR1913283.805300__1.805300	487174__K0X773__DIT83_07170
ERR1913283.805561__1.805561	1262911__R6GSH8__BN557_00939
ERR1913283.805625__1.805625	40520__R7D7W1__DXB81_08070
ERR1913283.805706__1.805706	1262889__R7HCH8__BN634_01555
ERR1913283.805763__1.805763	820__A0A3E4RU03__M093_0563
ERR1913283.805815__1.805815	820__A0A374Q4X1__HMPREF2141_02370
ERR1913283.805985__1.805985	821__A0A174NVL6__NCTC10583_01782
ERR1913283.806082__1.806082	823__A0A355XN73__DXC05_07000
ERR1913283.806092__1.806092	166486__A0A173VSP1__ERS852572_03465
ERR1913283.806316__1.806316	487174__K0X909__HMPREF9448_01469
ERR1913283.806725__1.806725	1262888__R6P8S8__BN582_00978
ERR1913283.807149__1.807149	487174__K0X177__HMPREF9448_00818
ERR1913283.807340__1.807340	1262911__R6GXH0__BN557_00389
ERR1913283.807320__1.807320	39491__A0A173TAZ5__DXB99_09520
ERR1913283.807413__1.807413	28117__B0MTS2__ALIPUT_00159
ERR1913283.807472__1.807472	820__A0A3E4WA06__ERS852554_03404
ERR1913283.807534__1.807534	338188__C9L213__ERS852397_00630
ERR1913283.807547__1.807547	239935__A0A2N8HHB6__B5G29_11500
ERR1913283.807634__1.807634	674529__R6W6E8__DXB21_01245
ERR1913283.807761__1.807761	357276__A0A076IRZ5__BACDOR_00630
ERR1913283.808020__1.808020	820__A0A174F696__macB_13
ERR1913283.808062__1.808062	338188__A0A173XK96__BACFIN_08439
ERR1913283.808128__1.808128	357276__C3R9Y0__HMPREF1064_01889
ERR1913283.808104__1.808104	338188__A0A173XK96__BACFIN_08439
ERR1913283.808110__1.808110	1261__D3MR67__SAMN05660467_01650
ERR1913283.808219__1.808219	47678__R5U8P0__DW706_15950
ERR1913283.808224__1.808224	39492__D4JUP6__ERS852540_01404
ERR1913283.808334__1.808334	1262889__R7H9H9__BN634_02436
ERR1913283.808438__1.808438	820__A0A3E4FZM1__adaA_2
ERR1913283.809183__1.809183	28117__R7JIJ8__BHV66_01635
ERR1913283.809199__1.809199	39492__D4JR20__trmD
ERR1913283.809200__1.809200	39492__D4JR20__trmD
ERR1913283.809314__1.809314	820__A0A3E4W9W8__C801_01069
ERR1913283.809458__1.809458	46503__K6A7H7__DCY29_03460
ERR1913283.809621__1.809621	301302__R5UTG6__M72_25801
ERR1913283.809728__1.809728	823__A0A355XEX9__ERS852560_03521
ERR1913283.809798__1.809798	458033__GCA_001482755.1_02203
ERR1913283.809988__1.809988	239935__A0A2N8HX65__CXU17_02540
ERR1913283.809994__1.809994	1262700__R5XX89__BN695_00144
ERR1913283.810175__1.810175	40518__A0A1C6H8N9__RBATCC27255_01374
ERR1913283.810230__1.810230	28118__R6F0X5__NCTC10826_02952
ERR1913283.810404__1.810404	487174__K0X665__DIT83_12000
ERR1913283.810529__1.810529	39492__D4JQX3__EUBSIR_01310
ERR1913283.810565__1.810565	820__A7V049__DXB48_04755
ERR1913283.810765__1.810765	39496__A5Z5I2__EUBVEN_00963
ERR1913283.810779__1.810779	28117__B0MWP2__ALIPUT_01468
ERR1913283.810849__1.810849	28117__B0MXG7__BHV66_08620
ERR1913283.810805__1.810805	820__A0A174DZ97__SAMN05444418_101240
ERR1913283.810997__1.810997	165179__R6CNX7__DXB80_02200
ERR1913283.811075__1.811075	301301__G2SXZ6__RHOM_11570
ERR1913283.811269__1.811269	39491__A0A395ZL98__DXB99_00620
ERR1913283.811591__1.811591	820__A0A3E4HWJ4__DXD40_05945
ERR1913283.811679__1.811679	820__R9I2U8__DXC68_09590
ERR1913283.811826__1.811826	218538__C9LM16__csm1
ERR1913283.812047__1.812047	47678__R5UT79__ERS852558_03890
ERR1913283.812372__1.812372	820__A0A396EUU8__luxQ_3
ERR1913283.812499__1.812499	39488__A0A285PP42__cobQ
ERR1913283.812582__1.812582	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913283.812843__1.812843	239935__A0A2N8IRW0__A4V05_11620
ERR1913283.812892__1.812892	214856__I3YPN9__ERS852447_01389
ERR1913283.812904__1.812904	216816__A0A396FRQ5__DD678_01245
ERR1913283.812996__1.812996	357276__B6W5Q9__HMPREF1063_03125
ERR1913283.813194__1.813194	28117__B0MXR4__BHV66_08025
ERR1913283.813215__1.813215	853__A0A3E2V168__FAEPRAM212_00929
ERR1913283.813251__1.813251	626929__F3PJP6__SAMN05444376_2985
ERR1913283.813590__1.813590	154046__A0A3E4UF62__DWX31_00950
ERR1913283.813548__1.813548	46503__A7AG59__ERS852463_00349
ERR1913283.813509__1.813509	39491__C4ZHS4__EUR_24420
ERR1913283.813670__1.813670	1262700__R5XWI0__BN695_01480
ERR1913283.813797__1.813797	820__A0A139K426__B5G17_09115
ERR1913283.814036__1.814036	1150298__A0A174R4D7__tmpC_2
ERR1913283.814012__1.814012	1262700__R5XEF2__BN695_01474
ERR1913283.814116__1.814116	1262889__R7HBT3__BN634_01319
ERR1913283.814189__1.814189	338188__R6RZK7__ERS852397_02417
ERR1913283.814230__1.814230	214851__D1PN40__SUBVAR_05755
ERR1913283.814507__1.814507	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.814621__1.814621	384638__B7ASI3__BACPEC_02038
ERR1913283.814801__1.814801	39492__D4JRZ7__smc
ERR1913283.814889__1.814889	821__A0A174NVL6__NCTC10583_01782
ERR1913283.815002__1.815002	487174__R5F4K8__HMPREF9448_01532
ERR1913283.815123__1.815123	1263044__GCA_000433375.1_01441
ERR1913283.815379__1.815379	357276__I8WEY2__ABI39_04185
ERR1913283.815392__1.815392	820__A0A374Q854__HMPREF1073_03281
ERR1913283.815398__1.815398	357276__A0A076IP73__BACDOR_04237
ERR1913283.815845__1.815845	1263000__R5EXT3__BN466_02213
ERR1913283.815827__1.815827	40518__R5DVR2__RBL236_00303
ERR1913283.815942__1.815942	1681__A0A0H2P4K4__B0085_0638
ERR1913283.815948__1.815948	820__A0A139K8X8__DXC80_17665
ERR1913283.816177__1.816177	1262911__R6H174__BN557_01246
ERR1913283.816496__1.816496	823__A0A174WTX5__DD466_11965
ERR1913283.816584__1.816584	357276__B6VW91__BACDOR_01584
ERR1913283.816635__1.816635	360807__C0G0A1__ERS852444_02410
ERR1913283.816645__1.816645	39485__A0A174YNF6__lytR_1
ERR1913283.816804__1.816804	1262700__R5XDF3__BN695_01151
ERR1913283.816805__1.816805	28116__A0A395VSP8__ERS852555_02642
ERR1913283.816833__1.816833	820__A0A139KEW8__DXB64_06405
ERR1913283.816867__1.816867	820__A0A173YYG4__evgS_3
ERR1913283.817086__1.817086	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913283.817510__1.817510	1262700__R5Y8X3__BN695_01271
ERR1913283.817461__1.817461	1263109__GCA_000438135.1_01320
ERR1913283.817666__1.817666	626929__F3PLK2__B5F97_09745
ERR1913283.817692__1.817692	239935__A0A2N8HB50__CXU17_02615
ERR1913283.817895__1.817895	209880__A0A1G5UW92__SAMN02910343_00183
ERR1913283.817927__1.817927	39491__A0A395UYA6__EUBREC_0408
ERR1913283.818020__1.818020	39488__A0A173SMQ7__EUBHAL_00819
ERR1913283.818183__1.818183	39496__A5Z5I2__EUBVEN_00963
ERR1913283.818252__1.818252	360807__A0A396AIG0__ROSEINA2194_00358
ERR1913283.818235__1.818235	39491__A0A174M1X5__DXB99_18695
ERR1913283.818680__1.818680	39491__A0A174LTW7__DXD13_08720
ERR1913283.818877__1.818877	166486__D4KUE4__ROSINTL182_08606
ERR1913283.818984__1.818984	33025__A0A395J947__C8D73_11315
ERR1913283.819042__1.819042	39491__C4ZAT2__ERE_28440
ERR1913283.819266__1.819266	310297__R5VBJ5__DXC17_12085
ERR1913283.819369__1.819369	216816__B7GQF4__vapC
ERR1913283.819398__1.819398	39492__D4JRM4__tap_5
ERR1913283.819408__1.819408	1262911__R6GIK0__BN557_01516
ERR1913283.819969__1.819969	1263044__GCA_000433375.1_01144
ERR1913283.820071__1.820071	357276__A0A076J0Y3__IY41_06810
ERR1913283.820081__1.820081	871325__A0A1M4TSZ2__SAMN05444349_102236
ERR1913283.820226__1.820226	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913283.820239__1.820239	820__A0A139KJR5__M093_4469
ERR1913283.820666__1.820666	360807__C0FZ41__ROSEINA2194_04031
ERR1913283.820815__1.820815	360807__C0FMY6__ROSEINA2194_00074
ERR1913283.820888__1.820888	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913283.820897__1.820897	39491__A0A396FMF1__EUR_28700
ERR1913283.820909__1.820909	239935__A0A139TQT9__Amuc_1197
ERR1913283.821016__1.821016	820__I9TWZ7__DXC80_10550
ERR1913283.821033__1.821033	239935__A0A2N8IU45__DEF40_02365
ERR1913283.821247__1.821247	239935__R7DVW2__CXU02_03915
ERR1913283.821319__1.821319	40518__R5E282__DXD86_08940
ERR1913283.821547__1.821547	338188__R6RWE8__BACFIN_08980
ERR1913283.821742__1.821742	821__A0A174V2F3__NCTC10583_01474
ERR1913283.822059__1.822059	39492__D4JRZ7__smc
ERR1913283.822062__1.822062	1263044__GCA_000433375.1_03426
ERR1913283.822187__1.822187	1160721__R6T2Y3__RBI_II00189
ERR1913283.822228__1.822228	28116__D6D0T8__DXA80_14760
ERR1913283.822251__1.822251	39485__A0A174YJA4__EUBELI_20421
ERR1913283.822359__1.822359	820__A7VAR9__ERS852421_00197
ERR1913283.822506__1.822506	1262700__R5XLN1__BN695_01615
ERR1913283.822529__1.822529	39491__A0A396FFW0__ERE_10580
ERR1913283.822647__1.822647	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913283.822673__1.822673	820__A0A374QGD2__ERS852421_02382
ERR1913283.822902__1.822902	338188__A0A1Q6HJ51__endOF1_2
ERR1913283.822994__1.822994	239935__A0A2N8IMC9__CXU09_02095
ERR1913283.823065__1.823065	28117__B0MXG8__ALIPUT_01814
ERR1913283.823243__1.823243	820__A0A396CMY7__HMPREF1072_03009
ERR1913283.823509__1.823509	1262700__R5XCA0__BN695_00029
ERR1913283.823547__1.823547	239935__A0A139TQT9__Amuc_1197
ERR1913283.823588__1.823588	239935__A0A2N8IMC3__CXT96_03840
ERR1913283.823837__1.823837	1262911__R6GY22__BN557_00023
ERR1913283.824073__1.824073	384638__B7APN3__BACPEC_00639
ERR1913283.824085__1.824085	47678__A0A174G5P3__DXB67_14265
ERR1913283.824098__1.824098	1262889__R7H8I0__BN634_00208
ERR1913283.824298__1.824298	818__A0A0P0F7K1__ERS852461_02719
ERR1913283.824423__1.824423	360807__A0A174F8N1__ERS852444_00648
ERR1913283.824574__1.824574	820__A0A1T4IY71__HMPREF2141_02402
ERR1913283.824655__1.824655	166486__D4KXE5__ERS852572_01168
ERR1913283.824691__1.824691	338188__A0A174FPA3__BACFIN_06857
ERR1913283.824943__1.824943	310297__B5D214__DXD04_07920
ERR1913283.825048__1.825048	820__A0A174FUF0__HMPREF1073_03308
ERR1913283.825051__1.825051	820__A7VAR9__ERS852421_00197
ERR1913283.825133__1.825133	338188__K5CL92__BACFIN_07565
ERR1913283.825176__1.825176	674529__R6UVG4__DXB21_01250
ERR1913283.825181__1.825181	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913283.825527__1.825527	239935__A0A2N8HL50__CXT98_09135
ERR1913283.825528__1.825528	1160721__W0U7T4__BHW50_09645
ERR1913283.825700__1.825700	820__A7VAR9__ERS852421_00197
ERR1913283.825880__1.825880	820__A0A3E4PYB0__yejM
ERR1913283.826206__1.826206	820__A0A3E4FZM1__adaA_2
ERR1913283.826268__1.826268	310297__B5CUD7__BHV76_11070
ERR1913283.826397__1.826397	46503__B7BG40__ERS852463_01623
ERR1913283.826436__1.826436	1262911__R6GSH0__BN557_00934
ERR1913283.826592__1.826592	487174__K0WYI1__DDY40_08675
ERR1913283.826791__1.826791	820__R9HXK9__DXB62_08265
ERR1913283.826848__1.826848	821__A0A174V2F3__NCTC10583_01474
ERR1913283.826891__1.826891	239935__A0A2N8IL82__CXU02_11740
ERR1913283.827059__1.827059	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913283.827587__1.827587	33025__A0A395J973__C8D73_11010
ERR1913283.827903__1.827903	39488__A0A285PVA5__ERS852450_01472
ERR1913283.828036__1.828036	28117__B0MXD0__ALIPUT_01669
ERR1913283.828039__1.828039	239935__A0A2N8IMC3__CXT96_03840
ERR1913283.828127__1.828127	820__A0A139KEW8__DXB64_06405
ERR1913283.828132__1.828132	338188__A0A174JXM7__ERS852397_03350
ERR1913283.828205__1.828205	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913283.828260__1.828260	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.828378__1.828378	745368__A0A1T4WKV6__SAMN02745178_00720
ERR1913283.828612__1.828612	1160721__W0U8M9__RBI_II00386
ERR1913283.828754__1.828754	556259__E5C8S0__BSGG_1769
ERR1913283.828880__1.828880	28118__F9Z5M4__B5F93_14995
ERR1913283.829098__1.829098	39491__A0A395V5R3__EUBREC_1883
ERR1913283.829920__1.829920	820__A0A174F0C1__nreB
ERR1913283.830047__1.830047	88431__A0A3D0EWY9__ERS852423_01238
ERR1913283.830064__1.830064	820__A0A139KJR5__M093_4469
ERR1913283.830292__1.830292	39488__A0A285PQE3__DXD91_00180
ERR1913283.830407__1.830407	39491__D4JMW8__ERS852497_01971
ERR1913283.830565__1.830565	47678__R5U9Z0__HMPREF1061_03210
ERR1913283.831235__1.831235	40518__R5DV58__htrA
ERR1913283.831305__1.831305	116085__D4JC59__DW747_00225
ERR1913283.831320__1.831320	823__A0A174PDQ0__DXC05_08200
ERR1913283.831325__1.831325	338188__R6RXC1__ERS852397_01581
ERR1913283.831495__1.831495	820__A0A139K0J1__HMPREF2141_03205
ERR1913283.831760__1.831760	821__A0A396F9T7__M097_3427
ERR1913283.831783__1.831783	88431__A0A3D0EYE9__rafA
ERR1913283.831794__1.831794	239935__A0A2N8IQX1__dnaA
ERR1913283.831962__1.831962	1263044__GCA_000433375.1_03409
ERR1913283.832015__1.832015	823__A0A355XEX9__ERS852560_03521
ERR1913283.832152__1.832152	820__A0A078S4C2__ERS417307_00828
ERR1913283.832160__1.832160	28118__F9ZAE1__DF785_04930
ERR1913283.832256__1.832256	387090__S0F5L4__BACCOPRO_00315
ERR1913283.832567__1.832567	28116__A0A395VSP8__ERS852555_02642
ERR1913283.832476__1.832476	39492__D4JQY4__EUBSIR_01325
ERR1913283.832716__1.832716	39491__C4ZCH3__EUR_17560
ERR1913283.832746__1.832746	1263044__GCA_000433375.1_00652
ERR1913283.833036__1.833036	239935__A0A3F3K9J9__DEF40_00940
ERR1913283.833112__1.833112	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913283.833135__1.833135	39492__D4JWL2__ERS852540_01201
ERR1913283.833305__1.833305	28117__B0MY40__BHV66_05170
ERR1913283.833353__1.833353	1263044__GCA_000433375.1_00353
ERR1913283.833443__1.833443	338188__C9L2Z1__BACFIN_08973
ERR1913283.833722__1.833722	166486__D4L273__ERS852572_01638
ERR1913283.833980__1.833980	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913283.834011__1.834011	338188__R6D6U2__ERS852397_02840
ERR1913283.834033__1.834033	338188__A0A173XHS4__BACFIN_08438
ERR1913283.834160__1.834160	166486__D4KZ69__ERS852572_01502
ERR1913283.834312__1.834312	28117__B0MTV5__BHV66_06415
ERR1913283.834449__1.834449	338188__A0A174DQN3__HMPREF1057_03481
ERR1913283.834709__1.834709	239935__A0A139TT05__CXU09_03335
ERR1913283.834938__1.834938	820__A0A374Q854__HMPREF1073_03281
ERR1913283.835213__1.835213	626932__G5HAG6__HMPREF9450_01631
ERR1913283.835359__1.835359	820__A0A139JRS5__HMPREF1073_04025
ERR1913283.835425__1.835425	28117__R7JJM9__ALIPUT_00662
ERR1913283.835728__1.835728	820__A0A139KJ23__celCCA
ERR1913283.835836__1.835836	649756__D4MTV5__sorC
ERR1913283.835988__1.835988	626929__F3PDS3__HMPREF9445_00131
ERR1913283.836363__1.836363	818__A0A139JW76__BJP75_002555
ERR1913283.836420__1.836420	820__A0A3E4XDK3__ERS852554_03650
ERR1913283.836567__1.836567	853__C7H1R8__DW905_06675
ERR1913283.836598__1.836598	1262700__R5XUF1__BN695_00765
ERR1913283.836653__1.836653	218538__C9LNQ3__GCWU000321_01176
ERR1913283.836743__1.836743	39491__A0A174LTW7__DXD13_08720
ERR1913283.836889__1.836889	28117__B0MU57__ALIPUT_00175
ERR1913283.836945__1.836945	1535__A7VS87__CLOLEP_01425
ERR1913283.836956__1.836956	1262889__R7HCV1__BN634_01227
ERR1913283.837150__1.837150	76489__A0A1E8EUC5__CLOACE_23150
ERR1913283.837277__1.837277	360807__A0A174EGV9__ROSEINA2194_01773
ERR1913283.837409__1.837409	28116__C3QZB5__M088_3811
ERR1913283.837503__1.837503	40518__R5DZ16__DXD86_01455
ERR1913283.837805__1.837805	40518__R5DXW3__DXD86_07900
ERR1913283.838027__1.838027	1262911__R6GPM2__BN557_00937
ERR1913283.838128__1.838128	39491__A0A396FKG5__DXB76_07455
ERR1913283.838381__1.838381	820__A0A174DZ97__SAMN05444418_101240
ERR1913283.838617__1.838617	820__A0A173YYG4__evgS_3
ERR1913283.838635__1.838635	39492__D4JU49__ERS852540_00175
ERR1913283.838653__1.838653	1262700__R5XDF3__BN695_01151
ERR1913283.838742__1.838742	1262700__R5XDF3__BN695_01151
ERR1913283.838885__1.838885	572010__aspS
ERR1913283.839140__1.839140	39491__A0A3E4YFT8__DXB69_10940
ERR1913283.839197__1.839197	820__A7V8C2__ERS852554_01338
ERR1913283.839452__1.839452	214851__D1PN40__SUBVAR_05755
ERR1913283.839456__1.839456	40518__A0A1Q6S5M1__DXD83_09325
ERR1913283.839826__1.839826	1965650__A0A1Y3UXR0__B5G16_12250
ERR1913283.839894__1.839894	165179__A0A229I9X5__CFT61_01205
ERR1913283.840002__1.840002	218538__C9LQZ7__GCWU000321_01979
ERR1913283.840004__1.840004	47678__R5U9M8__CGC64_07665
ERR1913283.840212__1.840212	823__A6LBY1__ERS852380_00510
ERR1913283.840322__1.840322	39491__A0A395ZG74__licR
ERR1913283.840499__1.840499	239935__A0A2N8I7W6__CXT90_04245
ERR1913283.840575__1.840575	39491__D4JMW8__ERS852497_01971
ERR1913283.840595__1.840595	820__A0A174Q0F0__DXB48_08080
ERR1913283.840649__1.840649	1262889__R7HF25__BN634_01246
ERR1913283.840722__1.840722	39488__C0F0P8__EUBHAL_03272
ERR1913283.840840__1.840840	357276__A0A0K2HKT7__B5F95_21090
ERR1913283.840909__1.840909	820__A0A3E4G493__ERS417307_00253
ERR1913283.841045__1.841045	39491__C4ZHS4__EUR_24420
ERR1913283.841230__1.841230	823__D7ILK2__ERS852380_00031
