ERR1912964.104__1.104	1680__A0A087DKM6__B0042_0664
ERR1912964.4058695__1.4058695	1262761__R6RML5__BN606_00248
ERR1912964.4058702__1.4058702	239935__A0A2N8IRH4__CXT92_05605
ERR1912964.4058763__1.4058763	239935__A0A3F3K9J9__DEF40_00940
ERR1912964.4058794__1.4058794	239935__A0A2N8HB50__CXU17_02615
ERR1912964.4059025__1.4059025	1263027__R6ZXJ6__BN699_00767
ERR1912964.4059118__1.4059118	239935__A0A2N8HQR1__Amuc_0287
ERR1912964.4059165__1.4059165	1262961__R6E1C5__BN710_01058
ERR1912964.4059175__1.4059175	1262761__R6R1H3__BN606_00786
ERR1912964.4059179__1.4059179	239935__A0A3F3K9J9__DEF40_00940
ERR1912964.4059233__1.4059233	1263027__R6ZFP7__BN699_00330
ERR1912964.4059240__1.4059240	1262869__R7CT01__BN625_00786
ERR1912964.4059363__1.4059363	901__B6WUL1__DESPIG_01755
ERR1912964.4059413__1.4059413	820__A0A3E4WCX3__C801_02709
ERR1912964.4059459__1.4059459	1262761__R6RU22__BN606_01110
ERR1912964.4059527__1.4059527	1161942__addA_3
ERR1912964.4059689__1.4059689	853__R6QDR1__C4N27_08170
ERR1912964.4059782__1.4059782	1262869__R7CL54__BN625_00830
ERR1912964.4059824__1.4059824	239935__R7DVW2__CXU02_03915
ERR1912964.4060297__1.4060297	33043__D5HGS9__ERS852445_02226
ERR1912964.4060349__1.4060349	853__A0A174BZY1__xerD_1
ERR1912964.4060422__1.4060422	239935__A0A2N8HHY4__DEF40_10850
ERR1912964.4060386__1.4060386	1262911__R6H2J2__BN557_01228
ERR1912964.4060484__1.4060484	1628085__A0A2U1B8P2__C7386_11431
ERR1912964.4060493__1.4060493	487175__A0A3D4GD47__HMPREF9439_00714
ERR1912964.4060542__1.4060542	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.4060548__1.4060548	216816__D6ZXB6__BBL306_0063
ERR1912964.4060801__1.4060801	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.4060893__1.4060893	165179__A0A3E5E7J5__DXC61_10360
ERR1912964.4061095__1.4061095	239935__A0A2N8HSC0__CXU06_05505
ERR1912964.4061170__1.4061170	853__A0A173RZ39__C4N22_01650
ERR1912964.4061348__1.4061348	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.4061460__1.4061460	1263000__R5EH44__BN466_01492
ERR1912964.4061833__1.4061833	239935__A0A2N8ITG2__Amuc_0335
ERR1912964.4061866__1.4061866	33043__D5HF43__ERS852445_00477
ERR1912964.4061878__1.4061878	33043__A0A174AEP1__apr
ERR1912964.4061890__1.4061890	1262869__R7CT13__BN625_00558
ERR1912964.4061960__1.4061960	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.4062017__1.4062017	1897011__A0A1Q6RBV8__BHW41_06760
ERR1912964.4062231__1.4062231	1262889__R7HED3__BN634_01717
ERR1912964.4062375__1.4062375	1262761__R6QW14__BN606_00877
ERR1912964.4062460__1.4062460	1262700__R5XKX7__BN695_01333
ERR1912964.4062505__1.4062505	47678__A5ZL09__BACCAC_03608
ERR1912964.4062510__1.4062510	944036__A0A196SFK2__AV274_3371
ERR1912964.4062732__1.4062732	239935__A0A2N8HBP0__CXT94_04450
ERR1912964.4062851__1.4062851	39485__C4Z685__EUBELI_20332
ERR1912964.4063052__1.4063052	853__A0A173RZ39__C4N22_01650
ERR1912964.4063155__1.4063155	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912964.4063195__1.4063195	853__A8SB03__C4Q21_07960
ERR1912964.4063248__1.4063248	33043__A0A173WU55__ganB_2
ERR1912964.4063321__1.4063321	487174__K0XG81__HMPREF9448_02274
ERR1912964.4063364__1.4063364	1897011__A0A1Q6RDX0__BHW41_05325
ERR1912964.4063424__1.4063424	1161942__btrK_1
ERR1912964.4063611__1.4063611	901__B6WXK8__DESPIG_02835
ERR1912964.4063621__1.4063621	239935__B2UQP8__CXU15_01110
ERR1912964.4063633__1.4063633	1680__A0A0B5BME4__DXD63_05015
ERR1912964.4063666__1.4063666	853__A0A174C5M1__CGS58_04460
ERR1912964.4064321__1.4064321	1262761__R6R840__BN606_01433
ERR1912964.4064411__1.4064411	853__A0A2A7B1Y7__C7K05_11930
ERR1912964.4064433__1.4064433	1235835__R9LCU2__C814_02677
ERR1912964.4064444__1.4064444	33043__D5HIS6__ERS852575_02019
ERR1912964.4064603__1.4064603	853__A0A2A7B9I6__DW855_13690
ERR1912964.4065167__1.4065167	33043__D5HFA1__ERS852400_02183
ERR1912964.4065226__1.4065226	384638__B7AW09__BACPEC_02909
ERR1912964.4065287__1.4065287	165179__A0A3E5EBQ2__DXC61_01930
ERR1912964.4065522__1.4065522	1680__R5GSL8__DXD60_03315
ERR1912964.4065612__1.4065612	1393034__GCA_001552785.1_00510
ERR1912964.4065810__1.4065810	1262761__R6QUS0__BN606_00152
ERR1912964.4066383__1.4066383	239935__A0A2N8IFA0__CXT92_02050
ERR1912964.4066411__1.4066411	33043__A0A174H1B6__ERS852575_02702
ERR1912964.4066433__1.4066433	1161942__celI_2
ERR1912964.4066687__1.4066687	216816__E5XYF2__APC1480_0509
ERR1912964.4066730__1.4066730	33043__D5HIA8__ERS852575_01867
ERR1912964.4066742__1.4066742	1897011__A0A1Q6RDB1__BHW41_05850
ERR1912964.4066783__1.4066783	1263000__R5EBB0__BN466_00463
ERR1912964.4066860__1.4066860	239935__A0A2N8I8X8__B5G29_00185
ERR1912964.4066902__1.4066902	165179__A0A174IPI3__CFT61_10940
ERR1912964.4067007__1.4067007	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.4067112__1.4067112	28117__B0MT73__ALIPUT_00412
ERR1912964.4067184__1.4067184	33043__D5HIE6__ERS852445_01796
ERR1912964.4067404__1.4067404	1263027__R7AUY9__BN699_02011
ERR1912964.4067552__1.4067552	1262915__R6HGG0__BN574_00378
ERR1912964.4067570__1.4067570	1161942__capA
ERR1912964.4067673__1.4067673	239935__A0A2N8HB50__CXU17_02615
ERR1912964.4067984__1.4067984	239935__A0A2N8HL14__CXT98_09285
ERR1912964.4067997__1.4067997	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1912964.4068162__1.4068162	1897011__A0A1Q6RH29__BHW41_01570
ERR1912964.4068273__1.4068273	1263000__R5EZ76__BN466_00319
ERR1912964.4068361__1.4068361	74426__groL
ERR1912964.4068408__1.4068408	901__B6WUY7__DHV46_11425
ERR1912964.4068985__1.4068985	239935__A0A2N8IRW0__A4V05_11620
ERR1912964.4068971__1.4068971	901__B6WUN9__DESPIGER_1850
ERR1912964.4069196__1.4069196	165179__A0A3E5DR10__DXC61_03505
ERR1912964.4069317__1.4069317	39492__D4JUD9__EUBSIR_01875
ERR1912964.4069289__1.4069289	901__B6WUY7__DHV46_11425
ERR1912964.4069357__1.4069357	901__B6WUH5__DESPIGER_1779
ERR1912964.4069433__1.4069433	1262761__R6RBJ5__BN606_02022
ERR1912964.4069498__1.4069498	1262761__R6R4V4__BN606_00113
ERR1912964.4069632__1.4069632	572010__tgt
ERR1912964.4069806__1.4069806	328814__GCA_004558275.1_00034
ERR1912964.4069812__1.4069812	1680__A0A0C2YPV2__AL0462_1474
ERR1912964.4069799__1.4069799	33043__A8SWM2__ERS852575_01910
ERR1912964.4069825__1.4069825	165179__A0A3E5A554__DXB80_13805
ERR1912964.4069849__1.4069849	901__B6WVE2__DHV46_05785
ERR1912964.4069930__1.4069930	1262761__R6QVL2__BN606_00807
ERR1912964.4070049__1.4070049	239935__A0A2N8IQX1__dnaA
ERR1912964.4070064__1.4070064	55565__G9PFE8__CJ186_02755
ERR1912964.4070246__1.4070246	1262869__R7CQ04__BN625_01499
ERR1912964.4070317__1.4070317	239935__A0A139TT05__CXU09_03335
ERR1912964.4070554__1.4070554	1161942__addA_3
ERR1912964.4070641__1.4070641	1262761__R6RBJ5__BN606_02022
ERR1912964.4070787__1.4070787	165179__R6CNX7__DXB80_02200
ERR1912964.4070844__1.4070844	360807__A0A0M6X184__ERS852392_03203
ERR1912964.4070880__1.4070880	1262988__R7N2U6__BN816_01557
ERR1912964.4070962__1.4070962	630129__A0A087B617__BKAS_1320
ERR1912964.4070980__1.4070980	33043__A0A173S5P8__ERS852445_00566
ERR1912964.4070991__1.4070991	28132__D9RV83__HMPREF0660_00835
ERR1912964.4071027__1.4071027	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1912964.4071201__1.4071201	1105031__J1H3W2__HMPREF1141_2783
ERR1912964.4071346__1.4071346	33043__A0A173X520__ERS852575_01617
ERR1912964.4071375__1.4071375	39485__A0A174ZA72__glgB_1
ERR1912964.4071571__1.4071571	33043__D5HHF5__ERS852386_00025
ERR1912964.4071585__1.4071585	821__E5UY21__C800_02204
ERR1912964.4071687__1.4071687	944036__A0A196S4X3__AV274_6193
ERR1912964.4071734__1.4071734	246787__A0A3D6AQP8__AA416_04153
ERR1912964.4071940__1.4071940	1161942__cca
ERR1912964.4071967__1.4071967	33043__A0A374K1H3__ykoD_2
ERR1912964.4071994__1.4071994	853__A0A173YYY4__DWZ04_09420
ERR1912964.4072169__1.4072169	1263000__R5EGP9__BN466_01419
ERR1912964.4072240__1.4072240	384638__B7AVU0__BACPEC_02840
ERR1912964.4072451__1.4072451	39485__C4Z355__ERS852490_01971
ERR1912964.4072732__1.4072732	239935__A0A139TPD4__CXT86_06450
ERR1912964.4072686__1.4072686	487174__K0X3E8__DIT83_11025
ERR1912964.4072805__1.4072805	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.4072854__1.4072854	1735__B7CC21__EUBIFOR_01746
ERR1912964.4072956__1.4072956	1262761__R6QV93__BN606_01806
ERR1912964.4073108__1.4073108	1263000__R5EGP9__BN466_01419
ERR1912964.4073116__1.4073116	821__A0A174RA14__M099_1655
ERR1912964.4073280__1.4073280	1897011__A0A1Q6RFK0__BHW41_03420
ERR1912964.4073410__1.4073410	33043__D5HI50__smf
ERR1912964.4073702__1.4073702	853__A0A173XRA8__CGS56_09290
ERR1912964.4073763__1.4073763	33043__A0A173X7L1__ERS852400_00423
ERR1912964.4073917__1.4073917	239935__A0A2N8IMD6__CXU03_05585
ERR1912964.4073921__1.4073921	1897011__A0A1Q6RJU7__BHW41_00015
ERR1912964.4074037__1.4074037	853__A0A2A7A628__CGS57_13755
ERR1912964.4074118__1.4074118	1161942__araP
ERR1912964.4074399__1.4074399	1161942__cca
ERR1912964.4074473__1.4074473	239935__A0A2N8ITX2__CXT86_11265
ERR1912964.4074537__1.4074537	1262915__R6HCJ7__BN574_00649
ERR1912964.4074710__1.4074710	46506__B0NUC3__SAMN05444283_1019
ERR1912964.4074796__1.4074796	853__A0A3E2U7E6__ERS852582_01640
ERR1912964.4074933__1.4074933	239935__A0A2N8IU45__DEF40_02365
ERR1912964.4074973__1.4074973	39492__D4JRY3__EUBSIR_01473
ERR1912964.4075020__1.4075020	39496__A5Z5I2__EUBVEN_00963
ERR1912964.4075114__1.4075114	1262761__R6QXL2__BN606_02127
ERR1912964.4075391__1.4075391	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912964.4075508__1.4075508	165179__A0A174SA26__PREVCOP_05758
ERR1912964.4075680__1.4075680	1161942__atpC
ERR1912964.4075871__1.4075871	1680__A7A7Z9__AAX71_05385
ERR1912964.4075966__1.4075966	33043__A0A173YUV6__ERS852386_00507
ERR1912964.4076069__1.4076069	239935__A0A139TQT9__Amuc_1197
ERR1912964.4076138__1.4076138	1235835__R9LCU2__C814_02677
ERR1912964.4076299__1.4076299	1262761__R6QS33__BN606_00308
ERR1912964.4076411__1.4076411	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1912964.4076449__1.4076449	216816__A0A0A6VPB9__B624_1780
ERR1912964.4076582__1.4076582	239935__A0A139TQT9__Amuc_1197
ERR1912964.4076842__1.4076842	33043__A0A174AEP1__apr
ERR1912964.4076855__1.4076855	853__A0A3E2U7E6__ERS852582_01640
ERR1912964.4077275__1.4077275	239935__A0A139TQT9__Amuc_1197
ERR1912964.4077485__1.4077485	40519__U2KBF3__RUMCAL_01572
ERR1912964.4077500__1.4077500	165179__R6CNX7__DXB80_02200
ERR1912964.4077750__1.4077750	301301__A0A395V4X8__ERS852391_01546
ERR1912964.4077810__1.4077810	1965604__A0A1Y4F013__B5F54_08905
ERR1912964.4077854__1.4077854	33043__D5HFA1__ERS852400_02183
ERR1912964.4078310__1.4078310	165179__A0A3E5AGH1__DXB80_05820
ERR1912964.4078280__1.4078280	823__A0A355WYX8__CF162_07950
ERR1912964.4078529__1.4078529	1262992__R5D3T4__BN795_00483
ERR1912964.4078602__1.4078602	310297__B5CV52__DXC17_10455
ERR1912964.4078675__1.4078675	33043__A0A173WXS1__ERS852445_00262
ERR1912964.4078739__1.4078739	853__A0A329UEG4__CHR60_00585
ERR1912964.4079105__1.4079105	40518__R5E304__thiT
ERR1912964.4079309__1.4079309	40518__R5DZ16__DXD86_01455
ERR1912964.4079379__1.4079379	165179__D1PCT4__DXB80_09470
ERR1912964.4079615__1.4079615	1262761__R6QVL2__BN606_00807
ERR1912964.4079709__1.4079709	39485__R5ZNG4__yerB
ERR1912964.4079799__1.4079799	216816__A0A061M1M5__HMPREF0177_01046
ERR1912964.4079822__1.4079822	1263027__R6ZJI2__BN699_01834
ERR1912964.4080045__1.4080045	28117__B0MXU6__ALIPUT_01958
ERR1912964.4080127__1.4080127	1897011__A0A1Q6RC30__BHW41_06700
ERR1912964.4080339__1.4080339	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.4080400__1.4080400	322505__xre_3
ERR1912964.4080475__1.4080475	1262915__R6HDZ3__BN574_00306
ERR1912964.4080546__1.4080546	1161942__celE_1
ERR1912964.4080677__1.4080677	1680__R5GRA4__ERS852382_01548
ERR1912964.4080829__1.4080829	1263027__R7AV02__BN699_02111
ERR1912964.4080831__1.4080831	1262761__R6R8B3__BN606_01478
ERR1912964.4081550__1.4081550	39496__A5Z5I2__EUBVEN_00963
ERR1912964.4081658__1.4081658	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912964.4081770__1.4081770	239935__A0A2N8IRW0__A4V05_11620
ERR1912964.4081841__1.4081841	1897011__A0A1Q6RGC2__BHW41_02765
ERR1912964.4081967__1.4081967	1897011__A0A1Q6RE67__BHW41_04635
ERR1912964.4082078__1.4082078	1263030__R5CZV8__BN705_01159
ERR1912964.4082241__1.4082241	33043__A0A174CC83__ERS852575_02077
ERR1912964.4082260__1.4082260	1262889__R7HAE2__BN634_00423
ERR1912964.4082303__1.4082303	1263000__R5ES99__BN466_01121
ERR1912964.4082329__1.4082329	33043__A8SPT5__yfiN_2
ERR1912964.4082405__1.4082405	1262761__R6QWI4__BN606_00934
ERR1912964.4082817__1.4082817	1262761__R6RP35__BN606_00461
ERR1912964.4082908__1.4082908	572010__adhR
ERR1912964.4083094__1.4083094	1161942__celA_6
ERR1912964.4083324__1.4083324	1897011__A0A1Q6RFG1__BHW41_03725
ERR1912964.4083412__1.4083412	853__A0A2A7B9I6__DW855_13690
ERR1912964.4083595__1.4083595	33043__A0A173X520__ERS852575_01617
ERR1912964.4083785__1.4083785	33043__D5HGZ8__nnr
ERR1912964.4083880__1.4083880	1262761__R6RNL8__BN606_00387
ERR1912964.4083915__1.4083915	33043__A0A174EI47__inlJ
ERR1912964.4083925__1.4083925	28117__B0MTH2__ALIPUT_00061
ERR1912964.4083900__1.4083900	1161942__cshA
ERR1912964.4084001__1.4084001	853__A0A174BZY1__xerD_1
ERR1912964.4084253__1.4084253	33043__D5HI50__smf
ERR1912964.4084364__1.4084364	384638__B7AUF8__BACPEC_02356
ERR1912964.4084557__1.4084557	33043__A0A173WPI1__ERS852400_02100
ERR1912964.4084581__1.4084581	239935__A0A2N8IU14__ADH72_05655
ERR1912964.4084666__1.4084666	1263027__R6ZKM0__BN699_02199
ERR1912964.4084923__1.4084923	820__A0A374MMF0__HMPREF1073_03811
ERR1912964.4085138__1.4085138	239935__B2UPZ6__CXU03_03800
ERR1912964.4085543__1.4085543	239935__A0A2N8IU45__DEF40_02365
ERR1912964.4085663__1.4085663	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.4085697__1.4085697	1680__A1A0V3__C8077_03025
ERR1912964.4085711__1.4085711	239935__A0A2N8IRH4__CXT92_05605
ERR1912964.4085790__1.4085790	33043__D5HFA1__ERS852400_02183
ERR1912964.4085862__1.4085862	1897011__A0A1Q6RG85__BHW41_02670
ERR1912964.4085905__1.4085905	239935__A0A2N8HHY4__DEF40_10850
ERR1912964.4086128__1.4086128	944036__A0A196SF90__AV274_2609
ERR1912964.4086146__1.4086146	1262761__R6QWS5__BN606_02019
ERR1912964.4086232__1.4086232	239935__A0A2N8IMC3__CXT96_03840
ERR1912964.4086279__1.4086279	1680__A0A173XYA2__B0703_0121
ERR1912964.4086481__1.4086481	33043__D5HIL5__ERS852445_01761
ERR1912964.4086508__1.4086508	239935__A0A2N8ITX2__CXT86_11265
ERR1912964.4086552__1.4086552	1680__A0A2R4G1K8__BBMN23_0315
ERR1912964.4087170__1.4087170	239935__A0A3F3K9J9__DEF40_00940
ERR1912964.4087259__1.4087259	901__B6WVE2__DHV46_05785
ERR1912964.4087282__1.4087282	39485__C4Z6V1__ERS852492_02640
ERR1912964.4087649__1.4087649	116085__D4J740__DW747_11625
ERR1912964.4087929__1.4087929	1263027__R7AXQ2__BN699_01139
ERR1912964.4088073__1.4088073	1263027__R7A086__BN699_00068
ERR1912964.4088133__1.4088133	33043__D5HDF1__ERS852386_02231
ERR1912964.4088261__1.4088261	28117__B0MY34__BHV66_05195
ERR1912964.4088394__1.4088394	165179__A0A3E5E3D6__DXC61_05750
ERR1912964.4088444__1.4088444	239935__A0A2N8IRL2__CXU06_01170
ERR1912964.4088451__1.4088451	1472761__GCA_002159295.1_01982
ERR1912964.4088598__1.4088598	239935__A0A2N8HT18__CXT93_06135
ERR1912964.4088656__1.4088656	1262761__R6R4K8__BN606_01919
ERR1912964.4088921__1.4088921	1628085__A0A2U1BDS5__C7386_1046
ERR1912964.4089043__1.4089043	1263027__R6ZPD8__BN699_00744
ERR1912964.4089287__1.4089287	1897011__A0A1Q6RE56__BHW41_04765
ERR1912964.4089358__1.4089358	853__C7H1R8__DW905_06675
ERR1912964.4089421__1.4089421	328814__GCA_004558275.1_01002
ERR1912964.4089434__1.4089434	216816__E8MVM4__APC1480_1562
ERR1912964.4089540__1.4089540	1680__A7A4N3__ERS852382_00779
ERR1912964.4089664__1.4089664	1680__A7A7Z9__AAX71_05385
ERR1912964.4089687__1.4089687	1262761__R6RB22__BN606_01933
ERR1912964.4089696__1.4089696	1680__A1A1R1__BIFADO_00076
ERR1912964.4089699__1.4089699	1262761__R6RU22__BN606_01110
ERR1912964.4089722__1.4089722	1161942__argB
ERR1912964.4089870__1.4089870	214856__I3YPR2__Alfi_2720
ERR1912964.4089922__1.4089922	1262915__R6HCJ7__BN574_00649
ERR1912964.4089897__1.4089897	239935__A0A2N8I1R3__CXU05_06075
ERR1912964.4090026__1.4090026	165179__D1PDF6__DXB80_12430
ERR1912964.4090151__1.4090151	1262761__R6QXL2__BN606_02127
ERR1912964.4090320__1.4090320	33043__A0A173QUA9__ERS852400_01795
ERR1912964.4090397__1.4090397	1262911__R6H2J2__BN557_01228
ERR1912964.4090558__1.4090558	1897011__A0A1Q6RG59__BHW41_02475
ERR1912964.4090842__1.4090842	33043__A0A173WU55__ganB_2
ERR1912964.4090980__1.4090980	944036__A0A196SJI0__AV274_1789
ERR1912964.4091102__1.4091102	239935__B2URG9__CXU00_11290
ERR1912964.4091189__1.4091189	239935__A0A2N8IMD6__CXU03_05585
ERR1912964.4091233__1.4091233	1263000__R5EGY7__BN466_01478
ERR1912964.4091322__1.4091322	1262961__R6DXP5__BN710_00616
ERR1912964.4091442__1.4091442	1262992__R5D546__BN795_00726
ERR1912964.4091538__1.4091538	239935__A0A2N8HZW2__A4V05_11120
ERR1912964.4091633__1.4091633	239935__A0A2N8HM32__CXT85_08075
ERR1912964.4091654__1.4091654	1262992__R5CY89__BN795_01227
ERR1912964.4091719__1.4091719	33043__A0A174BZH6__ERS852400_01477
ERR1912964.4091786__1.4091786	74426__purL
ERR1912964.4091931__1.4091931	310297__B5CV97__DXD04_03850
ERR1912964.4091950__1.4091950	40518__R5E1J2__DXD93_04070
ERR1912964.4091972__1.4091972	55565__G9PHL0__CJ186_06760
ERR1912964.4092125__1.4092125	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.4092200__1.4092200	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.4092364__1.4092364	1262915__R6ICM3__BN574_00148
ERR1912964.4092622__1.4092622	1263000__R5EGY6__BN466_00973
ERR1912964.4092814__1.4092814	33043__D5HHE4__ERS852445_02332
ERR1912964.4092866__1.4092866	1150298__R7JTG8__smf
ERR1912964.4093174__1.4093174	216816__E8MVM4__APC1480_1562
ERR1912964.4093183__1.4093183	394340__fusA_2
ERR1912964.4093269__1.4093269	28117__B0MYW7__ALIPUT_02336
ERR1912964.4093333__1.4093333	1262761__R6QWS5__BN606_02019
ERR1912964.4093561__1.4093561	1262761__R6RUQ5__BN606_01129
ERR1912964.4093565__1.4093565	239935__A0A2N8HBM4__CXT85_06270
ERR1912964.4093578__1.4093578	1897011__A0A1Q6RIP3__BHW41_00615
ERR1912964.4093883__1.4093883	1262761__R6RU22__BN606_01110
ERR1912964.4094139__1.4094139	384638__B7APN3__BACPEC_00639
ERR1912964.4094451__1.4094451	39491__A0A396FGM9__fliU_1
ERR1912964.4094615__1.4094615	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912964.4094867__1.4094867	33043__D5HF09__ERS852575_02732
ERR1912964.4095200__1.4095200	1262761__R6QXE4__BN606_02110
ERR1912964.4095208__1.4095208	1263000__R5EC87__BN466_00713
ERR1912964.4095624__1.4095624	1263027__R6ZXJ6__BN699_00767
ERR1912964.4095720__1.4095720	1150298__R7JRK4__ERS852406_01648
ERR1912964.4095877__1.4095877	239935__A0A2N8I3Z7__CXU05_10555
ERR1912964.4095961__1.4095961	33043__A0A374K1H3__ykoD_2
ERR1912964.4096520__1.4096520	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912964.4096640__1.4096640	165179__A0A3E5DV57__DXB80_11400
ERR1912964.4096652__1.4096652	239935__A0A2N8IFA0__CXT92_02050
ERR1912964.4096664__1.4096664	1680__A0A087DHN0__AL0462_1532
ERR1912964.4096749__1.4096749	28117__B0MTV5__BHV66_06415
ERR1912964.4096971__1.4096971	33043__D5HJ22__ERS852575_02302
ERR1912964.4097116__1.4097116	1897011__A0A1Q6RDN7__BHW41_05650
ERR1912964.4097132__1.4097132	204516__U6RPN2__HMPREF1534_00368
ERR1912964.4097267__1.4097267	33043__D5HGK4__ERS852445_01371
ERR1912964.4097419__1.4097419	74426__infB
ERR1912964.4097421__1.4097421	33043__A0A174AMG1__ERS852386_01665
ERR1912964.4097452__1.4097452	33043__A0A173WTR4__ERS852386_00324
ERR1912964.4097664__1.4097664	1262911__R6H0U7__BN557_01104
ERR1912964.4098079__1.4098079	1262761__R6QKZ0__BN606_00913
ERR1912964.4098187__1.4098187	239935__A0A2N8IIB9__CXU04_01970
ERR1912964.4098214__1.4098214	74426__purC
ERR1912964.4098311__1.4098311	28117__R7JJM9__ALIPUT_00662
ERR1912964.4098419__1.4098419	853__A0A2A7B9I6__DW855_13690
ERR1912964.4098539__1.4098539	239935__R7E524__CXT91_06180
ERR1912964.4098594__1.4098594	1263027__R7A0N9__BN699_02367
ERR1912964.4098574__1.4098574	1263000__R5ESM1__BN466_01440
ERR1912964.4098720__1.4098720	1263000__R5EXT3__BN466_02213
ERR1912964.4098695__1.4098695	28117__B0MY41__BHV66_05165
ERR1912964.4098788__1.4098788	33043__A0A173X520__ERS852575_01617
ERR1912964.4098836__1.4098836	33043__A0A173WU55__ganB_2
ERR1912964.4098856__1.4098856	239935__A0A2N8IVR0__CXT87_07115
ERR1912964.4099129__1.4099129	853__A0A2A7A628__CGS57_13755
ERR1912964.4099381__1.4099381	1263027__R7A6V9__BN699_01262
ERR1912964.4099760__1.4099760	552398__F4XCR9__HMPREF0866_01636
ERR1912964.4099797__1.4099797	28117__B0MWX3__BHV66_03010
ERR1912964.4099994__1.4099994	944036__A0A196SDL3__AV274_3886
ERR1912964.4100028__1.4100028	1150298__A0A174N5I7__ERS852498_01953
ERR1912964.4100314__1.4100314	1262761__R6RZF9__BN606_01803
ERR1912964.4100376__1.4100376	1262761__R6RP35__BN606_00461
ERR1912964.4100379__1.4100379	1897011__A0A1Q6RG85__BHW41_02670
ERR1912964.4100601__1.4100601	944036__A0A196S9L6__AV274_5258
ERR1912964.4100649__1.4100649	165179__W1I4H6__DXB80_13655
ERR1912964.4100900__1.4100900	853__A0A173RZ39__C4N22_01650
ERR1912964.4100958__1.4100958	1262761__R6QRP2__BN606_00241
ERR1912964.4101012__1.4101012	1263027__R6ZEP5__BN699_02369
ERR1912964.4101080__1.4101080	33043__A0A174AEP1__apr
ERR1912964.4101358__1.4101358	165179__A0A3E5EBY9__CFT61_01220
ERR1912964.4101400__1.4101400	216816__A0A1D7MV89__EK5BL_04715
ERR1912964.4101418__1.4101418	33043__D5HFD3__ybbD
ERR1912964.4101543__1.4101543	1680__A0A087DHN0__AL0462_1532
ERR1912964.4101553__1.4101553	239935__A0A2N8I390__CXU16_10675
ERR1912964.4101605__1.4101605	239935__B2UQB8__CXT86_01740
ERR1912964.4101664__1.4101664	901__B6WUN9__DESPIGER_1850
ERR1912964.4101667__1.4101667	1262915__R6HCJ7__BN574_00649
ERR1912964.4102037__1.4102037	1262915__R6HCJ7__BN574_00649
ERR1912964.4102085__1.4102085	28026__C0BTQ4__DXC75_02895
ERR1912964.4102156__1.4102156	1262961__R6DWA0__BN710_00347
ERR1912964.4102285__1.4102285	165179__A0A3E5E2S3__DXB80_03455
ERR1912964.4102265__1.4102265	1262992__R5D9A6__BN795_00819
ERR1912964.4102325__1.4102325	1262869__R7CSS2__BN625_00473
ERR1912964.4102630__1.4102630	901__B6WRI9__DESPIGER_0385
ERR1912964.4102597__1.4102597	328812__A0A0F5IQZ2__HMPREF1535_04329
ERR1912964.4102804__1.4102804	1161942__colA
ERR1912964.4102893__1.4102893	239935__A0A2N8I9P4__CXT85_05050
ERR1912964.4102898__1.4102898	33043__A0A174EI47__inlJ
ERR1912964.4102922__1.4102922	853__A0A3E2V168__FAEPRAM212_00929
ERR1912964.4103144__1.4103144	239935__A0A139TMG9__CXU07_10650
ERR1912964.4103252__1.4103252	165179__A0A3E5E2V4__PREVCOP_05070
ERR1912964.4103332__1.4103332	165179__A0A3E5DR10__DXC61_03505
ERR1912964.4103465__1.4103465	39485__C4Z1W5__ERS852492_01530
ERR1912964.4103694__1.4103694	1262869__R7CPS6__BN625_01465
ERR1912964.4103814__1.4103814	901__B6WUG8__DHV46_10540
ERR1912964.4103919__1.4103919	33043__D5HIU3__ERS852386_01914
ERR1912964.4103967__1.4103967	29361__B6FLM7__CLONEX_01049
ERR1912964.4104157__1.4104157	1897011__A0A1Q6REU9__BHW41_04345
ERR1912964.4104356__1.4104356	292800__A0A174Y0J1__HMPREF0372_03035
ERR1912964.4104467__1.4104467	630129__A0A173Z3K8__BKAS_0484
ERR1912964.4105011__1.4105011	165179__A0A3E5AER8__DXB80_07075
ERR1912964.4105012__1.4105012	901__B6WVS1__DESPIG_02189
ERR1912964.4105340__1.4105340	1680__A0A3E4SB79__BAD_1517
ERR1912964.4105305__1.4105305	1550024__A0A0D8IY61__ASJ35_05690
ERR1912964.4105492__1.4105492	165179__A0A174UTZ7__DXC61_06705
ERR1912964.4105497__1.4105497	33043__A0A173WU55__ganB_2
