ERR1913306.253__1.253	821__A0A396F9T7__M097_3427
ERR1913306.706605__1.706605	165179__A0A3E5DX33__PREVCOP_05190
ERR1913306.706613__1.706613	33043__A0A174BPN9__kfoC_2
ERR1913306.706724__1.706724	820__A0A139KIL9__DXC68_05945
ERR1913306.706944__1.706944	165179__A0A3E5AER8__DXB80_07075
ERR1913306.706965__1.706965	33043__A0A173YEP6__ERS852575_00888
ERR1913306.707069__1.707069	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913306.707127__1.707127	1262911__R6GVN8__BN557_01732
ERR1913306.707158__1.707158	2049043__A0A316NG19__DBY37_03005
ERR1913306.707225__1.707225	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913306.707231__1.707231	39485__A0A174YVS4__EUBELI_00620
ERR1913306.707238__1.707238	291644__I9TA29__HMPREF1532_02081
ERR1913306.707247__1.707247	33043__A0A174H1B6__ERS852575_02702
ERR1913306.707459__1.707459	853__A0A174BA00__DW905_01145
ERR1913306.707484__1.707484	46228__V8C7P7__HMPREF1202_01523
ERR1913306.707583__1.707583	28117__B0MYI9__BHV66_05415
ERR1913306.707765__1.707765	39485__R5ZRT8__gmr_6
ERR1913306.707728__1.707728	2293125__A0A374BSV3__DW917_13360
ERR1913306.707911__1.707911	46228__V8C7Q2__RUMLAC_01460
ERR1913306.708073__1.708073	39485__C4Z355__ERS852490_01971
ERR1913306.708103__1.708103	246787__A0A3D6AWM8__BACCELL_01963
ERR1913306.708320__1.708320	165179__A0A3E5E2C8__folA
ERR1913306.708360__1.708360	165179__A0A229I1J2__DXB80_03950
ERR1913306.708788__1.708788	165179__A0A3E5EA83__DXC61_07750
ERR1913306.709064__1.709064	33043__D5HH72__ERS852445_02265
ERR1913306.709107__1.709107	2173__A0A1D2WS51__METSMIALI_00230
ERR1913306.709121__1.709121	33043__D5HFA1__ERS852400_02183
ERR1913306.709379__1.709379	165179__A0A3E5AE59__DXC61_12885
ERR1913306.709637__1.709637	33043__D5HJC5__ERS852386_02144
ERR1913306.709708__1.709708	2293125__A0A374BMF4__DW917_15260
ERR1913306.709735__1.709735	39485__C4Z6R3__mcp2_1
ERR1913306.709852__1.709852	165179__D1P8V8__DXC61_01940
ERR1913306.709997__1.709997	165179__R6C3A5__DXC61_11820
ERR1913306.710330__1.710330	328812__A0A0F5JJ06__ACM15_12775
ERR1913306.710326__1.710326	165179__A0A3E5DZA5__DXB80_12550
ERR1913306.710593__1.710593	28117__B0MYI9__BHV66_05415
ERR1913306.710629__1.710629	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.710648__1.710648	33043__D5HJ22__ERS852575_02302
ERR1913306.710691__1.710691	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.711121__1.711121	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913306.711180__1.711180	166486__D4KXG6__ROSINTL182_08270
ERR1913306.711391__1.711391	1501391__GCA_000786575.1_00085
ERR1913306.711505__1.711505	626940__E8LCB4__DCQ00_08105
ERR1913306.711607__1.711607	820__A7V470__HMPREF1072_02076
ERR1913306.711609__1.711609	40518__R5E1X3__clcA
ERR1913306.711620__1.711620	165179__A0A3E5AER8__DXB80_07075
ERR1913306.711963__1.711963	39485__A0A174Z4K7__dosC_2
ERR1913306.711935__1.711935	33043__A8SWM2__ERS852575_01910
ERR1913306.712291__1.712291	544645__A0A3E4T7C6__DXC42_09005
ERR1913306.712558__1.712558	74426__rpoB
ERR1913306.712634__1.712634	39485__C4Z0T2__ykvU
ERR1913306.712748__1.712748	165179__A0A3E5ED28__PREVCOP_06655
ERR1913306.712799__1.712799	338188__R6RPM5__bglX_6
ERR1913306.712838__1.712838	33043__A0A173ZDC4__malL_1
ERR1913306.712878__1.712878	33043__A0A173YYE7__ERS852445_00670
ERR1913306.713016__1.713016	329854__A0A3E4IQD7__BACINT_01717
ERR1913306.713222__1.713222	1501391__GCA_000786575.1_00107
ERR1913306.713233__1.713233	33043__D5HFF6__yihX
ERR1913306.713516__1.713516	28117__B0MXR1__BHV66_08035
ERR1913306.713654__1.713654	40518__R5E6U1__yunB
ERR1913306.713825__1.713825	671267__R9IB12__C802_00696
ERR1913306.714035__1.714035	1501391__GCA_000786575.1_00084
ERR1913306.714147__1.714147	46228__V8CE73__DXD17_11635
ERR1913306.714190__1.714190	338188__A0A1Q6HCN7__ptrA
ERR1913306.714281__1.714281	33043__A0A173YLD4__ERS852575_00535
ERR1913306.714323__1.714323	165179__A0A3E5E3D6__DXC61_05750
ERR1913306.714385__1.714385	39488__A0A173RDD7__DXD91_00105
ERR1913306.714908__1.714908	544645__A0A3E4TA73__DXC42_07740
ERR1913306.714842__1.714842	1501391__GCA_000786575.1_00116
ERR1913306.715026__1.715026	165179__D1PEQ5__PREVCOP_05711
ERR1913306.715249__1.715249	165179__D1PDT3__PREVCOP_05375
ERR1913306.715250__1.715250	100884__E7GFK3__DXB26_14415
ERR1913306.715289__1.715289	47678__R5U9X5__BACCAC_01339
ERR1913306.715386__1.715386	165179__A0A3E5AGH1__DXB80_05820
ERR1913306.715403__1.715403	39485__A0A174ZPH7__ERS852490_01992
ERR1913306.715584__1.715584	823__A0A174U5E4__BDI_3390
ERR1913306.715680__1.715680	246787__A0A3D6AWM8__BACCELL_01963
ERR1913306.715698__1.715698	1262761__R6RU22__BN606_01110
ERR1913306.715751__1.715751	1501391__GCA_000786575.1_00141
ERR1913306.715939__1.715939	328814__GCA_004558275.1_00035
ERR1913306.716134__1.716134	1263000__R5ES99__BN466_01121
ERR1913306.716223__1.716223	821__A0A0P0LQT3__DXC03_05050
ERR1913306.716497__1.716497	33043__D5HEQ5__gluP_2
ERR1913306.716516__1.716516	165179__A0A3E5EBQ2__DXC61_01930
ERR1913306.716518__1.716518	47678__R5UT79__ERS852558_03890
ERR1913306.716782__1.716782	165179__A0A3E4SG51__DXC61_10575
ERR1913306.717031__1.717031	28117__B0MWC6__BHV66_00965
ERR1913306.717083__1.717083	165179__A0A3E5EB26__CFT61_02800
ERR1913306.717243__1.717243	820__A0A174KKV6__DXC07_02635
ERR1913306.717419__1.717419	1501391__GCA_000786575.1_00096
ERR1913306.717428__1.717428	1150298__A0A174I056__ERS852535_01387
ERR1913306.717445__1.717445	626940__E8LCE0__BHW43_01670
ERR1913306.717616__1.717616	1262911__R6GPM2__BN557_00937
ERR1913306.717673__1.717673	291644__I8Y742__susE
ERR1913306.717776__1.717776	39485__A0A174YKY3__EUBELI_00877
ERR1913306.717916__1.717916	165179__A0A3E5DZA5__DXB80_12550
ERR1913306.717952__1.717952	329854__R7DRH1__DXD27_19880
ERR1913306.718392__1.718392	165179__A0A229I443__DXB80_10950
ERR1913306.718435__1.718435	853__A8SCP3__C4N26_07960
ERR1913306.718503__1.718503	46228__V8CHJ4__RUMLAC_00753
ERR1913306.719008__1.719008	165179__A0A174W369__PREVCOP_04548
ERR1913306.719048__1.719048	40518__R5DLU0__fmt
ERR1913306.719057__1.719057	165179__D1PCL6__DXB80_13435
ERR1913306.719116__1.719116	165179__R6PU83__CFT61_14275
ERR1913306.719269__1.719269	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913306.719335__1.719335	1262886__R6Q9S2__BN563_00641
ERR1913306.719351__1.719351	40518__R5DRX3__RBL236_02039
ERR1913306.719467__1.719467	28117__B0MU76__ALIPUT_00202
ERR1913306.719558__1.719558	1501391__GCA_000786575.1_00016
ERR1913306.719671__1.719671	165179__A0A174SR12__DXB80_04410
ERR1913306.720105__1.720105	291644__R5IZM2__HMPREF1071_04522
ERR1913306.720272__1.720272	28117__B0MUL5__ALIPUT_00722
ERR1913306.720369__1.720369	823__A0A174KUS4__araC_7
ERR1913306.720450__1.720450	818__Q8A3A6__Btheta7330_00071
ERR1913306.720592__1.720592	1263000__R5EH44__BN466_01492
ERR1913306.720749__1.720749	1535__A7VUI7__CH238_07265
ERR1913306.720761__1.720761	165179__A0A174W369__PREVCOP_04548
ERR1913306.720873__1.720873	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913306.720913__1.720913	46228__V8CAH7__HMPREF1202_00795
ERR1913306.720938__1.720938	33043__A0A173WTV6__ERS852400_02153
ERR1913306.721257__1.721257	39485__C4Z0F4__ERS852490_00945
ERR1913306.721634__1.721634	33043__D5HJC5__ERS852386_02144
ERR1913306.721653__1.721653	165179__A0A3E5DZA5__DXB80_12550
ERR1913306.721778__1.721778	39485__R5ZHA7__ERS852490_00039
ERR1913306.721899__1.721899	291644__I9HRU8__ERS852428_03635
ERR1913306.722082__1.722082	216816__C5E9N8__DD678_02795
ERR1913306.722343__1.722343	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913306.722445__1.722445	387090__S0FBK4__BACCOPRO_01365
ERR1913306.722454__1.722454	165179__W1I4H6__DXB80_13655
ERR1913306.722595__1.722595	33043__D5HEE1__ERS852386_01671
ERR1913306.722619__1.722619	39485__A0A174ZG70__ERS852492_00929
ERR1913306.722635__1.722635	33043__A0A174AMG1__ERS852386_01665
ERR1913306.722896__1.722896	626940__E8LCC3__BN587_00961
ERR1913306.722966__1.722966	820__A0A3E4VXP2__yesR
ERR1913306.723017__1.723017	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.723095__1.723095	165179__A0A3E5DX33__PREVCOP_05190
ERR1913306.723149__1.723149	363265__G6AZB1__HMPREF0673_01975
ERR1913306.723779__1.723779	328814__GCA_004558275.1_00239
ERR1913306.723847__1.723847	820__A0A396EWL3__ERS417307_03868
ERR1913306.723866__1.723866	33043__A0A173YEP6__ERS852575_00888
ERR1913306.723960__1.723960	33043__D5HEE1__ERS852386_01671
ERR1913306.724105__1.724105	1501391__GCA_000786575.1_00124
ERR1913306.724187__1.724187	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.724738__1.724738	204516__U6RFB2__HMPREF1534_01733
ERR1913306.724812__1.724812	1263011__R6EM20__BN553_01816
ERR1913306.725061__1.725061	165179__A0A3E5EBM5__DXC61_02170
ERR1913306.725048__1.725048	1501391__GCA_000786575.1_00016
ERR1913306.725149__1.725149	116085__D4J803__DW747_06090
ERR1913306.725142__1.725142	823__A0A174XJM9__CEQ22_007230
ERR1913306.725113__1.725113	853__A8SB03__C4Q21_07960
ERR1913306.725115__1.725115	165179__D1PES9__DXB80_11585
ERR1913306.725219__1.725219	454155__F3QXK9__HMPREF9442_02930
ERR1913306.725385__1.725385	823__A0A173VS36__M091_4727
ERR1913306.725435__1.725435	40518__R5DP61__DXD86_06345
ERR1913306.725503__1.725503	28117__B0MUL5__ALIPUT_00722
ERR1913306.725604__1.725604	165179__D1PDJ4__DXB80_08505
ERR1913306.725693__1.725693	165179__D1P9T6__PREVCOP_04016
ERR1913306.725938__1.725938	165179__A0A229I7F5__DXB80_02650
ERR1913306.726012__1.726012	338188__R6S638__HMPREF1057_04127
ERR1913306.726050__1.726050	28117__B0MXQ6__ALIPUT_01917
ERR1913306.726065__1.726065	33043__A0A174BZH6__ERS852400_01477
ERR1913306.726199__1.726199	165179__D1PCT4__DXB80_09470
ERR1913306.726866__1.726866	165179__R6XIF8__DXC61_07265
ERR1913306.727105__1.727105	1262992__R5D3B5__BN795_00427
ERR1913306.727755__1.727755	745368__A0A1T4XCE1__SAMN02745178_01686
ERR1913306.727860__1.727860	165179__D1P9T6__PREVCOP_04016
ERR1913306.728203__1.728203	214856__R5UN64__ERS852447_02669
ERR1913306.728281__1.728281	28118__F9ZC62__DF785_13495
ERR1913306.728301__1.728301	291644__I9HGA3__mshA_4
ERR1913306.728266__1.728266	33043__D5HHF5__ERS852386_00025
ERR1913306.728463__1.728463	28117__B0MYW7__ALIPUT_02336
ERR1913306.728685__1.728685	626940__E8LEW0__BN587_02177
ERR1913306.728752__1.728752	165179__R6BPK1__DXB80_04445
ERR1913306.729256__1.729256	884684__GCA_002892425.1_01408
ERR1913306.729458__1.729458	291644__R5J7N0__HMPREF1532_02343
ERR1913306.729505__1.729505	165179__A0A3E5E189__PREVCOP_06699
ERR1913306.729659__1.729659	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913306.729934__1.729934	40518__R5DV58__htrA
ERR1913306.730018__1.730018	626940__E8LCL8__DCQ00_09880
ERR1913306.730185__1.730185	387661__K6AET8__HMPREF1077_00420
ERR1913306.730246__1.730246	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913306.730389__1.730389	28117__B0MWX3__BHV66_03010
ERR1913306.730545__1.730545	165179__A0A174IPI3__CFT61_10940
ERR1913306.730663__1.730663	28117__B0MZ50__ALIPUT_02424
ERR1913306.730961__1.730961	165179__A0A3E5DZA5__DXB80_12550
ERR1913306.731074__1.731074	823__A0A355XFH7__ERS852513_00769
ERR1913306.731433__1.731433	39485__R5ZT06__EUBELI_20526
ERR1913306.731606__1.731606	387090__S0FBK4__BACCOPRO_01365
ERR1913306.731697__1.731697	165179__A0A3E5DV57__DXB80_11400
ERR1913306.731781__1.731781	1501391__GCA_000786575.1_00070
ERR1913306.731831__1.731831	165179__A0A229I4J4__proA
ERR1913306.731895__1.731895	1150298__R7JSM7__ERS852535_02465
ERR1913306.731911__1.731911	165179__D1PAJ7__PREVCOP_04222
ERR1913306.732057__1.732057	823__A0A173W1W2__M095_4076
ERR1913306.732224__1.732224	246787__A0A0P0GCR8__xynD_3
ERR1913306.732292__1.732292	291644__I9TBC1__ERS852428_01240
ERR1913306.732308__1.732308	165179__D1PE06__DXC61_05975
ERR1913306.732363__1.732363	28118__F9Z7P4__B5F99_17665
ERR1913306.732528__1.732528	387090__S0F7Y3__BACCOPRO_02028
ERR1913306.732606__1.732606	40518__R5DMC7__blaR1
ERR1913306.732630__1.732630	820__A0A1Q6IDS8__chtA
ERR1913306.732655__1.732655	33043__A0A173YEP6__ERS852575_00888
ERR1913306.732690__1.732690	33043__D5HJ22__ERS852575_02302
ERR1913306.732786__1.732786	626940__E8LFN2__DCQ00_04835
ERR1913306.732822__1.732822	165179__A0A3E5E8N5__DXC61_13460
ERR1913306.732875__1.732875	818__A0A0P0EVZ1__SAMN02910322_03499
ERR1913306.732938__1.732938	818__C6IEU8__BSIG_0269
ERR1913306.733273__1.733273	2049043__A0A316MFU0__DBY37_08790
ERR1913306.733535__1.733535	1262911__R6GSH8__BN557_00939
ERR1913306.733549__1.733549	40518__R5DXW3__DXD86_07900
ERR1913306.733550__1.733550	574930__A0A0F5J8Z3__HMPREF1536_03764
ERR1913306.733753__1.733753	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.733713__1.733713	165179__A0A3E5AGH1__DXB80_05820
ERR1913306.733958__1.733958	165179__D1PHV2__PREVCOP_06822
ERR1913306.734069__1.734069	626940__E8LDB8__BHW43_09995
ERR1913306.734054__1.734054	384638__B7APR1__BACPEC_00667
ERR1913306.734059__1.734059	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.734339__1.734339	2173__A0A1D2WU48__Msm_1454
ERR1913306.734537__1.734537	28117__B0MXQ6__ALIPUT_01917
ERR1913306.734580__1.734580	28118__R6F1T8__Odosp_0789
ERR1913306.734791__1.734791	165179__A0A174XZU8__DXB80_12180
ERR1913306.734860__1.734860	1501391__GCA_000786575.1_00114
ERR1913306.734927__1.734927	46228__V8BLY3__RUMLAC_01802
ERR1913306.735141__1.735141	39485__A0A1Q6PH92__cbbX
ERR1913306.735162__1.735162	33043__D5HF50__ERS852386_02415
ERR1913306.735183__1.735183	165179__A0A3E5EDV6__DXC61_03365
ERR1913306.735401__1.735401	28117__B0MTH2__ALIPUT_00061
ERR1913306.735403__1.735403	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913306.735611__1.735611	33043__A0A174AEP1__apr
ERR1913306.735637__1.735637	165179__A0A229I7F5__DXB80_02650
ERR1913306.735742__1.735742	39485__A0A174ZPH7__ERS852490_01992
ERR1913306.736076__1.736076	820__A0A174CK74__DXB48_07060
ERR1913306.736135__1.736135	216816__Q8G585__APC1473_0508
ERR1913306.736277__1.736277	1675036__A0A344MKN1__ACT01_09605
ERR1913306.736288__1.736288	39492__B0MP07__ERS852540_02083
ERR1913306.736579__1.736579	1685__A0A3D8UEL2__DRBB29_0129
ERR1913306.736944__1.736944	165179__D1PE06__DXC61_05975
ERR1913306.736967__1.736967	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.737096__1.737096	47678__R5U2X1__ERS852494_00033
ERR1913306.737102__1.737102	165179__D1PEZ7__DXC61_06515
ERR1913306.737305__1.737305	357276__I8WEY2__ABI39_04185
ERR1913306.737438__1.737438	165179__A0A3E5EBQ2__DXC61_01930
ERR1913306.737370__1.737370	28117__B0MT84__ALIPUT_00402
ERR1913306.737499__1.737499	33043__D5HH62__ERS852575_00121
ERR1913306.737736__1.737736	46228__V8BY98__RUMLAC_00452
ERR1913306.737888__1.737888	165179__D1PDG7__DXB80_11180
ERR1913306.737965__1.737965	33043__A0A173YEP6__ERS852575_00888
ERR1913306.738103__1.738103	1150298__A0A174CCD5__ERS852406_01310
ERR1913306.738040__1.738040	28117__B0MYW7__ALIPUT_02336
ERR1913306.738435__1.738435	28117__B0MXW9__ALIPUT_01981
ERR1913306.738971__1.738971	301302__R5UNJ6__M72_26701
ERR1913306.738977__1.738977	2049043__A0A316MDT6__DBY37_15120
ERR1913306.739055__1.739055	39485__C4Z5L8__ERS852490_00665
ERR1913306.739101__1.739101	1262911__R6GPC5__BN557_00852
ERR1913306.739166__1.739166	165179__A0A3E5E7J5__DXC61_10360
ERR1913306.739275__1.739275	360807__A0A1Q6T8A0__mepA_13
ERR1913306.739332__1.739332	853__A0A174C5M1__CGS58_04460
ERR1913306.739513__1.739513	33043__D5HF09__ERS852575_02732
ERR1913306.739527__1.739527	165179__A0A229I2W6__PREVCOP_04332
ERR1913306.739532__1.739532	291644__I9I9V2__ERS852428_00583
ERR1913306.739694__1.739694	818__R7KV41__Btheta7330_04616
ERR1913306.739746__1.739746	820__A0A139JRS5__HMPREF1073_04025
ERR1913306.739755__1.739755	2173__A0A1D2WTV4__Msm_1285
ERR1913306.739769__1.739769	1262886__R6QP39__BN563_00737
ERR1913306.739779__1.739779	371601__I9A9L7__CW1_3649
ERR1913306.740201__1.740201	357276__C3RA36__HMPREF1065_03270
ERR1913306.740261__1.740261	1263000__R5EKR4__BN466_01609
ERR1913306.740409__1.740409	1262736__R5Y3S3__BN496_00193
ERR1913306.740735__1.740735	1535__A7VNP6__CH238_14995
ERR1913306.740981__1.740981	626940__E8LFI9__BN587_00710
ERR1913306.740990__1.740990	853__A0A2A7B1Y7__C7K05_11930
ERR1913306.741024__1.741024	1501391__GCA_000786575.1_00024
ERR1913306.741120__1.741120	39485__R5ZZA6__ERS852490_00168
ERR1913306.741174__1.741174	165179__A0A3E5DRF6__DXC61_00200
ERR1913306.741304__1.741304	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.741434__1.741434	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913306.741489__1.741489	626940__E8LGB7__BN587_02010
ERR1913306.741494__1.741494	2293125__A0A374BIB7__DW917_16550
ERR1913306.741633__1.741633	165179__A0A174W369__PREVCOP_04548
ERR1913306.741636__1.741636	1501391__GCA_000786575.1_00107
ERR1913306.741709__1.741709	165179__A0A3E4S980__PREVCOP_04626
ERR1913306.741713__1.741713	165179__R6XIF8__DXC61_07265
ERR1913306.741903__1.741903	1501391__GCA_000786575.1_00147
ERR1913306.742555__1.742555	853__A0A2J4JL53__CRH10_10795
ERR1913306.742643__1.742643	2049043__A0A316NHC0__DBY37_01435
ERR1913306.742836__1.742836	46228__B5CMW7__DXD17_11810
ERR1913306.742987__1.742987	74426__thrZ
ERR1913306.743213__1.743213	165179__A0A3E4SID1__DXB80_01945
ERR1913306.743280__1.743280	310298__B3JFI7__BACCOP_00636
ERR1913306.743376__1.743376	28117__B0MY34__BHV66_05195
ERR1913306.743398__1.743398	626940__E8LF01__HMPREF9443_01436
ERR1913306.743550__1.743550	853__R6QDR1__C4N27_08170
ERR1913306.743619__1.743619	371601__A0A1Y4VA43__HMPREF1074_02112
ERR1913306.743843__1.743843	165179__A0A229I7F5__DXB80_02650
ERR1913306.743918__1.743918	46228__V8BMA2__DXD17_11785
ERR1913306.743939__1.743939	301302__R5UMP3__lytC_3
ERR1913306.744324__1.744324	1550024__A0A0D8IWM4__TQ39_15635
ERR1913306.744306__1.744306	626940__E8LEB0__BHW43_01865
ERR1913306.744570__1.744570	821__A0A174WBC9__ERS852556_03145
ERR1913306.744955__1.744955	823__A0A174LWY0__lepB
ERR1913306.745027__1.745027	1501391__GCA_000786575.1_00019
ERR1913306.745578__1.745578	40518__R5DQD6__DXD83_09060
ERR1913306.745625__1.745625	165179__D1PDG7__DXB80_11180
ERR1913306.746001__1.746001	1299998__GCA_001494635.1_00176
ERR1913306.746351__1.746351	2049043__A0A316MEH5__DBY37_16095
ERR1913306.746528__1.746528	853__A0A173T0Y8__CGS54_07215
ERR1913306.746766__1.746766	28117__B0MY82__BHV66_04755
ERR1913306.746774__1.746774	116085__D4J5N0__DW747_05045
ERR1913306.746801__1.746801	46228__V8CDA4__DXD17_12295
ERR1913306.747102__1.747102	338188__R6D6U2__ERS852397_02840
ERR1913306.747174__1.747174	2173__A0A1D2WST6__METSMIALI_00213
ERR1913306.747410__1.747410	33043__D5HGS9__ERS852445_02226
ERR1913306.747627__1.747627	165179__R6CJG8__DXC61_09290
ERR1913306.747671__1.747671	823__A0A355XF06__B5F32_11480
ERR1913306.747653__1.747653	165179__D1PGJ6__DXC61_07300
ERR1913306.747663__1.747663	28117__R7JIJ8__BHV66_01635
ERR1913306.747667__1.747667	165179__A0A3E5AE59__DXC61_12885
ERR1913306.748114__1.748114	853__A0A2A7AXC8__C4N21_14120
ERR1913306.748205__1.748205	165179__A0A3E5E8N5__DXC61_13460
ERR1913306.748323__1.748323	165179__A0A229I9X5__CFT61_01205
ERR1913306.748357__1.748357	33043__A0A174AEP1__apr
ERR1913306.748640__1.748640	165179__D1PFV4__PREVCOP_06112
ERR1913306.748781__1.748781	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913306.748800__1.748800	1262886__R6QKQ6__BN563_01547
ERR1913306.748827__1.748827	1501391__GCA_000786575.1_00146
ERR1913306.749437__1.749437	1501391__GCA_000786575.1_00146
ERR1913306.749398__1.749398	1381__group_451
ERR1913306.749877__1.749877	823__A0A173W404__DHP27_04905
ERR1913306.750013__1.750013	33043__D5HFE3__lacR
ERR1913306.750059__1.750059	301302__R5UH47__M72_02301
ERR1913306.750137__1.750137	165179__A0A3E5AF88__DXC61_14960
ERR1913306.750338__1.750338	818__A0A0P0F7K1__ERS852461_02719
ERR1913306.750455__1.750455	1263000__R5F0H4__BN466_00249
ERR1913306.750457__1.750457	1262889__R7HDT7__BN634_01583
ERR1913306.750662__1.750662	165179__A0A3E5E2S3__DXB80_03455
ERR1913306.750654__1.750654	820__A0A3E4VXP2__yesR
ERR1913306.750715__1.750715	1535__A7VPV6__CH238_14385
ERR1913306.750730__1.750730	820__A0A3E4VZS7__DXC07_14435
ERR1913306.750742__1.750742	33043__A0A174H5E3__ERS852400_02880
ERR1913306.750940__1.750940	1262959__R5YGY6__BN680_01546
ERR1913306.751005__1.751005	33043__D5HGR0__rpfC_2
ERR1913306.751147__1.751147	2049043__A0A316N079__DBY37_03435
ERR1913306.751203__1.751203	165179__A0A3E4SB80__DXC61_12880
ERR1913306.751222__1.751222	387090__S0FBK4__BACCOPRO_01365
ERR1913306.751226__1.751226	28117__B0MTV3__BHV66_06405
ERR1913306.751660__1.751660	291644__I8YYM8__HMPREF1532_01562
ERR1913306.751813__1.751813	291644__I8YGW2__uvrY_2
ERR1913306.751983__1.751983	40518__A0A373KL92__RBATCC27255_01378
ERR1913306.752009__1.752009	1897011__A0A1Q6RH35__BHW41_01705
ERR1913306.752121__1.752121	33043__A0A173ZL29__ERS852386_01345
ERR1913306.752482__1.752482	33043__D5HFA1__ERS852400_02183
ERR1913306.752572__1.752572	165179__D1PGU8__PREVCOP_06463
ERR1913306.752641__1.752641	33043__D5HGZ8__nnr
ERR1913306.752763__1.752763	820__A0A139K337__ERS852459_02375
ERR1913306.753074__1.753074	28117__B0N007__BHV66_10275
ERR1913306.753034__1.753034	165179__D1PER3__DXB80_11525
ERR1913306.753050__1.753050	28118__F9Z4Q7__DER54_08070
ERR1913306.753396__1.753396	2049043__A0A316MIL6__DBY37_12265
ERR1913306.753798__1.753798	165179__R6CJG8__DXC61_09290
ERR1913306.753884__1.753884	165179__A0A3E5A832__DXC61_13685
ERR1913306.754012__1.754012	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913306.754020__1.754020	29361__B6FKH5__CLONEX_00621
ERR1913306.754113__1.754113	1501391__GCA_000786575.1_00156
ERR1913306.754187__1.754187	291644__I9I0P6__HMPREF1532_01982
ERR1913306.754443__1.754443	165179__A0A174XZU8__DXB80_12180
ERR1913306.754395__1.754395	291644__I9I9V2__ERS852428_00583
ERR1913306.754552__1.754552	47678__A5ZHJ2__DXB67_12405
ERR1913306.754901__1.754901	165179__D1PE06__DXC61_05975
ERR1913306.755000__1.755000	1263000__R5EU91__BN466_01432
ERR1913306.755038__1.755038	1262886__R6QKQ6__BN563_01547
ERR1913306.755238__1.755238	47678__R5UES3__CGC64_00760
ERR1913306.755280__1.755280	165179__D1PEQ5__PREVCOP_05711
ERR1913306.755211__1.755211	2049043__A0A316MKF8__DBY37_14680
ERR1913306.755359__1.755359	301301__A0A395V9V0__RHOM_01245
ERR1913306.755424__1.755424	1150298__A0A174SLE6__mlc_1
ERR1913306.755768__1.755768	28117__B0MUX7__ALIPUT_00918
ERR1913306.755726__1.755726	1501391__GCA_000786575.1_00035
ERR1913306.755742__1.755742	1501391__GCA_000786575.1_00106
ERR1913306.755852__1.755852	357276__I9RAC4__BSEG_00561
ERR1913306.756103__1.756103	165179__D1PAJ7__PREVCOP_04222
ERR1913306.756205__1.756205	165179__D1PES9__DXB80_11585
ERR1913306.756304__1.756304	1501391__GCA_000786575.1_00067
ERR1913306.756455__1.756455	46228__V8BLL4__HMPREF1202_02582
ERR1913306.756457__1.756457	310298__B3JII2__BACCOP_01694
ERR1913306.756464__1.756464	28117__R7JPX7__BHV66_00900
ERR1913306.756552__1.756552	165179__A0A174IPI3__CFT61_10940
ERR1913306.756494__1.756494	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913306.756583__1.756583	47678__R5U2W6__CGC64_03455
ERR1913306.756837__1.756837	328814__GCA_004558275.1_00835
ERR1913306.756845__1.756845	33043__D5HIS6__ERS852575_02019
ERR1913306.756916__1.756916	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913306.757276__1.757276	165179__D1PFV4__PREVCOP_06112
ERR1913306.757439__1.757439	39485__A0A174YMI9__cph2_5
ERR1913306.757505__1.757505	823__K6APS3__DDY96_02400
ERR1913306.757531__1.757531	291644__I9TJP2__ERS852428_00842
ERR1913306.757614__1.757614	291644__I9SXJ9__ERS852428_02285
ERR1913306.757657__1.757657	1547597__A0A0C3REH3__IE90_13310
ERR1913306.757725__1.757725	28117__B0MWZ9__ALIPUT_01735
ERR1913306.757782__1.757782	28117__B0MY41__BHV66_05165
ERR1913306.758067__1.758067	216816__A0A396FRQ5__DD678_01245
ERR1913306.758692__1.758692	33043__D5HDF1__ERS852386_02231
ERR1913306.758743__1.758743	301302__A0A0M6WRT7__ERS852420_02104
ERR1913306.758845__1.758845	39492__D4MIX3__ERS852540_01230
ERR1913306.758885__1.758885	165179__A0A3E5AER8__DXB80_07075
ERR1913306.758850__1.758850	1262889__R7H967__BN634_00445
ERR1913306.758979__1.758979	33043__A0A374K1H3__ykoD_2
ERR1913306.759285__1.759285	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913306.759444__1.759444	1501391__GCA_000786575.1_00081
