ERR1913291.5__1.5	823__A0A174W1A8__panE
ERR1913291.600688__1.600688	28118__F9Z8K4__Odosp_0843
ERR1913291.600871__1.600871	821__A0A396F9T7__M097_3427
ERR1913291.600935__1.600935	246787__I9QX02__HMPREF1062_01641
ERR1913291.600965__1.600965	821__D4VD59__BHV80_04260
ERR1913291.600982__1.600982	28117__B0MXW9__ALIPUT_01981
ERR1913291.601014__1.601014	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913291.601167__1.601167	46503__R6X5I4__ERS852463_01136
ERR1913291.601243__1.601243	1262743__R5C054__BN727_01980
ERR1913291.601435__1.601435	39492__D4JSU6__dacB_3
ERR1913291.601482__1.601482	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.601618__1.601618	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913291.601664__1.601664	1262744__R6FST0__BN744_00381
ERR1913291.601809__1.601809	39491__A0A395ZG74__licR
ERR1913291.601821__1.601821	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913291.601843__1.601843	2108523__A0A2P2F8B3__LAWASA_2269
ERR1913291.602109__1.602109	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.602158__1.602158	246787__A0A0P0G372__BcellWH2_03657
ERR1913291.602270__1.602270	214856__R6Z5D0__resA_4
ERR1913291.602300__1.602300	214856__R6XS46__ERS852559_00812
ERR1913291.602470__1.602470	214856__A0A174ZZS1__ERS852559_01484
ERR1913291.602573__1.602573	1262882__R5MQ63__BN519_01173
ERR1913291.602510__1.602510	28116__C3QZB5__M088_3811
ERR1913291.602615__1.602615	821__A6L0C7__ERS852556_03520
ERR1913291.602680__1.602680	1262911__R6GT12__BN557_01070
ERR1913291.602766__1.602766	28116__A7LXT4__DXF98_03755
ERR1913291.602734__1.602734	674529__A0A174K9D7__SAMN05444400_1164
ERR1913291.602794__1.602794	821__D4VC51__M099_1508
ERR1913291.602966__1.602966	28116__F7LC60__AA414_00422
ERR1913291.603025__1.603025	28116__A0A1Y4PUF8__DXF98_07610
ERR1913291.603112__1.603112	820__A0A139KH21__DXC80_01780
ERR1913291.603150__1.603150	821__D4VC51__M099_1508
ERR1913291.603185__1.603185	817__K1FVK5__M126_3653
ERR1913291.603224__1.603224	28116__A0A1Y4PNX5__DXF98_26515
ERR1913291.603302__1.603302	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913291.603381__1.603381	28118__F9ZAS2__B5F93_06130
ERR1913291.603473__1.603473	1262882__R5MND9__BN519_00831
ERR1913291.603755__1.603755	28116__A0A395W017__HMPREF1017_03721
ERR1913291.603778__1.603778	28116__D7J6A7__NCTC11153_02798
ERR1913291.604054__1.604054	39492__R6RYB8__ERS852540_00322
ERR1913291.604090__1.604090	1720294__U2B2F8__DWY69_07720
ERR1913291.604179__1.604179	821__A0A395US34__C5Z04_18975
ERR1913291.604305__1.604305	820__A0A139K0K1__DXB37_05460
ERR1913291.604409__1.604409	1099853__G9S816__NSB1T_03605
ERR1913291.604521__1.604521	39491__C4Z9E9__T1815_12341
ERR1913291.604637__1.604637	28116__C3QSX8__SAMN05444282_101331
ERR1913291.604655__1.604655	823__A6LB63__M095_1847
ERR1913291.604724__1.604724	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.604773__1.604773	28116__I9JM49__NCTC11153_01044
ERR1913291.604951__1.604951	1262882__R5N2E1__BN519_01117
ERR1913291.604957__1.604957	1849041__A0A3E2SSP1__DW086_11185
ERR1913291.605047__1.605047	28116__A7M018__M089_5540
ERR1913291.605049__1.605049	371601__A0A1Y4Q353__CW1_1747
ERR1913291.605052__1.605052	820__A0A174NUS8__DXC80_12885
ERR1913291.605120__1.605120	214856__R6XP73__ERS852447_00886
ERR1913291.605125__1.605125	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913291.605135__1.605135	410072__A0A173SHF2__COPCOM_03201
ERR1913291.605171__1.605171	39492__D4JRZ7__smc
ERR1913291.605210__1.605210	39492__D4JVX0__udk
ERR1913291.605233__1.605233	39488__A0A374N0M3__EUBHAL_02860
ERR1913291.605429__1.605429	1150298__A0A174DU21__toxA_3
ERR1913291.605434__1.605434	487174__K0WT65__HMPREF9448_02407
ERR1913291.605488__1.605488	387090__S0F8B2__BACCOPRO_02129
ERR1913291.605530__1.605530	1262882__R5N1T9__BN519_00804
ERR1913291.605651__1.605651	360807__A0A396AF38__RIL183_00781
ERR1913291.605805__1.605805	28116__F7L4X5__M089_2857
ERR1913291.606023__1.606023	1099853__R7DD94__NSB1T_13210
ERR1913291.606059__1.606059	39491__A0A395ZDC6__addB
ERR1913291.606063__1.606063	674529__R6UY37__SAMN05444400_12650
ERR1913291.606065__1.606065	820__A7V470__HMPREF1072_02076
ERR1913291.606096__1.606096	33025__A0A395JA92__C8D73_108100
ERR1913291.606107__1.606107	28116__A0A139L6N6__HMPREF2532_02529
ERR1913291.606257__1.606257	821__A0A174NM17__lacZ_6
ERR1913291.606391__1.606391	39488__A0A374MTU0__ERS852578_02616
ERR1913291.606501__1.606501	821__D4VD59__BHV80_04260
ERR1913291.606526__1.606526	820__A0A139JRH8__HMPREF2141_04326
ERR1913291.606630__1.606630	817__A0A3E5IB15__M145_2707
ERR1913291.606718__1.606718	28116__A0A1G6G9R4__CUY_0131
ERR1913291.606839__1.606839	28116__A0A1Y4PWE4__M089_4352
ERR1913291.606953__1.606953	28116__I8YA07__C5Z02_15915
ERR1913291.607018__1.607018	821__A0A174ALF2__BvMPK_3016
ERR1913291.607044__1.607044	28116__C3QMW5__M089_4133
ERR1913291.607049__1.607049	28116__F7M1Q5__CUY_1584
ERR1913291.607301__1.607301	1897011__A0A1Q6RC19__BHW41_06415
ERR1913291.607306__1.607306	823__A0A395YZ10__NCTC11152_02955
ERR1913291.607365__1.607365	674529__R6W6E8__DXB21_01245
ERR1913291.607376__1.607376	649756__D4MY23__ERS852571_00200
ERR1913291.607443__1.607443	39486__R6SN36__HMPREF9457_00956
ERR1913291.607484__1.607484	39492__D4JWB3__EUBSIR_00040
ERR1913291.607628__1.607628	821__A0A3E4WAR6__DXD64_10735
ERR1913291.607631__1.607631	28116__A0A1Y4Q112__evgS_13
ERR1913291.607740__1.607740	28116__I9ST00__M088_5588
ERR1913291.607786__1.607786	39491__A0A395ZJZ1__LD38_01870
ERR1913291.607890__1.607890	39492__B0MP07__ERS852540_02083
ERR1913291.607857__1.607857	214856__R6XNE7__ERS852447_02267
ERR1913291.607872__1.607872	28116__A0A139KS89__HMPREF2532_04387
ERR1913291.608044__1.608044	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.608170__1.608170	301301__A0A395V8M7__ERS852391_00967
ERR1913291.608259__1.608259	246787__A0A0P0G254__axeA1_2
ERR1913291.608335__1.608335	1501391__GCA_000786575.1_00067
ERR1913291.608377__1.608377	556259__I0PYL9__BSGG_5205
ERR1913291.608418__1.608418	820__A0A3E4RUC4__DHU98_02635
ERR1913291.608599__1.608599	246787__A0A108T429__BACCELL_00192
ERR1913291.608635__1.608635	820__A0A396CMY7__HMPREF1072_03009
ERR1913291.608655__1.608655	28116__E5CH90__M089_2359
ERR1913291.608660__1.608660	821__A0A174TD86__C800_00949
ERR1913291.608663__1.608663	1262537__GeneID:16385341
ERR1913291.608749__1.608749	28116__C3QQN3__CUY_4207
ERR1913291.608794__1.608794	1262882__R5N3H1__BN519_01121
ERR1913291.608847__1.608847	28116__A0A1Y4PWX5__rpoE_4
ERR1913291.608862__1.608862	166486__D4KXG6__ROSINTL182_08270
ERR1913291.608866__1.608866	28116__A0A139LF77__HMPREF2532_01174
ERR1913291.609173__1.609173	820__A0A173YYG4__evgS_3
ERR1913291.609316__1.609316	853__A0A2A7B9I6__DW855_13690
ERR1913291.609385__1.609385	1849041__A0A3E2SSG0__DW086_11235
ERR1913291.609502__1.609502	821__A0A396FEL8__C5Z04_06030
ERR1913291.609506__1.609506	357276__A0A0M1W9N4__GV66_05135
ERR1913291.609677__1.609677	821__A0A0P0M3U7__DXB90_14325
ERR1913291.609701__1.609701	371601__A0A1C7H6N4__SAMN05216250_10764
ERR1913291.609850__1.609850	39485__A0A175A023__yhhT
ERR1913291.609999__1.609999	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913291.610031__1.610031	28116__C3QMW4__BACOVA_04147
ERR1913291.610064__1.610064	1262743__R5C054__BN727_01980
ERR1913291.610154__1.610154	671267__R9IB12__C802_00696
ERR1913291.610224__1.610224	487174__K0WV13__DIT83_10890
ERR1913291.610243__1.610243	28116__F7L4X5__M089_2857
ERR1913291.610317__1.610317	823__A0A073I9P2__CF162_18000
ERR1913291.610773__1.610773	28116__A7M018__M089_5540
ERR1913291.610817__1.610817	28116__F7M1Q5__CUY_1584
ERR1913291.610920__1.610920	371601__I9JEF3__DXD80_17785
ERR1913291.610960__1.610960	39491__A0A396FTE5__ERS852417_01346
ERR1913291.610966__1.610966	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913291.611154__1.611154	39492__D4JWG3__EUBSIR_00308
ERR1913291.611163__1.611163	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913291.611184__1.611184	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913291.611191__1.611191	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.611208__1.611208	28116__A7M344__BACOV975_04644
ERR1913291.611291__1.611291	1897011__A0A1Q6REX0__BHW41_04225
ERR1913291.611317__1.611317	28116__A7M344__BACOV975_04644
ERR1913291.611558__1.611558	28116__A7LXT7__HMPREF1070_00356
ERR1913291.611614__1.611614	817__Q64XX5__M126_0821
ERR1913291.611615__1.611615	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913291.611626__1.611626	28116__D7K2E0__endOF2_3
ERR1913291.611637__1.611637	28116__A0A1G6G9R4__CUY_0131
ERR1913291.611663__1.611663	28116__C3R0H4__DXD69_00155
ERR1913291.611664__1.611664	28116__C3R0H4__DXD69_00155
ERR1913291.611747__1.611747	820__A0A3E4G8F8__ERS852421_01645
ERR1913291.611812__1.611812	28116__C3R1N5__SAMN05444282_12443
ERR1913291.611922__1.611922	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.612210__1.612210	310298__B3JQJ5__BACCOP_04231
ERR1913291.612216__1.612216	820__A0A139K0J1__HMPREF2141_03205
ERR1913291.612238__1.612238	28116__A0A1Y4P7B7__M088_2098
ERR1913291.612284__1.612284	28116__F7M1Q5__CUY_1584
ERR1913291.612577__1.612577	39492__D4JWT3__ERS852540_00301
ERR1913291.612607__1.612607	1262743__R5C054__BN727_01980
ERR1913291.612677__1.612677	487174__K0WUZ1__DIT83_10815
ERR1913291.612734__1.612734	671267__R9IB12__C802_00696
ERR1913291.613034__1.613034	28116__A7M617__SAMN05192582_105025
ERR1913291.613236__1.613236	821__A0A0P0M5Z6__BVU_0429
ERR1913291.613247__1.613247	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913291.613270__1.613270	817__D1JRG3__M076_0507
ERR1913291.613296__1.613296	821__R7P1Q7__M099_2990
ERR1913291.613322__1.613322	214851__D1PSL1__SUBVAR_07394
ERR1913291.613687__1.613687	28116__A0A1Y4PHM7__DXA80_25130
ERR1913291.613650__1.613650	820__A0A139KJR5__M093_4469
ERR1913291.613654__1.613654	39492__D4JT68__spoIIIE
ERR1913291.613719__1.613719	28116__A0A078QGJ1__AA414_00533
ERR1913291.613787__1.613787	820__A0A3E4RUC4__DHU98_02635
ERR1913291.613863__1.613863	216816__B3DNW2__BL171B_07980
ERR1913291.613871__1.613871	1897011__A0A1Q6REX8__BHW41_04475
ERR1913291.614007__1.614007	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913291.614011__1.614011	39492__D4MN06__EUBSIR_02672
ERR1913291.614114__1.614114	674529__R6V9C9__DXB21_16435
ERR1913291.614192__1.614192	28116__C3QVY2__SAMN05444282_12234
ERR1913291.614210__1.614210	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913291.614232__1.614232	853__A0A2J4JL53__CRH10_10795
ERR1913291.614305__1.614305	246787__R6LCC2__BACCELL_00607
ERR1913291.614418__1.614418	246787__A0A0P0G254__axeA1_2
ERR1913291.614537__1.614537	28116__E5C458__BACOV975_02730
ERR1913291.614682__1.614682	28116__E5CH90__M089_2359
ERR1913291.614809__1.614809	357276__B6W1J2__BACDOR_03380
ERR1913291.614911__1.614911	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.615071__1.615071	821__A0A0P0M4G3__M099_3092
ERR1913291.615228__1.615228	28116__A0A395VSP8__ERS852555_02642
ERR1913291.615311__1.615311	28116__A7M0H0__DXA80_15290
ERR1913291.615318__1.615318	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.615399__1.615399	821__A0A395UNT8__DXD64_15275
ERR1913291.615449__1.615449	410072__A0A173YNZ0__ERS852481_00766
ERR1913291.616068__1.616068	28116__A0A1G6G9R4__CUY_0131
ERR1913291.616097__1.616097	246787__A0A0P0FVC6__BACCELL_03671
ERR1913291.616154__1.616154	28116__E5C5U2__HMPREF2532_02418
ERR1913291.616403__1.616403	28116__A7LUQ0__CUY_2205
ERR1913291.616415__1.616415	28116__E5CEE4__SAMN05444282_12363
ERR1913291.616450__1.616450	823__D7ILK2__ERS852380_00031
ERR1913291.616509__1.616509	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913291.616533__1.616533	821__A0A174NSU0__BVU_3144
ERR1913291.616679__1.616679	28116__D7J6B1__B5F02_07870
ERR1913291.616811__1.616811	1262911__R6GMS3__BN557_00579
ERR1913291.616962__1.616962	28116__C3QMW5__M089_4133
ERR1913291.616994__1.616994	28116__A7M344__BACOV975_04644
ERR1913291.617066__1.617066	28117__B0MTV5__BHV66_06415
ERR1913291.617214__1.617214	674529__A0A174P3W4__SAMN05444400_106198
ERR1913291.617248__1.617248	214856__I3YMC8__ERS852447_02666
ERR1913291.617440__1.617440	214856__I3YMN6__Alfi_1938
ERR1913291.617510__1.617510	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.617540__1.617540	1262911__R6GTN3__BN557_01365
ERR1913291.617667__1.617667	246787__E2N7G0__resA_6
ERR1913291.617670__1.617670	820__A0A174EV88__HMPREF1072_01427
ERR1913291.617727__1.617727	818__A0A1H7L4U6__BSIG_3287
ERR1913291.617805__1.617805	1150298__R7JPI7__cotI
ERR1913291.617831__1.617831	28117__B0MT84__ALIPUT_00402
ERR1913291.617914__1.617914	1897011__A0A1Q6RD70__BHW41_05845
ERR1913291.617927__1.617927	821__C3RB94__DXC03_15585
ERR1913291.618012__1.618012	28116__C3QVY2__SAMN05444282_12234
ERR1913291.618041__1.618041	39492__D4JV38__EUBSIR_01205
ERR1913291.618062__1.618062	214856__A0A175A6T5__ERS852447_02658
ERR1913291.618220__1.618220	28116__A0A1Y4P6Z8__HMPREF1069_04439
ERR1913291.618250__1.618250	28116__A7M0E3__AA414_00536
ERR1913291.618285__1.618285	821__A0A396FEL8__C5Z04_06030
ERR1913291.618287__1.618287	28116__F7M1Q5__CUY_1584
ERR1913291.618475__1.618475	1262911__R6HKM0__BN557_00430
ERR1913291.618438__1.618438	1262911__R6GSH8__BN557_00939
ERR1913291.618596__1.618596	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913291.618671__1.618671	28116__A0A1Y4Q112__evgS_13
ERR1913291.618785__1.618785	1150298__A0A174QAL8__ERS852498_02570
ERR1913291.618759__1.618759	39496__A5Z8C5__EUBVEN_01966
ERR1913291.618760__1.618760	821__A0A174V2F3__NCTC10583_01474
ERR1913291.618833__1.618833	821__A0A397WGD6__M098_0084
ERR1913291.619007__1.619007	246787__R6LGB3__BcellWH2_02361
ERR1913291.619030__1.619030	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913291.619036__1.619036	823__A0A355XLS2__ERS852380_02644
ERR1913291.619043__1.619043	39492__A0A174Z2N0__EUBSIR_01615
ERR1913291.619166__1.619166	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913291.619304__1.619304	1150298__A0A174T452__kfoC_3
ERR1913291.619365__1.619365	1897011__A0A1Q6RC54__BHW41_06555
ERR1913291.619470__1.619470	28116__E5CHV5__B5F02_08530
ERR1913291.619498__1.619498	216816__A0A061M1M5__HMPREF0177_01046
ERR1913291.619600__1.619600	649756__B0NWS2__CL2_06980
ERR1913291.619677__1.619677	821__A0A0P0L8F8__ERS852509_03705
ERR1913291.619791__1.619791	338188__R6RT73__HMPREF1057_02828
ERR1913291.619827__1.619827	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913291.619965__1.619965	371601__F7LA63__HMPREF1074_04288
ERR1913291.619983__1.619983	28116__A0A1G6G396__DXD69_22115
ERR1913291.620006__1.620006	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913291.620152__1.620152	820__A0A139JRH8__HMPREF2141_04326
ERR1913291.620513__1.620513	28116__A7M344__BACOV975_04644
ERR1913291.620561__1.620561	820__A0A174CG08__DXB62_13215
ERR1913291.620581__1.620581	1263107__GCA_000436995.1_00133
ERR1913291.620862__1.620862	853__C7H7F5__DWZ46_01780
ERR1913291.620999__1.620999	1150298__A0A174NLT0__araC_6
ERR1913291.621047__1.621047	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913291.621095__1.621095	360807__A0A173RZE9__polC_2
ERR1913291.621181__1.621181	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.621153__1.621153	35833__E5YAY4__HMPREF0179_03355
ERR1913291.621158__1.621158	487174__K0X3V7__DIT83_01400
ERR1913291.621245__1.621245	371601__F7LA63__HMPREF1074_04288
ERR1913291.621452__1.621452	1262537__GeneID:16385341
ERR1913291.621518__1.621518	556259__E5C445__BSGG_0931
ERR1913291.621549__1.621549	39492__D4JT87__clpC
ERR1913291.621763__1.621763	821__A0A0P0M2J4__DXD46_10295
ERR1913291.621984__1.621984	820__A0A173YYG4__evgS_3
ERR1913291.622390__1.622390	821__A0A396F9T7__M097_3427
ERR1913291.622558__1.622558	28116__A7M344__BACOV975_04644
ERR1913291.622584__1.622584	246787__R6K756__HMPREF1062_01819
ERR1913291.622590__1.622590	28116__A7LS02__DXF98_24100
ERR1913291.622592__1.622592	28116__A0A1G6G396__DXD69_22115
ERR1913291.622627__1.622627	823__A6LFW2__M095_1860
ERR1913291.622608__1.622608	28116__I9SW74__BACOVA_04237
ERR1913291.622609__1.622609	28116__I9SW74__BACOVA_04237
ERR1913291.622614__1.622614	28116__A0A1Y4Q112__evgS_13
ERR1913291.622617__1.622617	821__A6L0C7__ERS852556_03520
ERR1913291.622742__1.622742	328814__GCA_004558275.1_00072
ERR1913291.622850__1.622850	28116__A0A139L6N6__HMPREF2532_02529
ERR1913291.622957__1.622957	28116__I8YA52__M088_0798
ERR1913291.622958__1.622958	28116__I8YA52__M088_0798
ERR1913291.623051__1.623051	674529__R6VF01__DXB21_13480
ERR1913291.623098__1.623098	166486__D4KWR9__dapF_1
ERR1913291.622993__1.622993	28116__F7L8I3__M089_1421
ERR1913291.623178__1.623178	166486__D4KNM9__ERS852572_00072
ERR1913291.623199__1.623199	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913291.623295__1.623295	28116__E5C3L0__B5F02_21065
ERR1913291.623313__1.623313	556259__I0PXW0__BSGG_5187
ERR1913291.623470__1.623470	1150298__A0A174L2G3__ERS852498_01371
ERR1913291.623524__1.623524	821__A0A3E4WAR6__DXD64_10735
ERR1913291.623743__1.623743	821__A0A397WGD6__M098_0084
ERR1913291.623759__1.623759	28116__A0A1G8IGK0__DXF98_23045
ERR1913291.623791__1.623791	823__A6L930__DDY96_14995
ERR1913291.623818__1.623818	1150298__R7JPI7__cotI
ERR1913291.623841__1.623841	28116__C3QMW4__BACOVA_04147
ERR1913291.623889__1.623889	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.624075__1.624075	39492__D4JVC7__yfgF
ERR1913291.624170__1.624170	28116__A0A3D2LPA1__CUY_3388
ERR1913291.624114__1.624114	853__A0A3E2V168__FAEPRAM212_00929
ERR1913291.624130__1.624130	246787__A0A0P0GPP9__BACCELL_01902
ERR1913291.624189__1.624189	357276__I9QBT7__BSEG_03340
ERR1913291.624252__1.624252	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913291.624418__1.624418	214856__I3YMC8__ERS852447_02666
ERR1913291.624435__1.624435	28116__I8YA52__M088_0798
ERR1913291.624555__1.624555	821__A0A174T998__DXB82_10860
ERR1913291.624623__1.624623	28116__A7LXU0__HMPREF1070_00358
ERR1913291.624717__1.624717	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913291.624848__1.624848	371601__C3R2J2__ERS852396_04353
ERR1913291.624907__1.624907	28116__A0A1Y4Q112__evgS_13
ERR1913291.624911__1.624911	821__A0A174V2F3__NCTC10583_01474
ERR1913291.624938__1.624938	821__A0A395US34__C5Z04_18975
ERR1913291.625259__1.625259	28116__A7M4E1__NCTC11153_01558
ERR1913291.625331__1.625331	556259__E5C9G2__BSGG_2011
ERR1913291.625351__1.625351	246787__A0A0P0GUU5__BACCELL_02894
ERR1913291.625372__1.625372	39491__A0A173TAZ5__DXB99_09520
ERR1913291.625530__1.625530	1262824__R6RSB1__BN719_01655
ERR1913291.625737__1.625737	28116__A0A078QF71__HMPREF1070_01231
ERR1913291.625741__1.625741	28116__A0A078QF71__HMPREF1070_01231
ERR1913291.625745__1.625745	821__A0A395VIK7__BVU_1225
ERR1913291.625823__1.625823	821__A0A174WBC9__ERS852556_03145
ERR1913291.625878__1.625878	820__A7V049__DXB48_04755
ERR1913291.625889__1.625889	820__A0A174DZ97__SAMN05444418_101240
ERR1913291.625900__1.625900	28116__F7M1Q5__CUY_1584
ERR1913291.625913__1.625913	328814__GCA_004558275.1_00292
ERR1913291.625957__1.625957	820__A0A173YYG4__evgS_3
ERR1913291.626082__1.626082	371601__C3QR34__DXD03_22980
ERR1913291.626138__1.626138	820__A7V049__DXB48_04755
ERR1913291.626193__1.626193	39492__D4JWY0__EUBSIR_01648
ERR1913291.626268__1.626268	28116__E5C3S2__HMPREF1070_02476
ERR1913291.626281__1.626281	821__C6ZAA5__ERS852556_00403
ERR1913291.626349__1.626349	1262911__R6GPM2__BN557_00937
ERR1913291.626455__1.626455	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.626479__1.626479	28116__I8YA52__M088_0798
ERR1913291.626535__1.626535	28117__R7JPX7__BHV66_00900
ERR1913291.626609__1.626609	820__A0A3E4HWJ4__DXD40_05945
ERR1913291.626636__1.626636	328814__GCA_004558275.1_01621
ERR1913291.626680__1.626680	28116__A7M344__BACOV975_04644
ERR1913291.627065__1.627065	246787__A0A0P0FYF1__HMPREF1062_05374
ERR1913291.627071__1.627071	28118__R6FD01__B5F99_06665
ERR1913291.627080__1.627080	556259__I0PXW0__BSGG_5187
ERR1913291.627162__1.627162	28116__A7LSB9__DXF98_11950
ERR1913291.627306__1.627306	820__A0A174F696__macB_13
ERR1913291.627335__1.627335	556259__I0PXW0__BSGG_5187
ERR1913291.627381__1.627381	371601__C3R2J2__ERS852396_04353
ERR1913291.627397__1.627397	28116__I9ST00__M088_5588
ERR1913291.627560__1.627560	28116__C3QZB5__M088_3811
ERR1913291.627605__1.627605	1150298__R7JPI7__cotI
ERR1913291.627645__1.627645	28116__E5C458__BACOV975_02730
ERR1913291.627701__1.627701	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913291.627814__1.627814	371601__A0A1H4AKU1__BXY_45200
ERR1913291.627882__1.627882	28116__A0A395VUS9__DXD69_03560
ERR1913291.627905__1.627905	39491__A0A396FJJ9__DXB76_11995
ERR1913291.627966__1.627966	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913291.628047__1.628047	357276__A0A0K2HDP3__IY41_00705
ERR1913291.628182__1.628182	556259__I0PYM3__BSGG_5385
ERR1913291.628197__1.628197	821__A0A173WG51__BVU_2549
ERR1913291.628292__1.628292	820__A0A174QT76__B5G17_18060
ERR1913291.628355__1.628355	823__A6LBY1__ERS852380_00510
ERR1913291.628557__1.628557	820__A0A173XIP7__B5G17_16050
ERR1913291.628566__1.628566	39492__D4JVW2__EUBSIR_02285
ERR1913291.628604__1.628604	28116__E5C5U2__HMPREF2532_02418
ERR1913291.628605__1.628605	301301__G2SX14__RHOM_09085
ERR1913291.628612__1.628612	39491__C4Z872__LD38_07250
ERR1913291.628659__1.628659	371601__D6D5Q9__BN890_35020
ERR1913291.628697__1.628697	28116__A0A1Y4PEX5__DXF98_25295
ERR1913291.628736__1.628736	28116__A0A1Y4Q119__DXD69_10975
ERR1913291.628783__1.628783	820__A0A139JRH8__HMPREF2141_04326
ERR1913291.628841__1.628841	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913291.628881__1.628881	39492__D4JU94__ispE
ERR1913291.628898__1.628898	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913291.628950__1.628950	853__A0A2J4JL53__CRH10_10795
ERR1913291.628982__1.628982	820__A7V049__DXB48_04755
ERR1913291.629017__1.629017	28116__A0A1G8H1M8__DXF98_11065
ERR1913291.629098__1.629098	556259__I0PYJ6__BSGG_5210
ERR1913291.629038__1.629038	820__A0A3E5BMG9__DXD40_05130
ERR1913291.629072__1.629072	246787__A0A0P0GK12__BcellWH2_04154
ERR1913291.629153__1.629153	39491__D4JMW8__ERS852497_01971
ERR1913291.629168__1.629168	487174__K0WXI5__DDY40_07185
ERR1913291.629220__1.629220	821__A0A174JYD3__ERS852457_02610
ERR1913291.629226__1.629226	674529__A0A174K9D7__SAMN05444400_1164
ERR1913291.629260__1.629260	46503__R6WWH2__DXB85_00365
ERR1913291.629301__1.629301	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913291.629310__1.629310	1263044__GCA_000433375.1_03553
ERR1913291.629441__1.629441	817__D1JWD2__M134_4100
ERR1913291.629701__1.629701	821__A0A396F9T7__M097_3427
ERR1913291.629866__1.629866	39491__D6E118__DXB69_05765
ERR1913291.629904__1.629904	360807__C0FZM4__RIL183_06871
ERR1913291.629913__1.629913	239935__R6JCH3__CXT95_08205
ERR1913291.629930__1.629930	371601__A0A174AP70__SAMN05216250_110105
ERR1913291.629937__1.629937	818__Q8A0R7__ERS852461_00039
ERR1913291.629988__1.629988	28116__A0A396DFW5__C5Z02_07010
ERR1913291.630214__1.630214	820__A7V470__HMPREF1072_02076
ERR1913291.630331__1.630331	1262911__R6H092__BN557_00938
ERR1913291.630488__1.630488	214856__I3YMN6__Alfi_1938
ERR1913291.630491__1.630491	821__A0A396ER29__ERS852457_02298
ERR1913291.630545__1.630545	239935__A0A2N8IMC3__CXT96_03840
ERR1913291.630555__1.630555	821__R6F3Y1__SAMN04487923_104318
ERR1913291.630657__1.630657	371601__C3R2J2__ERS852396_04353
ERR1913291.630712__1.630712	28116__F7LC60__AA414_00422
ERR1913291.630691__1.630691	28117__B0MYI9__BHV66_05415
ERR1913291.630870__1.630870	39488__A0A285PSK3__yihY
ERR1913291.630954__1.630954	28116__A0A1Y4Q114__DXF98_00470
ERR1913291.630988__1.630988	1150298__R7JTY5__ERS852406_02079
ERR1913291.631208__1.631208	1263107__GCA_000436995.1_00230
ERR1913291.631276__1.631276	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913291.631243__1.631243	1262911__R6GTA5__BN557_01337
ERR1913291.631296__1.631296	39492__D4JV86__spoIIE
ERR1913291.631468__1.631468	39492__D4JR58__EUBSIR_02090
ERR1913291.631561__1.631561	39485__C4Z069__EUBELI_00981
ERR1913291.631593__1.631593	818__A0A174VDI6__BSIG_1023
ERR1913291.631680__1.631680	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913291.631753__1.631753	39491__A0A395ZG74__licR
ERR1913291.631826__1.631826	28116__A0A3A9HSJ8__DXD69_15065
