ERR1913222.220__1.220	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913222.1801120__1.1801120	410072__C0B4I4__COPCOM_00043
ERR1913222.1801125__1.1801125	165179__A0A174SA26__PREVCOP_05758
ERR1913222.1801236__1.1801236	2173__A0A1D2WW41__BK798_07915
ERR1913222.1801408__1.1801408	45851__D4S184__BUTYVIB_01854
ERR1913222.1801720__1.1801720	572010__hgdC_1
ERR1913222.1801766__1.1801766	39485__C4Z0S8__hisK
ERR1913222.1801867__1.1801867	45851__D4RYR7__BHV86_05495
ERR1913222.1802023__1.1802023	45851__D4RWN7__BHV86_06150
ERR1913222.1802040__1.1802040	45851__D4RZ69__BUTYVIB_01134
ERR1913222.1802191__1.1802191	45851__D4S1J6__BHV86_08535
ERR1913222.1802667__1.1802667	821__A0A395VLM8__BvMPK_3650
ERR1913222.1803120__1.1803120	165179__A0A174PS14__DXC61_13945
ERR1913222.1803166__1.1803166	45851__D4S330__BHV86_03650
ERR1913222.1803217__1.1803217	39485__R5ZHA7__ERS852490_00039
ERR1913222.1803293__1.1803293	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913222.1803256__1.1803256	28130__U2KK66__HMPREF0653_01951
ERR1913222.1803421__1.1803421	45851__D4RXA5__BHV86_02525
ERR1913222.1803490__1.1803490	39485__A0A174Z851__cdaR_1
ERR1913222.1803619__1.1803619	39491__A0A396FSK3__ERS852417_00383
ERR1913222.1803936__1.1803936	45851__D4RZC5__BUTYVIB_01191
ERR1913222.1804077__1.1804077	45851__R5LRK0__BUTYVIB_00520
ERR1913222.1804585__1.1804585	1262882__R5MHZ2__BN519_00742
ERR1913222.1804610__1.1804610	39491__C4ZGN3__DXB99_14175
ERR1913222.1805090__1.1805090	45851__D4RZ17__BUTYVIB_01081
ERR1913222.1805232__1.1805232	2173__A0A1D2WT18__METSMIALI_00395
ERR1913222.1805317__1.1805317	39485__A0A174YNW2__cph2_3
ERR1913222.1805269__1.1805269	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913222.1805899__1.1805899	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913222.1805906__1.1805906	39485__R6AKA4__rssA
ERR1913222.1805958__1.1805958	1262760__R5LYY0__BN758_00267
ERR1913222.1806295__1.1806295	45851__D4RZD5__BUTYVIB_01201
ERR1913222.1806363__1.1806363	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913222.1806433__1.1806433	45851__D4S283__BUTYVIB_02205
ERR1913222.1806434__1.1806434	39485__R5ZRT8__gmr_6
ERR1913222.1806517__1.1806517	39496__A5Z8A3__EUBVEN_01944
ERR1913222.1806746__1.1806746	172901__A0A2U1BAB8__C8D82_102181
ERR1913222.1806814__1.1806814	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913222.1806861__1.1806861	40520__A0A174T469__RUMOBE_01427
ERR1913222.1807017__1.1807017	1262929__R6EZX4__BN691_00295
ERR1913222.1807201__1.1807201	33043__D5HF53__ERS852386_02418
ERR1913222.1807202__1.1807202	39485__A0A174YS20__EUBELI_20202
ERR1913222.1807394__1.1807394	45851__D4S141__BHV86_05760
ERR1913222.1807700__1.1807700	1262825__R5EJK4__BN724_02191
ERR1913222.1808031__1.1808031	572010__group_1550
ERR1913222.1808088__1.1808088	165179__D1PCL6__DXB80_13435
ERR1913222.1808100__1.1808100	88431__A0A3D0EXT6__ERS852423_01007
ERR1913222.1808413__1.1808413	39485__C4Z0T2__ykvU
ERR1913222.1808648__1.1808648	39485__R5ZVC3__ERS852490_00250
ERR1913222.1808789__1.1808789	33039__D4M398__ERS852530_00575
ERR1913222.1808728__1.1808728	39485__C4Z685__EUBELI_20332
ERR1913222.1809005__1.1809005	1297617__A0A0S2W1U2__BIV19_00295
ERR1913222.1809167__1.1809167	33043__A0A174B6N5__ERS852445_02414
ERR1913222.1809323__1.1809323	1262760__R5LFX7__BN758_00189
ERR1913222.1809365__1.1809365	1262930__R5ZZX8__BN693_02128
ERR1913222.1809437__1.1809437	100886__R7GJP9__amiC
ERR1913222.1809485__1.1809485	1262911__R6GHG8__BN557_01301
ERR1913222.1809524__1.1809524	901__B6WXH1__DESPIGER_1644
ERR1913222.1809709__1.1809709	165179__A0A3E5EDV6__DXC61_03365
ERR1913222.1809725__1.1809725	100886__A0A174M1T3__yijE
ERR1913222.1809823__1.1809823	371601__C3R2J2__ERS852396_04353
ERR1913222.1809824__1.1809824	1262886__R6Q800__BN563_00921
ERR1913222.1809993__1.1809993	821__A0A3E4WAR6__DXD64_10735
ERR1913222.1810069__1.1810069	45851__D4S1J8__BUTYVIB_01969
ERR1913222.1810521__1.1810521	100886__E2NPH8__CATMIT_00469
ERR1913222.1810753__1.1810753	1262886__R6QIL5__BN563_00897
ERR1913222.1810803__1.1810803	165179__A0A174MTF2__DXC61_13200
ERR1913222.1810914__1.1810914	1262911__R6H212__BN557_01031
ERR1913222.1811406__1.1811406	33043__A0A173WWJ5__ERS852386_00339
ERR1913222.1811407__1.1811407	165179__A0A3E5DWZ6__DXC61_10880
ERR1913222.1811435__1.1811435	853__A0A173TAZ8__DWZ46_14590
ERR1913222.1811501__1.1811501	33043__A0A3A6J8T3__yvhJ
ERR1913222.1811595__1.1811595	39485__C4Z1W5__ERS852492_01530
ERR1913222.1811773__1.1811773	39491__A0A173TAZ5__DXB99_09520
ERR1913222.1811893__1.1811893	45851__D4RZ84__BUTYVIB_01149
ERR1913222.1812234__1.1812234	1262992__R5CXM8__BN795_01024
ERR1913222.1812272__1.1812272	1262816__R6BYB5__BN687_01079
ERR1913222.1812496__1.1812496	165179__A0A3E5E920__DXB80_11625
ERR1913222.1812586__1.1812586	1262992__R5CXM7__BN795_01016
ERR1913222.1812755__1.1812755	39485__A0A174Z851__cdaR_1
ERR1913222.1812857__1.1812857	45851__D4S031__BHV86_10500
ERR1913222.1812939__1.1812939	1262882__R5N3H1__BN519_01121
ERR1913222.1813051__1.1813051	33043__A0A374K1H3__ykoD_2
ERR1913222.1813245__1.1813245	2173__A0A1D2WST6__METSMIALI_00213
ERR1913222.1813283__1.1813283	1262825__R5EER7__BN724_00148
ERR1913222.1813661__1.1813661	45851__R5LRK0__BUTYVIB_00520
ERR1913222.1813745__1.1813745	1262961__R6E1C5__BN710_01058
ERR1913222.1813970__1.1813970	1308__A0A1J0HRX1__DID82_04505
ERR1913222.1813991__1.1813991	45851__D4S1I1__BHV86_08605
ERR1913222.1814091__1.1814091	39485__C4Z0G6__spoIVB
ERR1913222.1814494__1.1814494	165179__D1PCY7__DXB80_02765
ERR1913222.1814981__1.1814981	1262911__R6H2J2__BN557_01228
ERR1913222.1815034__1.1815034	40518__R5E1X3__clcA
ERR1913222.1815195__1.1815195	1262886__R6QIL5__BN563_00897
ERR1913222.1815449__1.1815449	39485__A0A174YR99__ERS852492_00943
ERR1913222.1815671__1.1815671	33043__D5HF50__ERS852386_02415
ERR1913222.1815905__1.1815905	1262886__R6Q9S2__BN563_00641
ERR1913222.1815872__1.1815872	2173__A0A1D2WV05__BK798_06920
ERR1913222.1815958__1.1815958	2173__A0A1D2WSN7__Msm_1465
ERR1913222.1816022__1.1816022	1262886__R6QNV6__BN563_00627
ERR1913222.1816204__1.1816204	45851__D4RYD2__BUTYVIB_00837
ERR1913222.1816221__1.1816221	165179__A0A174SR12__DXB80_04410
ERR1913222.1816295__1.1816295	39485__A0A174YVS4__EUBELI_00620
ERR1913222.1816396__1.1816396	1262882__R5MEK3__BN519_00296
ERR1913222.1816438__1.1816438	29361__B6FKH5__CLONEX_00621
ERR1913222.1816727__1.1816727	45851__D4S0Q4__lepB
ERR1913222.1816939__1.1816939	45851__D4S1I1__BHV86_08605
ERR1913222.1817161__1.1817161	1263000__R5EKG2__BN466_02040
ERR1913222.1817343__1.1817343	853__A0A173YYY4__DWZ04_09420
ERR1913222.1817346__1.1817346	45851__D4S0P6__BUTYVIB_01665
ERR1913222.1817641__1.1817641	1680__A1A132__B0703_0684
ERR1913222.1817917__1.1817917	1263006__R6LYR2__BN515_01475
ERR1913222.1818318__1.1818318	204516__U6RAM4__HMPREF1534_03439
ERR1913222.1818537__1.1818537	33039__R6P284__spoIIIE
ERR1913222.1818624__1.1818624	853__A0A173RZ39__C4N22_01650
ERR1913222.1818661__1.1818661	45851__D4RZ86__BHV86_03570
ERR1913222.1818676__1.1818676	45851__D4RWN6__BUTYVIB_00072
ERR1913222.1818808__1.1818808	39485__R5ZT06__EUBELI_20526
ERR1913222.1819029__1.1819029	33039__R6PAH6__ERS852577_01830
ERR1913222.1819279__1.1819279	33043__D5HDY1__cdd
ERR1913222.1819478__1.1819478	39485__C4Z058__ERS852492_00130
ERR1913222.1819493__1.1819493	39485__C4Z355__ERS852490_01971
ERR1913222.1819496__1.1819496	39488__A0A174D9D0__EUBHAL_02073
ERR1913222.1819541__1.1819541	88431__A0A3D0EYV0__DXB16_09650
ERR1913222.1819608__1.1819608	45851__D4RZ40__BHV86_03390
ERR1913222.1819876__1.1819876	45851__D4RZF5__BUTYVIB_01221
ERR1913222.1819985__1.1819985	165179__D1PAR0__DXB80_01190
ERR1913222.1820039__1.1820039	165179__R6XIF8__DXC61_07265
ERR1913222.1820035__1.1820035	28118__R6F891__NCTC10826_02656
ERR1913222.1820112__1.1820112	1897011__A0A1Q6REP0__BHW41_04040
ERR1913222.1820145__1.1820145	1262825__R5E8D2__BN724_02151
ERR1913222.1820177__1.1820177	1262825__R5DZL7__BN724_01018
ERR1913222.1820266__1.1820266	165179__D1P8K1__DXB80_06045
ERR1913222.1820373__1.1820373	1150298__A0A174KML4__hisK
ERR1913222.1820547__1.1820547	39491__A0A174LTW7__DXD13_08720
ERR1913222.1820551__1.1820551	33043__D5HDZ9__ERS852386_00394
ERR1913222.1820621__1.1820621	820__A0A3E4VZY4__ERS852554_01211
ERR1913222.1820779__1.1820779	1262761__R6RY17__BN606_01538
ERR1913222.1821041__1.1821041	45851__D4RYD1__ytvI
ERR1913222.1821109__1.1821109	1262886__R6QIL5__BN563_00897
ERR1913222.1821983__1.1821983	45851__D4S0P6__BUTYVIB_01665
ERR1913222.1822136__1.1822136	1262992__R5CXM7__BN795_01016
ERR1913222.1822369__1.1822369	165179__D1P8Q2__trpF
ERR1913222.1822644__1.1822644	39486__G1WPN2__DORFOR_01095
ERR1913222.1823200__1.1823200	165179__R6C3K4__PREVCOP_05795
ERR1913222.1823475__1.1823475	1262760__R5L6D9__BN758_00849
ERR1913222.1823570__1.1823570	45851__D4RXN5__BUTYVIB_00586
ERR1913222.1823583__1.1823583	166486__D4L0L1__ROSINTL182_08075
ERR1913222.1823808__1.1823808	572010__rpoB
ERR1913222.1823844__1.1823844	45851__D4RWC3__BUTYVIB_00254
ERR1913222.1823940__1.1823940	45851__D4RXN5__BUTYVIB_00586
ERR1913222.1824128__1.1824128	1150298__A0A174LLX0__dhaD
ERR1913222.1824391__1.1824391	39485__A0A174Z9M2__yhbU_1
ERR1913222.1824491__1.1824491	45851__R5LJL1__BHV86_09305
ERR1913222.1824508__1.1824508	45851__D4RWR5__BHV86_06295
ERR1913222.1824756__1.1824756	371601__A0A0J9FJQ6__HMPREF1074_04066
ERR1913222.1824888__1.1824888	45851__D4S1E0__BUTYVIB_01910
ERR1913222.1825112__1.1825112	28118__F9ZAB2__SAMEA44545918_01079
ERR1913222.1825193__1.1825193	1262961__R6E698__BN710_01517
ERR1913222.1825300__1.1825300	1262882__R5N3T7__BN519_01188
ERR1913222.1825622__1.1825622	39492__D4JR58__EUBSIR_02090
ERR1913222.1825670__1.1825670	1262536__GeneID:16385454
ERR1913222.1825695__1.1825695	45851__D4RYQ1__BHV86_00310
ERR1913222.1825728__1.1825728	39485__A0A174ZQT9__EUBELI_20278
ERR1913222.1825896__1.1825896	2173__A5UNC4__METSMIALI_00562
ERR1913222.1826062__1.1826062	45851__D4S2U9__BHV86_05685
ERR1913222.1826270__1.1826270	165179__A0A3E5E189__PREVCOP_06699
ERR1913222.1826490__1.1826490	384639__GCA_003096855.1_00995
ERR1913222.1826633__1.1826633	2173__A0A1D2WUH4__METSMIALI_01323
ERR1913222.1826778__1.1826778	572010__hgdC_1
ERR1913222.1826817__1.1826817	1262961__R6DYA6__BN710_00447
ERR1913222.1827267__1.1827267	216816__A0A2U0BLP0__tsaB
ERR1913222.1827270__1.1827270	2293125__A0A374BSV3__DW917_13360
ERR1913222.1827295__1.1827295	165179__D1PC26__PREVCOP_04756
ERR1913222.1827359__1.1827359	28116__F7L4X5__M089_2857
ERR1913222.1827400__1.1827400	45851__D4RYU0__BHV86_05340
ERR1913222.1827430__1.1827430	1262911__R6GKS1__BN557_00184
ERR1913222.1827472__1.1827472	1262825__R5E978__BN724_00307
ERR1913222.1827826__1.1827826	28130__E1KS42__HMPREF0654_03035
ERR1913222.1827848__1.1827848	357276__A0A076IKP2__HMPREF1063_00218
ERR1913222.1827889__1.1827889	165179__A0A174WGF6__PREVCOP_04095
ERR1913222.1827916__1.1827916	853__A0A173TAZ8__DWZ46_14590
ERR1913222.1828217__1.1828217	2173__A0A1D2WTZ3__frhB
ERR1913222.1828297__1.1828297	821__R7P1Q7__M099_2990
ERR1913222.1828683__1.1828683	33039__A0A174ZIS2__RTO_10090
ERR1913222.1828727__1.1828727	165179__D1PAN5__PREVCOP_04260
ERR1913222.1828746__1.1828746	165179__A0A3E5E4P9__DXB80_07930
ERR1913222.1828747__1.1828747	1042156__F7V3A8__HipB
ERR1913222.1828800__1.1828800	39485__C4Z028__ERS852492_00100
ERR1913222.1829140__1.1829140	45851__D4RZ27__BHV86_03325
ERR1913222.1829349__1.1829349	1263006__R6ML86__BN515_00100
ERR1913222.1829434__1.1829434	28118__F9Z3J9__B5F93_07500
ERR1913222.1829797__1.1829797	39490__A0A173U8I1__LG34_05080
ERR1913222.1830068__1.1830068	387090__S0F8B2__BACCOPRO_02129
ERR1913222.1830258__1.1830258	100886__E2NSF9__rpoB
ERR1913222.1830291__1.1830291	1262882__R5MFA5__BN519_00331
ERR1913222.1830323__1.1830323	45851__D4S0P1__BUTYVIB_01660
ERR1913222.1830583__1.1830583	1262988__R7N6D8__BN816_00316
ERR1913222.1830723__1.1830723	33039__R6P0F1__ERS852424_02256
ERR1913222.1830989__1.1830989	1735__B7C9Y8__EUBIFOR_00992
ERR1913222.1831254__1.1831254	544645__A0A3E4T962__DXC42_08310
ERR1913222.1831289__1.1831289	552398__F4XCQ4__HMPREF0866_01621
ERR1913222.1831403__1.1831403	39485__A0A174ZNZ2__ERS852492_02345
ERR1913222.1831443__1.1831443	165179__A0A174W369__PREVCOP_04548
ERR1913222.1831603__1.1831603	357276__A0A0K2HDP3__IY41_00705
ERR1913222.1831650__1.1831650	39491__A0A395V1Y4__DXB99_08035
ERR1913222.1831618__1.1831618	1263006__R6ML86__BN515_00100
ERR1913222.1831873__1.1831873	45851__R5LL35__BUTYVIB_01928
ERR1913222.1832077__1.1832077	39485__C4Z389__ERS852490_01920
ERR1913222.1832144__1.1832144	45851__D4RWC8__BHV86_07020
ERR1913222.1832157__1.1832157	39491__A0A174K9A3__DXB69_07785
ERR1913222.1832313__1.1832313	45851__D4RX43__BUTYVIB_00394
ERR1913222.1832833__1.1832833	45851__D4RYB8__BHV86_01965
ERR1913222.1832927__1.1832927	322505__group_122
ERR1913222.1832929__1.1832929	39485__A0A174ZG70__ERS852492_00929
ERR1913222.1833027__1.1833027	371601__A0A1H4AUL8__BXY_43960
ERR1913222.1833104__1.1833104	1263006__R6LGA5__BN515_00076
ERR1913222.1833126__1.1833126	39485__C4Z389__ERS852490_01920
ERR1913222.1833323__1.1833323	45851__D4RY81__BUTYVIB_00786
ERR1913222.1833498__1.1833498	165179__D1PDT3__PREVCOP_05375
ERR1913222.1833565__1.1833565	384638__B7ASI3__BACPEC_02038
ERR1913222.1833589__1.1833589	165179__A0A3E5E920__DXB80_11625
ERR1913222.1833703__1.1833703	165179__A0A3E5DZ45__DXC61_02820
ERR1913222.1833740__1.1833740	165179__D1PE06__DXC61_05975
ERR1913222.1833756__1.1833756	165179__D1P9T6__PREVCOP_04016
ERR1913222.1833873__1.1833873	1263006__R6LUX0__BN515_01610
ERR1913222.1834674__1.1834674	1262961__R6DV64__BN710_01224
ERR1913222.1835101__1.1835101	1735__B7CC21__EUBIFOR_01746
ERR1913222.1835434__1.1835434	418240__C6J8B6__ERS852523_03677
ERR1913222.1835592__1.1835592	45851__D4S1A8__BHV86_08940
ERR1913222.1835625__1.1835625	1262945__R7A098__BN600_00317
ERR1913222.1835789__1.1835789	39485__A0A174YTW2__EUBELI_20520
ERR1913222.1836005__1.1836005	2293125__A0A374BZ93__DW917_11205
ERR1913222.1836131__1.1836131	45851__D4S0J9__BUTYVIB_01618
ERR1913222.1836184__1.1836184	821__A0A396F598__CUU_3259
ERR1913222.1836549__1.1836549	39485__R5ZSH7__EUBELI_00953
ERR1913222.1836636__1.1836636	1680__A0A1X3A7D3__AD0028_1139
ERR1913222.1836652__1.1836652	165179__D1PCL6__DXB80_13435
ERR1913222.1837264__1.1837264	853__C7H7F5__DWZ46_01780
ERR1913222.1837340__1.1837340	45851__D4RWC6__BHV86_07010
ERR1913222.1837383__1.1837383	45851__D4RWR5__BHV86_06295
ERR1913222.1837570__1.1837570	1262882__R5N532__BN519_01420
ERR1913222.1837771__1.1837771	45851__D4RW36__BUTYVIB_00166
ERR1913222.1837879__1.1837879	1262825__R5EGM6__BN724_01636
ERR1913222.1837935__1.1837935	338188__A0A174ETX3__ERS852397_01955
ERR1913222.1838168__1.1838168	39485__A0A174ZJ84__EUBELI_00107
ERR1913222.1838275__1.1838275	1297617__A0A0S2W075__C7373_101359
ERR1913222.1838447__1.1838447	39485__A0A174Z2K9__ERS852490_02052
ERR1913222.1838512__1.1838512	39485__C4Z069__EUBELI_00981
ERR1913222.1838898__1.1838898	45851__D4RZ82__BHV86_03550
ERR1913222.1839064__1.1839064	39485__A0A174Z2K9__ERS852490_02052
ERR1913222.1839358__1.1839358	45851__D4S1R9__BHV86_08150
ERR1913222.1839446__1.1839446	328814__GCA_004558275.1_01393
ERR1913222.1839482__1.1839482	46503__R5DDT4__DD461_14650
ERR1913222.1839512__1.1839512	1263006__R6LY93__BN515_00695
ERR1913222.1839540__1.1839540	45851__D4RY81__BUTYVIB_00786
ERR1913222.1840242__1.1840242	45851__D4S2F2__BHV86_00830
ERR1913222.1840255__1.1840255	45851__D4RYQ1__BHV86_00310
ERR1913222.1840291__1.1840291	45851__R5LHE7__BUTYVIB_00061
ERR1913222.1840563__1.1840563	147206__GCF_000156215.1_02107
ERR1913222.1840619__1.1840619	821__A0A174NM17__lacZ_6
ERR1913222.1840654__1.1840654	45851__R5LGC3__BHV86_03695
ERR1913222.1840863__1.1840863	1262825__R5DZG9__BN724_01005
ERR1913222.1840938__1.1840938	1262961__R6E698__BN710_01517
ERR1913222.1840994__1.1840994	1262961__R6DWK7__BN710_00104
ERR1913222.1841134__1.1841134	45851__D4S1R9__BHV86_08150
ERR1913222.1841168__1.1841168	1263107__GCA_000436995.1_00190
ERR1913222.1841169__1.1841169	45851__D4RW36__BUTYVIB_00166
ERR1913222.1841205__1.1841205	39485__C4Z6F3__EUBELI_20400
ERR1913222.1841206__1.1841206	165179__D1PEW8__DXB80_13775
ERR1913222.1841263__1.1841263	45851__D4RZC5__BUTYVIB_01191
ERR1913222.1841426__1.1841426	45851__D4S1B2__BHV86_08920
ERR1913222.1841631__1.1841631	45851__D4S366__BUTYVIB_02552
ERR1913222.1841840__1.1841840	410072__A0A173XQG6__ERS852574_01620
ERR1913222.1841886__1.1841886	165179__A0A174XZU8__DXB80_12180
ERR1913222.1842083__1.1842083	39491__A0A395UWA3__DXB69_11805
ERR1913222.1842689__1.1842689	45851__R5LL35__BUTYVIB_01928
ERR1913222.1842713__1.1842713	1262886__R6QS75__BN563_01599
ERR1913222.1842845__1.1842845	45851__D4RZ40__BHV86_03390
ERR1913222.1843265__1.1843265	39485__C4Z2I5__ERS852492_02214
ERR1913222.1843306__1.1843306	45851__D4RWC5__BHV86_07005
ERR1913222.1843420__1.1843420	39485__C4Z684__ERS852492_01895
ERR1913222.1843517__1.1843517	853__A0A174C5M1__CGS58_04460
ERR1913222.1843476__1.1843476	45851__D4RZA1__rimI
ERR1913222.1843527__1.1843527	1262882__R5MM25__BN519_00600
ERR1913222.1843539__1.1843539	45851__D4RY08__BUTYVIB_00711
ERR1913222.1843734__1.1843734	45851__D4RZC6__BHV86_04730
ERR1913222.1843877__1.1843877	2022527__A0A264YB35__CHL74_00015
ERR1913222.1843946__1.1843946	39485__R5ZRT8__gmr_6
ERR1913222.1843954__1.1843954	1262911__R6GPC5__BN557_00852
ERR1913222.1843994__1.1843994	45851__D4S1B2__BHV86_08920
ERR1913222.1844527__1.1844527	1262992__R5CXM7__BN795_01016
ERR1913222.1844634__1.1844634	165179__A0A3E5DZA5__DXB80_12550
ERR1913222.1845330__1.1845330	745368__A0A1T4Y4V4__SAMN02745178_02738
ERR1913222.1845426__1.1845426	39485__C4Z6V1__ERS852492_02640
ERR1913222.1845498__1.1845498	1262961__R6DNK8__BN710_00013
ERR1913222.1845812__1.1845812	1262825__R5E7C9__BN724_01626
ERR1913222.1845871__1.1845871	1262961__R6E511__BN710_01614
ERR1913222.1845959__1.1845959	165179__R6PU83__CFT61_14275
ERR1913222.1845935__1.1845935	1262741__R6CVE8__BN697_00329
ERR1913222.1846167__1.1846167	821__A0A396F1N0__M099_1553
ERR1913222.1846345__1.1846345	45851__D4RWG7__BUTYVIB_00298
ERR1913222.1846372__1.1846372	45851__D4RWC3__BUTYVIB_00254
ERR1913222.1846435__1.1846435	821__A0A174NVL6__NCTC10583_01782
ERR1913222.1846800__1.1846800	45851__D4RXA5__BHV86_02525
ERR1913222.1846887__1.1846887	165179__D1P8Q2__trpF
ERR1913222.1847042__1.1847042	1262886__R6QHS7__BN563_00615
ERR1913222.1847146__1.1847146	357276__C3R9Y0__HMPREF1064_01889
ERR1913222.1847301__1.1847301	357276__A0A0K2HKT7__B5F95_21090
ERR1913222.1847537__1.1847537	45851__D4S141__BHV86_05760
ERR1913222.1847579__1.1847579	165179__A0A3E5A5E5__DXC61_13965
ERR1913222.1847735__1.1847735	100886__R7GN92__CATMIT_00650
ERR1913222.1847835__1.1847835	1262911__R6H2J2__BN557_01228
ERR1913222.1847875__1.1847875	45851__R5LJL1__BHV86_09305
ERR1913222.1848023__1.1848023	1262760__R5LFS9__BN758_01687
ERR1913222.1848035__1.1848035	39485__A0A174Z2N7__EUBELI_02062
ERR1913222.1848051__1.1848051	1262911__R6GKX4__BN557_01388
ERR1913222.1848262__1.1848262	1262760__R5LAU9__BN758_00738
ERR1913222.1848277__1.1848277	33039__A0A174P3P0__ERS852424_01681
ERR1913222.1848282__1.1848282	165179__D1PCT4__DXB80_09470
ERR1913222.1848616__1.1848616	39485__A0A174ZNW9__luxQ_1
ERR1913222.1848673__1.1848673	45851__D4S0F7__BUTYVIB_01576
ERR1913222.1848857__1.1848857	1262911__R6GKX4__BN557_01388
ERR1913222.1848863__1.1848863	147206__GCF_000156215.1_01818
ERR1913222.1849158__1.1849158	45851__D4RZ27__BHV86_03325
ERR1913222.1849340__1.1849340	1262825__R5ELY8__BN724_02320
ERR1913222.1849525__1.1849525	1262825__R5E7H3__BN724_01638
ERR1913222.1849619__1.1849619	1262825__R5ED15__BN724_00006
ERR1913222.1849621__1.1849621	39485__R5ZYJ0__ERS852492_00222
ERR1913222.1849643__1.1849643	1262961__R6DVU6__BN710_01353
ERR1913222.1849922__1.1849922	1262958__R7H0I7__BN645_01812
ERR1913222.1850077__1.1850077	1262760__R5LA93__BN758_01520
ERR1913222.1850137__1.1850137	45851__D4RWC3__BUTYVIB_00254
ERR1913222.1850429__1.1850429	88431__A0A3D0F0E5__ERS852526_03216
ERR1913222.1850439__1.1850439	116085__D4JAV2__DW747_16210
ERR1913222.1850524__1.1850524	821__U6RDC2__DXD46_15675
ERR1913222.1850576__1.1850576	39485__A0A175A273__plsX_2
ERR1913222.1850590__1.1850590	1263000__R5EKR4__BN466_01609
ERR1913222.1850825__1.1850825	45851__A0A3C0J7S9__BUTYVIB_01423
ERR1913222.1850884__1.1850884	572010__feoB_2
ERR1913222.1850970__1.1850970	853__A0A173YYY4__DWZ04_09420
ERR1913222.1851145__1.1851145	45851__D4RY62__BHV86_05035
ERR1913222.1851384__1.1851384	1263006__R6LWV2__BN515_00272
ERR1913222.1851423__1.1851423	45851__D4RYU0__BHV86_05340
ERR1913222.1851535__1.1851535	40519__U2KNI1__RUMCAL_02150
ERR1913222.1851617__1.1851617	39485__C4Z389__ERS852490_01920
ERR1913222.1851801__1.1851801	45851__D4RYC4__BHV86_01935
ERR1913222.1851987__1.1851987	1262760__R5LFS9__BN758_01687
ERR1913222.1852031__1.1852031	39485__R5ZRT8__gmr_6
ERR1913222.1852268__1.1852268	39485__C4Z0I4__ERS852492_00258
ERR1913222.1852504__1.1852504	418240__A0A173XM56__ERS852478_01689
ERR1913222.1852520__1.1852520	45851__D4S317__BUTYVIB_02469
ERR1913222.1852541__1.1852541	45851__D4S069__spoIVA
ERR1913222.1852622__1.1852622	39488__A0A374NU89__ERS852578_02475
ERR1913222.1852660__1.1852660	74426__pflB_2
ERR1913222.1852714__1.1852714	40520__A0A395XDY5__ERS852394_00913
ERR1913222.1853132__1.1853132	131111__K0YXY4__HMPREF9241_00030
ERR1913222.1853180__1.1853180	45851__R5LJL1__BHV86_09305
ERR1913222.1853222__1.1853222	45851__D4S1A8__BHV86_08940
ERR1913222.1853324__1.1853324	1262945__R6YTQ4__BN600_01086
ERR1913222.1853336__1.1853336	1261__D3MR67__SAMN05660467_01650
ERR1913222.1853383__1.1853383	1262882__R5MYX5__BN519_00333
ERR1913222.1853399__1.1853399	410072__A0A3E4GQ67__sigV_1
ERR1913222.1853711__1.1853711	45851__D4RZC9__BUTYVIB_01195
ERR1913222.1853763__1.1853763	46503__R6X0L4__DXB61_05325
ERR1913222.1853787__1.1853787	1262825__R5DYC4__BN724_00821
ERR1913222.1854467__1.1854467	39485__C4Z6K2__ERS852490_00407
ERR1913222.1854508__1.1854508	1262760__R5LEX9__BN758_02165
ERR1913222.1854533__1.1854533	39486__G1WW54__DXB12_08440
ERR1913222.1854534__1.1854534	39485__C4Z389__ERS852490_01920
ERR1913222.1854567__1.1854567	45851__D4RYS8__BUTYVIB_00989
ERR1913222.1854705__1.1854705	45851__D4RZK8__BUTYVIB_01274
ERR1913222.1854912__1.1854912	1263006__R6M0F1__BN515_00198
ERR1913222.1855041__1.1855041	39485__A0A174YJA4__EUBELI_20421
ERR1913222.1855101__1.1855101	1897011__A0A1Q6REW8__BHW41_04435
ERR1913222.1855171__1.1855171	1680__A0A0B5BKZ3__DXD60_01450
ERR1913222.1855207__1.1855207	165179__A0A3E5EDS1__DXC61_03115
ERR1913222.1855240__1.1855240	410072__A0A174E1G6__phoR_6
ERR1913222.1855271__1.1855271	45851__D4RW43__BUTYVIB_00173
ERR1913222.1855675__1.1855675	39486__B0G8E1__HMPREF9457_00478
ERR1913222.1855709__1.1855709	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913222.1856274__1.1856274	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913222.1856453__1.1856453	33043__A0A174BLU4__ERS852386_02221
ERR1913222.1856422__1.1856422	1262886__R6QD45__BN563_01703
ERR1913222.1856696__1.1856696	45851__D4S1A8__BHV86_08940
ERR1913222.1856876__1.1856876	33043__A0A173WWJ5__ERS852386_00339
ERR1913222.1856941__1.1856941	1262825__R5E4S3__BN724_00120
ERR1913222.1857022__1.1857022	39485__C4Z058__ERS852492_00130
ERR1913222.1857126__1.1857126	45851__D4S0T7__BHV86_09275
