ERR1912978.144__1.144	1297617__A0A0S2W8P7__BIV19_11120
ERR1912978.4981345__1.4981345	821__C3RB94__DXC03_15585
ERR1912978.4981672__1.4981672	246787__R6LCL3__AA416_03522
ERR1912978.4982153__1.4982153	1160721__R6U304__BHW50_05725
ERR1912978.4982491__1.4982491	487174__K0X6A4__HMPREF9448_00105
ERR1912978.4982531__1.4982531	821__C6Z451__BHV80_04265
ERR1912978.4982564__1.4982564	821__A0A396F9T7__M097_3427
ERR1912978.4982581__1.4982581	1897011__A0A1Q6RDG0__BHW41_05600
ERR1912978.4982638__1.4982638	28052__A0A174HUY2__ERS852451_01601
ERR1912978.4982703__1.4982703	745368__A0A1T4Y963__SAMN02745178_02859
ERR1912978.4982765__1.4982765	1262986__R6ATR0__BN492_00133
ERR1912978.4982784__1.4982784	821__D4VD59__BHV80_04260
ERR1912978.4983029__1.4983029	214856__A0A174ZEW0__ERS852447_00985
ERR1912978.4983042__1.4983042	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912978.4983143__1.4983143	1160721__W0U979__BHW50_09935
ERR1912978.4983178__1.4983178	487174__K0XDI7__DIT83_12065
ERR1912978.4983406__1.4983406	562__P26458__cydB
ERR1912978.4983628__1.4983628	329854__B3C787__BACINT_00778
ERR1912978.4983688__1.4983688	33038__A0A2N5PW99__DXD36_03540
ERR1912978.4983807__1.4983807	301302__A0A0M6WZT5__M72_18331
ERR1912978.4983859__1.4983859	821__C6Z451__BHV80_04265
ERR1912978.4984007__1.4984007	360807__C0FNM4__ERS852444_01447
ERR1912978.4984056__1.4984056	33038__F7JUE7__CDL26_12120
ERR1912978.4984254__1.4984254	239935__B2URG6__CXU02_00030
ERR1912978.4984311__1.4984311	28052__R7NFJ5__ERS852499_01893
ERR1912978.4984295__1.4984295	329854__A0A3D6AT76__DXD57_12190
ERR1912978.4984361__1.4984361	329854__A0A3E4I2S5__DXK01_16870
ERR1912978.4984414__1.4984414	33038__A0A2N5PW99__DXD36_03540
ERR1912978.4984388__1.4984388	360807__C0FPV5__ERS852444_03160
ERR1912978.4984426__1.4984426	68891__A0A0F2DY13__dnaK
ERR1912978.4984715__1.4984715	820__A0A3E4XDK3__ERS852554_03650
ERR1912978.4984877__1.4984877	418240__A0A173YKG4__ycjO_4
ERR1912978.4985046__1.4985046	239935__A0A3F3K9J9__DEF40_00940
ERR1912978.4985193__1.4985193	1897011__A0A1Q6RI93__BHW41_01175
ERR1912978.4985229__1.4985229	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912978.4985385__1.4985385	28116__W6P631__HMPREF2532_01084
ERR1912978.4985392__1.4985392	821__A0A173WG51__BVU_2549
ERR1912978.4985654__1.4985654	821__I9R3W6__DXC16_12455
ERR1912978.4985665__1.4985665	446660__GCA_003428235.1_00039
ERR1912978.4985718__1.4985718	39485__A0A174ZTY8__ycfH
ERR1912978.4985781__1.4985781	821__A0A0P0M2J4__DXD46_10295
ERR1912978.4985832__1.4985832	821__C6Z451__BHV80_04265
ERR1912978.4985815__1.4985815	39485__C4Z6V7__walK
ERR1912978.4985863__1.4985863	33038__A0A396G729__RUMGNA_01796
ERR1912978.4985941__1.4985941	28052__A0A174YRD2__ERS852451_02128
ERR1912978.4986016__1.4986016	33038__A7B5W1__CDL22_11645
ERR1912978.4986288__1.4986288	360807__C0FP30__ROSEINA2194_00482
ERR1912978.4986791__1.4986791	28052__A0A174HY73__ERS852451_01605
ERR1912978.4986839__1.4986839	301301__G2T0A9__RHOM_03910
ERR1912978.4986901__1.4986901	1897011__A0A1Q6RGA3__BHW41_02665
ERR1912978.4986972__1.4986972	418240__C6JHI0__ERS852478_00516
ERR1912978.4987099__1.4987099	329854__R5LW55__DXD57_21020
ERR1912978.4987207__1.4987207	33038__A0A396GES8__CDL19_08885
ERR1912978.4987273__1.4987273	1262986__R6ACP5__BN492_00086
ERR1912978.4987334__1.4987334	329854__R5M3H0__DXD57_06945
ERR1912978.4987509__1.4987509	40519__U2MCQ8__RUMCAL_00556
ERR1912978.4987880__1.4987880	552398__F4XCR9__HMPREF0866_01636
ERR1912978.4987979__1.4987979	246787__A0A3D6B0I1__BcellWH2_03253
ERR1912978.4988152__1.4988152	33038__A0A2N5P082__CDL24_08780
ERR1912978.4988380__1.4988380	562__P0AFH7__oppC
ERR1912978.4988492__1.4988492	1897011__A0A1Q6RE76__BHW41_04850
ERR1912978.4988624__1.4988624	1160721__W0U811__RBI_II00162
ERR1912978.4988676__1.4988676	394340__atpA
ERR1912978.4988740__1.4988740	487174__K0X789__DIT83_10440
ERR1912978.4988898__1.4988898	1897011__A0A1Q6RCW9__BHW41_06050
ERR1912978.4988967__1.4988967	1150298__A0A174U8I6__ERS852535_02809
ERR1912978.4989002__1.4989002	165179__A0A3E5A6S0__PREVCOP_04351
ERR1912978.4989110__1.4989110	39492__D4JWI6__EUBSIR_01073
ERR1912978.4989226__1.4989226	28117__B0MU57__ALIPUT_00175
ERR1912978.4989244__1.4989244	821__A0A174NM17__lacZ_6
ERR1912978.4989378__1.4989378	360807__C0FSM3__ROSEINA2194_01739
ERR1912978.4989528__1.4989528	28052__A0A174GLS7__cmpC
ERR1912978.4989638__1.4989638	357276__I8VLL2__HMPREF1065_03395
ERR1912978.4989652__1.4989652	820__A0A139KEW8__DXB64_06405
ERR1912978.4989789__1.4989789	28116__R6JIR4__DXA80_14190
ERR1912978.4989924__1.4989924	410072__A0A173RMJ4__ydfH_1
ERR1912978.4990271__1.4990271	2292352__A0A374UL63__DXC23_08410
ERR1912978.4990355__1.4990355	562__P0A9K7__AUQ29_19530
ERR1912978.4990397__1.4990397	40519__U2MCQ8__RUMCAL_00556
ERR1912978.4990422__1.4990422	818__Q8A3A6__Btheta7330_00071
ERR1912978.4990499__1.4990499	28118__F9Z6X2__B5F99_11710
ERR1912978.4990621__1.4990621	357276__I8WEZ6__BACDOR_02323
ERR1912978.4990916__1.4990916	487174__K0XL35__DDY40_11955
ERR1912978.4990970__1.4990970	33038__A0A2N5NVQ3__CDL19_02550
ERR1912978.4991068__1.4991068	821__A0A396F9T7__M097_3427
ERR1912978.4991341__1.4991341	1262824__R6RNC9__BN719_01996
ERR1912978.4991348__1.4991348	818__A0A396E023__ERS852430_02808
ERR1912978.4991391__1.4991391	329854__R5M4R4__DXD57_00330
ERR1912978.4991444__1.4991444	165179__A0A3E5A5E5__DXC61_13965
ERR1912978.4991508__1.4991508	239935__A0A2N8I791__CXT99_09415
ERR1912978.4991653__1.4991653	384638__B7APN3__BACPEC_00639
ERR1912978.4991658__1.4991658	39485__C4Z2J8__ERS852490_02044
ERR1912978.4991874__1.4991874	1535__A7VNS4__CLOLEP_00200
ERR1912978.4991985__1.4991985	329854__R5M4V3__DXK01_22225
ERR1912978.4992000__1.4992000	487174__K0WTW4__DDY40_12630
ERR1912978.4992096__1.4992096	33038__F7JT04__CDL21_01120
ERR1912978.4992116__1.4992116	28052__A0A174MLS2__ERS852451_02445
ERR1912978.4992194__1.4992194	39485__A0A174ZLN0__EUBELI_00120
ERR1912978.4992203__1.4992203	292800__G9YMI4__ERS852518_06919
ERR1912978.4992248__1.4992248	1304__A0A2P1BV91__A6J87_10220
ERR1912978.4992344__1.4992344	360807__A0A173YJ94__ERS852444_03492
ERR1912978.4992424__1.4992424	1547__H1ANT1__CLORAM_00610
ERR1912978.4992596__1.4992596	239935__A0A2N8IFA0__CXT92_02050
ERR1912978.4992608__1.4992608	165179__D1PDF6__DXB80_12430
ERR1912978.4992639__1.4992639	28052__R7NEJ4__ERS852451_01746
ERR1912978.4992672__1.4992672	33038__F7JV68__C5Y99_05575
ERR1912978.4992856__1.4992856	39485__A0A174YMI9__cph2_5
ERR1912978.4992945__1.4992945	821__A0A3E4WAR6__DXD64_10735
ERR1912978.4993003__1.4993003	329854__R5M7M9__DXD27_11505
ERR1912978.4993100__1.4993100	2292352__A0A374UL63__DXC23_08410
ERR1912978.4993237__1.4993237	28052__R7NDB6__ERS852499_00304
ERR1912978.4993287__1.4993287	487174__K0X250__DDY40_03675
ERR1912978.4993316__1.4993316	301301__A0A395VA99__rpfG_5
ERR1912978.4993502__1.4993502	39485__A0A174ZQT9__EUBELI_20278
ERR1912978.4993626__1.4993626	357276__I8VLL2__HMPREF1065_03395
ERR1912978.4993648__1.4993648	821__A0A0P0M2J4__DXD46_10295
ERR1912978.4994077__1.4994077	394340__fhs
ERR1912978.4994194__1.4994194	33038__A7B8N9__CDL21_10000
ERR1912978.4994357__1.4994357	821__A0A395UNT8__DXD64_15275
ERR1912978.4994688__1.4994688	33038__A0A2N5NPD5__CCY17_06280
ERR1912978.4994913__1.4994913	821__A0A0P0M2J4__DXD46_10295
ERR1912978.4994937__1.4994937	544644__GCA_001915615.1_01797
ERR1912978.4994963__1.4994963	33038__A7B5W1__CDL22_11645
ERR1912978.4994986__1.4994986	329854__R5MCJ4__DXK01_19550
ERR1912978.4995280__1.4995280	28117__B0MY41__BHV66_05165
ERR1912978.4995285__1.4995285	33038__A0A2N5NVA1__DXD36_11535
ERR1912978.4995300__1.4995300	487174__K0XQM6__HMPREF9448_00330
ERR1912978.4995314__1.4995314	487174__K0X7X4__DIT83_09125
ERR1912978.4995441__1.4995441	556259__I0PXW0__BSGG_5187
ERR1912978.4995442__1.4995442	33038__A0A2N5NPD5__CCY17_06280
ERR1912978.4995489__1.4995489	28116__D7J6B1__B5F02_07870
ERR1912978.4995656__1.4995656	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.4995751__1.4995751	818__A0A3E5HEU1__NCTC10582_02468
ERR1912978.4995905__1.4995905	2108523__A0A2P2F8Z8__LAWASA_2511
ERR1912978.4995943__1.4995943	39485__R5ZYJ0__ERS852492_00222
ERR1912978.4996021__1.4996021	28116__D7J6B1__B5F02_07870
ERR1912978.4996080__1.4996080	821__A0A395UNT8__DXD64_15275
ERR1912978.4996093__1.4996093	292800__G9YUZ6__B5F52_01460
ERR1912978.4996154__1.4996154	40519__U2MCQ8__RUMCAL_00556
ERR1912978.4996239__1.4996239	208479__A8RP07__CLOBOL_02333
ERR1912978.4996273__1.4996273	820__A0A139KJ23__celCCA
ERR1912978.4996317__1.4996317	301301__A0A395VBJ2__ERS852391_02160
ERR1912978.4996424__1.4996424	328814__GCA_004558275.1_00035
ERR1912978.4996502__1.4996502	1150298__A0A174LKY6__ERS852535_00447
ERR1912978.4996542__1.4996542	33038__A7B5W1__CDL22_11645
ERR1912978.4996534__1.4996534	33038__A0A2N5NYI5__C5Y99_09140
ERR1912978.4996700__1.4996700	28116__A0A0J9IIV5__M089_5519
ERR1912978.4996750__1.4996750	821__A0A3E4HP25__SAMN04487923_102450
ERR1912978.4996757__1.4996757	1547__B0N3H3__DW242_09365
ERR1912978.4996765__1.4996765	33038__A7B0X0__CDL26_06830
ERR1912978.4996881__1.4996881	239935__R7DVL7__CXT93_01180
ERR1912978.4997141__1.4997141	446660__GCA_003428235.1_01982
ERR1912978.4997205__1.4997205	626933__H1DGX0__HMPREF9449_01506
ERR1912978.4997474__1.4997474	33038__A0A2N5P3M1__DXD36_15590
ERR1912978.4997653__1.4997653	487174__K0X5U7__DDY40_04950
ERR1912978.4997669__1.4997669	823__D7ILK2__ERS852380_00031
ERR1912978.4998216__1.4998216	29361__B6FVU9__CLONEX_04296
ERR1912978.4998351__1.4998351	165179__A0A3E5AAM8__DXB80_10240
ERR1912978.4998458__1.4998458	39485__C4Z355__ERS852490_01971
ERR1912978.4998539__1.4998539	649756__B0P3X1__DCR88_11540
ERR1912978.4998606__1.4998606	552398__T5S086__HMPREF0866_01580
ERR1912978.4998737__1.4998737	33038__A0A2N5NPD5__CCY17_06280
ERR1912978.4998804__1.4998804	33038__A0A396G7U5__CDL21_03845
ERR1912978.4998838__1.4998838	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.4998842__1.4998842	823__A6LEQ6__DXB14_05705
ERR1912978.4998872__1.4998872	40519__U2MCQ8__RUMCAL_00556
ERR1912978.4998875__1.4998875	671267__R9IB12__C802_00696
ERR1912978.4999010__1.4999010	821__C6Z087__DXB90_00750
ERR1912978.4999200__1.4999200	1547__G9QXK0__DXB93_15125
ERR1912978.4999276__1.4999276	39485__C4Z0T2__ykvU
ERR1912978.4999297__1.4999297	371601__F7LA63__HMPREF1074_04288
ERR1912978.4999501__1.4999501	329854__R5MR15__BACINT_04809
ERR1912978.4999522__1.4999522	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1912978.4999774__1.4999774	33039__D4M2F6__RTO_06900
ERR1912978.5000030__1.5000030	1227276__U2J2A3__HMPREF9148_00058
ERR1912978.5000322__1.5000322	2173__A0A1D2WWQ7__METSMIF1_03169
ERR1912978.5000490__1.5000490	39485__C4Z0G6__spoIVB
ERR1912978.5000609__1.5000609	28052__R7NBF2__ERS852451_02191
ERR1912978.5000937__1.5000937	28052__A0A174NHE1__spoIIIE
ERR1912978.5000970__1.5000970	147207__nifJ
ERR1912978.5001152__1.5001152	487174__K0X665__DIT83_12000
ERR1912978.5001176__1.5001176	2173__A0A1D2WSY5__METSMIF1_03017
ERR1912978.5001281__1.5001281	820__A0A1Q6IDS8__chtA
ERR1912978.5001345__1.5001345	78535__A0A380M603__NCTC1080_01206
ERR1912978.5001537__1.5001537	821__A0A3E4HP25__SAMN04487923_102450
ERR1912978.5001786__1.5001786	328814__GCA_004558275.1_00041
ERR1912978.5001875__1.5001875	1262783__R6DNL1__BN558_00605
ERR1912978.5001889__1.5001889	1683__C4FFP8__BIFANG_03162
ERR1912978.5001991__1.5001991	33038__A0A396G7H5__CDL19_02655
ERR1912978.5002034__1.5002034	40519__U2MCQ8__RUMCAL_00556
ERR1912978.5002080__1.5002080	1263000__R5EPJ2__BN466_00954
ERR1912978.5002138__1.5002138	360807__C0FZM4__RIL183_06871
ERR1912978.5002143__1.5002143	360807__C0FYL6__ROSEINA2194_03855
ERR1912978.5002146__1.5002146	360807__A0A174EGV9__ROSEINA2194_01773
ERR1912978.5002190__1.5002190	821__D4VD59__BHV80_04260
ERR1912978.5002272__1.5002272	246787__A0A108T1Y3__fepA_8
ERR1912978.5002273__1.5002273	487174__K0X2W8__HMPREF9448_02611
ERR1912978.5002772__1.5002772	33038__A0A2N5NVQ3__CDL19_02550
ERR1912978.5002909__1.5002909	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.5003305__1.5003305	328814__GCA_004558275.1_01621
ERR1912978.5003349__1.5003349	671267__R9IB12__C802_00696
ERR1912978.5003529__1.5003529	39485__A0A174ZA72__glgB_1
ERR1912978.5003544__1.5003544	820__A0A173WZS4__DXD90_10250
ERR1912978.5003558__1.5003558	28052__A0A174HF53__ERS852499_00436
ERR1912978.5003746__1.5003746	562__P23837__phoQ
ERR1912978.5003829__1.5003829	487174__K0XL35__DDY40_11955
ERR1912978.5003848__1.5003848	239935__A0A2N8I9N0__CXT97_09915
ERR1912978.5004069__1.5004069	246787__A0A3D6AXG0__BACCELL_01743
ERR1912978.5004089__1.5004089	1263064__GCA_000431175.1_00167
ERR1912978.5004155__1.5004155	1262873__R6W8G0__BN605_00854
ERR1912978.5004179__1.5004179	821__A0A174TD86__C800_00949
ERR1912978.5004240__1.5004240	1160721__R6TH97__BHW50_04165
ERR1912978.5004277__1.5004277	1262986__R6A016__BN492_00403
ERR1912978.5004395__1.5004395	1897011__A0A1Q6RIC6__BHW41_01345
ERR1912978.5004444__1.5004444	246787__A0A3D6AV26__BcellWH2_02579
ERR1912978.5004450__1.5004450	28052__A0A174HF53__ERS852499_00436
ERR1912978.5004493__1.5004493	1262992__R5DCM8__BN795_01561
ERR1912978.5004632__1.5004632	360807__A0A0M6WDI8__RIL183_01921
ERR1912978.5004638__1.5004638	239935__R6J776__CXU07_02355
ERR1912978.5004904__1.5004904	33038__A0A2N5NUH9__CDL20_04330
ERR1912978.5004988__1.5004988	821__A0A396F1N0__M099_1553
ERR1912978.5005323__1.5005323	329854__R5MCJ4__DXK01_19550
ERR1912978.5005328__1.5005328	292800__H1CA44__A4U99_06280
ERR1912978.5005364__1.5005364	820__A0A374QGD2__ERS852421_02382
ERR1912978.5005410__1.5005410	28116__A0A1Y4PWN5__M088_3731
ERR1912978.5005417__1.5005417	39485__C4Z6K2__ERS852490_00407
ERR1912978.5005425__1.5005425	28052__R7NHJ5__ERS852499_01501
ERR1912978.5005487__1.5005487	1897011__A0A1Q6RFG1__BHW41_03725
ERR1912978.5005541__1.5005541	39485__A0A174YMM2__ERS852490_01019
ERR1912978.5005692__1.5005692	329854__R5MKT2__DXD57_07820
ERR1912978.5005759__1.5005759	28116__D4WJ30__DHW41_06080
ERR1912978.5005823__1.5005823	28116__D4WJ30__DHW41_06080
ERR1912978.5005920__1.5005920	39485__C4Z355__ERS852490_01971
ERR1912978.5006005__1.5006005	821__A0A0P0M4G3__M099_3092
ERR1912978.5006117__1.5006117	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.5006313__1.5006313	33038__A0A2N5P1G8__lyc
ERR1912978.5006345__1.5006345	39485__C4Z685__EUBELI_20332
ERR1912978.5006653__1.5006653	2108523__A0A2P2F8A7__LAWASA_2275
ERR1912978.5006662__1.5006662	1160721__W0U4N3__BHW50_05270
ERR1912978.5006682__1.5006682	1912897__A0A2Z4UAZ3__DQQ01_07575
ERR1912978.5007206__1.5007206	1160721__W0U3Z9__RBI_I00543
ERR1912978.5007458__1.5007458	39492__D4JTG7__EUBSIR_00572
ERR1912978.5007515__1.5007515	487174__K0XLC3__HMPREF9448_01065
ERR1912978.5007593__1.5007593	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.5007744__1.5007744	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1912978.5007767__1.5007767	371601__A0A1H3XPY7__CW1_0993
ERR1912978.5007842__1.5007842	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912978.5007829__1.5007829	821__A0A0P0M5Z6__BVU_0429
ERR1912978.5007794__1.5007794	33038__A7B0X0__CDL26_06830
ERR1912978.5007889__1.5007889	706562__GCA_900112995.1_00664
ERR1912978.5007892__1.5007892	1297617__A0A0S2W5P9__BIV19_06645
ERR1912978.5007908__1.5007908	936548__J1BB33__HMPREF1136_1694
ERR1912978.5007928__1.5007928	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1912978.5008192__1.5008192	1547__H1APC3__CLORAM_00787
ERR1912978.5008200__1.5008200	33038__A0A2N5P0D0__CDL18_07990
ERR1912978.5008352__1.5008352	818__A0A139KDV3__HMPREF2534_02467
ERR1912978.5008456__1.5008456	357276__A0A076ISJ4__B5F95_19420
ERR1912978.5008712__1.5008712	33038__A0A2N5PGR1__ERS852409_01332
ERR1912978.5008719__1.5008719	28116__A0A1Y4PWN5__M088_3731
ERR1912978.5008808__1.5008808	28116__A0A1Y4Q1S9__DHW41_02535
ERR1912978.5008829__1.5008829	501571__R8W1X3__B5F15_13310
ERR1912978.5008887__1.5008887	39485__A0A1Q6PG30__ERS852492_00010
ERR1912978.5009123__1.5009123	301301__G2SZ66__RHOM_00485
ERR1912978.5009187__1.5009187	329854__R5LT45__DXD57_14270
ERR1912978.5009354__1.5009354	384639__GCA_003096855.1_01175
ERR1912978.5009373__1.5009373	165179__A0A3E5AER8__DXB80_07075
ERR1912978.5009410__1.5009410	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1912978.5009475__1.5009475	39485__A0A1Q6PG30__ERS852492_00010
ERR1912978.5009542__1.5009542	28052__R7N8Y9__macB_4
ERR1912978.5009752__1.5009752	1297617__A0A0S2W2I7__BIV19_00590
ERR1912978.5009736__1.5009736	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1912978.5009932__1.5009932	487174__K0WTQ3__HMPREF9448_02140
ERR1912978.5009968__1.5009968	1262783__R6CQA3__BN558_02308
ERR1912978.5009940__1.5009940	28052__A0A174J1L8__ERS852451_00926
ERR1912978.5009947__1.5009947	214856__A0A173XIZ3__ERS852559_00434
ERR1912978.5010193__1.5010193	821__A0A395UNT8__DXD64_15275
ERR1912978.5010201__1.5010201	394340__uvrA_2
ERR1912978.5010403__1.5010403	394340__group_3330
ERR1912978.5010553__1.5010553	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.5010556__1.5010556	165179__A0A229I3Z6__PREVCOP_03666
ERR1912978.5010786__1.5010786	33038__F7JUE7__CDL26_12120
ERR1912978.5010973__1.5010973	817__D1JR15__M117_0303
ERR1912978.5010993__1.5010993	360807__A0A0M6WN30__RIL183_03801
ERR1912978.5011017__1.5011017	33038__A0A396G851__tig
ERR1912978.5011002__1.5011002	33038__A0A396G7D8__asnB
ERR1912978.5011103__1.5011103	821__A0A0P0M405__DXC02_15075
ERR1912978.5011168__1.5011168	820__A0A173W419__DXC68_17760
ERR1912978.5011202__1.5011202	28117__B0MSS1__ALIPUT_00273
ERR1912978.5011411__1.5011411	28052__R7NEG2__yihY
ERR1912978.5011471__1.5011471	239935__A0A2N8HB50__CXU17_02615
ERR1912978.5011499__1.5011499	357276__A0A0K2HF54__HMPREF1063_03537
ERR1912978.5011504__1.5011504	33038__F7JV68__C5Y99_05575
ERR1912978.5011565__1.5011565	487174__K0X1D9__HMPREF9448_00919
ERR1912978.5011597__1.5011597	33038__A0A2N5P2X7__CDL26_06080
ERR1912978.5011608__1.5011608	821__A0A3E4WAR6__DXD64_10735
ERR1912978.5011780__1.5011780	39485__C4Z389__ERS852490_01920
ERR1912978.5011834__1.5011834	33038__F7JZ41__CCY17_00135
ERR1912978.5011861__1.5011861	28052__A0A174LHM7__ERS852451_02351
ERR1912978.5012005__1.5012005	821__A0A3E4WAR6__DXD64_10735
ERR1912978.5012012__1.5012012	820__A0A174TRB5__DXD40_11305
ERR1912978.5012163__1.5012163	487174__K0XES7__HMPREF9448_00566
ERR1912978.5012174__1.5012174	301301__A0A395V714__evgS
ERR1912978.5012218__1.5012218	33038__A7B7G7__CDL25_12200
ERR1912978.5012289__1.5012289	671267__R9I7B5__C802_04018
ERR1912978.5012308__1.5012308	671267__R9I7B5__C802_04018
ERR1912978.5012337__1.5012337	821__A0A174NVL6__NCTC10583_01782
ERR1912978.5012411__1.5012411	39485__A0A174YNW2__cph2_3
ERR1912978.5012507__1.5012507	239935__R7E524__CXT91_06180
ERR1912978.5012630__1.5012630	821__A0A3E4HP25__SAMN04487923_102450
ERR1912978.5012707__1.5012707	1720294__U2CJB4__DWY69_24595
ERR1912978.5012982__1.5012982	292800__A0A174WEZ4__HMPREF9460_03559
ERR1912978.5013114__1.5013114	821__A0A174WBC9__ERS852556_03145
ERR1912978.5013154__1.5013154	28116__A0A395VZB9__Bovatus_03205
ERR1912978.5013293__1.5013293	487174__K0WUW8__DDY40_02615
ERR1912978.5013347__1.5013347	418240__A0A174FAS2__btr_1
ERR1912978.5013689__1.5013689	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912978.5013777__1.5013777	821__A0A174NM17__lacZ_6
ERR1912978.5013832__1.5013832	487174__K0WUZ1__DIT83_10815
ERR1912978.5013856__1.5013856	329854__R5MTF4__DXK01_12115
ERR1912978.5013861__1.5013861	39485__A0A174YTX0__mro
ERR1912978.5013928__1.5013928	821__A0A397WGD6__M098_0084
ERR1912978.5014125__1.5014125	246787__A0A3D6ARN8__yehU_6
ERR1912978.5014181__1.5014181	357276__I9QBT7__BSEG_03340
ERR1912978.5014202__1.5014202	821__E5UY21__C800_02204
ERR1912978.5014254__1.5014254	394340__uvrA_2
ERR1912978.5014386__1.5014386	39492__D4MMN2__EUBSIR_00964
ERR1912978.5014399__1.5014399	329854__R5MCA7__DXD57_10010
ERR1912978.5014426__1.5014426	821__A0A396F9T7__M097_3427
ERR1912978.5014459__1.5014459	563769__GeneID:6973141
ERR1912978.5014481__1.5014481	820__A0A139JRH8__HMPREF2141_04326
ERR1912978.5014903__1.5014903	328814__GCA_004558275.1_00034
ERR1912978.5015052__1.5015052	649756__D4MXB5__ERS852387_00488
ERR1912978.5015151__1.5015151	165179__D1PDF6__DXB80_12430
ERR1912978.5015895__1.5015895	33038__A0A396G7D8__asnB
ERR1912978.5016223__1.5016223	501571__R8W3E2__SAMN02745978_00833
ERR1912978.5016395__1.5016395	1262945__R6YM76__BN600_01248
ERR1912978.5016417__1.5016417	328814__GCA_004558275.1_00034
ERR1912978.5016551__1.5016551	28118__R6F1T8__Odosp_0789
ERR1912978.5016617__1.5016617	106588__A6NUL8__BACCAP_01900
ERR1912978.5017034__1.5017034	33038__A0A2N5NVA1__DXD36_11535
ERR1912978.5017023__1.5017023	28116__A7LS06__HMPREF2532_04668
ERR1912978.5017086__1.5017086	1263000__R5ECL2__BN466_00920
ERR1912978.5017251__1.5017251	33038__A0A2N5PU17__C5Y99_11950
ERR1912978.5017361__1.5017361	706562__GCA_900112995.1_01726
ERR1912978.5017427__1.5017427	487174__K0XM88__DDY40_02935
ERR1912978.5017527__1.5017527	33038__R5U4Y3__CDL26_04555
ERR1912978.5017624__1.5017624	214856__A0A174FWM7__ERS852559_00590
ERR1912978.5017677__1.5017677	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1912978.5017760__1.5017760	821__A0A174NVL6__NCTC10583_01782
ERR1912978.5018021__1.5018021	239935__A0A2N8IVR0__CXT87_07115
ERR1912978.5017931__1.5017931	360807__C0G0B4__ERS852444_02399
ERR1912978.5017939__1.5017939	649756__D4MW63__DCR88_07570
ERR1912978.5018159__1.5018159	33038__R5TPI2__CDL21_12595
ERR1912978.5018296__1.5018296	329854__R5LT45__DXD57_14270
ERR1912978.5018578__1.5018578	239935__A0A2N8HT44__CXT84_11035
ERR1912978.5018973__1.5018973	1335__A0A2X3Y3P2__SAMN02910290_00464
ERR1912978.5018979__1.5018979	33038__A0A2N5Q375__RUMGNA_00645
ERR1912978.5019051__1.5019051	929814__GeneID:14006946
ERR1912978.5019420__1.5019420	1160721__W0U3P8__RBI_I00386
ERR1912978.5019425__1.5019425	39485__A0A174ZJ84__EUBELI_00107
ERR1912978.5019469__1.5019469	214856__E4MFP6__ERS852447_01708
ERR1912978.5019507__1.5019507	1262921__R5M2J9__BN473_00593
ERR1912978.5019556__1.5019556	39485__A0A174Z7G5__EUBELI_01168
ERR1912978.5019561__1.5019561	360807__A0A173UZ94__ssuC_2
ERR1912978.5019616__1.5019616	446660__GCA_003428235.1_00842
ERR1912978.5019639__1.5019639	1262988__R7N756__BN816_00589
ERR1912978.5019812__1.5019812	357276__B6W1J2__BACDOR_03380
ERR1912978.5019859__1.5019859	33038__A0A2N5PXI0__C5Y99_10810
ERR1912978.5019888__1.5019888	487174__K0X3V7__DIT83_01400
ERR1912978.5019941__1.5019941	821__A0A0P0LJ37__DXB82_14270
ERR1912978.5019897__1.5019897	853__A0A173YYY4__DWZ04_09420
ERR1912978.5020086__1.5020086	821__A0A395UNT8__DXD64_15275
ERR1912978.5020128__1.5020128	1897011__A0A1Q6REW8__BHW41_04435
ERR1912978.5020163__1.5020163	360807__A0A0M6WHB7__ERS852444_00092
ERR1912978.5020282__1.5020282	487174__K0X3V7__DIT83_01400
ERR1912978.5020324__1.5020324	360807__A0A0M6WHB7__ERS852444_00092
ERR1912978.5020522__1.5020522	40519__U2MCQ8__RUMCAL_00556
ERR1912978.5020586__1.5020586	28052__A0A174J1L8__ERS852451_00926
ERR1912978.5020609__1.5020609	208479__R5FCI2__HMPREF1097_03667
ERR1912978.5020646__1.5020646	1262921__R5LSI3__BN473_01312
ERR1912978.5021012__1.5021012	649756__L1Q8X1__DCR88_03995
ERR1912978.5021253__1.5021253	28052__A0A174YNL0__ERS852499_00232
ERR1912978.5021270__1.5021270	301301__A0A395V8E1__RHOM_11160
ERR1912978.5021431__1.5021431	446660__GCA_003428235.1_00331
ERR1912978.5021555__1.5021555	418240__A0A173YKG4__ycjO_4
