ERR1913157.902__1.902	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.1752862__1.1752862	33043__A0A174BPN9__kfoC_2
ERR1913157.1752968__1.1752968	630129__A0A173Z3K8__BKAS_0484
ERR1913157.1753237__1.1753237	1262761__R6QU78__BN606_01972
ERR1913157.1753368__1.1753368	165179__A0A229I1J2__DXB80_03950
ERR1913157.1753709__1.1753709	33043__A0A174BPV6__ERS852445_01773
ERR1913157.1754304__1.1754304	239935__R6JAS2__CXU02_10725
ERR1913157.1754320__1.1754320	33043__D5HHT2__ERS852445_02796
ERR1913157.1754455__1.1754455	239935__A0A139TPG3__CXT86_08810
ERR1913157.1754628__1.1754628	853__A0A174C5M1__CGS58_04460
ERR1913157.1754758__1.1754758	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913157.1755300__1.1755300	2173__A0A1D2WQU0__METSMIALI_00792
ERR1913157.1755702__1.1755702	1262761__R6QXL2__BN606_02127
ERR1913157.1755750__1.1755750	853__C7H7F5__DWZ46_01780
ERR1913157.1755875__1.1755875	74426__purL
ERR1913157.1755991__1.1755991	39485__A0A174Z4K7__dosC_2
ERR1913157.1756014__1.1756014	165179__A0A3E5DRA5__PREVCOP_06668
ERR1913157.1756323__1.1756323	1263027__R6ZGP6__BN699_00583
ERR1913157.1756539__1.1756539	572010__rpoB
ERR1913157.1756594__1.1756594	853__A8SCP3__C4N26_07960
ERR1913157.1756732__1.1756732	172901__A0A2U1APW6__C8D82_12659
ERR1913157.1756788__1.1756788	165179__D1P9T6__PREVCOP_04016
ERR1913157.1756800__1.1756800	1262761__R6QVL2__BN606_00807
ERR1913157.1756805__1.1756805	1680__R5GMB5__AD0028_1137
ERR1913157.1757447__1.1757447	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913157.1758005__1.1758005	1262948__R7EAY4__BN671_01645
ERR1913157.1758006__1.1758006	1262761__R6QKZ0__BN606_00913
ERR1913157.1758116__1.1758116	74426__nrdD
ERR1913157.1758150__1.1758150	239935__A0A2N8I390__CXU16_10675
ERR1913157.1758461__1.1758461	1262915__R6HP14__BN574_00277
ERR1913157.1758582__1.1758582	853__A0A173XRA8__CGS56_09290
ERR1913157.1759137__1.1759137	1680__R5GKP2__DXD60_06200
ERR1913157.1759329__1.1759329	853__A0A2A7B9I6__DW855_13690
ERR1913157.1759411__1.1759411	1263000__R5EXT3__BN466_02213
ERR1913157.1759493__1.1759493	1262777__R5VK89__BN512_01598
ERR1913157.1759497__1.1759497	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.1759530__1.1759530	33043__A0A173WU55__ganB_2
ERR1913157.1759579__1.1759579	239935__A0A139TMD2__CXU18_02250
ERR1913157.1759898__1.1759898	1161942__baeS
ERR1913157.1760055__1.1760055	39485__A0A174ZNW9__luxQ_1
ERR1913157.1760058__1.1760058	239935__R7E524__CXT91_06180
ERR1913157.1760248__1.1760248	1550024__G9RZG0__ASJ35_05540
ERR1913157.1760321__1.1760321	216816__B7GN29__BL72_08765
ERR1913157.1760331__1.1760331	1297617__A0A0S2W868__BIV19_10430
ERR1913157.1760569__1.1760569	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913157.1760803__1.1760803	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913157.1760893__1.1760893	1262761__R6R840__BN606_01433
ERR1913157.1760966__1.1760966	216816__E8MW20__DD674_07905
ERR1913157.1761148__1.1761148	239935__R7DVL7__CXT93_01180
ERR1913157.1761173__1.1761173	328814__GCA_004558275.1_00835
ERR1913157.1761335__1.1761335	853__A0A329UEG4__CHR60_00585
ERR1913157.1761391__1.1761391	39492__D4JTL0__EUBSIR_01428
ERR1913157.1761454__1.1761454	1262989__R6ZJK5__BN815_01843
ERR1913157.1761566__1.1761566	239935__A0A2N8IFA0__CXT92_02050
ERR1913157.1761610__1.1761610	853__A0A174C5M1__CGS58_04460
ERR1913157.1761707__1.1761707	853__A0A2A7B9I6__DW855_13690
ERR1913157.1761710__1.1761710	239935__A0A2N8IU45__DEF40_02365
ERR1913157.1761954__1.1761954	853__A0A173YYY4__DWZ04_09420
ERR1913157.1762330__1.1762330	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.1762413__1.1762413	1262761__R6QH71__BN606_00371
ERR1913157.1762509__1.1762509	853__A0A173XRA8__CGS56_09290
ERR1913157.1762534__1.1762534	901__B6WY35__DESPIGER_1461
ERR1913157.1762690__1.1762690	853__A0A174BA00__DW905_01145
ERR1913157.1762693__1.1762693	901__B6WVE0__DESPIG_02056
ERR1913157.1763047__1.1763047	853__A0A2A7B9I6__DW855_13690
ERR1913157.1763065__1.1763065	1262915__R6IAQ2__BN574_01167
ERR1913157.1763200__1.1763200	165179__A0A3E4SB80__DXC61_12880
ERR1913157.1763781__1.1763781	1262761__R6RU22__BN606_01110
ERR1913157.1763869__1.1763869	1262869__R7CLK0__BN625_01124
ERR1913157.1763960__1.1763960	29361__B6FKH5__CLONEX_00621
ERR1913157.1763987__1.1763987	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.1764027__1.1764027	1262869__R7CRP7__BN625_01723
ERR1913157.1764226__1.1764226	165179__A0A3E5EBQ2__DXC61_01930
ERR1913157.1764228__1.1764228	1161942__celI_4
ERR1913157.1764371__1.1764371	165179__A0A3E5EBQ2__DXC61_01930
ERR1913157.1764404__1.1764404	165179__D1PES9__DXB80_11585
ERR1913157.1764472__1.1764472	33043__A8SWL7__ERS852386_02506
ERR1913157.1764494__1.1764494	1897011__A0A1Q6REU8__BHW41_04300
ERR1913157.1764606__1.1764606	1263027__R6ZKB3__BN699_02039
ERR1913157.1764805__1.1764805	1262761__R6RB22__BN606_01933
ERR1913157.1764861__1.1764861	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.1765061__1.1765061	1262761__R6RU22__BN606_01110
ERR1913157.1765172__1.1765172	1262915__R6HPJ0__BN574_00421
ERR1913157.1765243__1.1765243	552398__F4XCR9__HMPREF0866_01636
ERR1913157.1765277__1.1765277	394340__htpG
ERR1913157.1765283__1.1765283	394340__htpG
ERR1913157.1765418__1.1765418	1263000__R5EIH8__BN466_01210
ERR1913157.1765506__1.1765506	944036__A0A196SFK2__AV274_3371
ERR1913157.1765570__1.1765570	853__D4K7X0__DW905_09540
ERR1913157.1765785__1.1765785	33043__D5HIU3__ERS852386_01914
ERR1913157.1765907__1.1765907	166486__D4L378__hcaR
ERR1913157.1766051__1.1766051	239935__R6K0V8__CXT94_02055
ERR1913157.1766533__1.1766533	1263027__R7A417__BN699_00819
ERR1913157.1766536__1.1766536	147206__GCF_000156215.1_01776
ERR1913157.1766674__1.1766674	239935__A0A139TMG9__CXU07_10650
ERR1913157.1766746__1.1766746	165179__R6CNX7__DXB80_02200
ERR1913157.1767013__1.1767013	446660__GCA_003428235.1_01237
ERR1913157.1767066__1.1767066	1263011__R6DPU8__BN553_00970
ERR1913157.1767759__1.1767759	239935__A0A2N8HWQ2__CXU13_01775
ERR1913157.1767785__1.1767785	1161942__copA_2
ERR1913157.1767901__1.1767901	853__A0A173XRA8__CGS56_09290
ERR1913157.1768006__1.1768006	33043__A0A173ZL29__ERS852386_01345
ERR1913157.1768085__1.1768085	901__B6WVJ0__BHW59_08380
ERR1913157.1768763__1.1768763	165179__A0A3E5A554__DXB80_13805
ERR1913157.1768708__1.1768708	28117__B0MZ14__ALIPUT_02383
ERR1913157.1768776__1.1768776	28117__B0MY45__ALIPUT_02164
ERR1913157.1768799__1.1768799	901__B6WUW8__DESPIGER_1921
ERR1913157.1768800__1.1768800	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.1768965__1.1768965	214856__R6YC22__ERS852447_01215
ERR1913157.1768984__1.1768984	310297__B5D2V1__DXC17_04215
ERR1913157.1769270__1.1769270	239935__R6JAS2__CXU02_10725
ERR1913157.1769271__1.1769271	1263000__R5ES99__BN466_01121
ERR1913157.1769442__1.1769442	853__A0A329UEG4__CHR60_00585
ERR1913157.1769647__1.1769647	1680__A0A3E4SB79__BAD_1517
ERR1913157.1769672__1.1769672	239935__R6JWJ7__CXT94_02580
ERR1913157.1769875__1.1769875	1472761__GCA_002159295.1_00745
ERR1913157.1770041__1.1770041	1161942__accC
ERR1913157.1770304__1.1770304	1681__A0A286TED3__CJD48_07450
ERR1913157.1770385__1.1770385	1262915__R6HBU2__BN574_01303
ERR1913157.1770343__1.1770343	239935__A0A2N8HT18__CXT93_06135
ERR1913157.1770465__1.1770465	1262761__R6R1H3__BN606_00786
ERR1913157.1771224__1.1771224	1897011__A0A1Q6RH12__BHW41_01505
ERR1913157.1771333__1.1771333	1965587__A0A1Y4HVC6__B5F35_09360
ERR1913157.1771342__1.1771342	1535__A7VRX1__CLOLEP_01308
ERR1913157.1771437__1.1771437	1262869__R7CP96__BN625_01193
ERR1913157.1771810__1.1771810	1262911__R6GT99__BN557_01335
ERR1913157.1771838__1.1771838	1161942__accC
ERR1913157.1771865__1.1771865	39492__D4JT56__lepB
ERR1913157.1772170__1.1772170	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.1772233__1.1772233	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913157.1772251__1.1772251	1262992__R5CXK6__BN795_00999
ERR1913157.1772330__1.1772330	1263006__R6LN71__BN515_01528
ERR1913157.1772435__1.1772435	239935__A0A2N8HH03__CXU09_08875
ERR1913157.1772553__1.1772553	239935__R7E524__CXT91_06180
ERR1913157.1772701__1.1772701	28117__R7JIY2__BHV66_06465
ERR1913157.1772771__1.1772771	216816__D6DBD5__DXC32_04335
ERR1913157.1772902__1.1772902	1262915__R6HKU3__BN574_00841
ERR1913157.1773122__1.1773122	820__A0A174CG08__DXB62_13215
ERR1913157.1773090__1.1773090	901__B6WXA0__aroE
ERR1913157.1773193__1.1773193	39485__A0A174ZA72__glgB_1
ERR1913157.1773288__1.1773288	1263000__R5EWT9__BN466_02076
ERR1913157.1773386__1.1773386	1680__A0A0B5BME4__DXD63_05015
ERR1913157.1773388__1.1773388	301301__A0A395VAV2__RHOM_03775
ERR1913157.1773482__1.1773482	1897011__A0A1Q6RH85__BHW41_01750
ERR1913157.1773679__1.1773679	853__A0A174BA00__DW905_01145
ERR1913157.1773904__1.1773904	310297__B5CXJ7__DXB87_06645
ERR1913157.1773948__1.1773948	1262761__R6QUM5__BN606_02048
ERR1913157.1774270__1.1774270	33043__A0A174DSP1__essC_2
ERR1913157.1774813__1.1774813	1262869__R7CLK0__BN625_01124
ERR1913157.1774836__1.1774836	487175__F3QIG5__HMPREF9439_00712
ERR1913157.1775792__1.1775792	1897011__A0A1Q6RI93__BHW41_01175
ERR1913157.1776184__1.1776184	239935__A0A2N8HWQ2__CXU13_01775
ERR1913157.1776480__1.1776480	239935__A0A2N8I6R6__CXU04_04335
ERR1913157.1776467__1.1776467	165179__A0A174W369__PREVCOP_04548
ERR1913157.1776551__1.1776551	1262869__R7CTK3__BN625_00198
ERR1913157.1776727__1.1776727	1262915__R6HBF8__BN574_01128
ERR1913157.1776779__1.1776779	384638__B7APN3__BACPEC_00639
ERR1913157.1776880__1.1776880	1262743__R5C9L3__BN727_01384
ERR1913157.1776989__1.1776989	239935__A0A2N8IKW7__pstA
ERR1913157.1777054__1.1777054	1262959__R5YTY1__BN680_00047
ERR1913157.1777114__1.1777114	821__A0A174K302__CUU_3129
ERR1913157.1777303__1.1777303	1263000__R5ETL6__BN466_01607
ERR1913157.1777435__1.1777435	147206__GCF_000156215.1_00828
ERR1913157.1777458__1.1777458	33043__A0A174BPN9__kfoC_2
ERR1913157.1777494__1.1777494	1263000__R5EKG2__BN466_02040
ERR1913157.1777562__1.1777562	1262761__R6RY17__BN606_01538
ERR1913157.1777677__1.1777677	74426__rpoB
ERR1913157.1777681__1.1777681	1262961__R6E0C8__BN710_00049
ERR1913157.1777791__1.1777791	901__B6WR60__DESPIGER_0223
ERR1913157.1777888__1.1777888	572010__group_1550
ERR1913157.1777895__1.1777895	853__A0A174C5M1__CGS58_04460
ERR1913157.1778207__1.1778207	901__B6WXH1__DESPIGER_1644
ERR1913157.1778186__1.1778186	165179__D1PGU8__PREVCOP_06463
ERR1913157.1778191__1.1778191	239935__A0A139TPD8__CXU12_11015
ERR1913157.1778260__1.1778260	33043__D5HGR0__rpfC_2
ERR1913157.1778352__1.1778352	1262761__R6R840__BN606_01433
ERR1913157.1778445__1.1778445	1897011__A0A1Q6RET2__BHW41_04000
ERR1913157.1778552__1.1778552	239935__R7DVL7__CXT93_01180
ERR1913157.1778767__1.1778767	487174__K0XG34__HMPREF9448_02234
ERR1913157.1778825__1.1778825	1965631__A0A1Y4AIV0__B5F90_04660
ERR1913157.1779266__1.1779266	1161942__aspS_5
ERR1913157.1779917__1.1779917	901__B6WYC3__DESPIG_03104
ERR1913157.1779964__1.1779964	246787__A0A3D6AXG0__BACCELL_01743
ERR1913157.1779973__1.1779973	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913157.1780119__1.1780119	901__B6WTT7__DESPIG_01494
ERR1913157.1780670__1.1780670	1262761__R6R2J2__BN606_00943
ERR1913157.1780673__1.1780673	410072__A0A174JVM9__COPCOM_00443
ERR1913157.1780695__1.1780695	239935__A0A2N8HBM4__CXT85_06270
ERR1913157.1780741__1.1780741	1262761__R6QND7__BN606_00927
ERR1913157.1780891__1.1780891	820__A0A174CG08__DXB62_13215
ERR1913157.1780899__1.1780899	239935__A0A2N8HB50__CXU17_02615
ERR1913157.1780901__1.1780901	1681__A0A0H2P5X3__DXD53_01205
ERR1913157.1781108__1.1781108	214856__I3YPQ4__Alfi_2712
ERR1913157.1781213__1.1781213	1680__A0A076JM61__DXD63_05245
ERR1913157.1781387__1.1781387	1680__A0A3E4SB79__BAD_1517
ERR1913157.1781568__1.1781568	1680__A0A087DHN0__AL0462_1532
ERR1913157.1782207__1.1782207	1680__R5GMB5__AD0028_1137
ERR1913157.1782664__1.1782664	46503__R6WX12__DXB85_11560
ERR1913157.1782691__1.1782691	165179__A0A174PS14__DXC61_13945
ERR1913157.1782704__1.1782704	1897011__A0A1Q6REU9__BHW41_04345
ERR1913157.1782799__1.1782799	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913157.1782888__1.1782888	944036__A0A196SFK2__AV274_3371
ERR1913157.1782870__1.1782870	853__A0A173YYY4__DWZ04_09420
ERR1913157.1782944__1.1782944	33043__A0A173YYE7__ERS852445_00670
ERR1913157.1783162__1.1783162	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913157.1783457__1.1783457	301301__A0A395V7U1__ycdT
ERR1913157.1783464__1.1783464	853__A0A2A7B9I6__DW855_13690
ERR1913157.1783565__1.1783565	239935__A0A139TPG3__CXT86_08810
ERR1913157.1783829__1.1783829	33043__D5HH34__ERS852386_00170
ERR1913157.1784295__1.1784295	33043__A0A173X520__ERS852575_01617
ERR1913157.1784428__1.1784428	1105031__J1H3W2__HMPREF1141_2783
ERR1913157.1784432__1.1784432	40518__R5E1X3__clcA
ERR1913157.1784437__1.1784437	40518__R5E1X3__clcA
ERR1913157.1784624__1.1784624	239935__A0A2N8HB50__CXU17_02615
ERR1913157.1784658__1.1784658	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.1784879__1.1784879	1262761__R6RU22__BN606_01110
ERR1913157.1785226__1.1785226	165179__A0A229I7F5__DXB80_02650
ERR1913157.1785330__1.1785330	1262761__R6RBJ5__BN606_02022
ERR1913157.1785627__1.1785627	301302__R5UL57__ERS852420_00622
ERR1913157.1785730__1.1785730	818__A0A139KY34__ERS852461_03898
ERR1913157.1785990__1.1785990	1262915__R6HBE0__BN574_01103
ERR1913157.1786092__1.1786092	1262948__R7EGE9__BN671_00967
ERR1913157.1786165__1.1786165	239935__A0A139TVJ4__CXT86_02020
ERR1913157.1786559__1.1786559	853__E2ZGD9__C7J97_11715
ERR1913157.1786561__1.1786561	1263027__R7AUY9__BN699_02011
ERR1913157.1787154__1.1787154	1263000__R5EKG2__BN466_02040
ERR1913157.1787540__1.1787540	39488__A0A374MV67__DXD91_15895
ERR1913157.1787595__1.1787595	944036__A0A196S9L4__AV274_4588
ERR1913157.1787773__1.1787773	853__C7H1R8__DW905_06675
ERR1913157.1787922__1.1787922	328814__GCA_004558275.1_02280
ERR1913157.1788159__1.1788159	901__B6WXD6__DHV46_02215
ERR1913157.1788419__1.1788419	1263000__R5EXT3__BN466_02213
ERR1913157.1788488__1.1788488	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913157.1788521__1.1788521	33043__D5HIA8__ERS852575_01867
ERR1913157.1788600__1.1788600	33043__A0A174B7D6__ERS852400_01331
ERR1913157.1789036__1.1789036	33043__D5HF29__eglS_1
ERR1913157.1789610__1.1789610	33043__D5HIL8__ERS852386_02009
ERR1913157.1789717__1.1789717	33043__D5HFA1__ERS852400_02183
ERR1913157.1790046__1.1790046	1263000__R5EGY6__BN466_00973
ERR1913157.1790313__1.1790313	1235835__R9LCU2__C814_02677
ERR1913157.1790330__1.1790330	1161942__argC
ERR1913157.1790455__1.1790455	853__A0A329UEG4__CHR60_00585
ERR1913157.1790521__1.1790521	239935__A0A2N8HEH9__CXU07_11710
ERR1913157.1790626__1.1790626	1897011__A0A1Q6RGE1__BHW41_02880
ERR1913157.1791089__1.1791089	239935__R6JD78__CXU05_09250
ERR1913157.1791251__1.1791251	1262961__R6DQM4__BN710_00984
ERR1913157.1791341__1.1791341	214856__R6Y1K2__ERS852447_02306
ERR1913157.1791548__1.1791548	1681__A0A0E2ZRM9__DXC70_08430
ERR1913157.1791746__1.1791746	33043__A0A174EI47__inlJ
ERR1913157.1791955__1.1791955	1161942__cshA
ERR1913157.1791963__1.1791963	33043__A0A173ZL29__ERS852386_01345
ERR1913157.1792112__1.1792112	853__A0A2J4JL53__CRH10_10795
ERR1913157.1792403__1.1792403	1161942__comM
ERR1913157.1792436__1.1792436	1897011__A0A1Q6RE77__BHW41_04655
ERR1913157.1792465__1.1792465	33043__A0A173X7L1__ERS852400_00423
ERR1913157.1792769__1.1792769	1262761__R6RU22__BN606_01110
ERR1913157.1792789__1.1792789	820__A0A374Q351__DXD40_05850
ERR1913157.1793067__1.1793067	33043__A0A173YYE7__ERS852445_00670
ERR1913157.1793105__1.1793105	239935__A0A2N8I791__CXT99_09415
ERR1913157.1793548__1.1793548	33043__D5HHY4__luxQ_1
ERR1913157.1793870__1.1793870	1680__A1A132__B0703_0684
ERR1913157.1794141__1.1794141	944036__A0A196SDH5__AV274_4237
ERR1913157.1794913__1.1794913	1680__A0A3E4SB79__BAD_1517
ERR1913157.1794991__1.1794991	1161942__acsA_3
ERR1913157.1795102__1.1795102	1262869__R7CKK9__BN625_00850
ERR1913157.1795143__1.1795143	39485__A0A174ZA72__glgB_1
ERR1913157.1795328__1.1795328	1263000__R5EKG2__BN466_02040
ERR1913157.1795446__1.1795446	853__A0A329UEG4__CHR60_00585
ERR1913157.1795652__1.1795652	944036__A0A196S4S6__AV274_6233
ERR1913157.1795737__1.1795737	39492__D4JU79__EUBSIR_01975
ERR1913157.1795757__1.1795757	28117__B0MXI8__BHV66_08505
ERR1913157.1795874__1.1795874	214856__I3YPP3__Alfi_2701
ERR1913157.1795877__1.1795877	1161942__btrK_1
ERR1913157.1795965__1.1795965	33043__A0A174EI47__inlJ
ERR1913157.1796229__1.1796229	310297__B5CW17__DXC17_13800
ERR1913157.1796202__1.1796202	74426__sigA
ERR1913157.1796209__1.1796209	1735__B7C8P1__EUBIFOR_00545
ERR1913157.1796387__1.1796387	165179__A0A3E5DZ45__DXC61_02820
ERR1913157.1796683__1.1796683	165179__A0A174W369__PREVCOP_04548
ERR1913157.1796794__1.1796794	33043__A0A374K1H3__ykoD_2
ERR1913157.1796864__1.1796864	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913157.1797081__1.1797081	901__B6WR31__DESPIG_00511
ERR1913157.1797096__1.1797096	165179__A0A3E5E920__DXB80_11625
ERR1913157.1797240__1.1797240	239935__A0A2N8HMQ8__pgsA
ERR1913157.1797351__1.1797351	216816__B7GN29__BL72_08765
ERR1913157.1797428__1.1797428	165179__A0A3E5E8N5__DXC61_13460
ERR1913157.1797431__1.1797431	823__A0A173W404__DHP27_04905
ERR1913157.1797520__1.1797520	853__A0A2A7AXC8__C4N21_14120
ERR1913157.1797771__1.1797771	853__A0A3E2V168__FAEPRAM212_00929
ERR1913157.1797933__1.1797933	1161942__celI_5
ERR1913157.1798104__1.1798104	1262761__R6RMH1__BN606_00005
ERR1913157.1798447__1.1798447	458033__GCA_001482755.1_02203
ERR1913157.1798467__1.1798467	74426__group_4851
ERR1913157.1798564__1.1798564	292800__G9YWZ8__A4U99_12635
ERR1913157.1798790__1.1798790	1262761__R6RNL8__BN606_00387
ERR1913157.1798863__1.1798863	239935__A0A2N8I5A2__DEF40_08455
ERR1913157.1798918__1.1798918	853__E2ZGD9__C7J97_11715
ERR1913157.1799321__1.1799321	74426__purL
ERR1913157.1799939__1.1799939	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.1799952__1.1799952	29361__B6FKH5__CLONEX_00621
ERR1913157.1800001__1.1800001	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913157.1800050__1.1800050	239935__A0A2N8IRL2__CXU06_01170
ERR1913157.1800012__1.1800012	1262992__R5CXM7__BN795_01016
ERR1913157.1800557__1.1800557	33043__A0A174CV49__ERS852386_02395
ERR1913157.1800598__1.1800598	1897011__A0A1Q6RI94__BHW41_01260
ERR1913157.1800780__1.1800780	1520815__A0A1I3QD82__SAMN02910435_01792
ERR1913157.1800967__1.1800967	239935__A0A2N8IMC9__CXU09_02095
ERR1913157.1800953__1.1800953	1262915__R6HCE0__BN574_00606
ERR1913157.1801214__1.1801214	165179__D1PCT4__DXB80_09470
ERR1913157.1801544__1.1801544	1680__A0A0B5BKZ3__DXD60_01450
ERR1913157.1801725__1.1801725	853__A0A174BZY1__xerD_1
ERR1913157.1802038__1.1802038	1262761__R6RBJ5__BN606_02022
ERR1913157.1802075__1.1802075	165179__A0A3E5EA43__DXC61_07775
ERR1913157.1802147__1.1802147	165179__R6C3K4__PREVCOP_05795
ERR1913157.1802618__1.1802618	853__A0A173RZ39__C4N22_01650
ERR1913157.1803113__1.1803113	239935__A0A3F3K9J9__DEF40_00940
ERR1913157.1803092__1.1803092	239935__A0A2N8ITG2__Amuc_0335
ERR1913157.1803309__1.1803309	116085__D4J7V4__DW747_05820
ERR1913157.1803317__1.1803317	39485__A0A174Z2N7__EUBELI_02062
ERR1913157.1803341__1.1803341	39485__A0A174Z2N7__EUBELI_02062
ERR1913157.1803426__1.1803426	853__A0A174BZY1__xerD_1
ERR1913157.1803524__1.1803524	552398__F4XCQ4__HMPREF0866_01621
ERR1913157.1803507__1.1803507	310298__B3JII2__BACCOP_01694
ERR1913157.1803543__1.1803543	901__B6WYC9__DHV46_00060
ERR1913157.1803633__1.1803633	944036__A0A196SIU9__AV274_2183
ERR1913157.1803626__1.1803626	821__A0A174RA14__M099_1655
ERR1913157.1803769__1.1803769	1161942__clpP
ERR1913157.1803790__1.1803790	165179__D1PES9__DXB80_11585
ERR1913157.1803824__1.1803824	33043__D5HEU4__ftsW_3
ERR1913157.1803914__1.1803914	1262761__R6RU22__BN606_01110
ERR1913157.1803965__1.1803965	1150298__A0A174QRU8__ERS852498_00962
ERR1913157.1803973__1.1803973	239935__R6JWJ7__CXT94_02580
ERR1913157.1803994__1.1803994	301301__A0A395VAL3__mcp2_2
ERR1913157.1804215__1.1804215	214856__I3YPN0__ERS852447_01398
ERR1913157.1804293__1.1804293	1262761__R6QUP0__BN606_01674
ERR1913157.1804429__1.1804429	33039__D4M6I1__nadB_2
ERR1913157.1804424__1.1804424	74426__rpoC
ERR1913157.1804522__1.1804522	901__B6WXK8__DESPIG_02835
ERR1913157.1804523__1.1804523	1262959__R5XZZ3__BN680_01211
ERR1913157.1804576__1.1804576	901__B6WVE2__DHV46_05785
ERR1913157.1804622__1.1804622	28117__B0MXR1__BHV66_08035
ERR1913157.1804723__1.1804723	1628085__A0A1C6BMM1__C7386_11221
ERR1913157.1804773__1.1804773	1897011__A0A1Q6RH12__BHW41_01505
ERR1913157.1805064__1.1805064	1680__R5GPK0__B0487_0620
ERR1913157.1805210__1.1805210	820__A0A174F0C1__nreB
ERR1913157.1805584__1.1805584	1680__A0A173X776__B0070_1318
ERR1913157.1805618__1.1805618	1161942__ctpA
ERR1913157.1805886__1.1805886	1262761__R6RTQ9__BN606_01087
ERR1913157.1806031__1.1806031	1262761__R6QVL2__BN606_00807
ERR1913157.1806093__1.1806093	901__B6WXI1__DESPIGER_1636
ERR1913157.1806601__1.1806601	944036__A0A196SH01__AV274_3021
ERR1913157.1807115__1.1807115	1263027__R6ZZS3__BN699_02045
ERR1913157.1807232__1.1807232	853__A0A174C5M1__CGS58_04460
ERR1913157.1807463__1.1807463	74426__sufB
ERR1913157.1807490__1.1807490	820__A0A3E4VZT7__DXB48_16145
ERR1913157.1807596__1.1807596	106588__A6NUL8__BACCAP_01900
ERR1913157.1807866__1.1807866	572010__atpD
ERR1913157.1807970__1.1807970	165179__A0A174UTZ7__DXC61_06705
ERR1913157.1808062__1.1808062	239935__A0A2N8J1K0__CXT97_05765
ERR1913157.1808220__1.1808220	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913157.1808463__1.1808463	1161942__alsT_1
ERR1913157.1808391__1.1808391	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913157.1808511__1.1808511	487174__K0X177__HMPREF9448_00818
ERR1913157.1808812__1.1808812	33043__A0A173QUI0__ERS852386_00036
ERR1913157.1809171__1.1809171	239935__A0A2N8IYM5__CXT84_05130
ERR1913157.1809270__1.1809270	301301__A0A395VA99__rpfG_5
ERR1913157.1809321__1.1809321	410072__A0A173WD04__penA_2
ERR1913157.1809385__1.1809385	292800__A0A1C7FI34__B5F52_14540
ERR1913157.1809607__1.1809607	821__E5UY21__C800_02204
ERR1913157.1809752__1.1809752	33043__D5HFA0__glfT2
ERR1913157.1809949__1.1809949	1262915__R6HNN0__BN574_00953
ERR1913157.1809994__1.1809994	239935__A0A2N8IHY1__CXU06_00035
ERR1913157.1810050__1.1810050	572010__argF
ERR1913157.1810189__1.1810189	46503__R6Y0Q3__DCY29_15880
ERR1913157.1810228__1.1810228	1263107__GCA_000436995.1_00143
ERR1913157.1810163__1.1810163	1263000__R5EQY7__BN466_01150
ERR1913157.1810173__1.1810173	1263027__R6ZHZ7__BN699_00811
ERR1913157.1810304__1.1810304	853__A0A174UDE9__C4N25_12775
ERR1913157.1810346__1.1810346	46503__R6X6L7__HMPREF1060_00291
ERR1913157.1810830__1.1810830	901__B6WXF1__DESPIGER_1660
ERR1913157.1810942__1.1810942	239935__A0A139TQT9__Amuc_1197
ERR1913157.1810888__1.1810888	901__B6WXD6__DHV46_02215
ERR1913157.1810913__1.1810913	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913157.1810988__1.1810988	33043__A0A173XM20__ERS852445_01573
ERR1913157.1810996__1.1810996	1472761__GCA_002159295.1_00743
ERR1913157.1811406__1.1811406	1262761__R6RPK4__BN606_00541
ERR1913157.1811716__1.1811716	239935__R6JWJ7__CXT94_02580
ERR1913157.1811778__1.1811778	1263000__R5EF36__BN466_01303
ERR1913157.1811788__1.1811788	74426__group_4823
ERR1913157.1811844__1.1811844	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913157.1811948__1.1811948	853__A0A174C5M1__CGS58_04460
ERR1913157.1812000__1.1812000	28118__F9Z5A4__DHW44_14035
ERR1913157.1812177__1.1812177	33043__A0A173X520__ERS852575_01617
ERR1913157.1812304__1.1812304	944036__A0A196S6C6__AV274_5700
ERR1913157.1812334__1.1812334	33043__A0A173YSY7__tilS
