ERR1913140.348__1.348	1262882__R5N3T7__BN519_01188
ERR1913140.2554205__1.2554205	821__E5UMZ6__BVU_1450
ERR1913140.2554269__1.2554269	1262911__R6GSH8__BN557_00939
ERR1913140.2554348__1.2554348	1357825__GeneID:17494398
ERR1913140.2554407__1.2554407	204516__U6RFV1__HMPREF1534_02560
ERR1913140.2554460__1.2554460	28117__B0MTY2__BHV66_06485
ERR1913140.2554467__1.2554467	165179__A0A174K816__DXB80_12000
ERR1913140.2554486__1.2554486	820__A0A374Q854__HMPREF1073_03281
ERR1913140.2554491__1.2554491	28117__R7JPX7__BHV66_00900
ERR1913140.2554590__1.2554590	40518__R5DLM5__RB5AMG_00422
ERR1913140.2554647__1.2554647	1262959__R5Y0V4__BN680_01500
ERR1913140.2554654__1.2554654	1262886__R6QJF6__BN563_01169
ERR1913140.2554769__1.2554769	165179__D1P8K1__DXB80_06045
ERR1913140.2554844__1.2554844	901__B6WR13__DHV46_00815
ERR1913140.2554860__1.2554860	165179__A0A3E5EDP4__DXB80_05800
ERR1913140.2554908__1.2554908	853__D4JY61__C4N21_10560
ERR1913140.2555006__1.2555006	28116__A0A1Y4Q367__ERS852555_04706
ERR1913140.2555028__1.2555028	1262936__R7IZZ2__BN799_01307
ERR1913140.2555340__1.2555340	907__G0VLA7__SAMN04488492_10284
ERR1913140.2555417__1.2555417	165179__A0A3E5E2S3__DXB80_03455
ERR1913140.2555504__1.2555504	905__D2RMZ4__SAMN05216495_10748
ERR1913140.2555454__1.2555454	626940__A0A3C1IMH5__HMPREF9443_00013
ERR1913140.2555477__1.2555477	1150298__R7JUS7__ytlR
ERR1913140.2555638__1.2555638	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2555650__1.2555650	43675__D2NPS7__HMPREF0737_01637
ERR1913140.2555706__1.2555706	165179__A0A3E5EA43__DXC61_07775
ERR1913140.2555716__1.2555716	166486__D4KWZ7__cph2_5
ERR1913140.2555726__1.2555726	165179__A0A174WRI9__DXB80_04870
ERR1913140.2555853__1.2555853	39486__G1WMX5__HMPREF9457_00476
ERR1913140.2555832__1.2555832	357276__I9G0T7__BACDOR_04266
ERR1913140.2555879__1.2555879	1263044__GCA_000433375.1_00023
ERR1913140.2555896__1.2555896	1263000__R5ETL6__BN466_01607
ERR1913140.2555900__1.2555900	823__D7IRG1__NCTC11152_02276
ERR1913140.2556245__1.2556245	1262936__R7J5X5__BN799_00356
ERR1913140.2556323__1.2556323	39491__A0A396FBR6__DXC13_08575
ERR1913140.2556405__1.2556405	1262911__R6HN81__BN557_00921
ERR1913140.2556490__1.2556490	165179__D1P8K1__DXB80_06045
ERR1913140.2556523__1.2556523	33043__A0A173YSY7__tilS
ERR1913140.2556714__1.2556714	166486__D4KZ14__inlA_1
ERR1913140.2556691__1.2556691	821__A0A396F598__CUU_3259
ERR1913140.2556760__1.2556760	907__G0VMD0__SAMN02910401_01607
ERR1913140.2556868__1.2556868	165179__A0A174WRI9__DXB80_04870
ERR1913140.2556850__1.2556850	165179__D1PAJ7__PREVCOP_04222
ERR1913140.2556943__1.2556943	572010__dnaK2
ERR1913140.2556956__1.2556956	165179__A0A3E5DWQ1__DXB80_06635
ERR1913140.2557111__1.2557111	214856__A0A174FWM7__ERS852559_00590
ERR1913140.2557115__1.2557115	214856__A0A174FWM7__ERS852559_00590
ERR1913140.2557253__1.2557253	39491__A0A174EQV2__DXB69_10230
ERR1913140.2557254__1.2557254	165179__D1P9T6__PREVCOP_04016
ERR1913140.2557353__1.2557353	33043__D5HEY0__ERS852386_01426
ERR1913140.2557354__1.2557354	214856__A0A174FWM7__ERS852559_00590
ERR1913140.2557438__1.2557438	562__C6EBU6__ESQG_00710
ERR1913140.2557508__1.2557508	1147156__GeneID:14182328
ERR1913140.2557528__1.2557528	1262936__R7J1I2__BN799_01776
ERR1913140.2557682__1.2557682	853__A0A174BZY1__xerD_1
ERR1913140.2557784__1.2557784	165179__A0A3E5E2B6__DXB80_02820
ERR1913140.2557743__1.2557743	1124654__GeneID:14005781
ERR1913140.2558006__1.2558006	39491__C4ZCV7__ERE_23110
ERR1913140.2558133__1.2558133	166486__A0A173VSA0__ROSINTL182_06124
ERR1913140.2558151__1.2558151	853__C7H7F5__DWZ46_01780
ERR1913140.2558226__1.2558226	1147152__GeneID:14182017
ERR1913140.2558337__1.2558337	907__A0A269TF14__C6Y28_11870
ERR1913140.2558385__1.2558385	1262936__R7IYU6__BN799_00855
ERR1913140.2558429__1.2558429	626940__E8LGA6__BHW43_03960
ERR1913140.2558477__1.2558477	1318__A0A3E4U8W0__trpD
ERR1913140.2558499__1.2558499	33043__A0A173WCG7__ERS852575_01602
ERR1913140.2558563__1.2558563	1393034__GCA_001552785.1_00506
ERR1913140.2558696__1.2558696	626940__E8LFQ7__BN587_01244
ERR1913140.2558774__1.2558774	1262936__R7J0Z2__BN799_00650
ERR1913140.2558849__1.2558849	360807__A0A173YJ94__ERS852444_03492
ERR1913140.2559017__1.2559017	33043__A0A173ZXG0__ERS852400_00169
ERR1913140.2559159__1.2559159	853__A0A174C5M1__CGS58_04460
ERR1913140.2559203__1.2559203	1357825__GeneID:17494397
ERR1913140.2559328__1.2559328	1680__A0A087DHN0__AL0462_1532
ERR1913140.2559445__1.2559445	165179__R6CNX7__DXB80_02200
ERR1913140.2559566__1.2559566	562__P77789__fimF_3
ERR1913140.2559651__1.2559651	165179__A0A3E5A832__DXC61_13685
ERR1913140.2559632__1.2559632	1262936__R7J5M6__BN799_00272
ERR1913140.2559714__1.2559714	1262924__R7HQV3__BN585_00017
ERR1913140.2559750__1.2559750	328814__GCA_004558275.1_00035
ERR1913140.2559838__1.2559838	360807__A0A0M6X0S9__RIL183_10591
ERR1913140.2560105__1.2560105	853__A0A2A7B9I6__DW855_13690
ERR1913140.2560235__1.2560235	301301__A0A395V9V0__RHOM_01245
ERR1913140.2560381__1.2560381	1262936__R7J2K7__BN799_00229
ERR1913140.2560424__1.2560424	2292352__A0A374UML6__DXC23_09355
ERR1913140.2560531__1.2560531	901__B6WQE3__DHV46_07200
ERR1913140.2560571__1.2560571	901__B6WXH1__DESPIGER_1644
ERR1913140.2560597__1.2560597	1262886__R6QBE1__BN563_01180
ERR1913140.2560602__1.2560602	165179__D1PES9__DXB80_11585
ERR1913140.2560630__1.2560630	562__P0A9K7__AUQ29_19530
ERR1913140.2560695__1.2560695	564886__GeneID:6973115
ERR1913140.2560729__1.2560729	165179__D1PB89__DXC61_08425
ERR1913140.2560856__1.2560856	905__D2RM13__SAMN02910455_00296
ERR1913140.2561017__1.2561017	1262687__R7M2A4__BN701_01385
ERR1913140.2561041__1.2561041	165179__A0A229I6N7__DXC61_06720
ERR1913140.2561074__1.2561074	905__D2RJF8__SAMN02910455_01151
ERR1913140.2561217__1.2561217	357276__A0A076J726__IY41_15030
ERR1913140.2561305__1.2561305	821__A0A174MBW9__SAMN04487923_10272
ERR1913140.2561282__1.2561282	10680__GeneID:1261099
ERR1913140.2561394__1.2561394	905__D2RP32__SAMN02910455_01452
ERR1913140.2561461__1.2561461	33039__D4M378__cysL_1
ERR1913140.2561465__1.2561465	165179__R6BQP4__DXC61_02015
ERR1913140.2561854__1.2561854	33039__A0A174YCL2__ERS852424_00029
ERR1913140.2561892__1.2561892	165179__A0A3E5EB26__CFT61_02800
ERR1913140.2561996__1.2561996	39491__A0A395V464__EUBREC_1509
ERR1913140.2562085__1.2562085	626940__R6X0Z1__DCQ00_01035
ERR1913140.2562191__1.2562191	562__A0A377AAV3__CDL32_10800
ERR1913140.2562440__1.2562440	39491__A0A396FKG5__DXB76_07455
ERR1913140.2562519__1.2562519	907__G0VLK7__SAMN04488492_1145
ERR1913140.2562630__1.2562630	562__P26458__cydB
ERR1913140.2562691__1.2562691	905__D2RKQ3__Acfer_1294
ERR1913140.2562733__1.2562733	562__P0AF07__motB_2
ERR1913140.2562735__1.2562735	2292352__A0A374UKT9__DXC23_09375
ERR1913140.2562830__1.2562830	1262936__R7J360__BN799_00345
ERR1913140.2563112__1.2563112	884684__GCA_002892425.1_01416
ERR1913140.2563292__1.2563292	165179__A0A3E5E7J5__DXC61_10360
ERR1913140.2563409__1.2563409	1262936__R7IYU6__BN799_00855
ERR1913140.2563421__1.2563421	1262886__R6QGJ5__BN563_00263
ERR1913140.2563471__1.2563471	165179__D1PCT4__DXB80_09470
ERR1913140.2563487__1.2563487	165179__R6CNX7__DXB80_02200
ERR1913140.2563692__1.2563692	165179__A0A3E4SID1__DXB80_01945
ERR1913140.2563925__1.2563925	1262959__R5YDI8__BN680_00380
ERR1913140.2564406__1.2564406	1262929__R6EX87__BN691_01422
ERR1913140.2564495__1.2564495	820__A0A1T4IY71__HMPREF2141_02402
ERR1913140.2564549__1.2564549	166486__D4L2T9__lytM
ERR1913140.2564752__1.2564752	1550024__A0A3B9WJJ2__TQ39_18110
ERR1913140.2565011__1.2565011	410072__R6LD64__ERS852525_02440
ERR1913140.2565032__1.2565032	1262936__R7J0S3__BN799_01459
ERR1913140.2565066__1.2565066	823__A0A1Y4I349__DXB14_09300
ERR1913140.2565108__1.2565108	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913140.2565100__1.2565100	1262936__R7J3N4__BN799_00434
ERR1913140.2565244__1.2565244	562__P0AF07__motB_2
ERR1913140.2565356__1.2565356	907__S7ISK1__SAMN04488492_11532
ERR1913140.2565369__1.2565369	626940__E8LFE0__BN587_00060
ERR1913140.2565399__1.2565399	28117__B0MVL5__BHV66_01660
ERR1913140.2565528__1.2565528	1262936__R7J0N1__BN799_01252
ERR1913140.2565582__1.2565582	360807__A0A173WJE3__mcp4_4
ERR1913140.2565590__1.2565590	363265__G6B1B1__HMPREF0673_02682
ERR1913140.2565724__1.2565724	116085__D4J3T3__DW747_12460
ERR1913140.2565761__1.2565761	165179__D1P8Q2__trpF
ERR1913140.2565929__1.2565929	165179__R6CNX7__DXB80_02200
ERR1913140.2565999__1.2565999	165179__D1PGD2__DXC61_10875
ERR1913140.2566278__1.2566278	820__A0A3E4W980__M093_3873
ERR1913140.2566360__1.2566360	360807__A0A0M6WW58__ERS852444_03162
ERR1913140.2566370__1.2566370	33043__A0A173X520__ERS852575_01617
ERR1913140.2566408__1.2566408	562__A0A376L0A6__CQA14_19985
ERR1913140.2566551__1.2566551	1262936__R7IZE2__BN799_01121
ERR1913140.2566564__1.2566564	165179__A0A3E5AF88__DXC61_14960
ERR1913140.2566685__1.2566685	39492__D4JU31__ERS852540_00198
ERR1913140.2566760__1.2566760	166486__D4L457__ROSINTL182_07087
ERR1913140.2566956__1.2566956	28117__R7JIJ8__BHV66_01635
ERR1913140.2567050__1.2567050	820__A0A139K426__B5G17_09115
ERR1913140.2567318__1.2567318	165179__A0A3E5EB26__CFT61_02800
ERR1913140.2567450__1.2567450	39491__A0A395ZDC6__addB
ERR1913140.2567595__1.2567595	1262959__R5Y6L0__BN680_01484
ERR1913140.2567601__1.2567601	1262936__R7J2J0__BN799_01191
ERR1913140.2567646__1.2567646	905__D2RLZ8__Acfer_1744
ERR1913140.2567720__1.2567720	40519__U2K7I4__RUMCAL_02078
ERR1913140.2568153__1.2568153	165179__D1PCL6__DXB80_13435
ERR1913140.2568107__1.2568107	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913140.2568412__1.2568412	10680__GeneID:1261100
ERR1913140.2568389__1.2568389	165179__A0A174IYW3__DXC61_01235
ERR1913140.2568429__1.2568429	39492__D4JSG7__EUBSIR_01006
ERR1913140.2568480__1.2568480	853__A0A2A7B9I6__DW855_13690
ERR1913140.2568495__1.2568495	1613__B2GEY4__addA
ERR1913140.2568626__1.2568626	1262988__R7N524__BN816_01860
ERR1913140.2568801__1.2568801	28116__F7L4N5__BACOVA_00137
ERR1913140.2568869__1.2568869	853__A0A173XRA8__CGS56_09290
ERR1913140.2568920__1.2568920	853__A0A2A7B1Y7__C7K05_11930
ERR1913140.2568969__1.2568969	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913140.2568975__1.2568975	166486__D4L2C3__ERS852572_01686
ERR1913140.2569091__1.2569091	1263000__R5EXT3__BN466_02213
ERR1913140.2569109__1.2569109	33043__A0A174GAW5__ydcV_2
ERR1913140.2569155__1.2569155	563769__GeneID:6973141
ERR1913140.2569173__1.2569173	357276__B6VT86__IY41_22515
ERR1913140.2569406__1.2569406	39491__A0A395V297__EUR_01010
ERR1913140.2569579__1.2569579	821__A0A173WG51__BVU_2549
ERR1913140.2569555__1.2569555	165179__D1P9T6__PREVCOP_04016
ERR1913140.2569751__1.2569751	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913140.2569787__1.2569787	28117__B0MVL5__BHV66_01660
ERR1913140.2570094__1.2570094	626940__E8LEB0__BHW43_01865
ERR1913140.2570217__1.2570217	360807__C0FW52__RIL183_10551
ERR1913140.2570377__1.2570377	166486__A0A173T114__ROSINTL182_05085
ERR1913140.2570412__1.2570412	165179__A0A3E5A554__DXB80_13805
ERR1913140.2570436__1.2570436	821__A0A395UNT8__DXD64_15275
ERR1913140.2570438__1.2570438	360807__A0A1Q6T7G0__ERS852392_03048
ERR1913140.2570508__1.2570508	562__P08371__RW92_04043
ERR1913140.2570800__1.2570800	2108523__A0A2P2F6V3__LAWASA_1735
ERR1913140.2570903__1.2570903	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2571083__1.2571083	1147152__GeneID:14181982
ERR1913140.2571282__1.2571282	239935__A0A2N8HEH9__CXU07_11710
ERR1913140.2571373__1.2571373	166486__D4KZI1__ERS852572_00422
ERR1913140.2571412__1.2571412	214856__A0A174ZLY7__ERS852447_02456
ERR1913140.2571414__1.2571414	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913140.2571416__1.2571416	165179__R6CNX7__DXB80_02200
ERR1913140.2571515__1.2571515	28117__B0MT86__BHV66_02450
ERR1913140.2571495__1.2571495	562__P08371__RW92_04043
ERR1913140.2571591__1.2571591	1262959__R5XW12__BN680_00372
ERR1913140.2571807__1.2571807	116085__D4JC97__DW747_00040
ERR1913140.2571940__1.2571940	33043__A0A173W9Y8__ERS852575_00062
ERR1913140.2572187__1.2572187	820__A0A374Q8T2__DXB64_16190
ERR1913140.2572189__1.2572189	853__A0A174C5M1__CGS58_04460
ERR1913140.2572229__1.2572229	39491__A0A395ZDC6__addB
ERR1913140.2572375__1.2572375	1735__B7C7R0__EUBIFOR_00208
ERR1913140.2572435__1.2572435	626940__E8LBE7__BN587_01102
ERR1913140.2572520__1.2572520	10680__GeneID:1261099
ERR1913140.2572750__1.2572750	853__A0A173XRA8__CGS56_09290
ERR1913140.2572776__1.2572776	165179__A0A3E5E8N5__DXC61_13460
ERR1913140.2572786__1.2572786	10680__GeneID:1261099
ERR1913140.2572907__1.2572907	1262936__R7J1S4__BN799_01918
ERR1913140.2572935__1.2572935	1262886__R6RCB2__BN563_00311
ERR1913140.2572987__1.2572987	165179__A0A3E5E4T9__DXB80_08030
ERR1913140.2573069__1.2573069	39491__A0A396FM36__DXB99_00820
ERR1913140.2573046__1.2573046	165179__A0A3E5DZA5__DXB80_12550
ERR1913140.2573084__1.2573084	39492__D4JS46__EUBSIR_02553
ERR1913140.2573325__1.2573325	39492__D4JT68__spoIIIE
ERR1913140.2573360__1.2573360	360807__A0A173YFC9__ROSEINA2194_03541
ERR1913140.2573473__1.2573473	820__A0A174QLF0__SAMN05444418_109151
ERR1913140.2573559__1.2573559	1262936__R7J0S3__BN799_01459
ERR1913140.2573577__1.2573577	2173__A0A1D2WT15__BK798_04490
ERR1913140.2573608__1.2573608	165179__A0A3E5AE59__DXC61_12885
ERR1913140.2573724__1.2573724	165179__A0A3E5E189__PREVCOP_06699
ERR1913140.2573742__1.2573742	649756__E5VJS7__mecR1_3
ERR1913140.2573819__1.2573819	1262911__R6GUQ4__BN557_01581
ERR1913140.2573876__1.2573876	1262936__R7IZD7__BN799_01020
ERR1913140.2573935__1.2573935	626940__E8LCM1__HMPREF9443_00590
ERR1913140.2573971__1.2573971	33043__A0A173YSY7__tilS
ERR1913140.2574123__1.2574123	901__B6WVN3__DHV46_02690
ERR1913140.2574188__1.2574188	39491__C4ZHS4__EUR_24420
ERR1913140.2574216__1.2574216	33043__D5HI50__smf
ERR1913140.2574227__1.2574227	901__B6WUN9__DESPIGER_1850
ERR1913140.2574229__1.2574229	165179__D1PAJ7__PREVCOP_04222
ERR1913140.2574356__1.2574356	360807__C0FVK8__ERS852392_00397
ERR1913140.2574480__1.2574480	562__P23837__phoQ
ERR1913140.2574587__1.2574587	820__A0A174CG08__DXB62_13215
ERR1913140.2574612__1.2574612	853__A0A174BA00__DW905_01145
ERR1913140.2574618__1.2574618	28117__B0MY40__BHV66_05170
ERR1913140.2574794__1.2574794	360807__A0A173VUT6__RIL183_10071
ERR1913140.2574856__1.2574856	165179__R6C3A5__DXC61_11820
ERR1913140.2574867__1.2574867	46228__V8C4T8__RUMLAC_02058
ERR1913140.2574880__1.2574880	165179__A0A229I4J4__proA
ERR1913140.2575085__1.2575085	1263109__GCA_000438135.1_01186
ERR1913140.2575170__1.2575170	10680__GeneID:1261099
ERR1913140.2575219__1.2575219	572010__tufA
ERR1913140.2575313__1.2575313	33039__D4M5R9__ERS852502_01774
ERR1913140.2575496__1.2575496	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913140.2575570__1.2575570	1263000__R5EXT3__BN466_02213
ERR1913140.2575607__1.2575607	1262886__R6QHZ9__BN563_00710
ERR1913140.2575833__1.2575833	165179__A0A3E5E4P9__DXB80_07930
ERR1913140.2576044__1.2576044	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913140.2576451__1.2576451	626940__E8LGF9__DCQ00_00015
ERR1913140.2576568__1.2576568	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913140.2576569__1.2576569	2292352__A0A374UKE7__DXC23_09500
ERR1913140.2576530__1.2576530	905__D2RL47__SAMN05216495_101189
ERR1913140.2576643__1.2576643	165179__D1PAN5__PREVCOP_04260
ERR1913140.2576657__1.2576657	410072__A0A173Y8R3__rng
ERR1913140.2576720__1.2576720	165179__A0A3E5A554__DXB80_13805
ERR1913140.2576732__1.2576732	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913140.2576742__1.2576742	33043__A0A173X520__ERS852575_01617
ERR1913140.2576911__1.2576911	821__A6L0C7__ERS852556_03520
ERR1913140.2577010__1.2577010	1262936__R7J204__BN799_01701
ERR1913140.2577070__1.2577070	214856__A0A174Z9Y8__ERS852559_00247
ERR1913140.2577127__1.2577127	1262936__R7J3L8__BN799_00414
ERR1913140.2577135__1.2577135	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913140.2577225__1.2577225	432201__GeneID:14182722
ERR1913140.2577276__1.2577276	1262959__R5XX28__BN680_00745
ERR1913140.2577298__1.2577298	39491__C4Z8Y4__ERS852417_00909
ERR1913140.2577302__1.2577302	165179__A0A3E5DZD8__DXB80_09150
ERR1913140.2577383__1.2577383	626940__E8LFY4__BHW43_02610
ERR1913140.2577397__1.2577397	1262936__R7IY33__BN799_00622
ERR1913140.2577529__1.2577529	165179__D1P8V8__DXC61_01940
ERR1913140.2577539__1.2577539	165179__D1PAJ7__PREVCOP_04222
ERR1913140.2577587__1.2577587	432201__GeneID:14182722
ERR1913140.2578282__1.2578282	214856__A0A174ZEW0__ERS852447_00985
ERR1913140.2578401__1.2578401	1262882__R5MGX3__BN519_00046
ERR1913140.2578468__1.2578468	357276__C3RA36__HMPREF1065_03270
ERR1913140.2578592__1.2578592	2292352__A0A374UKJ4__DXC23_09360
ERR1913140.2578841__1.2578841	823__A0A3E4PAQ2__DDY96_18275
ERR1913140.2578928__1.2578928	348058__GeneID:7353029
ERR1913140.2578901__1.2578901	626940__R6X4D9__HMPREF9443_00471
ERR1913140.2578903__1.2578903	410072__C0BBR9__yqeC
ERR1913140.2578953__1.2578953	1318__A0A3E4U4Y6__essA
ERR1913140.2578986__1.2578986	562__A0A377AAV3__CDL32_10800
ERR1913140.2579029__1.2579029	1262936__R7J1M7__BN799_01868
ERR1913140.2579050__1.2579050	33043__A0A173XM20__ERS852445_01573
ERR1913140.2579070__1.2579070	33043__A0A174AEP1__apr
ERR1913140.2579210__1.2579210	821__A0A396F9T7__M097_3427
ERR1913140.2579371__1.2579371	2293125__A0A374C0K0__DW917_10610
ERR1913140.2579458__1.2579458	166486__D4KZ24__ROSINTL182_05766
ERR1913140.2579542__1.2579542	166486__D4KX18__ROSINTL182_07596
ERR1913140.2579599__1.2579599	1262743__R5C3A8__BN727_00457
ERR1913140.2579613__1.2579613	33043__D5HI50__smf
ERR1913140.2579947__1.2579947	165179__A0A3E5E8M8__DXB80_11580
ERR1913140.2579990__1.2579990	10680__GeneID:1261099
ERR1913140.2580069__1.2580069	905__D2RL47__SAMN05216495_101189
ERR1913140.2580332__1.2580332	907__S7J279__C6Y28_01630
ERR1913140.2580618__1.2580618	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913140.2580719__1.2580719	39491__A0A396FNY7__LD38_16155
ERR1913140.2580948__1.2580948	165179__A0A229I3Z6__PREVCOP_03666
ERR1913140.2581003__1.2581003	166486__D4L1L1__ROSINTL182_05277
ERR1913140.2581057__1.2581057	33043__A0A174BLU4__ERS852386_02221
ERR1913140.2581210__1.2581210	165179__A0A3E5DY64__CFT61_10025
ERR1913140.2581327__1.2581327	357276__I8WAB8__B5F00_08100
ERR1913140.2581497__1.2581497	1897011__A0A1Q6REY1__BHW41_04470
ERR1913140.2581633__1.2581633	823__A6LBY1__ERS852380_00510
ERR1913140.2582057__1.2582057	432201__GeneID:14182722
ERR1913140.2582153__1.2582153	853__A0A174C5M1__CGS58_04460
ERR1913140.2582261__1.2582261	1105031__J1H3W2__HMPREF1141_2783
ERR1913140.2582264__1.2582264	1262936__R7J1H6__BN799_01795
ERR1913140.2582350__1.2582350	166486__D4KVZ0__ERS852572_03130
ERR1913140.2582444__1.2582444	821__A0A3E4WAR6__DXD64_10735
ERR1913140.2582548__1.2582548	1262929__R6F573__BN691_00942
ERR1913140.2582582__1.2582582	626940__E8LCD6__BHW43_01655
ERR1913140.2582662__1.2582662	626940__E8LDM4__mreC
ERR1913140.2582762__1.2582762	905__D2RKQ8__Acfer_1299
ERR1913140.2582781__1.2582781	165179__A0A3E5DRF6__DXC61_00200
ERR1913140.2582906__1.2582906	33043__D5HIU3__ERS852386_01914
ERR1913140.2582948__1.2582948	1262936__R7J158__BN799_01406
ERR1913140.2583147__1.2583147	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913140.2583215__1.2583215	165179__D1P9T6__PREVCOP_04016
ERR1913140.2583397__1.2583397	901__B6WXH1__DESPIGER_1644
ERR1913140.2583426__1.2583426	1262889__R7HAH9__BN634_01158
ERR1913140.2583427__1.2583427	1262886__R6QP39__BN563_00737
ERR1913140.2583470__1.2583470	1262911__R6GSH8__BN557_00939
ERR1913140.2583557__1.2583557	39491__A0A395UZL1__DXB76_05950
ERR1913140.2583573__1.2583573	165179__D1P9T6__PREVCOP_04016
ERR1913140.2583682__1.2583682	1262936__R7J0V7__BN799_01561
ERR1913140.2583917__1.2583917	1124654__GeneID:14005781
ERR1913140.2584001__1.2584001	1263000__R5EC87__BN466_00713
ERR1913140.2584176__1.2584176	165179__A0A229I1J2__DXB80_03950
ERR1913140.2584230__1.2584230	1262959__R5Y6L0__BN680_01484
ERR1913140.2584335__1.2584335	39485__A0A174ZNW9__luxQ_1
ERR1913140.2584435__1.2584435	33043__D5HEK8__lytR_1
ERR1913140.2584439__1.2584439	165179__R6BPK1__DXB80_04445
ERR1913140.2584650__1.2584650	1357825__GeneID:17494398
ERR1913140.2584761__1.2584761	39491__A0A0M6WWT1__dus_2
ERR1913140.2584707__1.2584707	384638__B7ASI3__BACPEC_02038
ERR1913140.2584755__1.2584755	1550024__G9RPP6__ASJ35_08860
ERR1913140.2584822__1.2584822	165179__A0A174W369__PREVCOP_04548
ERR1913140.2584884__1.2584884	1262936__R7IZZ2__BN799_01307
ERR1913140.2584894__1.2584894	165179__R6CNX7__DXB80_02200
ERR1913140.2584904__1.2584904	820__A0A3E4WCX3__C801_02709
ERR1913140.2584959__1.2584959	1262886__R6Q9S2__BN563_00641
ERR1913140.2585263__1.2585263	165179__A0A3E5DV57__DXB80_11400
ERR1913140.2585300__1.2585300	165179__A0A3E5A554__DXB80_13805
ERR1913140.2585379__1.2585379	564886__GeneID:6973115
ERR1913140.2585479__1.2585479	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913140.2585570__1.2585570	10680__GeneID:1261100
ERR1913140.2585621__1.2585621	28117__B0MUY3__BHV66_00515
ERR1913140.2585663__1.2585663	1262929__R6ETU6__BN691_00984
ERR1913140.2585592__1.2585592	328814__GCA_004558275.1_00079
ERR1913140.2585751__1.2585751	165179__R6CJG8__DXC61_09290
ERR1913140.2585694__1.2585694	39486__B0G3L7__DXD82_04335
ERR1913140.2586169__1.2586169	823__A0A174DZM1__DDY96_10310
ERR1913140.2586186__1.2586186	907__G0VRJ9__SAMN04488492_101228
ERR1913140.2586230__1.2586230	1262936__R7IYW6__BN799_00686
ERR1913140.2586395__1.2586395	39491__A0A396FUZ3__phoR_1
ERR1913140.2586430__1.2586430	1262936__R7J5M6__BN799_00272
ERR1913140.2586589__1.2586589	1262963__R6D9I4__BN718_00461
ERR1913140.2586767__1.2586767	166486__A0A173VTG0__ROSINTL182_06283
ERR1913140.2586907__1.2586907	1303__F3V029__B7728_09170
ERR1913140.2586961__1.2586961	1262959__R5XW19__BN680_01841
ERR1913140.2587416__1.2587416	1262882__R5N5C3__BN519_01664
ERR1913140.2587620__1.2587620	165179__D1PE06__DXC61_05975
ERR1913140.2587748__1.2587748	39491__R6UMS6__DXD13_07035
ERR1913140.2587870__1.2587870	39491__A0A2U2EI54__DXD95_12010
ERR1913140.2587882__1.2587882	2173__A0A1D2WRY2__Msm_1736
ERR1913140.2587944__1.2587944	357276__A0A076INK2__BSEG_04225
ERR1913140.2587989__1.2587989	10680__GeneID:1261099
ERR1913140.2588046__1.2588046	166486__D4KZY5__ROSINTL182_07635
ERR1913140.2588290__1.2588290	823__A0A395YQ63__B5F32_15335
ERR1913140.2588438__1.2588438	1147152__GeneID:14182018
ERR1913140.2588454__1.2588454	1262936__R7J1I2__BN799_01776
ERR1913140.2588521__1.2588521	357276__A0A0M1W1I8__ABI39_13620
ERR1913140.2588558__1.2588558	1262911__R6H1J5__BN557_00905
ERR1913140.2588611__1.2588611	1262911__R6H2J2__BN557_01228
ERR1913140.2588754__1.2588754	853__A0A173YYY4__DWZ04_09420
ERR1913140.2588976__1.2588976	1308__A0A1J0HRS7__SMQ301_1679
ERR1913140.2589052__1.2589052	165179__A0A3E5E643__DXB80_06030
ERR1913140.2589040__1.2589040	39491__A0A396FPV7__ERS852580_01177
ERR1913140.2589110__1.2589110	39491__A0A395ZHV7__ykvU
ERR1913140.2589194__1.2589194	1262886__R6QP39__BN563_00737
ERR1913140.2589212__1.2589212	39492__D4JTB5__EUBSIR_01720
ERR1913140.2589327__1.2589327	28117__B0MWC6__BHV66_00965
ERR1913140.2589412__1.2589412	328814__GCA_004558275.1_01846
ERR1913140.2589471__1.2589471	410072__A0A173ZG02__ERS852574_01061
ERR1913140.2589484__1.2589484	562__A0A376L0A6__CQA14_19985
ERR1913140.2589618__1.2589618	905__D2RL60__Acfer_1453
ERR1913140.2589622__1.2589622	360807__A0A1Q6T8A0__mepA_13
ERR1913140.2589702__1.2589702	360807__A0A1Q6T5F1__fliF
ERR1913140.2589708__1.2589708	1262911__R6H2J2__BN557_01228
ERR1913140.2589859__1.2589859	823__E1YR62__HMPREF1059_02331
ERR1913140.2589897__1.2589897	905__D2RLV1__SAMN05216495_11033
