ERR1913202.101__1.101	239935__A0A2N8HBP0__CXT94_04450
ERR1913202.1070294__1.1070294	487174__K0X3L3__DDY40_11345
ERR1913202.1070279__1.1070279	239935__A0A139TVJ4__CXT86_02020
ERR1913202.1070346__1.1070346	214856__I3YPQ4__Alfi_2712
ERR1913202.1070370__1.1070370	214856__A0A173Z1B0__ERS852447_00765
ERR1913202.1070375__1.1070375	239935__A0A2N8IU45__DEF40_02365
ERR1913202.1070501__1.1070501	1262882__R5N3H1__BN519_01121
ERR1913202.1070575__1.1070575	214856__R6Z288__ERS852447_00734
ERR1913202.1070906__1.1070906	214856__I3YPQ4__Alfi_2712
ERR1913202.1070878__1.1070878	1262911__R6GS52__BN557_00834
ERR1913202.1070941__1.1070941	1262882__R5MPY4__BN519_01128
ERR1913202.1070956__1.1070956	214856__I3YPN9__ERS852447_01389
ERR1913202.1071160__1.1071160	28116__A0A139L3C0__C5Z02_05550
ERR1913202.1071191__1.1071191	1034346__A0A2V2FYK1__DES51_106219
ERR1913202.1071319__1.1071319	214856__I3YMC8__ERS852447_02666
ERR1913202.1071833__1.1071833	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.1071873__1.1071873	214856__I3YPQ8__ERS852447_01371
ERR1913202.1071799__1.1071799	214856__R6XUN2__rcsC_1
ERR1913202.1071894__1.1071894	1262882__R5MZF2__BN519_00592
ERR1913202.1071965__1.1071965	1262911__R6H1A6__BN557_01286
ERR1913202.1072152__1.1072152	487174__K0XG81__HMPREF9448_02274
ERR1913202.1072273__1.1072273	214856__R6XS46__ERS852559_00812
ERR1913202.1072470__1.1072470	1262911__R6GMZ7__BN557_01741
ERR1913202.1072682__1.1072682	1262882__R5MM69__BN519_00075
ERR1913202.1072661__1.1072661	1262882__R5N1T9__BN519_00804
ERR1913202.1072702__1.1072702	1897011__A0A1Q6RE92__BHW41_04980
ERR1913202.1072888__1.1072888	214856__A0A173Z1B0__ERS852447_00765
ERR1913202.1072960__1.1072960	487174__K0X524__DDY40_09270
ERR1913202.1072971__1.1072971	214856__R6XUN2__rcsC_1
ERR1913202.1072939__1.1072939	214856__A0A174CRY5__ERS852559_01060
ERR1913202.1072940__1.1072940	1262911__R6H174__BN557_01246
ERR1913202.1073085__1.1073085	649756__L1QBG9__ERS852520_01392
ERR1913202.1073209__1.1073209	214856__R6Z4Q8__ERS852447_00885
ERR1913202.1073433__1.1073433	214856__R6Y8K1__ERS852447_02509
ERR1913202.1073576__1.1073576	214856__R6YD52__ERS852447_02171
ERR1913202.1073672__1.1073672	214856__A0A175A6T5__ERS852447_02658
ERR1913202.1073607__1.1073607	818__A0A174VV39__BT_3492
ERR1913202.1073620__1.1073620	39496__A5Z5I2__EUBVEN_00963
ERR1913202.1073710__1.1073710	1262882__R5MFR3__BN519_00473
ERR1913202.1073785__1.1073785	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.1074111__1.1074111	214856__D4IMT6__Alfi_1830
ERR1913202.1074224__1.1074224	47678__I8UYF7__DW706_16415
ERR1913202.1074911__1.1074911	487174__K0X3A6__HMPREF9448_02725
ERR1913202.1074966__1.1074966	446660__GCA_003428235.1_00291
ERR1913202.1075010__1.1075010	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.1075222__1.1075222	487174__K0WX70__DDY40_01710
ERR1913202.1075293__1.1075293	1262882__R5MEN9__BN519_00201
ERR1913202.1075605__1.1075605	214856__A0A173YXX1__ERS852559_01651
ERR1913202.1075631__1.1075631	214856__R6YC22__ERS852447_01215
ERR1913202.1075799__1.1075799	214856__I3YMB7__Alfi_1811
ERR1913202.1076024__1.1076024	1501391__GCA_000786575.1_00129
ERR1913202.1076043__1.1076043	214856__R6Z288__ERS852447_00734
ERR1913202.1076183__1.1076183	239935__A0A2N8IVR0__CXT87_07115
ERR1913202.1076277__1.1076277	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913202.1076303__1.1076303	487174__K0WX10__DIT83_10030
ERR1913202.1076488__1.1076488	214856__I3YPP9__Alfi_2707
ERR1913202.1076708__1.1076708	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.1076832__1.1076832	1150298__A0A173ZPH3__rnhA
ERR1913202.1076864__1.1076864	214856__A0A174EQR4__rsmA
ERR1913202.1076959__1.1076959	1262882__R5N5J6__BN519_01504
ERR1913202.1077140__1.1077140	214856__R6XQX8__ERS852559_02550
ERR1913202.1077180__1.1077180	214856__I3YMB7__Alfi_1811
ERR1913202.1077670__1.1077670	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.1077809__1.1077809	214856__R6Y2Y4__ERS852447_01086
ERR1913202.1078046__1.1078046	853__A0A2A7A628__CGS57_13755
ERR1913202.1078128__1.1078128	214856__I3YMN6__Alfi_1938
ERR1913202.1078164__1.1078164	47678__R5U2H9__DXB67_10685
ERR1913202.1078385__1.1078385	1262882__R5MYS9__BN519_00290
ERR1913202.1078408__1.1078408	214856__I3YPP3__Alfi_2701
ERR1913202.1078346__1.1078346	214856__I3YPP1__Alfi_2699
ERR1913202.1078365__1.1078365	821__C6ZAA5__ERS852556_00403
ERR1913202.1078626__1.1078626	1262882__R5MFA5__BN519_00331
ERR1913202.1078909__1.1078909	28118__R6G2E8__DHW44_05790
ERR1913202.1078994__1.1078994	214856__R6Z4Q8__ERS852447_00885
ERR1913202.1078999__1.1078999	214856__I3YPN3__ERS852447_01395
ERR1913202.1079013__1.1079013	301302__A0A0M6WCT0__M72_03221
ERR1913202.1079281__1.1079281	214856__I3YPQ6__Alfi_2714
ERR1913202.1079383__1.1079383	214856__I3YMC8__ERS852447_02666
ERR1913202.1079461__1.1079461	39496__A5Z937__EUBVEN_02230
ERR1913202.1079470__1.1079470	214856__R6XKW1__ERS852559_01141
ERR1913202.1079492__1.1079492	214856__R5UN64__ERS852447_02669
ERR1913202.1079526__1.1079526	39488__C0EXY6__ltaS1_2
ERR1913202.1079720__1.1079720	410072__A0A174IQI6__ERS852574_01030
ERR1913202.1080159__1.1080159	1262882__R5MT42__BN519_01729
ERR1913202.1080413__1.1080413	487174__K0WRH0__DDY40_05725
ERR1913202.1080449__1.1080449	214856__R6YC22__ERS852447_01215
ERR1913202.1080471__1.1080471	47678__R5UT83__DW706_09750
ERR1913202.1080628__1.1080628	487174__K0WXB5__DIT83_09520
ERR1913202.1080666__1.1080666	214856__I3YPI7__pepD_1
ERR1913202.1080669__1.1080669	214856__I3YMC8__ERS852447_02666
ERR1913202.1080670__1.1080670	818__A0A0N7I9C8__BT_2965
ERR1913202.1080914__1.1080914	214856__R6Y1K2__ERS852447_02306
ERR1913202.1080917__1.1080917	1501391__GCA_000786575.1_00011
ERR1913202.1081092__1.1081092	487174__K0XLC3__HMPREF9448_01065
ERR1913202.1081103__1.1081103	214856__R6Y6H8__ERS852447_01719
ERR1913202.1081238__1.1081238	214856__I3YPP0__ERS852447_01388
ERR1913202.1081257__1.1081257	214856__R6XQX8__ERS852559_02550
ERR1913202.1081270__1.1081270	214856__I3YPP3__Alfi_2701
ERR1913202.1081404__1.1081404	1262882__R5MIW5__BN519_00945
ERR1913202.1081532__1.1081532	1897011__A0A1Q6RIF5__BHW41_01365
ERR1913202.1081620__1.1081620	214856__A0A174CRY5__ERS852559_01060
ERR1913202.1081694__1.1081694	214856__I3YMN6__Alfi_1938
ERR1913202.1081696__1.1081696	1501391__GCA_000786575.1_00135
ERR1913202.1081990__1.1081990	28118__F9ZAB4__B5F93_06270
ERR1913202.1082047__1.1082047	1262911__R6GMS3__BN557_00579
ERR1913202.1082100__1.1082100	239935__R7E524__CXT91_06180
ERR1913202.1082372__1.1082372	214856__R6XUN2__rcsC_1
ERR1913202.1082395__1.1082395	47678__A5ZEA3__ERS852558_00257
ERR1913202.1082358__1.1082358	214856__I3YPP9__Alfi_2707
ERR1913202.1082446__1.1082446	39488__A0A173UQ83__mutY
ERR1913202.1082577__1.1082577	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1082678__1.1082678	1262882__R5MQ63__BN519_01173
ERR1913202.1082843__1.1082843	1262743__R5C5J9__BN727_01192
ERR1913202.1082776__1.1082776	487174__K0WYI1__DDY40_08675
ERR1913202.1082955__1.1082955	214856__A0A173Z1B0__ERS852447_00765
ERR1913202.1083194__1.1083194	214856__R6XNE7__ERS852447_02267
ERR1913202.1083249__1.1083249	214856__I3YPI7__pepD_1
ERR1913202.1083283__1.1083283	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913202.1083357__1.1083357	487174__K0X1D9__HMPREF9448_00919
ERR1913202.1083555__1.1083555	214856__I3YMC8__ERS852447_02666
ERR1913202.1083564__1.1083564	410072__C0BBR9__yqeC
ERR1913202.1083433__1.1083433	820__A0A3E4WA06__ERS852554_03404
ERR1913202.1083437__1.1083437	214856__A0A174CRY5__ERS852559_01060
ERR1913202.1083826__1.1083826	328813__A0A1Y3QQ66__B5G41_14240
ERR1913202.1083851__1.1083851	28118__F9Z408__NCTC10826_01194
ERR1913202.1083801__1.1083801	818__A0A3E5HNS1__BSIG_0465
ERR1913202.1084116__1.1084116	214856__I3YPP3__Alfi_2701
ERR1913202.1084007__1.1084007	214856__A0A175A6T5__ERS852447_02658
ERR1913202.1084028__1.1084028	214856__A0A175A6T5__ERS852447_02658
ERR1913202.1084161__1.1084161	1262882__R5MGK3__BN519_00655
ERR1913202.1084166__1.1084166	214856__R6XKW1__ERS852559_01141
ERR1913202.1084275__1.1084275	214856__A0A174EQR4__rsmA
ERR1913202.1084227__1.1084227	214856__I3YPN0__ERS852447_01398
ERR1913202.1084434__1.1084434	487174__K0XRA9__HMPREF9448_00572
ERR1913202.1084454__1.1084454	214856__I3YPR6__Alfi_2724
ERR1913202.1084498__1.1084498	328814__GCA_004558275.1_00993
ERR1913202.1084731__1.1084731	1501391__GCA_000786575.1_00133
ERR1913202.1084791__1.1084791	214856__I3YPQ0__ERS852447_01379
ERR1913202.1084823__1.1084823	328814__GCA_004558275.1_00999
ERR1913202.1084947__1.1084947	818__A0A1H7TGM1__BJP75_010615
ERR1913202.1085061__1.1085061	487174__K0X591__DDY40_01805
ERR1913202.1085307__1.1085307	239935__R7DVL7__CXT93_01180
ERR1913202.1085462__1.1085462	1965604__A0A1Y4EPT9__B5F54_10705
ERR1913202.1085398__1.1085398	1262882__R5MFT7__BN519_00494
ERR1913202.1085401__1.1085401	214856__I3YPR6__Alfi_2724
ERR1913202.1085688__1.1085688	214856__I3YPN9__ERS852447_01389
ERR1913202.1085713__1.1085713	214856__I3YMN6__Alfi_1938
ERR1913202.1085900__1.1085900	649756__A0A173TB83__HMPREF0369_01758
ERR1913202.1085891__1.1085891	1262882__R5MMZ6__BN519_00737
ERR1913202.1085968__1.1085968	214856__I3YPI7__pepD_1
ERR1913202.1086059__1.1086059	649756__L1Q9A7__DCR88_02520
ERR1913202.1086268__1.1086268	214856__A0A174ZB00__ERS852559_00631
ERR1913202.1086301__1.1086301	1262882__R5MLP0__BN519_01597
ERR1913202.1086311__1.1086311	214856__R6XP73__ERS852447_00886
ERR1913202.1086418__1.1086418	214856__R6Y9P5__ERS852559_01811
ERR1913202.1086466__1.1086466	487174__K0WRR5__DDY40_06130
ERR1913202.1086548__1.1086548	301302__R5V671__M72_27831
ERR1913202.1086740__1.1086740	28118__F9Z4Y7__DF785_06945
ERR1913202.1087090__1.1087090	1160721__W0U811__RBI_II00162
ERR1913202.1087118__1.1087118	239935__A0A2N8HPS5__Amuc_0950
ERR1913202.1087150__1.1087150	1262882__R5MEW7__BN519_00010
ERR1913202.1087324__1.1087324	47678__A5ZHL2__DXB67_12495
ERR1913202.1087458__1.1087458	1262882__R5N5S3__BN519_00085
ERR1913202.1087506__1.1087506	1262882__R5MMD8__BN519_01576
ERR1913202.1087517__1.1087517	1150298__R7JXH6__mecR1
ERR1913202.1087529__1.1087529	1381__group_451
ERR1913202.1087691__1.1087691	214856__I3YPR6__Alfi_2724
ERR1913202.1087724__1.1087724	47678__R5U819__DW706_12015
ERR1913202.1087784__1.1087784	1501391__GCA_000786575.1_00115
ERR1913202.1087814__1.1087814	1262882__R5MH81__BN519_00748
ERR1913202.1087828__1.1087828	214856__R6XKT4__ERS852559_01719
ERR1913202.1087908__1.1087908	1262882__R5MKF5__BN519_00316
ERR1913202.1087987__1.1087987	214856__R6XQX8__ERS852559_02550
ERR1913202.1088132__1.1088132	214856__I3YPQ0__ERS852447_01379
ERR1913202.1088285__1.1088285	1262882__R5MIW5__BN519_00945
ERR1913202.1088308__1.1088308	214856__R6XS46__ERS852559_00812
ERR1913202.1088389__1.1088389	39496__A5Z7Y6__EUBVEN_01827
ERR1913202.1088391__1.1088391	214856__R6Z4Q8__ERS852447_00885
ERR1913202.1088450__1.1088450	1262882__R5MH82__BN519_00752
ERR1913202.1088523__1.1088523	239935__A0A139TMD2__CXU18_02250
ERR1913202.1088835__1.1088835	1262882__R5MIQ8__BN519_01036
ERR1913202.1089221__1.1089221	291645__I8WZT8__HMPREF1068_04327
ERR1913202.1089289__1.1089289	214856__A0A175A6T5__ERS852447_02658
ERR1913202.1089600__1.1089600	1262882__R5N5D7__BN519_01676
ERR1913202.1089612__1.1089612	214856__I3YPP9__Alfi_2707
ERR1913202.1089703__1.1089703	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1089811__1.1089811	1262882__R5MIY9__BN519_01097
ERR1913202.1089849__1.1089849	47678__A5ZI88__BACCAC_02617
ERR1913202.1090069__1.1090069	1262882__R5N0J9__BN519_00773
ERR1913202.1090073__1.1090073	1897011__A0A1Q6RGC4__BHW41_02800
ERR1913202.1090110__1.1090110	214856__A0A174EJT5__mnmA
ERR1913202.1090153__1.1090153	214856__R6Z5D0__resA_4
ERR1913202.1090188__1.1090188	214856__R6Y7P0__ERS852447_00307
ERR1913202.1090203__1.1090203	1262911__R6H2J2__BN557_01228
ERR1913202.1090253__1.1090253	214856__I3YPP9__Alfi_2707
ERR1913202.1090327__1.1090327	1550024__G9RTE9__ASJ35_09555
ERR1913202.1090331__1.1090331	214856__R6Y1K2__ERS852447_02306
ERR1913202.1090347__1.1090347	239935__A0A2N8IYM5__CXT84_05130
ERR1913202.1090395__1.1090395	47678__R5UG22__ERS852558_01514
ERR1913202.1090519__1.1090519	214856__I3YPQ0__ERS852447_01379
ERR1913202.1090562__1.1090562	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913202.1090740__1.1090740	214856__R6XUN2__rcsC_1
ERR1913202.1090942__1.1090942	214856__A0A173YDP1__ERS852559_00120
ERR1913202.1090952__1.1090952	33025__A0A395J973__C8D73_11010
ERR1913202.1090983__1.1090983	214856__I3YMB7__Alfi_1811
ERR1913202.1091105__1.1091105	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1091152__1.1091152	1262882__R5N2E1__BN519_01117
ERR1913202.1091156__1.1091156	1262911__R6GIB9__BN557_01439
ERR1913202.1091176__1.1091176	1262882__R5MQW1__BN519_01295
ERR1913202.1091323__1.1091323	328814__GCA_004558275.1_00014
ERR1913202.1091387__1.1091387	328814__GCA_004558275.1_00986
ERR1913202.1091488__1.1091488	214856__R6XS46__ERS852559_00812
ERR1913202.1091582__1.1091582	1262882__R5MHZ2__BN519_00742
ERR1913202.1091749__1.1091749	214856__R6XS46__ERS852559_00812
ERR1913202.1091709__1.1091709	214856__R6Z4Q8__ERS852447_00885
ERR1913202.1092036__1.1092036	39492__A0A174ZG93__EUBSIR_00254
ERR1913202.1092001__1.1092001	214856__I3YPP0__ERS852447_01388
ERR1913202.1092062__1.1092062	1965604__A0A1Y4EP83__B5F54_11720
ERR1913202.1092473__1.1092473	1501391__GCA_000786575.1_00073
ERR1913202.1092695__1.1092695	33025__A0A395JEP7__C8D73_10844
ERR1913202.1092699__1.1092699	47678__A5ZB44__C5Z00_17730
ERR1913202.1092867__1.1092867	214856__R6YD52__ERS852447_02171
ERR1913202.1092922__1.1092922	47678__A5ZBM1__pknD_1
ERR1913202.1093110__1.1093110	214856__A0A173YXX1__ERS852559_01651
ERR1913202.1093132__1.1093132	214856__I3YPP9__Alfi_2707
ERR1913202.1093476__1.1093476	239935__R6JD78__CXU05_09250
ERR1913202.1093415__1.1093415	301302__A0A0M6WKN8__M72_27741
ERR1913202.1093430__1.1093430	487174__K0X0F6__HMPREF9448_01444
ERR1913202.1093672__1.1093672	214856__R6Z186__ERS852447_00718
ERR1913202.1093780__1.1093780	214856__I3YMN6__Alfi_1938
ERR1913202.1093790__1.1093790	1262948__R7ECV8__BN671_00727
ERR1913202.1093887__1.1093887	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1093895__1.1093895	239935__A0A2N8IF99__lpdA
ERR1913202.1094051__1.1094051	214856__R6Y1K2__ERS852447_02306
ERR1913202.1094269__1.1094269	39492__D4JT68__spoIIIE
ERR1913202.1094449__1.1094449	214856__R5UN64__ERS852447_02669
ERR1913202.1094739__1.1094739	1262882__R5MYS0__BN519_00284
ERR1913202.1094756__1.1094756	1965604__A0A1Y4F251__B5F54_01900
ERR1913202.1094867__1.1094867	1262882__R5N2A9__BN519_00921
ERR1913202.1094964__1.1094964	239935__A0A2N8I5A2__DEF40_08455
ERR1913202.1095057__1.1095057	214856__R6Z320__ERS852447_02148
ERR1913202.1095244__1.1095244	214856__R6Y6H8__ERS852447_01719
ERR1913202.1095278__1.1095278	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.1095318__1.1095318	487174__K0XA11__DDY40_03585
ERR1913202.1095578__1.1095578	214856__R6XYY8__ERS852447_01722
ERR1913202.1095544__1.1095544	214856__R6Z3P8__ERS852559_01737
ERR1913202.1095758__1.1095758	47678__R5UER2__CGC64_00710
ERR1913202.1095847__1.1095847	1262882__R5MSI7__BN519_01601
ERR1913202.1095947__1.1095947	1262882__R5N5S3__BN519_00085
ERR1913202.1096015__1.1096015	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1096081__1.1096081	1262882__R5MZZ3__BN519_00482
ERR1913202.1096210__1.1096210	214856__I3YPN5__Alfi_2693
ERR1913202.1096255__1.1096255	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.1096345__1.1096345	39488__C0EVP9__ERS852450_03163
ERR1913202.1096486__1.1096486	487174__K0X694__DIT83_09060
ERR1913202.1096593__1.1096593	239935__A0A2N8HEH9__CXU07_11710
ERR1913202.1096746__1.1096746	239935__A0A2N8HT68__ADH72_00510
ERR1913202.1096796__1.1096796	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.1096839__1.1096839	1262882__R5MLE6__BN519_01423
ERR1913202.1096863__1.1096863	1262911__R6HHR1__BN557_01622
ERR1913202.1096869__1.1096869	214856__A0A174CRY5__ERS852559_01060
ERR1913202.1096882__1.1096882	214856__R6Y6H8__ERS852447_01719
ERR1913202.1097352__1.1097352	239935__A0A2N8INK7__Amuc_0521
ERR1913202.1097458__1.1097458	214856__R6XQX8__ERS852559_02550
ERR1913202.1097734__1.1097734	1262882__R5N0Q5__BN519_00642
ERR1913202.1097872__1.1097872	214856__I3YPN3__ERS852447_01395
ERR1913202.1097896__1.1097896	239935__A0A2N8IUW6__Amuc_1525
ERR1913202.1097954__1.1097954	214856__R5UN64__ERS852447_02669
ERR1913202.1098003__1.1098003	214856__R6XKT4__ERS852559_01719
ERR1913202.1098140__1.1098140	1262911__R6GKS1__BN557_00184
ERR1913202.1098203__1.1098203	214856__R6Y1K2__ERS852447_02306
ERR1913202.1098225__1.1098225	214856__R6YBX3__msbA_2
ERR1913202.1098531__1.1098531	28116__A0A078Q626__HMPREF1070_02735
ERR1913202.1098548__1.1098548	410072__A0A173S248__ERS852525_02992
ERR1913202.1098649__1.1098649	328814__GCA_004558275.1_00998
ERR1913202.1098966__1.1098966	1262882__R5MGX3__BN519_00046
ERR1913202.1099045__1.1099045	1235835__R9LCU2__C814_02677
ERR1913202.1099210__1.1099210	301302__A0A0M6WTB1__M72_11101
ERR1913202.1099160__1.1099160	214856__I3YPP3__Alfi_2701
ERR1913202.1099307__1.1099307	214856__A0A174EQR4__rsmA
ERR1913202.1099460__1.1099460	820__A0A3E4G2R7__DXC07_00510
ERR1913202.1099577__1.1099577	1262882__R5MH55__BN519_00725
ERR1913202.1099590__1.1099590	214856__R6XQX8__ERS852559_02550
ERR1913202.1099671__1.1099671	239935__A0A2N8IKW7__pstA
ERR1913202.1099698__1.1099698	47678__A5ZI88__BACCAC_02617
ERR1913202.1099700__1.1099700	40520__U2ENY9__C4886_17680
ERR1913202.1099957__1.1099957	239935__A0A2N8HPX2__CXT90_09930
ERR1913202.1099992__1.1099992	239935__A0A2N8I3G2__CXT89_00720
ERR1913202.1099997__1.1099997	1262882__R5MGX3__BN519_00046
ERR1913202.1100186__1.1100186	214856__I3YMN6__Alfi_1938
ERR1913202.1100174__1.1100174	214856__R5UN64__ERS852447_02669
ERR1913202.1100206__1.1100206	214856__I3YMB7__Alfi_1811
ERR1913202.1100342__1.1100342	328814__GCA_004558275.1_00035
ERR1913202.1100580__1.1100580	1235835__R9LCU2__C814_02677
ERR1913202.1100616__1.1100616	214856__A0A175A1F5__ERS852559_01764
ERR1913202.1100628__1.1100628	239935__A0A3F3K9J9__DEF40_00940
ERR1913202.1100906__1.1100906	818__A0A139L1N9__ERS852430_00647
ERR1913202.1101041__1.1101041	1262988__R7N4Z9__BN816_00543
ERR1913202.1101084__1.1101084	214856__R6YD52__ERS852447_02171
ERR1913202.1101364__1.1101364	214856__A0A174EJT5__mnmA
ERR1913202.1101373__1.1101373	214856__R6Z590__ERS852447_01059
ERR1913202.1101449__1.1101449	214856__R6Z5D0__resA_4
ERR1913202.1101470__1.1101470	1796613__A0A1C7GYD6__A4V03_03700
ERR1913202.1101554__1.1101554	239935__A0A139TMD2__CXU18_02250
ERR1913202.1101783__1.1101783	1501391__GCA_000786575.1_00113
ERR1913202.1102196__1.1102196	39488__A0A174B7Y0__ERS852450_00913
ERR1913202.1102211__1.1102211	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.1102229__1.1102229	189722__E0NQU7__HMPREF0658_0548
ERR1913202.1102267__1.1102267	214856__R6Y6H8__ERS852447_01719
ERR1913202.1102398__1.1102398	214856__R6Y1K2__ERS852447_02306
ERR1913202.1102464__1.1102464	1501391__GCA_000786575.1_00076
ERR1913202.1102438__1.1102438	214856__I3YPN9__ERS852447_01389
ERR1913202.1102474__1.1102474	214856__I3YPP9__Alfi_2707
ERR1913202.1102572__1.1102572	39492__D4JWG3__EUBSIR_00308
ERR1913202.1102603__1.1102603	214856__R5UN64__ERS852447_02669
ERR1913202.1102622__1.1102622	649756__R5Z1V8__HMPREF0369_01554
ERR1913202.1102651__1.1102651	214856__R6Y2Y4__ERS852447_01086
ERR1913202.1102688__1.1102688	28118__F9ZCN1__B5F99_10605
ERR1913202.1102704__1.1102704	214856__R6Y6H8__ERS852447_01719
ERR1913202.1102815__1.1102815	214856__R6XP73__ERS852447_00886
ERR1913202.1103154__1.1103154	1897011__A0A1Q6RE59__BHW41_04605
ERR1913202.1103194__1.1103194	328814__GCA_004558275.1_00035
ERR1913202.1103200__1.1103200	214856__R6Y1K2__ERS852447_02306
ERR1913202.1103210__1.1103210	214856__I3YPP0__ERS852447_01388
ERR1913202.1103227__1.1103227	239935__A0A2N8HB50__CXU17_02615
ERR1913202.1103271__1.1103271	214856__R6Z7Q9__ERS852447_02172
ERR1913202.1103300__1.1103300	1262882__R5MHX6__BN519_00733
ERR1913202.1103359__1.1103359	214856__I3YPN0__ERS852447_01398
ERR1913202.1103410__1.1103410	1262882__R5MYX5__BN519_00333
ERR1913202.1103524__1.1103524	1262882__R5ML49__BN519_01361
ERR1913202.1103654__1.1103654	1262911__R6H2J2__BN557_01228
ERR1913202.1103723__1.1103723	239935__A0A2N8IRW0__A4V05_11620
ERR1913202.1103836__1.1103836	239935__A0A2N8HH03__CXU09_08875
ERR1913202.1103851__1.1103851	239935__A0A2N8ILG3__CXT93_10135
ERR1913202.1103864__1.1103864	214856__D4IMT6__Alfi_1830
ERR1913202.1104100__1.1104100	1262882__R5MKX1__BN519_01297
ERR1913202.1104160__1.1104160	487174__K0WYI1__DDY40_08675
ERR1913202.1104382__1.1104382	214856__R6Z5D0__resA_4
ERR1913202.1104507__1.1104507	239935__A0A2N8IEP3__CXT84_03735
ERR1913202.1104556__1.1104556	214856__R6Y9P5__ERS852559_01811
ERR1913202.1104725__1.1104725	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913202.1104786__1.1104786	214856__A0A174CRY5__ERS852559_01060
ERR1913202.1104807__1.1104807	1262882__R5N511__BN519_01592
ERR1913202.1105058__1.1105058	818__A0A2J6AAA9__NCTC10582_00162
ERR1913202.1105137__1.1105137	214856__R6XQX8__ERS852559_02550
ERR1913202.1105158__1.1105158	214856__I3YPQ3__Alfi_2711
ERR1913202.1105246__1.1105246	487174__K0X1H0__DDY40_11080
ERR1913202.1105251__1.1105251	1262882__R5MQ68__BN519_01178
ERR1913202.1105343__1.1105343	1262882__R5MM25__BN519_00600
ERR1913202.1105371__1.1105371	39496__A5ZAI8__EUBVEN_02735
ERR1913202.1105501__1.1105501	1262911__R6GQ41__BN557_00435
ERR1913202.1105486__1.1105486	214856__R6Z4Q8__ERS852447_00885
ERR1913202.1105492__1.1105492	214856__I3YPR6__Alfi_2724
ERR1913202.1105618__1.1105618	39492__R6SA81__EUBSIR_00402
ERR1913202.1105801__1.1105801	1262882__R5N3T7__BN519_01188
ERR1913202.1105919__1.1105919	214856__R6XTZ7__ERS852447_02314
ERR1913202.1105953__1.1105953	214856__R6YD52__ERS852447_02171
ERR1913202.1106060__1.1106060	214856__I3YPQ3__Alfi_2711
ERR1913202.1106323__1.1106323	1897011__A0A1Q6RI11__BHW41_00845
ERR1913202.1106381__1.1106381	214856__I3YPR6__Alfi_2724
ERR1913202.1106474__1.1106474	214856__R6XS02__ERS852447_01685
ERR1913202.1106533__1.1106533	214856__A0A174C683__ERS852559_00523
ERR1913202.1106554__1.1106554	487174__K0X3L3__DDY40_11345
ERR1913202.1106697__1.1106697	239935__R6JWJ7__CXT94_02580
ERR1913202.1107328__1.1107328	214856__R6XQX8__ERS852559_02550
ERR1913202.1107372__1.1107372	214856__R6XS46__ERS852559_00812
ERR1913202.1107443__1.1107443	1897011__A0A1Q6RH97__BHW41_01945
ERR1913202.1107546__1.1107546	487174__K0XL60__DDY40_11760
ERR1913202.1107682__1.1107682	214856__R6Y6H8__ERS852447_01719
ERR1913202.1107732__1.1107732	1262882__R5MS31__BN519_01529
ERR1913202.1107794__1.1107794	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.1107817__1.1107817	1262882__R5MKI3__BN519_00334
ERR1913202.1107847__1.1107847	1501391__GCA_000786575.1_00018
ERR1913202.1107931__1.1107931	239935__A0A2N8IF99__lpdA
ERR1913202.1107992__1.1107992	1235835__R9LCU2__C814_02677
ERR1913202.1108087__1.1108087	1262882__R5N1R4__BN519_00788
ERR1913202.1108135__1.1108135	214856__R6Z288__ERS852447_00734
ERR1913202.1108140__1.1108140	214856__R6Y7P0__ERS852447_00307
ERR1913202.1108156__1.1108156	214856__I3YPN5__Alfi_2693
ERR1913202.1108243__1.1108243	214856__A0A174EJT5__mnmA
ERR1913202.1108349__1.1108349	214856__I3YPR6__Alfi_2724
ERR1913202.1108405__1.1108405	239935__A0A3F3K9J9__DEF40_00940
ERR1913202.1108462__1.1108462	328814__GCA_004558275.1_00834
ERR1913202.1108536__1.1108536	214856__I3YPI7__pepD_1
ERR1913202.1108618__1.1108618	1897011__A0A1Q6RG59__BHW41_02475
ERR1913202.1108787__1.1108787	214856__R5UN64__ERS852447_02669
ERR1913202.1108800__1.1108800	1262882__R5N0C3__BN519_00731
ERR1913202.1109431__1.1109431	47678__R5U7X8__C5Z00_18270
