ERR1913073.257__1.257	1463165__A0A1D3KJ47__BME69_05190
ERR1913073.3839429__1.3839429	39485__R5ZNS8__rsmG
ERR1913073.3839357__1.3839357	39491__A0A173VYV1__DXC13_02710
ERR1913073.3839468__1.3839468	39488__A0A374NKN1__ltaS_2
ERR1913073.3839575__1.3839575	40518__R5DLU0__fmt
ERR1913073.3839786__1.3839786	40518__R5DX31__DXD86_09775
ERR1913073.3840090__1.3840090	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.3840390__1.3840390	820__A0A139KH21__DXC80_01780
ERR1913073.3840454__1.3840454	39491__D6E2U1__EUBREC_3278
ERR1913073.3840583__1.3840583	39491__A0A174K9A3__DXB69_07785
ERR1913073.3840783__1.3840783	310298__B3JF96__BACCOP_00544
ERR1913073.3840993__1.3840993	310298__B3JFK4__BACCOP_00654
ERR1913073.3841105__1.3841105	821__A0A3E4HP25__SAMN04487923_102450
ERR1913073.3841124__1.3841124	218538__C9LNL5__GCWU000321_01138
ERR1913073.3841303__1.3841303	39491__A0A395V1R3__T1815_08181
ERR1913073.3841319__1.3841319	204516__U6RPN2__HMPREF1534_00368
ERR1913073.3841324__1.3841324	820__A7V092__hldE
ERR1913073.3841338__1.3841338	39491__A0A395ZJZ1__LD38_01870
ERR1913073.3841544__1.3841544	410072__C0B9G6__ERS852481_03113
ERR1913073.3841583__1.3841583	649756__L1Q069__CL2_23450
ERR1913073.3841623__1.3841623	1262992__R5DE42__BN795_00179
ERR1913073.3841764__1.3841764	1304__T0SYC6__TZ98_01429
ERR1913073.3841824__1.3841824	1304__A0A074JI15__NCTC7366_01891
ERR1913073.3841861__1.3841861	47678__R5V127__HMPREF1061_04334
ERR1913073.3841994__1.3841994	563038__E9FPE9__HMPREF0851_01678
ERR1913073.3842108__1.3842108	1150298__A0A174EA00__ERS852406_01720
ERR1913073.3842080__1.3842080	40518__R5DS23__DXD86_01715
ERR1913073.3842319__1.3842319	1680__A0A087DLC6__C8077_00815
ERR1913073.3842556__1.3842556	40518__R5DZU5__RBL263_00458
ERR1913073.3842559__1.3842559	28117__B0MXR1__BHV66_08035
ERR1913073.3842764__1.3842764	40518__R5DTJ1__DXD86_03635
ERR1913073.3842714__1.3842714	39491__A0A396FGM9__fliU_1
ERR1913073.3842731__1.3842731	33043__D5HFE3__lacR
ERR1913073.3842830__1.3842830	1686__B6XVK6__BBCT_1418
ERR1913073.3842856__1.3842856	1262992__R5D7H2__BN795_00443
ERR1913073.3843028__1.3843028	40518__R5DU52__RB5AMG_02245
ERR1913073.3843046__1.3843046	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913073.3843082__1.3843082	39491__A0A0M6WWT1__dus_2
ERR1913073.3843117__1.3843117	40518__R5E6U1__yunB
ERR1913073.3843334__1.3843334	1304__T0T9N5__CQA85_09935
ERR1913073.3843498__1.3843498	1304__T0T9N5__CQA85_09935
ERR1913073.3843409__1.3843409	28026__A0A173XWB0__DXD87_06855
ERR1913073.3843589__1.3843589	1150298__A0A174PLY5__ERS852406_01056
ERR1913073.3843625__1.3843625	1263109__GCA_000438135.1_01395
ERR1913073.3843828__1.3843828	39491__A0A396FEW6__T1815_18721
ERR1913073.3843795__1.3843795	1150298__A0A174PXR1__ERS852406_02747
ERR1913073.3843925__1.3843925	218538__C9LQG6__GCWU000321_01798
ERR1913073.3843963__1.3843963	39491__A0A396FNY7__LD38_16155
ERR1913073.3844096__1.3844096	1304__A0A110Z5J8__SSALIVM18_06191
ERR1913073.3844217__1.3844217	40518__R5E5W1__RBL263_01034
ERR1913073.3844728__1.3844728	40520__R7D6X4__addA
ERR1913073.3844737__1.3844737	40518__R5DWQ2__DXD93_03810
ERR1913073.3844790__1.3844790	39491__D6E118__DXB69_05765
ERR1913073.3844938__1.3844938	338188__A0A174ETX3__ERS852397_01955
ERR1913073.3845056__1.3845056	310298__B3JFH4__BACCOP_00624
ERR1913073.3845123__1.3845123	410072__C0BC38__ERS852574_02017
ERR1913073.3845185__1.3845185	40518__R5E4E8__phoR_4
ERR1913073.3845202__1.3845202	853__A0A2A7AXC8__C4N21_14120
ERR1913073.3845212__1.3845212	1680__R5GMB5__AD0028_1137
ERR1913073.3845247__1.3845247	1262873__R6W962__BN605_01040
ERR1913073.3845276__1.3845276	1304__J7SI29__DL08_08910
ERR1913073.3845727__1.3845727	1680__R5GRA4__ERS852382_01548
ERR1913073.3845710__1.3845710	821__A0A396F598__CUU_3259
ERR1913073.3845969__1.3845969	821__A0A0P0L8F8__ERS852509_03705
ERR1913073.3846276__1.3846276	39492__D4JRM9__bglB_2
ERR1913073.3846341__1.3846341	1304__F8LHY7__pspA_6
ERR1913073.3846374__1.3846374	487174__K0WS78__HMPREF9448_02825
ERR1913073.3846522__1.3846522	310298__B3JQJ5__BACCOP_04231
ERR1913073.3846573__1.3846573	1304__W3Y6R6__RSSL_01366
ERR1913073.3846602__1.3846602	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.3846633__1.3846633	246787__R6KM92__AA416_01456
ERR1913073.3846694__1.3846694	821__A0A397WGD6__M098_0084
ERR1913073.3846765__1.3846765	39491__A0A395ZHW9__DXC13_02590
ERR1913073.3846860__1.3846860	820__A0A173YYG4__evgS_3
ERR1913073.3847024__1.3847024	301301__A0A395V4X8__ERS852391_01546
ERR1913073.3847102__1.3847102	1680__R5GRA4__ERS852382_01548
ERR1913073.3847113__1.3847113	40518__R5E4X5__RB5AMG_01438
ERR1913073.3847138__1.3847138	28117__B0MTW8__ALIPUT_00502
ERR1913073.3847174__1.3847174	630129__A0A087B5Z4__BBKW_1208
ERR1913073.3847183__1.3847183	39491__A0A173RA59__EUR_24800
ERR1913073.3847276__1.3847276	40518__R5E426__DXD93_04485
ERR1913073.3847341__1.3847341	410072__A0A173XQG6__ERS852574_01620
ERR1913073.3847413__1.3847413	40518__R5DNI6__RBATCC27255_00844
ERR1913073.3847463__1.3847463	905__D2RN14__Acfer_2088
ERR1913073.3847456__1.3847456	1318__E8K6Z8__gtfB
ERR1913073.3847493__1.3847493	28117__B0MWX3__BHV66_03010
ERR1913073.3847526__1.3847526	40518__R5DVV1__RBATCC27255_00999
ERR1913073.3847733__1.3847733	39491__A0A395UVM9__DXB76_04540
ERR1913073.3847749__1.3847749	1150298__A0A173W9F4__ERS852498_02567
ERR1913073.3847795__1.3847795	1304__A0A074IZ18__rr13_5
ERR1913073.3847917__1.3847917	40518__R5E6X5__sbcD
ERR1913073.3848016__1.3848016	28117__R7JH62__BHV66_05735
ERR1913073.3848028__1.3848028	40518__R5DLJ7__lytR_4
ERR1913073.3848125__1.3848125	1150298__A0A174HIS8__ERS852535_00284
ERR1913073.3848219__1.3848219	39491__A0A396FF17__EUR_31400
ERR1913073.3848197__1.3848197	100886__A0A174LEG5__ERS852383_05606
ERR1913073.3848323__1.3848323	1263109__GCA_000438135.1_01592
ERR1913073.3848381__1.3848381	28117__B0MWP2__ALIPUT_01468
ERR1913073.3848353__1.3848353	40518__R5DVL2__penA
ERR1913073.3848415__1.3848415	1318__W1VIP5__HMPREF9626_0938
ERR1913073.3848495__1.3848495	39491__A0A395V5R3__EUBREC_1883
ERR1913073.3848510__1.3848510	39491__A0A173U0X0__DXB72_05865
ERR1913073.3848683__1.3848683	1304__A0A1V0GHL6__AWB63_08335
ERR1913073.3848748__1.3848748	40518__R5DME2__DXD86_07315
ERR1913073.3848768__1.3848768	39491__A0A396FF17__EUR_31400
ERR1913073.3848843__1.3848843	214856__I3YPI7__pepD_1
ERR1913073.3848854__1.3848854	1680__A0A3E4SB79__BAD_1517
ERR1913073.3849003__1.3849003	1680__A0A087DHN0__AL0462_1532
ERR1913073.3849020__1.3849020	487175__R5EF92__HMPREF9439_00378
ERR1913073.3849096__1.3849096	28116__A7LYG5__M089_5828
ERR1913073.3849101__1.3849101	39491__A0A0M6WNS5__DXC13_02015
ERR1913073.3849105__1.3849105	821__A0A0P0M6M0__M097_4734
ERR1913073.3849261__1.3849261	1304__J7TYF2__hk13_3
ERR1913073.3849350__1.3849350	33043__A0A173QUA9__ERS852400_01795
ERR1913073.3849444__1.3849444	1150298__R7JVR8__ERS852498_01126
ERR1913073.3849476__1.3849476	40518__R5E328__DXD86_08885
ERR1913073.3849538__1.3849538	39491__A0A396FEW6__T1815_18721
ERR1913073.3849593__1.3849593	39491__A0A174K265__DXB76_05915
ERR1913073.3849620__1.3849620	1304__J7TGU8__Ssal_02017
ERR1913073.3849697__1.3849697	68892__E8JY71__comM
ERR1913073.3849827__1.3849827	310298__B3JQL6__BACCOP_04252
ERR1913073.3849972__1.3849972	40518__R5DZE2__DXD86_07400
ERR1913073.3850035__1.3850035	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913073.3850039__1.3850039	1150298__A0A174PA84__sigM
ERR1913073.3850214__1.3850214	357276__A0A0M1W657__HMPREF1064_04629
ERR1913073.3850293__1.3850293	218538__C9LQ77__GCWU000321_01709
ERR1913073.3850307__1.3850307	40518__A0A2N0UUY0__DXD83_02620
ERR1913073.3850456__1.3850456	1318__E8K6Z8__gtfB
ERR1913073.3850417__1.3850417	573__A0A1D3U280__BN426_0261
ERR1913073.3850554__1.3850554	40518__R5DR39__mreB_2
ERR1913073.3850764__1.3850764	40518__R5DR72__RBL236_02110
ERR1913073.3850860__1.3850860	39491__A0A395ZDC6__addB
ERR1913073.3850844__1.3850844	33043__D5HI36__ERS852400_02168
ERR1913073.3851004__1.3851004	100886__A0A174HWV3__CATMIT_01864
ERR1913073.3851089__1.3851089	28117__B0MXU0__BHV66_07550
ERR1913073.3851220__1.3851220	1150298__A0A174K7D2__ERS852498_01147
ERR1913073.3851208__1.3851208	357276__C3REQ8__GV66_09740
ERR1913073.3851365__1.3851365	1680__A0A0C2YPV2__AL0462_1474
ERR1913073.3851394__1.3851394	1263109__GCA_000438135.1_01182
ERR1913073.3851475__1.3851475	39491__A0A395UYA6__EUBREC_0408
ERR1913073.3851614__1.3851614	1263109__GCA_000438135.1_00602
ERR1913073.3851653__1.3851653	33043__A0A173YLD4__ERS852575_00535
ERR1913073.3851799__1.3851799	40518__R5DM08__DXD83_06415
ERR1913073.3851869__1.3851869	853__A0A173YYY4__DWZ04_09420
ERR1913073.3851844__1.3851844	853__A0A2A7B9I6__DW855_13690
ERR1913073.3851937__1.3851937	39491__A0A395ZHH5__ERS852497_02076
ERR1913073.3852093__1.3852093	216816__A0A133LQN7__BL15B_00780
ERR1913073.3852174__1.3852174	214856__A0A174BE12__ERS852559_01398
ERR1913073.3852224__1.3852224	40518__R5DR96__RBATCC27255_01185
ERR1913073.3852340__1.3852340	39491__A0A174LTW7__DXD13_08720
ERR1913073.3852383__1.3852383	1776045__A0A0U5J7K7__BN3456_00132
ERR1913073.3852575__1.3852575	310298__B3JNH3__BACCOP_03486
ERR1913073.3852611__1.3852611	1680__A0A2R4G1K8__BBMN23_0315
ERR1913073.3852645__1.3852645	853__A0A173XRA8__CGS56_09290
ERR1913073.3852683__1.3852683	40518__R5DY98__mepA_5
ERR1913073.3852714__1.3852714	218538__C9LQG5__GCWU000321_01796
ERR1913073.3852774__1.3852774	39491__A0A396FUZ3__phoR_1
ERR1913073.3852818__1.3852818	853__A0A2A7B9I6__DW855_13690
ERR1913073.3852879__1.3852879	39491__C4ZAT2__ERE_28440
ERR1913073.3853152__1.3853152	40518__R5DT16__ysdC_2
ERR1913073.3853278__1.3853278	630129__A0A087B5Z5__BKAS_1297
ERR1913073.3853406__1.3853406	1628085__A0A374VRN8__C7386_10280
ERR1913073.3853557__1.3853557	1263109__GCA_000438135.1_00331
ERR1913073.3853559__1.3853559	39485__C4Z5L8__ERS852490_00665
ERR1913073.3853636__1.3853636	218538__C9LNQ3__GCWU000321_01176
ERR1913073.3853703__1.3853703	214856__A0A173W3Y5__ERS852559_02032
ERR1913073.3853840__1.3853840	28117__B0MYW5__ALIPUT_02334
ERR1913073.3853863__1.3853863	39491__C4ZF05__vpr
ERR1913073.3853867__1.3853867	820__A0A374MMF0__HMPREF1073_03811
ERR1913073.3853892__1.3853892	47678__R5UAF6__ERS852494_02966
ERR1913073.3853942__1.3853942	1262911__R6H1K1__BN557_00910
ERR1913073.3854036__1.3854036	853__A0A174CVG7__CGS58_09335
ERR1913073.3854016__1.3854016	40518__R5DNY7__RBATCC27255_00367
ERR1913073.3854022__1.3854022	301301__A0A395V8M7__ERS852391_00967
ERR1913073.3854088__1.3854088	1686__B6XVK6__BBCT_1418
ERR1913073.3854177__1.3854177	1150298__A0A174HHW8__yhbU_1
ERR1913073.3854160__1.3854160	1304__J7TU69__A6J87_07685
ERR1913073.3854137__1.3854137	40518__R5DZ88__DXD93_06320
ERR1913073.3854282__1.3854282	1262911__R6GSH0__BN557_00934
ERR1913073.3854295__1.3854295	33043__A0A174H5E3__ERS852400_02880
ERR1913073.3854298__1.3854298	39491__A0A395V0X2__EUBREC_3007
ERR1913073.3854428__1.3854428	821__R7P1Q7__M099_2990
ERR1913073.3854490__1.3854490	1304__A0A074IWL1__HSISS4_00909
ERR1913073.3854578__1.3854578	1150298__A0A174KW35__cbbX
ERR1913073.3854638__1.3854638	137732__GCF_000162475.2_00788
ERR1913073.3854784__1.3854784	214856__A0A173YE57__ERS852559_00126
ERR1913073.3854807__1.3854807	35833__E5Y5T5__HMPREF0179_01548
ERR1913073.3854823__1.3854823	1862668__GCA_001945525.1_00021
ERR1913073.3854826__1.3854826	1628085__A0A2U1BAW1__C7386_11048
ERR1913073.3854908__1.3854908	487174__K0X524__DDY40_09270
ERR1913073.3854916__1.3854916	1263109__GCA_000438135.1_00668
ERR1913073.3854921__1.3854921	39491__A0A395UWA3__DXB69_11805
ERR1913073.3855177__1.3855177	1304__T0T9N5__CQA85_09935
ERR1913073.3855221__1.3855221	40518__R5E0F2__RBATCC27255_01890
ERR1913073.3855237__1.3855237	1262911__R6HN81__BN557_00921
ERR1913073.3855248__1.3855248	821__A6L0C7__ERS852556_03520
ERR1913073.3855277__1.3855277	1304__J7TGU8__Ssal_02017
ERR1913073.3855342__1.3855342	310298__B3JF96__BACCOP_00544
ERR1913073.3855309__1.3855309	40518__R5DQK2__DXD93_03730
ERR1913073.3855321__1.3855321	1150298__R7JUS5__soxS_1
ERR1913073.3855363__1.3855363	39491__A0A396FQV7__T1815_10751
ERR1913073.3855399__1.3855399	820__A7V049__DXB48_04755
ERR1913073.3855516__1.3855516	821__A0A395UNT8__DXD64_15275
ERR1913073.3855587__1.3855587	357276__A0A076IKP2__HMPREF1063_00218
ERR1913073.3855658__1.3855658	820__A0A174M9V5__M093_0237
ERR1913073.3855662__1.3855662	204516__U6REI9__HMPREF1534_02357
ERR1913073.3855633__1.3855633	1150298__R7JUX4__ERS852535_02669
ERR1913073.3855715__1.3855715	1304__J7SHP5__SALIVA_1499
ERR1913073.3855896__1.3855896	1263107__GCA_000436995.1_00228
ERR1913073.3855902__1.3855902	1262746__R5SS80__BN750_02125
ERR1913073.3855977__1.3855977	310298__B3JQL6__BACCOP_04252
ERR1913073.3856029__1.3856029	1304__Q55242__V471_04485
ERR1913073.3856091__1.3856091	712622__X8HL73__HMPREF9184_00320
ERR1913073.3856186__1.3856186	246787__R6LGA6__tmoS_11
ERR1913073.3856242__1.3856242	40518__R5DYM0__DXD86_08165
ERR1913073.3856623__1.3856623	1680__A7A2Y2__NCTC11814_00537
ERR1913073.3856672__1.3856672	39491__C4ZHS4__EUR_24420
ERR1913073.3856627__1.3856627	301301__A0A395VAX9__ERS852391_01264
ERR1913073.3856740__1.3856740	214856__A0A174BBG7__ERS852447_01289
ERR1913073.3856788__1.3856788	156456__G9YIG0__HMPREF0080_01452
ERR1913073.3856826__1.3856826	47678__A5ZI88__BACCAC_02617
ERR1913073.3856829__1.3856829	39491__A0A396FKI0__DXC13_11560
ERR1913073.3856838__1.3856838	40518__R5DME2__DXD86_07315
ERR1913073.3856974__1.3856974	823__A0A355XNV2__DXB14_15920
ERR1913073.3856994__1.3856994	410072__A0A3E4GRE0__DXD67_07105
ERR1913073.3857026__1.3857026	1304__J7SI54__NCTC7366_00129
ERR1913073.3857099__1.3857099	821__A0A173XDD3__DXB82_17180
ERR1913073.3857053__1.3857053	39491__C4Z9K0__DXD95_07445
ERR1913073.3857055__1.3857055	40518__R5DXI4__DXD86_07420
ERR1913073.3857153__1.3857153	1680__A0A0B5BL52__ERS852382_00480
ERR1913073.3857255__1.3857255	88431__A0A173VJL7__ERS852526_01348
ERR1913073.3857316__1.3857316	905__D2RMT2__SAMN05216495_10775
ERR1913073.3857373__1.3857373	823__D0TGD9__hpt
ERR1913073.3857393__1.3857393	853__A0A3E2U7E6__ERS852582_01640
ERR1913073.3857453__1.3857453	216816__Q8G4X6__DXD52_09895
ERR1913073.3857555__1.3857555	40518__R5DUJ5__DXD83_01635
ERR1913073.3857825__1.3857825	1535__A7VY52__CLOLEP_03528
ERR1913073.3857877__1.3857877	821__A0A395UNT8__DXD64_15275
ERR1913073.3857953__1.3857953	1263109__GCA_000438135.1_00668
ERR1913073.3858144__1.3858144	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.3858175__1.3858175	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.3858312__1.3858312	40518__R5DVU7__RBL236_00839
ERR1913073.3858402__1.3858402	214856__A0A174ZED5__ERS852559_00591
ERR1913073.3858519__1.3858519	39491__A0A174K1W6__DXB99_15020
ERR1913073.3858718__1.3858718	28117__R7JIY2__BHV66_06465
ERR1913073.3858720__1.3858720	88431__A0A174LBC0__DORLON_00105
ERR1913073.3858864__1.3858864	853__A0A173T8T3__DW882_06555
ERR1913073.3858892__1.3858892	218538__C9LR41__GCWU000321_00309
ERR1913073.3858975__1.3858975	39491__A0A395V5R3__EUBREC_1883
ERR1913073.3859091__1.3859091	1304__F8HDB1__CYK22_03350
ERR1913073.3859207__1.3859207	216816__Q8G585__APC1473_0508
ERR1913073.3859238__1.3859238	74426__pflB_2
ERR1913073.3859279__1.3859279	40518__R5DYU1__DXD86_01160
ERR1913073.3859292__1.3859292	40518__R5DR96__RBATCC27255_01185
ERR1913073.3859385__1.3859385	28117__B0MU76__ALIPUT_00202
ERR1913073.3859417__1.3859417	820__A7VAR9__ERS852421_00197
ERR1913073.3859539__1.3859539	218538__C9LNL5__GCWU000321_01138
ERR1913073.3859660__1.3859660	40518__R5DLU0__fmt
ERR1913073.3859760__1.3859760	1263109__GCA_000438135.1_00334
ERR1913073.3859849__1.3859849	1304__F8HCW1__SSAL8618_02785
ERR1913073.3859887__1.3859887	1304__Q9ZI21__SALIVA_0269
ERR1913073.3859983__1.3859983	33043__D5HHE4__ERS852445_02332
ERR1913073.3860109__1.3860109	39491__A0A396FM36__DXB99_00820
ERR1913073.3860149__1.3860149	905__D2RL93__Acfer_1486
ERR1913073.3860162__1.3860162	1472761__GCA_002159295.1_00744
ERR1913073.3860164__1.3860164	214856__R6Y2Y4__ERS852447_01086
ERR1913073.3860202__1.3860202	1150298__R7JUW7__ERS852406_02089
ERR1913073.3860226__1.3860226	1263109__GCA_000438135.1_00602
ERR1913073.3860303__1.3860303	1680__A1A0V3__C8077_03025
ERR1913073.3860461__1.3860461	40518__R5DS17__RBATCC27255_00416
ERR1913073.3860478__1.3860478	1304__F8LI16__TZ99_00065
ERR1913073.3860527__1.3860527	1628085__A0A2U1BE16__C7386_104119
ERR1913073.3860596__1.3860596	39492__D4JT87__clpC
ERR1913073.3860711__1.3860711	28118__R6FET8__DHW44_06635
ERR1913073.3860760__1.3860760	1150298__A0A174FT13__ERS852406_02197
ERR1913073.3860835__1.3860835	39491__A0A395V0E5__ERE_31370
ERR1913073.3860836__1.3860836	100886__E2NPH8__CATMIT_00469
ERR1913073.3860864__1.3860864	1263109__GCA_000438135.1_01435
ERR1913073.3860915__1.3860915	39491__A0A173TAZ5__DXB99_09520
ERR1913073.3860974__1.3860974	40518__R5DZ88__DXD93_06320
ERR1913073.3861038__1.3861038	310298__B3JK97__BACCOP_02326
ERR1913073.3861092__1.3861092	40518__R5DLM5__RB5AMG_00422
ERR1913073.3861182__1.3861182	671232__A0A0E9EXU6__atpF
ERR1913073.3861327__1.3861327	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913073.3861364__1.3861364	33043__A0A174B7D6__ERS852400_01331
ERR1913073.3861385__1.3861385	1150298__R7JTY5__ERS852406_02079
ERR1913073.3861457__1.3861457	33043__D5HH72__ERS852445_02265
ERR1913073.3861509__1.3861509	28117__B0MXG8__ALIPUT_01814
ERR1913073.3861518__1.3861518	116085__D4J7N3__DW747_15125
ERR1913073.3861587__1.3861587	40518__R5DZM6__lytR_3
ERR1913073.3861600__1.3861600	821__A0A395UNT8__DXD64_15275
ERR1913073.3861625__1.3861625	40518__R5DZM6__lytR_3
ERR1913073.3861913__1.3861913	28117__B0MWP2__ALIPUT_01468
ERR1913073.3861899__1.3861899	39491__A0A173U130__ERE_16110
ERR1913073.3861993__1.3861993	40518__R5E7S2__RBL263_00671
ERR1913073.3862126__1.3862126	1262911__R6H1M1__BN557_00925
ERR1913073.3862282__1.3862282	1263109__GCA_000438135.1_00485
ERR1913073.3862301__1.3862301	1262992__R5DC38__BN795_00276
ERR1913073.3862422__1.3862422	47678__R5U8Y1__BACCAC_02615
ERR1913073.3862528__1.3862528	216816__C2GUV2__APC1478_0430
ERR1913073.3862539__1.3862539	246787__R6LGA6__tmoS_11
ERR1913073.3862619__1.3862619	39491__A0A395V5R3__EUBREC_1883
ERR1913073.3862627__1.3862627	39485__A0A175A023__yhhT
ERR1913073.3862574__1.3862574	1683__C4FEM4__BIANG_0131
ERR1913073.3862739__1.3862739	853__A0A173TAZ8__DWZ46_14590
ERR1913073.3862929__1.3862929	1304__A0A1V0GIJ4__SALIVB_0248
ERR1913073.3863084__1.3863084	1304__A0A2I1TK21__TZ99_00611
ERR1913073.3863096__1.3863096	40518__R5DVL2__penA
ERR1913073.3863135__1.3863135	28118__R6FD01__B5F99_06665
ERR1913073.3863222__1.3863222	1263109__GCA_000438135.1_00036
ERR1913073.3863351__1.3863351	39491__A0A395ZDC6__addB
ERR1913073.3863388__1.3863388	39491__A0A395UZL1__DXB76_05950
ERR1913073.3863418__1.3863418	1304__A0A1V0H6X5__CQA85_03155
ERR1913073.3863409__1.3863409	39491__A0A396FF17__EUR_31400
ERR1913073.3863449__1.3863449	10679__GeneID:1261534
ERR1913073.3863574__1.3863574	214856__A0A175A6T5__ERS852447_02658
ERR1913073.3863603__1.3863603	40518__R5DRG6__ylbJ
ERR1913073.3863624__1.3863624	1263107__GCA_000436995.1_00223
ERR1913073.3863846__1.3863846	40518__R5E0F2__RBATCC27255_01890
ERR1913073.3863866__1.3863866	1535__A7VNP5__CH238_15100
ERR1913073.3864213__1.3864213	39491__A0A396FGM9__fliU_1
ERR1913073.3864243__1.3864243	1235835__R9LCU2__C814_02677
ERR1913073.3864281__1.3864281	1304__A0A1W5ZD60__TZ99_01678
ERR1913073.3864326__1.3864326	487175__R6A8J0__HMPREF9439_01209
ERR1913073.3864392__1.3864392	821__A0A0P0LH09__ERS852457_03390
ERR1913073.3864398__1.3864398	40518__R5DTG5__RBATCC27255_00890
ERR1913073.3864493__1.3864493	40518__R5DUU0__DXD93_03985
ERR1913073.3864570__1.3864570	40518__R5E1J2__DXD93_04070
ERR1913073.3864709__1.3864709	1680__R5GSL8__DXD60_03315
ERR1913073.3864759__1.3864759	310298__B3JNH3__BACCOP_03486
ERR1913073.3864883__1.3864883	1686__B6XTQ5__B5782_1168
ERR1913073.3864999__1.3864999	1262911__R6H1P0__BN557_00940
ERR1913073.3865270__1.3865270	39491__A0A396FPV7__ERS852580_01177
ERR1913073.3865311__1.3865311	1343__E8KV69__DXC09_07515
ERR1913073.3865319__1.3865319	39491__C4ZCV5__DXB99_11855
ERR1913073.3865422__1.3865422	28117__B0MWP2__ALIPUT_01468
ERR1913073.3865798__1.3865798	821__A0A174V2F3__NCTC10583_01474
ERR1913073.3865834__1.3865834	853__A0A2J4JL53__CRH10_10795
ERR1913073.3865946__1.3865946	39491__A0A174A751__DXB69_15525
ERR1913073.3865955__1.3865955	821__A0A3E4KIM1__M097_3660
ERR1913073.3866015__1.3866015	40520__R7D6X4__addA
ERR1913073.3866024__1.3866024	1686__B6XVJ5__BBCT_1409
ERR1913073.3866077__1.3866077	214856__A0A173W3Y5__ERS852559_02032
ERR1913073.3866090__1.3866090	1304__A0A0Y1WH36__STRSA0001_0605
ERR1913073.3866268__1.3866268	821__R7P1Q7__M099_2990
ERR1913073.3866340__1.3866340	1680__A7A8N9__BBMN23_1271
ERR1913073.3866384__1.3866384	1262746__R5S265__BN750_01952
ERR1913073.3866429__1.3866429	1263109__GCA_000438135.1_01683
ERR1913073.3866445__1.3866445	821__E5UY21__C800_02204
ERR1913073.3866465__1.3866465	1262992__R5DCU3__BN795_00404
ERR1913073.3866498__1.3866498	39491__A0A395V6A3__DXB69_00505
ERR1913073.3866578__1.3866578	39491__A0A395UZ82__EUR_31520
ERR1913073.3866631__1.3866631	1262992__R5CY89__BN795_01227
ERR1913073.3866805__1.3866805	214856__A0A173YE57__ERS852559_00126
ERR1913073.3866872__1.3866872	310298__B3JH76__BACCOP_01230
ERR1913073.3866960__1.3866960	40518__R5DY98__mepA_5
ERR1913073.3867082__1.3867082	216816__A0A1S2VTC3__BLIC_e00847
ERR1913073.3867181__1.3867181	218538__C9LQR2__GCWU000321_01894
ERR1913073.3867225__1.3867225	40518__R5DS23__DXD86_01715
ERR1913073.3867251__1.3867251	35833__E5Y2K0__HMPREF0179_00411
ERR1913073.3867183__1.3867183	821__A0A174WBC9__ERS852556_03145
ERR1913073.3867186__1.3867186	40518__R5DS23__DXD86_01715
ERR1913073.3867330__1.3867330	1150298__A0A174N5I7__ERS852498_01953
ERR1913073.3867333__1.3867333	821__E5UY21__C800_02204
ERR1913073.3867380__1.3867380	820__A0A139JY23__B5G17_06330
ERR1913073.3867397__1.3867397	1263109__GCA_000438135.1_00036
ERR1913073.3867413__1.3867413	1150298__A0A174Q3G7__hyaD_2
ERR1913073.3867418__1.3867418	853__A0A173T6P2__DWZ46_14595
ERR1913073.3867426__1.3867426	28117__R7JLL3__ALIPUT_02219
ERR1913073.3867765__1.3867765	1739491__J1DK07__HMPREF2987_07410
ERR1913073.3867788__1.3867788	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913073.3867797__1.3867797	820__A0A3E4G2R7__DXC07_00510
ERR1913073.3867842__1.3867842	487174__K0WY34__DDY40_07435
ERR1913073.3868154__1.3868154	1263109__GCA_000438135.1_01104
ERR1913073.3868248__1.3868248	40518__R5DPA7__RBATCC27255_01319
ERR1913073.3868341__1.3868341	821__A0A174NM17__lacZ_6
ERR1913073.3868394__1.3868394	1680__A0A1X2ZKM8__B5789_0981
ERR1913073.3868430__1.3868430	204516__U6RAM4__HMPREF1534_03439
ERR1913073.3868470__1.3868470	853__A0A173T6P2__DWZ46_14595
ERR1913073.3868493__1.3868493	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.3868557__1.3868557	40518__R5E1X3__clcA
ERR1913073.3868587__1.3868587	39488__A0A374N483__ERS852578_01412
ERR1913073.3868657__1.3868657	1263109__GCA_000438135.1_01228
ERR1913073.3868704__1.3868704	28117__B0MYW7__ALIPUT_02336
ERR1913073.3868771__1.3868771	357276__A0A0M1W657__HMPREF1064_04629
ERR1913073.3868774__1.3868774	1304__A0A1V0GGK6__SSALIVM18_02250
ERR1913073.3868808__1.3868808	33043__A0A173ZDC4__malL_1
ERR1913073.3868821__1.3868821	291644__R5JR56__HMPREF1532_03512
ERR1913073.3868918__1.3868918	1263109__GCA_000438135.1_00942
ERR1913073.3868949__1.3868949	1263109__GCA_000438135.1_01423
ERR1913073.3868995__1.3868995	28117__B0MXX2__ALIPUT_01984
