ERR1913232.19__1.19	820__A0A139K9Q2__DXD40_08795
ERR1913232.136904__1.136904	39485__A0A174Z7G5__EUBELI_01168
ERR1913232.136909__1.136909	310298__B3JNG7__BACCOP_03480
ERR1913232.136919__1.136919	165179__A0A174SA26__PREVCOP_05758
ERR1913232.137022__1.137022	165179__A0A3E5EB26__CFT61_02800
ERR1913232.137107__1.137107	165179__D1PGU8__PREVCOP_06463
ERR1913232.137144__1.137144	626933__H1DGX0__HMPREF9449_01506
ERR1913232.137151__1.137151	261299__A0A1C5X0I2__ERS852493_01320
ERR1913232.137471__1.137471	1262992__R5D9A6__BN795_00819
ERR1913232.137634__1.137634	328814__GCA_004558275.1_00999
ERR1913232.137601__1.137601	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913232.137602__1.137602	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.137713__1.137713	487173__H1D090__HMPREF9453_01028
ERR1913232.137714__1.137714	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913232.137939__1.137939	821__R6F3Y1__SAMN04487923_104318
ERR1913232.138067__1.138067	310298__B3JFS5__BACCOP_00726
ERR1913232.138124__1.138124	1262743__R5C054__BN727_01980
ERR1913232.138187__1.138187	69974__A0A090FEL8__MPL3365_630008
ERR1913232.138197__1.138197	1262924__R7HU74__BN585_00690
ERR1913232.138329__1.138329	487173__H1D020__HMPREF9453_00958
ERR1913232.138461__1.138461	40518__R5DS23__DXD86_01715
ERR1913232.138427__1.138427	204516__U6RHM5__HMPREF1534_02096
ERR1913232.138512__1.138512	39488__A0A374NU13__mtnK_2
ERR1913232.138640__1.138640	820__A7V092__hldE
ERR1913232.138694__1.138694	1262924__R7HRJ9__BN585_00557
ERR1913232.138874__1.138874	301302__A0A173TWC1__phoR_7
ERR1913232.138980__1.138980	28118__F9Z410__NCTC10826_01196
ERR1913232.138994__1.138994	310298__B3JGJ2__BACCOP_00994
ERR1913232.139092__1.139092	69974__A0A090FEL8__MPL3365_630008
ERR1913232.139146__1.139146	39485__C4Z6J7__ERS852492_02047
ERR1913232.139154__1.139154	39485__A0A1Q6PGI7__pehX_3
ERR1913232.139397__1.139397	39485__R5ZNS8__rsmG
ERR1913232.139417__1.139417	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.139466__1.139466	630129__A0A087AXD9__BKAS_0920
ERR1913232.139535__1.139535	853__A0A173T6P2__DWZ46_14595
ERR1913232.139775__1.139775	40518__R5DRY6__RB5AMG_00549
ERR1913232.139886__1.139886	165179__D1PHV2__PREVCOP_06822
ERR1913232.139922__1.139922	165179__A0A174SA26__PREVCOP_05758
ERR1913232.140014__1.140014	1150298__R7JUV3__yfnB
ERR1913232.140445__1.140445	69974__A0A090FEL8__MPL3365_630008
ERR1913232.140455__1.140455	39485__C4Z2I5__ERS852492_02214
ERR1913232.141017__1.141017	820__A0A396EWL3__ERS417307_03868
ERR1913232.141227__1.141227	69974__A0A090FEL8__MPL3365_630008
ERR1913232.141266__1.141266	69974__A0A090FEL8__MPL3365_630008
ERR1913232.141392__1.141392	1262924__R7HQ14__BN585_00419
ERR1913232.141797__1.141797	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913232.141841__1.141841	1262924__R7HST1__BN585_00215
ERR1913232.141879__1.141879	204516__U6R8I1__HMPREF1534_03341
ERR1913232.141919__1.141919	820__A0A3E4RUC4__DHU98_02635
ERR1913232.141966__1.141966	301301__A0A395VC27__adaA_5
ERR1913232.142022__1.142022	165179__A0A3E5EB26__CFT61_02800
ERR1913232.142165__1.142165	69974__A0A090FEL8__MPL3365_630008
ERR1913232.142224__1.142224	28117__B0MTS2__ALIPUT_00159
ERR1913232.142440__1.142440	371601__I9A9Z3__CW3_2765
ERR1913232.142474__1.142474	28118__F9Z8Y7__DHW44_02235
ERR1913232.142749__1.142749	1262924__R7HQN1__BN585_00550
ERR1913232.142916__1.142916	28117__B0N028__BHV66_05935
ERR1913232.143180__1.143180	39485__A0A174ZTY8__ycfH
ERR1913232.143219__1.143219	1262924__R7HRW9__BN585_00665
ERR1913232.143234__1.143234	818__A0A174VV39__BT_3492
ERR1913232.143593__1.143593	28117__B0MYW5__ALIPUT_02334
ERR1913232.143728__1.143728	1262924__R7HLU6__BN585_01291
ERR1913232.143888__1.143888	165179__A0A3E5EB26__CFT61_02800
ERR1913232.143892__1.143892	310298__B3JH76__BACCOP_01230
ERR1913232.143895__1.143895	39491__C4ZF05__vpr
ERR1913232.143955__1.143955	165179__D1PCL6__DXB80_13435
ERR1913232.144172__1.144172	39496__A5Z5I2__EUBVEN_00963
ERR1913232.144174__1.144174	371601__A0A0J9FJQ6__HMPREF1074_04066
ERR1913232.144219__1.144219	28117__R7JIJ8__BHV66_01635
ERR1913232.144370__1.144370	552398__F4XCR9__HMPREF0866_01636
ERR1913232.144458__1.144458	28118__F9Z920__B5F99_04535
ERR1913232.144772__1.144772	165179__A0A3E5DV57__DXB80_11400
ERR1913232.144974__1.144974	69974__A0A090FEL8__MPL3365_630008
ERR1913232.145106__1.145106	853__A0A3E2V168__FAEPRAM212_00929
ERR1913232.145230__1.145230	2293125__A0A374CIC9__DW917_02045
ERR1913232.145331__1.145331	820__A0A139K426__B5G17_09115
ERR1913232.145629__1.145629	47678__A5ZG68__ERS852494_02968
ERR1913232.145685__1.145685	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.145809__1.145809	487173__H1D1P5__HMPREF9453_01533
ERR1913232.145845__1.145845	544644__GCA_001915615.1_00956
ERR1913232.146148__1.146148	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.146173__1.146173	33039__A0A174ZCB2__ERS852577_04014
ERR1913232.146238__1.146238	39491__A0A395UZ82__EUR_31520
ERR1913232.146328__1.146328	204516__U6R921__HMPREF1534_03932
ERR1913232.146408__1.146408	626933__H1DGX0__HMPREF9449_01506
ERR1913232.146458__1.146458	69974__A0A090FEL8__MPL3365_630008
ERR1913232.146497__1.146497	39485__A0A174Z8V5__fliU_2
ERR1913232.146839__1.146839	69974__A0A090FEL8__MPL3365_630008
ERR1913232.146879__1.146879	39491__A0A395ZEI6__ERE_07950
ERR1913232.147106__1.147106	116085__D4J5B4__DW747_06800
ERR1913232.147273__1.147273	165179__A0A3E5DZ45__DXC61_02820
ERR1913232.147374__1.147374	853__A0A174AML0__FPR_08640
ERR1913232.147406__1.147406	33038__A0A2N5PKP1__CDL19_11275
ERR1913232.147414__1.147414	204516__U6RPN2__HMPREF1534_00368
ERR1913232.147478__1.147478	69974__A0A090FEL8__MPL3365_630008
ERR1913232.147767__1.147767	310298__B3JPY4__BACCOP_04016
ERR1913232.147830__1.147830	69974__A0A090FEL8__MPL3365_630008
ERR1913232.148108__1.148108	69974__A0A090FEL8__MPL3365_630008
ERR1913232.148134__1.148134	204516__U6RFY9__HMPREF1534_02069
ERR1913232.148332__1.148332	69974__A0A090FEL8__MPL3365_630008
ERR1913232.148390__1.148390	310298__B3JNH3__BACCOP_03486
ERR1913232.148566__1.148566	28117__B0MWC6__BHV66_00965
ERR1913232.148659__1.148659	165179__A0A229I6N7__DXC61_06720
ERR1913232.148710__1.148710	69974__A0A090FEL8__MPL3365_630008
ERR1913232.148983__1.148983	853__A0A2A7B1Y7__C7K05_11930
ERR1913232.149001__1.149001	1262911__R6H174__BN557_01246
ERR1913232.149230__1.149230	165179__D1PCL6__DXB80_13435
ERR1913232.149752__1.149752	1262924__R7HUG0__BN585_00790
ERR1913232.149822__1.149822	626933__H1DGX0__HMPREF9449_01506
ERR1913232.149855__1.149855	1263107__GCA_000436995.1_00033
ERR1913232.149934__1.149934	165179__A0A3E5DY64__CFT61_10025
ERR1913232.150037__1.150037	204516__U6RPN2__HMPREF1534_00368
ERR1913232.150261__1.150261	69974__A0A090FEL8__MPL3365_630008
ERR1913232.150326__1.150326	165179__A0A3E5EB26__CFT61_02800
ERR1913232.150616__1.150616	69974__A0A090FEL8__MPL3365_630008
ERR1913232.150618__1.150618	69974__A0A090FEL8__MPL3365_630008
ERR1913232.150575__1.150575	39491__A0A395ZHH5__ERS852497_02076
ERR1913232.150758__1.150758	165179__D1PGU8__PREVCOP_06463
ERR1913232.150829__1.150829	1262924__R7HT26__BN585_00306
ERR1913232.150991__1.150991	216816__A0A133LQN7__BL15B_00780
ERR1913232.151143__1.151143	28117__B0MWH8__BHV66_01330
ERR1913232.151400__1.151400	820__A0A174A6K0__M093_0079
ERR1913232.151568__1.151568	446660__GCA_003428235.1_00881
ERR1913232.151573__1.151573	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913232.151589__1.151589	204516__U6RAM4__HMPREF1534_03439
ERR1913232.151706__1.151706	1735__B7CAW7__EUBIFOR_01338
ERR1913232.151767__1.151767	69974__A0A090FEL8__MPL3365_630008
ERR1913232.151728__1.151728	310298__B3JK99__BACCOP_02328
ERR1913232.151825__1.151825	69974__A0A090FEL8__MPL3365_630008
ERR1913232.152141__1.152141	40518__R5DZ88__DXD93_06320
ERR1913232.152237__1.152237	28117__B0MXU6__ALIPUT_01958
ERR1913232.152271__1.152271	410072__C0B801__mucD
ERR1913232.152419__1.152419	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.152511__1.152511	69974__A0A090FEL8__MPL3365_630008
ERR1913232.152700__1.152700	39485__C4Z434__tilS
ERR1913232.152973__1.152973	69974__A0A090FEL8__MPL3365_630008
ERR1913232.152944__1.152944	28117__B0MY40__BHV66_05170
ERR1913232.153021__1.153021	301302__A0A0M6W9I4__M72_19871
ERR1913232.153129__1.153129	310298__B3JM32__BACCOP_00571
ERR1913232.153202__1.153202	39491__A0A395V0X2__EUBREC_3007
ERR1913232.153267__1.153267	28117__B0MWX3__BHV66_03010
ERR1913232.153425__1.153425	1262924__R7HQP2__BN585_01509
ERR1913232.153378__1.153378	40520__R7D7V1__DXC87_12020
ERR1913232.153450__1.153450	40518__R5E1J7__RBL236_02062
ERR1913232.153626__1.153626	556259__E5C816__BSGG_0563
ERR1913232.153820__1.153820	28118__F9Z8K4__Odosp_0843
ERR1913232.154067__1.154067	39491__A0A395V6A3__DXB69_00505
ERR1913232.154088__1.154088	216816__C2GUV2__APC1478_0430
ERR1913232.154094__1.154094	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.154145__1.154145	69974__A0A090FEL8__MPL3365_630008
ERR1913232.154160__1.154160	28117__B0MVL5__BHV66_01660
ERR1913232.154401__1.154401	310298__B3JED9__BACCOP_00230
ERR1913232.154546__1.154546	204516__U6RH18__HMPREF1534_01847
ERR1913232.154708__1.154708	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.154911__1.154911	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913232.154921__1.154921	39485__A0A175A273__plsX_2
ERR1913232.154968__1.154968	820__A0A3E4QZJ7__C801_01798
ERR1913232.154995__1.154995	69974__A0A090FEL8__MPL3365_630008
ERR1913232.155007__1.155007	214856__I3YPN9__ERS852447_01389
ERR1913232.155376__1.155376	853__A0A2A7B9I6__DW855_13690
ERR1913232.155558__1.155558	706562__GCA_900112995.1_02127
ERR1913232.155592__1.155592	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913232.155831__1.155831	74426__rpoC
ERR1913232.155911__1.155911	626933__H1DGX0__HMPREF9449_01506
ERR1913232.156127__1.156127	820__A0A3E5BMG9__DXD40_05130
ERR1913232.156160__1.156160	39485__A0A174ZKZ4__spoIIQ_1
ERR1913232.156297__1.156297	39491__A0A396FEW6__T1815_18721
ERR1913232.156445__1.156445	165179__A0A229I3Z6__PREVCOP_03666
ERR1913232.156502__1.156502	853__A0A173XRA8__CGS56_09290
ERR1913232.156564__1.156564	40520__A0A3E5A422__RUMOBE_00654
ERR1913232.156792__1.156792	1262924__R7HQ14__BN585_00419
ERR1913232.156911__1.156911	69974__A0A090FEL8__MPL3365_630008
ERR1913232.157040__1.157040	487175__D9Y3F1__HMPREF9439_00163
ERR1913232.157117__1.157117	204516__U6REI9__HMPREF1534_02357
ERR1913232.157411__1.157411	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.157622__1.157622	69974__A0A090FEL8__MPL3365_630008
ERR1913232.157702__1.157702	310298__B3JH76__BACCOP_01230
ERR1913232.157788__1.157788	1897011__A0A1Q6RIA0__BHW41_01275
ERR1913232.157846__1.157846	39488__C0EY66__prkC_1
ERR1913232.157857__1.157857	626932__G5HAM4__HMPREF9450_01689
ERR1913232.158023__1.158023	39491__A0A395ZHW3__ERS852417_01359
ERR1913232.158164__1.158164	1262913__R7JEY4__BN646_02004
ERR1913232.158181__1.158181	39492__D4JQU6__ERS852540_02194
ERR1913232.158190__1.158190	204516__U6R838__HMPREF1534_03867
ERR1913232.158251__1.158251	69974__A0A090FEL8__MPL3365_630008
ERR1913232.158279__1.158279	310298__B3JMZ2__BACCOP_03297
ERR1913232.158337__1.158337	626933__H1DGX0__HMPREF9449_01506
ERR1913232.158387__1.158387	39496__A5Z5I2__EUBVEN_00963
ERR1913232.158363__1.158363	165179__D1PGU8__PREVCOP_06463
ERR1913232.158598__1.158598	626933__H1DGX0__HMPREF9449_01506
ERR1913232.158869__1.158869	310298__B3JED9__BACCOP_00230
ERR1913232.159015__1.159015	40518__R5DU92__DXD93_03170
ERR1913232.159068__1.159068	1262924__R7HQD9__BN585_00129
ERR1913232.159139__1.159139	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.159218__1.159218	69974__A0A090FEL8__MPL3365_630008
ERR1913232.159309__1.159309	1262992__R5DCU3__BN795_00404
ERR1913232.159368__1.159368	214856__A0A174ZEW0__ERS852447_00985
ERR1913232.159525__1.159525	706562__GCA_900112995.1_02127
ERR1913232.159660__1.159660	165179__A0A3E5A554__DXB80_13805
ERR1913232.159676__1.159676	165179__A0A3E5DY64__CFT61_10025
ERR1913232.159828__1.159828	69974__A0A090FEL8__MPL3365_630008
ERR1913232.159873__1.159873	1262992__R5DG08__BN795_00475
ERR1913232.160178__1.160178	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.160213__1.160213	820__I9A4U7__DHU98_12785
ERR1913232.160274__1.160274	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.160289__1.160289	69974__A0A090FEL8__MPL3365_630008
ERR1913232.160612__1.160612	853__A0A2A7B9I6__DW855_13690
ERR1913232.160744__1.160744	214856__A0A173YXX1__ERS852559_01651
ERR1913232.160812__1.160812	1262913__R7JF62__BN646_02078
ERR1913232.160967__1.160967	116085__A0A3E2TMI0__DW747_05170
ERR1913232.161092__1.161092	69974__A0A090FEL8__MPL3365_630008
ERR1913232.161101__1.161101	1262924__R7HU74__BN585_00690
ERR1913232.161155__1.161155	371601__F7LA63__HMPREF1074_04288
ERR1913232.161436__1.161436	165179__A0A3E5EB26__CFT61_02800
ERR1913232.161505__1.161505	40518__R5E4X1__DXD93_05270
ERR1913232.161543__1.161543	487175__D9Y5Q5__HMPREF9439_00681
ERR1913232.161709__1.161709	853__D4K7X0__DW905_09540
ERR1913232.161757__1.161757	626933__H1DGX0__HMPREF9449_01506
ERR1913232.161959__1.161959	69974__A0A090FEL8__MPL3365_630008
ERR1913232.162137__1.162137	39485__C4Z0T2__ykvU
ERR1913232.162226__1.162226	853__A0A173XRA8__CGS56_09290
ERR1913232.162415__1.162415	28117__B0MYI9__BHV66_05415
ERR1913232.162596__1.162596	28116__D6D0T8__DXA80_14760
ERR1913232.162609__1.162609	28117__B0MYI9__BHV66_05415
ERR1913232.162711__1.162711	487173__H1D090__HMPREF9453_01028
ERR1913232.162765__1.162765	33039__A0A173VSH9__ERS852530_05439
ERR1913232.163028__1.163028	39488__A0A174KVU1__EUBHAL_00302
ERR1913232.163216__1.163216	165179__A0A3E5EB26__CFT61_02800
ERR1913232.163312__1.163312	28117__B0MXW9__ALIPUT_01981
ERR1913232.163421__1.163421	39485__A0A174ZBJ8__speA_2
ERR1913232.163491__1.163491	40518__R5DQK2__DXD93_03730
ERR1913232.163492__1.163492	1262924__R7HQB3__BN585_00435
ERR1913232.163499__1.163499	821__A0A396F9T7__M097_3427
ERR1913232.163532__1.163532	821__A0A174WBC9__ERS852556_03145
ERR1913232.163558__1.163558	853__A0A329UEG4__CHR60_00585
ERR1913232.163570__1.163570	69974__A0A090FEL8__MPL3365_630008
ERR1913232.163686__1.163686	1262924__R7HU74__BN585_00690
ERR1913232.163989__1.163989	1262924__R7HTA4__BN585_00391
ERR1913232.164086__1.164086	626933__H1DGX0__HMPREF9449_01506
ERR1913232.164180__1.164180	853__C7H1R8__DW905_06675
ERR1913232.164268__1.164268	165179__D1PCL6__DXB80_13435
ERR1913232.164303__1.164303	204516__U6R838__HMPREF1534_03867
ERR1913232.164406__1.164406	853__A0A2A7B1Y7__C7K05_11930
ERR1913232.164464__1.164464	371601__C3R2J2__ERS852396_04353
ERR1913232.164560__1.164560	165179__A0A3E5AER8__DXB80_07075
ERR1913232.164650__1.164650	40518__R5E2R8__nnr_2
ERR1913232.164829__1.164829	1262929__R6F6C8__BN691_01344
ERR1913232.164849__1.164849	853__A0A173YYY4__DWZ04_09420
ERR1913232.164904__1.164904	69974__A0A090FEL8__MPL3365_630008
ERR1913232.165238__1.165238	69974__A0A090FEL8__MPL3365_630008
ERR1913232.165318__1.165318	820__A0A3E4IBC1__M094_0628
ERR1913232.165357__1.165357	69974__A0A090FEL8__MPL3365_630008
ERR1913232.165482__1.165482	39485__C4Z0F4__ERS852490_00945
ERR1913232.165648__1.165648	853__A0A2A7B1Y7__C7K05_11930
ERR1913232.165666__1.165666	1262911__R6H2J2__BN557_01228
ERR1913232.166078__1.166078	853__D4K7X0__DW905_09540
ERR1913232.166239__1.166239	39488__A0A173T8Z7__hemZ_2
ERR1913232.166244__1.166244	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.166407__1.166407	487173__H1D1P5__HMPREF9453_01533
ERR1913232.166516__1.166516	165179__D1PGU8__PREVCOP_06463
ERR1913232.166599__1.166599	39492__D4JUR4__ERS852540_01427
ERR1913232.166729__1.166729	371601__A0A174KGU6__CW3_4554
ERR1913232.166788__1.166788	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.167099__1.167099	165179__D1PGU8__PREVCOP_06463
ERR1913232.167138__1.167138	853__A0A2A7B9I6__DW855_13690
ERR1913232.167217__1.167217	820__A0A3E4RTP0__C801_01067
ERR1913232.167219__1.167219	216816__D6DBD7__BL71B_09615
ERR1913232.167227__1.167227	28117__R7JH62__BHV66_05735
ERR1913232.167304__1.167304	28117__B0MY34__BHV66_05195
ERR1913232.167537__1.167537	39491__A0A395V1R3__T1815_08181
ERR1913232.167711__1.167711	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.167764__1.167764	1262924__R7HNL2__BN585_01068
ERR1913232.167775__1.167775	1262924__R7HKZ9__BN585_01304
ERR1913232.167837__1.167837	39491__A0A173TM76__DXB72_10535
ERR1913232.167785__1.167785	39488__C0F0P8__EUBHAL_03272
ERR1913232.168008__1.168008	69974__A0A090FEL8__MPL3365_630008
ERR1913232.168081__1.168081	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913232.168270__1.168270	69974__A0A090FEL8__MPL3365_630008
ERR1913232.168315__1.168315	371601__A0A173ZG72__SAMN04487924_11442
ERR1913232.168331__1.168331	39488__C0F0P7__ERS852578_02651
ERR1913232.168367__1.168367	820__A0A174CK74__DXB48_07060
ERR1913232.168415__1.168415	88431__A0A173VJL7__ERS852526_01348
ERR1913232.168439__1.168439	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.168464__1.168464	1262924__R7HQB3__BN585_00435
ERR1913232.168502__1.168502	310298__B3JNG7__BACCOP_03480
ERR1913232.168690__1.168690	1262882__R5N1T9__BN519_00804
ERR1913232.168782__1.168782	821__D4VD59__BHV80_04260
ERR1913232.169011__1.169011	165179__A0A3E5EB26__CFT61_02800
ERR1913232.169091__1.169091	371601__A0A139LNM6__BN891_32770
ERR1913232.169203__1.169203	39491__C4ZGN3__DXB99_14175
ERR1913232.169238__1.169238	818__A0A139KQP8__BJP75_006755
ERR1913232.169556__1.169556	310298__B3JH67__BACCOP_01223
ERR1913232.169573__1.169573	1308__Q5M5Z8__STACADC2_0257
ERR1913232.169616__1.169616	1262924__R7HMB7__BN585_01717
ERR1913232.169837__1.169837	165179__A0A3E5EA43__DXC61_07775
ERR1913232.169870__1.169870	28116__A0A078Q626__HMPREF1070_02735
ERR1913232.169934__1.169934	165179__A0A229I7F5__DXB80_02650
ERR1913232.169962__1.169962	165179__A0A229I6N7__DXC61_06720
ERR1913232.170004__1.170004	1660__Z4WYX3__CYJ22_09470
ERR1913232.170100__1.170100	28118__R6G2E8__DHW44_05790
ERR1913232.170143__1.170143	28118__R6F891__NCTC10826_02656
ERR1913232.170337__1.170337	626933__H1DGX0__HMPREF9449_01506
ERR1913232.170344__1.170344	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.170364__1.170364	74426__purC
ERR1913232.170424__1.170424	69974__A0A090FEL8__MPL3365_630008
ERR1913232.170438__1.170438	204516__U6R9E7__HMPREF1534_03313
ERR1913232.170874__1.170874	40518__R5E282__DXD86_08940
ERR1913232.171049__1.171049	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913232.171157__1.171157	165179__D1PAV8__DXB80_13055
ERR1913232.171182__1.171182	487173__H1D3F9__HMPREF9453_02142
ERR1913232.171308__1.171308	165179__D1PGU8__PREVCOP_06463
ERR1913232.171543__1.171543	1965555__A0A1Y4SGM9__B5E77_02050
ERR1913232.171590__1.171590	69974__A0A090FEL8__MPL3365_630008
ERR1913232.171700__1.171700	39491__A0A396FNY7__LD38_16155
ERR1913232.171820__1.171820	165179__A0A3E5EA43__DXC61_07775
ERR1913232.171961__1.171961	69974__A0A090FEL8__MPL3365_630008
ERR1913232.172014__1.172014	28117__B0MZ50__ALIPUT_02424
ERR1913232.172413__1.172413	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.172438__1.172438	310298__B3JFI7__BACCOP_00636
ERR1913232.172444__1.172444	116085__D4JA07__DW747_02915
ERR1913232.172648__1.172648	1262739__R6MMI4__BN659_01195
ERR1913232.172653__1.172653	28117__R7JH62__BHV66_05735
ERR1913232.172656__1.172656	69974__A0A090FEL8__MPL3365_630008
ERR1913232.172742__1.172742	310298__B3JLC6__BACCOP_02712
ERR1913232.172744__1.172744	310298__B3JH76__BACCOP_01230
ERR1913232.172874__1.172874	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.172883__1.172883	1262924__R7HQB7__BN585_02057
ERR1913232.172994__1.172994	310298__B3JNG7__BACCOP_03480
ERR1913232.173141__1.173141	69974__A0A090FEL8__MPL3365_630008
ERR1913232.173185__1.173185	310298__B3JEE8__BACCOP_00239
ERR1913232.173387__1.173387	216816__C2GUV2__APC1478_0430
ERR1913232.173412__1.173412	39485__A0A174YSU1__ERS852492_00576
ERR1913232.173540__1.173540	47678__R5U9Z0__HMPREF1061_03210
ERR1913232.173497__1.173497	69974__A0A090FEL8__MPL3365_630008
ERR1913232.173742__1.173742	69974__A0A090FEL8__MPL3365_630008
ERR1913232.174294__1.174294	39491__A0A395V0E5__ERE_31370
ERR1913232.174560__1.174560	165179__D1PAV8__DXB80_13055
ERR1913232.174665__1.174665	39491__C4ZAT2__ERE_28440
ERR1913232.174757__1.174757	165179__D1PHC0__PREVCOP_06640
ERR1913232.174892__1.174892	487173__H1CY53__HMPREF9453_00291
ERR1913232.175008__1.175008	310298__B3JGL4__BACCOP_01016
ERR1913232.175205__1.175205	310298__B3JF96__BACCOP_00544
ERR1913232.175231__1.175231	310298__B3JI31__BACCOP_01543
ERR1913232.175255__1.175255	74426__thrZ
ERR1913232.175338__1.175338	39488__A0A174JWI1__sipT_2
ERR1913232.175349__1.175349	1262992__R5CXL9__BN795_01014
ERR1913232.175894__1.175894	69974__A0A090FEL8__MPL3365_630008
ERR1913232.175844__1.175844	626933__H1DGX0__HMPREF9449_01506
ERR1913232.176091__1.176091	214856__R6XTZ7__ERS852447_02314
ERR1913232.176270__1.176270	823__A0A355XFH7__ERS852513_00769
ERR1913232.176311__1.176311	310298__B3JNH3__BACCOP_03486
ERR1913232.176571__1.176571	69974__A0A090FEL8__MPL3365_630008
ERR1913232.176572__1.176572	820__A0A174F0C1__nreB
ERR1913232.176653__1.176653	310298__B3JMG0__BACCOP_03099
ERR1913232.176734__1.176734	310298__B3JLT9__BACCOP_02886
ERR1913232.176823__1.176823	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.176755__1.176755	301301__A0A395VA63__sbcC
ERR1913232.177123__1.177123	853__A0A174C5M1__CGS58_04460
ERR1913232.177262__1.177262	1685__A0A3D8UEL2__DRBB29_0129
ERR1913232.177336__1.177336	165179__A0A174SA26__PREVCOP_05758
ERR1913232.177318__1.177318	40518__R5DV66__DXD83_04215
ERR1913232.177442__1.177442	39491__A0A395V6A3__DXB69_00505
ERR1913232.177422__1.177422	39485__C4Z390__EUBELI_01689
ERR1913232.177481__1.177481	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.177513__1.177513	165179__A0A3E5DY64__CFT61_10025
ERR1913232.177582__1.177582	39491__A0A395ZHW3__ERS852417_01359
ERR1913232.177667__1.177667	626933__H1DGX0__HMPREF9449_01506
ERR1913232.177772__1.177772	39491__A0A396FP46__cobD_2
ERR1913232.177794__1.177794	28117__B0MXR4__BHV66_08025
ERR1913232.178078__1.178078	821__A0A174T998__DXB82_10860
ERR1913232.178016__1.178016	301302__A0A173UT39__M72_23901
ERR1913232.178147__1.178147	310298__B3JH76__BACCOP_01230
ERR1913232.178188__1.178188	40518__R5DTH7__DXD83_02405
ERR1913232.178194__1.178194	310298__B3JPN8__BACCOP_03837
ERR1913232.178312__1.178312	28117__B0MVL2__BHV66_01645
ERR1913232.178495__1.178495	820__A0A173YYG4__evgS_3
ERR1913232.178717__1.178717	39485__C4Z684__ERS852492_01895
ERR1913232.178759__1.178759	39485__R5ZRT8__gmr_6
ERR1913232.178764__1.178764	239935__A0A2N8IEP3__CXT84_03735
ERR1913232.178858__1.178858	165179__A0A229I4J4__proA
ERR1913232.178866__1.178866	69974__A0A090FEL8__MPL3365_630008
ERR1913232.178932__1.178932	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.178966__1.178966	204516__U6RJY4__HMPREF1534_01494
ERR1913232.179197__1.179197	39491__D6DXZ8__DXB72_15035
ERR1913232.179384__1.179384	39491__A0A395ZG96__DXB69_15120
ERR1913232.179461__1.179461	28118__F9Z4Y7__DF785_06945
ERR1913232.179571__1.179571	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.179874__1.179874	204516__U6R8I1__HMPREF1534_03341
ERR1913232.179916__1.179916	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.180298__1.180298	69974__A0A090FEL8__MPL3365_630008
ERR1913232.180607__1.180607	28117__B0MTH2__ALIPUT_00061
ERR1913232.180615__1.180615	165179__W1I4H6__DXB80_13655
ERR1913232.180678__1.180678	1432052__A0A1E3AKE5__BEI59_08735
ERR1913232.180690__1.180690	69974__A0A090FEL8__MPL3365_630008
ERR1913232.180928__1.180928	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913232.180931__1.180931	165179__A0A3E5DN34__DXC61_07865
ERR1913232.180957__1.180957	39490__A0A2V1JTN0__gltR
ERR1913232.181074__1.181074	820__A0A174B4N2__M093_2531
ERR1913232.181217__1.181217	820__A0A174A6K0__M093_0079
ERR1913232.181492__1.181492	165179__A0A229I6N7__DXC61_06720
ERR1913232.181493__1.181493	165179__A0A3E5A554__DXB80_13805
ERR1913232.181615__1.181615	1262924__R7HLJ9__BN585_01064
ERR1913232.181913__1.181913	216816__A0A0A6VPB9__B624_1780
ERR1913232.182137__1.182137	487173__H1D1P5__HMPREF9453_01533
