ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.4302820__1.4302820	165179__A0A3E5AGH1__DXB80_05820
ERR1912976.4302933__1.4302933	28052__A0A174YME0__acm_2
ERR1912976.4303029__1.4303029	821__A0A174NVL6__NCTC10583_01782
ERR1912976.4303215__1.4303215	39485__C4Z028__ERS852492_00100
ERR1912976.4303221__1.4303221	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1912976.4303362__1.4303362	33038__F7JZ41__CCY17_00135
ERR1912976.4303398__1.4303398	821__E5UY21__C800_02204
ERR1912976.4303380__1.4303380	821__D4V4X2__DXC16_18525
ERR1912976.4303437__1.4303437	821__E5UY21__C800_02204
ERR1912976.4303467__1.4303467	562__P0A9K7__AUQ29_19530
ERR1912976.4303475__1.4303475	501571__R8VWK4__HMPREF1526_03196
ERR1912976.4303483__1.4303483	1160721__R6TAA3__BHW50_03385
ERR1912976.4303487__1.4303487	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4303533__1.4303533	28052__R5HJU0__ERS852451_00148
ERR1912976.4303737__1.4303737	329854__A0A3E4IIT5__DXK01_21130
ERR1912976.4303872__1.4303872	301301__A0A395V9G1__RHOM_02750
ERR1912976.4303965__1.4303965	33038__A7B057__CDL26_15045
ERR1912976.4303998__1.4303998	329854__R5MCA8__DXD57_18415
ERR1912976.4304002__1.4304002	39485__C4Z0I4__ERS852492_00258
ERR1912976.4304143__1.4304143	33038__A7AYC4__CDL21_13075
ERR1912976.4304248__1.4304248	446660__GCA_003428235.1_00351
ERR1912976.4304291__1.4304291	820__A0A1T4IYF4__mprA_1
ERR1912976.4304360__1.4304360	165179__A0A3E5AGH1__DXB80_05820
ERR1912976.4304470__1.4304470	239935__A0A2N8INK7__Amuc_0521
ERR1912976.4304554__1.4304554	821__A0A395VMG0__DXC44_18080
ERR1912976.4304678__1.4304678	626933__H1DGX0__HMPREF9449_01506
ERR1912976.4304753__1.4304753	501571__R8W0D3__HMPREF1526_01192
ERR1912976.4304801__1.4304801	820__A0A1T4IYF4__mprA_1
ERR1912976.4304877__1.4304877	487174__R5F4K8__HMPREF9448_01532
ERR1912976.4304880__1.4304880	821__A0A395VLM8__BvMPK_3650
ERR1912976.4305046__1.4305046	77095__D8DTW0__SAMN05444375_11339
ERR1912976.4305178__1.4305178	239935__A0A2N8IVK9__CXU08_03750
ERR1912976.4305265__1.4305265	487174__K0X109__DDY40_03235
ERR1912976.4305497__1.4305497	39485__A0A174ZJ13__ssuB
ERR1912976.4305595__1.4305595	328814__GCA_004558275.1_01745
ERR1912976.4305612__1.4305612	214856__A0A174H3U9__ERS852559_00612
ERR1912976.4305710__1.4305710	487174__R5EUJ8__DDY40_00460
ERR1912976.4305807__1.4305807	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.4306054__1.4306054	1262988__R7N443__BN816_01543
ERR1912976.4306105__1.4306105	821__A0A396F598__CUU_3259
ERR1912976.4306110__1.4306110	28117__B0MWP2__ALIPUT_01468
ERR1912976.4306138__1.4306138	1262988__R7N443__BN816_01543
ERR1912976.4306274__1.4306274	487175__D9Y712__HMPREF9439_02495
ERR1912976.4306449__1.4306449	360807__A0A0M6WLX3__RIL183_21751
ERR1912976.4306668__1.4306668	33025__A0A395JD47__C8D73_101260
ERR1912976.4306791__1.4306791	1263000__R5EAV7__BN466_00502
ERR1912976.4306810__1.4306810	28116__A0A1Y4PWN5__M088_3731
ERR1912976.4307016__1.4307016	1547__H1ANA0__CLORAM_00433
ERR1912976.4307127__1.4307127	28052__A0A174NHE1__spoIIIE
ERR1912976.4307144__1.4307144	820__A0A139K8N1__ERS852554_00951
ERR1912976.4307167__1.4307167	821__A6KZK3__ERS852457_04265
ERR1912976.4307211__1.4307211	1160721__W0U1Y5__BHW50_01965
ERR1912976.4307447__1.4307447	817__D1JWJ3__BF9343_3713
ERR1912976.4307774__1.4307774	165179__A0A3E5AHY4__CFT61_07675
ERR1912976.4307865__1.4307865	301301__R6NZ24__dapF_2
ERR1912976.4308035__1.4308035	33038__A0A2N5PXI0__C5Y99_10810
ERR1912976.4308177__1.4308177	821__A0A395VMG0__DXC44_18080
ERR1912976.4308275__1.4308275	853__A0A2A7B1Y7__C7K05_11930
ERR1912976.4308305__1.4308305	821__E5UY21__C800_02204
ERR1912976.4308450__1.4308450	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.4308494__1.4308494	40518__R5DU28__DXD86_07960
ERR1912976.4308527__1.4308527	2173__A0A1D2WU72__BK798_05485
ERR1912976.4308631__1.4308631	28116__A0A1Y4Q112__evgS_13
ERR1912976.4309009__1.4309009	29361__B6FQ81__CLONEX_02300
ERR1912976.4309061__1.4309061	357276__B6VXX7__HMPREF1063_02683
ERR1912976.4309144__1.4309144	33038__A0A2N5PRF0__CDL25_01605
ERR1912976.4309244__1.4309244	165179__A0A3E5A554__DXB80_13805
ERR1912976.4309328__1.4309328	552398__T5S086__HMPREF0866_01580
ERR1912976.4309368__1.4309368	1263107__GCA_000436995.1_00199
ERR1912976.4309410__1.4309410	239935__R6JAS2__CXU02_10725
ERR1912976.4309413__1.4309413	292800__A0A173ZCZ3__A4U99_03035
ERR1912976.4309552__1.4309552	821__E5UMZ6__BVU_1450
ERR1912976.4309675__1.4309675	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4309785__1.4309785	329854__B3CEI8__DXD57_08440
ERR1912976.4309854__1.4309854	487174__K0X1D9__HMPREF9448_00919
ERR1912976.4310161__1.4310161	39485__C4Z058__ERS852492_00130
ERR1912976.4310207__1.4310207	1160721__W0U3C6__BHW50_11080
ERR1912976.4310270__1.4310270	1160721__R6SW95__BHW50_08895
ERR1912976.4310290__1.4310290	328814__GCA_004558275.1_00025
ERR1912976.4310312__1.4310312	853__A0A2J4JL53__CRH10_10795
ERR1912976.4310317__1.4310317	33038__A0A396G855__CDL23_11555
ERR1912976.4310424__1.4310424	33038__A0A396GES8__CDL19_08885
ERR1912976.4310448__1.4310448	821__E5UY21__C800_02204
ERR1912976.4310613__1.4310613	28052__A0A174JNB2__ERS852499_01122
ERR1912976.4310695__1.4310695	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4310927__1.4310927	1897011__A0A1Q6RCY9__BHW41_06000
ERR1912976.4311081__1.4311081	33038__A0A2N5NWJ7__CDL25_16350
ERR1912976.4311085__1.4311085	2293125__A0A374BLR6__DW917_15555
ERR1912976.4311411__1.4311411	487174__K0X5B1__DDY40_01695
ERR1912976.4311547__1.4311547	28052__R7NDD4__ywtF
ERR1912976.4311683__1.4311683	1263000__R5EGY6__BN466_00973
ERR1912976.4311802__1.4311802	33038__F7JTF2__CDL22_02335
ERR1912976.4311804__1.4311804	329854__A0A3E4KPG4__DXD27_21195
ERR1912976.4312000__1.4312000	1262824__R6SST2__BN719_00275
ERR1912976.4312064__1.4312064	165179__A0A229I7F5__DXB80_02650
ERR1912976.4312091__1.4312091	329854__A0A3E4IQD7__BACINT_01717
ERR1912976.4312283__1.4312283	487174__K0X028__DIT83_00950
ERR1912976.4312346__1.4312346	33038__A7AXY7__CDL27_09020
ERR1912976.4312418__1.4312418	28052__A0A174KY36__mepA_13
ERR1912976.4312729__1.4312729	1160721__R6U7V4__BHW50_02190
ERR1912976.4312893__1.4312893	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.4312967__1.4312967	2292352__A0A374UL63__DXC23_08410
ERR1912976.4312973__1.4312973	821__A0A174AYT0__DXC02_03530
ERR1912976.4313195__1.4313195	360807__C0FNK4__ERS852444_02115
ERR1912976.4313259__1.4313259	39488__C0EVS1__ERS852450_02297
ERR1912976.4313301__1.4313301	487174__K0WS78__HMPREF9448_02825
ERR1912976.4313275__1.4313275	1550024__G9RT56__TQ39_09200
ERR1912976.4313307__1.4313307	33038__A0A2N5PQU6__RUMGNA_01940
ERR1912976.4313340__1.4313340	33038__A0A2N5PQU6__RUMGNA_01940
ERR1912976.4313344__1.4313344	28052__A0A174HY73__ERS852451_01605
ERR1912976.4313533__1.4313533	33038__A0A2N5NRJ3__CDL20_13245
ERR1912976.4313619__1.4313619	820__A0A374MMF0__HMPREF1073_03811
ERR1912976.4313686__1.4313686	33038__A0A2N5NXH5__CDL27_14300
ERR1912976.4313899__1.4313899	1262824__R6RKS2__BN719_01131
ERR1912976.4314056__1.4314056	387090__S0F8B2__BACCOPRO_02129
ERR1912976.4314136__1.4314136	39485__C4Z0R8__EUBELI_01181
ERR1912976.4314412__1.4314412	33038__A0A3E4K4Y5__CDL20_06020
ERR1912976.4314540__1.4314540	821__U6RDC2__DXD46_15675
ERR1912976.4314828__1.4314828	165179__A0A3E5A5E5__DXC61_13965
ERR1912976.4314882__1.4314882	329854__R5M4V3__DXK01_22225
ERR1912976.4314932__1.4314932	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1912976.4315013__1.4315013	28052__A0A174M9U3__ERS852451_02548
ERR1912976.4315159__1.4315159	446660__GCA_003428235.1_00602
ERR1912976.4315141__1.4315141	706562__GCA_900112995.1_01428
ERR1912976.4315299__1.4315299	2292352__A0A374UJE7__DXC23_11305
ERR1912976.4315312__1.4315312	39485__C4Z6J7__ERS852492_02047
ERR1912976.4315402__1.4315402	33038__A0A396G729__RUMGNA_01796
ERR1912976.4315657__1.4315657	33038__A0A396G7H5__CDL19_02655
ERR1912976.4315712__1.4315712	2173__A0A1D2WX40__BK798_08810
ERR1912976.4315695__1.4315695	487174__K0X773__DIT83_07170
ERR1912976.4315909__1.4315909	28116__D7J6B1__B5F02_07870
ERR1912976.4316053__1.4316053	329854__R5LT45__DXD57_14270
ERR1912976.4316234__1.4316234	33038__A7B057__CDL26_15045
ERR1912976.4316331__1.4316331	28901__G5SHB5__secG
ERR1912976.4316352__1.4316352	487174__R5F4K8__HMPREF9448_01532
ERR1912976.4316384__1.4316384	487174__K0X429__HMPREF9448_00932
ERR1912976.4316458__1.4316458	820__A0A3E4QZJ7__C801_01798
ERR1912976.4316714__1.4316714	706562__GCA_900112995.1_01415
ERR1912976.4316778__1.4316778	1262988__R7N521__BN816_01886
ERR1912976.4316841__1.4316841	329854__R5MR15__BACINT_04809
ERR1912976.4316901__1.4316901	328814__GCA_004558275.1_00291
ERR1912976.4316917__1.4316917	562__A0A376L0A6__CQA14_19985
ERR1912976.4316934__1.4316934	214856__A0A174ZEW0__ERS852447_00985
ERR1912976.4317016__1.4317016	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912976.4317074__1.4317074	214856__D4IMT6__Alfi_1830
ERR1912976.4317264__1.4317264	487174__R5FMM3__DDY40_00820
ERR1912976.4317293__1.4317293	28052__A0A174HXG0__galK_3
ERR1912976.4317548__1.4317548	487174__R5FMM3__DDY40_00820
ERR1912976.4317569__1.4317569	39496__A5Z5G7__EUBVEN_00947
ERR1912976.4317595__1.4317595	706562__GCA_900112995.1_01428
ERR1912976.4317651__1.4317651	446660__GCA_003428235.1_00726
ERR1912976.4317827__1.4317827	562__A0A0E1LDD5__B9N12_14240
ERR1912976.4317868__1.4317868	2173__A0A1D2WTT4__BK798_05110
ERR1912976.4318180__1.4318180	626933__H1DGX0__HMPREF9449_01506
ERR1912976.4318487__1.4318487	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.4318550__1.4318550	487174__K0XH97__HMPREF9448_01909
ERR1912976.4318816__1.4318816	165179__A0A3E5AHY4__CFT61_07675
ERR1912976.4318817__1.4318817	562__P23837__phoQ
ERR1912976.4318822__1.4318822	33038__A7B614__CDL24_02540
ERR1912976.4318844__1.4318844	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4318872__1.4318872	216816__D6D9J4__DPC6320_0487
ERR1912976.4318891__1.4318891	460384__A0A1I0KC40__SAMN05216313_1631
ERR1912976.4319121__1.4319121	418240__A0A174DPG4__ERS852523_03206
ERR1912976.4319434__1.4319434	39485__A0A174YYW2__benM
ERR1912976.4319459__1.4319459	853__A0A2A7B9I6__DW855_13690
ERR1912976.4319981__1.4319981	487174__K0WZA7__DDY40_11890
ERR1912976.4320278__1.4320278	165179__A0A229I1J2__DXB80_03950
ERR1912976.4320392__1.4320392	820__A7VAS1__HMPREF2141_03259
ERR1912976.4320420__1.4320420	1262988__R7N4Z9__BN816_00543
ERR1912976.4320735__1.4320735	39485__R5ZRT8__gmr_6
ERR1912976.4320807__1.4320807	329854__B3CFY5__DXD57_10960
ERR1912976.4320814__1.4320814	1262921__R5LMK9__BN473_01331
ERR1912976.4321134__1.4321134	165179__A0A3E5A5E5__DXC61_13965
ERR1912976.4321169__1.4321169	1262743__R5C054__BN727_01980
ERR1912976.4321247__1.4321247	821__E5UMZ6__BVU_1450
ERR1912976.4321368__1.4321368	329854__R7DQV0__DXD57_13335
ERR1912976.4321796__1.4321796	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912976.4321880__1.4321880	239935__R7DVL7__CXT93_01180
ERR1912976.4321986__1.4321986	39485__A0A174ZA72__glgB_1
ERR1912976.4322007__1.4322007	165179__A0A3E5AGH1__DXB80_05820
ERR1912976.4322163__1.4322163	328814__GCA_004558275.1_00036
ERR1912976.4322365__1.4322365	28052__A0A174KBY5__slyD
ERR1912976.4322397__1.4322397	820__A0A374Q351__DXD40_05850
ERR1912976.4322452__1.4322452	818__A0A3E5HNS1__BSIG_0465
ERR1912976.4322502__1.4322502	501571__R8VSZ5__B5F17_04870
ERR1912976.4322659__1.4322659	33038__A0A3E4KA66__CDL24_01305
ERR1912976.4322660__1.4322660	1263000__R5EMC1__BN466_00539
ERR1912976.4322668__1.4322668	39492__D4JRZ7__smc
ERR1912976.4322675__1.4322675	33038__A0A396G7D8__asnB
ERR1912976.4322691__1.4322691	821__E5UY21__C800_02204
ERR1912976.4322697__1.4322697	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.4322882__1.4322882	1547__H1AIQ1__DXB93_19560
ERR1912976.4323078__1.4323078	501571__R8VSZ5__B5F17_04870
ERR1912976.4323210__1.4323210	39485__C4Z2X2__ERS852492_01808
ERR1912976.4323217__1.4323217	1547__H1AHG6__CLORAM_01753
ERR1912976.4323219__1.4323219	357276__I8VN48__ABI39_07855
ERR1912976.4323422__1.4323422	1262986__R6AT92__BN492_00084
ERR1912976.4323489__1.4323489	552398__F4XBY9__HMPREF0866_00900
ERR1912976.4323608__1.4323608	360807__A0A173TV21__RIL183_14191
ERR1912976.4323801__1.4323801	33038__A7AXY7__CDL27_09020
ERR1912976.4323881__1.4323881	329854__R5MCJ1__DXD57_00165
ERR1912976.4323901__1.4323901	33038__A0A2N5NXH5__CDL27_14300
ERR1912976.4324057__1.4324057	29363__A0A173XXF0__CP373A1_10235
ERR1912976.4324061__1.4324061	28052__A0A174GFL5__ERS852451_00478
ERR1912976.4324118__1.4324118	820__A0A3E4G826__C801_01612
ERR1912976.4324165__1.4324165	29361__B6FRT6__CLONEX_02860
ERR1912976.4324238__1.4324238	820__A0A174LJB2__HMPREF1072_04112
ERR1912976.4324251__1.4324251	214856__A0A174H3U9__ERS852559_00612
ERR1912976.4324730__1.4324730	487174__R5G1E8__DIT83_00510
ERR1912976.4324848__1.4324848	28052__A0A174KBY5__slyD
ERR1912976.4324979__1.4324979	360807__A0A1Q6T5F1__fliF
ERR1912976.4324986__1.4324986	39485__A0A174ZBK4__ERS852490_01585
ERR1912976.4325255__1.4325255	239935__A0A2N8IKW7__pstA
ERR1912976.4325259__1.4325259	33038__R5TMH1__CDL18_12065
ERR1912976.4325330__1.4325330	360807__C0FR49__ROSEINA2194_01203
ERR1912976.4325381__1.4325381	329854__R5MCT6__BACINT_04189
ERR1912976.4325416__1.4325416	820__A7V092__hldE
ERR1912976.4325500__1.4325500	820__A0A078S569__gmhB
ERR1912976.4325532__1.4325532	28117__B0MWX3__BHV66_03010
ERR1912976.4325574__1.4325574	338188__A0A174ETX3__ERS852397_01955
ERR1912976.4325621__1.4325621	33038__A0A2N5NVQ3__CDL19_02550
ERR1912976.4325713__1.4325713	33038__A0A2N5P1G8__lyc
ERR1912976.4325883__1.4325883	33038__A7AZH0__HMPREF1201_02167
ERR1912976.4325917__1.4325917	39485__C4Z6J7__ERS852492_02047
ERR1912976.4326058__1.4326058	28052__A0A174IKM0__ERS852499_00833
ERR1912976.4326301__1.4326301	1318__A0A359YHY5__HMPREF9626_1667
ERR1912976.4326303__1.4326303	39485__A0A174YTF7__ERS852490_01271
ERR1912976.4326361__1.4326361	39485__A0A1Q6PHM3__ERS852490_03067
ERR1912976.4326403__1.4326403	39485__A0A1Q6PHM3__ERS852490_03067
ERR1912976.4326445__1.4326445	329854__R5M4R4__DXD57_00330
ERR1912976.4326525__1.4326525	1897011__A0A1Q6RG62__BHW41_02455
ERR1912976.4326554__1.4326554	626932__G5H5L6__HMPREF9450_00226
ERR1912976.4326616__1.4326616	329854__A0A3D6AT76__DXD57_12190
ERR1912976.4326651__1.4326651	28117__B0MXG7__BHV66_08620
ERR1912976.4326775__1.4326775	821__I9R3W6__DXC16_12455
ERR1912976.4326799__1.4326799	1660__D4U0E6__HMPREF0970_01689
ERR1912976.4326813__1.4326813	33038__A7B7G7__CDL25_12200
ERR1912976.4326924__1.4326924	1263000__R5EAV7__BN466_00502
ERR1912976.4327198__1.4327198	33038__A0A2N5NVC1__CDL18_09740
ERR1912976.4327207__1.4327207	487174__K0X4F7__DDY40_08055
ERR1912976.4327272__1.4327272	1160721__W0U2P8__RBI_I00340
ERR1912976.4327289__1.4327289	147206__GCF_000156215.1_01776
ERR1912976.4327311__1.4327311	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1912976.4327366__1.4327366	394340__group_1007
ERR1912976.4327386__1.4327386	360807__A0A0M6X184__ERS852392_03203
ERR1912976.4327396__1.4327396	33038__A0A3E4VAW9__CDL19_05110
ERR1912976.4327426__1.4327426	1262988__R7N2E4__BN816_01431
ERR1912976.4327428__1.4327428	371601__R6JE01__SAMN05216250_10396
ERR1912976.4327704__1.4327704	2292352__A0A374UIX0__DXC23_12260
ERR1912976.4327727__1.4327727	216816__V6XY04__APK78_02285
ERR1912976.4327761__1.4327761	501571__R8W5C1__SAMN02745978_01154
ERR1912976.4327782__1.4327782	165179__A0A3E4SID1__DXB80_01945
ERR1912976.4327893__1.4327893	28052__R7NCP0__ERS852451_00670
ERR1912976.4327903__1.4327903	28116__A0A1Y4P7B7__M088_2098
ERR1912976.4327946__1.4327946	246787__A0A0P0GR24__BcellWH2_03263
ERR1912976.4328112__1.4328112	556259__E5C7G5__BSGG_0441
ERR1912976.4328193__1.4328193	165179__D1PHC0__PREVCOP_06640
ERR1912976.4328421__1.4328421	329854__B3CHY3__DXK01_05415
ERR1912976.4328727__1.4328727	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.4328754__1.4328754	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4328766__1.4328766	165179__A0A3E5EDV6__DXC61_03365
ERR1912976.4328846__1.4328846	10680__GeneID:1261092
ERR1912976.4329158__1.4329158	329854__A0A3E4IFR4__DXD27_22685
ERR1912976.4329182__1.4329182	745368__A0A1T4Y443__SAMN02745178_02724
ERR1912976.4329229__1.4329229	552398__F4XCR9__HMPREF0866_01636
ERR1912976.4329441__1.4329441	821__E5UMZ6__BVU_1450
ERR1912976.4329550__1.4329550	165179__A0A3E5DY64__CFT61_10025
ERR1912976.4329779__1.4329779	28116__I8YA52__M088_0798
ERR1912976.4329842__1.4329842	2108523__A0A2P2F586__LAWASA_1166
ERR1912976.4330056__1.4330056	562__P23837__phoQ
ERR1912976.4330026__1.4330026	817__A0A396BRW8__gldM
ERR1912976.4330089__1.4330089	1263000__R5EXT3__BN466_02213
ERR1912976.4330174__1.4330174	818__A0A174WSX6__Btheta7330_01915
ERR1912976.4330307__1.4330307	501571__R8VTG3__B5F15_14875
ERR1912976.4330381__1.4330381	821__A0A395UNT8__DXD64_15275
ERR1912976.4330457__1.4330457	487174__K0WWY0__DIT83_10195
ERR1912976.4330552__1.4330552	39485__C4Z6Z5__EUBELI_20593
ERR1912976.4330605__1.4330605	106588__A6P303__BACCAP_04887
ERR1912976.4330619__1.4330619	2292352__A0A374UL49__DXC23_11310
ERR1912976.4330649__1.4330649	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912976.4330677__1.4330677	39485__R5ZPP8__EUBELI_20334
ERR1912976.4330712__1.4330712	1262921__R5M951__BN473_02141
ERR1912976.4330842__1.4330842	33038__A0A396G387__HMPREF1201_01180
ERR1912976.4331177__1.4331177	33038__A0A396G7U5__CDL21_03845
ERR1912976.4331361__1.4331361	33038__F7JTF2__CDL22_02335
ERR1912976.4331398__1.4331398	410072__A0A173YGR9__ERS852389_00952
ERR1912976.4331442__1.4331442	46503__R6X607__HMPREF1060_03545
ERR1912976.4331545__1.4331545	360807__A0A0M6WZV0__ERS852392_03150
ERR1912976.4331638__1.4331638	39485__A0A174YKY3__EUBELI_00877
ERR1912976.4331650__1.4331650	39485__A0A174YKY3__EUBELI_00877
ERR1912976.4331653__1.4331653	33038__A7AYC4__CDL21_13075
ERR1912976.4331741__1.4331741	39491__A0A396FKI0__DXC13_11560
ERR1912976.4331823__1.4331823	821__A0A396F9T7__M097_3427
ERR1912976.4331816__1.4331816	33038__A7B5W1__CDL22_11645
ERR1912976.4331982__1.4331982	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.4332065__1.4332065	1262911__R6GTG0__BN557_01247
ERR1912976.4332526__1.4332526	821__A0A174K302__CUU_3129
ERR1912976.4332509__1.4332509	706562__GCA_900112995.1_01625
ERR1912976.4332630__1.4332630	329854__B3C9R7__DXD57_13140
ERR1912976.4332678__1.4332678	301301__A0A395V8W4__RHOM_04130
ERR1912976.4332849__1.4332849	33038__A0A396G7D8__asnB
ERR1912976.4332858__1.4332858	84024__A0A173X701__lyc_1
ERR1912976.4332879__1.4332879	39485__A0A174Z2K9__ERS852490_02052
ERR1912976.4332863__1.4332863	33038__A7B8N9__CDL21_10000
ERR1912976.4332981__1.4332981	301302__A0A173S3L8__vpr
ERR1912976.4333030__1.4333030	1262886__R6QI91__BN563_00800
ERR1912976.4333078__1.4333078	1304__A0A074IZ18__rr13_5
ERR1912976.4333287__1.4333287	39485__R5ZNG4__yerB
ERR1912976.4333426__1.4333426	562__P64549__K758_00320
ERR1912976.4333503__1.4333503	821__A0A395UNT8__DXD64_15275
ERR1912976.4333611__1.4333611	40519__U2MCQ8__RUMCAL_00556
ERR1912976.4333700__1.4333700	821__A6L0C7__ERS852556_03520
ERR1912976.4333763__1.4333763	1263076__GCA_000437615.1_00015
ERR1912976.4333976__1.4333976	165179__A0A3E5AER8__DXB80_07075
ERR1912976.4333998__1.4333998	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.4334263__1.4334263	821__D4V4X2__DXC16_18525
ERR1912976.4334280__1.4334280	487174__K0X7X4__DIT83_09125
ERR1912976.4334378__1.4334378	487174__K0X429__HMPREF9448_00932
ERR1912976.4334616__1.4334616	1262824__R6SR17__BN719_01913
ERR1912976.4334645__1.4334645	2108523__A0A2P2F214__LAWASA_27
ERR1912976.4334728__1.4334728	1263076__GCA_000437615.1_00023
ERR1912976.4334839__1.4334839	328814__GCA_004558275.1_00036
ERR1912976.4334884__1.4334884	28118__F9Z5U0__sfp
ERR1912976.4334910__1.4334910	301301__A0A395V573__RHOM_13925
ERR1912976.4335157__1.4335157	28052__A0A174GR15__mcp3_1
ERR1912976.4335529__1.4335529	884684__GCA_002892425.1_01408
ERR1912976.4335532__1.4335532	1262824__R6S5T1__BN719_00762
ERR1912976.4335599__1.4335599	820__A0A3E4W7J3__DXC07_00330
ERR1912976.4335647__1.4335647	649756__D4MY87__ERS852520_02651
ERR1912976.4335652__1.4335652	820__A0A139JUD3__DXC91_19380
ERR1912976.4335746__1.4335746	1262743__R5C054__BN727_01980
ERR1912976.4335748__1.4335748	165179__D1PHC0__PREVCOP_06640
ERR1912976.4335859__1.4335859	46503__R6Y9P8__evgS_3
ERR1912976.4335839__1.4335839	817__A0A0I9S4K8__AC141_04970
ERR1912976.4335911__1.4335911	1262911__R6GUQ4__BN557_01581
ERR1912976.4335964__1.4335964	28116__A0A1G6G396__DXD69_22115
ERR1912976.4336103__1.4336103	39485__C4Z390__EUBELI_01689
ERR1912976.4336105__1.4336105	821__A6L0C7__ERS852556_03520
ERR1912976.4336126__1.4336126	820__A0A3E4GFT8__HMPREF1073_03236
ERR1912976.4336225__1.4336225	821__A0A3E4KIM1__M097_3660
ERR1912976.4336294__1.4336294	501571__R8VV23__B5F15_14165
ERR1912976.4336457__1.4336457	28052__R7N8Y9__macB_4
ERR1912976.4336662__1.4336662	214856__A0A174FWM7__ERS852559_00590
ERR1912976.4336663__1.4336663	214856__A0A174FWM7__ERS852559_00590
ERR1912976.4336769__1.4336769	39485__R5ZHA7__ERS852490_00039
ERR1912976.4336794__1.4336794	1263076__GCA_000437615.1_00183
ERR1912976.4336940__1.4336940	1897011__A0A1Q6RJ96__BHW41_00350
ERR1912976.4337071__1.4337071	821__A0A3E4WAR6__DXD64_10735
ERR1912976.4337058__1.4337058	39485__C4Z6K2__ERS852490_00407
ERR1912976.4337182__1.4337182	39485__A0A174Z9M2__yhbU_1
ERR1912976.4337620__1.4337620	39485__C4Z5L2__ERS852490_00659
ERR1912976.4338109__1.4338109	1263000__R5EGY6__BN466_00973
ERR1912976.4338221__1.4338221	39485__A0A174YVB5__lyc
ERR1912976.4338536__1.4338536	357276__I8VN48__ABI39_07855
ERR1912976.4338579__1.4338579	33038__A7B3I2__DXD36_11565
ERR1912976.4338690__1.4338690	28052__R7NDB6__ERS852499_00304
ERR1912976.4338887__1.4338887	487175__D9Y712__HMPREF9439_02495
ERR1912976.4339148__1.4339148	301301__G2SX14__RHOM_09085
ERR1912976.4339188__1.4339188	28052__R7NBF1__yycG_1
ERR1912976.4339313__1.4339313	33038__A0A2N5PU17__C5Y99_11950
ERR1912976.4339308__1.4339308	853__E2ZJT1__C4N23_03535
ERR1912976.4339432__1.4339432	2137880__A0A316NJ34__DBY21_09630
ERR1912976.4339451__1.4339451	33038__A7B3I2__DXD36_11565
ERR1912976.4339486__1.4339486	357276__I9QBT7__BSEG_03340
ERR1912976.4339525__1.4339525	246787__I8V2S2__BACCELL_02524
ERR1912976.4339639__1.4339639	102684__A0A380KL19__Sinf_0535
ERR1912976.4339876__1.4339876	301301__A0A395VAL3__mcp2_2
ERR1912976.4339928__1.4339928	552398__T5S086__HMPREF0866_01580
ERR1912976.4340453__1.4340453	1160721__W0U3P8__RBI_I00386
ERR1912976.4340482__1.4340482	242750__D1PVG9__HMPREF0645_0954
ERR1912976.4340652__1.4340652	165179__A0A3E5AER8__DXB80_07075
ERR1912976.4340830__1.4340830	328814__GCA_004558275.1_00007
ERR1912976.4340946__1.4340946	116085__D4JBZ2__DW747_00595
ERR1912976.4341089__1.4341089	39485__A0A174YSU1__ERS852492_00576
ERR1912976.4341095__1.4341095	487174__K0XG81__HMPREF9448_02274
ERR1912976.4341145__1.4341145	329854__R7E3J6__BACINT_00489
ERR1912976.4341220__1.4341220	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1912976.4341466__1.4341466	33038__A0A2N5PXI0__C5Y99_10810
ERR1912976.4341461__1.4341461	239935__A0A2N8IUK0__CXU01_07370
ERR1912976.4341577__1.4341577	1160721__W0U1Y8__BHW50_02040
ERR1912976.4341604__1.4341604	33038__F7JTR7__CDL22_03005
ERR1912976.4341647__1.4341647	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1912976.4341763__1.4341763	2292352__A0A374UNM1__DXC23_01675
ERR1912976.4341832__1.4341832	39488__A0A173RNK2__EHLA_2455
ERR1912976.4341902__1.4341902	360807__A0A174EGV9__ROSEINA2194_01773
ERR1912976.4342059__1.4342059	33038__A0A2N5NTT9__ERS852409_01418
