ERR1913297.53__1.53	820__A0A139K5A6__DXB48_12175
ERR1913297.723767__1.723767	106588__A6NUL8__BACCAP_01900
ERR1913297.723844__1.723844	39491__A0A395ZE48__DXB76_02395
ERR1913297.723817__1.723817	357276__I8WPR6__EL88_06675
ERR1913297.723821__1.723821	39491__A0A173U130__ERE_16110
ERR1913297.723872__1.723872	166486__D4L457__ROSINTL182_07087
ERR1913297.723904__1.723904	1297617__A0A0S2W724__IB211_02743
ERR1913297.723968__1.723968	301302__R5VGE0__ERS852420_00121
ERR1913297.724026__1.724026	40520__A0A174GNL5__DXD81_10555
ERR1913297.724036__1.724036	28052__R7NFQ5__ERS852499_01906
ERR1913297.724042__1.724042	820__A0A174R952__DXB48_02570
ERR1913297.724268__1.724268	39492__D4JR20__trmD
ERR1913297.724262__1.724262	39492__D4JW28__spoVFA
ERR1913297.724296__1.724296	39492__D4JTB5__EUBSIR_01720
ERR1913297.724302__1.724302	39492__D4MIK7__EUBSIR_00676
ERR1913297.724359__1.724359	40518__R5E6K4__RB5AMG_02070
ERR1913297.724408__1.724408	28052__R7NDD4__ywtF
ERR1913297.724413__1.724413	1535__A7VUH5__CLOLEP_02221
ERR1913297.724472__1.724472	39492__R6SA81__EUBSIR_00402
ERR1913297.724495__1.724495	310298__B3JFI7__BACCOP_00636
ERR1913297.724590__1.724590	39491__R6UMS6__DXD13_07035
ERR1913297.724617__1.724617	357276__I9QWD4__DXD47_15075
ERR1913297.724666__1.724666	39491__A0A395ZJZ1__LD38_01870
ERR1913297.724795__1.724795	39492__D4JQU2__EUBSIR_01294
ERR1913297.724845__1.724845	39491__A0A395ZDC6__addB
ERR1913297.724849__1.724849	338188__K5CPU8__BACFIN_06494
ERR1913297.725034__1.725034	820__A0A3E4RUC4__DHU98_02635
ERR1913297.725045__1.725045	39492__D4JVG7__ERS852540_00946
ERR1913297.725008__1.725008	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913297.725120__1.725120	39492__D4JUN0__EUBSIR_02705
ERR1913297.725208__1.725208	40518__R5DVQ2__DXD93_00365
ERR1913297.725285__1.725285	1262886__R6Q989__BN563_01287
ERR1913297.725530__1.725530	357276__I9R994__BACDOR_04044
ERR1913297.725574__1.725574	28116__A0A395VSP8__ERS852555_02642
ERR1913297.725619__1.725619	820__A7V470__HMPREF1072_02076
ERR1913297.725538__1.725538	28052__A0A174YX76__mcp4_5
ERR1913297.725636__1.725636	28052__A0A174YNL0__ERS852499_00232
ERR1913297.725649__1.725649	1896974__A0A1Q6H7S4__BHV77_07555
ERR1913297.725732__1.725732	28117__B0MY40__BHV66_05170
ERR1913297.725778__1.725778	291644__R5JSX2__HMPREF1071_01120
ERR1913297.725798__1.725798	357276__I9R4T1__IY41_06800
ERR1913297.725916__1.725916	820__A0A173YYG4__evgS_3
ERR1913297.725895__1.725895	39492__D4JVC7__yfgF
ERR1913297.726058__1.726058	39491__A0A395V5R3__EUBREC_1883
ERR1913297.726093__1.726093	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913297.726154__1.726154	410072__A0A173XQG6__ERS852574_01620
ERR1913297.726250__1.726250	39491__A0A395V1Y4__DXB99_08035
ERR1913297.726320__1.726320	39492__D4JU30__EUBSIR_00838
ERR1913297.726393__1.726393	88431__A0A174LBC0__DORLON_00105
ERR1913297.726425__1.726425	338188__R6S0J1__BACFIN_08786
ERR1913297.726430__1.726430	301302__R5UUM8__ganB_1
ERR1913297.726507__1.726507	39492__D4JQS6__ykoD
ERR1913297.726600__1.726600	39492__D4JSG7__EUBSIR_01006
ERR1913297.726640__1.726640	39491__A0A395ZG74__licR
ERR1913297.726717__1.726717	357276__I9RD92__BACDOR_04262
ERR1913297.726800__1.726800	853__A0A2A7A4A9__C4N21_14870
ERR1913297.726827__1.726827	1550024__A0A3B9WI04__ASJ35_06105
ERR1913297.726839__1.726839	28052__R7NFJ0__lytR_8
ERR1913297.726989__1.726989	821__A0A3E4WAR6__DXD64_10735
ERR1913297.727000__1.727000	39492__D4JV86__spoIIE
ERR1913297.727002__1.727002	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.727114__1.727114	39492__D4JVC7__yfgF
ERR1913297.727284__1.727284	1150298__A0A174T452__kfoC_3
ERR1913297.727222__1.727222	39492__D4JR20__trmD
ERR1913297.727224__1.727224	39491__C4Z9K0__DXD95_07445
ERR1913297.727309__1.727309	39491__A0A395UYA6__EUBREC_0408
ERR1913297.727396__1.727396	28117__B0MWZ9__ALIPUT_01735
ERR1913297.727403__1.727403	1262930__R6AR84__BN693_01414
ERR1913297.727615__1.727615	357276__I8WBQ9__HMPREF1065_03212
ERR1913297.727647__1.727647	820__A0A396EWL3__ERS417307_03868
ERR1913297.727671__1.727671	322505__xre_3
ERR1913297.727722__1.727722	823__A0A078SYK6__DXB14_02485
ERR1913297.727729__1.727729	39491__A0A396FGM9__fliU_1
ERR1913297.727817__1.727817	239935__A0A2N8HPS5__Amuc_0950
ERR1913297.727924__1.727924	28116__A7LS02__DXF98_24100
ERR1913297.727851__1.727851	2173__A0A1D2WS51__METSMIALI_00230
ERR1913297.727943__1.727943	39492__D4JUN0__EUBSIR_02705
ERR1913297.727972__1.727972	820__A0A374Q1D8__SAMN05444418_112114
ERR1913297.728057__1.728057	39492__D4JRZ7__smc
ERR1913297.728099__1.728099	29361__B6FKH5__CLONEX_00621
ERR1913297.728062__1.728062	39491__A0A173TAZ5__DXB99_09520
ERR1913297.728088__1.728088	820__A0A3E4WA06__ERS852554_03404
ERR1913297.728131__1.728131	357276__A0A1Y3Z3W0__IY41_20500
ERR1913297.728155__1.728155	40518__R5E6U1__yunB
ERR1913297.728216__1.728216	357276__B6W1Y5__IY41_11405
ERR1913297.728258__1.728258	39492__D4JTL0__EUBSIR_01428
ERR1913297.728337__1.728337	357276__A0A076IS46__BACDOR_03265
ERR1913297.728441__1.728441	823__A0A173TL14__M095_0764
ERR1913297.728463__1.728463	166486__D4KZ45__ROSINTL182_05738
ERR1913297.728467__1.728467	39492__D4JRV7__EUBSIR_01513
ERR1913297.728479__1.728479	301302__A0A0M6WYL6__ERS852420_02628
ERR1913297.728685__1.728685	357276__D1JY58__BACDOR_04277
ERR1913297.728701__1.728701	39491__A0A396FFW0__ERE_10580
ERR1913297.728741__1.728741	28052__A0A174Z2D5__mcp2_3
ERR1913297.728853__1.728853	28117__B0MWH8__BHV66_01330
ERR1913297.728828__1.728828	39491__A0A395UZ82__EUR_31520
ERR1913297.728890__1.728890	39491__A0A396FUZ3__phoR_1
ERR1913297.729113__1.729113	40518__R5E4X1__DXD93_05270
ERR1913297.729287__1.729287	357276__D1K526__GV66_17250
ERR1913297.729293__1.729293	28116__C3QZB5__M088_3811
ERR1913297.729396__1.729396	649756__L1PU84__ERS852571_01295
ERR1913297.729416__1.729416	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913297.729492__1.729492	39485__C4Z2I5__ERS852492_02214
ERR1913297.729501__1.729501	39492__D4MJF3__EUBSIR_02248
ERR1913297.729564__1.729564	820__A0A139JRS5__HMPREF1073_04025
ERR1913297.729589__1.729589	706562__GCA_900112995.1_00651
ERR1913297.729682__1.729682	39492__D4JU57__EUBSIR_00802
ERR1913297.729705__1.729705	39492__D4JQP0__ypeB
ERR1913297.729725__1.729725	820__A0A173XIP7__B5G17_16050
ERR1913297.729779__1.729779	40518__R5E8B6__RB5AMG_00876
ERR1913297.729794__1.729794	39492__D4JTG7__EUBSIR_00572
ERR1913297.729858__1.729858	239935__A0A2N8IYM5__CXT84_05130
ERR1913297.729906__1.729906	204516__U6RAM4__HMPREF1534_03439
ERR1913297.730150__1.730150	357276__E5UTL1__HMPREF1065_03551
ERR1913297.730164__1.730164	820__A0A3E4QZJ7__C801_01798
ERR1913297.730201__1.730201	1262911__R6HIJ8__BN557_01742
ERR1913297.730268__1.730268	820__A0A139KHX1__HMPREF2141_00289
ERR1913297.730287__1.730287	626929__R5JTP9__HMPREF9445_01944
ERR1913297.730370__1.730370	820__R9I2U8__DXC68_09590
ERR1913297.730627__1.730627	360807__A0A173TV21__RIL183_14191
ERR1913297.730635__1.730635	39492__D4JXA0__ERS852540_02538
ERR1913297.730678__1.730678	39491__A0A395UWZ1__DXC13_02175
ERR1913297.730691__1.730691	39492__D4JV48__ERS852540_00852
ERR1913297.730780__1.730780	39492__D4JTF2__mutS2
ERR1913297.730823__1.730823	39491__A0A395ZF49__DXB69_05290
ERR1913297.730863__1.730863	39492__D4JSG7__EUBSIR_01006
ERR1913297.731012__1.731012	28052__A0A174PF05__ERS852451_02043
ERR1913297.731016__1.731016	39492__D4MJF3__EUBSIR_02248
ERR1913297.731031__1.731031	39492__D4JV86__spoIIE
ERR1913297.731060__1.731060	39492__D4JQS6__ykoD
ERR1913297.731260__1.731260	39492__D4MM10__EUBSIR_01460
ERR1913297.731272__1.731272	39491__A0A396FRE7__EUR_27520
ERR1913297.731253__1.731253	39492__B0MNU1__ERS852540_02349
ERR1913297.731307__1.731307	39488__A0A173UR01__ERS852450_02793
ERR1913297.731328__1.731328	39492__D4JR58__EUBSIR_02090
ERR1913297.731333__1.731333	384639__GCA_003096855.1_01192
ERR1913297.731342__1.731342	823__A6LHK0__M090_1297
ERR1913297.731344__1.731344	291644__I9T317__ERS852428_03619
ERR1913297.731346__1.731346	291644__I9HQ59__HMPREF1071_02479
ERR1913297.731404__1.731404	39491__C4ZHS4__EUR_24420
ERR1913297.731416__1.731416	322505__xre_3
ERR1913297.731519__1.731519	1262743__R5C7D3__BN727_00606
ERR1913297.731785__1.731785	28111__R5K5Y0__NCTC11155_03071
ERR1913297.731802__1.731802	820__A7V092__hldE
ERR1913297.731850__1.731850	820__A0A174TRB5__DXD40_11305
ERR1913297.731860__1.731860	39485__A0A174Z7G5__EUBELI_01168
ERR1913297.731913__1.731913	39491__A0A395UVM9__DXB76_04540
ERR1913297.731938__1.731938	820__A0A3E4G493__ERS417307_00253
ERR1913297.731945__1.731945	39492__D4JV86__spoIIE
ERR1913297.732020__1.732020	39491__A0A173SH34__EUR_24920
ERR1913297.732045__1.732045	39492__D4JV38__EUBSIR_01205
ERR1913297.732058__1.732058	820__A0A3E4G8F8__ERS852421_01645
ERR1913297.732264__1.732264	28116__I9SW74__BACOVA_04237
ERR1913297.732290__1.732290	820__A0A078S569__gmhB
ERR1913297.732303__1.732303	291644__I8YR49__ERS852428_01188
ERR1913297.732469__1.732469	338188__R6RPM1__BACFIN_05401
ERR1913297.732503__1.732503	301302__R5UTG6__M72_25801
ERR1913297.732505__1.732505	39491__A0A396FPV7__ERS852580_01177
ERR1913297.732556__1.732556	39492__D4JQM9__EUBSIR_00669
ERR1913297.732631__1.732631	820__A0A174VD39__DXD90_12235
ERR1913297.732635__1.732635	820__A0A3E4IGA7__DXD40_07110
ERR1913297.732636__1.732636	1263005__R6EU62__BN497_00984
ERR1913297.732643__1.732643	39492__D4JSS2__EUBSIR_00553
ERR1913297.732713__1.732713	28052__A0A174MGP2__lyc_2
ERR1913297.732773__1.732773	39492__D4JXA0__ERS852540_02538
ERR1913297.732853__1.732853	47678__A5ZEA3__ERS852558_00257
ERR1913297.732917__1.732917	39492__D4JWL2__ERS852540_01201
ERR1913297.732918__1.732918	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.732966__1.732966	1262911__R6GVB3__BN557_01690
ERR1913297.733048__1.733048	39492__D4JT75__EUBSIR_01776
ERR1913297.733062__1.733062	39491__A0A395V1Y4__DXB99_08035
ERR1913297.733067__1.733067	39492__B0MNU1__ERS852540_02349
ERR1913297.733071__1.733071	39492__R6SA81__EUBSIR_00402
ERR1913297.733129__1.733129	40518__R5DVR2__RBL236_00303
ERR1913297.733258__1.733258	384639__GCA_003096855.1_00972
ERR1913297.733308__1.733308	40518__R5E4V5__RBL263_01242
ERR1913297.733335__1.733335	821__A0A173XDD3__DXB82_17180
ERR1913297.733372__1.733372	39491__A0A396FEW6__T1815_18721
ERR1913297.733374__1.733374	39491__C4Z9E9__T1815_12341
ERR1913297.733523__1.733523	239935__R6JAS2__CXU02_10725
ERR1913297.733573__1.733573	39492__D4JRM4__tap_5
ERR1913297.733686__1.733686	820__A0A078S4C2__ERS417307_00828
ERR1913297.733727__1.733727	39492__D4JRM4__tap_5
ERR1913297.733860__1.733860	39491__A0A396FJA4__DXB99_05435
ERR1913297.733995__1.733995	1262743__R5C7B5__BN727_00586
ERR1913297.734038__1.734038	39492__D4JWA3__ERS852540_01332
ERR1913297.734060__1.734060	39492__D4JX87__EUBSIR_00361
ERR1913297.734144__1.734144	301302__R5UQ61__M72_23071
ERR1913297.734156__1.734156	166486__D4L457__ROSINTL182_07087
ERR1913297.734166__1.734166	357276__D1JYA0__EL88_06560
ERR1913297.734495__1.734495	39492__B0MNQ2__EUBSIR_01459
ERR1913297.734558__1.734558	39492__R6SA81__EUBSIR_00402
ERR1913297.734638__1.734638	39491__A0A395V1Y4__DXB99_08035
ERR1913297.734648__1.734648	820__A0A3E4XDK3__ERS852554_03650
ERR1913297.734923__1.734923	823__A0A355XKQ8__DHP27_04010
ERR1913297.734949__1.734949	39491__C4ZF05__vpr
ERR1913297.734989__1.734989	39491__A0A395UYA6__EUBREC_0408
ERR1913297.735027__1.735027	2022527__A0A264Y8U3__CHL74_04860
ERR1913297.735078__1.735078	1150298__A0A174GQV8__ERS852406_02454
ERR1913297.735087__1.735087	1262911__R6GR13__BN557_00618
ERR1913297.735361__1.735361	29361__B6FRT6__CLONEX_02860
ERR1913297.735421__1.735421	357276__B6W5Q7__DXD47_13945
ERR1913297.735422__1.735422	820__A0A3E4PYB0__yejM
ERR1913297.735469__1.735469	1150298__A0A174CCD5__ERS852406_01310
ERR1913297.735559__1.735559	823__A0A173RD26__B5F32_03910
ERR1913297.735677__1.735677	39492__D4MJF3__EUBSIR_02248
ERR1913297.735653__1.735653	39492__D4JWG3__EUBSIR_00308
ERR1913297.735655__1.735655	39491__A0A395ZDC6__addB
ERR1913297.735736__1.735736	39491__A0A395UYA6__EUBREC_0408
ERR1913297.735737__1.735737	39492__D4JRV7__EUBSIR_01513
ERR1913297.735753__1.735753	357276__C3R5A0__B5F00_02960
ERR1913297.735911__1.735911	39491__R6TQ09__DXC13_03010
ERR1913297.735917__1.735917	820__A0A3E4GE89__DXB48_02565
ERR1913297.736002__1.736002	853__A0A2A7B1Y7__C7K05_11930
ERR1913297.736213__1.736213	820__A0A3E4W984__pssA
ERR1913297.736331__1.736331	39492__D4JVG7__ERS852540_00946
ERR1913297.736289__1.736289	1262886__R6QAM6__BN563_01696
ERR1913297.736356__1.736356	322505__group_105
ERR1913297.736383__1.736383	823__A0A395YRW4__DD466_15895
ERR1913297.736509__1.736509	28116__E5C458__BACOV975_02730
ERR1913297.736525__1.736525	204516__U6R8I1__HMPREF1534_03341
ERR1913297.736780__1.736780	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913297.736798__1.736798	823__A0A355XKQ8__DHP27_04010
ERR1913297.736863__1.736863	39492__B0MPL6__EUBSIR_01779
ERR1913297.736864__1.736864	823__A0A069S0G2__DXB14_03195
ERR1913297.736929__1.736929	166486__D4KUL4__pemA
ERR1913297.737042__1.737042	39488__A0A374MTU0__ERS852578_02616
ERR1913297.737120__1.737120	39492__R6RT40__prkC_3
ERR1913297.737371__1.737371	39492__D4JTF2__mutS2
ERR1913297.737424__1.737424	28052__R7NEJ4__ERS852451_01746
ERR1913297.737425__1.737425	214851__D1PKC5__SUBVAR_04800
ERR1913297.737541__1.737541	820__A0A174QT76__B5G17_18060
ERR1913297.737505__1.737505	301302__A0A0M6WJW1__ERS852420_02245
ERR1913297.737568__1.737568	357276__A0A076IYE6__IY41_04275
ERR1913297.737908__1.737908	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913297.737978__1.737978	39491__A0A173QT73__alaS_2
ERR1913297.737991__1.737991	357276__A0A0K2HKT7__B5F95_21090
ERR1913297.737997__1.737997	239935__A0A139TPU7__CXT91_06575
ERR1913297.738032__1.738032	820__A0A174A6K0__M093_0079
ERR1913297.738133__1.738133	39492__D4JW25__EUBSIR_02203
ERR1913297.738265__1.738265	39492__D4JRV7__EUBSIR_01513
ERR1913297.738302__1.738302	166486__D4L1P5__ERS852572_00758
ERR1913297.738424__1.738424	39492__D4JQY4__EUBSIR_01325
ERR1913297.738456__1.738456	418240__A0A174B589__ERS852523_01681
ERR1913297.738470__1.738470	39492__D4JSA4__ERS852540_00596
ERR1913297.738737__1.738737	820__A0A174GYA8__DXB64_07370
ERR1913297.738782__1.738782	823__A0A395YRX4__ERS852513_03444
ERR1913297.738872__1.738872	39492__D4JW25__EUBSIR_02203
ERR1913297.738873__1.738873	301302__R5UMU6__M72_26821
ERR1913297.738932__1.738932	820__A0A396EWL3__ERS417307_03868
ERR1913297.739031__1.739031	1262915__R6HFW1__BN574_00201
ERR1913297.739105__1.739105	28052__R7NCP0__ERS852451_00670
ERR1913297.739115__1.739115	301302__A0A173S436__M72_16191
ERR1913297.739134__1.739134	410072__A0A173Y8R3__rng
ERR1913297.739136__1.739136	820__A0A139JUD3__DXC91_19380
ERR1913297.739161__1.739161	39492__D4JW10__pppA
ERR1913297.739259__1.739259	39492__D4JWD3__EUBSIR_00151
ERR1913297.739225__1.739225	39491__A0A395ZHV7__ykvU
ERR1913297.739271__1.739271	39492__B0MM84__lgt
ERR1913297.739406__1.739406	39492__D4JQM9__EUBSIR_00669
ERR1913297.739427__1.739427	39491__A0A173QT73__alaS_2
ERR1913297.739539__1.739539	35833__E5Y2B5__HMPREF0179_00325
ERR1913297.739588__1.739588	40518__R5E2R8__nnr_2
ERR1913297.739646__1.739646	39491__A0A396FNY7__LD38_16155
ERR1913297.739619__1.739619	28116__I9SW74__BACOVA_04237
ERR1913297.739758__1.739758	29361__B6FRT6__CLONEX_02860
ERR1913297.739769__1.739769	39492__D4JT75__EUBSIR_01776
ERR1913297.739931__1.739931	39492__D4JQS6__ykoD
ERR1913297.739873__1.739873	626929__F3PKH5__HMPREF9445_02532
ERR1913297.740031__1.740031	357276__I8WEZ6__BACDOR_02323
ERR1913297.740085__1.740085	39491__A0A395V464__EUBREC_1509
ERR1913297.740134__1.740134	28052__A0A174J1L8__ERS852451_00926
ERR1913297.740193__1.740193	39491__A0A396FPV7__ERS852580_01177
ERR1913297.740254__1.740254	166486__C7GAX1__ERS852572_03188
ERR1913297.740365__1.740365	39491__A0A396FUZ3__phoR_1
ERR1913297.740471__1.740471	39492__A0A174ZL16__EUBSIR_01269
ERR1913297.740542__1.740542	39492__R6SPM9__pheT
ERR1913297.740595__1.740595	39492__D4JVW2__EUBSIR_02285
ERR1913297.740673__1.740673	820__A0A3E4PYB0__yejM
ERR1913297.740692__1.740692	820__A7V092__hldE
ERR1913297.740733__1.740733	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913297.740767__1.740767	820__A0A174CG08__DXB62_13215
ERR1913297.740855__1.740855	39492__D4MIX3__ERS852540_01230
ERR1913297.740993__1.740993	166486__D4L273__ERS852572_01638
ERR1913297.740999__1.740999	39491__A0A396FF66__DXD95_01810
ERR1913297.741064__1.741064	39491__A0A396FMF1__EUR_28700
ERR1913297.741061__1.741061	39492__D4JT91__EUBSIR_01750
ERR1913297.741149__1.741149	357276__C3RA36__HMPREF1065_03270
ERR1913297.741243__1.741243	2108523__A0A2P2F3W3__LAWASA_692
ERR1913297.741195__1.741195	39492__D4JRY3__EUBSIR_01473
ERR1913297.741261__1.741261	820__A0A374Q8T2__DXB64_16190
ERR1913297.741301__1.741301	2173__A0A1D2WST6__METSMIALI_00213
ERR1913297.741400__1.741400	39492__D4JRZ7__smc
ERR1913297.741598__1.741598	291644__R5JR56__HMPREF1532_03512
ERR1913297.741655__1.741655	39492__D4MMN2__EUBSIR_00964
ERR1913297.741676__1.741676	820__A0A139KHX1__HMPREF2141_00289
ERR1913297.741711__1.741711	39492__D4JUR4__ERS852540_01427
ERR1913297.741753__1.741753	384639__GCA_003096855.1_01178
ERR1913297.741766__1.741766	39491__A0A396FRK0__ERS852417_00541
ERR1913297.741872__1.741872	820__A7V9F9__B5G17_14640
ERR1913297.741883__1.741883	301302__A0A173S3L8__vpr
ERR1913297.742033__1.742033	823__A0A355XLH0__fepA_1
ERR1913297.742084__1.742084	706562__GCA_900112995.1_02104
ERR1913297.742243__1.742243	39492__D4JQP0__ypeB
ERR1913297.742208__1.742208	1262911__R6GUQ4__BN557_01581
ERR1913297.742397__1.742397	823__A0A355XGQ3__prmC
ERR1913297.742410__1.742410	357276__I9QPN3__EL88_09245
ERR1913297.742627__1.742627	1150298__A0A174N5I7__ERS852498_01953
ERR1913297.742597__1.742597	28052__A0A174N8X0__ERS852499_02136
ERR1913297.742646__1.742646	39492__D4JRZ7__smc
ERR1913297.742654__1.742654	39492__D4JUD7__EUBSIR_01877
ERR1913297.742724__1.742724	204516__U6RFU0__HMPREF1534_02545
ERR1913297.742812__1.742812	39491__A0A396FNY7__LD38_16155
ERR1913297.742817__1.742817	823__C7XA51__BDI_0499
ERR1913297.742838__1.742838	357276__I9QBT4__GV66_09000
ERR1913297.742886__1.742886	39491__A0A174EQV2__DXB69_10230
ERR1913297.742868__1.742868	360807__A0A173YJ94__ERS852444_03492
ERR1913297.742918__1.742918	39491__A0A395ZG74__licR
ERR1913297.743221__1.743221	820__A0A396EXA7__DXB37_15530
ERR1913297.743380__1.743380	39485__A0A174ZA72__glgB_1
ERR1913297.743393__1.743393	39492__D4JWT3__ERS852540_00301
ERR1913297.743555__1.743555	28117__B0MU57__ALIPUT_00175
ERR1913297.743661__1.743661	39492__D4JTF2__mutS2
ERR1913297.743672__1.743672	28052__A0A174HF53__ERS852499_00436
ERR1913297.743768__1.743768	820__A7UYX8__DXD40_11635
ERR1913297.743785__1.743785	39491__A0A0M6WPN4__DXB69_06325
ERR1913297.743799__1.743799	28052__R7NBF1__yycG_1
ERR1913297.743805__1.743805	820__A0A078S4C2__ERS417307_00828
ERR1913297.743835__1.743835	1262911__R6H0U7__BN557_01104
ERR1913297.743989__1.743989	301302__R5UJW6__ERS852420_01698
ERR1913297.744086__1.744086	39492__D4JUD7__EUBSIR_01877
ERR1913297.744111__1.744111	39492__D4JUD9__EUBSIR_01875
ERR1913297.744129__1.744129	823__A0A355XKQ8__DHP27_04010
ERR1913297.744197__1.744197	39492__D4JU79__EUBSIR_01975
ERR1913297.744273__1.744273	820__A0A173YYG4__evgS_3
ERR1913297.744333__1.744333	40518__R5E1X3__clcA
ERR1913297.744412__1.744412	818__A0A174P8N7__BSIG_4141
ERR1913297.744415__1.744415	1262911__R6H1B2__BN557_00840
ERR1913297.744448__1.744448	39492__D4JWR6__dnaN
ERR1913297.744491__1.744491	357276__A0A076IS46__BACDOR_03265
ERR1913297.744569__1.744569	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913297.744586__1.744586	823__A0A173W1W2__M095_4076
ERR1913297.744636__1.744636	39492__D4JSB6__ERS852540_00627
ERR1913297.744659__1.744659	820__A0A173W419__DXC68_17760
ERR1913297.744713__1.744713	357276__B6VXX7__HMPREF1063_02683
ERR1913297.744750__1.744750	301302__R5UQW7__ERS852420_02102
ERR1913297.744751__1.744751	301302__A0A173TTX1__M72_22141
ERR1913297.744752__1.744752	40518__R5DUJ5__DXD83_01635
ERR1913297.744833__1.744833	39492__D4JRZ7__smc
ERR1913297.745050__1.745050	53443__A0A173R800__lyc_1
ERR1913297.745058__1.745058	410072__C0BAZ4__ERS852574_02324
ERR1913297.745098__1.745098	166486__D4L337__msbA_4
ERR1913297.745141__1.745141	28052__A0A174YNE8__ERS852451_00845
ERR1913297.745156__1.745156	1262915__R6HEI3__BN574_01430
ERR1913297.745194__1.745194	28052__A0A174MSU9__ERS852499_02010
ERR1913297.745282__1.745282	166486__D4KXA3__ROSINTL182_05894
ERR1913297.745322__1.745322	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913297.745337__1.745337	1150298__R7JTX5__ERS852535_01291
ERR1913297.745401__1.745401	39492__D4JVG7__ERS852540_00946
ERR1913297.745426__1.745426	357276__I9QWD4__DXD47_15075
ERR1913297.745512__1.745512	39485__C4Z467__ERS852490_01684
ERR1913297.745571__1.745571	39492__D4MIK7__EUBSIR_00676
ERR1913297.745655__1.745655	820__A0A3E4W7J3__DXC07_00330
ERR1913297.745660__1.745660	39492__D4JUP6__ERS852540_01404
ERR1913297.745781__1.745781	88431__A0A174GCE2__ERS852423_01397
ERR1913297.745800__1.745800	39492__D4MJF6__EUBSIR_02251
ERR1913297.745872__1.745872	239935__A0A2N8HPS5__Amuc_0950
ERR1913297.745873__1.745873	823__A6LBY1__ERS852380_00510
ERR1913297.745891__1.745891	1262886__R6QGP5__BN563_00328
ERR1913297.745923__1.745923	1262911__R6GMH5__BN557_00511
ERR1913297.745934__1.745934	239935__A0A139TPG3__CXT86_08810
ERR1913297.745980__1.745980	706562__GCA_900112995.1_01415
ERR1913297.745984__1.745984	39492__D4JVC7__yfgF
ERR1913297.746001__1.746001	357276__A0A076IRZ5__BACDOR_00630
ERR1913297.746015__1.746015	39492__D4JUR4__ERS852540_01427
ERR1913297.746080__1.746080	39492__D4MIY5__EUBSIR_00233
ERR1913297.746442__1.746442	626929__F3PKF4__SAMN05444376_0707
ERR1913297.746461__1.746461	39492__D4JQL8__ywpJ
ERR1913297.746588__1.746588	28111__E5X0Y0__HMPREF1016_02598
ERR1913297.746704__1.746704	301302__R5V631__ERS852420_03369
ERR1913297.746761__1.746761	820__A0A3E4W7J3__DXC07_00330
ERR1913297.746785__1.746785	1262911__R6H174__BN557_01246
ERR1913297.746792__1.746792	1150298__A0A174S2H3__spoIIQ
ERR1913297.746885__1.746885	1262743__R5C7D3__BN727_00606
ERR1913297.746909__1.746909	39492__D4JW25__EUBSIR_02203
ERR1913297.747012__1.747012	39492__D4JVG7__ERS852540_00946
ERR1913297.747084__1.747084	823__A0A395YZ10__NCTC11152_02955
ERR1913297.747189__1.747189	39492__D4JX40__EUBSIR_00020
ERR1913297.747349__1.747349	884684__GCA_002892425.1_01408
ERR1913297.747350__1.747350	39491__A0A174LTW7__DXD13_08720
ERR1913297.747354__1.747354	28111__E5WXQ8__NCTC11155_03183
ERR1913297.747440__1.747440	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.747488__1.747488	39492__D4JX40__EUBSIR_00020
ERR1913297.747496__1.747496	1262915__R6HCJ7__BN574_00649
ERR1913297.747504__1.747504	39485__C4Z1Y9__EUBELI_00143
ERR1913297.747586__1.747586	28052__R7N6Q7__rafA
ERR1913297.747657__1.747657	39492__D4JQS7__ERS852540_01645
ERR1913297.747790__1.747790	556259__I0PXW0__BSGG_5187
ERR1913297.747820__1.747820	1381__group_451
ERR1913297.747840__1.747840	39492__D4JVG7__ERS852540_00946
ERR1913297.747873__1.747873	28116__R6JIR4__DXA80_14190
ERR1913297.747957__1.747957	39492__D4JUL3__nreC_2
ERR1913297.748006__1.748006	39491__A0A3E4YFT8__DXB69_10940
ERR1913297.748107__1.748107	39491__A0A396FI89__DXD95_01300
ERR1913297.748084__1.748084	39491__D4JMW8__ERS852497_01971
ERR1913297.748174__1.748174	28116__A0A078Q626__HMPREF1070_02735
ERR1913297.748157__1.748157	357276__B6W5Q7__DXD47_13945
ERR1913297.748223__1.748223	39492__D4JWM0__atpF
ERR1913297.748318__1.748318	39492__D4JX40__EUBSIR_00020
ERR1913297.748561__1.748561	39491__A0A396FPV7__ERS852580_01177
ERR1913297.748664__1.748664	823__A6LEP0__M091_1976
ERR1913297.748692__1.748692	39492__D4JUD7__EUBSIR_01877
ERR1913297.748700__1.748700	39496__A5Z5I2__EUBVEN_00963
ERR1913297.748760__1.748760	823__A0A174U5E4__BDI_3390
