ERR1913203.14__1.14	239935__A0A2N8IEP3__CXT84_03735
ERR1913203.1031771__1.1031771	214856__R6Z288__ERS852447_00734
ERR1913203.1031742__1.1031742	214856__A0A174EJT5__mnmA
ERR1913203.1031811__1.1031811	1628085__A0A2U1BCM4__C7386_10792
ERR1913203.1032037__1.1032037	1262882__R5ML49__BN519_01361
ERR1913203.1032152__1.1032152	216816__B7GTR6__BLD_0992
ERR1913203.1032587__1.1032587	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1033432__1.1033432	487174__K0XH97__HMPREF9448_01909
ERR1913203.1033582__1.1033582	1262882__R5MHX6__BN519_00733
ERR1913203.1033747__1.1033747	1262882__R5N1R4__BN519_00788
ERR1913203.1033750__1.1033750	1941478__A0A316SUN6__DBY16_04785
ERR1913203.1033938__1.1033938	214856__R6Z320__ERS852447_02148
ERR1913203.1033940__1.1033940	818__A0A2J6AAA9__NCTC10582_00162
ERR1913203.1034236__1.1034236	214856__A0A174ZEF7__mboIIM_1
ERR1913203.1034432__1.1034432	47678__R5U9Z0__HMPREF1061_03210
ERR1913203.1034458__1.1034458	1262882__R5N0C3__BN519_00731
ERR1913203.1034466__1.1034466	410072__A0A174LAX8__DXD67_10655
ERR1913203.1034552__1.1034552	214856__I3YPP3__Alfi_2701
ERR1913203.1034586__1.1034586	29361__B6FRT6__CLONEX_02860
ERR1913203.1034621__1.1034621	1262882__R5N0C3__BN519_00731
ERR1913203.1034687__1.1034687	328814__GCA_004558275.1_00999
ERR1913203.1034709__1.1034709	214856__I3YK71__ERS852559_02472
ERR1913203.1034713__1.1034713	1262882__R5MSI5__BN519_01596
ERR1913203.1034905__1.1034905	1262882__R5N2A9__BN519_00921
ERR1913203.1034991__1.1034991	487174__K0WVG2__DDY40_00285
ERR1913203.1035447__1.1035447	214856__I3YPQ0__ERS852447_01379
ERR1913203.1035449__1.1035449	818__A0A0P0F989__BJP75_019080
ERR1913203.1035525__1.1035525	214856__A0A173YDP1__ERS852559_00120
ERR1913203.1035584__1.1035584	214856__R6Y6H8__ERS852447_01719
ERR1913203.1035629__1.1035629	1262882__R5MJJ9__BN519_01035
ERR1913203.1035732__1.1035732	1262882__R5MYS9__BN519_00290
ERR1913203.1035764__1.1035764	239935__R7DVL7__CXT93_01180
ERR1913203.1035970__1.1035970	357276__I9QBT7__BSEG_03340
ERR1913203.1036142__1.1036142	1965604__A0A1Y4EQD1__B5F54_10040
ERR1913203.1036243__1.1036243	1512__E7GUE1__comEA
ERR1913203.1036270__1.1036270	1262882__R5N1R4__BN519_00788
ERR1913203.1036470__1.1036470	1262882__R5MKU2__BN519_01271
ERR1913203.1036627__1.1036627	214856__R6Z5D0__resA_4
ERR1913203.1036721__1.1036721	1262882__R5MKL9__BN519_00353
ERR1913203.1036973__1.1036973	1262882__R5MMD8__BN519_01576
ERR1913203.1037204__1.1037204	239935__A0A2N8HB50__CXU17_02615
ERR1913203.1037306__1.1037306	214856__A0A173YXX1__ERS852559_01651
ERR1913203.1037463__1.1037463	214856__I3YPR5__ERS852447_01364
ERR1913203.1037553__1.1037553	239935__A0A2N8IU45__DEF40_02365
ERR1913203.1037593__1.1037593	649756__B0NZY6__CL2_25770
ERR1913203.1037808__1.1037808	301302__A0A0M6WSS7__ERS852420_02367
ERR1913203.1038153__1.1038153	214856__A0A174EJT5__mnmA
ERR1913203.1038109__1.1038109	1262882__R5MKX3__BN519_00395
ERR1913203.1038374__1.1038374	1262882__R5MF43__BN519_00282
ERR1913203.1038326__1.1038326	1262882__R5N1Z9__BN519_01020
ERR1913203.1038570__1.1038570	487174__K0X9T7__HMPREF9448_00996
ERR1913203.1038744__1.1038744	1262743__R5C5J9__BN727_01192
ERR1913203.1038769__1.1038769	214856__A0A173YXX1__ERS852559_01651
ERR1913203.1038800__1.1038800	214856__R6Y2Y4__ERS852447_01086
ERR1913203.1038927__1.1038927	1150298__A0A174LLX0__dhaD
ERR1913203.1038980__1.1038980	487174__K0X551__HMPREF9448_02151
ERR1913203.1039126__1.1039126	214856__A0A174CRY5__ERS852559_01060
ERR1913203.1039191__1.1039191	328814__GCA_004558275.1_00993
ERR1913203.1039285__1.1039285	487174__K0WRI1__DIT83_06780
ERR1913203.1039394__1.1039394	239935__A0A2N8IRL2__CXU06_01170
ERR1913203.1039506__1.1039506	47678__R5UAI1__BACCAC_01922
ERR1913203.1039529__1.1039529	1501391__GCA_000786575.1_00141
ERR1913203.1039556__1.1039556	1262911__R6GN99__BN557_01784
ERR1913203.1039620__1.1039620	821__A0A174V2F3__NCTC10583_01474
ERR1913203.1039627__1.1039627	1262911__R6GZ01__BN557_00641
ERR1913203.1039764__1.1039764	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1039765__1.1039765	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1039817__1.1039817	487174__K0X028__DIT83_00950
ERR1913203.1039880__1.1039880	214856__R6YD52__ERS852447_02171
ERR1913203.1040098__1.1040098	39488__A0A285PT25__EUBHAL_01908
ERR1913203.1040101__1.1040101	214856__I3YPR6__Alfi_2724
ERR1913203.1040102__1.1040102	214856__I3YPR6__Alfi_2724
ERR1913203.1040242__1.1040242	1262882__R5MKU2__BN519_01271
ERR1913203.1040401__1.1040401	301302__R5UNJ6__M72_26701
ERR1913203.1040402__1.1040402	301302__R5UNJ6__M72_26701
ERR1913203.1040941__1.1040941	214856__I3YMN6__Alfi_1938
ERR1913203.1041042__1.1041042	214856__R6XUN2__rcsC_1
ERR1913203.1041142__1.1041142	214856__I3YPP0__ERS852447_01388
ERR1913203.1041214__1.1041214	1965604__A0A1Y4EX91__B5F54_00385
ERR1913203.1041182__1.1041182	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913203.1041253__1.1041253	1262882__R5MYX5__BN519_00333
ERR1913203.1041302__1.1041302	214856__A0A174ZD89__ERS852559_00526
ERR1913203.1041432__1.1041432	239935__A0A2N8HT68__ADH72_00510
ERR1913203.1041436__1.1041436	1262882__R5MLP0__BN519_01597
ERR1913203.1041564__1.1041564	1262882__R5MEK3__BN519_00296
ERR1913203.1041591__1.1041591	1262882__R5MYX5__BN519_00333
ERR1913203.1041760__1.1041760	1501391__GCA_000786575.1_00102
ERR1913203.1041966__1.1041966	328813__A0A1Y3QXE7__B5G41_03065
ERR1913203.1042388__1.1042388	328814__GCA_004558275.1_00079
ERR1913203.1042700__1.1042700	1965604__A0A1Y4EP83__B5F54_11720
ERR1913203.1042829__1.1042829	214856__I3YMC8__ERS852447_02666
ERR1913203.1043012__1.1043012	214856__R6Z590__ERS852447_01059
ERR1913203.1043142__1.1043142	328813__A0A1Y3QXE7__B5G41_03065
ERR1913203.1043219__1.1043219	214856__R6YBX3__msbA_2
ERR1913203.1043342__1.1043342	1235835__R9LCU2__C814_02677
ERR1913203.1043353__1.1043353	214856__R6Z3P8__ERS852559_01737
ERR1913203.1043358__1.1043358	214856__R6YD52__ERS852447_02171
ERR1913203.1043360__1.1043360	47678__R5U8D1__CGC64_17595
ERR1913203.1043691__1.1043691	214856__I3YMN6__Alfi_1938
ERR1913203.1043659__1.1043659	214856__I3YPP0__ERS852447_01388
ERR1913203.1043632__1.1043632	487174__K0WTW4__DDY40_12630
ERR1913203.1043768__1.1043768	1262992__R5DC96__BN795_01524
ERR1913203.1043718__1.1043718	239935__A0A2N8IMC9__CXU09_02095
ERR1913203.1043825__1.1043825	189722__E0NQU7__HMPREF0658_0548
ERR1913203.1043932__1.1043932	214856__I3YPQ3__Alfi_2711
ERR1913203.1044001__1.1044001	28118__R6FC01__fepE
ERR1913203.1043976__1.1043976	1262882__R5N5S3__BN519_00085
ERR1913203.1043987__1.1043987	214856__R6XP73__ERS852447_00886
ERR1913203.1044028__1.1044028	214856__R6XS02__ERS852447_01685
ERR1913203.1044043__1.1044043	1501391__GCA_000786575.1_00077
ERR1913203.1044089__1.1044089	214856__R6Y9P5__ERS852559_01811
ERR1913203.1044068__1.1044068	239935__A0A2N8IQU3__CXU22_05890
ERR1913203.1044496__1.1044496	214856__I3YPN0__ERS852447_01398
ERR1913203.1044537__1.1044537	1262882__R5MFA5__BN519_00331
ERR1913203.1044688__1.1044688	1628085__A0A2U1B4W6__C7386_11942
ERR1913203.1044705__1.1044705	487174__K0WTW4__DDY40_12630
ERR1913203.1044711__1.1044711	239935__R7DVL7__CXT93_01180
ERR1913203.1044891__1.1044891	1262911__R6GZ01__BN557_00641
ERR1913203.1044972__1.1044972	1501391__GCA_000786575.1_00129
ERR1913203.1044992__1.1044992	1262882__R5MEK3__BN519_00296
ERR1913203.1045051__1.1045051	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913203.1045095__1.1045095	214856__I3YPN0__ERS852447_01398
ERR1913203.1045609__1.1045609	487174__K0XDI7__DIT83_12065
ERR1913203.1045701__1.1045701	1262882__R5MH81__BN519_00748
ERR1913203.1045772__1.1045772	214856__R6XS46__ERS852559_00812
ERR1913203.1045775__1.1045775	100884__E7GFK8__HMPREF9488_03551
ERR1913203.1045867__1.1045867	1501391__GCA_000786575.1_00068
ERR1913203.1045939__1.1045939	214856__I3YPP3__Alfi_2701
ERR1913203.1045976__1.1045976	214856__R6XTZ7__ERS852447_02314
ERR1913203.1046003__1.1046003	853__A0A173XRA8__CGS56_09290
ERR1913203.1046166__1.1046166	214856__R6XTZ7__ERS852447_02314
ERR1913203.1046471__1.1046471	458033__GCA_001482755.1_02203
ERR1913203.1046573__1.1046573	214856__I3YPN9__ERS852447_01389
ERR1913203.1046663__1.1046663	214856__I3YPQ4__Alfi_2712
ERR1913203.1046725__1.1046725	47678__R5U558__ERS852558_02232
ERR1913203.1046726__1.1046726	556259__E5CHM7__BSGG_4950
ERR1913203.1046803__1.1046803	214856__A0A174ZZS1__ERS852559_01484
ERR1913203.1046841__1.1046841	214856__R6Z186__ERS852447_00718
ERR1913203.1046854__1.1046854	1235835__R9LCU2__C814_02677
ERR1913203.1046974__1.1046974	47678__R5U2B3__ERS852558_04029
ERR1913203.1047096__1.1047096	47678__R5U978__ERS852558_01076
ERR1913203.1047102__1.1047102	239935__A0A2N8IU45__DEF40_02365
ERR1913203.1047509__1.1047509	1235835__R9LCU2__C814_02677
ERR1913203.1047632__1.1047632	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1047732__1.1047732	649756__A0A173TB83__HMPREF0369_01758
ERR1913203.1047784__1.1047784	1262882__R5MZZ3__BN519_00482
ERR1913203.1047785__1.1047785	214856__R6XQX8__ERS852559_02550
ERR1913203.1047791__1.1047791	1263006__R6LRF6__BN515_00540
ERR1913203.1047961__1.1047961	214856__R6XKT4__ERS852559_01719
ERR1913203.1048038__1.1048038	1262882__R5MND9__BN519_00831
ERR1913203.1048096__1.1048096	28118__F9Z7M2__B5F99_10065
ERR1913203.1048225__1.1048225	1150298__R7JUV3__yfnB
ERR1913203.1048275__1.1048275	487174__R5EP60__DIT83_09045
ERR1913203.1048356__1.1048356	1262882__R5N4I8__BN519_01293
ERR1913203.1048580__1.1048580	410072__C0BAN0__ERS852525_02648
ERR1913203.1048693__1.1048693	357276__I8VN30__HMPREF1065_03051
ERR1913203.1049022__1.1049022	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913203.1049109__1.1049109	214856__I3YPN9__ERS852447_01389
ERR1913203.1049066__1.1049066	301302__A0A173TZN3__M72_00321
ERR1913203.1049073__1.1049073	214856__I3YPQ0__ERS852447_01379
ERR1913203.1049839__1.1049839	214856__I3YMC8__ERS852447_02666
ERR1913203.1050016__1.1050016	853__A0A173YYY4__DWZ04_09420
ERR1913203.1050098__1.1050098	1262882__R5MFA5__BN519_00331
ERR1913203.1050115__1.1050115	189722__E0NQU7__HMPREF0658_0548
ERR1913203.1050117__1.1050117	214856__I3YMN6__Alfi_1938
ERR1913203.1050141__1.1050141	214856__R6Z288__ERS852447_00734
ERR1913203.1050403__1.1050403	649756__R7BXP1__ERS852425_00382
ERR1913203.1050422__1.1050422	47678__R5U9Z0__HMPREF1061_03210
ERR1913203.1050712__1.1050712	936548__J0SVQ5__HMPREF1136_1580
ERR1913203.1050750__1.1050750	301301__A0A395VFD3__ERS852391_02492
ERR1913203.1050867__1.1050867	301302__R5UNC5__M72_02681
ERR1913203.1050872__1.1050872	853__A0A2A7B1Y7__C7K05_11930
ERR1913203.1050956__1.1050956	487174__K0WV19__HMPREF9448_01820
ERR1913203.1051110__1.1051110	214856__R6XS46__ERS852559_00812
ERR1913203.1051140__1.1051140	214856__R6XNE7__ERS852447_02267
ERR1913203.1051154__1.1051154	487174__R5EP60__DIT83_09045
ERR1913203.1051522__1.1051522	214856__I3YPR6__Alfi_2724
ERR1913203.1051851__1.1051851	39492__D4JT75__EUBSIR_01776
ERR1913203.1051877__1.1051877	1262882__R5MYX5__BN519_00333
ERR1913203.1051938__1.1051938	1262882__R5MND9__BN519_00831
ERR1913203.1051898__1.1051898	1262911__R6HIJ8__BN557_01742
ERR1913203.1051903__1.1051903	239935__A0A2N8IUK0__CXU01_07370
ERR1913203.1051966__1.1051966	1262882__R5MYS9__BN519_00290
ERR1913203.1052034__1.1052034	214856__I3YPN0__ERS852447_01398
ERR1913203.1052122__1.1052122	487174__K0X694__DIT83_09060
ERR1913203.1052143__1.1052143	214856__R6Z288__ERS852447_00734
ERR1913203.1052182__1.1052182	487174__K0X909__HMPREF9448_01469
ERR1913203.1052195__1.1052195	1262882__R5MGS8__BN519_00565
ERR1913203.1052220__1.1052220	1262882__R5MKV8__BN519_01281
ERR1913203.1052277__1.1052277	214856__I3YMN6__Alfi_1938
ERR1913203.1052243__1.1052243	214856__I3YPP3__Alfi_2701
ERR1913203.1052403__1.1052403	487174__K0WWY0__DIT83_10195
ERR1913203.1052411__1.1052411	1262882__R5MT42__BN519_01729
ERR1913203.1052536__1.1052536	1897011__A0A1Q6REX7__BHW41_04490
ERR1913203.1052785__1.1052785	1150298__A0A174PHI0__ERS852498_00826
ERR1913203.1052925__1.1052925	214856__I3YPQ3__Alfi_2711
ERR1913203.1053001__1.1053001	214856__I3YPQ6__Alfi_2714
ERR1913203.1053086__1.1053086	1501391__GCA_000786575.1_00078
ERR1913203.1053141__1.1053141	214856__I3YPN9__ERS852447_01389
ERR1913203.1053147__1.1053147	649756__L1Q1A0__ERS852425_01427
ERR1913203.1053263__1.1053263	214856__I3YPP3__Alfi_2701
ERR1913203.1053266__1.1053266	214856__R6YD52__ERS852447_02171
ERR1913203.1053292__1.1053292	214856__I3YK71__ERS852559_02472
ERR1913203.1053334__1.1053334	487174__K0X835__DIT83_09510
ERR1913203.1053543__1.1053543	214856__R6Y7P0__ERS852447_00307
ERR1913203.1053610__1.1053610	1262882__R5N1T9__BN519_00804
ERR1913203.1053702__1.1053702	1501391__GCA_000786575.1_00123
ERR1913203.1054067__1.1054067	487174__K0X591__DDY40_01805
ERR1913203.1054072__1.1054072	1262882__R5MLK3__BN519_00491
ERR1913203.1054223__1.1054223	214856__I3YMN6__Alfi_1938
ERR1913203.1054638__1.1054638	1262882__R5MKL9__BN519_00353
ERR1913203.1054584__1.1054584	1262882__R5MFA5__BN519_00331
ERR1913203.1054979__1.1054979	39492__D4JR20__trmD
ERR1913203.1055056__1.1055056	487174__K0WWY0__DIT83_10195
ERR1913203.1055284__1.1055284	214856__R6Z4Q8__ERS852447_00885
ERR1913203.1055288__1.1055288	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.1055467__1.1055467	214856__I3YPQ6__Alfi_2714
ERR1913203.1055537__1.1055537	1501391__GCA_000786575.1_00137
ERR1913203.1055655__1.1055655	39492__D4JRZ7__smc
ERR1913203.1055849__1.1055849	214856__I3YPN0__ERS852447_01398
ERR1913203.1055869__1.1055869	1262882__R5MKV8__BN519_01281
ERR1913203.1055877__1.1055877	239935__A0A2N8HB50__CXU17_02615
ERR1913203.1055962__1.1055962	33025__A0A395JD30__C8D73_101259
ERR1913203.1056054__1.1056054	214856__I3YPQ0__ERS852447_01379
ERR1913203.1056209__1.1056209	1501391__GCA_000786575.1_00092
ERR1913203.1056221__1.1056221	1262882__R5N1N6__BN519_00968
ERR1913203.1056239__1.1056239	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913203.1056272__1.1056272	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.1056586__1.1056586	1965650__A0A1Y3V5H4__B5G16_12115
ERR1913203.1056562__1.1056562	487174__K0WXB5__DIT83_09520
ERR1913203.1056677__1.1056677	214856__R6XUN2__rcsC_1
ERR1913203.1056684__1.1056684	301302__R5ULT1__ERS852420_02174
ERR1913203.1056767__1.1056767	214856__I3YPR2__Alfi_2720
ERR1913203.1056940__1.1056940	301302__A0A173S3L8__vpr
ERR1913203.1056922__1.1056922	1262882__R5MDR8__BN519_00124
ERR1913203.1057029__1.1057029	214856__A0A174EJT5__mnmA
ERR1913203.1057055__1.1057055	487174__K0WX28__HMPREF9448_02178
ERR1913203.1057219__1.1057219	818__C6ILT7__BSIG_2708
ERR1913203.1057296__1.1057296	214856__R6Z320__ERS852447_02148
ERR1913203.1057300__1.1057300	214856__R6Z288__ERS852447_00734
ERR1913203.1057416__1.1057416	214856__I3YPP9__Alfi_2707
ERR1913203.1057397__1.1057397	1262882__R5MFK5__BN519_00378
ERR1913203.1057677__1.1057677	214856__R6Z4Q8__ERS852447_00885
ERR1913203.1057775__1.1057775	214856__R5UN64__ERS852447_02669
ERR1913203.1057865__1.1057865	39491__A0A395V5R3__EUBREC_1883
ERR1913203.1057972__1.1057972	88431__A0A174A952__ugpA_1
ERR1913203.1058056__1.1058056	214856__R6XKT4__ERS852559_01719
ERR1913203.1058103__1.1058103	1262911__R6H174__BN557_01246
ERR1913203.1058229__1.1058229	47678__A5ZF31__DXB67_11050
ERR1913203.1058233__1.1058233	301302__R5UPH9__M72_00521
ERR1913203.1058322__1.1058322	214856__I3YMN6__Alfi_1938
ERR1913203.1058326__1.1058326	214856__R6XRA1__vatD_3
ERR1913203.1058349__1.1058349	47678__A5ZH12__DXB67_04890
ERR1913203.1058378__1.1058378	301302__R5UM41__M72_15921
ERR1913203.1058738__1.1058738	487174__K0X3H8__HMPREF9448_02822
ERR1913203.1058765__1.1058765	214856__R6Y6H8__ERS852447_01719
ERR1913203.1058905__1.1058905	214856__R6XKW1__ERS852559_01141
ERR1913203.1058930__1.1058930	214856__I3YPP0__ERS852447_01388
ERR1913203.1058968__1.1058968	214856__R6Y1K2__ERS852447_02306
ERR1913203.1058990__1.1058990	1262882__R5MFT7__BN519_00494
ERR1913203.1059037__1.1059037	39492__D4JWP8__EUBSIR_00699
ERR1913203.1059000__1.1059000	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1059099__1.1059099	487174__K0XES7__HMPREF9448_00566
ERR1913203.1059118__1.1059118	216816__E8MVM4__APC1480_1562
ERR1913203.1059173__1.1059173	214856__A0A173YDP1__ERS852559_00120
ERR1913203.1059214__1.1059214	1262882__R5N3T7__BN519_01188
ERR1913203.1059293__1.1059293	214856__R6Z186__ERS852447_00718
ERR1913203.1059354__1.1059354	214856__I3YPI7__pepD_1
ERR1913203.1059363__1.1059363	1262988__R7N4Z9__BN816_00543
ERR1913203.1059643__1.1059643	357276__B6W1J2__BACDOR_03380
ERR1913203.1059708__1.1059708	818__A0A3E5HHE1__Btheta7330_00796
ERR1913203.1059718__1.1059718	328814__GCA_004558275.1_00069
ERR1913203.1059747__1.1059747	214856__R5UN64__ERS852447_02669
ERR1913203.1059886__1.1059886	214856__R6Z186__ERS852447_00718
ERR1913203.1059893__1.1059893	39492__D4MIY5__EUBSIR_00233
ERR1913203.1059896__1.1059896	1262882__R5MFA5__BN519_00331
ERR1913203.1060210__1.1060210	1522__G1VTH1__SAMN04487929_10735
ERR1913203.1060234__1.1060234	1262882__R5MF58__BN519_00393
ERR1913203.1060259__1.1060259	1262882__R5MYX5__BN519_00333
ERR1913203.1060421__1.1060421	487174__K0WRH0__DDY40_05725
ERR1913203.1060461__1.1060461	39492__D4JQY4__EUBSIR_01325
ERR1913203.1060517__1.1060517	214856__I3YPN0__ERS852447_01398
ERR1913203.1060582__1.1060582	214856__R6Y2Y4__ERS852447_01086
ERR1913203.1060672__1.1060672	239935__A0A2N8IZ16__CXT84_05850
ERR1913203.1060812__1.1060812	214856__R5UN64__ERS852447_02669
ERR1913203.1060874__1.1060874	214856__R5UN64__ERS852447_02669
ERR1913203.1060927__1.1060927	1262882__R5MKL9__BN519_00353
ERR1913203.1061067__1.1061067	853__A0A174UDE9__C4N25_12775
ERR1913203.1061029__1.1061029	214856__R6Y8K1__ERS852447_02509
ERR1913203.1061156__1.1061156	214856__A0A173YXX1__ERS852559_01651
ERR1913203.1061251__1.1061251	214856__R6Z7Q9__ERS852447_02172
ERR1913203.1061279__1.1061279	1501391__GCA_000786575.1_00078
ERR1913203.1061444__1.1061444	39492__D4JWM0__atpF
ERR1913203.1061574__1.1061574	1262882__R5N4D8__BN519_01497
ERR1913203.1061626__1.1061626	239935__A0A139TPD8__CXU12_11015
ERR1913203.1061787__1.1061787	214856__I3YPN0__ERS852447_01398
ERR1913203.1061809__1.1061809	1262882__R5MHQ8__BN519_00707
ERR1913203.1062000__1.1062000	214856__I3YPR6__Alfi_2724
ERR1913203.1061976__1.1061976	487174__K0X4V9__DDY40_12220
ERR1913203.1062045__1.1062045	1262986__R5ZS13__BN492_00897
ERR1913203.1062121__1.1062121	116085__D4J4J2__DW747_14050
ERR1913203.1062216__1.1062216	47678__R5V1A3__BACCAC_02796
ERR1913203.1062379__1.1062379	1262882__R5N1T9__BN519_00804
ERR1913203.1062395__1.1062395	1262911__R6GW73__BN557_00128
ERR1913203.1062434__1.1062434	214856__I3YMC8__ERS852447_02666
ERR1913203.1062468__1.1062468	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.1062867__1.1062867	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.1063134__1.1063134	328814__GCA_004558275.1_00996
ERR1913203.1063177__1.1063177	1965604__A0A1Y4ENB4__B5F54_13330
ERR1913203.1063237__1.1063237	1501391__GCA_000786575.1_00071
ERR1913203.1063337__1.1063337	214856__A0A174EJT5__mnmA
ERR1913203.1063563__1.1063563	214856__R6XP73__ERS852447_00886
ERR1913203.1063762__1.1063762	1501391__GCA_000786575.1_00076
ERR1913203.1063830__1.1063830	818__A0A173T914__ERS852430_01841
ERR1913203.1064210__1.1064210	214856__I3YPN9__ERS852447_01389
ERR1913203.1064187__1.1064187	39491__A0A395UZZ5__htpG_1
ERR1913203.1064246__1.1064246	487174__K0X1V7__DIT83_03020
ERR1913203.1064295__1.1064295	214856__R6XKT4__ERS852559_01719
ERR1913203.1064375__1.1064375	1160721__R6T617__truA
ERR1913203.1064421__1.1064421	818__E5C5U7__SAMN05216253_101163
ERR1913203.1064460__1.1064460	328814__GCA_004558275.1_00996
ERR1913203.1064545__1.1064545	214856__I3YPI7__pepD_1
ERR1913203.1064716__1.1064716	1262882__R5N1R4__BN519_00788
ERR1913203.1064845__1.1064845	1262882__R5MF58__BN519_00393
ERR1913203.1065029__1.1065029	47678__A5ZEP5__CGC64_03450
ERR1913203.1065169__1.1065169	1262882__R5MFT7__BN519_00494
ERR1913203.1065341__1.1065341	214856__I3YPQ0__ERS852447_01379
ERR1913203.1065439__1.1065439	1262882__R5MT08__BN519_01706
ERR1913203.1065412__1.1065412	214856__R6Y2Y4__ERS852447_01086
ERR1913203.1065455__1.1065455	214856__I3YMC8__ERS852447_02666
ERR1913203.1065471__1.1065471	214856__A0A174FW22__ERS852447_02437
ERR1913203.1065650__1.1065650	239935__A0A2N8IRL2__CXU06_01170
ERR1913203.1065820__1.1065820	1262882__R5MHQ8__BN519_00707
ERR1913203.1065849__1.1065849	214856__D4IMT6__Alfi_1830
ERR1913203.1065960__1.1065960	214856__I3YMC8__ERS852447_02666
ERR1913203.1065988__1.1065988	1262882__R5N526__BN519_01603
ERR1913203.1066233__1.1066233	214856__I3YMB7__Alfi_1811
ERR1913203.1066203__1.1066203	1150298__A0A174S2H3__spoIIQ
ERR1913203.1066386__1.1066386	1262882__R5MLP0__BN519_01597
ERR1913203.1066459__1.1066459	214856__R6Y8K1__ERS852447_02509
ERR1913203.1066505__1.1066505	214856__R6Y6H8__ERS852447_01719
ERR1913203.1066660__1.1066660	214856__I3YPQ4__Alfi_2712
ERR1913203.1066666__1.1066666	301302__R5UKE6__M72_05651
ERR1913203.1066735__1.1066735	214856__I3YPR6__Alfi_2724
ERR1913203.1066777__1.1066777	39492__D4JUD7__EUBSIR_01877
ERR1913203.1066848__1.1066848	214856__I3YMN6__Alfi_1938
ERR1913203.1066917__1.1066917	214856__A0A175A1F5__ERS852559_01764
ERR1913203.1066923__1.1066923	214856__A0A174EQR4__rsmA
ERR1913203.1067035__1.1067035	214856__R5UN64__ERS852447_02669
ERR1913203.1067397__1.1067397	1262882__R5MKI3__BN519_00334
ERR1913203.1067473__1.1067473	328813__A0A1Y3QQ66__B5G41_14240
ERR1913203.1067578__1.1067578	1262882__R5MQ68__BN519_01178
ERR1913203.1067657__1.1067657	214856__I3YPR5__ERS852447_01364
ERR1913203.1067748__1.1067748	239935__A0A2N8I694__CXU04_06245
ERR1913203.1067902__1.1067902	214856__R6Y2Y4__ERS852447_01086
ERR1913203.1067935__1.1067935	1501391__GCA_000786575.1_00055
ERR1913203.1068021__1.1068021	214856__R5UN64__ERS852447_02669
ERR1913203.1068182__1.1068182	214856__I3YPR6__Alfi_2724
ERR1913203.1068246__1.1068246	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913203.1068382__1.1068382	214856__I3YPP9__Alfi_2707
ERR1913203.1068580__1.1068580	1501391__GCA_000786575.1_00062
ERR1913203.1068772__1.1068772	239935__A0A2N8HDT1__CXT94_05270
ERR1913203.1068790__1.1068790	1262882__R5MLP0__BN519_01597
ERR1913203.1068905__1.1068905	1262911__R6HMT5__BN557_00797
ERR1913203.1068954__1.1068954	214856__R6Y7P0__ERS852447_00307
ERR1913203.1069079__1.1069079	214856__I3YPQ6__Alfi_2714
ERR1913203.1069138__1.1069138	1501391__GCA_000786575.1_00002
ERR1913203.1069192__1.1069192	649756__R7BXQ5__HMPREF0369_01797
ERR1913203.1069253__1.1069253	214856__I3YMC8__ERS852447_02666
ERR1913203.1069267__1.1069267	214856__I3YPQ4__Alfi_2712
ERR1913203.1069239__1.1069239	214856__I3YPR6__Alfi_2724
ERR1913203.1069299__1.1069299	214856__R6Y7P0__ERS852447_00307
ERR1913203.1069429__1.1069429	28118__F9Z408__NCTC10826_01194
ERR1913203.1069517__1.1069517	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1069594__1.1069594	301302__R5V741__M72_13261
ERR1913203.1069686__1.1069686	1262882__R5MYP8__BN519_00439
ERR1913203.1069715__1.1069715	1965576__A0A1Y4LQ59__B5F19_01240
ERR1913203.1069783__1.1069783	214856__R6XQX8__ERS852559_02550
ERR1913203.1069824__1.1069824	214856__I3YK71__ERS852559_02472
ERR1913203.1069830__1.1069830	239935__A0A2N8I6R6__CXU04_04335
ERR1913203.1069912__1.1069912	214856__I3YPI7__pepD_1
ERR1913203.1069972__1.1069972	214856__R5UN64__ERS852447_02669
ERR1913203.1070012__1.1070012	214856__A0A175A6T5__ERS852447_02658
ERR1913203.1070115__1.1070115	1262882__R5MIW5__BN519_00945
ERR1913203.1070155__1.1070155	214856__R6XQX8__ERS852559_02550
ERR1913203.1070509__1.1070509	214856__I3YPP0__ERS852447_01388
ERR1913203.1070769__1.1070769	214856__A0A174EJT5__mnmA
ERR1913203.1070779__1.1070779	1501391__GCA_000786575.1_00106
ERR1913203.1070810__1.1070810	214856__R6XUN2__rcsC_1
ERR1913203.1070996__1.1070996	1235835__R9LCU2__C814_02677
ERR1913203.1071227__1.1071227	214856__I3YPR6__Alfi_2724
