ERR1913204.80__1.80	1262882__R5ML49__BN519_01361
ERR1913204.990486__1.990486	301302__A0A173SD94__ERS852420_01254
ERR1913204.990767__1.990767	214856__I3YPN9__ERS852447_01389
ERR1913204.990835__1.990835	301302__A0A173R6H4__M72_21671
ERR1913204.990894__1.990894	214856__R6YC22__ERS852447_01215
ERR1913204.990969__1.990969	301302__R5UQ61__M72_23071
ERR1913204.991168__1.991168	214856__I3YMC8__ERS852447_02666
ERR1913204.991280__1.991280	1262882__R5MJM8__BN519_01064
ERR1913204.991300__1.991300	649756__A0A174Q8Z0__mtlD_4
ERR1913204.991427__1.991427	649756__R7BXQ5__HMPREF0369_01797
ERR1913204.991436__1.991436	214856__R6Y1K2__ERS852447_02306
ERR1913204.991498__1.991498	1501391__GCA_000786575.1_00138
ERR1913204.991474__1.991474	1262882__R5N0Q5__BN519_00642
ERR1913204.991630__1.991630	1262911__R6H174__BN557_01246
ERR1913204.991815__1.991815	214856__I3YMC8__ERS852447_02666
ERR1913204.991745__1.991745	214856__R6XQX8__ERS852559_02550
ERR1913204.991898__1.991898	214856__I3YPN0__ERS852447_01398
ERR1913204.991930__1.991930	1262882__R5MPJ1__BN519_01023
ERR1913204.992020__1.992020	239935__A0A2N8IHY1__CXU06_00035
ERR1913204.992285__1.992285	239935__A0A2N8J2P6__ADH72_06730
ERR1913204.992295__1.992295	487174__R5F2W8__HMPREF9448_01730
ERR1913204.992353__1.992353	1160721__A0A1C6DCM8__RBI_I01997
ERR1913204.992359__1.992359	47678__A0A3E5BQM1__DXB67_08970
ERR1913204.992367__1.992367	1262882__R5MHZ2__BN519_00742
ERR1913204.992408__1.992408	214856__I3YPI7__pepD_1
ERR1913204.992778__1.992778	328814__GCA_004558275.1_01846
ERR1913204.992870__1.992870	214856__A0A173YXX1__ERS852559_01651
ERR1913204.992845__1.992845	1262882__R5N4P6__BN519_01346
ERR1913204.993139__1.993139	239935__A0A2N8HZW2__A4V05_11120
ERR1913204.993211__1.993211	214856__A0A174CRY5__ERS852559_01060
ERR1913204.993240__1.993240	239935__A0A2N8I9I3__CXU19_12035
ERR1913204.993400__1.993400	1262911__R6GPC5__BN557_00852
ERR1913204.993591__1.993591	214856__I3YMC8__ERS852447_02666
ERR1913204.993700__1.993700	39496__A5Z5I2__EUBVEN_00963
ERR1913204.993807__1.993807	47678__R5UXJ2__DW706_08325
ERR1913204.993731__1.993731	214856__I3YPP9__Alfi_2707
ERR1913204.993847__1.993847	214856__R6XUN2__rcsC_1
ERR1913204.994023__1.994023	487174__K0WZN5__HMPREF9448_01108
ERR1913204.994045__1.994045	1262911__R6H174__BN557_01246
ERR1913204.994053__1.994053	214856__I3YPP9__Alfi_2707
ERR1913204.994206__1.994206	1501391__GCA_000786575.1_00067
ERR1913204.994211__1.994211	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913204.994236__1.994236	1262882__R5N0H9__BN519_00764
ERR1913204.994237__1.994237	1262882__R5N0H9__BN519_00764
ERR1913204.994253__1.994253	301302__A0A173RZU9__M72_23561
ERR1913204.994320__1.994320	487174__R5EXS5__HMPREF9448_02541
ERR1913204.994295__1.994295	214856__I3YMC8__ERS852447_02666
ERR1913204.994377__1.994377	214856__I3YMC8__ERS852447_02666
ERR1913204.994398__1.994398	487174__K0WRP3__HMPREF9448_02660
ERR1913204.994412__1.994412	1262882__R5MFA5__BN519_00331
ERR1913204.994530__1.994530	214856__R6Y2Y4__ERS852447_01086
ERR1913204.994628__1.994628	214856__I3YPN3__ERS852447_01395
ERR1913204.994670__1.994670	410072__C0BC88__DXD67_11180
ERR1913204.994671__1.994671	214856__R6XP73__ERS852447_00886
ERR1913204.994657__1.994657	446660__GCA_003428235.1_01223
ERR1913204.994719__1.994719	214856__I3YMB7__Alfi_1811
ERR1913204.994777__1.994777	487174__K0X7X4__DIT83_09125
ERR1913204.994948__1.994948	487174__K0WU53__DDY40_07650
ERR1913204.995034__1.995034	1262882__R5N4P6__BN519_01346
ERR1913204.994993__1.994993	214856__I3YPQ8__ERS852447_01371
ERR1913204.994998__1.994998	239935__A0A2N8I3G2__CXT89_00720
ERR1913204.995340__1.995340	328813__A0A1Y3QQ66__B5G41_14240
ERR1913204.995399__1.995399	239935__A0A2N8I791__CXT99_09415
ERR1913204.995467__1.995467	39496__A5Z5I2__EUBVEN_00963
ERR1913204.995545__1.995545	301301__G2SZK8__ERS852391_00581
ERR1913204.995637__1.995637	214856__A0A173ZR84__ERS852559_00013
ERR1913204.995756__1.995756	214856__R6Y0B9__ERS852559_00164
ERR1913204.995820__1.995820	47678__A0A3E5BQM1__DXB67_08970
ERR1913204.995912__1.995912	328813__A0A1Y3QQ66__B5G41_14240
ERR1913204.996092__1.996092	214856__A0A173YXX1__ERS852559_01651
ERR1913204.996132__1.996132	28118__F9ZB50__Odosp_2374
ERR1913204.996210__1.996210	47678__R5UAF6__ERS852494_02966
ERR1913204.996278__1.996278	214856__I3YPR5__ERS852447_01364
ERR1913204.996357__1.996357	214856__R6Z288__ERS852447_00734
ERR1913204.996580__1.996580	214856__D4IMT6__Alfi_1830
ERR1913204.996785__1.996785	214856__R6XNE7__ERS852447_02267
ERR1913204.996901__1.996901	853__A0A173XRA8__CGS56_09290
ERR1913204.996834__1.996834	214856__A0A173YXX1__ERS852559_01651
ERR1913204.997046__1.997046	1501391__GCA_000786575.1_00008
ERR1913204.997002__1.997002	821__A0A174V2F3__NCTC10583_01474
ERR1913204.997094__1.997094	301302__A0A173T248__M72_19091
ERR1913204.997241__1.997241	39492__D4JUR4__ERS852540_01427
ERR1913204.997306__1.997306	214856__R6Z7Q9__ERS852447_02172
ERR1913204.997326__1.997326	487174__K0XBH1__DIT83_01445
ERR1913204.997383__1.997383	1501391__GCA_000786575.1_00081
ERR1913204.997400__1.997400	214856__I3YPR6__Alfi_2724
ERR1913204.997407__1.997407	47678__R5U8Y1__BACCAC_02615
ERR1913204.997455__1.997455	301302__A0A0M6WVS7__ERS852420_01704
ERR1913204.997458__1.997458	1262882__R5N5S3__BN519_00085
ERR1913204.997700__1.997700	1501391__GCA_000786575.1_00057
ERR1913204.998258__1.998258	214856__I3YPQ8__ERS852447_01371
ERR1913204.998359__1.998359	214856__I3YPQ4__Alfi_2712
ERR1913204.998434__1.998434	1262911__R6H212__BN557_01031
ERR1913204.998471__1.998471	214856__I3YPQ9__ERS852447_01370
ERR1913204.998567__1.998567	418240__D4LQH5__ERS852478_00800
ERR1913204.998723__1.998723	1262882__R5MIP9__BN519_01028
ERR1913204.998905__1.998905	214856__R6Z186__ERS852447_00718
ERR1913204.998953__1.998953	1262744__R6FST0__BN744_00381
ERR1913204.999275__1.999275	487174__K0XA48__DDY40_03955
ERR1913204.999277__1.999277	47678__R5U9Z0__HMPREF1061_03210
ERR1913204.999630__1.999630	214856__A0A173YXX1__ERS852559_01651
ERR1913204.999678__1.999678	214856__R6YD52__ERS852447_02171
ERR1913204.999692__1.999692	1262882__R5MPL0__BN519_01038
ERR1913204.999862__1.999862	239935__A0A2N8HEH9__CXU07_11710
ERR1913204.999956__1.999956	1235835__R9LCU2__C814_02677
ERR1913204.999978__1.999978	1501391__GCA_000786575.1_00018
ERR1913204.1000087__1.1000087	214856__R6XKT4__ERS852559_01719
ERR1913204.1000130__1.1000130	818__Q8AAE0__Btheta7330_02023
ERR1913204.1000221__1.1000221	214856__I3YMN6__Alfi_1938
ERR1913204.1000379__1.1000379	1262911__R6GPX9__BN557_00406
ERR1913204.1000415__1.1000415	821__A0A174AYT0__DXC02_03530
ERR1913204.1000476__1.1000476	818__R7KLE6__BJP75_004275
ERR1913204.1000830__1.1000830	214856__I3YPP0__ERS852447_01388
ERR1913204.1000891__1.1000891	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.1001105__1.1001105	1262882__R5MEN2__BN519_00200
ERR1913204.1001146__1.1001146	487174__K0WUM9__HMPREF9448_02608
ERR1913204.1001246__1.1001246	1262882__R5MEN9__BN519_00201
ERR1913204.1001164__1.1001164	1235835__R9LCU2__C814_02677
ERR1913204.1001328__1.1001328	1235790__S0J8L6__C805_00148
ERR1913204.1001353__1.1001353	487174__R5F5Z4__DIT83_00635
ERR1913204.1001639__1.1001639	1262882__R5N4F5__BN519_01266
ERR1913204.1001838__1.1001838	1262882__R5MK03__BN519_01277
ERR1913204.1001840__1.1001840	649756__B0NYW1__DCR88_01045
ERR1913204.1001851__1.1001851	214856__A0A175A6T5__ERS852447_02658
ERR1913204.1001946__1.1001946	214856__A0A174ZLX0__ERS852559_00738
ERR1913204.1001976__1.1001976	239935__A0A2N8HX65__CXU17_02540
ERR1913204.1002196__1.1002196	214856__R6Y6H8__ERS852447_01719
ERR1913204.1002359__1.1002359	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913204.1002434__1.1002434	214856__R6XKT4__ERS852559_01719
ERR1913204.1002455__1.1002455	487174__K0X9T7__HMPREF9448_00996
ERR1913204.1002489__1.1002489	1897011__A0A1Q6RI93__BHW41_01175
ERR1913204.1002588__1.1002588	47678__A5ZF31__DXB67_11050
ERR1913204.1002800__1.1002800	487174__K0WY34__DDY40_07435
ERR1913204.1002892__1.1002892	1262882__R5MGJ7__BN519_00652
ERR1913204.1002895__1.1002895	214856__I3YMC8__ERS852447_02666
ERR1913204.1002967__1.1002967	214856__I3YPP0__ERS852447_01388
ERR1913204.1002951__1.1002951	214856__R6YD52__ERS852447_02171
ERR1913204.1003148__1.1003148	214856__I3YPN0__ERS852447_01398
ERR1913204.1003263__1.1003263	214856__I3YPN3__ERS852447_01395
ERR1913204.1003312__1.1003312	487174__K0X694__DIT83_09060
ERR1913204.1003623__1.1003623	239935__R7E524__CXT91_06180
ERR1913204.1003774__1.1003774	214856__R6YC22__ERS852447_01215
ERR1913204.1003964__1.1003964	214856__I3YMB7__Alfi_1811
ERR1913204.1004034__1.1004034	239935__A0A2N8IAY7__CXU13_02935
ERR1913204.1004079__1.1004079	214856__I3YPN9__ERS852447_01389
ERR1913204.1004118__1.1004118	214856__R6XQX8__ERS852559_02550
ERR1913204.1004178__1.1004178	214856__R6XNE7__ERS852447_02267
ERR1913204.1004229__1.1004229	1262882__R5MIY9__BN519_01097
ERR1913204.1004364__1.1004364	214856__I3YPP1__Alfi_2699
ERR1913204.1004482__1.1004482	214856__R5UN64__ERS852447_02669
ERR1913204.1004573__1.1004573	39492__A0A174ZHV5__msbA_2
ERR1913204.1004547__1.1004547	214856__R6Z7Q9__ERS852447_02172
ERR1913204.1004594__1.1004594	214856__I3YMB7__Alfi_1811
ERR1913204.1004655__1.1004655	1262882__R5MLT4__BN519_01496
ERR1913204.1004726__1.1004726	214856__R6YC22__ERS852447_01215
ERR1913204.1004613__1.1004613	214856__A0A174EQR4__rsmA
ERR1913204.1004799__1.1004799	39488__A0A285PT56__ERS852450_02640
ERR1913204.1004978__1.1004978	387090__S0FBZ8__BACCOPRO_01470
ERR1913204.1004982__1.1004982	214856__R6Y6H8__ERS852447_01719
ERR1913204.1004994__1.1004994	487174__K0X4L2__pgl
ERR1913204.1005038__1.1005038	1965604__A0A1Y4ER39__B5F54_09795
ERR1913204.1005207__1.1005207	214856__R6Z186__ERS852447_00718
ERR1913204.1005310__1.1005310	214856__R6XS46__ERS852559_00812
ERR1913204.1005322__1.1005322	487174__K0WVG2__DDY40_00285
ERR1913204.1005349__1.1005349	1897011__A0A1Q6RI94__BHW41_01260
ERR1913204.1005380__1.1005380	239935__A0A2N8IIB9__CXU04_01970
ERR1913204.1005562__1.1005562	1262882__R5MH82__BN519_00752
ERR1913204.1005678__1.1005678	239935__A0A2N8IMD6__CXU03_05585
ERR1913204.1005708__1.1005708	1262882__R5MEN2__BN519_00200
ERR1913204.1005740__1.1005740	214856__R6YD52__ERS852447_02171
ERR1913204.1005757__1.1005757	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.1005762__1.1005762	214856__R6Z5D0__resA_4
ERR1913204.1005976__1.1005976	1262889__R7HA29__BN634_00657
ERR1913204.1006216__1.1006216	214856__A0A173YXX1__ERS852559_01651
ERR1913204.1006600__1.1006600	39492__D4JU67__EUBSIR_00791
ERR1913204.1006643__1.1006643	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.1006825__1.1006825	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913204.1007053__1.1007053	214856__A0A173YXX1__ERS852559_01651
ERR1913204.1007089__1.1007089	649756__A0A173T0Q8__DCR88_01335
ERR1913204.1007098__1.1007098	47678__R5UAI1__BACCAC_01922
ERR1913204.1007185__1.1007185	239935__A0A2N8HBM4__CXT85_06270
ERR1913204.1007202__1.1007202	214856__R6Z7Q9__ERS852447_02172
ERR1913204.1007425__1.1007425	214856__R6Y2Y4__ERS852447_01086
ERR1913204.1007674__1.1007674	1262882__R5MEK3__BN519_00296
ERR1913204.1007631__1.1007631	214856__A0A174CRY5__ERS852559_01060
ERR1913204.1007700__1.1007700	239935__A0A2N8IVK9__CXU08_03750
ERR1913204.1007701__1.1007701	214856__I3YPN3__ERS852447_01395
ERR1913204.1007706__1.1007706	214856__R6Z186__ERS852447_00718
ERR1913204.1007814__1.1007814	214856__A0A174H6R3__ERS852447_02809
ERR1913204.1007821__1.1007821	39492__D4JRM9__bglB_2
ERR1913204.1007893__1.1007893	214856__R6YC22__ERS852447_01215
ERR1913204.1008000__1.1008000	214856__R5UN64__ERS852447_02669
ERR1913204.1008137__1.1008137	214856__I3YMN6__Alfi_1938
ERR1913204.1008166__1.1008166	214856__I3YPP3__Alfi_2701
ERR1913204.1008169__1.1008169	1262882__R5MF43__BN519_00282
ERR1913204.1008218__1.1008218	216816__B7GPE8__I118_0062
ERR1913204.1008275__1.1008275	1262882__R5MSX6__BN519_01697
ERR1913204.1008332__1.1008332	1262882__R5MIQ8__BN519_01036
ERR1913204.1008333__1.1008333	1262882__R5MIQ8__BN519_01036
ERR1913204.1008457__1.1008457	487174__K0XKD7__HMPREF9448_01550
ERR1913204.1008511__1.1008511	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.1008650__1.1008650	239935__A0A2N8HH03__CXU09_08875
ERR1913204.1008663__1.1008663	1378168__V2YA11__N510_02528
ERR1913204.1008849__1.1008849	214856__R6XTZ7__ERS852447_02314
ERR1913204.1008875__1.1008875	1262882__R5MSP5__BN519_01637
ERR1913204.1008892__1.1008892	1235835__R9LCU2__C814_02677
ERR1913204.1008909__1.1008909	818__Q8A3A6__Btheta7330_00071
ERR1913204.1008988__1.1008988	818__A0A3E5HDS4__BJP75_002620
ERR1913204.1009028__1.1009028	39485__C4Z1Y9__EUBELI_00143
ERR1913204.1009067__1.1009067	1262882__R5MEN9__BN519_00201
ERR1913204.1009314__1.1009314	214856__R6Z5D0__resA_4
ERR1913204.1009435__1.1009435	189722__E0NQU7__HMPREF0658_0548
ERR1913204.1009506__1.1009506	1262882__R5N345__BN519_01034
ERR1913204.1009559__1.1009559	1262882__R5MND9__BN519_00831
ERR1913204.1009583__1.1009583	1501391__GCA_000786575.1_00018
ERR1913204.1009640__1.1009640	1965576__A0A1Y4LM34__B5F19_03815
ERR1913204.1009658__1.1009658	39492__D4JV86__spoIIE
ERR1913204.1009709__1.1009709	1262882__R5N4I5__BN519_01288
ERR1913204.1009897__1.1009897	214856__I3YPR5__ERS852447_01364
ERR1913204.1010140__1.1010140	214856__I3YPP9__Alfi_2707
ERR1913204.1010481__1.1010481	47678__A5ZI88__BACCAC_02617
ERR1913204.1010517__1.1010517	214856__R6YD52__ERS852447_02171
ERR1913204.1010519__1.1010519	214856__I3YPN9__ERS852447_01389
ERR1913204.1010461__1.1010461	214856__I3YMB7__Alfi_1811
ERR1913204.1010559__1.1010559	1262882__R5MNC1__BN519_00818
ERR1913204.1010638__1.1010638	239935__B2UQP8__CXU15_01110
ERR1913204.1010660__1.1010660	1501391__GCA_000786575.1_00135
ERR1913204.1010665__1.1010665	1501391__GCA_000786575.1_00035
ERR1913204.1010783__1.1010783	214856__I3YMC8__ERS852447_02666
ERR1913204.1010858__1.1010858	214856__R6XS02__ERS852447_01685
ERR1913204.1010895__1.1010895	214856__I3YPN9__ERS852447_01389
ERR1913204.1011008__1.1011008	487174__K0X079__DIT83_00640
ERR1913204.1011107__1.1011107	1501391__GCA_000786575.1_00097
ERR1913204.1011417__1.1011417	1262882__R5MFK5__BN519_00378
ERR1913204.1011469__1.1011469	1501391__GCA_000786575.1_00147
ERR1913204.1011637__1.1011637	214856__R6XTZ7__ERS852447_02314
ERR1913204.1011909__1.1011909	214856__I3YPQ4__Alfi_2712
ERR1913204.1012012__1.1012012	39485__R6AET9__EUBELI_01205
ERR1913204.1011968__1.1011968	214856__A0A175A6T5__ERS852447_02658
ERR1913204.1012029__1.1012029	410072__A0A173Y221__spoIIIAE
ERR1913204.1012212__1.1012212	1501391__GCA_000786575.1_00157
ERR1913204.1012238__1.1012238	487174__K0X694__DIT83_09060
ERR1913204.1012901__1.1012901	649756__D4MU34__DO83_08115
ERR1913204.1012910__1.1012910	239935__R6K0V8__CXT94_02055
ERR1913204.1012962__1.1012962	214856__R6XS46__ERS852559_00812
ERR1913204.1013090__1.1013090	1262882__R5MFM2__BN519_00460
ERR1913204.1013145__1.1013145	214856__I3YPI7__pepD_1
ERR1913204.1013208__1.1013208	1262911__R6GZX7__BN557_00838
ERR1913204.1013316__1.1013316	410072__A0A173XU61__ykvU
ERR1913204.1013350__1.1013350	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.1013277__1.1013277	47678__R5UWN2__BACCAC_01649
ERR1913204.1013284__1.1013284	1501391__GCA_000786575.1_00087
ERR1913204.1013433__1.1013433	410072__A0A173YQW3__dtpT_1
ERR1913204.1013557__1.1013557	1262882__R5N1N6__BN519_00968
ERR1913204.1013657__1.1013657	214856__I3YK71__ERS852559_02472
ERR1913204.1013691__1.1013691	239935__A0A2N8ITX2__CXT86_11265
ERR1913204.1013712__1.1013712	214856__R6Z5D0__resA_4
ERR1913204.1013715__1.1013715	239935__A0A2N8HBM4__CXT85_06270
ERR1913204.1013763__1.1013763	29361__B6FKH5__CLONEX_00621
ERR1913204.1013840__1.1013840	214856__R6Y7P0__ERS852447_00307
ERR1913204.1013953__1.1013953	487174__K0XRP0__DDY40_09260
ERR1913204.1014071__1.1014071	214856__A0A175A6T5__ERS852447_02658
ERR1913204.1014158__1.1014158	1262882__R5MIQ8__BN519_01036
ERR1913204.1014215__1.1014215	1262882__R5N532__BN519_01420
ERR1913204.1014288__1.1014288	214856__I3YPQ4__Alfi_2712
ERR1913204.1014393__1.1014393	39492__D4JSU6__dacB_3
ERR1913204.1014555__1.1014555	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.1014658__1.1014658	214856__I3YMC8__ERS852447_02666
ERR1913204.1014753__1.1014753	328814__GCA_004558275.1_01621
ERR1913204.1014866__1.1014866	214856__R6Z3P8__ERS852559_01737
ERR1913204.1015025__1.1015025	214856__A0A174ZZS1__ERS852559_01484
ERR1913204.1015091__1.1015091	214856__R6XQX8__ERS852559_02550
ERR1913204.1015109__1.1015109	214856__A0A174EQR4__rsmA
ERR1913204.1015142__1.1015142	214856__I3YMN6__Alfi_1938
ERR1913204.1015205__1.1015205	214856__A0A174CRY5__ERS852559_01060
ERR1913204.1015262__1.1015262	1262911__R6GP42__BN557_00222
ERR1913204.1015319__1.1015319	239935__A0A2N8IEP3__CXT84_03735
ERR1913204.1015339__1.1015339	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.1015405__1.1015405	214856__I3YPQ8__ERS852447_01371
ERR1913204.1015562__1.1015562	214856__R6Z288__ERS852447_00734
ERR1913204.1015572__1.1015572	1262882__R5MSS9__BN519_01662
ERR1913204.1015692__1.1015692	301302__R5UHX5__M72_14301
ERR1913204.1015780__1.1015780	214856__I3YPP1__Alfi_2699
ERR1913204.1015811__1.1015811	39492__D4JRM9__bglB_2
ERR1913204.1015976__1.1015976	214856__R6Y7P0__ERS852447_00307
ERR1913204.1015983__1.1015983	301302__R5UM41__M72_15921
ERR1913204.1016155__1.1016155	214856__I3YPP3__Alfi_2701
ERR1913204.1016185__1.1016185	40520__A0A174QAE1__DXB81_16880
ERR1913204.1016415__1.1016415	394340__typA
ERR1913204.1016441__1.1016441	239935__A0A2N8IXN0__CXT95_01765
ERR1913204.1016521__1.1016521	214856__R6YD52__ERS852447_02171
ERR1913204.1016650__1.1016650	1262911__R6GZX7__BN557_00838
ERR1913204.1016627__1.1016627	1262911__R6GZX7__BN557_00838
ERR1913204.1016640__1.1016640	214856__R6XP73__ERS852447_00886
ERR1913204.1016821__1.1016821	214856__R6XUN2__rcsC_1
ERR1913204.1016874__1.1016874	1501391__GCA_000786575.1_00063
ERR1913204.1016937__1.1016937	214856__I3YPR6__Alfi_2724
ERR1913204.1017133__1.1017133	214856__R6YD52__ERS852447_02171
ERR1913204.1017196__1.1017196	1501391__GCA_000786575.1_00060
ERR1913204.1017355__1.1017355	1262882__R5MFM2__BN519_00460
ERR1913204.1017428__1.1017428	214856__R6Z3P8__ERS852559_01737
ERR1913204.1017400__1.1017400	1501391__GCA_000786575.1_00074
ERR1913204.1017441__1.1017441	487174__K0X079__DIT83_00640
ERR1913204.1017684__1.1017684	818__A0A139KKJ5__Btheta7330_00072
ERR1913204.1017690__1.1017690	1897011__A0A1Q6RIA6__BHW41_01370
ERR1913204.1017729__1.1017729	214856__A0A173YXX1__ERS852559_01651
ERR1913204.1018008__1.1018008	418240__A0A173XCL4__ERS852523_02725
ERR1913204.1018067__1.1018067	301302__R5UHX5__M72_14301
ERR1913204.1018166__1.1018166	1262889__R7HB62__BN634_00669
ERR1913204.1018272__1.1018272	1262882__R5N3T7__BN519_01188
ERR1913204.1018338__1.1018338	239935__A0A2N8IXN0__CXT95_01765
ERR1913204.1018361__1.1018361	214856__R6XP73__ERS852447_00886
ERR1913204.1018454__1.1018454	1262882__R5MPY4__BN519_01128
ERR1913204.1018502__1.1018502	47678__R5UAI1__BACCAC_01922
ERR1913204.1018540__1.1018540	214856__I3YMC8__ERS852447_02666
ERR1913204.1018806__1.1018806	487174__K0WY34__DDY40_07435
ERR1913204.1019369__1.1019369	487174__K0X9T7__HMPREF9448_00996
ERR1913204.1019525__1.1019525	239935__A0A2N8I8X8__B5G29_00185
ERR1913204.1019742__1.1019742	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.1019787__1.1019787	214856__A0A174AYS4__ERS852447_01192
ERR1913204.1020061__1.1020061	301302__R5V671__M72_27831
ERR1913204.1020290__1.1020290	239935__A0A139TQT9__Amuc_1197
ERR1913204.1020326__1.1020326	214856__I3YMB7__Alfi_1811
ERR1913204.1020348__1.1020348	1262882__R5MJJ3__BN519_01027
ERR1913204.1020376__1.1020376	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.1020557__1.1020557	1501391__GCA_000786575.1_00078
ERR1913204.1020643__1.1020643	1262882__R5MXW0__BN519_00317
ERR1913204.1020614__1.1020614	239935__A0A2N8I9P4__CXT85_05050
ERR1913204.1020772__1.1020772	487174__K0WYC5__HMPREF9448_01493
ERR1913204.1020726__1.1020726	47678__A5ZEP4__DXB67_14045
ERR1913204.1020942__1.1020942	214856__R6XTZ7__ERS852447_02314
ERR1913204.1020994__1.1020994	214856__I3YPP0__ERS852447_01388
ERR1913204.1021014__1.1021014	1501391__GCA_000786575.1_00027
ERR1913204.1021138__1.1021138	214856__I3YMB7__Alfi_1811
ERR1913204.1021096__1.1021096	853__A0A173YYY4__DWZ04_09420
ERR1913204.1021184__1.1021184	1501391__GCA_000786575.1_00013
ERR1913204.1021579__1.1021579	47678__A5ZL09__BACCAC_03608
ERR1913204.1021693__1.1021693	214856__I3YPN5__Alfi_2693
ERR1913204.1021753__1.1021753	1262889__R7H7F9__BN634_02079
ERR1913204.1021719__1.1021719	214856__I3YMC8__ERS852447_02666
ERR1913204.1021873__1.1021873	39496__A5Z5I2__EUBVEN_00963
ERR1913204.1021980__1.1021980	214856__A0A174CRY5__ERS852559_01060
ERR1913204.1021960__1.1021960	301302__A0A0M6WSS7__ERS852420_02367
ERR1913204.1022072__1.1022072	1262911__R6GLA5__BN557_01456
ERR1913204.1022158__1.1022158	214856__R6Y7P0__ERS852447_00307
ERR1913204.1022159__1.1022159	214856__R6Y7P0__ERS852447_00307
ERR1913204.1022245__1.1022245	214856__R6Y6H8__ERS852447_01719
ERR1913204.1022223__1.1022223	214856__R5UN64__ERS852447_02669
ERR1913204.1022348__1.1022348	39492__D4JVZ6__truB
ERR1913204.1022444__1.1022444	214856__R6XS46__ERS852559_00812
ERR1913204.1022772__1.1022772	214856__R5UN64__ERS852447_02669
ERR1913204.1022773__1.1022773	214856__R5UN64__ERS852447_02669
ERR1913204.1022949__1.1022949	1501391__GCA_000786575.1_00068
ERR1913204.1023117__1.1023117	214856__R6Z7Q9__ERS852447_02172
ERR1913204.1023071__1.1023071	301302__R5UPN9__M72_25701
ERR1913204.1023248__1.1023248	214856__R6Y2Y4__ERS852447_01086
ERR1913204.1023249__1.1023249	214856__R6Y2Y4__ERS852447_01086
ERR1913204.1023279__1.1023279	1262882__R5MF58__BN519_00393
ERR1913204.1023280__1.1023280	1262882__R5MF58__BN519_00393
ERR1913204.1023313__1.1023313	1262882__R5N1V0__BN519_00816
ERR1913204.1023507__1.1023507	291645__I8WZT8__HMPREF1068_04327
ERR1913204.1023586__1.1023586	818__A0A174LEN9__BJP75_006595
ERR1913204.1023584__1.1023584	1262882__R5MYI1__BN519_00416
ERR1913204.1023665__1.1023665	39496__A5Z5I2__EUBVEN_00963
ERR1913204.1023670__1.1023670	301302__A0A173UAS4__M72_15061
ERR1913204.1023635__1.1023635	1262882__R5N526__BN519_01603
ERR1913204.1023636__1.1023636	1262882__R5N526__BN519_01603
ERR1913204.1023839__1.1023839	1262882__R5MYS0__BN519_00284
ERR1913204.1023859__1.1023859	239935__A0A2N8IJI1__B5G29_04615
ERR1913204.1023861__1.1023861	239935__A0A2N8IJI1__B5G29_04615
ERR1913204.1023972__1.1023972	487174__K0WUJ5__HMPREF9448_02567
ERR1913204.1024064__1.1024064	1262882__R5MIC9__BN519_00834
ERR1913204.1024126__1.1024126	1262882__R5N526__BN519_01603
ERR1913204.1024168__1.1024168	33025__A0A395J973__C8D73_11010
ERR1913204.1024134__1.1024134	214856__I3YPP0__ERS852447_01388
ERR1913204.1024150__1.1024150	214856__R6Z288__ERS852447_00734
ERR1913204.1024184__1.1024184	1262882__R5MEM1__BN519_00313
ERR1913204.1024249__1.1024249	28118__A0A1Q6IM78__B5F99_09295
ERR1913204.1024316__1.1024316	487174__K0XLC3__HMPREF9448_01065
ERR1913204.1024331__1.1024331	214856__A0A174CRY5__ERS852559_01060
ERR1913204.1024409__1.1024409	239935__A0A2N8HAQ1__DEF40_05290
ERR1913204.1024410__1.1024410	239935__A0A2N8HAQ1__DEF40_05290
ERR1913204.1024522__1.1024522	214856__I3YMN6__Alfi_1938
ERR1913204.1024559__1.1024559	214856__R6YC22__ERS852447_01215
ERR1913204.1024706__1.1024706	214856__I3YMB7__Alfi_1811
ERR1913204.1025093__1.1025093	214856__A0A174H6R3__ERS852447_02809
ERR1913204.1025041__1.1025041	1262882__R5MSI5__BN519_01596
ERR1913204.1025060__1.1025060	39492__B0MP07__ERS852540_02083
ERR1913204.1025062__1.1025062	214856__I3YPP9__Alfi_2707
ERR1913204.1025251__1.1025251	214856__R6XKT4__ERS852559_01719
ERR1913204.1025324__1.1025324	291645__I8WZT8__HMPREF1068_04327
ERR1913204.1025399__1.1025399	410072__A0A173S248__ERS852525_02992
ERR1913204.1025481__1.1025481	39492__D4JR08__ERS852540_02467
ERR1913204.1025609__1.1025609	239935__A0A2N8HPS5__Amuc_0950
ERR1913204.1025753__1.1025753	1501391__GCA_000786575.1_00024
